context: Wait. response:	Be a good apple and stay where you are.
context: It's fine.\That uniform...\You must be a student at Seika.\Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school. response:	Shouldn't all high school kids play or fall in love?
context: That uniform...\You must be a student at Seika.\Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love? response:	Or dress up or find a hobby?
context: You must be a student at Seika.\Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby? response:	Really?
context: Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby?\Really? response:	Well, it's all because I'm causing her so much trouble despite being her mother.
context: You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby?\Really?\Well, it's all because I'm causing her so much trouble despite being her mother. response:	What a relief, though. I'm glad I met you.
context: Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby?\Really?\Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you. response:	I mean, you look very kind.
context: I was worried at first whether she would enjoy her high school life.\She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby?\Really?\Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you.\I mean, you look very kind. response:	She's starting to act like a high school student recently, so I'm sure she found a good friend like you.
context: She does nothing but work or study on days without school.\Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby?\Really?\Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you.\I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you. response:	Um, have people ever told you that you're very open?
context: Shouldn't all high school kids play or fall in love?\Or dress up or find a hobby?\Really?\Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you.\I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open? response:	Yes, all the time.
context: Or dress up or find a hobby?\Really?\Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you.\I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open?\Yes, all the time. response:	How could you tell?
context: Really?\Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you.\I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open?\Yes, all the time.\How could you tell? response:	Thank you. You really saved me.
context: Well, it's all because I'm causing her so much trouble despite being her mother.\What a relief, though. I'm glad I met you.\I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open?\Yes, all the time.\How could you tell?\Thank you. You really saved me. response:	I had a feeling that I would end up here.
context: What a relief, though. I'm glad I met you.\I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open?\Yes, all the time.\How could you tell?\Thank you. You really saved me.\I had a feeling that I would end up here. response:	Please, come on in.
context: I mean, you look very kind.\She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open?\Yes, all the time.\How could you tell?\Thank you. You really saved me.\I had a feeling that I would end up here.\Please, come on in. response:	I'll be excusing myself now.
context: She's starting to act like a high school student recently, so I'm sure she found a good friend like you.\Um, have people ever told you that you're very open?\Yes, all the time.\How could you tell?\Thank you. You really saved me.\I had a feeling that I would end up here.\Please, come on in.\I'll be excusing myself now. response:	No, please wait. I've got to properly thank you.
context: Um, have people ever told you that you're very open?\Yes, all the time.\How could you tell?\Thank you. You really saved me.\I had a feeling that I would end up here.\Please, come on in.\I'll be excusing myself now.\No, please wait. I've got to properly thank you. response:	Come on in for a tea or something.
context: Yes, all the time.\How could you tell?\Thank you. You really saved me.\I had a feeling that I would end up here.\Please, come on in.\I'll be excusing myself now.\No, please wait. I've got to properly thank you.\Come on in for a tea or something. response:	Mom, did you fall again?
context: How could you tell?\Thank you. You really saved me.\I had a feeling that I would end up here.\Please, come on in.\I'll be excusing myself now.\No, please wait. I've got to properly thank you.\Come on in for a tea or something.\Mom, did you fall again? response:	Are you the repair man?
context: Thank you. You really saved me.\I had a feeling that I would end up here.\Please, come on in.\I'll be excusing myself now.\No, please wait. I've got to properly thank you.\Come on in for a tea or something.\Mom, did you fall again?\Are you the repair man? response:	Please go ahead.
context: I had a feeling that I would end up here.\Please, come on in.\I'll be excusing myself now.\No, please wait. I've got to properly thank you.\Come on in for a tea or something.\Mom, did you fall again?\Are you the repair man?\Please go ahead. response:	I'm sorry that we even had you fix the hallway.
context: Please, come on in.\I'll be excusing myself now.\No, please wait. I've got to properly thank you.\Come on in for a tea or something.\Mom, did you fall again?\Are you the repair man?\Please go ahead.\I'm sorry that we even had you fix the hallway. response:	It's nothing.
context: I'll be excusing myself now.\No, please wait. I've got to properly thank you.\Come on in for a tea or something.\Mom, did you fall again?\Are you the repair man?\Please go ahead.\I'm sorry that we even had you fix the hallway.\It's nothing. response:	Now with such a perfect repair job, that spot is the safest in the house.
context: No, please wait. I've got to properly thank you.\Come on in for a tea or something.\Mom, did you fall again?\Are you the repair man?\Please go ahead.\I'm sorry that we even had you fix the hallway.\It's nothing.\Now with such a perfect repair job, that spot is the safest in the house. response:	You're right.
context: Come on in for a tea or something.\Mom, did you fall again?\Are you the repair man?\Please go ahead.\I'm sorry that we even had you fix the hallway.\It's nothing.\Now with such a perfect repair job, that spot is the safest in the house.\You're right. response:	Please dig in, Usui-kun.
context: Mom, did you fall again?\Are you the repair man?\Please go ahead.\I'm sorry that we even had you fix the hallway.\It's nothing.\Now with such a perfect repair job, that spot is the safest in the house.\You're right.\Please dig in, Usui-kun. response:	Thank you.
context: Are you the repair man?\Please go ahead.\I'm sorry that we even had you fix the hallway.\It's nothing.\Now with such a perfect repair job, that spot is the safest in the house.\You're right.\Please dig in, Usui-kun.\Thank you. response:	Maybe we should take this opportunity to step through all the floorboards that are about to fall through.
context: Please go ahead.\I'm sorry that we even had you fix the hallway.\It's nothing.\Now with such a perfect repair job, that spot is the safest in the house.\You're right.\Please dig in, Usui-kun.\Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through. response:	That's dangerous to do, too.
context: I'm sorry that we even had you fix the hallway.\It's nothing.\Now with such a perfect repair job, that spot is the safest in the house.\You're right.\Please dig in, Usui-kun.\Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too. response:	I'm home!
context: It's nothing.\Now with such a perfect repair job, that spot is the safest in the house.\You're right.\Please dig in, Usui-kun.\Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too.\I'm home! response:	What?
context: Now with such a perfect repair job, that spot is the safest in the house.\You're right.\Please dig in, Usui-kun.\Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too.\I'm home!\What? response:	The hall's patched up.
context: You're right.\Please dig in, Usui-kun.\Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too.\I'm home!\What?\The hall's patched up. response:	The hall's patched up really well, but who did IT?!
context: Please dig in, Usui-kun.\Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too.\I'm home!\What?\The hall's patched up.\The hall's patched up really well, but who did IT?! response:	Usui? What are you doing here?
context: Thank you.\Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too.\I'm home!\What?\The hall's patched up.\The hall's patched up really well, but who did IT?!\Usui? What are you doing here? response:	Munch munch munch munch.
context: Maybe we should take this opportunity to step through all the floorboards that are about to fall through.\That's dangerous to do, too.\I'm home!\What?\The hall's patched up.\The hall's patched up really well, but who did IT?!\Usui? What are you doing here?\Munch munch munch munch. response:	It'll be a long story.
context: That's dangerous to do, too.\I'm home!\What?\The hall's patched up.\The hall's patched up really well, but who did IT?!\Usui? What are you doing here?\Munch munch munch munch.\It'll be a long story. response:	Make it short!
context: I'm home!\What?\The hall's patched up.\The hall's patched up really well, but who did IT?!\Usui? What are you doing here?\Munch munch munch munch.\It'll be a long story.\Make it short! response:	Oh. So you two were close friends.
context: What?\The hall's patched up.\The hall's patched up really well, but who did IT?!\Usui? What are you doing here?\Munch munch munch munch.\It'll be a long story.\Make it short!\Oh. So you two were close friends. response:	Just friends?
context: The hall's patched up.\The hall's patched up really well, but who did IT?!\Usui? What are you doing here?\Munch munch munch munch.\It'll be a long story.\Make it short!\Oh. So you two were close friends.\Just friends? response:	I asked him to come inside.
context: The hall's patched up really well, but who did IT?!\Usui? What are you doing here?\Munch munch munch munch.\It'll be a long story.\Make it short!\Oh. So you two were close friends.\Just friends?\I asked him to come inside. response:	He helped me on the street when I dropped my apples on the ground.
context: Usui? What are you doing here?\Munch munch munch munch.\It'll be a long story.\Make it short!\Oh. So you two were close friends.\Just friends?\I asked him to come inside.\He helped me on the street when I dropped my apples on the ground. response:	He even patched up the holes in the hallway.
context: Munch munch munch munch.\It'll be a long story.\Make it short!\Oh. So you two were close friends.\Just friends?\I asked him to come inside.\He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway. response:	What are you plotting?
context: It'll be a long story.\Make it short!\Oh. So you two were close friends.\Just friends?\I asked him to come inside.\He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway.\What are you plotting? response:	Nothing, it's just a coincidence.
context: Make it short!\Oh. So you two were close friends.\Just friends?\I asked him to come inside.\He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway.\What are you plotting?\Nothing, it's just a coincidence. response:	Sis tends to be skeptical of all men.
context: Oh. So you two were close friends.\Just friends?\I asked him to come inside.\He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway.\What are you plotting?\Nothing, it's just a coincidence.\Sis tends to be skeptical of all men. response:	You're right. She is kind of like that.
context: Just friends?\I asked him to come inside.\He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway.\What are you plotting?\Nothing, it's just a coincidence.\Sis tends to be skeptical of all men.\You're right. She is kind of like that. response:	After all, our father left us and we're having lots of trouble.
context: I asked him to come inside.\He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway.\What are you plotting?\Nothing, it's just a coincidence.\Sis tends to be skeptical of all men.\You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble. response:	Don't bring up such a depressing story!
context: He helped me on the street when I dropped my apples on the ground.\He even patched up the holes in the hallway.\What are you plotting?\Nothing, it's just a coincidence.\Sis tends to be skeptical of all men.\You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story! response:	You! That was nothing to laugh about!
context: He even patched up the holes in the hallway.\What are you plotting?\Nothing, it's just a coincidence.\Sis tends to be skeptical of all men.\You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story!\You! That was nothing to laugh about! response:	Get out of here already!
context: What are you plotting?\Nothing, it's just a coincidence.\Sis tends to be skeptical of all men.\You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story!\You! That was nothing to laugh about!\Get out of here already! response:	Thank you for inviting me in.
context: Nothing, it's just a coincidence.\Sis tends to be skeptical of all men.\You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story!\You! That was nothing to laugh about!\Get out of here already!\Thank you for inviting me in. response:	Oh, sorry we couldn't be better hosts.
context: Sis tends to be skeptical of all men.\You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story!\You! That was nothing to laugh about!\Get out of here already!\Thank you for inviting me in.\Oh, sorry we couldn't be better hosts. response:	Come back sometime.
context: You're right. She is kind of like that.\After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story!\You! That was nothing to laugh about!\Get out of here already!\Thank you for inviting me in.\Oh, sorry we couldn't be better hosts.\Come back sometime. response:	Come with me for a sec.
context: After all, our father left us and we're having lots of trouble.\Don't bring up such a depressing story!\You! That was nothing to laugh about!\Get out of here already!\Thank you for inviting me in.\Oh, sorry we couldn't be better hosts.\Come back sometime.\Come with me for a sec. response:	Move it.
context: Don't bring up such a depressing story!\You! That was nothing to laugh about!\Get out of here already!\Thank you for inviting me in.\Oh, sorry we couldn't be better hosts.\Come back sometime.\Come with me for a sec.\Move it. response:	Hey.
context: You! That was nothing to laugh about!\Get out of here already!\Thank you for inviting me in.\Oh, sorry we couldn't be better hosts.\Come back sometime.\Come with me for a sec.\Move it.\Hey. response:	That were Misaki and Usui-kun, right?
context: Get out of here already!\Thank you for inviting me in.\Oh, sorry we couldn't be better hosts.\Come back sometime.\Come with me for a sec.\Move it.\Hey.\That were Misaki and Usui-kun, right? response:	I believe they were.
context: Thank you for inviting me in.\Oh, sorry we couldn't be better hosts.\Come back sometime.\Come with me for a sec.\Move it.\Hey.\That were Misaki and Usui-kun, right?\I believe they were. response:	They left Misaki's house together.
context: Oh, sorry we couldn't be better hosts.\Come back sometime.\Come with me for a sec.\Move it.\Hey.\That were Misaki and Usui-kun, right?\I believe they were.\They left Misaki's house together. response:	And if I'm not mistaken, they were holding hands.
context: Come back sometime.\Come with me for a sec.\Move it.\Hey.\That were Misaki and Usui-kun, right?\I believe they were.\They left Misaki's house together.\And if I'm not mistaken, they were holding hands. response:	Let's go after them!
context: Come with me for a sec.\Move it.\Hey.\That were Misaki and Usui-kun, right?\I believe they were.\They left Misaki's house together.\And if I'm not mistaken, they were holding hands.\Let's go after them! response:	But they're completely out of sight already.
context: Move it.\Hey.\That were Misaki and Usui-kun, right?\I believe they were.\They left Misaki's house together.\And if I'm not mistaken, they were holding hands.\Let's go after them!\But they're completely out of sight already. response:	Uncle.
context: Hey.\That were Misaki and Usui-kun, right?\I believe they were.\They left Misaki's house together.\And if I'm not mistaken, they were holding hands.\Let's go after them!\But they're completely out of sight already.\Uncle. response:	I dragged Usui here, but now what?
context: That were Misaki and Usui-kun, right?\I believe they were.\They left Misaki's house together.\And if I'm not mistaken, they were holding hands.\Let's go after them!\But they're completely out of sight already.\Uncle.\I dragged Usui here, but now what? response:	Are you thinking that I plotted this, pretending to accidentally help carry the apples?
context: I believe they were.\They left Misaki's house together.\And if I'm not mistaken, they were holding hands.\Let's go after them!\But they're completely out of sight already.\Uncle.\I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples? response:	Well, I know mom's easily tricked,
context: They left Misaki's house together.\And if I'm not mistaken, they were holding hands.\Let's go after them!\But they're completely out of sight already.\Uncle.\I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked, response:	but I know you're not underhanded.
context: And if I'm not mistaken, they were holding hands.\Let's go after them!\But they're completely out of sight already.\Uncle.\I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked,\but I know you're not underhanded. response:	Thanks for helping Mom out.
context: Let's go after them!\But they're completely out of sight already.\Uncle.\I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked,\but I know you're not underhanded.\Thanks for helping Mom out. response:	Here, have a dango.
context: But they're completely out of sight already.\Uncle.\I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked,\but I know you're not underhanded.\Thanks for helping Mom out.\Here, have a dango. response:	I don't want one.
context: Uncle.\I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked,\but I know you're not underhanded.\Thanks for helping Mom out.\Here, have a dango.\I don't want one. response:	How about a manjuu?
context: I dragged Usui here, but now what?\Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked,\but I know you're not underhanded.\Thanks for helping Mom out.\Here, have a dango.\I don't want one.\How about a manjuu? response:	I don't want one.
context: Are you thinking that I plotted this, pretending to accidentally help carry the apples?\Well, I know mom's easily tricked,\but I know you're not underhanded.\Thanks for helping Mom out.\Here, have a dango.\I don't want one.\How about a manjuu?\I don't want one. response:	Seeing where you grew up was neat.
context: Well, I know mom's easily tricked,\but I know you're not underhanded.\Thanks for helping Mom out.\Here, have a dango.\I don't want one.\How about a manjuu?\I don't want one.\Seeing where you grew up was neat. response:	What do you mean?
context: but I know you're not underhanded.\Thanks for helping Mom out.\Here, have a dango.\I don't want one.\How about a manjuu?\I don't want one.\Seeing where you grew up was neat.\What do you mean? response:	I understand a lot now.
context: Thanks for helping Mom out.\Here, have a dango.\I don't want one.\How about a manjuu?\I don't want one.\Seeing where you grew up was neat.\What do you mean?\I understand a lot now. response:	What's with that smirk?
context: Here, have a dango.\I don't want one.\How about a manjuu?\I don't want one.\Seeing where you grew up was neat.\What do you mean?\I understand a lot now.\What's with that smirk? response:	Don't think you gained a trump card over me.
context: I don't want one.\How about a manjuu?\I don't want one.\Seeing where you grew up was neat.\What do you mean?\I understand a lot now.\What's with that smirk?\Don't think you gained a trump card over me. response:	Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.
context: How about a manjuu?\I don't want one.\Seeing where you grew up was neat.\What do you mean?\I understand a lot now.\What's with that smirk?\Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all. response:	I'm not talking about that.
context: I don't want one.\Seeing where you grew up was neat.\What do you mean?\I understand a lot now.\What's with that smirk?\Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that. response:	Those bunny apples.
context: Seeing where you grew up was neat.\What do you mean?\I understand a lot now.\What's with that smirk?\Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that.\Those bunny apples. response:	I learned that the Ayuzawas always eat apples that way.
context: What do you mean?\I understand a lot now.\What's with that smirk?\Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that.\Those bunny apples.\I learned that the Ayuzawas always eat apples that way. response:	That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.
context: I understand a lot now.\What's with that smirk?\Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that.\Those bunny apples.\I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now. response:	The markings on the column were cute, too.
context: What's with that smirk?\Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that.\Those bunny apples.\I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too. response:	You saw those?!
context: Don't think you gained a trump card over me.\Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that.\Those bunny apples.\I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too.\You saw those?! response:	I bet you were cute as a child, too.
context: Even if our father has left us or even if the house is totally run down, I'm not ashamed about it at all.\I'm not talking about that.\Those bunny apples.\I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too.\You saw those?!\I bet you were cute as a child, too. response:	I want tons of secrets about you that only I know.
context: I'm not talking about that.\Those bunny apples.\I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too.\You saw those?!\I bet you were cute as a child, too.\I want tons of secrets about you that only I know. response:	One secret is enough!
context: Those bunny apples.\I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too.\You saw those?!\I bet you were cute as a child, too.\I want tons of secrets about you that only I know.\One secret is enough! response:	I will never let you into my house!
context: I learned that the Ayuzawas always eat apples that way.\That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too.\You saw those?!\I bet you were cute as a child, too.\I want tons of secrets about you that only I know.\One secret is enough!\I will never let you into my house! response:	You are forbidden to come to my place!
context: That's because Suzuna and I used to always ask for those as a child, and it's just a habit now.\The markings on the column were cute, too.\You saw those?!\I bet you were cute as a child, too.\I want tons of secrets about you that only I know.\One secret is enough!\I will never let you into my house!\You are forbidden to come to my place! response:	Misaki! Good morning!
context: The markings on the column were cute, too.\You saw those?!\I bet you were cute as a child, too.\I want tons of secrets about you that only I know.\One secret is enough!\I will never let you into my house!\You are forbidden to come to my place!\Misaki! Good morning! response:	Good morning.
context: You saw those?!\I bet you were cute as a child, too.\I want tons of secrets about you that only I know.\One secret is enough!\I will never let you into my house!\You are forbidden to come to my place!\Misaki! Good morning!\Good morning. response:	Hey. Good morning.
context: I bet you were cute as a child, too.\I want tons of secrets about you that only I know.\One secret is enough!\I will never let you into my house!\You are forbidden to come to my place!\Misaki! Good morning!\Good morning.\Hey. Good morning. response:	Gosh, Misaki. You didn't have to hide it from us.
context: I want tons of secrets about you that only I know.\One secret is enough!\I will never let you into my house!\You are forbidden to come to my place!\Misaki! Good morning!\Good morning.\Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us. response:	What are you talking about?
context: One secret is enough!\I will never let you into my house!\You are forbidden to come to my place!\Misaki! Good morning!\Good morning.\Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us.\What are you talking about? response:	Yesterday, we saw you coming out of your house with Usui-kun.
context: I will never let you into my house!\You are forbidden to come to my place!\Misaki! Good morning!\Good morning.\Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us.\What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun. response:	While holding hands, too.
context: You are forbidden to come to my place!\Misaki! Good morning!\Good morning.\Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us.\What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too. response:	And very tightly.
context: Misaki! Good morning!\Good morning.\Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us.\What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too.\And very tightly. response:	Great, that moment.
context: Good morning.\Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us.\What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too.\And very tightly.\Great, that moment. response:	If you two were dating, you should have told us.
context: Hey. Good morning.\Gosh, Misaki. You didn't have to hide it from us.\What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too.\And very tightly.\Great, that moment.\If you two were dating, you should have told us. response:	Aren't we best friends?
context: Gosh, Misaki. You didn't have to hide it from us.\What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too.\And very tightly.\Great, that moment.\If you two were dating, you should have told us.\Aren't we best friends? response:	Wait. You got it wrong.
context: What are you talking about?\Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too.\And very tightly.\Great, that moment.\If you two were dating, you should have told us.\Aren't we best friends?\Wait. You got it wrong. response:	Usui helped my mother by chance, made his way into the house,
context: Yesterday, we saw you coming out of your house with Usui-kun.\While holding hands, too.\And very tightly.\Great, that moment.\If you two were dating, you should have told us.\Aren't we best friends?\Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house, response:	and I was grabbing his hands as I was dragging him out of there.
context: While holding hands, too.\And very tightly.\Great, that moment.\If you two were dating, you should have told us.\Aren't we best friends?\Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house,\and I was grabbing his hands as I was dragging him out of there. response:	Oh, so that was all.
context: And very tightly.\Great, that moment.\If you two were dating, you should have told us.\Aren't we best friends?\Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house,\and I was grabbing his hands as I was dragging him out of there.\Oh, so that was all. response:	Bummer. We were talking about it all last night.
context: Great, that moment.\If you two were dating, you should have told us.\Aren't we best friends?\Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house,\and I was grabbing his hands as I was dragging him out of there.\Oh, so that was all.\Bummer. We were talking about it all last night. response:	Yes, what a letdown.
context: If you two were dating, you should have told us.\Aren't we best friends?\Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house,\and I was grabbing his hands as I was dragging him out of there.\Oh, so that was all.\Bummer. We were talking about it all last night.\Yes, what a letdown. response:	Then you don't go to Usui-kun's house at all?
context: Aren't we best friends?\Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house,\and I was grabbing his hands as I was dragging him out of there.\Oh, so that was all.\Bummer. We were talking about it all last night.\Yes, what a letdown.\Then you don't go to Usui-kun's house at all? response:	Never. I don't even know his address.
context: Wait. You got it wrong.\Usui helped my mother by chance, made his way into the house,\and I was grabbing his hands as I was dragging him out of there.\Oh, so that was all.\Bummer. We were talking about it all last night.\Yes, what a letdown.\Then you don't go to Usui-kun's house at all?\Never. I don't even know his address. response:	It's nothing I care about.
