context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: CELL\What are you doing?\Senpai!\Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again?\Sorry.\Let me see. response:	Hey, I'm heading that way, too.
context: What are you doing?\Senpai!\Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again?\Sorry.\Let me see.\Hey, I'm heading that way, too. response:	So wanna tag along with me partway?
context: Senpai!\Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again?\Sorry.\Let me see.\Hey, I'm heading that way, too.\So wanna tag along with me partway? response:	Yes! I'm counting on you!
context: Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again?\Sorry.\Let me see.\Hey, I'm heading that way, too.\So wanna tag along with me partway?\Yes! I'm counting on you! response:	Heave-ho! Heave-ho! Heave-ho!
context: Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again?\Sorry.\Let me see.\Hey, I'm heading that way, too.\So wanna tag along with me partway?\Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho! response:	Heave-ho! Heave-ho! Heave...
context: Lost your way again?\Sorry.\Let me see.\Hey, I'm heading that way, too.\So wanna tag along with me partway?\Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave... response:	So cute!
context: Sorry.\Let me see.\Hey, I'm heading that way, too.\So wanna tag along with me partway?\Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave...\So cute! response:	They sure are!
context: Let me see.\Hey, I'm heading that way, too.\So wanna tag along with me partway?\Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave...\So cute!\They sure are! response:	Heave-ho! Heave-ho! Heave-ho! Heave-ho!
context: Hey, I'm heading that way, too.\So wanna tag along with me partway?\Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave...\So cute!\They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho! response:	Everybody, stop!
context: So wanna tag along with me partway?\Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave...\So cute!\They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop! response:	PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.
context: Yes! I'm counting on you!\Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave...\So cute!\They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds. response:	Platelets. A type of blood component.
context: Heave-ho! Heave-ho! Heave-ho!\Heave-ho! Heave-ho! Heave...\So cute!\They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component. response:	They aggregate when the blood vessels are damaged,
context: Heave-ho! Heave-ho! Heave...\So cute!\They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component.\They aggregate when the blood vessels are damaged, response:	and cover the wounds.
context: So cute!\They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component.\They aggregate when the blood vessels are damaged,\and cover the wounds. response:	There's a stairway!
context: They sure are!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component.\They aggregate when the blood vessels are damaged,\and cover the wounds.\There's a stairway! response:	You're right!
context: Heave-ho! Heave-ho! Heave-ho! Heave-ho!\Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component.\They aggregate when the blood vessels are damaged,\and cover the wounds.\There's a stairway!\You're right! response:	Everybody, be careful!
context: Everybody, stop!\PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component.\They aggregate when the blood vessels are damaged,\and cover the wounds.\There's a stairway!\You're right!\Everybody, be careful! response:	Okay!
context: PLATELETS: A type of blood component. They aggregate when the blood vessels are damaged, and cover the wounds.\Platelets. A type of blood component.\They aggregate when the blood vessels are damaged,\and cover the wounds.\There's a stairway!\You're right!\Everybody, be careful!\Okay! response:	Heave-ho! Heave-ho!
context: Platelets. A type of blood component.\They aggregate when the blood vessels are damaged,\and cover the wounds.\There's a stairway!\You're right!\Everybody, be careful!\Okay!\Heave-ho! Heave-ho! response:	We made it down!
context: They aggregate when the blood vessels are damaged,\and cover the wounds.\There's a stairway!\You're right!\Everybody, be careful!\Okay!\Heave-ho! Heave-ho!\We made it down! response:	Yay!
context: and cover the wounds.\There's a stairway!\You're right!\Everybody, be careful!\Okay!\Heave-ho! Heave-ho!\We made it down!\Yay! response:	Big Brother Red Blood Cell!
context: There's a stairway!\You're right!\Everybody, be careful!\Okay!\Heave-ho! Heave-ho!\We made it down!\Yay!\Big Brother Red Blood Cell! response:	- Let me ride on your shoulders! - Put your hat on straight.
context: You're right!\Everybody, be careful!\Okay!\Heave-ho! Heave-ho!\We made it down!\Yay!\Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight. response:	- Thanks! - You know what? You see...
context: Everybody, be careful!\Okay!\Heave-ho! Heave-ho!\We made it down!\Yay!\Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see... response:	- You made it down, huh? - Good job!
context: Okay!\Heave-ho! Heave-ho!\We made it down!\Yay!\Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see...\- You made it down, huh? - Good job! response:	These days,
context: Heave-ho! Heave-ho!\We made it down!\Yay!\Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see...\- You made it down, huh? - Good job!\These days, response:	things are peaceful inside this blood vessel!
context: We made it down!\Yay!\Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see...\- You made it down, huh? - Good job!\These days,\things are peaceful inside this blood vessel! response:	EPISODE 2: SCRAPE WOUND
context: Yay!\Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see...\- You made it down, huh? - Good job!\These days,\things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND response:	Scrape wound.
context: Big Brother Red Blood Cell!\- Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see...\- You made it down, huh? - Good job!\These days,\things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND\Scrape wound. response:	Heave-ho!
context: - Let me ride on your shoulders! - Put your hat on straight.\- Thanks! - You know what? You see...\- You made it down, huh? - Good job!\These days,\things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND\Scrape wound.\Heave-ho! response:	I dropped it!
context: - Thanks! - You know what? You see...\- You made it down, huh? - Good job!\These days,\things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND\Scrape wound.\Heave-ho!\I dropped it! response:	Can someone pick it up?
context: - You made it down, huh? - Good job!\These days,\things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND\Scrape wound.\Heave-ho!\I dropped it!\Can someone pick it up? response:	This?
context: These days,\things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND\Scrape wound.\Heave-ho!\I dropped it!\Can someone pick it up?\This? response:	Big Sister Red Blood Cell!
context: things are peaceful inside this blood vessel!\EPISODE 2: SCRAPE WOUND\Scrape wound.\Heave-ho!\I dropped it!\Can someone pick it up?\This?\Big Sister Red Blood Cell! response:	Here you go!
context: EPISODE 2: SCRAPE WOUND\Scrape wound.\Heave-ho!\I dropped it!\Can someone pick it up?\This?\Big Sister Red Blood Cell!\Here you go! response:	Thank you!
context: Scrape wound.\Heave-ho!\I dropped it!\Can someone pick it up?\This?\Big Sister Red Blood Cell!\Here you go!\Thank you! response:	Everybody! Let's wash the fibrin here!
context: Heave-ho!\I dropped it!\Can someone pick it up?\This?\Big Sister Red Blood Cell!\Here you go!\Thank you!\Everybody! Let's wash the fibrin here! response:	Okay!
context: I dropped it!\Can someone pick it up?\This?\Big Sister Red Blood Cell!\Here you go!\Thank you!\Everybody! Let's wash the fibrin here!\Okay! response:	Heave-ho, heave-ho, heave-ho, heave-ho!
context: Can someone pick it up?\This?\Big Sister Red Blood Cell!\Here you go!\Thank you!\Everybody! Let's wash the fibrin here!\Okay!\Heave-ho, heave-ho, heave-ho, heave-ho! response:	Scrub, scrub! Scrub, scrub!
context: This?\Big Sister Red Blood Cell!\Here you go!\Thank you!\Everybody! Let's wash the fibrin here!\Okay!\Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub! response:	All right! Let's head off to work!
context: Big Sister Red Blood Cell!\Here you go!\Thank you!\Everybody! Let's wash the fibrin here!\Okay!\Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub!\All right! Let's head off to work! response:	Right, Senpai!
context: Here you go!\Thank you!\Everybody! Let's wash the fibrin here!\Okay!\Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub!\All right! Let's head off to work!\Right, Senpai! response:	No, no.
context: Thank you!\Everybody! Let's wash the fibrin here!\Okay!\Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub!\All right! Let's head off to work!\Right, Senpai!\No, no. response:	This way.
context: Everybody! Let's wash the fibrin here!\Okay!\Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub!\All right! Let's head off to work!\Right, Senpai!\No, no.\This way. response:	I-I'm so sorry.
context: Okay!\Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub!\All right! Let's head off to work!\Right, Senpai!\No, no.\This way.\I-I'm so sorry. response:	Make sure you get all these routes down pat
context: Heave-ho, heave-ho, heave-ho, heave-ho!\Scrub, scrub! Scrub, scrub!\All right! Let's head off to work!\Right, Senpai!\No, no.\This way.\I-I'm so sorry.\Make sure you get all these routes down pat response:	so you can stand on your own two feet.
context: Scrub, scrub! Scrub, scrub!\All right! Let's head off to work!\Right, Senpai!\No, no.\This way.\I-I'm so sorry.\Make sure you get all these routes down pat\so you can stand on your own two feet. response:	Got that?
context: All right! Let's head off to work!\Right, Senpai!\No, no.\This way.\I-I'm so sorry.\Make sure you get all these routes down pat\so you can stand on your own two feet.\Got that? response:	Right!
context: Right, Senpai!\No, no.\This way.\I-I'm so sorry.\Make sure you get all these routes down pat\so you can stand on your own two feet.\Got that?\Right! response:	SKIN 400 m
context: No, no.\This way.\I-I'm so sorry.\Make sure you get all these routes down pat\so you can stand on your own two feet.\Got that?\Right!\SKIN 400 m response:	It's so peaceful, isn't it, Senpai?
context: This way.\I-I'm so sorry.\Make sure you get all these routes down pat\so you can stand on your own two feet.\Got that?\Right!\SKIN 400 m\It's so peaceful, isn't it, Senpai? response:	I guess so.
context: I-I'm so sorry.\Make sure you get all these routes down pat\so you can stand on your own two feet.\Got that?\Right!\SKIN 400 m\It's so peaceful, isn't it, Senpai?\I guess so. response:	But you know what, from this point on, you need to stay alert.
context: Make sure you get all these routes down pat\so you can stand on your own two feet.\Got that?\Right!\SKIN 400 m\It's so peaceful, isn't it, Senpai?\I guess so.\But you know what, from this point on, you need to stay alert. response:	Why is that?
context: so you can stand on your own two feet.\Got that?\Right!\SKIN 400 m\It's so peaceful, isn't it, Senpai?\I guess so.\But you know what, from this point on, you need to stay alert.\Why is that? response:	Since this part of the blood vessel is really close to the skin,
context: Got that?\Right!\SKIN 400 m\It's so peaceful, isn't it, Senpai?\I guess so.\But you know what, from this point on, you need to stay alert.\Why is that?\Since this part of the blood vessel is really close to the skin, response:	even the slightest trauma will have a huge
context: Right!\SKIN 400 m\It's so peaceful, isn't it, Senpai?\I guess so.\But you know what, from this point on, you need to stay alert.\Why is that?\Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge response:	Wh-What was that just now?
context: SKIN 400 m\It's so peaceful, isn't it, Senpai?\I guess so.\But you know what, from this point on, you need to stay alert.\Why is that?\Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge\Wh-What was that just now? response:	The skin's susceptible to external stimulation.
context: It's so peaceful, isn't it, Senpai?\I guess so.\But you know what, from this point on, you need to stay alert.\Why is that?\Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge\Wh-What was that just now?\The skin's susceptible to external stimulation. response:	Good thing there wasn't much damage this time!
context: I guess so.\But you know what, from this point on, you need to stay alert.\Why is that?\Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge\Wh-What was that just now?\The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time! response:	Damage?
context: But you know what, from this point on, you need to stay alert.\Why is that?\Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge\Wh-What was that just now?\The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time!\Damage? response:	For example...
context: Why is that?\Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge\Wh-What was that just now?\The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time!\Damage?\For example... response:	What was that?
context: Since this part of the blood vessel is really close to the skin,\even the slightest trauma will have a huge\Wh-What was that just now?\The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time!\Damage?\For example...\What was that? response:	H-Hey! Look at that!
context: even the slightest trauma will have a huge\Wh-What was that just now?\The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time!\Damage?\For example...\What was that?\H-Hey! Look at that! response:	There's light over there!
context: Wh-What was that just now?\The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time!\Damage?\For example...\What was that?\H-Hey! Look at that!\There's light over there! response:	What is that?
context: The skin's susceptible to external stimulation.\Good thing there wasn't much damage this time!\Damage?\For example...\What was that?\H-Hey! Look at that!\There's light over there!\What is that? response:	It's sucking me in!
context: Good thing there wasn't much damage this time!\Damage?\For example...\What was that?\H-Hey! Look at that!\There's light over there!\What is that?\It's sucking me in! response:	WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.
context: Damage?\For example...\What was that?\H-Hey! Look at that!\There's light over there!\What is that?\It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule. response:	Hey. So we meet again.
context: For example...\What was that?\H-Hey! Look at that!\There's light over there!\What is that?\It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again. response:	Wh-White Blood Cell!
context: What was that?\H-Hey! Look at that!\There's light over there!\What is that?\It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again.\Wh-White Blood Cell! response:	What's going on? What's all this?
context: H-Hey! Look at that!\There's light over there!\What is that?\It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again.\Wh-White Blood Cell!\What's going on? What's all this? response:	Isn't it obvious?
context: There's light over there!\What is that?\It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again.\Wh-White Blood Cell!\What's going on? What's all this?\Isn't it obvious? response:	Due to external trauma,
context: What is that?\It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again.\Wh-White Blood Cell!\What's going on? What's all this?\Isn't it obvious?\Due to external trauma, response:	the blood vessel's outer wall has been destroyed,
context: It's sucking me in!\WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again.\Wh-White Blood Cell!\What's going on? What's all this?\Isn't it obvious?\Due to external trauma,\the blood vessel's outer wall has been destroyed, response:	causing blood cells to get swept away.
context: WHITE BLOOD CELLS: Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. White blood cells can bind to vascular endothelial cells thanks to L-selectin, an adhesive molecule.\Hey. So we meet again.\Wh-White Blood Cell!\What's going on? What's all this?\Isn't it obvious?\Due to external trauma,\the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away. response:	Run!
context: Hey. So we meet again.\Wh-White Blood Cell!\What's going on? What's all this?\Isn't it obvious?\Due to external trauma,\the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away.\Run! response:	In other words,
context: Wh-White Blood Cell!\What's going on? What's all this?\Isn't it obvious?\Due to external trauma,\the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away.\Run!\In other words, response:	it's an abrasion!
context: What's going on? What's all this?\Isn't it obvious?\Due to external trauma,\the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away.\Run!\In other words,\it's an abrasion! response:	Abrasion?
context: Isn't it obvious?\Due to external trauma,\the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away.\Run!\In other words,\it's an abrasion!\Abrasion? response:	ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.
context: Due to external trauma,\the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away.\Run!\In other words,\it's an abrasion!\Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis. response:	Abrasion.
context: the blood vessel's outer wall has been destroyed,\causing blood cells to get swept away.\Run!\In other words,\it's an abrasion!\Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion. response:	A wound formed when the skin is scraped.
context: causing blood cells to get swept away.\Run!\In other words,\it's an abrasion!\Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion.\A wound formed when the skin is scraped. response:	Refers to wounds that are no deeper than the epidermis.
context: Run!\In other words,\it's an abrasion!\Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion.\A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis. response:	If we fall from this wound, it'll be the end.
context: In other words,\it's an abrasion!\Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion.\A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end. response:	There'll be no getting back to this world.
context: it's an abrasion!\Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion.\A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end.\There'll be no getting back to this world. response:	If we fall, will it be the end?
context: Abrasion?\ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion.\A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end.\There'll be no getting back to this world.\If we fall, will it be the end? response:	But that means we're in big trouble! We've got to do something quick!
context: ABRASION (GRAZE): A wound formed when the skin is scraped. Refers to wounds that are no deeper than the epidermis.\Abrasion.\A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end.\There'll be no getting back to this world.\If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick! response:	Quiet!
context: Abrasion.\A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end.\There'll be no getting back to this world.\If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick!\Quiet! response:	This wound will be taken care of eventually.
context: A wound formed when the skin is scraped.\Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end.\There'll be no getting back to this world.\If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick!\Quiet!\This wound will be taken care of eventually. response:	It's just that there's a hassle we have to deal with first.
context: Refers to wounds that are no deeper than the epidermis.\If we fall from this wound, it'll be the end.\There'll be no getting back to this world.\If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick!\Quiet!\This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first. response:	What I mean is...
context: If we fall from this wound, it'll be the end.\There'll be no getting back to this world.\If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick!\Quiet!\This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first.\What I mean is... response:	They're here!
context: There'll be no getting back to this world.\If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick!\Quiet!\This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first.\What I mean is...\They're here! response:	Get down!
context: If we fall, will it be the end?\But that means we're in big trouble! We've got to do something quick!\Quiet!\This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first.\What I mean is...\They're here!\Get down! response:	Damn germs!
context: But that means we're in big trouble! We've got to do something quick!\Quiet!\This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first.\What I mean is...\They're here!\Get down!\Damn germs! response:	So this is the inside of a human body, huh?
context: Quiet!\This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first.\What I mean is...\They're here!\Get down!\Damn germs!\So this is the inside of a human body, huh? response:	Just like the rumors, it's an ideal place for us to spawn!
context: This wound will be taken care of eventually.\It's just that there's a hassle we have to deal with first.\What I mean is...\They're here!\Get down!\Damn germs!\So this is the inside of a human body, huh?\Just like the rumors, it's an ideal place for us to spawn! response:	Not bad, wouldn't you say?
context: It's just that there's a hassle we have to deal with first.\What I mean is...\They're here!\Get down!\Damn germs!\So this is the inside of a human body, huh?\Just like the rumors, it's an ideal place for us to spawn!\Not bad, wouldn't you say? response:	STAPHYLOCOCCUS AUREUS: An antigen residing in the skin and pores. It's highly toxic, and if it invades the body through an abrasion, it can cause skin infections, food poisoning, pneumonia, meningitis, sepsis and the like.
context: What I mean is...\They're here!\Get down!\Damn germs!\So this is the inside of a human body, huh?\Just like the rumors, it's an ideal place for us to spawn!\Not bad, wouldn't you say?\STAPHYLOCOCCUS AUREUS: An antigen residing in the skin and pores. It's highly toxic, and if it invades the body through an abrasion, it can cause skin infections, food poisoning, pneumonia, meningitis, sepsis and the like. response:	Staphylococcus aureus.
context: They're here!\Get down!\Damn germs!\So this is the inside of a human body, huh?\Just like the rumors, it's an ideal place for us to spawn!\Not bad, wouldn't you say?\STAPHYLOCOCCUS AUREUS: An antigen residing in the skin and pores. It's highly toxic, and if it invades the body through an abrasion, it can cause skin infections, food poisoning, pneumonia, meningitis, sepsis and the like.\Staphylococcus aureus. response:	An antigen residing in the skin and pores.
