context: Wait! Please just listen to me for now. response:	Not on your life!
context: I thought to spare thy life but...\I shall obliterate thee after all!\That's bad! She's dead serious!\Big brother!\I was so angry, I missed my aim.\I'll eliminate thee next time!\Even so, I can't move until you listen to me!\Why? Why does my chest feel like this? response:	Wait! Your opponents are us, right?!
context: I shall obliterate thee after all!\That's bad! She's dead serious!\Big brother!\I was so angry, I missed my aim.\I'll eliminate thee next time!\Even so, I can't move until you listen to me!\Why? Why does my chest feel like this?\Wait! Your opponents are us, right?! response:	Haven't learned your lesson yet?
context: That's bad! She's dead serious!\Big brother!\I was so angry, I missed my aim.\I'll eliminate thee next time!\Even so, I can't move until you listen to me!\Why? Why does my chest feel like this?\Wait! Your opponents are us, right?!\Haven't learned your lesson yet? response:	A Sekirei not yet emerged doesn't know anything!
context: Big brother!\I was so angry, I missed my aim.\I'll eliminate thee next time!\Even so, I can't move until you listen to me!\Why? Why does my chest feel like this?\Wait! Your opponents are us, right?!\Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything! response:	Seo!
context: I was so angry, I missed my aim.\I'll eliminate thee next time!\Even so, I can't move until you listen to me!\Why? Why does my chest feel like this?\Wait! Your opponents are us, right?!\Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything!\Seo! response:	This man! Is he an Ashikabi, too?!
context: I'll eliminate thee next time!\Even so, I can't move until you listen to me!\Why? Why does my chest feel like this?\Wait! Your opponents are us, right?!\Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything!\Seo!\This man! Is he an Ashikabi, too?! response:	Geez, guess I've got no choice.
context: Even so, I can't move until you listen to me!\Why? Why does my chest feel like this?\Wait! Your opponents are us, right?!\Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything!\Seo!\This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice. response:	Hey! Close your eyes, kid!
context: Why? Why does my chest feel like this?\Wait! Your opponents are us, right?!\Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything!\Seo!\This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice.\Hey! Close your eyes, kid! response:	This is a little too stimulating for ya.
context: Wait! Your opponents are us, right?!\Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything!\Seo!\This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice.\Hey! Close your eyes, kid!\This is a little too stimulating for ya. response:	Enough! Just do it!
context: Haven't learned your lesson yet?\A Sekirei not yet emerged doesn't know anything!\Seo!\This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice.\Hey! Close your eyes, kid!\This is a little too stimulating for ya.\Enough! Just do it! response:	Wh-What art thou going to do?
context: A Sekirei not yet emerged doesn't know anything!\Seo!\This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice.\Hey! Close your eyes, kid!\This is a little too stimulating for ya.\Enough! Just do it!\Wh-What art thou going to do? response:	Don't look!
context: Seo!\This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice.\Hey! Close your eyes, kid!\This is a little too stimulating for ya.\Enough! Just do it!\Wh-What art thou going to do?\Don't look! response:	Don't look! Don't look, Ku-chan!
context: This man! Is he an Ashikabi, too?!\Geez, guess I've got no choice.\Hey! Close your eyes, kid!\This is a little too stimulating for ya.\Enough! Just do it!\Wh-What art thou going to do?\Don't look!\Don't look! Don't look, Ku-chan! response:	Don't look, Ku-chan!
context: Geez, guess I've got no choice.\Hey! Close your eyes, kid!\This is a little too stimulating for ya.\Enough! Just do it!\Wh-What art thou going to do?\Don't look!\Don't look! Don't look, Ku-chan!\Don't look, Ku-chan! response:	Wh-Wh-What are ye doing?!
context: Hey! Close your eyes, kid!\This is a little too stimulating for ya.\Enough! Just do it!\Wh-What art thou going to do?\Don't look!\Don't look! Don't look, Ku-chan!\Don't look, Ku-chan!\Wh-Wh-What are ye doing?! response:	This is how...
context: This is a little too stimulating for ya.\Enough! Just do it!\Wh-What art thou going to do?\Don't look!\Don't look! Don't look, Ku-chan!\Don't look, Ku-chan!\Wh-Wh-What are ye doing?!\This is how... response:	Thunderstorm of our pact, destroy our Ashikabi's misfortune!
context: Enough! Just do it!\Wh-What art thou going to do?\Don't look!\Don't look! Don't look, Ku-chan!\Don't look, Ku-chan!\Wh-Wh-What are ye doing?!\This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune! response:	This is an incantation only emerged Sekireis can use...
context: Wh-What art thou going to do?\Don't look!\Don't look! Don't look, Ku-chan!\Don't look, Ku-chan!\Wh-Wh-What are ye doing?!\This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use... response:	That is...
context: Don't look!\Don't look! Don't look, Ku-chan!\Don't look, Ku-chan!\Wh-Wh-What are ye doing?!\This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use...\That is... response:	The special words to chant when we use major power...
context: Don't look! Don't look, Ku-chan!\Don't look, Ku-chan!\Wh-Wh-What are ye doing?!\This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use...\That is...\The special words to chant when we use major power... response:	Every Sekirei has his or her own incantation.
context: Don't look, Ku-chan!\Wh-Wh-What are ye doing?!\This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use...\That is...\The special words to chant when we use major power...\Every Sekirei has his or her own incantation. response:	The incantation...
context: Wh-Wh-What are ye doing?!\This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use...\That is...\The special words to chant when we use major power...\Every Sekirei has his or her own incantation.\The incantation... response:	God's Song - God's Song! - God's Song!
context: This is how...\Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use...\That is...\The special words to chant when we use major power...\Every Sekirei has his or her own incantation.\The incantation...\God's Song - God's Song! - God's Song! response:	- God's Song! - God's Song!
context: Thunderstorm of our pact, destroy our Ashikabi's misfortune!\This is an incantation only emerged Sekireis can use...\That is...\The special words to chant when we use major power...\Every Sekirei has his or her own incantation.\The incantation...\God's Song - God's Song! - God's Song!\- God's Song! - God's Song! response:	Watch out!
context: This is an incantation only emerged Sekireis can use...\That is...\The special words to chant when we use major power...\Every Sekirei has his or her own incantation.\The incantation...\God's Song - God's Song! - God's Song!\- God's Song! - God's Song!\Watch out! response:	High energy reaction!
context: That is...\The special words to chant when we use major power...\Every Sekirei has his or her own incantation.\The incantation...\God's Song - God's Song! - God's Song!\- God's Song! - God's Song!\Watch out!\High energy reaction! response:	Musubi-tan High energy reaction!
context: The special words to chant when we use major power...\Every Sekirei has his or her own incantation.\The incantation...\God's Song - God's Song! - God's Song!\- God's Song! - God's Song!\Watch out!\High energy reaction!\Musubi-tan High energy reaction! response:	Musubi-tan They are in big trouble!
context: Every Sekirei has his or her own incantation.\The incantation...\God's Song - God's Song! - God's Song!\- God's Song! - God's Song!\Watch out!\High energy reaction!\Musubi-tan High energy reaction!\Musubi-tan They are in big trouble! response:	Musubi-tan Hello? Musubi-tan?
context: The incantation...\God's Song - God's Song! - God's Song!\- God's Song! - God's Song!\Watch out!\High energy reaction!\Musubi-tan High energy reaction!\Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan? response:	Hello? Musubi-tan?
context: God's Song - God's Song! - God's Song!\- God's Song! - God's Song!\Watch out!\High energy reaction!\Musubi-tan High energy reaction!\Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan? response:	Thunder?
context: - God's Song! - God's Song!\Watch out!\High energy reaction!\Musubi-tan High energy reaction!\Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan?\Thunder? response:	Incoming > > > > > Matsu
context: Watch out!\High energy reaction!\Musubi-tan High energy reaction!\Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan?\Thunder?\Incoming > > > > > Matsu response:	Incoming > > > > > Matsu Matsu-san!
context: High energy reaction!\Musubi-tan High energy reaction!\Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan?\Thunder?\Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san! response:	Matsu-san!
context: Musubi-tan High energy reaction!\Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan?\Thunder?\Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san!\Matsu-san! response:	Go to the place on the map I'll send you.
context: Musubi-tan They are in big trouble!\Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan?\Thunder?\Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san!\Matsu-san!\Go to the place on the map I'll send you. response:	Mina-tan might be in danger!
context: Musubi-tan Hello? Musubi-tan?\Hello? Musubi-tan?\Thunder?\Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san!\Matsu-san!\Go to the place on the map I'll send you.\Mina-tan might be in danger! response:	He's in our way!
context: Hello? Musubi-tan?\Thunder?\Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san!\Matsu-san!\Go to the place on the map I'll send you.\Mina-tan might be in danger!\He's in our way! response:	Thou!
context: Thunder?\Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san!\Matsu-san!\Go to the place on the map I'll send you.\Mina-tan might be in danger!\He's in our way!\Thou! response:	We can't have him as collateral damage, you know?
context: Incoming > > > > > Matsu\Incoming > > > > > Matsu Matsu-san!\Matsu-san!\Go to the place on the map I'll send you.\Mina-tan might be in danger!\He's in our way!\Thou!\We can't have him as collateral damage, you know? response:	A-Are you okay?
context: Incoming > > > > > Matsu Matsu-san!\Matsu-san!\Go to the place on the map I'll send you.\Mina-tan might be in danger!\He's in our way!\Thou!\We can't have him as collateral damage, you know?\A-Are you okay? response:	This man protected me with his own body...
context: Matsu-san!\Go to the place on the map I'll send you.\Mina-tan might be in danger!\He's in our way!\Thou!\We can't have him as collateral damage, you know?\A-Are you okay?\This man protected me with his own body... response:	We won't miss next time.
context: Go to the place on the map I'll send you.\Mina-tan might be in danger!\He's in our way!\Thou!\We can't have him as collateral damage, you know?\A-Are you okay?\This man protected me with his own body...\We won't miss next time. response:	Is that the best thou canst do?
context: Mina-tan might be in danger!\He's in our way!\Thou!\We can't have him as collateral damage, you know?\A-Are you okay?\This man protected me with his own body...\We won't miss next time.\Is that the best thou canst do? response:	It escaped.
context: He's in our way!\Thou!\We can't have him as collateral damage, you know?\A-Are you okay?\This man protected me with his own body...\We won't miss next time.\Is that the best thou canst do?\It escaped. response:	Hey, stop there!
context: Thou!\We can't have him as collateral damage, you know?\A-Are you okay?\This man protected me with his own body...\We won't miss next time.\Is that the best thou canst do?\It escaped.\Hey, stop there! response:	Seo-san, please calm down!
context: We can't have him as collateral damage, you know?\A-Are you okay?\This man protected me with his own body...\We won't miss next time.\Is that the best thou canst do?\It escaped.\Hey, stop there!\Seo-san, please calm down! response:	Don't come any closer!
context: A-Are you okay?\This man protected me with his own body...\We won't miss next time.\Is that the best thou canst do?\It escaped.\Hey, stop there!\Seo-san, please calm down!\Don't come any closer! response:	How will you pay me back, huh?
context: This man protected me with his own body...\We won't miss next time.\Is that the best thou canst do?\It escaped.\Hey, stop there!\Seo-san, please calm down!\Don't come any closer!\How will you pay me back, huh? response:	Why?! My strength is...
context: We won't miss next time.\Is that the best thou canst do?\It escaped.\Hey, stop there!\Seo-san, please calm down!\Don't come any closer!\How will you pay me back, huh?\Why?! My strength is... response:	You stomped over my girls too, didn't you?
context: Is that the best thou canst do?\It escaped.\Hey, stop there!\Seo-san, please calm down!\Don't come any closer!\How will you pay me back, huh?\Why?! My strength is...\You stomped over my girls too, didn't you? response:	I can't work up an ounce of strength... Why?
context: It escaped.\Hey, stop there!\Seo-san, please calm down!\Don't come any closer!\How will you pay me back, huh?\Why?! My strength is...\You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why? response:	My ability as Ashikabi is endorsed by Takehito.
context: Hey, stop there!\Seo-san, please calm down!\Don't come any closer!\How will you pay me back, huh?\Why?! My strength is...\You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito. response:	It's a bit special.
context: Seo-san, please calm down!\Don't come any closer!\How will you pay me back, huh?\Why?! My strength is...\You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito.\It's a bit special. response:	Now, how will you pay for this?
context: Don't come any closer!\How will you pay me back, huh?\Why?! My strength is...\You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito.\It's a bit special.\Now, how will you pay for this? response:	Well, how about I force you to emerge and make you into my dedicated slave?
context: How will you pay me back, huh?\Why?! My strength is...\You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito.\It's a bit special.\Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave? response:	No, this is not the man.
context: Why?! My strength is...\You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito.\It's a bit special.\Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man. response:	I don't want it. The one... the one I want is...
context: You stomped over my girls too, didn't you?\I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito.\It's a bit special.\Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man.\I don't want it. The one... the one I want is... response:	S-Seo-san!
context: I can't work up an ounce of strength... Why?\My ability as Ashikabi is endorsed by Takehito.\It's a bit special.\Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man.\I don't want it. The one... the one I want is...\S-Seo-san! response:	Could you please... let her go?
context: My ability as Ashikabi is endorsed by Takehito.\It's a bit special.\Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man.\I don't want it. The one... the one I want is...\S-Seo-san!\Could you please... let her go? response:	She is... she is my Sekirei!
context: It's a bit special.\Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man.\I don't want it. The one... the one I want is...\S-Seo-san!\Could you please... let her go?\She is... she is my Sekirei! response:	Seo!
context: Now, how will you pay for this?\Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man.\I don't want it. The one... the one I want is...\S-Seo-san!\Could you please... let her go?\She is... she is my Sekirei!\Seo! response:	Are you cheating on us in front of our eyes?
context: Well, how about I force you to emerge and make you into my dedicated slave?\No, this is not the man.\I don't want it. The one... the one I want is...\S-Seo-san!\Could you please... let her go?\She is... she is my Sekirei!\Seo!\Are you cheating on us in front of our eyes? response:	Quite the nerve!
context: No, this is not the man.\I don't want it. The one... the one I want is...\S-Seo-san!\Could you please... let her go?\She is... she is my Sekirei!\Seo!\Are you cheating on us in front of our eyes?\Quite the nerve! response:	T-Time out!
context: I don't want it. The one... the one I want is...\S-Seo-san!\Could you please... let her go?\She is... she is my Sekirei!\Seo!\Are you cheating on us in front of our eyes?\Quite the nerve!\T-Time out! response:	You told us we were the only Sekireis for you, didn't you?
context: S-Seo-san!\Could you please... let her go?\She is... she is my Sekirei!\Seo!\Are you cheating on us in front of our eyes?\Quite the nerve!\T-Time out!\You told us we were the only Sekireis for you, didn't you? response:	I haven't done anything, yet! Listen to me first!
context: Could you please... let her go?\She is... she is my Sekirei!\Seo!\Are you cheating on us in front of our eyes?\Quite the nerve!\T-Time out!\You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first! response:	Thou...
context: She is... she is my Sekirei!\Seo!\Are you cheating on us in front of our eyes?\Quite the nerve!\T-Time out!\You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first!\Thou... response:	Thou must take the responsibility.
context: Seo!\Are you cheating on us in front of our eyes?\Quite the nerve!\T-Time out!\You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first!\Thou...\Thou must take the responsibility. response:	R-Responsibility?
context: Are you cheating on us in front of our eyes?\Quite the nerve!\T-Time out!\You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first!\Thou...\Thou must take the responsibility.\R-Responsibility? response:	Don't play dumb! Thou hast said I was thy Sekirei, correct?!
context: Quite the nerve!\T-Time out!\You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first!\Thou...\Thou must take the responsibility.\R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?! response:	Y-Yes, I did, Ma'am!
context: T-Time out!\You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first!\Thou...\Thou must take the responsibility.\R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am! response:	Not only wert thou not afraid of me, but thou also protected me with thy own flesh.
context: You told us we were the only Sekireis for you, didn't you?\I haven't done anything, yet! Listen to me first!\Thou...\Thou must take the responsibility.\R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh. response:	Furthermore, thou savedest me from the wicked Ashikabi.
