context: Ko-Koizumi. response:	Nothing...
context: What's your problem?\Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay?\See ya.\You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did? response:	Umibouzu was awesome, as always.
context: Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay?\See ya.\You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did?\Umibouzu was awesome, as always. response:	Then what is it? Explain it to me.
context: What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay?\See ya.\You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did?\Umibouzu was awesome, as always.\Then what is it? Explain it to me. response:	Did you really forget?
context: What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay?\See ya.\You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did?\Umibouzu was awesome, as always.\Then what is it? Explain it to me.\Did you really forget? response:	F-Forget? What are you talking about?
context: I-I'll go find Chiharu-chan and the others, okay?\See ya.\You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did?\Umibouzu was awesome, as always.\Then what is it? Explain it to me.\Did you really forget?\F-Forget? What are you talking about? response:	My... My first kiss...
context: See ya.\You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did?\Umibouzu was awesome, as always.\Then what is it? Explain it to me.\Did you really forget?\F-Forget? What are you talking about?\My... My first kiss... response:	Give it back! Give back my first kiss!
context: You've been in a foul mood ever since that last Umibouzu concert.\Was it something Umibouzu did?\Umibouzu was awesome, as always.\Then what is it? Explain it to me.\Did you really forget?\F-Forget? What are you talking about?\My... My first kiss...\Give it back! Give back my first kiss! response:	Ko...Koizumi?
context: Was it something Umibouzu did?\Umibouzu was awesome, as always.\Then what is it? Explain it to me.\Did you really forget?\F-Forget? What are you talking about?\My... My first kiss...\Give it back! Give back my first kiss!\Ko...Koizumi? response:	It's 119 for an ambulance, right?
context: Umibouzu was awesome, as always.\Then what is it? Explain it to me.\Did you really forget?\F-Forget? What are you talking about?\My... My first kiss...\Give it back! Give back my first kiss!\Ko...Koizumi?\It's 119 for an ambulance, right? response:	What are you doing?
context: Then what is it? Explain it to me.\Did you really forget?\F-Forget? What are you talking about?\My... My first kiss...\Give it back! Give back my first kiss!\Ko...Koizumi?\It's 119 for an ambulance, right?\What are you doing? response:	What kind of hallucination did you have?
context: Did you really forget?\F-Forget? What are you talking about?\My... My first kiss...\Give it back! Give back my first kiss!\Ko...Koizumi?\It's 119 for an ambulance, right?\What are you doing?\What kind of hallucination did you have? response:	Next you'll turn up with a marriage certificate and tell me we got married!
context: F-Forget? What are you talking about?\My... My first kiss...\Give it back! Give back my first kiss!\Ko...Koizumi?\It's 119 for an ambulance, right?\What are you doing?\What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married! response:	Pull yourself together!
context: My... My first kiss...\Give it back! Give back my first kiss!\Ko...Koizumi?\It's 119 for an ambulance, right?\What are you doing?\What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together! response:	I may not remember what happened,
context: Give it back! Give back my first kiss!\Ko...Koizumi?\It's 119 for an ambulance, right?\What are you doing?\What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together!\I may not remember what happened, response:	Okay?
context: Ko...Koizumi?\It's 119 for an ambulance, right?\What are you doing?\What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together!\I may not remember what happened,\Okay? response:	Don't get carried away, okay? Okay? Okay?
context: It's 119 for an ambulance, right?\What are you doing?\What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together!\I may not remember what happened,\Okay?\Don't get carried away, okay? Okay? Okay? response:	Patience
context: What are you doing?\What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together!\I may not remember what happened,\Okay?\Don't get carried away, okay? Okay? Okay?\Patience response:	Go to hell!
context: What kind of hallucination did you have?\Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together!\I may not remember what happened,\Okay?\Don't get carried away, okay? Okay? Okay?\Patience\Go to hell! response:	What the heck?
context: Next you'll turn up with a marriage certificate and tell me we got married!\Pull yourself together!\I may not remember what happened,\Okay?\Don't get carried away, okay? Okay? Okay?\Patience\Go to hell!\What the heck? response:	What the heck was that?
context: Pull yourself together!\I may not remember what happened,\Okay?\Don't get carried away, okay? Okay? Okay?\Patience\Go to hell!\What the heck?\What the heck was that? response:	Did he really pass out right at that moment?
context: I may not remember what happened,\Okay?\Don't get carried away, okay? Okay? Okay?\Patience\Go to hell!\What the heck?\What the heck was that?\Did he really pass out right at that moment? response:	In any case, if he doesn't remember, then it really was just an accident.
context: Okay?\Don't get carried away, okay? Okay? Okay?\Patience\Go to hell!\What the heck?\What the heck was that?\Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident. response:	What are you angry about?
context: Don't get carried away, okay? Okay? Okay?\Patience\Go to hell!\What the heck?\What the heck was that?\Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident.\What are you angry about? response:	Nothing.
context: Patience\Go to hell!\What the heck?\What the heck was that?\Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident.\What are you angry about?\Nothing. response:	Did something happen when you went to Otani-kun's place?
context: Go to hell!\What the heck?\What the heck was that?\Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident.\What are you angry about?\Nothing.\Did something happen when you went to Otani-kun's place? response:	Nothing happened. Nothing at all!
context: What the heck?\What the heck was that?\Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident.\What are you angry about?\Nothing.\Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all! response:	Risa-chan...
context: What the heck was that?\Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident.\What are you angry about?\Nothing.\Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all!\Risa-chan... response:	I'm nothing more than an unattractive girl, after all.
context: Did he really pass out right at that moment?\In any case, if he doesn't remember, then it really was just an accident.\What are you angry about?\Nothing.\Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all!\Risa-chan...\I'm nothing more than an unattractive girl, after all. response:	Excuse me.
context: In any case, if he doesn't remember, then it really was just an accident.\What are you angry about?\Nothing.\Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all!\Risa-chan...\I'm nothing more than an unattractive girl, after all.\Excuse me. response:	What the heck do you want?
context: What are you angry about?\Nothing.\Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all!\Risa-chan...\I'm nothing more than an unattractive girl, after all.\Excuse me.\What the heck do you want? response:	Nothing serious.
context: Nothing.\Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all!\Risa-chan...\I'm nothing more than an unattractive girl, after all.\Excuse me.\What the heck do you want?\Nothing serious. response:	I'd just ask you to kindly move aside.
context: Did something happen when you went to Otani-kun's place?\Nothing happened. Nothing at all!\Risa-chan...\I'm nothing more than an unattractive girl, after all.\Excuse me.\What the heck do you want?\Nothing serious.\I'd just ask you to kindly move aside. response:	Oh... I'm sorry.
context: Nothing happened. Nothing at all!\Risa-chan...\I'm nothing more than an unattractive girl, after all.\Excuse me.\What the heck do you want?\Nothing serious.\I'd just ask you to kindly move aside.\Oh... I'm sorry. response:	No. I should be the one saying that.
context: Risa-chan...\I'm nothing more than an unattractive girl, after all.\Excuse me.\What the heck do you want?\Nothing serious.\I'd just ask you to kindly move aside.\Oh... I'm sorry.\No. I should be the one saying that. response:	Go ahead.
context: I'm nothing more than an unattractive girl, after all.\Excuse me.\What the heck do you want?\Nothing serious.\I'd just ask you to kindly move aside.\Oh... I'm sorry.\No. I should be the one saying that.\Go ahead. response:	Thank you.
context: Excuse me.\What the heck do you want?\Nothing serious.\I'd just ask you to kindly move aside.\Oh... I'm sorry.\No. I should be the one saying that.\Go ahead.\Thank you. response:	Who's that?
context: What the heck do you want?\Nothing serious.\I'd just ask you to kindly move aside.\Oh... I'm sorry.\No. I should be the one saying that.\Go ahead.\Thank you.\Who's that? response:	Someone we don't know.
context: Nothing serious.\I'd just ask you to kindly move aside.\Oh... I'm sorry.\No. I should be the one saying that.\Go ahead.\Thank you.\Who's that?\Someone we don't know. response:	What's wrong?
context: I'd just ask you to kindly move aside.\Oh... I'm sorry.\No. I should be the one saying that.\Go ahead.\Thank you.\Who's that?\Someone we don't know.\What's wrong? response:	It's such a waste to spoil such a cute face with a furrowed brow.
context: Oh... I'm sorry.\No. I should be the one saying that.\Go ahead.\Thank you.\Who's that?\Someone we don't know.\What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow. response:	Go on. Smile, okay?
context: No. I should be the one saying that.\Go ahead.\Thank you.\Who's that?\Someone we don't know.\What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay? response:	Yes!
context: Go ahead.\Thank you.\Who's that?\Someone we don't know.\What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Yes! response:	Wha... What is this?
context: Thank you.\Who's that?\Someone we don't know.\What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Yes!\Wha... What is this? response:	What is this cold feeling I seem to remember?
context: Who's that?\Someone we don't know.\What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Yes!\Wha... What is this?\What is this cold feeling I seem to remember? response:	Cain... Cain-sama!
context: Someone we don't know.\What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Yes!\Wha... What is this?\What is this cold feeling I seem to remember?\Cain... Cain-sama! response:	That's it!
context: What's wrong?\It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Yes!\Wha... What is this?\What is this cold feeling I seem to remember?\Cain... Cain-sama!\That's it! response:	A guy that cool really exists!
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Yes!\Wha... What is this?\What is this cold feeling I seem to remember?\Cain... Cain-sama!\That's it!\A guy that cool really exists! response:	Ugh... I'm getting goosebumps...
context: Go on. Smile, okay?\Yes!\Wha... What is this?\What is this cold feeling I seem to remember?\Cain... Cain-sama!\That's it!\A guy that cool really exists!\Ugh... I'm getting goosebumps... response:	What's so good about that guy?!
context: Yes!\Wha... What is this?\What is this cold feeling I seem to remember?\Cain... Cain-sama!\That's it!\A guy that cool really exists!\Ugh... I'm getting goosebumps...\What's so good about that guy?! response:	He's tall, cool, and charming like a prince!
context: Wha... What is this?\What is this cold feeling I seem to remember?\Cain... Cain-sama!\That's it!\A guy that cool really exists!\Ugh... I'm getting goosebumps...\What's so good about that guy?!\He's tall, cool, and charming like a prince! response:	He's totally my type.
context: What is this cold feeling I seem to remember?\Cain... Cain-sama!\That's it!\A guy that cool really exists!\Ugh... I'm getting goosebumps...\What's so good about that guy?!\He's tall, cool, and charming like a prince!\He's totally my type. response:	That's the complete opposite of Otani-kun.
context: Cain... Cain-sama!\That's it!\A guy that cool really exists!\Ugh... I'm getting goosebumps...\What's so good about that guy?!\He's tall, cool, and charming like a prince!\He's totally my type.\That's the complete opposite of Otani-kun. response:	Right.
context: That's it!\A guy that cool really exists!\Ugh... I'm getting goosebumps...\What's so good about that guy?!\He's tall, cool, and charming like a prince!\He's totally my type.\That's the complete opposite of Otani-kun.\Right. response:	That idiot who breaks a girl's heart isn't really my type at all.
context: A guy that cool really exists!\Ugh... I'm getting goosebumps...\What's so good about that guy?!\He's tall, cool, and charming like a prince!\He's totally my type.\That's the complete opposite of Otani-kun.\Right.\That idiot who breaks a girl's heart isn't really my type at all. response:	From now on... Cain-sama is the one!
context: Ugh... I'm getting goosebumps...\What's so good about that guy?!\He's tall, cool, and charming like a prince!\He's totally my type.\That's the complete opposite of Otani-kun.\Right.\That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one! response:	I wonder what class he's in...
context: What's so good about that guy?!\He's tall, cool, and charming like a prince!\He's totally my type.\That's the complete opposite of Otani-kun.\Right.\That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one!\I wonder what class he's in... response:	What are you talking about?
context: He's tall, cool, and charming like a prince!\He's totally my type.\That's the complete opposite of Otani-kun.\Right.\That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one!\I wonder what class he's in...\What are you talking about? response:	You're seriously sickening.
context: He's totally my type.\That's the complete opposite of Otani-kun.\Right.\That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one!\I wonder what class he's in...\What are you talking about?\You're seriously sickening. response:	No, no. I need to maintain my cute face.
context: That's the complete opposite of Otani-kun.\Right.\That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one!\I wonder what class he's in...\What are you talking about?\You're seriously sickening.\No, no. I need to maintain my cute face. response:	Cute? More like monstrous...
context: Right.\That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one!\I wonder what class he's in...\What are you talking about?\You're seriously sickening.\No, no. I need to maintain my cute face.\Cute? More like monstrous... response:	Cain-sama told me it was!
context: That idiot who breaks a girl's heart isn't really my type at all.\From now on... Cain-sama is the one!\I wonder what class he's in...\What are you talking about?\You're seriously sickening.\No, no. I need to maintain my cute face.\Cute? More like monstrous...\Cain-sama told me it was! response:	This is bad!
context: From now on... Cain-sama is the one!\I wonder what class he's in...\What are you talking about?\You're seriously sickening.\No, no. I need to maintain my cute face.\Cute? More like monstrous...\Cain-sama told me it was!\This is bad! response:	Koizumi is fantasizing about some imaginary lover.
context: I wonder what class he's in...\What are you talking about?\You're seriously sickening.\No, no. I need to maintain my cute face.\Cute? More like monstrous...\Cain-sama told me it was!\This is bad!\Koizumi is fantasizing about some imaginary lover. response:	And he's a foreigner to boot.
context: What are you talking about?\You're seriously sickening.\No, no. I need to maintain my cute face.\Cute? More like monstrous...\Cain-sama told me it was!\This is bad!\Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot. response:	Oh? So she can't get over it, huh...
context: You're seriously sickening.\No, no. I need to maintain my cute face.\Cute? More like monstrous...\Cain-sama told me it was!\This is bad!\Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot.\Oh? So she can't get over it, huh... response:	What? Did I do something?
context: No, no. I need to maintain my cute face.\Cute? More like monstrous...\Cain-sama told me it was!\This is bad!\Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot.\Oh? So she can't get over it, huh...\What? Did I do something? response:	I don't know.
context: Cute? More like monstrous...\Cain-sama told me it was!\This is bad!\Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot.\Oh? So she can't get over it, huh...\What? Did I do something?\I don't know. response:	Okay, back to your seats.
context: Cain-sama told me it was!\This is bad!\Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot.\Oh? So she can't get over it, huh...\What? Did I do something?\I don't know.\Okay, back to your seats. response:	We've got the gorilla again?
context: This is bad!\Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot.\Oh? So she can't get over it, huh...\What? Did I do something?\I don't know.\Okay, back to your seats.\We've got the gorilla again? response:	I'm tired of seeing him already.
context: Koizumi is fantasizing about some imaginary lover.\And he's a foreigner to boot.\Oh? So she can't get over it, huh...\What? Did I do something?\I don't know.\Okay, back to your seats.\We've got the gorilla again?\I'm tired of seeing him already. response:	Don't call me that. I'm Nakano-sensei.
context: And he's a foreigner to boot.\Oh? So she can't get over it, huh...\What? Did I do something?\I don't know.\Okay, back to your seats.\We've got the gorilla again?\I'm tired of seeing him already.\Don't call me that. I'm Nakano-sensei. response:	You got that right!
context: Oh? So she can't get over it, huh...\What? Did I do something?\I don't know.\Okay, back to your seats.\We've got the gorilla again?\I'm tired of seeing him already.\Don't call me that. I'm Nakano-sensei.\You got that right! response:	Since it's a pain, let's get some of this out of the way.
context: What? Did I do something?\I don't know.\Okay, back to your seats.\We've got the gorilla again?\I'm tired of seeing him already.\Don't call me that. I'm Nakano-sensei.\You got that right!\Since it's a pain, let's get some of this out of the way. response:	The class reps will be Otani and Koizumi.
context: I don't know.\Okay, back to your seats.\We've got the gorilla again?\I'm tired of seeing him already.\Don't call me that. I'm Nakano-sensei.\You got that right!\Since it's a pain, let's get some of this out of the way.\The class reps will be Otani and Koizumi. response:	Hey!
context: Okay, back to your seats.\We've got the gorilla again?\I'm tired of seeing him already.\Don't call me that. I'm Nakano-sensei.\You got that right!\Since it's a pain, let's get some of this out of the way.\The class reps will be Otani and Koizumi.\Hey! response:	Is there a problem?
context: We've got the gorilla again?\I'm tired of seeing him already.\Don't call me that. I'm Nakano-sensei.\You got that right!\Since it's a pain, let's get some of this out of the way.\The class reps will be Otani and Koizumi.\Hey!\Is there a problem? response:	There are lots of problems!
