context: What's happened so far! response:	Our sister, the masked model student Miyazawa Yukino,
context: Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results,\and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all,\and receives a confession of his love once again.\The story so far.\Missing her chance to respond to Arima's reconfession of his love, response:	Yukino develops plans to confess her feelings to him;
context: Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results,\and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all,\and receives a confession of his love once again.\The story so far.\Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him; response:	but they end up failing in every case.
context: But her behavior gets results,\and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all,\and receives a confession of his love once again.\The story so far.\Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him;\but they end up failing in every case. response:	Upon realizing that this was due to cowardice
context: and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all,\and receives a confession of his love once again.\The story so far.\Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him;\but they end up failing in every case.\Upon realizing that this was due to cowardice response:	from not wanting to get hurt,
context: Yukino listens to it all,\and receives a confession of his love once again.\The story so far.\Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him;\but they end up failing in every case.\Upon realizing that this was due to cowardice\from not wanting to get hurt, response:	she summons her courage and replies to him not with words, but with her heart.
context: and receives a confession of his love once again.\The story so far.\Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him;\but they end up failing in every case.\Upon realizing that this was due to cowardice\from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart. response:	And the two finally become a couple.
context: The story so far.\Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him;\but they end up failing in every case.\Upon realizing that this was due to cowardice\from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple. response:	The story so far.
context: Missing her chance to respond to Arima's reconfession of his love,\Yukino develops plans to confess her feelings to him;\but they end up failing in every case.\Upon realizing that this was due to cowardice\from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple.\The story so far. response:	The two become a publicly recognized couple.
context: Yukino develops plans to confess her feelings to him;\but they end up failing in every case.\Upon realizing that this was due to cowardice\from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple.\The story so far.\The two become a publicly recognized couple. response:	However, the menace of the Athletic Festival,
context: but they end up failing in every case.\Upon realizing that this was due to cowardice\from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple.\The story so far.\The two become a publicly recognized couple.\However, the menace of the Athletic Festival, response:	which made them busy and kept them apart
context: Upon realizing that this was due to cowardice\from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple.\The story so far.\The two become a publicly recognized couple.\However, the menace of the Athletic Festival,\which made them busy and kept them apart response:	and the appearance of the wanton perverted hunk, Asaba Hideaki,
context: from not wanting to get hurt,\she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple.\The story so far.\The two become a publicly recognized couple.\However, the menace of the Athletic Festival,\which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki, response:	who picked on Yukino and plotted to use Arima
context: she summons her courage and replies to him not with words, but with her heart.\And the two finally become a couple.\The story so far.\The two become a publicly recognized couple.\However, the menace of the Athletic Festival,\which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima response:	to fulfill his ambition, the Asaba Mary-Land
context: And the two finally become a couple.\The story so far.\The two become a publicly recognized couple.\However, the menace of the Athletic Festival,\which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land response:	and such things come to stand in her way.
context: The story so far.\The two become a publicly recognized couple.\However, the menace of the Athletic Festival,\which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way. response:	The story so far.
context: The two become a publicly recognized couple.\However, the menace of the Athletic Festival,\which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way.\The story so far. response:	Due to the failure of their first date,
context: However, the menace of the Athletic Festival,\which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way.\The story so far.\Due to the failure of their first date, response:	the two fervently fill their days with trysts.
context: which made them busy and kept them apart\and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way.\The story so far.\Due to the failure of their first date,\the two fervently fill their days with trysts. response:	However, driven by a daily increasing fear of losing Yukino...
context: and the appearance of the wanton perverted hunk, Asaba Hideaki,\who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way.\The story so far.\Due to the failure of their first date,\the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino... response:	Arima suddenly finds himself embracing
context: who picked on Yukino and plotted to use Arima\to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way.\The story so far.\Due to the failure of their first date,\the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing response:	her amidst the rolling thunder.
context: to fulfill his ambition, the Asaba Mary-Land\and such things come to stand in her way.\The story so far.\Due to the failure of their first date,\the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing\her amidst the rolling thunder. response:	Yukino accepts him.
context: and such things come to stand in her way.\The story so far.\Due to the failure of their first date,\the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing\her amidst the rolling thunder.\Yukino accepts him. response:	And their lips finally meet.
context: The story so far.\Due to the failure of their first date,\the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing\her amidst the rolling thunder.\Yukino accepts him.\And their lips finally meet. response:	What's happened so far!
context: Due to the failure of their first date,\the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing\her amidst the rolling thunder.\Yukino accepts him.\And their lips finally meet.\What's happened so far! response:	Sis's midterm exam ranking drops
context: the two fervently fill their days with trysts.\However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing\her amidst the rolling thunder.\Yukino accepts him.\And their lips finally meet.\What's happened so far!\Sis's midterm exam ranking drops response:	because she had been abandoning herself to her desires!
context: However, driven by a daily increasing fear of losing Yukino...\Arima suddenly finds himself embracing\her amidst the rolling thunder.\Yukino accepts him.\And their lips finally meet.\What's happened so far!\Sis's midterm exam ranking drops\because she had been abandoning herself to her desires! response:	The school, taking the matter seriously...
context: Arima suddenly finds himself embracing\her amidst the rolling thunder.\Yukino accepts him.\And their lips finally meet.\What's happened so far!\Sis's midterm exam ranking drops\because she had been abandoning herself to her desires!\The school, taking the matter seriously... response:	calls them down and tries to talk them out of their relationship.
context: her amidst the rolling thunder.\Yukino accepts him.\And their lips finally meet.\What's happened so far!\Sis's midterm exam ranking drops\because she had been abandoning herself to her desires!\The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship. response:	But she unexpectedly rebels and steadfastly refuses.
context: Yukino accepts him.\And their lips finally meet.\What's happened so far!\Sis's midterm exam ranking drops\because she had been abandoning herself to her desires!\The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses. response:	However, the situation is overthrown with dad's words.
context: And their lips finally meet.\What's happened so far!\Sis's midterm exam ranking drops\because she had been abandoning herself to her desires!\The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words. response:	The end!
context: What's happened so far!\Sis's midterm exam ranking drops\because she had been abandoning herself to her desires!\The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words.\The end! response:	The story so far.
context: Sis's midterm exam ranking drops\because she had been abandoning herself to her desires!\The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words.\The end!\The story so far. response:	One day, Miyazawa Yukino visits the empty Arima residence
context: because she had been abandoning herself to her desires!\The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words.\The end!\The story so far.\One day, Miyazawa Yukino visits the empty Arima residence response:	and lets herself experience the second kiss. And another piece of Arima's past becomes clear.
context: The school, taking the matter seriously...\calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words.\The end!\The story so far.\One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear. response:	What'll happen next!
context: calls them down and tries to talk them out of their relationship.\But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words.\The end!\The story so far.\One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear.\What'll happen next! response:	Various situations are finally brought to an end and Sis gets to settle down for a bit.
context: But she unexpectedly rebels and steadfastly refuses.\However, the situation is overthrown with dad's words.\The end!\The story so far.\One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear.\What'll happen next!\Various situations are finally brought to an end and Sis gets to settle down for a bit. response:	And so continue the days of dependence on connection to Arima through a modern convenience, the telephone.
context: However, the situation is overthrown with dad's words.\The end!\The story so far.\One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear.\What'll happen next!\Various situations are finally brought to an end and Sis gets to settle down for a bit.\And so continue the days of dependence on connection to Arima through a modern convenience, the telephone. response:	And the reappearance of Asaba-kun brings about a change within her.
context: The end!\The story so far.\One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear.\What'll happen next!\Various situations are finally brought to an end and Sis gets to settle down for a bit.\And so continue the days of dependence on connection to Arima through a modern convenience, the telephone.\And the reappearance of Asaba-kun brings about a change within her. response:	Next time on KareKano,
context: The story so far.\One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear.\What'll happen next!\Various situations are finally brought to an end and Sis gets to settle down for a bit.\And so continue the days of dependence on connection to Arima through a modern convenience, the telephone.\And the reappearance of Asaba-kun brings about a change within her.\Next time on KareKano, response:	That Which is Visible Behind A Voice
context: One day, Miyazawa Yukino visits the empty Arima residence\and lets herself experience the second kiss. And another piece of Arima's past becomes clear.\What'll happen next!\Various situations are finally brought to an end and Sis gets to settle down for a bit.\And so continue the days of dependence on connection to Arima through a modern convenience, the telephone.\And the reappearance of Asaba-kun brings about a change within her.\Next time on KareKano,\That Which is Visible Behind A Voice response:	and one more!
