context: You must not change history without my permission. response:	You must not tell anyone else the truth.
context: Two days with no progress.\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\Oh, yeah, I remember this happening.\To Yu-tan.\I found something funny here, so I'm sending it to you. response:	They were selling it at a party store.
context: Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\Oh, yeah, I remember this happening.\To Yu-tan.\I found something funny here, so I'm sending it to you.\They were selling it at a party store. response:	What do you think? Isn't it hilarious?
context: What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\Oh, yeah, I remember this happening.\To Yu-tan.\I found something funny here, so I'm sending it to you.\They were selling it at a party store.\What do you think? Isn't it hilarious? response:	By the way, do you remember how the poem Ame ni mo makezu goes?
context: That was, uh... It was me. I screamed.\Huh?\Oh, yeah, I remember this happening.\To Yu-tan.\I found something funny here, so I'm sending it to you.\They were selling it at a party store.\What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes? response:	I think we learned it in school, but I didn't remember it at all.
context: Huh?\Oh, yeah, I remember this happening.\To Yu-tan.\I found something funny here, so I'm sending it to you.\They were selling it at a party store.\What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all. response:	So I looked it up online,
context: Oh, yeah, I remember this happening.\To Yu-tan.\I found something funny here, so I'm sending it to you.\They were selling it at a party store.\What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all.\So I looked it up online, response:	and when I read it again, I just loved it.
context: To Yu-tan.\I found something funny here, so I'm sending it to you.\They were selling it at a party store.\What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all.\So I looked it up online,\and when I read it again, I just loved it. response:	You should read it, too, Yu-tan.
context: I found something funny here, so I'm sending it to you.\They were selling it at a party store.\What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all.\So I looked it up online,\and when I read it again, I just loved it.\You should read it, too, Yu-tan. response:	Losing neither to rain, nor the wind,
context: They were selling it at a party store.\What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all.\So I looked it up online,\and when I read it again, I just loved it.\You should read it, too, Yu-tan.\Losing neither to rain, nor the wind, response:	losing neither to the snow, nor to the heat of summer.
context: What do you think? Isn't it hilarious?\By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all.\So I looked it up online,\and when I read it again, I just loved it.\You should read it, too, Yu-tan.\Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer. response:	Having a strong body, unfettered by desire, and never offending anyone...
context: By the way, do you remember how the poem Ame ni mo makezu goes?\I think we learned it in school, but I didn't remember it at all.\So I looked it up online,\and when I read it again, I just loved it.\You should read it, too, Yu-tan.\Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone... response:	Like I could wear this thing!
context: I think we learned it in school, but I didn't remember it at all.\So I looked it up online,\and when I read it again, I just loved it.\You should read it, too, Yu-tan.\Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing! response:	Punch Line
context: So I looked it up online,\and when I read it again, I just loved it.\You should read it, too, Yu-tan.\Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing!\Punch Line response:	Halt!
context: and when I read it again, I just loved it.\You should read it, too, Yu-tan.\Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing!\Punch Line\Halt! response:	Super helper-man of justice, Miyazawa Kenji, is here!
context: You should read it, too, Yu-tan.\Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing!\Punch Line\Halt!\Super helper-man of justice, Miyazawa Kenji, is here! response:	Miyazawa Kenji?
context: Losing neither to rain, nor the wind,\losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing!\Punch Line\Halt!\Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji? response:	Another freak.
context: losing neither to the snow, nor to the heat of summer.\Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing!\Punch Line\Halt!\Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji?\Another freak. response:	What, aren't you going to attack?
context: Having a strong body, unfettered by desire, and never offending anyone...\Like I could wear this thing!\Punch Line\Halt!\Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji?\Another freak.\What, aren't you going to attack? response:	But I know I'm going to lose...
context: Like I could wear this thing!\Punch Line\Halt!\Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji?\Another freak.\What, aren't you going to attack?\But I know I'm going to lose... response:	What?
context: Punch Line\Halt!\Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji?\Another freak.\What, aren't you going to attack?\But I know I'm going to lose...\What? response:	I don't like pain!
context: Halt!\Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji?\Another freak.\What, aren't you going to attack?\But I know I'm going to lose...\What?\I don't like pain! response:	Fine, then I'll start
context: Super helper-man of justice, Miyazawa Kenji, is here!\Miyazawa Kenji?\Another freak.\What, aren't you going to attack?\But I know I'm going to lose...\What?\I don't like pain!\Fine, then I'll start response:	Wait! I'm not emotionally prepared!
context: Miyazawa Kenji?\Another freak.\What, aren't you going to attack?\But I know I'm going to lose...\What?\I don't like pain!\Fine, then I'll start\Wait! I'm not emotionally prepared! response:	Called a nobody by everyone.
context: Another freak.\What, aren't you going to attack?\But I know I'm going to lose...\What?\I don't like pain!\Fine, then I'll start\Wait! I'm not emotionally prepared!\Called a nobody by everyone. response:	Never praised, never blamed.
context: What, aren't you going to attack?\But I know I'm going to lose...\What?\I don't like pain!\Fine, then I'll start\Wait! I'm not emotionally prepared!\Called a nobody by everyone.\Never praised, never blamed. response:	That's the kind of person I...
context: But I know I'm going to lose...\What?\I don't like pain!\Fine, then I'll start\Wait! I'm not emotionally prepared!\Called a nobody by everyone.\Never praised, never blamed.\That's the kind of person I... response:	Huh?
context: What?\I don't like pain!\Fine, then I'll start\Wait! I'm not emotionally prepared!\Called a nobody by everyone.\Never praised, never blamed.\That's the kind of person I...\Huh? response:	I decided I'd become that way,
context: I don't like pain!\Fine, then I'll start\Wait! I'm not emotionally prepared!\Called a nobody by everyone.\Never praised, never blamed.\That's the kind of person I...\Huh?\I decided I'd become that way, response:	so I could guide this world to a supremely happy and peaceful future.
context: Fine, then I'll start\Wait! I'm not emotionally prepared!\Called a nobody by everyone.\Never praised, never blamed.\That's the kind of person I...\Huh?\I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future. response:	What the hell are you talking about?
context: Wait! I'm not emotionally prepared!\Called a nobody by everyone.\Never praised, never blamed.\That's the kind of person I...\Huh?\I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about? response:	Just give me twenty seconds, would you?
context: Called a nobody by everyone.\Never praised, never blamed.\That's the kind of person I...\Huh?\I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about?\Just give me twenty seconds, would you? response:	What if I do?
context: Never praised, never blamed.\That's the kind of person I...\Huh?\I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about?\Just give me twenty seconds, would you?\What if I do? response:	Do I get a reward?
context: That's the kind of person I...\Huh?\I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about?\Just give me twenty seconds, would you?\What if I do?\Do I get a reward? response:	Yeah, I'll amply reward you.
context: Huh?\I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about?\Just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Yeah, I'll amply reward you. response:	Fine.
context: I decided I'd become that way,\so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about?\Just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Yeah, I'll amply reward you.\Fine. response:	Nineteen.
context: so I could guide this world to a supremely happy and peaceful future.\What the hell are you talking about?\Just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Yeah, I'll amply reward you.\Fine.\Nineteen. response:	Eighteen.
context: What the hell are you talking about?\Just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Yeah, I'll amply reward you.\Fine.\Nineteen.\Eighteen. response:	Seventeen.
context: Just give me twenty seconds, would you?\What if I do?\Do I get a reward?\Yeah, I'll amply reward you.\Fine.\Nineteen.\Eighteen.\Seventeen. response:	I knew I'd come here, but...
context: What if I do?\Do I get a reward?\Yeah, I'll amply reward you.\Fine.\Nineteen.\Eighteen.\Seventeen.\I knew I'd come here, but... response:	I don't know who's there, but can you get this off of me?
context: Do I get a reward?\Yeah, I'll amply reward you.\Fine.\Nineteen.\Eighteen.\Seventeen.\I knew I'd come here, but...\I don't know who's there, but can you get this off of me? response:	Okay, got it!
context: Yeah, I'll amply reward you.\Fine.\Nineteen.\Eighteen.\Seventeen.\I knew I'd come here, but...\I don't know who's there, but can you get this off of me?\Okay, got it! response:	Wh-What are you doing?!
context: Fine.\Nineteen.\Eighteen.\Seventeen.\I knew I'd come here, but...\I don't know who's there, but can you get this off of me?\Okay, got it!\Wh-What are you doing?! response:	Wait, time out!
context: Nineteen.\Eighteen.\Seventeen.\I knew I'd come here, but...\I don't know who's there, but can you get this off of me?\Okay, got it!\Wh-What are you doing?!\Wait, time out! response:	Don't run!
context: Eighteen.\Seventeen.\I knew I'd come here, but...\I don't know who's there, but can you get this off of me?\Okay, got it!\Wh-What are you doing?!\Wait, time out!\Don't run! response:	Muhi!
context: Seventeen.\I knew I'd come here, but...\I don't know who's there, but can you get this off of me?\Okay, got it!\Wh-What are you doing?!\Wait, time out!\Don't run!\Muhi! response:	As promised, your reward
context: I knew I'd come here, but...\I don't know who's there, but can you get this off of me?\Okay, got it!\Wh-What are you doing?!\Wait, time out!\Don't run!\Muhi!\As promised, your reward response:	Huh?
context: I don't know who's there, but can you get this off of me?\Okay, got it!\Wh-What are you doing?!\Wait, time out!\Don't run!\Muhi!\As promised, your reward\Huh? response:	That bastard!
context: Okay, got it!\Wh-What are you doing?!\Wait, time out!\Don't run!\Muhi!\As promised, your reward\Huh?\That bastard! response:	Wait up!
context: Wh-What are you doing?!\Wait, time out!\Don't run!\Muhi!\As promised, your reward\Huh?\That bastard!\Wait up! response:	He's like...
context: Wait, time out!\Don't run!\Muhi!\As promised, your reward\Huh?\That bastard!\Wait up!\He's like... response:	A totally different person.
context: Don't run!\Muhi!\As promised, your reward\Huh?\That bastard!\Wait up!\He's like...\A totally different person. response:	Should I be chasing him like this?
context: Muhi!\As promised, your reward\Huh?\That bastard!\Wait up!\He's like...\A totally different person.\Should I be chasing him like this? response:	You must not change history without my permission.
context: As promised, your reward\Huh?\That bastard!\Wait up!\He's like...\A totally different person.\Should I be chasing him like this?\You must not change history without my permission. response:	So far, six billion, three hundred seventy-three million,
context: Huh?\That bastard!\Wait up!\He's like...\A totally different person.\Should I be chasing him like this?\You must not change history without my permission.\So far, six billion, three hundred seventy-three million, response:	one hundred fifty-three thousand, seven hundred forty yous
context: That bastard!\Wait up!\He's like...\A totally different person.\Should I be chasing him like this?\You must not change history without my permission.\So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous response:	have broken that code, and went on to fail.
context: Wait up!\He's like...\A totally different person.\Should I be chasing him like this?\You must not change history without my permission.\So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail. response:	Still, I can't just let him get away.
context: He's like...\A totally different person.\Should I be chasing him like this?\You must not change history without my permission.\So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail.\Still, I can't just let him get away. response:	Hey, that hurt, man.
context: A totally different person.\Should I be chasing him like this?\You must not change history without my permission.\So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail.\Still, I can't just let him get away.\Hey, that hurt, man. response:	Does it really matter?
context: Should I be chasing him like this?\You must not change history without my permission.\So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail.\Still, I can't just let him get away.\Hey, that hurt, man.\Does it really matter? response:	That's not even your body, Tsubouchi Qmay.
context: You must not change history without my permission.\So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail.\Still, I can't just let him get away.\Hey, that hurt, man.\Does it really matter?\That's not even your body, Tsubouchi Qmay. response:	Who are you?
context: So far, six billion, three hundred seventy-three million,\one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail.\Still, I can't just let him get away.\Hey, that hurt, man.\Does it really matter?\That's not even your body, Tsubouchi Qmay.\Who are you? response:	It doesn't matter who I am!
context: one hundred fifty-three thousand, seven hundred forty yous\have broken that code, and went on to fail.\Still, I can't just let him get away.\Hey, that hurt, man.\Does it really matter?\That's not even your body, Tsubouchi Qmay.\Who are you?\It doesn't matter who I am! response:	Why is Asteroid VR-1 hitting Earth?
context: have broken that code, and went on to fail.\Still, I can't just let him get away.\Hey, that hurt, man.\Does it really matter?\That's not even your body, Tsubouchi Qmay.\Who are you?\It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth? response:	I don't know what you're talking about.
context: Still, I can't just let him get away.\Hey, that hurt, man.\Does it really matter?\That's not even your body, Tsubouchi Qmay.\Who are you?\It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about. response:	Don't play dumb!
context: Hey, that hurt, man.\Does it really matter?\That's not even your body, Tsubouchi Qmay.\Who are you?\It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about.\Don't play dumb! response:	We have no intention of bringing down the asteroid...
context: Does it really matter?\That's not even your body, Tsubouchi Qmay.\Who are you?\It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about.\Don't play dumb!\We have no intention of bringing down the asteroid... response:	for now.
context: That's not even your body, Tsubouchi Qmay.\Who are you?\It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about.\Don't play dumb!\We have no intention of bringing down the asteroid...\for now. response:	Because W isn't complete yet?
context: Who are you?\It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about.\Don't play dumb!\We have no intention of bringing down the asteroid...\for now.\Because W isn't complete yet? response:	Right. That cub's regenerative ability is imperative to W's completion.
context: It doesn't matter who I am!\Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about.\Don't play dumb!\We have no intention of bringing down the asteroid...\for now.\Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion. response:	I heard it belonged to the Qmay Group to begin with.
context: Why is Asteroid VR-1 hitting Earth?\I don't know what you're talking about.\Don't play dumb!\We have no intention of bringing down the asteroid...\for now.\Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with. response:	Who told you that?
context: I don't know what you're talking about.\Don't play dumb!\We have no intention of bringing down the asteroid...\for now.\Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with.\Who told you that? response:	Does it matter?
context: Don't play dumb!\We have no intention of bringing down the asteroid...\for now.\Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with.\Who told you that?\Does it matter? response:	It's true that we created it.
context: We have no intention of bringing down the asteroid...\for now.\Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with.\Who told you that?\Does it matter?\It's true that we created it. response:	At Uber Labs.
context: for now.\Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with.\Who told you that?\Does it matter?\It's true that we created it.\At Uber Labs. response:	Uber Labs?
context: Because W isn't complete yet?\Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with.\Who told you that?\Does it matter?\It's true that we created it.\At Uber Labs.\Uber Labs? response:	So you have heard of it.
context: Right. That cub's regenerative ability is imperative to W's completion.\I heard it belonged to the Qmay Group to begin with.\Who told you that?\Does it matter?\It's true that we created it.\At Uber Labs.\Uber Labs?\So you have heard of it. response:	You appear to be a Uberfier too, after all.
context: I heard it belonged to the Qmay Group to begin with.\Who told you that?\Does it matter?\It's true that we created it.\At Uber Labs.\Uber Labs?\So you have heard of it.\You appear to be a Uberfier too, after all. response:	Are you saying the lab was a Qmay Group facility?
context: Who told you that?\Does it matter?\It's true that we created it.\At Uber Labs.\Uber Labs?\So you have heard of it.\You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility? response:	I am.
context: Does it matter?\It's true that we created it.\At Uber Labs.\Uber Labs?\So you have heard of it.\You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility?\I am. response:	The Uberfication predictions, the Hercules virus design...
context: It's true that we created it.\At Uber Labs.\Uber Labs?\So you have heard of it.\You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility?\I am.\The Uberfication predictions, the Hercules virus design... response:	It was all my doing.
context: At Uber Labs.\Uber Labs?\So you have heard of it.\You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility?\I am.\The Uberfication predictions, the Hercules virus design...\It was all my doing. response:	What happened to us is all your fault!
context: Uber Labs?\So you have heard of it.\You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility?\I am.\The Uberfication predictions, the Hercules virus design...\It was all my doing.\What happened to us is all your fault! response:	I don't think there'd be any point in hurting this body.
context: So you have heard of it.\You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility?\I am.\The Uberfication predictions, the Hercules virus design...\It was all my doing.\What happened to us is all your fault!\I don't think there'd be any point in hurting this body. response:	Why did you do it?
context: You appear to be a Uberfier too, after all.\Are you saying the lab was a Qmay Group facility?\I am.\The Uberfication predictions, the Hercules virus design...\It was all my doing.\What happened to us is all your fault!\I don't think there'd be any point in hurting this body.\Why did you do it? response:	You'd never understand my sublime philosophies.
context: Are you saying the lab was a Qmay Group facility?\I am.\The Uberfication predictions, the Hercules virus design...\It was all my doing.\What happened to us is all your fault!\I don't think there'd be any point in hurting this body.\Why did you do it?\You'd never understand my sublime philosophies. response:	Humanity must evolve into a perfect form.
context: I am.\The Uberfication predictions, the Hercules virus design...\It was all my doing.\What happened to us is all your fault!\I don't think there'd be any point in hurting this body.\Why did you do it?\You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form. response:	That's the only way to bring about world peace.
context: The Uberfication predictions, the Hercules virus design...\It was all my doing.\What happened to us is all your fault!\I don't think there'd be any point in hurting this body.\Why did you do it?\You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form.\That's the only way to bring about world peace. response:	That's why I created the Qmay Group.
context: It was all my doing.\What happened to us is all your fault!\I don't think there'd be any point in hurting this body.\Why did you do it?\You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form.\That's the only way to bring about world peace.\That's why I created the Qmay Group. response:	When I presented the people with the miraculous power of Uberfication,
context: What happened to us is all your fault!\I don't think there'd be any point in hurting this body.\Why did you do it?\You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form.\That's the only way to bring about world peace.\That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication, response:	the fools followed me with gleaming eyes.
context: I don't think there'd be any point in hurting this body.\Why did you do it?\You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form.\That's the only way to bring about world peace.\That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes. response:	The people want that power.
context: Why did you do it?\You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form.\That's the only way to bring about world peace.\That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes.\The people want that power. response:	You're insane!
context: You'd never understand my sublime philosophies.\Humanity must evolve into a perfect form.\That's the only way to bring about world peace.\That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes.\The people want that power.\You're insane! response:	Indeed, evolution is beyond the ordinary.
context: Humanity must evolve into a perfect form.\That's the only way to bring about world peace.\That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes.\The people want that power.\You're insane!\Indeed, evolution is beyond the ordinary. response:	You've already taken the first step.
context: That's the only way to bring about world peace.\That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes.\The people want that power.\You're insane!\Indeed, evolution is beyond the ordinary.\You've already taken the first step. response:	What are you saying?
context: That's why I created the Qmay Group.\When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes.\The people want that power.\You're insane!\Indeed, evolution is beyond the ordinary.\You've already taken the first step.\What are you saying? response:	Why don't you come work for us again?
context: When I presented the people with the miraculous power of Uberfication,\the fools followed me with gleaming eyes.\The people want that power.\You're insane!\Indeed, evolution is beyond the ordinary.\You've already taken the first step.\What are you saying?\Why don't you come work for us again? response:	Like hell!
context: the fools followed me with gleaming eyes.\The people want that power.\You're insane!\Indeed, evolution is beyond the ordinary.\You've already taken the first step.\What are you saying?\Why don't you come work for us again?\Like hell! response:	You'll soon understand.
context: The people want that power.\You're insane!\Indeed, evolution is beyond the ordinary.\You've already taken the first step.\What are you saying?\Why don't you come work for us again?\Like hell!\You'll soon understand. response:	I'll be waiting for your return.
context: You're insane!\Indeed, evolution is beyond the ordinary.\You've already taken the first step.\What are you saying?\Why don't you come work for us again?\Like hell!\You'll soon understand.\I'll be waiting for your return. response:	But to think you were Strange Juice, Mikatan.
context: Indeed, evolution is beyond the ordinary.\You've already taken the first step.\What are you saying?\Why don't you come work for us again?\Like hell!\You'll soon understand.\I'll be waiting for your return.\But to think you were Strange Juice, Mikatan. response:	Hey, don't scare me like that.
context: You've already taken the first step.\What are you saying?\Why don't you come work for us again?\Like hell!\You'll soon understand.\I'll be waiting for your return.\But to think you were Strange Juice, Mikatan.\Hey, don't scare me like that. response:	I thought that man was back.
