context: Shion! Shion! response:	Ah, Suou... I'm glad you came.
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Was Suou really here?
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Was Suou really here? response:	Yes, but she went somewhere else with Shion.
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Was Suou really here?\Yes, but she went somewhere else with Shion. response:	No way...
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Was Suou really here?\Yes, but she went somewhere else with Shion.\No way... response:	Yes, to meet Izanami.
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Was Suou really here?\Yes, but she went somewhere else with Shion.\No way...\Yes, to meet Izanami. response:	Why didn't you stop her even though you knew that?
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Was Suou really here?\Yes, but she went somewhere else with Shion.\No way...\Yes, to meet Izanami.\Why didn't you stop her even though you knew that? response:	If Izanami and Izanagi meet...
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Was Suou really here?\Yes, but she went somewhere else with Shion.\No way...\Yes, to meet Izanami.\Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet... response:	However...
context: No matter how broken today looks\Was Suou really here?\Yes, but she went somewhere else with Shion.\No way...\Yes, to meet Izanami.\Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet...\However... response:	There are times when you must meet, regardless of the outcome.
context: Was Suou really here?\Yes, but she went somewhere else with Shion.\No way...\Yes, to meet Izanami.\Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet...\However...\There are times when you must meet, regardless of the outcome. response:	What are you talking about?
context: Yes, but she went somewhere else with Shion.\No way...\Yes, to meet Izanami.\Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet...\However...\There are times when you must meet, regardless of the outcome.\What are you talking about? response:	Oh right, I havent told you anything.
context: No way...\Yes, to meet Izanami.\Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet...\However...\There are times when you must meet, regardless of the outcome.\What are you talking about?\Oh right, I havent told you anything. response:	I'll explain it all,
context: Yes, to meet Izanami.\Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet...\However...\There are times when you must meet, regardless of the outcome.\What are you talking about?\Oh right, I havent told you anything.\I'll explain it all, response:	but before that, let's get out of here.
context: Why didn't you stop her even though you knew that?\If Izanami and Izanagi meet...\However...\There are times when you must meet, regardless of the outcome.\What are you talking about?\Oh right, I havent told you anything.\I'll explain it all,\but before that, let's get out of here. response:	Theyve found this place, too.
context: If Izanami and Izanagi meet...\However...\There are times when you must meet, regardless of the outcome.\What are you talking about?\Oh right, I havent told you anything.\I'll explain it all,\but before that, let's get out of here.\Theyve found this place, too. response:	This is my remuneration.
context: However...\There are times when you must meet, regardless of the outcome.\What are you talking about?\Oh right, I havent told you anything.\I'll explain it all,\but before that, let's get out of here.\Theyve found this place, too.\This is my remuneration. response:	I heard it from the girl called Youko.
context: There are times when you must meet, regardless of the outcome.\What are you talking about?\Oh right, I havent told you anything.\I'll explain it all,\but before that, let's get out of here.\Theyve found this place, too.\This is my remuneration.\I heard it from the girl called Youko. response:	That your true goal is to prevent the prophecy from coming true.
context: What are you talking about?\Oh right, I havent told you anything.\I'll explain it all,\but before that, let's get out of here.\Theyve found this place, too.\This is my remuneration.\I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true. response:	But I don't care about that.
context: Oh right, I havent told you anything.\I'll explain it all,\but before that, let's get out of here.\Theyve found this place, too.\This is my remuneration.\I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true.\But I don't care about that. response:	I will kill Izanami.
context: I'll explain it all,\but before that, let's get out of here.\Theyve found this place, too.\This is my remuneration.\I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true.\But I don't care about that.\I will kill Izanami. response:	That's enough, Hazuki.
context: but before that, let's get out of here.\Theyve found this place, too.\This is my remuneration.\I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true.\But I don't care about that.\I will kill Izanami.\That's enough, Hazuki. response:	He didn't kill Youko.
context: Theyve found this place, too.\This is my remuneration.\I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true.\But I don't care about that.\I will kill Izanami.\That's enough, Hazuki.\He didn't kill Youko. response:	Huh? Nobody's here.
context: This is my remuneration.\I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true.\But I don't care about that.\I will kill Izanami.\That's enough, Hazuki.\He didn't kill Youko.\Huh? Nobody's here. response:	Did Youko lie to me, even though I was so nice to her?
context: I heard it from the girl called Youko.\That your true goal is to prevent the prophecy from coming true.\But I don't care about that.\I will kill Izanami.\That's enough, Hazuki.\He didn't kill Youko.\Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her? response:	Of course not.
context: That your true goal is to prevent the prophecy from coming true.\But I don't care about that.\I will kill Izanami.\That's enough, Hazuki.\He didn't kill Youko.\Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her?\Of course not. response:	Shizume did that?
context: But I don't care about that.\I will kill Izanami.\That's enough, Hazuki.\He didn't kill Youko.\Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her?\Of course not.\Shizume did that? response:	He put her body into the ME Squeezer,
context: I will kill Izanami.\That's enough, Hazuki.\He didn't kill Youko.\Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her?\Of course not.\Shizume did that?\He put her body into the ME Squeezer, response:	and analyzed the data up until her death.
context: That's enough, Hazuki.\He didn't kill Youko.\Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her?\Of course not.\Shizume did that?\He put her body into the ME Squeezer,\and analyzed the data up until her death. response:	There's no mistake.
context: He didn't kill Youko.\Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her?\Of course not.\Shizume did that?\He put her body into the ME Squeezer,\and analyzed the data up until her death.\There's no mistake. response:	Hes joined the CIA and betrayed us.
context: Huh? Nobody's here.\Did Youko lie to me, even though I was so nice to her?\Of course not.\Shizume did that?\He put her body into the ME Squeezer,\and analyzed the data up until her death.\There's no mistake.\Hes joined the CIA and betrayed us. response:	Currently, the outside of the Gate is surrounded,
context: Did Youko lie to me, even though I was so nice to her?\Of course not.\Shizume did that?\He put her body into the ME Squeezer,\and analyzed the data up until her death.\There's no mistake.\Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded, response:	and every international agency in PANDORA, including us, is under their authority.
context: Of course not.\Shizume did that?\He put her body into the ME Squeezer,\and analyzed the data up until her death.\There's no mistake.\Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority. response:	Please go.
context: Shizume did that?\He put her body into the ME Squeezer,\and analyzed the data up until her death.\There's no mistake.\Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority.\Please go. response:	I'll take care of the traitor.
context: He put her body into the ME Squeezer,\and analyzed the data up until her death.\There's no mistake.\Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority.\Please go.\I'll take care of the traitor. response:	BK201.
context: and analyzed the data up until her death.\There's no mistake.\Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority.\Please go.\I'll take care of the traitor.\BK201. response:	Izanami is waiting for you.
context: There's no mistake.\Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority.\Please go.\I'll take care of the traitor.\BK201.\Izanami is waiting for you. response:	Get in.
context: Hes joined the CIA and betrayed us.\Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority.\Please go.\I'll take care of the traitor.\BK201.\Izanami is waiting for you.\Get in. response:	Where are you taking us now?
context: Currently, the outside of the Gate is surrounded,\and every international agency in PANDORA, including us, is under their authority.\Please go.\I'll take care of the traitor.\BK201.\Izanami is waiting for you.\Get in.\Where are you taking us now? response:	When did I?
context: and every international agency in PANDORA, including us, is under their authority.\Please go.\I'll take care of the traitor.\BK201.\Izanami is waiting for you.\Get in.\Where are you taking us now?\When did I? response:	That's my line.
context: Please go.\I'll take care of the traitor.\BK201.\Izanami is waiting for you.\Get in.\Where are you taking us now?\When did I?\That's my line. response:	July went to see her.
context: I'll take care of the traitor.\BK201.\Izanami is waiting for you.\Get in.\Where are you taking us now?\When did I?\That's my line.\July went to see her. response:	Her? You mean Suou?
context: BK201.\Izanami is waiting for you.\Get in.\Where are you taking us now?\When did I?\That's my line.\July went to see her.\Her? You mean Suou? response:	Right, because this is the Gate.
context: Izanami is waiting for you.\Get in.\Where are you taking us now?\When did I?\That's my line.\July went to see her.\Her? You mean Suou?\Right, because this is the Gate. response:	A place where all your wishes come true, eh?
context: Get in.\Where are you taking us now?\When did I?\That's my line.\July went to see her.\Her? You mean Suou?\Right, because this is the Gate.\A place where all your wishes come true, eh? response:	We're going. Hold tight.
context: Where are you taking us now?\When did I?\That's my line.\July went to see her.\Her? You mean Suou?\Right, because this is the Gate.\A place where all your wishes come true, eh?\We're going. Hold tight. response:	We've lost Alpha team's signal.
context: When did I?\That's my line.\July went to see her.\Her? You mean Suou?\Right, because this is the Gate.\A place where all your wishes come true, eh?\We're going. Hold tight.\We've lost Alpha team's signal. response:	Defeat your enemies using one of their own.
context: That's my line.\July went to see her.\Her? You mean Suou?\Right, because this is the Gate.\A place where all your wishes come true, eh?\We're going. Hold tight.\We've lost Alpha team's signal.\Defeat your enemies using one of their own. response:	Hurry up with the squeezing process!
context: July went to see her.\Her? You mean Suou?\Right, because this is the Gate.\A place where all your wishes come true, eh?\We're going. Hold tight.\We've lost Alpha team's signal.\Defeat your enemies using one of their own.\Hurry up with the squeezing process! response:	Find out from the professor's memories where they're heading to!
context: Her? You mean Suou?\Right, because this is the Gate.\A place where all your wishes come true, eh?\We're going. Hold tight.\We've lost Alpha team's signal.\Defeat your enemies using one of their own.\Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to! response:	She's an empty shell.
context: Right, because this is the Gate.\A place where all your wishes come true, eh?\We're going. Hold tight.\We've lost Alpha team's signal.\Defeat your enemies using one of their own.\Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to!\She's an empty shell. response:	Empty?
context: A place where all your wishes come true, eh?\We're going. Hold tight.\We've lost Alpha team's signal.\Defeat your enemies using one of their own.\Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to!\She's an empty shell.\Empty? response:	Her soul has already awakened and is heading to the center of the Gate.
context: We're going. Hold tight.\We've lost Alpha team's signal.\Defeat your enemies using one of their own.\Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to!\She's an empty shell.\Empty?\Her soul has already awakened and is heading to the center of the Gate. response:	Only her empty shell is lying there.
context: We've lost Alpha team's signal.\Defeat your enemies using one of their own.\Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to!\She's an empty shell.\Empty?\Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there. response:	We were too late.
context: Defeat your enemies using one of their own.\Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to!\She's an empty shell.\Empty?\Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there.\We were too late. response:	And so were you.
context: Hurry up with the squeezing process!\Find out from the professor's memories where they're heading to!\She's an empty shell.\Empty?\Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there.\We were too late.\And so were you. response:	What is this place?
context: Find out from the professor's memories where they're heading to!\She's an empty shell.\Empty?\Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there.\We were too late.\And so were you.\What is this place? response:	This is where Professor Pavlichenko and I built the supercomputer.
context: She's an empty shell.\Empty?\Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there.\We were too late.\And so were you.\What is this place?\This is where Professor Pavlichenko and I built the supercomputer. response:	Suou?
context: Empty?\Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there.\We were too late.\And so were you.\What is this place?\This is where Professor Pavlichenko and I built the supercomputer.\Suou? response:	No, Shion?!
context: Her soul has already awakened and is heading to the center of the Gate.\Only her empty shell is lying there.\We were too late.\And so were you.\What is this place?\This is where Professor Pavlichenko and I built the supercomputer.\Suou?\No, Shion?! response:	Yes, they look like Shion, but these specimens aren't even dolls.
context: Only her empty shell is lying there.\We were too late.\And so were you.\What is this place?\This is where Professor Pavlichenko and I built the supercomputer.\Suou?\No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls. response:	What were you doing here?
context: We were too late.\And so were you.\What is this place?\This is where Professor Pavlichenko and I built the supercomputer.\Suou?\No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here? response:	All the memories of the world recorded by the doll network,
context: And so were you.\What is this place?\This is where Professor Pavlichenko and I built the supercomputer.\Suou?\No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here?\All the memories of the world recorded by the doll network, response:	and all the memories of mankind from the ME network are here.
context: What is this place?\This is where Professor Pavlichenko and I built the supercomputer.\Suou?\No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here?\All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here. response:	Why?
context: This is where Professor Pavlichenko and I built the supercomputer.\Suou?\No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here?\All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here.\Why? response:	I couldn't see it any more.
context: Suou?\No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here?\All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here.\Why?\I couldn't see it any more. response:	Ever since I bet everything I had on Shion-kun's plan.
context: No, Shion?!\Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here?\All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here.\Why?\I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan. response:	A plan...
context: Yes, they look like Shion, but these specimens aren't even dolls.\What were you doing here?\All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here.\Why?\I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan.\A plan... response:	For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.
context: What were you doing here?\All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here.\Why?\I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan.\A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia. response:	That's not the moon.
context: All the memories of the world recorded by the doll network,\and all the memories of mankind from the ME network are here.\Why?\I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan.\A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon. response:	That there is proof of mankind's existence.
context: and all the memories of mankind from the ME network are here.\Why?\I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan.\A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon.\That there is proof of mankind's existence. response:	Shion-kun copied it by using his powers.
context: Why?\I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan.\A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon.\That there is proof of mankind's existence.\Shion-kun copied it by using his powers. response:	An alternate...
context: I couldn't see it any more.\Ever since I bet everything I had on Shion-kun's plan.\A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon.\That there is proof of mankind's existence.\Shion-kun copied it by using his powers.\An alternate... response:	I heard everything from Dad.
context: Ever since I bet everything I had on Shion-kun's plan.\A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon.\That there is proof of mankind's existence.\Shion-kun copied it by using his powers.\An alternate...\I heard everything from Dad. response:	That I was born two years ago.
context: A plan...\For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon.\That there is proof of mankind's existence.\Shion-kun copied it by using his powers.\An alternate...\I heard everything from Dad.\That I was born two years ago. response:	And how my memories were created by you.
context: For that, we tricked MI-6 and CIA to make them force Shion and the professor out of Russia.\That's not the moon.\That there is proof of mankind's existence.\Shion-kun copied it by using his powers.\An alternate...\I heard everything from Dad.\That I was born two years ago.\And how my memories were created by you. response:	Did you like my present?
context: That's not the moon.\That there is proof of mankind's existence.\Shion-kun copied it by using his powers.\An alternate...\I heard everything from Dad.\That I was born two years ago.\And how my memories were created by you.\Did you like my present? response:	If I didn't have that memory, perhaps I wouldn't be here now.
context: That there is proof of mankind's existence.\Shion-kun copied it by using his powers.\An alternate...\I heard everything from Dad.\That I was born two years ago.\And how my memories were created by you.\Did you like my present?\If I didn't have that memory, perhaps I wouldn't be here now. response:	That memory was also my dream.
context: Shion-kun copied it by using his powers.\An alternate...\I heard everything from Dad.\That I was born two years ago.\And how my memories were created by you.\Did you like my present?\If I didn't have that memory, perhaps I wouldn't be here now.\That memory was also my dream. response:	I always dreamed of going back to that day,
context: An alternate...\I heard everything from Dad.\That I was born two years ago.\And how my memories were created by you.\Did you like my present?\If I didn't have that memory, perhaps I wouldn't be here now.\That memory was also my dream.\I always dreamed of going back to that day, response:	and I realized that you wanted the same.
context: I heard everything from Dad.\That I was born two years ago.\And how my memories were created by you.\Did you like my present?\If I didn't have that memory, perhaps I wouldn't be here now.\That memory was also my dream.\I always dreamed of going back to that day,\and I realized that you wanted the same. response:	You're mistaken.
context: That I was born two years ago.\And how my memories were created by you.\Did you like my present?\If I didn't have that memory, perhaps I wouldn't be here now.\That memory was also my dream.\I always dreamed of going back to that day,\and I realized that you wanted the same.\You're mistaken. response:	I just injected it by thinking it was a normal, human-like memory,
context: And how my memories were created by you.\Did you like my present?\If I didn't have that memory, perhaps I wouldn't be here now.\That memory was also my dream.\I always dreamed of going back to that day,\and I realized that you wanted the same.\You're mistaken.\I just injected it by thinking it was a normal, human-like memory, response:	It would have been awkward to release you into society without a memory like that.
