context: All of a sudden, I was there. response:	I was there, all alone.
context: was stolen from me.\I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason\This is wonderful!\It's been so long since I've had any Soma!\So, Goddess Loki,\you say that it's not their god that the Soma Familia worships, response:	it's that wine?
context: I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason\This is wonderful!\It's been so long since I've had any Soma!\So, Goddess Loki,\you say that it's not their god that the Soma Familia worships,\it's that wine? response:	That's not quite correct.
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason\This is wonderful!\It's been so long since I've had any Soma!\So, Goddess Loki,\you say that it's not their god that the Soma Familia worships,\it's that wine?\That's not quite correct. response:	This insanely expensive stuff is, to them, a failure.
context: Liliruca Arde Reason\This is wonderful!\It's been so long since I've had any Soma!\So, Goddess Loki,\you say that it's not their god that the Soma Familia worships,\it's that wine?\That's not quite correct.\This insanely expensive stuff is, to them, a failure. response:	What they worship is the perfected stuff, which they won't sell to anybody.
context: This is wonderful!\It's been so long since I've had any Soma!\So, Goddess Loki,\you say that it's not their god that the Soma Familia worships,\it's that wine?\That's not quite correct.\This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody. response:	Perfected?
context: It's been so long since I've had any Soma!\So, Goddess Loki,\you say that it's not their god that the Soma Familia worships,\it's that wine?\That's not quite correct.\This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody.\Perfected? response:	That's right.
context: So, Goddess Loki,\you say that it's not their god that the Soma Familia worships,\it's that wine?\That's not quite correct.\This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody.\Perfected?\That's right. response:	It's dangerous.
context: you say that it's not their god that the Soma Familia worships,\it's that wine?\That's not quite correct.\This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody.\Perfected?\That's right.\It's dangerous. response:	One sip can get you wasted, to the bottom of your soul.
context: it's that wine?\That's not quite correct.\This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody.\Perfected?\That's right.\It's dangerous.\One sip can get you wasted, to the bottom of your soul. response:	All the children of the Soma Familia are only there to drink it.
context: That's not quite correct.\This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody.\Perfected?\That's right.\It's dangerous.\One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it. response:	Only the drink connects them.
context: This insanely expensive stuff is, to them, a failure.\What they worship is the perfected stuff, which they won't sell to anybody.\Perfected?\That's right.\It's dangerous.\One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it.\Only the drink connects them. response:	No way...
context: What they worship is the perfected stuff, which they won't sell to anybody.\Perfected?\That's right.\It's dangerous.\One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it.\Only the drink connects them.\No way... response:	That's all the Soma Familia is?
context: Perfected?\That's right.\It's dangerous.\One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it.\Only the drink connects them.\No way...\That's all the Soma Familia is? response:	That's all.
context: That's right.\It's dangerous.\One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it.\Only the drink connects them.\No way...\That's all the Soma Familia is?\That's all. response:	It takes money to really focus on brewing.
context: It's dangerous.\One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it.\Only the drink connects them.\No way...\That's all the Soma Familia is?\That's all.\It takes money to really focus on brewing. response:	The ones who make a lot of money get a little drink of the perfect stuff.
context: One sip can get you wasted, to the bottom of your soul.\All the children of the Soma Familia are only there to drink it.\Only the drink connects them.\No way...\That's all the Soma Familia is?\That's all.\It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff. response:	And once you've had it, you want it again,
context: All the children of the Soma Familia are only there to drink it.\Only the drink connects them.\No way...\That's all the Soma Familia is?\That's all.\It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again, response:	so you're desperate for cash.
context: Only the drink connects them.\No way...\That's all the Soma Familia is?\That's all.\It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again,\so you're desperate for cash. response:	You'll take every valis you can get,
context: No way...\That's all the Soma Familia is?\That's all.\It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again,\so you're desperate for cash.\You'll take every valis you can get, response:	even if it means screwing your companions,
context: That's all the Soma Familia is?\That's all.\It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again,\so you're desperate for cash.\You'll take every valis you can get,\even if it means screwing your companions, response:	or sacrificing others.
context: That's all.\It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again,\so you're desperate for cash.\You'll take every valis you can get,\even if it means screwing your companions,\or sacrificing others. response:	Well, that's about all I know.
context: It takes money to really focus on brewing.\The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again,\so you're desperate for cash.\You'll take every valis you can get,\even if it means screwing your companions,\or sacrificing others.\Well, that's about all I know. response:	Did that help, Eina-chan?
context: The ones who make a lot of money get a little drink of the perfect stuff.\And once you've had it, you want it again,\so you're desperate for cash.\You'll take every valis you can get,\even if it means screwing your companions,\or sacrificing others.\Well, that's about all I know.\Did that help, Eina-chan? response:	Yes. Thank you.
context: And once you've had it, you want it again,\so you're desperate for cash.\You'll take every valis you can get,\even if it means screwing your companions,\or sacrificing others.\Well, that's about all I know.\Did that help, Eina-chan?\Yes. Thank you. response:	Hey, Aiz-tan!
context: so you're desperate for cash.\You'll take every valis you can get,\even if it means screwing your companions,\or sacrificing others.\Well, that's about all I know.\Did that help, Eina-chan?\Yes. Thank you.\Hey, Aiz-tan! response:	How long are you going to be glum,
context: You'll take every valis you can get,\even if it means screwing your companions,\or sacrificing others.\Well, that's about all I know.\Did that help, Eina-chan?\Yes. Thank you.\Hey, Aiz-tan!\How long are you going to be glum, response:	just because your man ran off on you?
context: even if it means screwing your companions,\or sacrificing others.\Well, that's about all I know.\Did that help, Eina-chan?\Yes. Thank you.\Hey, Aiz-tan!\How long are you going to be glum,\just because your man ran off on you? response:	Let's update your status!
context: or sacrificing others.\Well, that's about all I know.\Did that help, Eina-chan?\Yes. Thank you.\Hey, Aiz-tan!\How long are you going to be glum,\just because your man ran off on you?\Let's update your status! response:	Okay? Okay?
context: Well, that's about all I know.\Did that help, Eina-chan?\Yes. Thank you.\Hey, Aiz-tan!\How long are you going to be glum,\just because your man ran off on you?\Let's update your status!\Okay? Okay? response:	Understood.
context: Did that help, Eina-chan?\Yes. Thank you.\Hey, Aiz-tan!\How long are you going to be glum,\just because your man ran off on you?\Let's update your status!\Okay? Okay?\Understood. response:	I'll touch your soft skin all over!
context: Yes. Thank you.\Hey, Aiz-tan!\How long are you going to be glum,\just because your man ran off on you?\Let's update your status!\Okay? Okay?\Understood.\I'll touch your soft skin all over! response:	If you do anything weird, I'll stab you.
context: Hey, Aiz-tan!\How long are you going to be glum,\just because your man ran off on you?\Let's update your status!\Okay? Okay?\Understood.\I'll touch your soft skin all over!\If you do anything weird, I'll stab you. response:	Seriously?
context: How long are you going to be glum,\just because your man ran off on you?\Let's update your status!\Okay? Okay?\Understood.\I'll touch your soft skin all over!\If you do anything weird, I'll stab you.\Seriously? response:	She's an interesting goddess, isn't she?
context: just because your man ran off on you?\Let's update your status!\Okay? Okay?\Understood.\I'll touch your soft skin all over!\If you do anything weird, I'll stab you.\Seriously?\She's an interesting goddess, isn't she? response:	Interesting or not, she's far sharper than she looks.
context: Let's update your status!\Okay? Okay?\Understood.\I'll touch your soft skin all over!\If you do anything weird, I'll stab you.\Seriously?\She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks. response:	And we trust her implicitly.
context: Okay? Okay?\Understood.\I'll touch your soft skin all over!\If you do anything weird, I'll stab you.\Seriously?\She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks.\And we trust her implicitly. response:	Even if it means sacrificing others, huh?
context: Understood.\I'll touch your soft skin all over!\If you do anything weird, I'll stab you.\Seriously?\She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks.\And we trust her implicitly.\Even if it means sacrificing others, huh? response:	We've got Level 6 here!
context: I'll touch your soft skin all over!\If you do anything weird, I'll stab you.\Seriously?\She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks.\And we trust her implicitly.\Even if it means sacrificing others, huh?\We've got Level 6 here! response:	I see.. it's that supporter, huh?
context: If you do anything weird, I'll stab you.\Seriously?\She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks.\And we trust her implicitly.\Even if it means sacrificing others, huh?\We've got Level 6 here!\I see.. it's that supporter, huh? response:	Yes. It looks like there are bad adventurers after her.
context: Seriously?\She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks.\And we trust her implicitly.\Even if it means sacrificing others, huh?\We've got Level 6 here!\I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her. response:	I was hoping we could let her stay here for a while.
context: She's an interesting goddess, isn't she?\Interesting or not, she's far sharper than she looks.\And we trust her implicitly.\Even if it means sacrificing others, huh?\We've got Level 6 here!\I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while. response:	Bell-kun.
context: Interesting or not, she's far sharper than she looks.\And we trust her implicitly.\Even if it means sacrificing others, huh?\We've got Level 6 here!\I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while.\Bell-kun. response:	Yes?
context: And we trust her implicitly.\Even if it means sacrificing others, huh?\We've got Level 6 here!\I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while.\Bell-kun.\Yes? response:	Is your supporter really trustworthy?
context: Even if it means sacrificing others, huh?\We've got Level 6 here!\I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while.\Bell-kun.\Yes?\Is your supporter really trustworthy? response:	I'm sorry. It's a bad thing to say, but I have to say it.
context: We've got Level 6 here!\I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while.\Bell-kun.\Yes?\Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it. response:	From everything you've said,
context: I see.. it's that supporter, huh?\Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while.\Bell-kun.\Yes?\Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said, response:	she seems really shady.
context: Yes. It looks like there are bad adventurers after her.\I was hoping we could let her stay here for a while.\Bell-kun.\Yes?\Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said,\she seems really shady. response:	Think about it.
context: I was hoping we could let her stay here for a while.\Bell-kun.\Yes?\Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said,\she seems really shady.\Think about it. response:	Did you really lose your knife?
context: Bell-kun.\Yes?\Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said,\she seems really shady.\Think about it.\Did you really lose your knife? response:	It's the same with those adventurers who were attacking her.
context: Yes?\Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said,\she seems really shady.\Think about it.\Did you really lose your knife?\It's the same with those adventurers who were attacking her. response:	She's hiding something from you.
context: Is your supporter really trustworthy?\I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said,\she seems really shady.\Think about it.\Did you really lose your knife?\It's the same with those adventurers who were attacking her.\She's hiding something from you. response:	Goddess...
context: I'm sorry. It's a bad thing to say, but I have to say it.\From everything you've said,\she seems really shady.\Think about it.\Did you really lose your knife?\It's the same with those adventurers who were attacking her.\She's hiding something from you.\Goddess... response:	The tenth floor?
context: From everything you've said,\she seems really shady.\Think about it.\Did you really lose your knife?\It's the same with those adventurers who were attacking her.\She's hiding something from you.\Goddess...\The tenth floor? response:	Yes. Do you want to go there today?
context: she seems really shady.\Think about it.\Did you really lose your knife?\It's the same with those adventurers who were attacking her.\She's hiding something from you.\Goddess...\The tenth floor?\Yes. Do you want to go there today? response:	You're strong enough to do it!
context: Think about it.\Did you really lose your knife?\It's the same with those adventurers who were attacking her.\She's hiding something from you.\Goddess...\The tenth floor?\Yes. Do you want to go there today?\You're strong enough to do it! response:	But I only survived the seventh floor because of your magic weapon...
context: Did you really lose your knife?\It's the same with those adventurers who were attacking her.\She's hiding something from you.\Goddess...\The tenth floor?\Yes. Do you want to go there today?\You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon... response:	And starting on the tenth floor...
context: It's the same with those adventurers who were attacking her.\She's hiding something from you.\Goddess...\The tenth floor?\Yes. Do you want to go there today?\You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor... response:	Large monsters start showing up.
context: She's hiding something from you.\Goddess...\The tenth floor?\Yes. Do you want to go there today?\You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor...\Large monsters start showing up. response:	As strong as you are now, you won't have any problems!
context: Goddess...\The tenth floor?\Yes. Do you want to go there today?\You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor...\Large monsters start showing up.\As strong as you are now, you won't have any problems! response:	Like that magic you showed me yesterday!
context: The tenth floor?\Yes. Do you want to go there today?\You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor...\Large monsters start showing up.\As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday! response:	You can do it.
context: Yes. Do you want to go there today?\You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor...\Large monsters start showing up.\As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday!\You can do it. response:	I've been down to the eleventh floor, and I guarantee it.
context: You're strong enough to do it!\But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor...\Large monsters start showing up.\As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday!\You can do it.\I've been down to the eleventh floor, and I guarantee it. response:	I was planning on talking to Hestia soon,
context: But I only survived the seventh floor because of your magic weapon...\And starting on the tenth floor...\Large monsters start showing up.\As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday!\You can do it.\I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon, response:	but I didn't think I'd be asked to do the Babel inspection.
context: And starting on the tenth floor...\Large monsters start showing up.\As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday!\You can do it.\I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection. response:	I shouldn't involve my job with my personal life,
context: Large monsters start showing up.\As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday!\You can do it.\I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life, response:	but it's for the best, right?
context: As strong as you are now, you won't have any problems!\Like that magic you showed me yesterday!\You can do it.\I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life,\but it's for the best, right? response:	I need to talk to her about Bell-kun's supporter.
context: Like that magic you showed me yesterday!\You can do it.\I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life,\but it's for the best, right?\I need to talk to her about Bell-kun's supporter. response:	Thank you for agreeing to my plan!
context: You can do it.\I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life,\but it's for the best, right?\I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan! response:	I'm really lucky to be a supporter for someone like you!
context: I've been down to the eleventh floor, and I guarantee it.\I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life,\but it's for the best, right?\I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you! response:	Oh, well...
context: I was planning on talking to Hestia soon,\but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life,\but it's for the best, right?\I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you!\Oh, well... response:	I guess have to go to the tenth floor at some point.
context: but I didn't think I'd be asked to do the Babel inspection.\I shouldn't involve my job with my personal life,\but it's for the best, right?\I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you!\Oh, well...\I guess have to go to the tenth floor at some point. response:	So, um...
context: I shouldn't involve my job with my personal life,\but it's for the best, right?\I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you!\Oh, well...\I guess have to go to the tenth floor at some point.\So, um... response:	This isn't really my place to say anything, but...
context: but it's for the best, right?\I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you!\Oh, well...\I guess have to go to the tenth floor at some point.\So, um...\This isn't really my place to say anything, but... response:	Why not use this from now on?
context: I need to talk to her about Bell-kun's supporter.\Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you!\Oh, well...\I guess have to go to the tenth floor at some point.\So, um...\This isn't really my place to say anything, but...\Why not use this from now on? response:	A baselard?
context: Thank you for agreeing to my plan!\I'm really lucky to be a supporter for someone like you!\Oh, well...\I guess have to go to the tenth floor at some point.\So, um...\This isn't really my place to say anything, but...\Why not use this from now on?\A baselard? response:	Yes. Your current weapon
context: I'm really lucky to be a supporter for someone like you!\Oh, well...\I guess have to go to the tenth floor at some point.\So, um...\This isn't really my place to say anything, but...\Why not use this from now on?\A baselard?\Yes. Your current weapon response:	doesn't quite have the reach needed to fight a large monster.
context: Oh, well...\I guess have to go to the tenth floor at some point.\So, um...\This isn't really my place to say anything, but...\Why not use this from now on?\A baselard?\Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster. response:	All right. I'll borrow this.
context: I guess have to go to the tenth floor at some point.\So, um...\This isn't really my place to say anything, but...\Why not use this from now on?\A baselard?\Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this. response:	Bell-sama...
context: So, um...\This isn't really my place to say anything, but...\Why not use this from now on?\A baselard?\Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this.\Bell-sama... response:	Okay!
context: This isn't really my place to say anything, but...\Why not use this from now on?\A baselard?\Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this.\Bell-sama...\Okay! response:	Let's go, Lili!
context: Why not use this from now on?\A baselard?\Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this.\Bell-sama...\Okay!\Let's go, Lili! response:	Yes, Bell-sama!
context: A baselard?\Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this.\Bell-sama...\Okay!\Let's go, Lili!\Yes, Bell-sama! response:	I saved the adventurer you're in charge of?
context: Yes. Your current weapon\doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this.\Bell-sama...\Okay!\Let's go, Lili!\Yes, Bell-sama!\I saved the adventurer you're in charge of? response:	Yes.
context: doesn't quite have the reach needed to fight a large monster.\All right. I'll borrow this.\Bell-sama...\Okay!\Let's go, Lili!\Yes, Bell-sama!\I saved the adventurer you're in charge of?\Yes. response:	I've been wanting to thank you.
context: All right. I'll borrow this.\Bell-sama...\Okay!\Let's go, Lili!\Yes, Bell-sama!\I saved the adventurer you're in charge of?\Yes.\I've been wanting to thank you. response:	I heard you saved him at the last second from a raging minotaur
context: Bell-sama...\Okay!\Let's go, Lili!\Yes, Bell-sama!\I saved the adventurer you're in charge of?\Yes.\I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur response:	on the fifth floor.
context: Okay!\Let's go, Lili!\Yes, Bell-sama!\I saved the adventurer you're in charge of?\Yes.\I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur\on the fifth floor. response:	A minotaur?
context: Let's go, Lili!\Yes, Bell-sama!\I saved the adventurer you're in charge of?\Yes.\I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur\on the fifth floor.\A minotaur? response:	Yes.
context: Yes, Bell-sama!\I saved the adventurer you're in charge of?\Yes.\I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur\on the fifth floor.\A minotaur?\Yes. response:	His name's Bell Cranel.
context: I saved the adventurer you're in charge of?\Yes.\I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur\on the fifth floor.\A minotaur?\Yes.\His name's Bell Cranel. response:	U-Um... Miss Wallenstein?
context: Yes.\I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur\on the fifth floor.\A minotaur?\Yes.\His name's Bell Cranel.\U-Um... Miss Wallenstein? response:	Is he afraid of me?
context: I've been wanting to thank you.\I heard you saved him at the last second from a raging minotaur\on the fifth floor.\A minotaur?\Yes.\His name's Bell Cranel.\U-Um... Miss Wallenstein?\Is he afraid of me? response:	H-Huh?
context: I heard you saved him at the last second from a raging minotaur\on the fifth floor.\A minotaur?\Yes.\His name's Bell Cranel.\U-Um... Miss Wallenstein?\Is he afraid of me?\H-Huh? response:	Not at all!
context: on the fifth floor.\A minotaur?\Yes.\His name's Bell Cranel.\U-Um... Miss Wallenstein?\Is he afraid of me?\H-Huh?\Not at all! response:	He's very grateful to you for saving him!
context: A minotaur?\Yes.\His name's Bell Cranel.\U-Um... Miss Wallenstein?\Is he afraid of me?\H-Huh?\Not at all!\He's very grateful to you for saving him! response:	Really?
context: Yes.\His name's Bell Cranel.\U-Um... Miss Wallenstein?\Is he afraid of me?\H-Huh?\Not at all!\He's very grateful to you for saving him!\Really? response:	Really!
context: His name's Bell Cranel.\U-Um... Miss Wallenstein?\Is he afraid of me?\H-Huh?\Not at all!\He's very grateful to you for saving him!\Really?\Really! response:	I'm so glad...
context: U-Um... Miss Wallenstein?\Is he afraid of me?\H-Huh?\Not at all!\He's very grateful to you for saving him!\Really?\Really!\I'm so glad... response:	So the white-haired kid is about to get set up for a fall by Arde?
context: Is he afraid of me?\H-Huh?\Not at all!\He's very grateful to you for saving him!\Really?\Really!\I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde? response:	Yup.
context: H-Huh?\Not at all!\He's very grateful to you for saving him!\Really?\Really!\I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde?\Yup. response:	And you know what'll happen then.
context: Not at all!\He's very grateful to you for saving him!\Really?\Really!\I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde?\Yup.\And you know what'll happen then. response:	Don't screw it up, you guys.
context: He's very grateful to you for saving him!\Really?\Really!\I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde?\Yup.\And you know what'll happen then.\Don't screw it up, you guys. response:	I know!
context: Really?\Really!\I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde?\Yup.\And you know what'll happen then.\Don't screw it up, you guys.\I know! response:	It can't be...
context: Really!\I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde?\Yup.\And you know what'll happen then.\Don't screw it up, you guys.\I know!\It can't be... response:	Is something wrong?
context: I'm so glad...\So the white-haired kid is about to get set up for a fall by Arde?\Yup.\And you know what'll happen then.\Don't screw it up, you guys.\I know!\It can't be...\Is something wrong? response:	Miss Wallenstein, I'm aware that this is rude,
context: So the white-haired kid is about to get set up for a fall by Arde?\Yup.\And you know what'll happen then.\Don't screw it up, you guys.\I know!\It can't be...\Is something wrong?\Miss Wallenstein, I'm aware that this is rude, response:	but may I ask you a favor?
context: Yup.\And you know what'll happen then.\Don't screw it up, you guys.\I know!\It can't be...\Is something wrong?\Miss Wallenstein, I'm aware that this is rude,\but may I ask you a favor? response:	So this is the tenth floor?
context: And you know what'll happen then.\Don't screw it up, you guys.\I know!\It can't be...\Is something wrong?\Miss Wallenstein, I'm aware that this is rude,\but may I ask you a favor?\So this is the tenth floor? response:	Yes. This is our goal for today.
