context: hajimete no kimochi my first feelings response:	shonbori no mune ni upon my downhearted chest
context: kowareru omoiwa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe response:	Dew frost
context: maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Dew frost response:	The conference members are basically selected after we do a strict examination.
context: sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Dew frost\The conference members are basically selected after we do a strict examination. response:	There really aren't any suspicious people, so to say...
context: soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Dew frost\The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say... response:	or any people with problems.
context: tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Dew frost\The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say...\or any people with problems. response:	If there are any conflicts between two members,
context: bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Dew frost\The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say...\or any people with problems.\If there are any conflicts between two members, response:	we'll take responsibility...
context: kurushikute it's so painful\ikiga tomarisou desu I can't breathe\Dew frost\The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say...\or any people with problems.\If there are any conflicts between two members,\we'll take responsibility... response:	It was a job I just chose to do,
context: ikiga tomarisou desu I can't breathe\Dew frost\The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say...\or any people with problems.\If there are any conflicts between two members,\we'll take responsibility...\It was a job I just chose to do, response:	because employment opportunities were limited for a third-class university graduate.
context: Dew frost\The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say...\or any people with problems.\If there are any conflicts between two members,\we'll take responsibility...\It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate. response:	Or so I thought.
context: The conference members are basically selected after we do a strict examination.\There really aren't any suspicious people, so to say...\or any people with problems.\If there are any conflicts between two members,\we'll take responsibility...\It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate.\Or so I thought. response:	Or I was trying to make myself think.
context: There really aren't any suspicious people, so to say...\or any people with problems.\If there are any conflicts between two members,\we'll take responsibility...\It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate.\Or so I thought.\Or I was trying to make myself think. response:	In truth, I wanted to experience people's happiness,
context: or any people with problems.\If there are any conflicts between two members,\we'll take responsibility...\It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate.\Or so I thought.\Or I was trying to make myself think.\In truth, I wanted to experience people's happiness, response:	I wanted to experience people's sadness.
context: If there are any conflicts between two members,\we'll take responsibility...\It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate.\Or so I thought.\Or I was trying to make myself think.\In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness. response:	I wanted to place myself somewhere where people encounter and separate.
context: we'll take responsibility...\It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate.\Or so I thought.\Or I was trying to make myself think.\In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate. response:	If I kept doing that, I thought I'd be able to do the same someday...
context: It was a job I just chose to do,\because employment opportunities were limited for a third-class university graduate.\Or so I thought.\Or I was trying to make myself think.\In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday... response:	From now on, I want you to help me with the house chores more often than before, okay?
context: because employment opportunities were limited for a third-class university graduate.\Or so I thought.\Or I was trying to make myself think.\In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay? response:	I feel kind of bad doing this to you since there's such a large age difference.
context: Or so I thought.\Or I was trying to make myself think.\In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference. response:	What's wrong? You don't seem too happy.
context: Or I was trying to make myself think.\In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy. response:	You're finally going to be a big brother...
context: In truth, I wanted to experience people's happiness,\I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy.\You're finally going to be a big brother... response:	Oh, isn't it almost time?
context: I wanted to experience people's sadness.\I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy.\You're finally going to be a big brother...\Oh, isn't it almost time? response:	One more month.
context: I wanted to place myself somewhere where people encounter and separate.\If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy.\You're finally going to be a big brother...\Oh, isn't it almost time?\One more month. response:	You're a big brother now, aren't you, Ko-chan?
context: If I kept doing that, I thought I'd be able to do the same someday...\From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy.\You're finally going to be a big brother...\Oh, isn't it almost time?\One more month.\You're a big brother now, aren't you, Ko-chan? response:	Yes! We did it, Koshiro!
context: From now on, I want you to help me with the house chores more often than before, okay?\I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy.\You're finally going to be a big brother...\Oh, isn't it almost time?\One more month.\You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro! response:	Congratulations, it's a girl.
context: I feel kind of bad doing this to you since there's such a large age difference.\What's wrong? You don't seem too happy.\You're finally going to be a big brother...\Oh, isn't it almost time?\One more month.\You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro!\Congratulations, it's a girl. response:	It was a kind of a happy, yet scary, feeling.
context: What's wrong? You don't seem too happy.\You're finally going to be a big brother...\Oh, isn't it almost time?\One more month.\You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro!\Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling. response:	But that was the only time I had that feeling.
context: You're finally going to be a big brother...\Oh, isn't it almost time?\One more month.\You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro!\Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling. response:	I'm home.
context: Oh, isn't it almost time?\One more month.\You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro!\Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling.\I'm home. response:	What is it?
context: One more month.\You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro!\Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling.\I'm home.\What is it? response:	What do you want?!
context: You're a big brother now, aren't you, Ko-chan?\Yes! We did it, Koshiro!\Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling.\I'm home.\What is it?\What do you want?! response:	Hey, wait...
context: Yes! We did it, Koshiro!\Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling.\I'm home.\What is it?\What do you want?!\Hey, wait... response:	My, my, what's going on?
context: Congratulations, it's a girl.\It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling.\I'm home.\What is it?\What do you want?!\Hey, wait...\My, my, what's going on? response:	Come on, what's the matter?
context: It was a kind of a happy, yet scary, feeling.\But that was the only time I had that feeling.\I'm home.\What is it?\What do you want?!\Hey, wait...\My, my, what's going on?\Come on, what's the matter? response:	Ugh... Not again.
context: But that was the only time I had that feeling.\I'm home.\What is it?\What do you want?!\Hey, wait...\My, my, what's going on?\Come on, what's the matter?\Ugh... Not again. response:	Now, now, don't cry, don't cry.
context: I'm home.\What is it?\What do you want?!\Hey, wait...\My, my, what's going on?\Come on, what's the matter?\Ugh... Not again.\Now, now, don't cry, don't cry. response:	It's not my fault!
context: What is it?\What do you want?!\Hey, wait...\My, my, what's going on?\Come on, what's the matter?\Ugh... Not again.\Now, now, don't cry, don't cry.\It's not my fault! response:	Here.
context: What do you want?!\Hey, wait...\My, my, what's going on?\Come on, what's the matter?\Ugh... Not again.\Now, now, don't cry, don't cry.\It's not my fault!\Here. response:	Which is it?!
context: Hey, wait...\My, my, what's going on?\Come on, what's the matter?\Ugh... Not again.\Now, now, don't cry, don't cry.\It's not my fault!\Here.\Which is it?! response:	You aren't bullying her while we're out, are you?
context: My, my, what's going on?\Come on, what's the matter?\Ugh... Not again.\Now, now, don't cry, don't cry.\It's not my fault!\Here.\Which is it?!\You aren't bullying her while we're out, are you? response:	Nanoka seems to be afraid of you!
context: Come on, what's the matter?\Ugh... Not again.\Now, now, don't cry, don't cry.\It's not my fault!\Here.\Which is it?!\You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you! response:	Who cares!
context: Ugh... Not again.\Now, now, don't cry, don't cry.\It's not my fault!\Here.\Which is it?!\You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you!\Who cares! response:	You're so helpless.
context: Now, now, don't cry, don't cry.\It's not my fault!\Here.\Which is it?!\You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you!\Who cares!\You're so helpless. response:	It wasn't me!
context: It's not my fault!\Here.\Which is it?!\You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you!\Who cares!\You're so helpless.\It wasn't me! response:	That's not it.
context: Here.\Which is it?!\You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you!\Who cares!\You're so helpless.\It wasn't me!\That's not it. response:	Will you come to the other room?
context: Which is it?!\You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you!\Who cares!\You're so helpless.\It wasn't me!\That's not it.\Will you come to the other room? response:	It's not that we're quarreling with each other,
context: You aren't bullying her while we're out, are you?\Nanoka seems to be afraid of you!\Who cares!\You're so helpless.\It wasn't me!\That's not it.\Will you come to the other room?\It's not that we're quarreling with each other, response:	or we got into a big fight or anything.
context: Nanoka seems to be afraid of you!\Who cares!\You're so helpless.\It wasn't me!\That's not it.\Will you come to the other room?\It's not that we're quarreling with each other,\or we got into a big fight or anything. response:	It's just...
context: Who cares!\You're so helpless.\It wasn't me!\That's not it.\Will you come to the other room?\It's not that we're quarreling with each other,\or we got into a big fight or anything.\It's just... response:	We thought we should live separately before that happens.
context: You're so helpless.\It wasn't me!\That's not it.\Will you come to the other room?\It's not that we're quarreling with each other,\or we got into a big fight or anything.\It's just...\We thought we should live separately before that happens. response:	That's right.
context: It wasn't me!\That's not it.\Will you come to the other room?\It's not that we're quarreling with each other,\or we got into a big fight or anything.\It's just...\We thought we should live separately before that happens.\That's right. response:	We're sorry that we have to make you go through the sadness.
context: That's not it.\Will you come to the other room?\It's not that we're quarreling with each other,\or we got into a big fight or anything.\It's just...\We thought we should live separately before that happens.\That's right.\We're sorry that we have to make you go through the sadness. response:	We're really sorry about that.
context: Will you come to the other room?\It's not that we're quarreling with each other,\or we got into a big fight or anything.\It's just...\We thought we should live separately before that happens.\That's right.\We're sorry that we have to make you go through the sadness.\We're really sorry about that. response:	Even though we'll be living apart,
context: It's not that we're quarreling with each other,\or we got into a big fight or anything.\It's just...\We thought we should live separately before that happens.\That's right.\We're sorry that we have to make you go through the sadness.\We're really sorry about that.\Even though we'll be living apart, response:	it doesn't mean I'll stop being your mother,
context: or we got into a big fight or anything.\It's just...\We thought we should live separately before that happens.\That's right.\We're sorry that we have to make you go through the sadness.\We're really sorry about that.\Even though we'll be living apart,\it doesn't mean I'll stop being your mother, response:	or that she's no longer your sister.
context: It's just...\We thought we should live separately before that happens.\That's right.\We're sorry that we have to make you go through the sadness.\We're really sorry about that.\Even though we'll be living apart,\it doesn't mean I'll stop being your mother,\or that she's no longer your sister. response:	We're still family.
context: We thought we should live separately before that happens.\That's right.\We're sorry that we have to make you go through the sadness.\We're really sorry about that.\Even though we'll be living apart,\it doesn't mean I'll stop being your mother,\or that she's no longer your sister.\We're still family. response:	Yeah.
context: That's right.\We're sorry that we have to make you go through the sadness.\We're really sorry about that.\Even though we'll be living apart,\it doesn't mean I'll stop being your mother,\or that she's no longer your sister.\We're still family.\Yeah. response:	I thought divorces weren't such peaceful things in my mind as a child, but...
context: We're sorry that we have to make you go through the sadness.\We're really sorry about that.\Even though we'll be living apart,\it doesn't mean I'll stop being your mother,\or that she's no longer your sister.\We're still family.\Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but... response:	I could tell that mom and dad were trying to separate peacefully for me.
context: We're really sorry about that.\Even though we'll be living apart,\it doesn't mean I'll stop being your mother,\or that she's no longer your sister.\We're still family.\Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me. response:	Well, we should get going.
context: Even though we'll be living apart,\it doesn't mean I'll stop being your mother,\or that she's no longer your sister.\We're still family.\Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going. response:	Koshiro, keep an eye on the house for me.
context: it doesn't mean I'll stop being your mother,\or that she's no longer your sister.\We're still family.\Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going.\Koshiro, keep an eye on the house for me. response:	Okay.
context: or that she's no longer your sister.\We're still family.\Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going.\Koshiro, keep an eye on the house for me.\Okay. response:	Bye now.
context: We're still family.\Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going.\Koshiro, keep an eye on the house for me.\Okay.\Bye now. response:	Don't look so sulky forever.
context: Yeah.\I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going.\Koshiro, keep an eye on the house for me.\Okay.\Bye now.\Don't look so sulky forever. response:	Be more honest with yourself, okay?
context: I thought divorces weren't such peaceful things in my mind as a child, but...\I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going.\Koshiro, keep an eye on the house for me.\Okay.\Bye now.\Don't look so sulky forever.\Be more honest with yourself, okay? response:	Yeah.
context: I could tell that mom and dad were trying to separate peacefully for me.\Well, we should get going.\Koshiro, keep an eye on the house for me.\Okay.\Bye now.\Don't look so sulky forever.\Be more honest with yourself, okay?\Yeah. response:	You can come any time.
context: Well, we should get going.\Koshiro, keep an eye on the house for me.\Okay.\Bye now.\Don't look so sulky forever.\Be more honest with yourself, okay?\Yeah.\You can come any time. response:	Good work.
context: Koshiro, keep an eye on the house for me.\Okay.\Bye now.\Don't look so sulky forever.\Be more honest with yourself, okay?\Yeah.\You can come any time.\Good work. response:	What, you've been going home early lately.
context: Okay.\Bye now.\Don't look so sulky forever.\Be more honest with yourself, okay?\Yeah.\You can come any time.\Good work.\What, you've been going home early lately. response:	What?
context: Bye now.\Don't look so sulky forever.\Be more honest with yourself, okay?\Yeah.\You can come any time.\Good work.\What, you've been going home early lately.\What? response:	He must want to see Nanoka-san as soon as possible.
context: Don't look so sulky forever.\Be more honest with yourself, okay?\Yeah.\You can come any time.\Good work.\What, you've been going home early lately.\What?\He must want to see Nanoka-san as soon as possible. response:	I'm so envious!
context: Be more honest with yourself, okay?\Yeah.\You can come any time.\Good work.\What, you've been going home early lately.\What?\He must want to see Nanoka-san as soon as possible.\I'm so envious! response:	No way. He's not you.
context: Yeah.\You can come any time.\Good work.\What, you've been going home early lately.\What?\He must want to see Nanoka-san as soon as possible.\I'm so envious!\No way. He's not you. response:	I love you, brother.
context: You can come any time.\Good work.\What, you've been going home early lately.\What?\He must want to see Nanoka-san as soon as possible.\I'm so envious!\No way. He's not you.\I love you, brother. response:	Why is it that I even headed there?
context: Good work.\What, you've been going home early lately.\What?\He must want to see Nanoka-san as soon as possible.\I'm so envious!\No way. He's not you.\I love you, brother.\Why is it that I even headed there? response:	Without even understanding it myself,
context: What, you've been going home early lately.\What?\He must want to see Nanoka-san as soon as possible.\I'm so envious!\No way. He's not you.\I love you, brother.\Why is it that I even headed there?\Without even understanding it myself, response:	I was walking in the town that she grew up in without me knowing.
context: What?\He must want to see Nanoka-san as soon as possible.\I'm so envious!\No way. He's not you.\I love you, brother.\Why is it that I even headed there?\Without even understanding it myself,\I was walking in the town that she grew up in without me knowing. response:	My!
context: He must want to see Nanoka-san as soon as possible.\I'm so envious!\No way. He's not you.\I love you, brother.\Why is it that I even headed there?\Without even understanding it myself,\I was walking in the town that she grew up in without me knowing.\My! response:	So you finally came to my house.
context: I'm so envious!\No way. He's not you.\I love you, brother.\Why is it that I even headed there?\Without even understanding it myself,\I was walking in the town that she grew up in without me knowing.\My!\So you finally came to my house. response:	How did you know?
context: No way. He's not you.\I love you, brother.\Why is it that I even headed there?\Without even understanding it myself,\I was walking in the town that she grew up in without me knowing.\My!\So you finally came to my house.\How did you know? response:	Of course I'd know!
context: I love you, brother.\Why is it that I even headed there?\Without even understanding it myself,\I was walking in the town that she grew up in without me knowing.\My!\So you finally came to my house.\How did you know?\Of course I'd know! response:	It's you, Koshiro!
context: Why is it that I even headed there?\Without even understanding it myself,\I was walking in the town that she grew up in without me knowing.\My!\So you finally came to my house.\How did you know?\Of course I'd know!\It's you, Koshiro! response:	I thought you would've forgotten my face.
context: Without even understanding it myself,\I was walking in the town that she grew up in without me knowing.\My!\So you finally came to my house.\How did you know?\Of course I'd know!\It's you, Koshiro!\I thought you would've forgotten my face. response:	Did you forget my face?
context: I was walking in the town that she grew up in without me knowing.\My!\So you finally came to my house.\How did you know?\Of course I'd know!\It's you, Koshiro!\I thought you would've forgotten my face.\Did you forget my face? response:	See? Even if we haven't seen each other for years, that's how it is between a parent and child.
context: My!\So you finally came to my house.\How did you know?\Of course I'd know!\It's you, Koshiro!\I thought you would've forgotten my face.\Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child. response:	And?
context: So you finally came to my house.\How did you know?\Of course I'd know!\It's you, Koshiro!\I thought you would've forgotten my face.\Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And? response:	What's the matter?
context: How did you know?\Of course I'd know!\It's you, Koshiro!\I thought you would've forgotten my face.\Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And?\What's the matter? response:	Did something happen?
context: Of course I'd know!\It's you, Koshiro!\I thought you would've forgotten my face.\Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And?\What's the matter?\Did something happen? response:	Why?
context: It's you, Koshiro!\I thought you would've forgotten my face.\Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And?\What's the matter?\Did something happen?\Why? response:	You just suddenly came. There must be some reason, isn't there?
context: I thought you would've forgotten my face.\Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And?\What's the matter?\Did something happen?\Why?\You just suddenly came. There must be some reason, isn't there? response:	No reason. I just felt like it.
context: Did you forget my face?\See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And?\What's the matter?\Did something happen?\Why?\You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it. response:	Really?
context: See? Even if we haven't seen each other for years, that's how it is between a parent and child.\And?\What's the matter?\Did something happen?\Why?\You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it.\Really? response:	From when she was a child...
context: And?\What's the matter?\Did something happen?\Why?\You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it.\Really?\From when she was a child... response:	Oh.
context: What's the matter?\Did something happen?\Why?\You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it.\Really?\From when she was a child...\Oh. response:	She just loves bears.
context: Did something happen?\Why?\You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it.\Really?\From when she was a child...\Oh.\She just loves bears. response:	She really is your younger sister, that kid.
context: Why?\You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it.\Really?\From when she was a child...\Oh.\She just loves bears.\She really is your younger sister, that kid. response:	You exchanged dolls, I heard.
context: You just suddenly came. There must be some reason, isn't there?\No reason. I just felt like it.\Really?\From when she was a child...\Oh.\She just loves bears.\She really is your younger sister, that kid.\You exchanged dolls, I heard. response:	Nanoka was talking about it so happily when she came back during summer vacation.
context: No reason. I just felt like it.\Really?\From when she was a child...\Oh.\She just loves bears.\She really is your younger sister, that kid.\You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation. response:	Why did you send her over to our house?
context: Really?\From when she was a child...\Oh.\She just loves bears.\She really is your younger sister, that kid.\You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house? response:	When you took her with you when you got divorced,
context: From when she was a child...\Oh.\She just loves bears.\She really is your younger sister, that kid.\You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house?\When you took her with you when you got divorced, response:	why would you suddenly bring her back to dad?
context: Oh.\She just loves bears.\She really is your younger sister, that kid.\You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house?\When you took her with you when you got divorced,\why would you suddenly bring her back to dad? response:	Because she got into a high school near your house.
context: She just loves bears.\She really is your younger sister, that kid.\You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house?\When you took her with you when you got divorced,\why would you suddenly bring her back to dad?\Because she got into a high school near your house. response:	Are you serious?
context: She really is your younger sister, that kid.\You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house?\When you took her with you when you got divorced,\why would you suddenly bring her back to dad?\Because she got into a high school near your house.\Are you serious? response:	I'd feel bad if she had to commute two hours each way every day.
context: You exchanged dolls, I heard.\Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house?\When you took her with you when you got divorced,\why would you suddenly bring her back to dad?\Because she got into a high school near your house.\Are you serious?\I'd feel bad if she had to commute two hours each way every day. response:	What? What's the matter?
context: Nanoka was talking about it so happily when she came back during summer vacation.\Why did you send her over to our house?\When you took her with you when you got divorced,\why would you suddenly bring her back to dad?\Because she got into a high school near your house.\Are you serious?\I'd feel bad if she had to commute two hours each way every day.\What? What's the matter? response:	It's nothing.
context: Why did you send her over to our house?\When you took her with you when you got divorced,\why would you suddenly bring her back to dad?\Because she got into a high school near your house.\Are you serious?\I'd feel bad if she had to commute two hours each way every day.\What? What's the matter?\It's nothing. response:	What? did you come all the way over just to sulk?
context: When you took her with you when you got divorced,\why would you suddenly bring her back to dad?\Because she got into a high school near your house.\Are you serious?\I'd feel bad if she had to commute two hours each way every day.\What? What's the matter?\It's nothing.\What? did you come all the way over just to sulk? response:	What are you doing?
context: why would you suddenly bring her back to dad?\Because she got into a high school near your house.\Are you serious?\I'd feel bad if she had to commute two hours each way every day.\What? What's the matter?\It's nothing.\What? did you come all the way over just to sulk?\What are you doing? response:	Here, come with me.
context: Because she got into a high school near your house.\Are you serious?\I'd feel bad if she had to commute two hours each way every day.\What? What's the matter?\It's nothing.\What? did you come all the way over just to sulk?\What are you doing?\Here, come with me. response:	What is it?
