context: kimi ni utai kikasetai koto response:	There's something I want to tell you
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	BEEF
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\BEEF response:	Children 200 Ye n
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\BEEF\Children 200 Ye n response:	Adults 800 Ye n
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\BEEF\Children 200 Ye n\Adults 800 Ye n response:	Water Pressure Control
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\BEEF\Children 200 Ye n\Adults 800 Ye n\Water Pressure Control response:	Battery Exchange
context: Ice Cream\Ice Cream\Ice Cream\BEEF\Children 200 Ye n\Adults 800 Ye n\Water Pressure Control\Battery Exchange response:	Fuse
context: Ice Cream\Ice Cream\BEEF\Children 200 Ye n\Adults 800 Ye n\Water Pressure Control\Battery Exchange\Fuse response:	Hot Water
context: Ice Cream\BEEF\Children 200 Ye n\Adults 800 Ye n\Water Pressure Control\Battery Exchange\Fuse\Hot Water response:	Shower
context: BEEF\Children 200 Ye n\Adults 800 Ye n\Water Pressure Control\Battery Exchange\Fuse\Hot Water\Shower response:	Please be sure to turn off the fuse.
context: Children 200 Ye n\Adults 800 Ye n\Water Pressure Control\Battery Exchange\Fuse\Hot Water\Shower\Please be sure to turn off the fuse. response:	If kept on, the battery will run out in 1 month.
context: Adults 800 Ye n\Water Pressure Control\Battery Exchange\Fuse\Hot Water\Shower\Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month. response:	Reheating
context: Water Pressure Control\Battery Exchange\Fuse\Hot Water\Shower\Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month.\Reheating response:	Reheating
context: Battery Exchange\Fuse\Hot Water\Shower\Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month.\Reheating\Reheating response:	Reheating
context: Fuse\Hot Water\Shower\Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month.\Reheating\Reheating\Reheating response:	Reheating
context: Hot Water\Shower\Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month.\Reheating\Reheating\Reheating\Reheating response:	Beware of Heating
context: Shower\Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month.\Reheating\Reheating\Reheating\Reheating\Beware of Heating response:	While Empty
context: Please be sure to turn off the fuse.\If kept on, the battery will run out in 1 month.\Reheating\Reheating\Reheating\Reheating\Beware of Heating\While Empty response:	Beware of Heating
context: If kept on, the battery will run out in 1 month.\Reheating\Reheating\Reheating\Reheating\Beware of Heating\While Empty\Beware of Heating response:	While Empty
context: Reheating\Reheating\Reheating\Reheating\Beware of Heating\While Empty\Beware of Heating\While Empty response:	Beware of Heating
context: Reheating\Reheating\Reheating\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating response:	While Empty
context: Reheating\Reheating\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty response:	Beware of Heating
context: Reheating\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating response:	While Empty
context: Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty response:	Beware of Heating
context: While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating response:	While Empty
context: Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty response:	Bathhouse
context: While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Bathhouse response:	Bathhouse
context: Beware of Heating\While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Bathhouse\Bathhouse response:	Bathhouse
context: While Empty\Beware of Heating\While Empty\Beware of Heating\While Empty\Bathhouse\Bathhouse\Bathhouse response:	Service
context: Beware of Heating\While Empty\Beware of Heating\While Empty\Bathhouse\Bathhouse\Bathhouse\Service response:	Service
context: While Empty\Beware of Heating\While Empty\Bathhouse\Bathhouse\Bathhouse\Service\Service response:	Service
context: Beware of Heating\While Empty\Bathhouse\Bathhouse\Bathhouse\Service\Service\Service response:	Open Air Hot Spring
context: While Empty\Bathhouse\Bathhouse\Bathhouse\Service\Service\Service\Open Air Hot Spring response:	Horny Paradise
context: Bathhouse\Bathhouse\Bathhouse\Service\Service\Service\Open Air Hot Spring\Horny Paradise response:	Endless Imagination
context: Bathhouse\Bathhouse\Service\Service\Service\Open Air Hot Spring\Horny Paradise\Endless Imagination response:	Watch out for Peeping Toms!
context: Bathhouse\Service\Service\Service\Open Air Hot Spring\Horny Paradise\Endless Imagination\Watch out for Peeping Toms! response:	While theres hot water, feel free to
context: Service\Service\Service\Open Air Hot Spring\Horny Paradise\Endless Imagination\Watch out for Peeping Toms!\While theres hot water, feel free to response:	Evenin', granny.
context: Service\Service\Open Air Hot Spring\Horny Paradise\Endless Imagination\Watch out for Peeping Toms!\While theres hot water, feel free to\Evenin', granny. response:	Hello there. It's been a while, Raku-chan.
context: Service\Open Air Hot Spring\Horny Paradise\Endless Imagination\Watch out for Peeping Toms!\While theres hot water, feel free to\Evenin', granny.\Hello there. It's been a while, Raku-chan. response:	Our bath is a bit out of sorts, so I came to use the one here.
context: Open Air Hot Spring\Horny Paradise\Endless Imagination\Watch out for Peeping Toms!\While theres hot water, feel free to\Evenin', granny.\Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here. response:	Of course, please take your time.
context: Horny Paradise\Endless Imagination\Watch out for Peeping Toms!\While theres hot water, feel free to\Evenin', granny.\Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time. response:	What's this? My, you sure have grown.
context: Endless Imagination\Watch out for Peeping Toms!\While theres hot water, feel free to\Evenin', granny.\Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time.\What's this? My, you sure have grown. response:	You're looking more and more like your father.
context: Watch out for Peeping Toms!\While theres hot water, feel free to\Evenin', granny.\Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time.\What's this? My, you sure have grown.\You're looking more and more like your father. response:	I'm not exactly... happy to hear that.
context: While theres hot water, feel free to\Evenin', granny.\Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time.\What's this? My, you sure have grown.\You're looking more and more like your father.\I'm not exactly... happy to hear that. response:	Excuse me!
context: Evenin', granny.\Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time.\What's this? My, you sure have grown.\You're looking more and more like your father.\I'm not exactly... happy to hear that.\Excuse me! response:	So this is a bathhouse?
context: Hello there. It's been a while, Raku-chan.\Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time.\What's this? My, you sure have grown.\You're looking more and more like your father.\I'm not exactly... happy to hear that.\Excuse me!\So this is a bathhouse? response:	What a nice atmosphere.
context: Our bath is a bit out of sorts, so I came to use the one here.\Of course, please take your time.\What's this? My, you sure have grown.\You're looking more and more like your father.\I'm not exactly... happy to hear that.\Excuse me!\So this is a bathhouse?\What a nice atmosphere. response:	Hm?
context: Of course, please take your time.\What's this? My, you sure have grown.\You're looking more and more like your father.\I'm not exactly... happy to hear that.\Excuse me!\So this is a bathhouse?\What a nice atmosphere.\Hm? response:	R-Raku!
context: What's this? My, you sure have grown.\You're looking more and more like your father.\I'm not exactly... happy to hear that.\Excuse me!\So this is a bathhouse?\What a nice atmosphere.\Hm?\R-Raku! response:	Wh-What are you doing here?
context: You're looking more and more like your father.\I'm not exactly... happy to hear that.\Excuse me!\So this is a bathhouse?\What a nice atmosphere.\Hm?\R-Raku!\Wh-What are you doing here? response:	I could ask you the same!
context: I'm not exactly... happy to hear that.\Excuse me!\So this is a bathhouse?\What a nice atmosphere.\Hm?\R-Raku!\Wh-What are you doing here?\I could ask you the same! response:	The bath at my house is out of sorts.
context: Excuse me!\So this is a bathhouse?\What a nice atmosphere.\Hm?\R-Raku!\Wh-What are you doing here?\I could ask you the same!\The bath at my house is out of sorts. response:	Is yours in the same boat?
context: So this is a bathhouse?\What a nice atmosphere.\Hm?\R-Raku!\Wh-What are you doing here?\I could ask you the same!\The bath at my house is out of sorts.\Is yours in the same boat? response:	Of course not.
context: What a nice atmosphere.\Hm?\R-Raku!\Wh-What are you doing here?\I could ask you the same!\The bath at my house is out of sorts.\Is yours in the same boat?\Of course not. response:	I've always been interested in visiting a bathhouse, and this is the only large one in the area.
context: Hm?\R-Raku!\Wh-What are you doing here?\I could ask you the same!\The bath at my house is out of sorts.\Is yours in the same boat?\Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area. response:	I see. So it's just a coincidence?
context: R-Raku!\Wh-What are you doing here?\I could ask you the same!\The bath at my house is out of sorts.\Is yours in the same boat?\Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence? response:	Don't you dare try to peek!
context: Wh-What are you doing here?\I could ask you the same!\The bath at my house is out of sorts.\Is yours in the same boat?\Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence?\Don't you dare try to peek! response:	Like I'd want to.
context: I could ask you the same!\The bath at my house is out of sorts.\Is yours in the same boat?\Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence?\Don't you dare try to peek!\Like I'd want to. response:	Still, who would've thought...
context: The bath at my house is out of sorts.\Is yours in the same boat?\Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence?\Don't you dare try to peek!\Like I'd want to.\Still, who would've thought... response:	Coming to the same bathhouse on the same day...
context: Is yours in the same boat?\Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence?\Don't you dare try to peek!\Like I'd want to.\Still, who would've thought...\Coming to the same bathhouse on the same day... response:	Raku!
context: Of course not.\I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence?\Don't you dare try to peek!\Like I'd want to.\Still, who would've thought...\Coming to the same bathhouse on the same day...\Raku! response:	Could you lend me some soap?
context: I've always been interested in visiting a bathhouse, and this is the only large one in the area.\I see. So it's just a coincidence?\Don't you dare try to peek!\Like I'd want to.\Still, who would've thought...\Coming to the same bathhouse on the same day...\Raku!\Could you lend me some soap? response:	There isn't any over here.
context: I see. So it's just a coincidence?\Don't you dare try to peek!\Like I'd want to.\Still, who would've thought...\Coming to the same bathhouse on the same day...\Raku!\Could you lend me some soap?\There isn't any over here. response:	Chitoge?
context: Don't you dare try to peek!\Like I'd want to.\Still, who would've thought...\Coming to the same bathhouse on the same day...\Raku!\Could you lend me some soap?\There isn't any over here.\Chitoge? response:	Are you on the other side?
context: Like I'd want to.\Still, who would've thought...\Coming to the same bathhouse on the same day...\Raku!\Could you lend me some soap?\There isn't any over here.\Chitoge?\Are you on the other side? response:	Yeah, I am. Hurry up.
context: Still, who would've thought...\Coming to the same bathhouse on the same day...\Raku!\Could you lend me some soap?\There isn't any over here.\Chitoge?\Are you on the other side?\Yeah, I am. Hurry up. response:	Here, catch.
context: Coming to the same bathhouse on the same day...\Raku!\Could you lend me some soap?\There isn't any over here.\Chitoge?\Are you on the other side?\Yeah, I am. Hurry up.\Here, catch. response:	Thank you!
context: Raku!\Could you lend me some soap?\There isn't any over here.\Chitoge?\Are you on the other side?\Yeah, I am. Hurry up.\Here, catch.\Thank you! response:	Geez.
context: Could you lend me some soap?\There isn't any over here.\Chitoge?\Are you on the other side?\Yeah, I am. Hurry up.\Here, catch.\Thank you!\Geez. response:	Still...
context: There isn't any over here.\Chitoge?\Are you on the other side?\Yeah, I am. Hurry up.\Here, catch.\Thank you!\Geez.\Still... response:	To think that a girl I know would be on the other side of this wall.
context: Chitoge?\Are you on the other side?\Yeah, I am. Hurry up.\Here, catch.\Thank you!\Geez.\Still...\To think that a girl I know would be on the other side of this wall. response:	It's making me kind of nervous.
context: Are you on the other side?\Yeah, I am. Hurry up.\Here, catch.\Thank you!\Geez.\Still...\To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous. response:	Wow, what a humongous bath.
context: Yeah, I am. Hurry up.\Here, catch.\Thank you!\Geez.\Still...\To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous.\Wow, what a humongous bath. response:	Look, Honda!
context: Here, catch.\Thank you!\Geez.\Still...\To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous.\Wow, what a humongous bath.\Look, Honda! response:	There's a sauna, and over there is a herbal bath!
context: Thank you!\Geez.\Still...\To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous.\Wow, what a humongous bath.\Look, Honda!\There's a sauna, and over there is a herbal bath! response:	Don't get so carried away, Mistress.
context: Geez.\Still...\To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous.\Wow, what a humongous bath.\Look, Honda!\There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress. response:	M-Marika?
context: Still...\To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous.\Wow, what a humongous bath.\Look, Honda!\There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress.\M-Marika? response:	What are you doing here?
context: To think that a girl I know would be on the other side of this wall.\It's making me kind of nervous.\Wow, what a humongous bath.\Look, Honda!\There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress.\M-Marika?\What are you doing here? response:	Come now, Honda. Let's wash our bodies over there.
context: It's making me kind of nervous.\Wow, what a humongous bath.\Look, Honda!\There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress.\M-Marika?\What are you doing here?\Come now, Honda. Let's wash our bodies over there. response:	Hey... wait up, you.
context: Wow, what a humongous bath.\Look, Honda!\There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress.\M-Marika?\What are you doing here?\Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you. response:	This is my first time coming to a bathhouse.
context: Look, Honda!\There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress.\M-Marika?\What are you doing here?\Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you.\This is my first time coming to a bathhouse. response:	I've been wanting to try it out for some time now.
context: There's a sauna, and over there is a herbal bath!\Don't get so carried away, Mistress.\M-Marika?\What are you doing here?\Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you.\This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now. response:	Lies...
context: Don't get so carried away, Mistress.\M-Marika?\What are you doing here?\Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you.\This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now.\Lies... response:	That makes me angry for some reason.
context: M-Marika?\What are you doing here?\Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you.\This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now.\Lies...\That makes me angry for some reason. response:	Good grief. What's with all these coincidences?
context: What are you doing here?\Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you.\This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now.\Lies...\That makes me angry for some reason.\Good grief. What's with all these coincidences? response:	Hm?
context: Come now, Honda. Let's wash our bodies over there.\Hey... wait up, you.\This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now.\Lies...\That makes me angry for some reason.\Good grief. What's with all these coincidences?\Hm? response:	What are you talking about?
context: Hey... wait up, you.\This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now.\Lies...\That makes me angry for some reason.\Good grief. What's with all these coincidences?\Hm?\What are you talking about? response:	Hey! You still using the soap?
context: This is my first time coming to a bathhouse.\I've been wanting to try it out for some time now.\Lies...\That makes me angry for some reason.\Good grief. What's with all these coincidences?\Hm?\What are you talking about?\Hey! You still using the soap? response:	Give it back!
context: I've been wanting to try it out for some time now.\Lies...\That makes me angry for some reason.\Good grief. What's with all these coincidences?\Hm?\What are you talking about?\Hey! You still using the soap?\Give it back! response:	That voice is...!
context: Lies...\That makes me angry for some reason.\Good grief. What's with all these coincidences?\Hm?\What are you talking about?\Hey! You still using the soap?\Give it back!\That voice is...! response:	Raku-sama!
context: That makes me angry for some reason.\Good grief. What's with all these coincidences?\Hm?\What are you talking about?\Hey! You still using the soap?\Give it back!\That voice is...!\Raku-sama! response:	T-Tachibana?
context: Good grief. What's with all these coincidences?\Hm?\What are you talking about?\Hey! You still using the soap?\Give it back!\That voice is...!\Raku-sama!\T-Tachibana? response:	Why are you also...?
