context: EPISODE 9: THYMOCYTE response:	Thymocyte!
context: PLATELETS\This is the inside of a human body.\We're the invincible T Cells!\There's nothing in this world that we fear!\We're the invincible T Cells!\Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells. response:	Killer T Cells.
context: This is the inside of a human body.\We're the invincible T Cells!\There's nothing in this world that we fear!\We're the invincible T Cells!\Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells. response:	Mobilize under orders from the Helper T Cells.
context: We're the invincible T Cells!\There's nothing in this world that we fear!\We're the invincible T Cells!\Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells.\Mobilize under orders from the Helper T Cells. response:	Assassins who recognize and destroy foreign cells, such as Graft Cells,
context: There's nothing in this world that we fear!\We're the invincible T Cells!\Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells.\Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells, response:	virus-infected cells and Cancer Cells.
context: We're the invincible T Cells!\Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells.\Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells. response:	We're the invincible T Cells!
context: Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells.\Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells.\We're the invincible T Cells! response:	All right, line up!
context: There's nothing in this world that we fear!\KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells.\Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells.\We're the invincible T Cells!\All right, line up! response:	Next up, some hellish resistance training and combat practice! You losers!
context: KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.\Killer T Cells.\Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells.\We're the invincible T Cells!\All right, line up!\Next up, some hellish resistance training and combat practice! You losers! response:	Yes, sir!
context: Killer T Cells.\Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells.\We're the invincible T Cells!\All right, line up!\Next up, some hellish resistance training and combat practice! You losers!\Yes, sir! response:	1,867... 1,868...
context: Mobilize under orders from the Helper T Cells.\Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells.\We're the invincible T Cells!\All right, line up!\Next up, some hellish resistance training and combat practice! You losers!\Yes, sir!\1,867... 1,868... response:	2,465...
context: Assassins who recognize and destroy foreign cells, such as Graft Cells,\virus-infected cells and Cancer Cells.\We're the invincible T Cells!\All right, line up!\Next up, some hellish resistance training and combat practice! You losers!\Yes, sir!\1,867... 1,868...\2,465... response:	2,466...
context: virus-infected cells and Cancer Cells.\We're the invincible T Cells!\All right, line up!\Next up, some hellish resistance training and combat practice! You losers!\Yes, sir!\1,867... 1,868...\2,465...\2,466... response:	3,578...
context: We're the invincible T Cells!\All right, line up!\Next up, some hellish resistance training and combat practice! You losers!\Yes, sir!\1,867... 1,868...\2,465...\2,466...\3,578... response:	3,579...
context: All right, line up!\Next up, some hellish resistance training and combat practice! You losers!\Yes, sir!\1,867... 1,868...\2,465...\2,466...\3,578...\3,579... response:	3,580!
context: Next up, some hellish resistance training and combat practice! You losers!\Yes, sir!\1,867... 1,868...\2,465...\2,466...\3,578...\3,579...\3,580! response:	Look dammit, I can't hear you!
context: Yes, sir!\1,867... 1,868...\2,465...\2,466...\3,578...\3,579...\3,580!\Look dammit, I can't hear you! response:	You call yourselves T Cells, you miserable losers?
context: 1,867... 1,868...\2,465...\2,466...\3,578...\3,579...\3,580!\Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers? response:	Yes, sir!
context: 2,465...\2,466...\3,578...\3,579...\3,580!\Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers?\Yes, sir! response:	Take that!
context: 2,466...\3,578...\3,579...\3,580!\Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers?\Yes, sir!\Take that! response:	Take that!
context: 3,578...\3,579...\3,580!\Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers?\Yes, sir!\Take that!\Take that! response:	Not one of you even has a spine?
context: 3,579...\3,580!\Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers?\Yes, sir!\Take that!\Take that!\Not one of you even has a spine? response:	You think you can phone it in if you're a T Cell?
context: 3,580!\Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers?\Yes, sir!\Take that!\Take that!\Not one of you even has a spine?\You think you can phone it in if you're a T Cell? response:	No, we do not, sir!
context: Look dammit, I can't hear you!\You call yourselves T Cells, you miserable losers?\Yes, sir!\Take that!\Take that!\Not one of you even has a spine?\You think you can phone it in if you're a T Cell?\No, we do not, sir! response:	Loser scrubs like you aren't fit to be T Cells!
context: You call yourselves T Cells, you miserable losers?\Yes, sir!\Take that!\Take that!\Not one of you even has a spine?\You think you can phone it in if you're a T Cell?\No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells! response:	Yes, sir!
context: Yes, sir!\Take that!\Take that!\Not one of you even has a spine?\You think you can phone it in if you're a T Cell?\No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells!\Yes, sir! response:	You do know that as T Cells,
context: Take that!\Take that!\Not one of you even has a spine?\You think you can phone it in if you're a T Cell?\No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells!\Yes, sir!\You do know that as T Cells, response:	you're the immune system's last line of defense?
context: Take that!\Not one of you even has a spine?\You think you can phone it in if you're a T Cell?\No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells!\Yes, sir!\You do know that as T Cells,\you're the immune system's last line of defense? response:	Yes, sir!
context: Not one of you even has a spine?\You think you can phone it in if you're a T Cell?\No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells!\Yes, sir!\You do know that as T Cells,\you're the immune system's last line of defense?\Yes, sir! response:	What good is a weak last line of defense?
context: You think you can phone it in if you're a T Cell?\No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells!\Yes, sir!\You do know that as T Cells,\you're the immune system's last line of defense?\Yes, sir!\What good is a weak last line of defense? response:	Get yourselves in shape, you morons!
context: No, we do not, sir!\Loser scrubs like you aren't fit to be T Cells!\Yes, sir!\You do know that as T Cells,\you're the immune system's last line of defense?\Yes, sir!\What good is a weak last line of defense?\Get yourselves in shape, you morons! response:	ANTIGENS
context: Loser scrubs like you aren't fit to be T Cells!\Yes, sir!\You do know that as T Cells,\you're the immune system's last line of defense?\Yes, sir!\What good is a weak last line of defense?\Get yourselves in shape, you morons!\ANTIGENS response:	Yes, sir!
context: Yes, sir!\You do know that as T Cells,\you're the immune system's last line of defense?\Yes, sir!\What good is a weak last line of defense?\Get yourselves in shape, you morons!\ANTIGENS\Yes, sir! response:	I'm going to close the window, all right?
context: You do know that as T Cells,\you're the immune system's last line of defense?\Yes, sir!\What good is a weak last line of defense?\Get yourselves in shape, you morons!\ANTIGENS\Yes, sir!\I'm going to close the window, all right? response:	Your lifestyle choices are...
context: you're the immune system's last line of defense?\Yes, sir!\What good is a weak last line of defense?\Get yourselves in shape, you morons!\ANTIGENS\Yes, sir!\I'm going to close the window, all right?\Your lifestyle choices are... response:	Yes, sir!
context: Yes, sir!\What good is a weak last line of defense?\Get yourselves in shape, you morons!\ANTIGENS\Yes, sir!\I'm going to close the window, all right?\Your lifestyle choices are...\Yes, sir! response:	You think I'm stupid?
context: What good is a weak last line of defense?\Get yourselves in shape, you morons!\ANTIGENS\Yes, sir!\I'm going to close the window, all right?\Your lifestyle choices are...\Yes, sir!\You think I'm stupid? response:	What a drag! How obnoxious is that?
context: Get yourselves in shape, you morons!\ANTIGENS\Yes, sir!\I'm going to close the window, all right?\Your lifestyle choices are...\Yes, sir!\You think I'm stupid?\What a drag! How obnoxious is that? response:	Even in here, we can still hear him hollering.
context: ANTIGENS\Yes, sir!\I'm going to close the window, all right?\Your lifestyle choices are...\Yes, sir!\You think I'm stupid?\What a drag! How obnoxious is that?\Even in here, we can still hear him hollering. response:	HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.
context: Yes, sir!\I'm going to close the window, all right?\Your lifestyle choices are...\Yes, sir!\You think I'm stupid?\What a drag! How obnoxious is that?\Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells. response:	Helper T Cells.
context: I'm going to close the window, all right?\Your lifestyle choices are...\Yes, sir!\You think I'm stupid?\What a drag! How obnoxious is that?\Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells. response:	When notified of invading external enemies, they serve as commanders who formulate
context: Your lifestyle choices are...\Yes, sir!\You think I'm stupid?\What a drag! How obnoxious is that?\Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate response:	appropriate attack strategies, and they issue orders to Killer T Cells.
context: Yes, sir!\You think I'm stupid?\What a drag! How obnoxious is that?\Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells. response:	Talk about ruining tea-time, huh, Regulatory T Cell?
context: You think I'm stupid?\What a drag! How obnoxious is that?\Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell? response:	Is that right?
context: What a drag! How obnoxious is that?\Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right? response:	This isn't tea-time, though. I'm working.
context: Even in here, we can still hear him hollering.\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right?\This isn't tea-time, though. I'm working. response:	REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.
context: HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies, and they issue orders to Killer T Cells.\Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right?\This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities. response:	Regulatory T Cells.
context: Helper T Cells.\When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right?\This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells. response:	They prevent Killer T Cells from spinning out of control,
context: When notified of invading external enemies, they serve as commanders who formulate\appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right?\This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells.\They prevent Killer T Cells from spinning out of control, response:	and suppress excessive immune abnormalities.
context: appropriate attack strategies, and they issue orders to Killer T Cells.\Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right?\This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells.\They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities. response:	You know, tea-time is totally
context: Talk about ruining tea-time, huh, Regulatory T Cell?\Is that right?\This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells.\They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities.\You know, tea-time is totally response:	Are you okay?
context: Is that right?\This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells.\They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities.\You know, tea-time is totally\Are you okay? response:	Whoops, Commander, sir.
context: This isn't tea-time, though. I'm working.\REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells.\They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities.\You know, tea-time is totally\Are you okay?\Whoops, Commander, sir. response:	Looks like I hurled him too hard.
context: REGULATORY T CELLS: They prevent Killer T Cells from spinning out of control, and suppress excessive immune abnormalities.\Regulatory T Cells.\They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities.\You know, tea-time is totally\Are you okay?\Whoops, Commander, sir.\Looks like I hurled him too hard. response:	Oh boy! He took out the Helper T Commander!
context: Regulatory T Cells.\They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities.\You know, tea-time is totally\Are you okay?\Whoops, Commander, sir.\Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander! response:	Killer T... Boy.
context: They prevent Killer T Cells from spinning out of control,\and suppress excessive immune abnormalities.\You know, tea-time is totally\Are you okay?\Whoops, Commander, sir.\Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander!\Killer T... Boy. response:	I've been meaning to say this for some time!
context: and suppress excessive immune abnormalities.\You know, tea-time is totally\Are you okay?\Whoops, Commander, sir.\Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander!\Killer T... Boy.\I've been meaning to say this for some time! response:	Look, you! Would it kill you to play it a little cool?
context: You know, tea-time is totally\Are you okay?\Whoops, Commander, sir.\Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander!\Killer T... Boy.\I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool? response:	You've never been one to think about efficiency, have you now?
context: Are you okay?\Whoops, Commander, sir.\Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander!\Killer T... Boy.\I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now? response:	I've got a job to do, you know.
context: Whoops, Commander, sir.\Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander!\Killer T... Boy.\I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now?\I've got a job to do, you know. response:	I need to make sure these guys can attack like they should on your orders.
context: Looks like I hurled him too hard.\Oh boy! He took out the Helper T Commander!\Killer T... Boy.\I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now?\I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders. response:	Who's gonna get jammed up if all we have are wimpy combatants?
context: Oh boy! He took out the Helper T Commander!\Killer T... Boy.\I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now?\I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants? response:	Wouldn't that be you?
context: Killer T... Boy.\I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now?\I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you? response:	Which is why I'm telling you to rethink your methods!
context: I've been meaning to say this for some time!\Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now?\I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you?\Which is why I'm telling you to rethink your methods! response:	Don't just send them flying like that!
context: Look, you! Would it kill you to play it a little cool?\You've never been one to think about efficiency, have you now?\I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you?\Which is why I'm telling you to rethink your methods!\Don't just send them flying like that! response:	You're as heavy-handed as ever!
context: You've never been one to think about efficiency, have you now?\I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you?\Which is why I'm telling you to rethink your methods!\Don't just send them flying like that!\You're as heavy-handed as ever! response:	What are you talking about?
context: I've got a job to do, you know.\I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you?\Which is why I'm telling you to rethink your methods!\Don't just send them flying like that!\You're as heavy-handed as ever!\What are you talking about? response:	The most crucial thing about drills is to strengthen their hearts!
context: I need to make sure these guys can attack like they should on your orders.\Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you?\Which is why I'm telling you to rethink your methods!\Don't just send them flying like that!\You're as heavy-handed as ever!\What are you talking about?\The most crucial thing about drills is to strengthen their hearts! response:	How can they learn to get tougher if I train them softly?
context: Who's gonna get jammed up if all we have are wimpy combatants?\Wouldn't that be you?\Which is why I'm telling you to rethink your methods!\Don't just send them flying like that!\You're as heavy-handed as ever!\What are you talking about?\The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly? response:	You know what, you've never had a clue about planning things out!
context: Wouldn't that be you?\Which is why I'm telling you to rethink your methods!\Don't just send them flying like that!\You're as heavy-handed as ever!\What are you talking about?\The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out! response:	Are you all right? Just take it easy.
context: Which is why I'm telling you to rethink your methods!\Don't just send them flying like that!\You're as heavy-handed as ever!\What are you talking about?\The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy. response:	Wh-What's going on?
context: Don't just send them flying like that!\You're as heavy-handed as ever!\What are you talking about?\The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy.\Wh-What's going on? response:	Yeah, and all you do is drone on and on! Do this, do that!
context: You're as heavy-handed as ever!\What are you talking about?\The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy.\Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that! response:	Those two... Who are they to each other, exactly?
context: What are you talking about?\The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy.\Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly? response:	I'm the one who knows what it's like on the front lines!
context: The most crucial thing about drills is to strengthen their hearts!\How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy.\Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines! response:	Aren't they boss and subordinate?
context: How can they learn to get tougher if I train them softly?\You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy.\Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate? response:	I do not drone on and on!
context: You know what, you've never had a clue about planning things out!\Are you all right? Just take it easy.\Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate?\I do not drone on and on! response:	Do you want to know?
context: Are you all right? Just take it easy.\Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate?\I do not drone on and on!\Do you want to know? response:	DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells.
context: Wh-What's going on?\Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate?\I do not drone on and on!\Do you want to know?\DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells. response:	Dendritic Cells.
context: Yeah, and all you do is drone on and on! Do this, do that!\Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate?\I do not drone on and on!\Do you want to know?\DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells.\Dendritic Cells. response:	Their role is to present bacteria that have invaded the body,
context: Those two... Who are they to each other, exactly?\I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate?\I do not drone on and on!\Do you want to know?\DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells.\Dendritic Cells.\Their role is to present bacteria that have invaded the body, response:	and fragments of viral infection cells as antigens,
context: I'm the one who knows what it's like on the front lines!\Aren't they boss and subordinate?\I do not drone on and on!\Do you want to know?\DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells.\Dendritic Cells.\Their role is to present bacteria that have invaded the body,\and fragments of viral infection cells as antigens, response:	and to notify other immune system cells.
context: Aren't they boss and subordinate?\I do not drone on and on!\Do you want to know?\DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells.\Dendritic Cells.\Their role is to present bacteria that have invaded the body,\and fragments of viral infection cells as antigens,\and to notify other immune system cells. response:	They're also involved in nurturing T Cells.
context: I do not drone on and on!\Do you want to know?\DENDRITIC CELLS: Their role is to present bacteria that have invaded the body, and fragments of viral infection cells as antigens, and to notify other immune system cells. They're also involved in nurturing T Cells.\Dendritic Cells.\Their role is to present bacteria that have invaded the body,\and fragments of viral infection cells as antigens,\and to notify other immune system cells.\They're also involved in nurturing T Cells. response:	What did you say?
