context: Thanks for treating us to breakfast, too. response:	We are country people so our food is not fancy.
context: Must get some more work done while the sun is still high.\Aww, but Grandma...\Now, off we go.\But Grandma...\This is my favorite place.\I have a full view of the village from here.\Something's fishy.\A grand storehouse in the woods away from the village? response:	So fishy...
context: Aww, but Grandma...\Now, off we go.\But Grandma...\This is my favorite place.\I have a full view of the village from here.\Something's fishy.\A grand storehouse in the woods away from the village?\So fishy... response:	Something's not right.
context: Now, off we go.\But Grandma...\This is my favorite place.\I have a full view of the village from here.\Something's fishy.\A grand storehouse in the woods away from the village?\So fishy...\Something's not right. response:	There's something going on.
context: But Grandma...\This is my favorite place.\I have a full view of the village from here.\Something's fishy.\A grand storehouse in the woods away from the village?\So fishy...\Something's not right.\There's something going on. response:	Maybe there's hidden treasure in it.
context: This is my favorite place.\I have a full view of the village from here.\Something's fishy.\A grand storehouse in the woods away from the village?\So fishy...\Something's not right.\There's something going on.\Maybe there's hidden treasure in it. response:	Nobody's guarding it, either.
context: I have a full view of the village from here.\Something's fishy.\A grand storehouse in the woods away from the village?\So fishy...\Something's not right.\There's something going on.\Maybe there's hidden treasure in it.\Nobody's guarding it, either. response:	Darn, just another rice storehouse.
context: Something's fishy.\A grand storehouse in the woods away from the village?\So fishy...\Something's not right.\There's something going on.\Maybe there's hidden treasure in it.\Nobody's guarding it, either.\Darn, just another rice storehouse. response:	This sure is a hard-working village.
context: A grand storehouse in the woods away from the village?\So fishy...\Something's not right.\There's something going on.\Maybe there's hidden treasure in it.\Nobody's guarding it, either.\Darn, just another rice storehouse.\This sure is a hard-working village. response:	If you have a full belly, your heart will be calm and gentle.
context: So fishy...\Something's not right.\There's something going on.\Maybe there's hidden treasure in it.\Nobody's guarding it, either.\Darn, just another rice storehouse.\This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle. response:	Keeping true to your ambition when it could mean life or death...
context: Something's not right.\There's something going on.\Maybe there's hidden treasure in it.\Nobody's guarding it, either.\Darn, just another rice storehouse.\This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death... response:	that isn't something just anyone can do.
context: There's something going on.\Maybe there's hidden treasure in it.\Nobody's guarding it, either.\Darn, just another rice storehouse.\This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do. response:	But they've really saved up a lot. Way too much for me to handle.
context: Maybe there's hidden treasure in it.\Nobody's guarding it, either.\Darn, just another rice storehouse.\This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle. response:	Ouch... Huh?
context: Nobody's guarding it, either.\Darn, just another rice storehouse.\This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh? response:	What's this? A hidden trapdoor?
context: Darn, just another rice storehouse.\This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh?\What's this? A hidden trapdoor? response:	I can't see a thing without a torch.
context: This sure is a hard-working village.\If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh?\What's this? A hidden trapdoor?\I can't see a thing without a torch. response:	Of course you can't.
context: If you have a full belly, your heart will be calm and gentle.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh?\What's this? A hidden trapdoor?\I can't see a thing without a torch.\Of course you can't. response:	Ow... What the heck was that for?
context: Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh?\What's this? A hidden trapdoor?\I can't see a thing without a torch.\Of course you can't.\Ow... What the heck was that for? response:	Sorry, kid.
context: that isn't something just anyone can do.\But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh?\What's this? A hidden trapdoor?\I can't see a thing without a torch.\Of course you can't.\Ow... What the heck was that for?\Sorry, kid. response:	It's to protect the village.
context: But they've really saved up a lot. Way too much for me to handle.\Ouch... Huh?\What's this? A hidden trapdoor?\I can't see a thing without a torch.\Of course you can't.\Ow... What the heck was that for?\Sorry, kid.\It's to protect the village. response:	My ancestors protected this land for generations.
context: Ouch... Huh?\What's this? A hidden trapdoor?\I can't see a thing without a torch.\Of course you can't.\Ow... What the heck was that for?\Sorry, kid.\It's to protect the village.\My ancestors protected this land for generations. response:	I was born and raised here. I became the lord, and here I am.
context: What's this? A hidden trapdoor?\I can't see a thing without a torch.\Of course you can't.\Ow... What the heck was that for?\Sorry, kid.\It's to protect the village.\My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am. response:	I know not of any other places.
context: I can't see a thing without a torch.\Of course you can't.\Ow... What the heck was that for?\Sorry, kid.\It's to protect the village.\My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am.\I know not of any other places. response:	As a traveler, you may not understand what that's like.
context: Of course you can't.\Ow... What the heck was that for?\Sorry, kid.\It's to protect the village.\My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am.\I know not of any other places.\As a traveler, you may not understand what that's like. response:	This village is my everything.
context: Ow... What the heck was that for?\Sorry, kid.\It's to protect the village.\My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am.\I know not of any other places.\As a traveler, you may not understand what that's like.\This village is my everything. response:	No matter what happens, I will protect it.
context: Sorry, kid.\It's to protect the village.\My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am.\I know not of any other places.\As a traveler, you may not understand what that's like.\This village is my everything.\No matter what happens, I will protect it. response:	You came here to kill the ghouls that live here, correct?
context: It's to protect the village.\My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am.\I know not of any other places.\As a traveler, you may not understand what that's like.\This village is my everything.\No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct? response:	-Right. -I won't let you.
context: My ancestors protected this land for generations.\I was born and raised here. I became the lord, and here I am.\I know not of any other places.\As a traveler, you may not understand what that's like.\This village is my everything.\No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct?\-Right. -I won't let you. response:	They, too, are my people. I must protect them.
context: I was born and raised here. I became the lord, and here I am.\I know not of any other places.\As a traveler, you may not understand what that's like.\This village is my everything.\No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct?\-Right. -I won't let you.\They, too, are my people. I must protect them. response:	Hey, what the heck! Let me out of here!
context: I know not of any other places.\As a traveler, you may not understand what that's like.\This village is my everything.\No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct?\-Right. -I won't let you.\They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here! response:	Let me out!
context: As a traveler, you may not understand what that's like.\This village is my everything.\No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct?\-Right. -I won't let you.\They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here!\Let me out! response:	What's the deal with them?
context: This village is my everything.\No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct?\-Right. -I won't let you.\They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here!\Let me out!\What's the deal with them? response:	These people are crazy.
context: No matter what happens, I will protect it.\You came here to kill the ghouls that live here, correct?\-Right. -I won't let you.\They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here!\Let me out!\What's the deal with them?\These people are crazy. response:	I gotta let bro know.
context: You came here to kill the ghouls that live here, correct?\-Right. -I won't let you.\They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here!\Let me out!\What's the deal with them?\These people are crazy.\I gotta let bro know. response:	I need to find a light.
context: -Right. -I won't let you.\They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here!\Let me out!\What's the deal with them?\These people are crazy.\I gotta let bro know.\I need to find a light. response:	Is this what I think it is?
context: They, too, are my people. I must protect them.\Hey, what the heck! Let me out of here!\Let me out!\What's the deal with them?\These people are crazy.\I gotta let bro know.\I need to find a light.\Is this what I think it is? response:	Bro!
context: Hey, what the heck! Let me out of here!\Let me out!\What's the deal with them?\These people are crazy.\I gotta let bro know.\I need to find a light.\Is this what I think it is?\Bro! response:	Our village was in the clutches of hell, too.
context: Let me out!\What's the deal with them?\These people are crazy.\I gotta let bro know.\I need to find a light.\Is this what I think it is?\Bro!\Our village was in the clutches of hell, too. response:	The samurai who escaped wars and became brigands
context: What's the deal with them?\These people are crazy.\I gotta let bro know.\I need to find a light.\Is this what I think it is?\Bro!\Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands response:	came and raided our peaceful village.
context: These people are crazy.\I gotta let bro know.\I need to find a light.\Is this what I think it is?\Bro!\Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands\came and raided our peaceful village. response:	The fields were left unattended and ravaged by wild beasts and insects.
context: I gotta let bro know.\I need to find a light.\Is this what I think it is?\Bro!\Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands\came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects. response:	My people were hungry, and stole from one another.
