context: One more! Give me another! response:	Shut up. I know that.
context: What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad.\I'm not mad right now.\Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko.\It'll be our fist match with them in years. response:	It does pique your interest, doesn't it?
context: But you're scary when you get mad.\I'm not mad right now.\Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko.\It'll be our fist match with them in years.\It does pique your interest, doesn't it? response:	But I've lost face with Suga and Nishinoya.
context: I'm not mad right now.\Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko.\It'll be our fist match with them in years.\It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya. response:	You're too much.
context: Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko.\It'll be our fist match with them in years.\It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya.\You're too much. response:	You're still a goofball in a big body, as usual.
context: Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko.\It'll be our fist match with them in years.\It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya.\You're too much.\You're still a goofball in a big body, as usual. response:	What a contrast to Nishinoya.
context: Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko.\It'll be our fist match with them in years.\It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya.\You're too much.\You're still a goofball in a big body, as usual.\What a contrast to Nishinoya. response:	Can't you sugarcoat your words a little?
context: We've heard the stories about Neko.\It'll be our fist match with them in years.\It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya.\You're too much.\You're still a goofball in a big body, as usual.\What a contrast to Nishinoya.\Can't you sugarcoat your words a little? response:	Don't worry about Suga and Nishinoya. They're fine.
context: It'll be our fist match with them in years.\It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya.\You're too much.\You're still a goofball in a big body, as usual.\What a contrast to Nishinoya.\Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine. response:	Unlike you, they have big hearts.
context: It does pique your interest, doesn't it?\But I've lost face with Suga and Nishinoya.\You're too much.\You're still a goofball in a big body, as usual.\What a contrast to Nishinoya.\Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts. response:	I always thought of you as a kind person... Was I wrong?
context: But I've lost face with Suga and Nishinoya.\You're too much.\You're still a goofball in a big body, as usual.\What a contrast to Nishinoya.\Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong? response:	I'm kind to everyone, except you.
context: You're too much.\You're still a goofball in a big body, as usual.\What a contrast to Nishinoya.\Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you. response:	Because you're a goofball.
context: You're still a goofball in a big body, as usual.\What a contrast to Nishinoya.\Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you.\Because you're a goofball. response:	You ditched us for a whole month, you complain about your anxiety...
context: What a contrast to Nishinoya.\Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you.\Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety... response:	but those things don't matter to me.
context: Can't you sugarcoat your words a little?\Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you.\Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me. response:	If you still like volleyball,
context: Don't worry about Suga and Nishinoya. They're fine.\Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you.\Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me.\If you still like volleyball, response:	that's reason enough to come back.
context: Unlike you, they have big hearts.\I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you.\Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me.\If you still like volleyball,\that's reason enough to come back. response:	Oh, yeah.
context: I always thought of you as a kind person... Was I wrong?\I'm kind to everyone, except you.\Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me.\If you still like volleyball,\that's reason enough to come back.\Oh, yeah. response:	We've got a guy who hopes to become the ace.
context: I'm kind to everyone, except you.\Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me.\If you still like volleyball,\that's reason enough to come back.\Oh, yeah.\We've got a guy who hopes to become the ace. response:	Ouch.
context: Because you're a goofball.\You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me.\If you still like volleyball,\that's reason enough to come back.\Oh, yeah.\We've got a guy who hopes to become the ace.\Ouch. response:	Haikyu!!
context: You ditched us for a whole month, you complain about your anxiety...\but those things don't matter to me.\If you still like volleyball,\that's reason enough to come back.\Oh, yeah.\We've got a guy who hopes to become the ace.\Ouch.\Haikyu!! response:	Foothill Store
context: but those things don't matter to me.\If you still like volleyball,\that's reason enough to come back.\Oh, yeah.\We've got a guy who hopes to become the ace.\Ouch.\Haikyu!!\Foothill Store response:	By the shores of the coursing Hirose River,
context: If you still like volleyball,\that's reason enough to come back.\Oh, yeah.\We've got a guy who hopes to become the ace.\Ouch.\Haikyu!!\Foothill Store\By the shores of the coursing Hirose River, response:	Episode 9: A Toss to the Ace
context: that's reason enough to come back.\Oh, yeah.\We've got a guy who hopes to become the ace.\Ouch.\Haikyu!!\Foothill Store\By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace response:	memories do not return.
context: Oh, yeah.\We've got a guy who hopes to become the ace.\Ouch.\Haikyu!!\Foothill Store\By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace\memories do not return. response:	Amidst the dancing lights of Hayase...
context: We've got a guy who hopes to become the ace.\Ouch.\Haikyu!!\Foothill Store\By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace\memories do not return.\Amidst the dancing lights of Hayase... response:	Wh-What are you doing?
context: Ouch.\Haikyu!!\Foothill Store\By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace\memories do not return.\Amidst the dancing lights of Hayase...\Wh-What are you doing? response:	I'm sorry. I was checking to see if you had any customers.
context: Haikyu!!\Foothill Store\By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace\memories do not return.\Amidst the dancing lights of Hayase...\Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers. response:	You're here about the coaching thing again, aren't you?
context: Foothill Store\By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace\memories do not return.\Amidst the dancing lights of Hayase...\Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you? response:	Yes.
context: By the shores of the coursing Hirose River,\Episode 9: A Toss to the Ace\memories do not return.\Amidst the dancing lights of Hayase...\Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you?\Yes. response:	I still like to play.
context: Episode 9: A Toss to the Ace\memories do not return.\Amidst the dancing lights of Hayase...\Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you?\Yes.\I still like to play. response:	I even have a local team.
context: memories do not return.\Amidst the dancing lights of Hayase...\Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you?\Yes.\I still like to play.\I even have a local team. response:	But I don't want to coach. It's stuffy.
context: Amidst the dancing lights of Hayase...\Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you?\Yes.\I still like to play.\I even have a local team.\But I don't want to coach. It's stuffy. response:	I see...
context: Wh-What are you doing?\I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you?\Yes.\I still like to play.\I even have a local team.\But I don't want to coach. It's stuffy.\I see... response:	And I don't want to go to that gymnasium, either.
context: I'm sorry. I was checking to see if you had any customers.\You're here about the coaching thing again, aren't you?\Yes.\I still like to play.\I even have a local team.\But I don't want to coach. It's stuffy.\I see...\And I don't want to go to that gymnasium, either. response:	D-Do you have bad memories or something?
context: You're here about the coaching thing again, aren't you?\Yes.\I still like to play.\I even have a local team.\But I don't want to coach. It's stuffy.\I see...\And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something? response:	The very opposite.
context: Yes.\I still like to play.\I even have a local team.\But I don't want to coach. It's stuffy.\I see...\And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something?\The very opposite. response:	The place is filled with fond memories of my youth.
context: I still like to play.\I even have a local team.\But I don't want to coach. It's stuffy.\I see...\And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something?\The very opposite.\The place is filled with fond memories of my youth. response:	Then, why?
context: I even have a local team.\But I don't want to coach. It's stuffy.\I see...\And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something?\The very opposite.\The place is filled with fond memories of my youth.\Then, why? response:	That gym and club room may still be the same,
context: But I don't want to coach. It's stuffy.\I see...\And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something?\The very opposite.\The place is filled with fond memories of my youth.\Then, why?\That gym and club room may still be the same, response:	but I can never go back.
context: I see...\And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something?\The very opposite.\The place is filled with fond memories of my youth.\Then, why?\That gym and club room may still be the same,\but I can never go back. response:	It was a limited time with its own distinctive feel.
context: And I don't want to go to that gymnasium, either.\D-Do you have bad memories or something?\The very opposite.\The place is filled with fond memories of my youth.\Then, why?\That gym and club room may still be the same,\but I can never go back.\It was a limited time with its own distinctive feel. response:	The atmosphere belongs to that place and time alone.
context: D-Do you have bad memories or something?\The very opposite.\The place is filled with fond memories of my youth.\Then, why?\That gym and club room may still be the same,\but I can never go back.\It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone. response:	So it's nostalgia.
context: The very opposite.\The place is filled with fond memories of my youth.\Then, why?\That gym and club room may still be the same,\but I can never go back.\It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone.\So it's nostalgia. response:	How nice.
context: The place is filled with fond memories of my youth.\Then, why?\That gym and club room may still be the same,\but I can never go back.\It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone.\So it's nostalgia.\How nice. response:	Shut up.
context: Then, why?\That gym and club room may still be the same,\but I can never go back.\It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone.\So it's nostalgia.\How nice.\Shut up. response:	That's why I don't want to go back.
context: That gym and club room may still be the same,\but I can never go back.\It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone.\So it's nostalgia.\How nice.\Shut up.\That's why I don't want to go back. response:	Even if Nekoma High School were coming?
context: but I can never go back.\It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone.\So it's nostalgia.\How nice.\Shut up.\That's why I don't want to go back.\Even if Nekoma High School were coming? response:	We're having a practice match
context: It was a limited time with its own distinctive feel.\The atmosphere belongs to that place and time alone.\So it's nostalgia.\How nice.\Shut up.\That's why I don't want to go back.\Even if Nekoma High School were coming?\We're having a practice match response:	at the end of Golden Week. The first match in five years.
context: The atmosphere belongs to that place and time alone.\So it's nostalgia.\How nice.\Shut up.\That's why I don't want to go back.\Even if Nekoma High School were coming?\We're having a practice match\at the end of Golden Week. The first match in five years. response:	B-But wh-why now?
context: So it's nostalgia.\How nice.\Shut up.\That's why I don't want to go back.\Even if Nekoma High School were coming?\We're having a practice match\at the end of Golden Week. The first match in five years.\B-But wh-why now? response:	Their director, Nekomata, who was close friends with Director Ukai,
context: How nice.\Shut up.\That's why I don't want to go back.\Even if Nekoma High School were coming?\We're having a practice match\at the end of Golden Week. The first match in five years.\B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai, response:	just came out of retirement.
context: Shut up.\That's why I don't want to go back.\Even if Nekoma High School were coming?\We're having a practice match\at the end of Golden Week. The first match in five years.\B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement. response:	When I heard that, I requested a practice match.
context: That's why I don't want to go back.\Even if Nekoma High School were coming?\We're having a practice match\at the end of Golden Week. The first match in five years.\B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement.\When I heard that, I requested a practice match. response:	When you were there, Ukai-kun,
context: Even if Nekoma High School were coming?\We're having a practice match\at the end of Golden Week. The first match in five years.\B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement.\When I heard that, I requested a practice match.\When you were there, Ukai-kun, response:	wasn't that when the Nekoma rivalry was at its peak?
context: We're having a practice match\at the end of Golden Week. The first match in five years.\B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement.\When I heard that, I requested a practice match.\When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak? response:	Yeah.
context: at the end of Golden Week. The first match in five years.\B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement.\When I heard that, I requested a practice match.\When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak?\Yeah. response:	And I hear their coach now was Nekoma's setter seven or eight years ago.
context: B-But wh-why now?\Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement.\When I heard that, I requested a practice match.\When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak?\Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago. response:	This year is our last chance, Ukai.
context: Their director, Nekomata, who was close friends with Director Ukai,\just came out of retirement.\When I heard that, I requested a practice match.\When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak?\Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai. response:	Promise to definitely, definitely see us at the nationals.
context: just came out of retirement.\When I heard that, I requested a practice match.\When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak?\Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals. response:	Yeah.
context: When I heard that, I requested a practice match.\When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak?\Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals.\Yeah. response:	I promise.
context: When you were there, Ukai-kun,\wasn't that when the Nekoma rivalry was at its peak?\Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals.\Yeah.\I promise. response:	That was when you were playing, too.
context: wasn't that when the Nekoma rivalry was at its peak?\Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals.\Yeah.\I promise.\That was when you were playing, too. response:	Maybe you know him?
context: Yeah.\And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals.\Yeah.\I promise.\That was when you were playing, too.\Maybe you know him? response:	Hey...
context: And I hear their coach now was Nekoma's setter seven or eight years ago.\This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals.\Yeah.\I promise.\That was when you were playing, too.\Maybe you know him?\Hey... response:	You trying to seduce me?
context: This year is our last chance, Ukai.\Promise to definitely, definitely see us at the nationals.\Yeah.\I promise.\That was when you were playing, too.\Maybe you know him?\Hey...\You trying to seduce me? response:	I'm sorry! I'm sorry!
context: Promise to definitely, definitely see us at the nationals.\Yeah.\I promise.\That was when you were playing, too.\Maybe you know him?\Hey...\You trying to seduce me?\I'm sorry! I'm sorry! response:	Are you kidding?
context: Yeah.\I promise.\That was when you were playing, too.\Maybe you know him?\Hey...\You trying to seduce me?\I'm sorry! I'm sorry!\Are you kidding? response:	You think I'll fall for such an obvious ploy?
context: I promise.\That was when you were playing, too.\Maybe you know him?\Hey...\You trying to seduce me?\I'm sorry! I'm sorry!\Are you kidding?\You think I'll fall for such an obvious ploy? response:	What time does practice start?
context: That was when you were playing, too.\Maybe you know him?\Hey...\You trying to seduce me?\I'm sorry! I'm sorry!\Are you kidding?\You think I'll fall for such an obvious ploy?\What time does practice start? response:	I'm sor Huh?
context: Maybe you know him?\Hey...\You trying to seduce me?\I'm sorry! I'm sorry!\Are you kidding?\You think I'll fall for such an obvious ploy?\What time does practice start?\I'm sor Huh? response:	Um...
context: Hey...\You trying to seduce me?\I'm sorry! I'm sorry!\Are you kidding?\You think I'll fall for such an obvious ploy?\What time does practice start?\I'm sor Huh?\Um... response:	So Nekoma is coming.
context: You trying to seduce me?\I'm sorry! I'm sorry!\Are you kidding?\You think I'll fall for such an obvious ploy?\What time does practice start?\I'm sor Huh?\Um...\So Nekoma is coming. response:	I can't let them see my successors in a pitiful state.
context: I'm sorry! I'm sorry!\Are you kidding?\You think I'll fall for such an obvious ploy?\What time does practice start?\I'm sor Huh?\Um...\So Nekoma is coming.\I can't let them see my successors in a pitiful state. response:	I'm gearing up. Go there and wait.
context: Are you kidding?\You think I'll fall for such an obvious ploy?\What time does practice start?\I'm sor Huh?\Um...\So Nekoma is coming.\I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait. response:	Y-Yes.
context: You think I'll fall for such an obvious ploy?\What time does practice start?\I'm sor Huh?\Um...\So Nekoma is coming.\I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait.\Y-Yes. response:	Mom! Mind the store for me.
context: What time does practice start?\I'm sor Huh?\Um...\So Nekoma is coming.\I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait.\Y-Yes.\Mom! Mind the store for me. response:	All right.
context: I'm sor Huh?\Um...\So Nekoma is coming.\I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait.\Y-Yes.\Mom! Mind the store for me.\All right. response:	Hello, Tatsu-san?
context: Um...\So Nekoma is coming.\I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait.\Y-Yes.\Mom! Mind the store for me.\All right.\Hello, Tatsu-san? response:	Maturing to Greatness
context: So Nekoma is coming.\I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait.\Y-Yes.\Mom! Mind the store for me.\All right.\Hello, Tatsu-san?\Maturing to Greatness response:	Say, Noya-san.
context: I can't let them see my successors in a pitiful state.\I'm gearing up. Go there and wait.\Y-Yes.\Mom! Mind the store for me.\All right.\Hello, Tatsu-san?\Maturing to Greatness\Say, Noya-san. response:	Huh?
context: I'm gearing up. Go there and wait.\Y-Yes.\Mom! Mind the store for me.\All right.\Hello, Tatsu-san?\Maturing to Greatness\Say, Noya-san.\Huh? response:	What kind of training did you do while you were suspended?
context: Y-Yes.\Mom! Mind the store for me.\All right.\Hello, Tatsu-san?\Maturing to Greatness\Say, Noya-san.\Huh?\What kind of training did you do while you were suspended? response:	Hm, mainly block-follow.
context: Mom! Mind the store for me.\All right.\Hello, Tatsu-san?\Maturing to Greatness\Say, Noya-san.\Huh?\What kind of training did you do while you were suspended?\Hm, mainly block-follow. response:	Training for saving balls after they're blocked.
context: All right.\Hello, Tatsu-san?\Maturing to Greatness\Say, Noya-san.\Huh?\What kind of training did you do while you were suspended?\Hm, mainly block-follow.\Training for saving balls after they're blocked. response:	I still can't do it well, but if I get good at block-follow,
context: Hello, Tatsu-san?\Maturing to Greatness\Say, Noya-san.\Huh?\What kind of training did you do while you were suspended?\Hm, mainly block-follow.\Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow, response:	you guys can spike with greater confidence.
context: Maturing to Greatness\Say, Noya-san.\Huh?\What kind of training did you do while you were suspended?\Hm, mainly block-follow.\Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence. response:	This guy...
context: Say, Noya-san.\Huh?\What kind of training did you do while you were suspended?\Hm, mainly block-follow.\Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence.\This guy... response:	He has a new bruise every time I see him.
context: Huh?\What kind of training did you do while you were suspended?\Hm, mainly block-follow.\Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence.\This guy...\He has a new bruise every time I see him. response:	Noya-san, are you for real? You're such an awesome guy.
context: What kind of training did you do while you were suspended?\Hm, mainly block-follow.\Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence.\This guy...\He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy. response:	What're you crying about?
context: Hm, mainly block-follow.\Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence.\This guy...\He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy.\What're you crying about? response:	Good job, everyone.
context: Training for saving balls after they're blocked.\I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence.\This guy...\He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy.\What're you crying about?\Good job, everyone. response:	Huddle up.
context: I still can't do it well, but if I get good at block-follow,\you guys can spike with greater confidence.\This guy...\He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy.\What're you crying about?\Good job, everyone.\Huddle up. response:	Let me introduce you.
context: you guys can spike with greater confidence.\This guy...\He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy.\What're you crying about?\Good job, everyone.\Huddle up.\Let me introduce you. response:	This is Ukai-kun, who will be our coach starting today.
context: This guy...\He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy.\What're you crying about?\Good job, everyone.\Huddle up.\Let me introduce you.\This is Ukai-kun, who will be our coach starting today. response:	C-Coach?
context: He has a new bruise every time I see him.\Noya-san, are you for real? You're such an awesome guy.\What're you crying about?\Good job, everyone.\Huddle up.\Let me introduce you.\This is Ukai-kun, who will be our coach starting today.\C-Coach? response:	Is this true?
context: Noya-san, are you for real? You're such an awesome guy.\What're you crying about?\Good job, everyone.\Huddle up.\Let me introduce you.\This is Ukai-kun, who will be our coach starting today.\C-Coach?\Is this true? response:	Only'til the match against Nekoma.
context: What're you crying about?\Good job, everyone.\Huddle up.\Let me introduce you.\This is Ukai-kun, who will be our coach starting today.\C-Coach?\Is this true?\Only'til the match against Nekoma. response:	Oh...
context: Good job, everyone.\Huddle up.\Let me introduce you.\This is Ukai-kun, who will be our coach starting today.\C-Coach?\Is this true?\Only'til the match against Nekoma.\Oh... response:	But this is the guy from Foothill Store.
context: Huddle up.\Let me introduce you.\This is Ukai-kun, who will be our coach starting today.\C-Coach?\Is this true?\Only'til the match against Nekoma.\Oh...\But this is the guy from Foothill Store. response:	He's really a coach?
context: Let me introduce you.\This is Ukai-kun, who will be our coach starting today.\C-Coach?\Is this true?\Only'til the match against Nekoma.\Oh...\But this is the guy from Foothill Store.\He's really a coach? response:	He's a senpai to all of you.
context: This is Ukai-kun, who will be our coach starting today.\C-Coach?\Is this true?\Only'til the match against Nekoma.\Oh...\But this is the guy from Foothill Store.\He's really a coach?\He's a senpai to all of you. response:	He's the grandson of Director Ukai.
context: C-Coach?\Is this true?\Only'til the match against Nekoma.\Oh...\But this is the guy from Foothill Store.\He's really a coach?\He's a senpai to all of you.\He's the grandson of Director Ukai. response:	What?
context: Is this true?\Only'til the match against Nekoma.\Oh...\But this is the guy from Foothill Store.\He's really a coach?\He's a senpai to all of you.\He's the grandson of Director Ukai.\What? response:	But that's not the name on your store.
context: Only'til the match against Nekoma.\Oh...\But this is the guy from Foothill Store.\He's really a coach?\He's a senpai to all of you.\He's the grandson of Director Ukai.\What?\But that's not the name on your store. response:	The store's named after my mother's side of the family.
