context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana.\Kagari.\You sure love to clean, don't you...?\I know how much you love to clean.\We're going to win!\We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom. response:	People like you learn these things best if they dive into them head to toe.
context: The favorite to win and number one in popularity is by and far Diana.\Kagari.\You sure love to clean, don't you...?\I know how much you love to clean.\We're going to win!\We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe. response:	I have none. I will simply be flying as per usual.
context: Kagari.\You sure love to clean, don't you...?\I know how much you love to clean.\We're going to win!\We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual. response:	It'll be an easy win without any competition.
context: You sure love to clean, don't you...?\I know how much you love to clean.\We're going to win!\We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual.\It'll be an easy win without any competition. response:	Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!
context: I know how much you love to clean.\We're going to win!\We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual.\It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson! response:	Leading the pack is The Everygirl, Miss Glasses,
context: We're going to win!\We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual.\It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses, response:	our average, ordinary Lotte Jansson!
context: We have no shot at victory as long as you can't fly a broom.\We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual.\It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson! response:	I'm Amanda, a rebel just like you.
context: We have no chance at victory if you can't fly a broom.\People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual.\It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you. response:	Get back here!
context: People like you learn these things best if they dive into them head to toe.\I have none. I will simply be flying as per usual.\It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you.\Get back here! response:	Who cares as long as I win?
context: I have none. I will simply be flying as per usual.\It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you.\Get back here!\Who cares as long as I win? response:	See ya later!
context: It'll be an easy win without any competition.\Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you.\Get back here!\Who cares as long as I win?\See ya later! response:	Smell ya later!
context: Leading the pack is Miss Glasses, our plain and average everygirl Lotte Jansson!\Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you.\Get back here!\Who cares as long as I win?\See ya later!\Smell ya later! response:	She's frog hopping on her broom!
context: Leading the pack is The Everygirl, Miss Glasses,\our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you.\Get back here!\Who cares as long as I win?\See ya later!\Smell ya later!\She's frog hopping on her broom! response:	Tia Freyre!
context: our average, ordinary Lotte Jansson!\I'm Amanda, a rebel just like you.\Get back here!\Who cares as long as I win?\See ya later!\Smell ya later!\She's frog hopping on her broom!\Tia Freyre! response:	Tia Freyre!
context: I'm Amanda, a rebel just like you.\Get back here!\Who cares as long as I win?\See ya later!\Smell ya later!\She's frog hopping on her broom!\Tia Freyre!\Tia Freyre! response:	Tia Freyre!
context: Get back here!\Who cares as long as I win?\See ya later!\Smell ya later!\She's frog hopping on her broom!\Tia Freyre!\Tia Freyre!\Tia Freyre! response:	Withdraw and call the medic squad.
context: Who cares as long as I win?\See ya later!\Smell ya later!\She's frog hopping on her broom!\Tia Freyre!\Tia Freyre!\Tia Freyre!\Withdraw and call the medic squad. response:	I won't even let go at the very depths of hell!
context: See ya later!\Smell ya later!\She's frog hopping on her broom!\Tia Freyre!\Tia Freyre!\Tia Freyre!\Withdraw and call the medic squad.\I won't even let go at the very depths of hell! response:	I won't let go to the very depths of hell!
context: Smell ya later!\She's frog hopping on her broom!\Tia Freyre!\Tia Freyre!\Tia Freyre!\Withdraw and call the medic squad.\I won't even let go at the very depths of hell!\I won't let go to the very depths of hell! response:	I was certainly surprised that Kagari took second, despite her inability to fly.
context: She's frog hopping on her broom!\Tia Freyre!\Tia Freyre!\Tia Freyre!\Withdraw and call the medic squad.\I won't even let go at the very depths of hell!\I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly. response:	Return to the bookshelf!
context: Tia Freyre!\Tia Freyre!\Tia Freyre!\Withdraw and call the medic squad.\I won't even let go at the very depths of hell!\I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf! response:	I said to return!
context: Tia Freyre!\Tia Freyre!\Withdraw and call the medic squad.\I won't even let go at the very depths of hell!\I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf!\I said to return! response:	Noctu Orfei Aude Fraetor!
context: Tia Freyre!\Withdraw and call the medic squad.\I won't even let go at the very depths of hell!\I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf!\I said to return!\Noctu Orfei Aude Fraetor! response:	Guess it's no good.
context: Withdraw and call the medic squad.\I won't even let go at the very depths of hell!\I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf!\I said to return!\Noctu Orfei Aude Fraetor!\Guess it's no good. response:	Um... Professor?
context: I won't even let go at the very depths of hell!\I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf!\I said to return!\Noctu Orfei Aude Fraetor!\Guess it's no good.\Um... Professor? response:	Ursula. I teach magic astronomy.
context: I won't let go to the very depths of hell!\I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf!\I said to return!\Noctu Orfei Aude Fraetor!\Guess it's no good.\Um... Professor?\Ursula. I teach magic astronomy. response:	Professor Ursula?
context: I was certainly surprised that Kagari took second, despite her inability to fly.\Return to the bookshelf!\I said to return!\Noctu Orfei Aude Fraetor!\Guess it's no good.\Um... Professor?\Ursula. I teach magic astronomy.\Professor Ursula? response:	Yes.
context: Return to the bookshelf!\I said to return!\Noctu Orfei Aude Fraetor!\Guess it's no good.\Um... Professor?\Ursula. I teach magic astronomy.\Professor Ursula?\Yes. response:	Can I help you?
context: I said to return!\Noctu Orfei Aude Fraetor!\Guess it's no good.\Um... Professor?\Ursula. I teach magic astronomy.\Professor Ursula?\Yes.\Can I help you? response:	Right, I came to tell you I was appointed as your mentor.
context: Noctu Orfei Aude Fraetor!\Guess it's no good.\Um... Professor?\Ursula. I teach magic astronomy.\Professor Ursula?\Yes.\Can I help you?\Right, I came to tell you I was appointed as your mentor. response:	Mentor?
context: Guess it's no good.\Um... Professor?\Ursula. I teach magic astronomy.\Professor Ursula?\Yes.\Can I help you?\Right, I came to tell you I was appointed as your mentor.\Mentor? response:	Feel free to ask me about anything you'd like. I'll be glad to help you.
context: Um... Professor?\Ursula. I teach magic astronomy.\Professor Ursula?\Yes.\Can I help you?\Right, I came to tell you I was appointed as your mentor.\Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you. response:	This is the broom the school has provided you.
context: Ursula. I teach magic astronomy.\Professor Ursula?\Yes.\Can I help you?\Right, I came to tell you I was appointed as your mentor.\Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you. response:	Wait, that staff...
context: Professor Ursula?\Yes.\Can I help you?\Right, I came to tell you I was appointed as your mentor.\Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you.\Wait, that staff... response:	Oh, you mean this? It's Shiny Chariot's magic staff.
context: Yes.\Can I help you?\Right, I came to tell you I was appointed as your mentor.\Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you.\Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff. response:	Professor, do you know about Chariot?
context: Can I help you?\Right, I came to tell you I was appointed as your mentor.\Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you.\Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot? response:	Well, I suppose...
context: Right, I came to tell you I was appointed as your mentor.\Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you.\Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot?\Well, I suppose... response:	I heard from Lotte.
context: Mentor?\Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you.\Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot?\Well, I suppose...\I heard from Lotte. response:	Huh?
context: Feel free to ask me about anything you'd like. I'll be glad to help you.\This is the broom the school has provided you.\Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot?\Well, I suppose...\I heard from Lotte.\Huh? response:	She told me I need to turn in any lost property I find.
context: This is the broom the school has provided you.\Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot?\Well, I suppose...\I heard from Lotte.\Huh?\She told me I need to turn in any lost property I find. response:	But I'm sure that holding on to this will eventually lead me to Chariot.
context: Wait, that staff...\Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot?\Well, I suppose...\I heard from Lotte.\Huh?\She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot. response:	I promise I'll give it back once I find her!
context: Oh, you mean this? It's Shiny Chariot's magic staff.\Professor, do you know about Chariot?\Well, I suppose...\I heard from Lotte.\Huh?\She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her! response:	You're the one it revealed itself to, which makes you its rightful owner.
context: Professor, do you know about Chariot?\Well, I suppose...\I heard from Lotte.\Huh?\She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner. response:	Fate and magic will surely guide you.
context: Well, I suppose...\I heard from Lotte.\Huh?\She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you. response:	Professor, can I put my name on my new broom?
context: I heard from Lotte.\Huh?\She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you.\Professor, can I put my name on my new broom? response:	Now I'll finally be able to fly!
context: Huh?\She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you.\Professor, can I put my name on my new broom?\Now I'll finally be able to fly! response:	A believing heart is my magic!
context: She told me I need to turn in any lost property I find.\But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you.\Professor, can I put my name on my new broom?\Now I'll finally be able to fly!\A believing heart is my magic! response:	It's my time! Yeah!
context: But I'm sure that holding on to this will eventually lead me to Chariot.\I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you.\Professor, can I put my name on my new broom?\Now I'll finally be able to fly!\A believing heart is my magic!\It's my time! Yeah! response:	A believing heart is my magic, huh.
context: I promise I'll give it back once I find her!\You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you.\Professor, can I put my name on my new broom?\Now I'll finally be able to fly!\A believing heart is my magic!\It's my time! Yeah!\A believing heart is my magic, huh. response:	Here where our long journey has finally led us
context: You're the one it revealed itself to, which makes you its rightful owner.\Fate and magic will surely guide you.\Professor, can I put my name on my new broom?\Now I'll finally be able to fly!\A believing heart is my magic!\It's my time! Yeah!\A believing heart is my magic, huh.\Here where our long journey has finally led us response:	Here where our long journey has finally led us
context: Fate and magic will surely guide you.\Professor, can I put my name on my new broom?\Now I'll finally be able to fly!\A believing heart is my magic!\It's my time! Yeah!\A believing heart is my magic, huh.\Here where our long journey has finally led us\Here where our long journey has finally led us response:	kakedashita hibi ni yukitsuita kono basho
context: Professor, can I put my name on my new broom?\Now I'll finally be able to fly!\A believing heart is my magic!\It's my time! Yeah!\A believing heart is my magic, huh.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho response:	kakedashita hibi ni yukitsuita kono basho
context: Now I'll finally be able to fly!\A believing heart is my magic!\It's my time! Yeah!\A believing heart is my magic, huh.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho response:	We can push open the door
