context: Father... response:	Father... Father...
context: Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible!\Chaozu, training!\He's really got himself a hard head.\Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard! response:	I- I didn't mean it!
context: Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible!\Chaozu, training!\He's really got himself a hard head.\Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard!\I- I didn't mean it! response:	Son, just what sort of training are you doing?
context: Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible!\Chaozu, training!\He's really got himself a hard head.\Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard!\I- I didn't mean it!\Son, just what sort of training are you doing? response:	- Oni? -Hey there! What are you doing, Pops?
context: there's nothing we'd have to fear! We'd be invincible!\Chaozu, training!\He's really got himself a hard head.\Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard!\I- I didn't mean it!\Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops? response:	What am I doing, oni?
context: Chaozu, training!\He's really got himself a hard head.\Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard!\I- I didn't mean it!\Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops?\What am I doing, oni? response:	I was asked by Great King Yama- sama to clean this road oni.
context: He's really got himself a hard head.\Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard!\I- I didn't mean it!\Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops?\What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni. response:	I'm going to Kaio- sama's place!
context: Ten- san can even break rocks with his head!\That's not what I meant... you stupid bastard!\I- I didn't mean it!\Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops?\What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place! response:	Oni!? You're going to Kaio- sama's place?
context: That's not what I meant... you stupid bastard!\I- I didn't mean it!\Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops?\What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place? response:	I've never seen a daredevil dead person as big as you oni!
context: I- I didn't mean it!\Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops?\What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni! response:	Is there still a long way to go?
context: Son, just what sort of training are you doing?\- Oni? -Hey there! What are you doing, Pops?\What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go? response:	Of course there is! From what I've heard,
context: - Oni? -Hey there! What are you doing, Pops?\What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go?\Of course there is! From what I've heard, response:	you're still only about halfway to the halfway point oni.
context: What am I doing, oni?\I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go?\Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni. response:	Still only halfway to halfway!? It is pretty long then, huh?
context: I was asked by Great King Yama- sama to clean this road oni.\I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go?\Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh? response:	Oni?
context: I'm going to Kaio- sama's place!\Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go?\Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh?\Oni? response:	Hey, what's the matter oni?
context: Oni!? You're going to Kaio- sama's place?\I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go?\Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh?\Oni?\Hey, what's the matter oni? response:	I need a little break!
context: I've never seen a daredevil dead person as big as you oni!\Is there still a long way to go?\Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh?\Oni?\Hey, what's the matter oni?\I need a little break! response:	Oni.
context: Is there still a long way to go?\Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh?\Oni?\Hey, what's the matter oni?\I need a little break!\Oni. response:	If you want me to take you part of the way, I can give you a ride oni!
context: Of course there is! From what I've heard,\you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh?\Oni?\Hey, what's the matter oni?\I need a little break!\Oni.\If you want me to take you part of the way, I can give you a ride oni! response:	Get on back of here oni!
context: you're still only about halfway to the halfway point oni.\Still only halfway to halfway!? It is pretty long then, huh?\Oni?\Hey, what's the matter oni?\I need a little break!\Oni.\If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni! response:	Really? Yahoo!
context: Still only halfway to halfway!? It is pretty long then, huh?\Oni?\Hey, what's the matter oni?\I need a little break!\Oni.\If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni!\Really? Yahoo! response:	Ready, Pops!
context: Oni?\Hey, what's the matter oni?\I need a little break!\Oni.\If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni!\Really? Yahoo!\Ready, Pops! response:	All right, here we go oni!
context: Hey, what's the matter oni?\I need a little break!\Oni.\If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni!\Really? Yahoo!\Ready, Pops!\All right, here we go oni! response:	Chaozu!
context: I need a little break!\Oni.\If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni!\Really? Yahoo!\Ready, Pops!\All right, here we go oni!\Chaozu! response:	Ten- san, you did it!
context: Oni.\If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni!\Really? Yahoo!\Ready, Pops!\All right, here we go oni!\Chaozu!\Ten- san, you did it! response:	No. I still have much more to do than just this.
context: If you want me to take you part of the way, I can give you a ride oni!\Get on back of here oni!\Really? Yahoo!\Ready, Pops!\All right, here we go oni!\Chaozu!\Ten- san, you did it!\No. I still have much more to do than just this. response:	O- oh, no!
context: Get on back of here oni!\Really? Yahoo!\Ready, Pops!\All right, here we go oni!\Chaozu!\Ten- san, you did it!\No. I still have much more to do than just this.\O- oh, no! response:	How could I have done that? l messed up the control over my power.
context: Really? Yahoo!\Ready, Pops!\All right, here we go oni!\Chaozu!\Ten- san, you did it!\No. I still have much more to do than just this.\O- oh, no!\How could I have done that? l messed up the control over my power. response:	At this rate, it will reach where that kid is!
context: Ready, Pops!\All right, here we go oni!\Chaozu!\Ten- san, you did it!\No. I still have much more to do than just this.\O- oh, no!\How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is! response:	Hang in there, hang in there!
context: All right, here we go oni!\Chaozu!\Ten- san, you did it!\No. I still have much more to do than just this.\O- oh, no!\How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is!\Hang in there, hang in there! response:	T- this is a big one! And I can't stand earthquakes!
context: Chaozu!\Ten- san, you did it!\No. I still have much more to do than just this.\O- oh, no!\How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is!\Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes! response:	Tenshinhan!
context: Ten- san, you did it!\No. I still have much more to do than just this.\O- oh, no!\How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is!\Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes!\Tenshinhan! response:	Tenshinhan!
context: No. I still have much more to do than just this.\O- oh, no!\How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is!\Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes!\Tenshinhan!\Tenshinhan! response:	Ten- san!
context: O- oh, no!\How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is!\Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes!\Tenshinhan!\Tenshinhan!\Ten- san! response:	Ten- san!
context: How could I have done that? l messed up the control over my power.\At this rate, it will reach where that kid is!\Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes!\Tenshinhan!\Tenshinhan!\Ten- san!\Ten- san! response:	I've located Tenshinhan!
context: At this rate, it will reach where that kid is!\Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes!\Tenshinhan!\Tenshinhan!\Ten- san!\Ten- san!\I've located Tenshinhan! response:	Where the hell have you gone!?
context: Hang in there, hang in there!\T- this is a big one! And I can't stand earthquakes!\Tenshinhan!\Tenshinhan!\Ten- san!\Ten- san!\I've located Tenshinhan!\Where the hell have you gone!? response:	I made it!
context: T- this is a big one! And I can't stand earthquakes!\Tenshinhan!\Tenshinhan!\Ten- san!\Ten- san!\I've located Tenshinhan!\Where the hell have you gone!?\I made it! response:	I'm cold!
context: Tenshinhan!\Tenshinhan!\Ten- san!\Ten- san!\I've located Tenshinhan!\Where the hell have you gone!?\I made it!\I'm cold! response:	Huh?
context: Tenshinhan!\Ten- san!\Ten- san!\I've located Tenshinhan!\Where the hell have you gone!?\I made it!\I'm cold!\Huh? response:	Oh, my! Have I done it again?
context: Ten- san!\Ten- san!\I've located Tenshinhan!\Where the hell have you gone!?\I made it!\I'm cold!\Huh?\Oh, my! Have I done it again? response:	Apparently, he's within those mountains.
context: Ten- san!\I've located Tenshinhan!\Where the hell have you gone!?\I made it!\I'm cold!\Huh?\Oh, my! Have I done it again?\Apparently, he's within those mountains. response:	That's just the kind of place you'd expect Tenshinhan- san to be training!
context: I've located Tenshinhan!\Where the hell have you gone!?\I made it!\I'm cold!\Huh?\Oh, my! Have I done it again?\Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training! response:	I'm really sorry I've been a bother to you.
context: Where the hell have you gone!?\I made it!\I'm cold!\Huh?\Oh, my! Have I done it again?\Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you. response:	I'll go back to the Kame House for now.
context: I made it!\I'm cold!\Huh?\Oh, my! Have I done it again?\Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now. response:	That will be great. Please give Muten Roshi- sama my regards,
context: I'm cold!\Huh?\Oh, my! Have I done it again?\Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards, response:	and tell him that we are continuing to train as he would expect of us.
context: Huh?\Oh, my! Have I done it again?\Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us. response:	Yes, you certainly are. Okay then, take care of yourselves.
context: Oh, my! Have I done it again?\Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves. response:	-Be careful. -Farewell!
context: Apparently, he's within those mountains.\That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell! response:	Chaozu, now we can devote ourselves to training.
context: That's just the kind of place you'd expect Tenshinhan- san to be training!\I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell!\Chaozu, now we can devote ourselves to training. response:	She's an odd person.
