context: OP response:	OP
context: We'll be doing it over here.\Section chiefs, gather over here.\Sorry for making you wait, Ao.\This way.\But Noah is still...\I'll get someone to look for him.\Don't worry about it.\Lifting the looker! response:	So warm...
context: Section chiefs, gather over here.\Sorry for making you wait, Ao.\This way.\But Noah is still...\I'll get someone to look for him.\Don't worry about it.\Lifting the looker!\So warm... response:	We're saved...
context: Sorry for making you wait, Ao.\This way.\But Noah is still...\I'll get someone to look for him.\Don't worry about it.\Lifting the looker!\So warm...\We're saved... response:	Stowaways, huh?
context: This way.\But Noah is still...\I'll get someone to look for him.\Don't worry about it.\Lifting the looker!\So warm...\We're saved...\Stowaways, huh? response:	And your clothes...
context: But Noah is still...\I'll get someone to look for him.\Don't worry about it.\Lifting the looker!\So warm...\We're saved...\Stowaways, huh?\And your clothes... response:	Don't tell me you guys snuck on in Okinawa?
context: I'll get someone to look for him.\Don't worry about it.\Lifting the looker!\So warm...\We're saved...\Stowaways, huh?\And your clothes...\Don't tell me you guys snuck on in Okinawa? response:	T-Take us to your leader...
context: Don't worry about it.\Lifting the looker!\So warm...\We're saved...\Stowaways, huh?\And your clothes...\Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader... response:	Take us to your leader!
context: Lifting the looker!\So warm...\We're saved...\Stowaways, huh?\And your clothes...\Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader...\Take us to your leader! response:	I see. It matches the data Fleur gathered.
context: So warm...\We're saved...\Stowaways, huh?\And your clothes...\Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader...\Take us to your leader!\I see. It matches the data Fleur gathered. response:	But there is one point where his genome map is very different from ours.
context: We're saved...\Stowaways, huh?\And your clothes...\Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader...\Take us to your leader!\I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours. response:	What?
context: Stowaways, huh?\And your clothes...\Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader...\Take us to your leader!\I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours.\What? response:	His retina. Especially the positions of his optic nerves.
context: And your clothes...\Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader...\Take us to your leader!\I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours.\What?\His retina. Especially the positions of his optic nerves. response:	Is there anything wrong?
context: Don't tell me you guys snuck on in Okinawa?\T-Take us to your leader...\Take us to your leader!\I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours.\What?\His retina. Especially the positions of his optic nerves.\Is there anything wrong? response:	His range of perception might be much wider.
context: T-Take us to your leader...\Take us to your leader!\I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours.\What?\His retina. Especially the positions of his optic nerves.\Is there anything wrong?\His range of perception might be much wider. response:	He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.
context: Take us to your leader!\I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours.\What?\His retina. Especially the positions of his optic nerves.\Is there anything wrong?\His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light. response:	Then this world might look very different to him.
context: I see. It matches the data Fleur gathered.\But there is one point where his genome map is very different from ours.\What?\His retina. Especially the positions of his optic nerves.\Is there anything wrong?\His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him. response:	I wonder what they're talking about...
context: But there is one point where his genome map is very different from ours.\What?\His retina. Especially the positions of his optic nerves.\Is there anything wrong?\His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him.\I wonder what they're talking about... response:	No significant abnormalities.
context: What?\His retina. Especially the positions of his optic nerves.\Is there anything wrong?\His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him.\I wonder what they're talking about...\No significant abnormalities. response:	You're a perfectly normal twelve year old.
context: His retina. Especially the positions of his optic nerves.\Is there anything wrong?\His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him.\I wonder what they're talking about...\No significant abnormalities.\You're a perfectly normal twelve year old. response:	Normal? But my hair...
context: Is there anything wrong?\His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him.\I wonder what they're talking about...\No significant abnormalities.\You're a perfectly normal twelve year old.\Normal? But my hair... response:	It's not a problem.
context: His range of perception might be much wider.\He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him.\I wonder what they're talking about...\No significant abnormalities.\You're a perfectly normal twelve year old.\Normal? But my hair...\It's not a problem. response:	It's a part of you, and something that you inherited from your mother.
context: He may be able to see electromagnetic waves beyond human limits, such as infrared or ultraviolet light.\Then this world might look very different to him.\I wonder what they're talking about...\No significant abnormalities.\You're a perfectly normal twelve year old.\Normal? But my hair...\It's not a problem.\It's a part of you, and something that you inherited from your mother. response:	Yessir!
context: Then this world might look very different to him.\I wonder what they're talking about...\No significant abnormalities.\You're a perfectly normal twelve year old.\Normal? But my hair...\It's not a problem.\It's a part of you, and something that you inherited from your mother.\Yessir! response:	Fleur, where are we going?
context: I wonder what they're talking about...\No significant abnormalities.\You're a perfectly normal twelve year old.\Normal? But my hair...\It's not a problem.\It's a part of you, and something that you inherited from your mother.\Yessir!\Fleur, where are we going? response:	Miss Fleur. I'm your superior.
context: No significant abnormalities.\You're a perfectly normal twelve year old.\Normal? But my hair...\It's not a problem.\It's a part of you, and something that you inherited from your mother.\Yessir!\Fleur, where are we going?\Miss Fleur. I'm your superior. response:	Miss Fleur.
context: You're a perfectly normal twelve year old.\Normal? But my hair...\It's not a problem.\It's a part of you, and something that you inherited from your mother.\Yessir!\Fleur, where are we going?\Miss Fleur. I'm your superior.\Miss Fleur. response:	Will do.
context: Normal? But my hair...\It's not a problem.\It's a part of you, and something that you inherited from your mother.\Yessir!\Fleur, where are we going?\Miss Fleur. I'm your superior.\Miss Fleur.\Will do. response:	A few thousand people work here at the Swiss HQ.
context: It's not a problem.\It's a part of you, and something that you inherited from your mother.\Yessir!\Fleur, where are we going?\Miss Fleur. I'm your superior.\Miss Fleur.\Will do.\A few thousand people work here at the Swiss HQ. response:	We are at the top of the tower now, the base of the IFO teams.
context: It's a part of you, and something that you inherited from your mother.\Yessir!\Fleur, where are we going?\Miss Fleur. I'm your superior.\Miss Fleur.\Will do.\A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams. response:	The tower continues underground as well.
context: Yessir!\Fleur, where are we going?\Miss Fleur. I'm your superior.\Miss Fleur.\Will do.\A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well. response:	I think all together it's about the size of a city.
context: Fleur, where are we going?\Miss Fleur. I'm your superior.\Miss Fleur.\Will do.\A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well.\I think all together it's about the size of a city. response:	Ahead of here are our quarters.
context: Miss Fleur. I'm your superior.\Miss Fleur.\Will do.\A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well.\I think all together it's about the size of a city.\Ahead of here are our quarters. response:	He's the newbie we just recruited.
context: Miss Fleur.\Will do.\A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well.\I think all together it's about the size of a city.\Ahead of here are our quarters.\He's the newbie we just recruited. response:	He has an ID already, I assume?
context: Will do.\A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well.\I think all together it's about the size of a city.\Ahead of here are our quarters.\He's the newbie we just recruited.\He has an ID already, I assume? response:	Whoops, I forgot to ask the Chief!
context: A few thousand people work here at the Swiss HQ.\We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well.\I think all together it's about the size of a city.\Ahead of here are our quarters.\He's the newbie we just recruited.\He has an ID already, I assume?\Whoops, I forgot to ask the Chief! response:	Come on, it doesn't really matter!
context: We are at the top of the tower now, the base of the IFO teams.\The tower continues underground as well.\I think all together it's about the size of a city.\Ahead of here are our quarters.\He's the newbie we just recruited.\He has an ID already, I assume?\Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter! response:	Rules are rules.
context: The tower continues underground as well.\I think all together it's about the size of a city.\Ahead of here are our quarters.\He's the newbie we just recruited.\He has an ID already, I assume?\Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter!\Rules are rules. response:	Come on!
context: I think all together it's about the size of a city.\Ahead of here are our quarters.\He's the newbie we just recruited.\He has an ID already, I assume?\Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter!\Rules are rules.\Come on! response:	Next order of business.
context: Ahead of here are our quarters.\He's the newbie we just recruited.\He has an ID already, I assume?\Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter!\Rules are rules.\Come on!\Next order of business. response:	Moments ago, a peculiar intruder was spotted at headquarters.
context: He's the newbie we just recruited.\He has an ID already, I assume?\Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter!\Rules are rules.\Come on!\Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters. response:	We assume it's a sloth. So far, it has escaped capture.
context: He has an ID already, I assume?\Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter!\Rules are rules.\Come on!\Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture. response:	Noah!
context: Whoops, I forgot to ask the Chief!\Come on, it doesn't really matter!\Rules are rules.\Come on!\Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture.\Noah! response:	Hey, wait!
context: Come on, it doesn't really matter!\Rules are rules.\Come on!\Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture.\Noah!\Hey, wait! response:	If something happened to him, Naru would get mad at me!
context: Rules are rules.\Come on!\Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture.\Noah!\Hey, wait!\If something happened to him, Naru would get mad at me! response:	Oh, is that so important?
context: Come on!\Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture.\Noah!\Hey, wait!\If something happened to him, Naru would get mad at me!\Oh, is that so important? response:	Is that girl on the island your girlfriend?
context: Next order of business.\Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture.\Noah!\Hey, wait!\If something happened to him, Naru would get mad at me!\Oh, is that so important?\Is that girl on the island your girlfriend? response:	No, she's not.
context: Moments ago, a peculiar intruder was spotted at headquarters.\We assume it's a sloth. So far, it has escaped capture.\Noah!\Hey, wait!\If something happened to him, Naru would get mad at me!\Oh, is that so important?\Is that girl on the island your girlfriend?\No, she's not. response:	Anyway, I have to look for him!
context: We assume it's a sloth. So far, it has escaped capture.\Noah!\Hey, wait!\If something happened to him, Naru would get mad at me!\Oh, is that so important?\Is that girl on the island your girlfriend?\No, she's not.\Anyway, I have to look for him! response:	Wait!
context: Noah!\Hey, wait!\If something happened to him, Naru would get mad at me!\Oh, is that so important?\Is that girl on the island your girlfriend?\No, she's not.\Anyway, I have to look for him!\Wait! response:	I am the president of Generation Bleu, Christophe Blanc.
context: Hey, wait!\If something happened to him, Naru would get mad at me!\Oh, is that so important?\Is that girl on the island your girlfriend?\No, she's not.\Anyway, I have to look for him!\Wait!\I am the president of Generation Bleu, Christophe Blanc. response:	Do you have something interesting for me?
context: If something happened to him, Naru would get mad at me!\Oh, is that so important?\Is that girl on the island your girlfriend?\No, she's not.\Anyway, I have to look for him!\Wait!\I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me? response:	Han.
context: Oh, is that so important?\Is that girl on the island your girlfriend?\No, she's not.\Anyway, I have to look for him!\Wait!\I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me?\Han. response:	When your IFOs took something out of the Scub,
context: Is that girl on the island your girlfriend?\No, she's not.\Anyway, I have to look for him!\Wait!\I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me?\Han.\When your IFOs took something out of the Scub, response:	it turned gray and the bursts calmed down.
context: No, she's not.\Anyway, I have to look for him!\Wait!\I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me?\Han.\When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down. response:	So this is how you do your hyper-rescues?
context: Anyway, I have to look for him!\Wait!\I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me?\Han.\When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues? response:	No one knows this little secret, I guess.
context: Wait!\I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me?\Han.\When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues?\No one knows this little secret, I guess. response:	Our company focuses on studying the Scub Coral.
context: I am the president of Generation Bleu, Christophe Blanc.\Do you have something interesting for me?\Han.\When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues?\No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral. response:	There's nothing weird about this.
context: Do you have something interesting for me?\Han.\When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues?\No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral.\There's nothing weird about this. response:	The interesting part comes now.
context: Han.\When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues?\No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral.\There's nothing weird about this.\The interesting part comes now. response:	I've seen that kind of shiny thing before.
context: When your IFOs took something out of the Scub,\it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues?\No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral.\There's nothing weird about this.\The interesting part comes now.\I've seen that kind of shiny thing before. response:	I got something like that planted on my FP,
context: it turned gray and the bursts calmed down.\So this is how you do your hyper-rescues?\No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral.\There's nothing weird about this.\The interesting part comes now.\I've seen that kind of shiny thing before.\I got something like that planted on my FP, response:	but then some Scub appeared from it, and bursted.
context: So this is how you do your hyper-rescues?\No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral.\There's nothing weird about this.\The interesting part comes now.\I've seen that kind of shiny thing before.\I got something like that planted on my FP,\but then some Scub appeared from it, and bursted. response:	Is your company really an innocent volunteer organization as you portray yourselves to be?
context: No one knows this little secret, I guess.\Our company focuses on studying the Scub Coral.\There's nothing weird about this.\The interesting part comes now.\I've seen that kind of shiny thing before.\I got something like that planted on my FP,\but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be? response:	I see.
context: Our company focuses on studying the Scub Coral.\There's nothing weird about this.\The interesting part comes now.\I've seen that kind of shiny thing before.\I got something like that planted on my FP,\but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be?\I see. response:	You boys piqued my interest.
context: There's nothing weird about this.\The interesting part comes now.\I've seen that kind of shiny thing before.\I got something like that planted on my FP,\but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be?\I see.\You boys piqued my interest. response:	Not here either.
context: The interesting part comes now.\I've seen that kind of shiny thing before.\I got something like that planted on my FP,\but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be?\I see.\You boys piqued my interest.\Not here either. response:	Miss... Elena?
context: I've seen that kind of shiny thing before.\I got something like that planted on my FP,\but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be?\I see.\You boys piqued my interest.\Not here either.\Miss... Elena? response:	Sorry. I'll search seriously now.
context: I got something like that planted on my FP,\but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be?\I see.\You boys piqued my interest.\Not here either.\Miss... Elena?\Sorry. I'll search seriously now. response:	Do you really mean it?
context: but then some Scub appeared from it, and bursted.\Is your company really an innocent volunteer organization as you portray yourselves to be?\I see.\You boys piqued my interest.\Not here either.\Miss... Elena?\Sorry. I'll search seriously now.\Do you really mean it? response:	Oh look, a sloth!
context: Is your company really an innocent volunteer organization as you portray yourselves to be?\I see.\You boys piqued my interest.\Not here either.\Miss... Elena?\Sorry. I'll search seriously now.\Do you really mean it?\Oh look, a sloth! response:	Where did you come from?
context: I see.\You boys piqued my interest.\Not here either.\Miss... Elena?\Sorry. I'll search seriously now.\Do you really mean it?\Oh look, a sloth!\Where did you come from? response:	Here, have some!
context: You boys piqued my interest.\Not here either.\Miss... Elena?\Sorry. I'll search seriously now.\Do you really mean it?\Oh look, a sloth!\Where did you come from?\Here, have some! response:	Look, he likes it!
context: Not here either.\Miss... Elena?\Sorry. I'll search seriously now.\Do you really mean it?\Oh look, a sloth!\Where did you come from?\Here, have some!\Look, he likes it! response:	Chloe, be careful!
context: Miss... Elena?\Sorry. I'll search seriously now.\Do you really mean it?\Oh look, a sloth!\Where did you come from?\Here, have some!\Look, he likes it!\Chloe, be careful! response:	Something wrong?
context: Sorry. I'll search seriously now.\Do you really mean it?\Oh look, a sloth!\Where did you come from?\Here, have some!\Look, he likes it!\Chloe, be careful!\Something wrong? response:	What are you doing, Maev?
context: Do you really mean it?\Oh look, a sloth!\Where did you come from?\Here, have some!\Look, he likes it!\Chloe, be careful!\Something wrong?\What are you doing, Maev? response:	But...
context: Oh look, a sloth!\Where did you come from?\Here, have some!\Look, he likes it!\Chloe, be careful!\Something wrong?\What are you doing, Maev?\But... response:	Stay still, Maggie!
context: Where did you come from?\Here, have some!\Look, he likes it!\Chloe, be careful!\Something wrong?\What are you doing, Maev?\But...\Stay still, Maggie! response:	They're Goldilocks, another IFO team just like us.
context: Here, have some!\Look, he likes it!\Chloe, be careful!\Something wrong?\What are you doing, Maev?\But...\Stay still, Maggie!\They're Goldilocks, another IFO team just like us. response:	Their attitudes are totally different.
