context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	Hey, Kasukabe.
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Hey, Kasukabe. response:	Why don't you try cosplaying at the next school festival?
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Hey, Kasukabe.\Why don't you try cosplaying at the next school festival? response:	What?
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Hey, Kasukabe.\Why don't you try cosplaying at the next school festival?\What? response:	For starters, I recommend Parn and Deedlit.
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Hey, Kasukabe.\Why don't you try cosplaying at the next school festival?\What?\For starters, I recommend Parn and Deedlit. response:	I can't stand this guy.
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\Hey, Kasukabe.\Why don't you try cosplaying at the next school festival?\What?\For starters, I recommend Parn and Deedlit.\I can't stand this guy. response:	Well?
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\Hey, Kasukabe.\Why don't you try cosplaying at the next school festival?\What?\For starters, I recommend Parn and Deedlit.\I can't stand this guy.\Well? response:	What the heck is a Parn?
context: Genshiken Right now, at this tempo!\Hey, Kasukabe.\Why don't you try cosplaying at the next school festival?\What?\For starters, I recommend Parn and Deedlit.\I can't stand this guy.\Well?\What the heck is a Parn? response:	Parn is a knight, and Deedlit is an elf.
context: Hey, Kasukabe.\Why don't you try cosplaying at the next school festival?\What?\For starters, I recommend Parn and Deedlit.\I can't stand this guy.\Well?\What the heck is a Parn?\Parn is a knight, and Deedlit is an elf. response:	Oh! An elf?
context: Why don't you try cosplaying at the next school festival?\What?\For starters, I recommend Parn and Deedlit.\I can't stand this guy.\Well?\What the heck is a Parn?\Parn is a knight, and Deedlit is an elf.\Oh! An elf? response:	Like in Lord of the Rings!
context: What?\For starters, I recommend Parn and Deedlit.\I can't stand this guy.\Well?\What the heck is a Parn?\Parn is a knight, and Deedlit is an elf.\Oh! An elf?\Like in Lord of the Rings! response:	What should I do?
context: For starters, I recommend Parn and Deedlit.\I can't stand this guy.\Well?\What the heck is a Parn?\Parn is a knight, and Deedlit is an elf.\Oh! An elf?\Like in Lord of the Rings!\What should I do? response:	I love Lord of the Rings!
context: I can't stand this guy.\Well?\What the heck is a Parn?\Parn is a knight, and Deedlit is an elf.\Oh! An elf?\Like in Lord of the Rings!\What should I do?\I love Lord of the Rings! response:	To be precise, she's a high elf.
context: Well?\What the heck is a Parn?\Parn is a knight, and Deedlit is an elf.\Oh! An elf?\Like in Lord of the Rings!\What should I do?\I love Lord of the Rings!\To be precise, she's a high elf. response:	But she's not thin enough to be an elf...
context: What the heck is a Parn?\Parn is a knight, and Deedlit is an elf.\Oh! An elf?\Like in Lord of the Rings!\What should I do?\I love Lord of the Rings!\To be precise, she's a high elf.\But she's not thin enough to be an elf... response:	Yeah, I figured it might work if he's Deedlit and she's Parn.
context: Parn is a knight, and Deedlit is an elf.\Oh! An elf?\Like in Lord of the Rings!\What should I do?\I love Lord of the Rings!\To be precise, she's a high elf.\But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn. response:	What a maniac!
context: Oh! An elf?\Like in Lord of the Rings!\What should I do?\I love Lord of the Rings!\To be precise, she's a high elf.\But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac! response:	Well why not?
context: Like in Lord of the Rings!\What should I do?\I love Lord of the Rings!\To be precise, she's a high elf.\But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac!\Well why not? response:	All we do is set up and show the same stuff every year.
context: What should I do?\I love Lord of the Rings!\To be precise, she's a high elf.\But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac!\Well why not?\All we do is set up and show the same stuff every year. response:	This might liven things up.
context: I love Lord of the Rings!\To be precise, she's a high elf.\But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac!\Well why not?\All we do is set up and show the same stuff every year.\This might liven things up. response:	Ow!
context: To be precise, she's a high elf.\But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac!\Well why not?\All we do is set up and show the same stuff every year.\This might liven things up.\Ow! response:	Full recovery in two months, huh?
context: But she's not thin enough to be an elf...\Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac!\Well why not?\All we do is set up and show the same stuff every year.\This might liven things up.\Ow!\Full recovery in two months, huh? response:	Want it to take a little longer?
context: Yeah, I figured it might work if he's Deedlit and she's Parn.\What a maniac!\Well why not?\All we do is set up and show the same stuff every year.\This might liven things up.\Ow!\Full recovery in two months, huh?\Want it to take a little longer? response:	I get the point, let go!
context: What a maniac!\Well why not?\All we do is set up and show the same stuff every year.\This might liven things up.\Ow!\Full recovery in two months, huh?\Want it to take a little longer?\I get the point, let go! response:	Hey, I just know you two would look great.
context: Well why not?\All we do is set up and show the same stuff every year.\This might liven things up.\Ow!\Full recovery in two months, huh?\Want it to take a little longer?\I get the point, let go!\Hey, I just know you two would look great. response:	Not on your life!
context: All we do is set up and show the same stuff every year.\This might liven things up.\Ow!\Full recovery in two months, huh?\Want it to take a little longer?\I get the point, let go!\Hey, I just know you two would look great.\Not on your life! response:	Then how about Bridget and Ino?
context: This might liven things up.\Ow!\Full recovery in two months, huh?\Want it to take a little longer?\I get the point, let go!\Hey, I just know you two would look great.\Not on your life!\Then how about Bridget and Ino? response:	I don't even know them, but no!
context: Ow!\Full recovery in two months, huh?\Want it to take a little longer?\I get the point, let go!\Hey, I just know you two would look great.\Not on your life!\Then how about Bridget and Ino?\I don't even know them, but no! response:	Well then...
context: Full recovery in two months, huh?\Want it to take a little longer?\I get the point, let go!\Hey, I just know you two would look great.\Not on your life!\Then how about Bridget and Ino?\I don't even know them, but no!\Well then... response:	Come in.
context: Want it to take a little longer?\I get the point, let go!\Hey, I just know you two would look great.\Not on your life!\Then how about Bridget and Ino?\I don't even know them, but no!\Well then...\Come in. response:	Uh, excuse me...
context: I get the point, let go!\Hey, I just know you two would look great.\Not on your life!\Then how about Bridget and Ino?\I don't even know them, but no!\Well then...\Come in.\Uh, excuse me... response:	Um, um, is this Genshiken?
context: Hey, I just know you two would look great.\Not on your life!\Then how about Bridget and Ino?\I don't even know them, but no!\Well then...\Come in.\Uh, excuse me...\Um, um, is this Genshiken? response:	Yeah, it is...
context: Not on your life!\Then how about Bridget and Ino?\I don't even know them, but no!\Well then...\Come in.\Uh, excuse me...\Um, um, is this Genshiken?\Yeah, it is... response:	I want to find out more about it.
context: Then how about Bridget and Ino?\I don't even know them, but no!\Well then...\Come in.\Uh, excuse me...\Um, um, is this Genshiken?\Yeah, it is...\I want to find out more about it. response:	You do?
context: I don't even know them, but no!\Well then...\Come in.\Uh, excuse me...\Um, um, is this Genshiken?\Yeah, it is...\I want to find out more about it.\You do? response:	Aren't you making some mistake?
context: Well then...\Come in.\Uh, excuse me...\Um, um, is this Genshiken?\Yeah, it is...\I want to find out more about it.\You do?\Aren't you making some mistake? response:	This is the Society for the Study of Modern Visual Culture.
context: Come in.\Uh, excuse me...\Um, um, is this Genshiken?\Yeah, it is...\I want to find out more about it.\You do?\Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture. response:	I know.
context: Uh, excuse me...\Um, um, is this Genshiken?\Yeah, it is...\I want to find out more about it.\You do?\Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture.\I know. response:	It's a haven for otaku.
context: Um, um, is this Genshiken?\Yeah, it is...\I want to find out more about it.\You do?\Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture.\I know.\It's a haven for otaku. response:	A chair, Sasahara.
context: Yeah, it is...\I want to find out more about it.\You do?\Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture.\I know.\It's a haven for otaku.\A chair, Sasahara. response:	R-Right.
context: I want to find out more about it.\You do?\Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture.\I know.\It's a haven for otaku.\A chair, Sasahara.\R-Right. response:	Have a seat.
context: You do?\Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture.\I know.\It's a haven for otaku.\A chair, Sasahara.\R-Right.\Have a seat. response:	Oh, all right...
context: Aren't you making some mistake?\This is the Society for the Study of Modern Visual Culture.\I know.\It's a haven for otaku.\A chair, Sasahara.\R-Right.\Have a seat.\Oh, all right... response:	Here you go.
context: This is the Society for the Study of Modern Visual Culture.\I know.\It's a haven for otaku.\A chair, Sasahara.\R-Right.\Have a seat.\Oh, all right...\Here you go. response:	T-Thank you.
context: I know.\It's a haven for otaku.\A chair, Sasahara.\R-Right.\Have a seat.\Oh, all right...\Here you go.\T-Thank you. response:	For the record, I'm not one of them.
context: It's a haven for otaku.\A chair, Sasahara.\R-Right.\Have a seat.\Oh, all right...\Here you go.\T-Thank you.\For the record, I'm not one of them. response:	This is my boyfriend, and he's a member.
context: A chair, Sasahara.\R-Right.\Have a seat.\Oh, all right...\Here you go.\T-Thank you.\For the record, I'm not one of them.\This is my boyfriend, and he's a member. response:	My name's Kohsaka and I'm a freshman.
context: R-Right.\Have a seat.\Oh, all right...\Here you go.\T-Thank you.\For the record, I'm not one of them.\This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman. response:	I'm Kanako Ohno, also a freshman...
context: Have a seat.\Oh, all right...\Here you go.\T-Thank you.\For the record, I'm not one of them.\This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman... response:	Um, I've just returned from living in America, and I'll enroll next semester...
context: Oh, all right...\Here you go.\T-Thank you.\For the record, I'm not one of them.\This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester... response:	You lived abroad, huh?
context: Here you go.\T-Thank you.\For the record, I'm not one of them.\This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh? response:	Yes...
context: T-Thank you.\For the record, I'm not one of them.\This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh?\Yes... response:	This Genshiken crew would joke, saying it's just so-so.
context: For the record, I'm not one of them.\This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh?\Yes...\This Genshiken crew would joke, saying it's just so-so. response:	I'm Saki Kasukabe.
context: This is my boyfriend, and he's a member.\My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh?\Yes...\This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe. response:	I'm a freshman too. Nice to meet you.
context: My name's Kohsaka and I'm a freshman.\I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh?\Yes...\This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you. response:	It's nice to meet you too.
context: I'm Kanako Ohno, also a freshman...\Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh?\Yes...\This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you.\It's nice to meet you too. response:	Take my word for it, forget this club.
context: Um, I've just returned from living in America, and I'll enroll next semester...\You lived abroad, huh?\Yes...\This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you.\It's nice to meet you too.\Take my word for it, forget this club. response:	You'd have to cosplay and whatnot.
context: You lived abroad, huh?\Yes...\This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you.\It's nice to meet you too.\Take my word for it, forget this club.\You'd have to cosplay and whatnot. response:	What?
context: Yes...\This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you.\It's nice to meet you too.\Take my word for it, forget this club.\You'd have to cosplay and whatnot.\What? response:	No normal person would ever do that.
context: This Genshiken crew would joke, saying it's just so-so.\I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you.\It's nice to meet you too.\Take my word for it, forget this club.\You'd have to cosplay and whatnot.\What?\No normal person would ever do that. response:	Uh, I've done it before.
context: I'm Saki Kasukabe.\I'm a freshman too. Nice to meet you.\It's nice to meet you too.\Take my word for it, forget this club.\You'd have to cosplay and whatnot.\What?\No normal person would ever do that.\Uh, I've done it before. response:	You see?
context: I'm a freshman too. Nice to meet you.\It's nice to meet you too.\Take my word for it, forget this club.\You'd have to cosplay and whatnot.\What?\No normal person would ever do that.\Uh, I've done it before.\You see? response:	What?
context: It's nice to meet you too.\Take my word for it, forget this club.\You'd have to cosplay and whatnot.\What?\No normal person would ever do that.\Uh, I've done it before.\You see?\What? response:	Wait a second, seriously?
context: Take my word for it, forget this club.\You'd have to cosplay and whatnot.\What?\No normal person would ever do that.\Uh, I've done it before.\You see?\What?\Wait a second, seriously? response:	T-Then why don't I make you some costumes?
context: You'd have to cosplay and whatnot.\What?\No normal person would ever do that.\Uh, I've done it before.\You see?\What?\Wait a second, seriously?\T-Then why don't I make you some costumes? response:	Oh, that would be nice.
context: What?\No normal person would ever do that.\Uh, I've done it before.\You see?\What?\Wait a second, seriously?\T-Then why don't I make you some costumes?\Oh, that would be nice. response:	All mine so far have been pre-made.
context: No normal person would ever do that.\Uh, I've done it before.\You see?\What?\Wait a second, seriously?\T-Then why don't I make you some costumes?\Oh, that would be nice.\All mine so far have been pre-made. response:	For real?
context: Uh, I've done it before.\You see?\What?\Wait a second, seriously?\T-Then why don't I make you some costumes?\Oh, that would be nice.\All mine so far have been pre-made.\For real? response:	You've done it before?
context: You see?\What?\Wait a second, seriously?\T-Then why don't I make you some costumes?\Oh, that would be nice.\All mine so far have been pre-made.\For real?\You've done it before? response:	Uh, yes...
context: What?\Wait a second, seriously?\T-Then why don't I make you some costumes?\Oh, that would be nice.\All mine so far have been pre-made.\For real?\You've done it before?\Uh, yes... response:	like Queen Amida from Waremono Chuiki...
context: Wait a second, seriously?\T-Then why don't I make you some costumes?\Oh, that would be nice.\All mine so far have been pre-made.\For real?\You've done it before?\Uh, yes...\like Queen Amida from Waremono Chuiki... response:	That's kind of on the old side.
context: T-Then why don't I make you some costumes?\Oh, that would be nice.\All mine so far have been pre-made.\For real?\You've done it before?\Uh, yes...\like Queen Amida from Waremono Chuiki...\That's kind of on the old side. response:	Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.
context: Oh, that would be nice.\All mine so far have been pre-made.\For real?\You've done it before?\Uh, yes...\like Queen Amida from Waremono Chuiki...\That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer. response:	Tanaka is crying.
context: All mine so far have been pre-made.\For real?\You've done it before?\Uh, yes...\like Queen Amida from Waremono Chuiki...\That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying. response:	You look like you'd be cute if you took care of yourself, so why?
context: For real?\You've done it before?\Uh, yes...\like Queen Amida from Waremono Chuiki...\That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why? response:	They'll find out your sizes!
context: You've done it before?\Uh, yes...\like Queen Amida from Waremono Chuiki...\That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes! response:	They'll measure you!
context: Uh, yes...\like Queen Amida from Waremono Chuiki...\That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes!\They'll measure you! response:	Uh, um, um...
context: like Queen Amida from Waremono Chuiki...\That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes!\They'll measure you!\Uh, um, um... response:	When it comes time to measure, I'll let you do it, and...
context: That's kind of on the old side.\Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes!\They'll measure you!\Uh, um, um...\When it comes time to measure, I'll let you do it, and... response:	That's even creepier.
context: Wow, if she j-joins, it'll be the b-birth of Genshiken's female cosplayer.\Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes!\They'll measure you!\Uh, um, um...\When it comes time to measure, I'll let you do it, and...\That's even creepier. response:	What's the big deal? This is something she wants to do.
context: Tanaka is crying.\You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes!\They'll measure you!\Uh, um, um...\When it comes time to measure, I'll let you do it, and...\That's even creepier.\What's the big deal? This is something she wants to do. response:	What?
context: You look like you'd be cute if you took care of yourself, so why?\They'll find out your sizes!\They'll measure you!\Uh, um, um...\When it comes time to measure, I'll let you do it, and...\That's even creepier.\What's the big deal? This is something she wants to do.\What? response:	When someone knows the fun of cosplaying, you can't talk them out of it!
context: They'll find out your sizes!\They'll measure you!\Uh, um, um...\When it comes time to measure, I'll let you do it, and...\That's even creepier.\What's the big deal? This is something she wants to do.\What?\When someone knows the fun of cosplaying, you can't talk them out of it! response:	That said it all.
context: They'll measure you!\Uh, um, um...\When it comes time to measure, I'll let you do it, and...\That's even creepier.\What's the big deal? This is something she wants to do.\What?\When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all. response:	Mr. Chairman, let's do this for the Culture Festival.
context: Uh, um, um...\When it comes time to measure, I'll let you do it, and...\That's even creepier.\What's the big deal? This is something she wants to do.\What?\When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all.\Mr. Chairman, let's do this for the Culture Festival. response:	But she hasn't said she's joining the club yet.
context: When it comes time to measure, I'll let you do it, and...\That's even creepier.\What's the big deal? This is something she wants to do.\What?\When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all.\Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet. response:	What character would you like, then?
context: That's even creepier.\What's the big deal? This is something she wants to do.\What?\When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all.\Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet.\What character would you like, then? response:	I'll get to it on the double.
context: What's the big deal? This is something she wants to do.\What?\When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all.\Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet.\What character would you like, then?\I'll get to it on the double. response:	I don't know much about the latest things in Japan...
context: What?\When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all.\Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet.\What character would you like, then?\I'll get to it on the double.\I don't know much about the latest things in Japan... response:	She really is into this.
context: When someone knows the fun of cosplaying, you can't talk them out of it!\That said it all.\Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet.\What character would you like, then?\I'll get to it on the double.\I don't know much about the latest things in Japan...\She really is into this. response:	That's fine.
context: That said it all.\Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet.\What character would you like, then?\I'll get to it on the double.\I don't know much about the latest things in Japan...\She really is into this.\That's fine. response:	Choosing a character you like is most important.
context: Mr. Chairman, let's do this for the Culture Festival.\But she hasn't said she's joining the club yet.\What character would you like, then?\I'll get to it on the double.\I don't know much about the latest things in Japan...\She really is into this.\That's fine.\Choosing a character you like is most important. response:	Um, then, a character I can do with my hair.
context: But she hasn't said she's joining the club yet.\What character would you like, then?\I'll get to it on the double.\I don't know much about the latest things in Japan...\She really is into this.\That's fine.\Choosing a character you like is most important.\Um, then, a character I can do with my hair. response:	In that case, I think the Vice-President from Kujiun or...
context: What character would you like, then?\I'll get to it on the double.\I don't know much about the latest things in Japan...\She really is into this.\That's fine.\Choosing a character you like is most important.\Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or... response:	Are we really measuring at my place?
context: I'll get to it on the double.\I don't know much about the latest things in Japan...\She really is into this.\That's fine.\Choosing a character you like is most important.\Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place? response:	It still hasn't been put away.
context: I don't know much about the latest things in Japan...\She really is into this.\That's fine.\Choosing a character you like is most important.\Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place?\It still hasn't been put away. response:	That's fine.
context: She really is into this.\That's fine.\Choosing a character you like is most important.\Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place?\It still hasn't been put away.\That's fine. response:	I don't want to go to their pads, and I don't want to let them in mine.
context: That's fine.\Choosing a character you like is most important.\Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place?\It still hasn't been put away.\That's fine.\I don't want to go to their pads, and I don't want to let them in mine. response:	So yours is the only one left.
context: Choosing a character you like is most important.\Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place?\It still hasn't been put away.\That's fine.\I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left. response:	That was mean.
context: Um, then, a character I can do with my hair.\In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place?\It still hasn't been put away.\That's fine.\I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left.\That was mean. response:	I-Is that so?
context: In that case, I think the Vice-President from Kujiun or...\Are we really measuring at my place?\It still hasn't been put away.\That's fine.\I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left.\That was mean.\I-Is that so? response:	Come on, let's just go.
context: Are we really measuring at my place?\It still hasn't been put away.\That's fine.\I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left.\That was mean.\I-Is that so?\Come on, let's just go. response:	A female otaku's place...
context: It still hasn't been put away.\That's fine.\I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left.\That was mean.\I-Is that so?\Come on, let's just go.\A female otaku's place... response:	I have to see this...
context: That's fine.\I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left.\That was mean.\I-Is that so?\Come on, let's just go.\A female otaku's place...\I have to see this... response:	Um, would you mind waiting here a minute?
context: I don't want to go to their pads, and I don't want to let them in mine.\So yours is the only one left.\That was mean.\I-Is that so?\Come on, let's just go.\A female otaku's place...\I have to see this...\Um, would you mind waiting here a minute? response:	I'll clean up a little.
context: So yours is the only one left.\That was mean.\I-Is that so?\Come on, let's just go.\A female otaku's place...\I have to see this...\Um, would you mind waiting here a minute?\I'll clean up a little. response:	Oh, then I'll help you.
context: That was mean.\I-Is that so?\Come on, let's just go.\A female otaku's place...\I have to see this...\Um, would you mind waiting here a minute?\I'll clean up a little.\Oh, then I'll help you. response:	It won't take long.
context: I-Is that so?\Come on, let's just go.\A female otaku's place...\I have to see this...\Um, would you mind waiting here a minute?\I'll clean up a little.\Oh, then I'll help you.\It won't take long. response:	Damn!
context: Come on, let's just go.\A female otaku's place...\I have to see this...\Um, would you mind waiting here a minute?\I'll clean up a little.\Oh, then I'll help you.\It won't take long.\Damn! response:	Damn?
context: A female otaku's place...\I have to see this...\Um, would you mind waiting here a minute?\I'll clean up a little.\Oh, then I'll help you.\It won't take long.\Damn!\Damn? response:	She didn't lock the door just now.
context: I have to see this...\Um, would you mind waiting here a minute?\I'll clean up a little.\Oh, then I'll help you.\It won't take long.\Damn!\Damn?\She didn't lock the door just now. response:	You shouldn't do that.
context: Um, would you mind waiting here a minute?\I'll clean up a little.\Oh, then I'll help you.\It won't take long.\Damn!\Damn?\She didn't lock the door just now.\You shouldn't do that. response:	Oh no?
context: I'll clean up a little.\Oh, then I'll help you.\It won't take long.\Damn!\Damn?\She didn't lock the door just now.\You shouldn't do that.\Oh no? response:	I won't go.
context: Oh, then I'll help you.\It won't take long.\Damn!\Damn?\She didn't lock the door just now.\You shouldn't do that.\Oh no?\I won't go. response:	Fine.
