context: The conflict began from a single spark, response:	and has grown into a massive war.
context: This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power\that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth! response:	In the name of the Empress of Vers,
context: This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power\that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers, response:	I command all Orbital Knights who are listening to this transmission
context: I feel both shame and a deep regret over our use of power\that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission response:	to cease hostilities immediately!
context: that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately! response:	Impossible!
context: I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately!\Impossible! response:	Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?
context: and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately!\Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard? response:	What about the all-out offensive on the UFE?
context: I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately!\Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE? response:	Wait. Do nothing for now. We'll see which way the wind blows.
context: We, the imperial family of the Vers Empire, wish to make peace with Earth!\In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately!\Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows. response:	I should have known. Lord Troyard was a lowborn Terran.
context: In the name of the Empress of Vers,\I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately!\Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran. response:	His attempts to inveigle his way into the imperial family are offensive.
context: I command all Orbital Knights who are listening to this transmission\to cease hostilities immediately!\Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive. response:	What is the meaning of this?! Sir Harklight, we're returning to base!
context: to cease hostilities immediately!\Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base! response:	Lord Slaine...
context: Impossible!\Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine... response:	Shooting Star of Yesteryear
context: Wasn't Princess Asseylum going to found a new dynasty with Lord Troyard?\What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine...\Shooting Star of Yesteryear response:	Why are they still fighting?!
context: What about the all-out offensive on the UFE?\Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine...\Shooting Star of Yesteryear\Why are they still fighting?! response:	The princess just declared that they must stop!
context: Wait. Do nothing for now. We'll see which way the wind blows.\I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine...\Shooting Star of Yesteryear\Why are they still fighting?!\The princess just declared that they must stop! response:	The moonbase's forces are still itching for action.
context: I should have known. Lord Troyard was a lowborn Terran.\His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine...\Shooting Star of Yesteryear\Why are they still fighting?!\The princess just declared that they must stop!\The moonbase's forces are still itching for action. response:	Stay sharp, everyone! The battle isn't over!
context: His attempts to inveigle his way into the imperial family are offensive.\What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine...\Shooting Star of Yesteryear\Why are they still fighting?!\The princess just declared that they must stop!\The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over! response:	Did you hear that?
context: What is the meaning of this?! Sir Harklight, we're returning to base!\Lord Slaine...\Shooting Star of Yesteryear\Why are they still fighting?!\The princess just declared that they must stop!\The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over!\Did you hear that? response:	Yeah...
context: Lord Slaine...\Shooting Star of Yesteryear\Why are they still fighting?!\The princess just declared that they must stop!\The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over!\Did you hear that?\Yeah... response:	That Princess Asseylum just now...
context: Shooting Star of Yesteryear\Why are they still fighting?!\The princess just declared that they must stop!\The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over!\Did you hear that?\Yeah...\That Princess Asseylum just now... response:	Um, that Empress Asseylum was the princess I remember.
context: Why are they still fighting?!\The princess just declared that they must stop!\The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over!\Did you hear that?\Yeah...\That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember. response:	Yeah...
context: The princess just declared that they must stop!\The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over!\Did you hear that?\Yeah...\That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember.\Yeah... response:	So it's just as Lt. Kaizuka predicted.
context: The moonbase's forces are still itching for action.\Stay sharp, everyone! The battle isn't over!\Did you hear that?\Yeah...\That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember.\Yeah...\So it's just as Lt. Kaizuka predicted. response:	Then that cease-fire order was also genuine.
context: Stay sharp, everyone! The battle isn't over!\Did you hear that?\Yeah...\That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember.\Yeah...\So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine. response:	The enemies in front of us don't seem interested in laying down arms, though.
context: Did you hear that?\Yeah...\That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember.\Yeah...\So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though. response:	Any word from HQ?
context: Yeah...\That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember.\Yeah...\So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ? response:	No instructions, ma'am. So it's continue operation.
context: That Princess Asseylum just now...\Um, that Empress Asseylum was the princess I remember.\Yeah...\So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ?\No instructions, ma'am. So it's continue operation. response:	Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.
context: Um, that Empress Asseylum was the princess I remember.\Yeah...\So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ?\No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities. response:	Empress Asseylum's location?
context: Yeah...\So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ?\No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location? response:	That transmission originated from Count Mazuurek's Landing Castle.
context: So it's just as Lt. Kaizuka predicted.\Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ?\No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle. response:	She's abandoned the Moon? Or has there been a split?
context: Then that cease-fire order was also genuine.\The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ?\No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split? response:	Count Troyard, what of Empress Asseylum's order?
context: The enemies in front of us don't seem interested in laying down arms, though.\Any word from HQ?\No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order? response:	Order? What order?
context: Any word from HQ?\No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order?\Order? What order? response:	My apologies, Lord.
context: No instructions, ma'am. So it's continue operation.\Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order?\Order? What order?\My apologies, Lord. response:	I'm surprised. I didn't think her capable of that.
context: Neither the moonbase nor Landing Castles are showing any intent to cease hostilities.\Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order?\Order? What order?\My apologies, Lord.\I'm surprised. I didn't think her capable of that. response:	Princess Lemrina.
context: Empress Asseylum's location?\That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order?\Order? What order?\My apologies, Lord.\I'm surprised. I didn't think her capable of that.\Princess Lemrina. response:	What is truly important is the imperial family's blood.
context: That transmission originated from Count Mazuurek's Landing Castle.\She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order?\Order? What order?\My apologies, Lord.\I'm surprised. I didn't think her capable of that.\Princess Lemrina.\What is truly important is the imperial family's blood. response:	So long as you still have Aldnoah activation privileges,
context: She's abandoned the Moon? Or has there been a split?\Count Troyard, what of Empress Asseylum's order?\Order? What order?\My apologies, Lord.\I'm surprised. I didn't think her capable of that.\Princess Lemrina.\What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges, response:	can you not still make your dream come true?
context: Count Troyard, what of Empress Asseylum's order?\Order? What order?\My apologies, Lord.\I'm surprised. I didn't think her capable of that.\Princess Lemrina.\What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges,\can you not still make your dream come true? response:	I am not going anywhere.
context: Order? What order?\My apologies, Lord.\I'm surprised. I didn't think her capable of that.\Princess Lemrina.\What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges,\can you not still make your dream come true?\I am not going anywhere. response:	After all, this is the only place that I can call home.
context: My apologies, Lord.\I'm surprised. I didn't think her capable of that.\Princess Lemrina.\What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges,\can you not still make your dream come true?\I am not going anywhere.\After all, this is the only place that I can call home. response:	So please...
context: I'm surprised. I didn't think her capable of that.\Princess Lemrina.\What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges,\can you not still make your dream come true?\I am not going anywhere.\After all, this is the only place that I can call home.\So please... response:	Yes, of course.
context: Princess Lemrina.\What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges,\can you not still make your dream come true?\I am not going anywhere.\After all, this is the only place that I can call home.\So please...\Yes, of course. response:	Your kindness is touching, Princess Lemrina.
context: What is truly important is the imperial family's blood.\So long as you still have Aldnoah activation privileges,\can you not still make your dream come true?\I am not going anywhere.\After all, this is the only place that I can call home.\So please...\Yes, of course.\Your kindness is touching, Princess Lemrina. response:	Let's be off.
context: So long as you still have Aldnoah activation privileges,\can you not still make your dream come true?\I am not going anywhere.\After all, this is the only place that I can call home.\So please...\Yes, of course.\Your kindness is touching, Princess Lemrina.\Let's be off. response:	Of course.
context: can you not still make your dream come true?\I am not going anywhere.\After all, this is the only place that I can call home.\So please...\Yes, of course.\Your kindness is touching, Princess Lemrina.\Let's be off.\Of course. response:	It's lovely...
context: I am not going anywhere.\After all, this is the only place that I can call home.\So please...\Yes, of course.\Your kindness is touching, Princess Lemrina.\Let's be off.\Of course.\It's lovely... response:	Was that a terrible thing to say?
context: After all, this is the only place that I can call home.\So please...\Yes, of course.\Your kindness is touching, Princess Lemrina.\Let's be off.\Of course.\It's lovely...\Was that a terrible thing to say? response:	I have seen a great many things while flying among those lights.
context: So please...\Yes, of course.\Your kindness is touching, Princess Lemrina.\Let's be off.\Of course.\It's lovely...\Was that a terrible thing to say?\I have seen a great many things while flying among those lights. response:	Many things?
context: Yes, of course.\Your kindness is touching, Princess Lemrina.\Let's be off.\Of course.\It's lovely...\Was that a terrible thing to say?\I have seen a great many things while flying among those lights.\Many things? response:	The future.
context: Your kindness is touching, Princess Lemrina.\Let's be off.\Of course.\It's lovely...\Was that a terrible thing to say?\I have seen a great many things while flying among those lights.\Many things?\The future. response:	The future...
context: Let's be off.\Of course.\It's lovely...\Was that a terrible thing to say?\I have seen a great many things while flying among those lights.\Many things?\The future.\The future... response:	All of it, both good and bad.
context: Of course.\It's lovely...\Was that a terrible thing to say?\I have seen a great many things while flying among those lights.\Many things?\The future.\The future...\All of it, both good and bad. response:	Only the immediate future can be seen.
context: It's lovely...\Was that a terrible thing to say?\I have seen a great many things while flying among those lights.\Many things?\The future.\The future...\All of it, both good and bad.\Only the immediate future can be seen. response:	I thought that I knew everything.
context: Was that a terrible thing to say?\I have seen a great many things while flying among those lights.\Many things?\The future.\The future...\All of it, both good and bad.\Only the immediate future can be seen.\I thought that I knew everything. response:	Many things unfolded exactly as I foresaw.
context: I have seen a great many things while flying among those lights.\Many things?\The future.\The future...\All of it, both good and bad.\Only the immediate future can be seen.\I thought that I knew everything.\Many things unfolded exactly as I foresaw. response:	However...
context: Many things?\The future.\The future...\All of it, both good and bad.\Only the immediate future can be seen.\I thought that I knew everything.\Many things unfolded exactly as I foresaw.\However... response:	I failed to see what was truly important.
context: The future.\The future...\All of it, both good and bad.\Only the immediate future can be seen.\I thought that I knew everything.\Many things unfolded exactly as I foresaw.\However...\I failed to see what was truly important. response:	Rearm it.
context: The future...\All of it, both good and bad.\Only the immediate future can be seen.\I thought that I knew everything.\Many things unfolded exactly as I foresaw.\However...\I failed to see what was truly important.\Rearm it. response:	Yes, sir!
context: All of it, both good and bad.\Only the immediate future can be seen.\I thought that I knew everything.\Many things unfolded exactly as I foresaw.\However...\I failed to see what was truly important.\Rearm it.\Yes, sir! response:	Lord Troyard!
context: Only the immediate future can be seen.\I thought that I knew everything.\Many things unfolded exactly as I foresaw.\However...\I failed to see what was truly important.\Rearm it.\Yes, sir!\Lord Troyard! response:	What is the meaning of this?!
context: I thought that I knew everything.\Many things unfolded exactly as I foresaw.\However...\I failed to see what was truly important.\Rearm it.\Yes, sir!\Lord Troyard!\What is the meaning of this?! response:	Why would Princess Asseylum say such a thing?!
context: Many things unfolded exactly as I foresaw.\However...\I failed to see what was truly important.\Rearm it.\Yes, sir!\Lord Troyard!\What is the meaning of this?!\Why would Princess Asseylum say such a thing?! response:	Milord Slaine...
context: However...\I failed to see what was truly important.\Rearm it.\Yes, sir!\Lord Troyard!\What is the meaning of this?!\Why would Princess Asseylum say such a thing?!\Milord Slaine... response:	Patch this through the command center. I will address all our forces.
context: I failed to see what was truly important.\Rearm it.\Yes, sir!\Lord Troyard!\What is the meaning of this?!\Why would Princess Asseylum say such a thing?!\Milord Slaine...\Patch this through the command center. I will address all our forces. response:	The deployed Stygis Squadron, as well.
context: Rearm it.\Yes, sir!\Lord Troyard!\What is the meaning of this?!\Why would Princess Asseylum say such a thing?!\Milord Slaine...\Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well. response:	Yes, sir!
context: Yes, sir!\Lord Troyard!\What is the meaning of this?!\Why would Princess Asseylum say such a thing?!\Milord Slaine...\Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well.\Yes, sir! response:	Hear me! Get clear of the moonbase in the next 10 minutes!
context: Lord Troyard!\What is the meaning of this?!\Why would Princess Asseylum say such a thing?!\Milord Slaine...\Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well.\Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes! response:	Surrender to the UFE along with the Landing Castles!
context: What is the meaning of this?!\Why would Princess Asseylum say such a thing?!\Milord Slaine...\Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well.\Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles! response:	We will abandon the moonbase!
context: Why would Princess Asseylum say such a thing?!\Milord Slaine...\Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well.\Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase! response:	Have you gone mad?!
context: Milord Slaine...\Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well.\Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase!\Have you gone mad?! response:	Slaine!
context: Patch this through the command center. I will address all our forces.\The deployed Stygis Squadron, as well.\Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase!\Have you gone mad?!\Slaine! response:	Princess Lemrina... I apologize for the many wrongs...
context: The deployed Stygis Squadron, as well.\Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase!\Have you gone mad?!\Slaine!\Princess Lemrina... I apologize for the many wrongs... response:	I have done you.
context: Yes, sir!\Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase!\Have you gone mad?!\Slaine!\Princess Lemrina... I apologize for the many wrongs...\I have done you. response:	Slaine?
context: Hear me! Get clear of the moonbase in the next 10 minutes!\Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase!\Have you gone mad?!\Slaine!\Princess Lemrina... I apologize for the many wrongs...\I have done you.\Slaine? response:	May you remain in good health.
context: Surrender to the UFE along with the Landing Castles!\We will abandon the moonbase!\Have you gone mad?!\Slaine!\Princess Lemrina... I apologize for the many wrongs...\I have done you.\Slaine?\May you remain in good health. response:	Harklight, please escort Princess Lemrina to a shuttle.
context: We will abandon the moonbase!\Have you gone mad?!\Slaine!\Princess Lemrina... I apologize for the many wrongs...\I have done you.\Slaine?\May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle. response:	As you wish.
context: Have you gone mad?!\Slaine!\Princess Lemrina... I apologize for the many wrongs...\I have done you.\Slaine?\May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle.\As you wish. response:	No! Slaine!
context: Slaine!\Princess Lemrina... I apologize for the many wrongs...\I have done you.\Slaine?\May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle.\As you wish.\No! Slaine! response:	Highness, please come with me.
context: Princess Lemrina... I apologize for the many wrongs...\I have done you.\Slaine?\May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle.\As you wish.\No! Slaine!\Highness, please come with me. response:	I won't go!
context: I have done you.\Slaine?\May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle.\As you wish.\No! Slaine!\Highness, please come with me.\I won't go! response:	Slaine! Slaine!
context: Slaine?\May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle.\As you wish.\No! Slaine!\Highness, please come with me.\I won't go!\Slaine! Slaine! response:	Multiple new signatures detected leaving the moonbase.
context: May you remain in good health.\Harklight, please escort Princess Lemrina to a shuttle.\As you wish.\No! Slaine!\Highness, please come with me.\I won't go!\Slaine! Slaine!\Multiple new signatures detected leaving the moonbase. response:	Reinforcements?
context: Harklight, please escort Princess Lemrina to a shuttle.\As you wish.\No! Slaine!\Highness, please come with me.\I won't go!\Slaine! Slaine!\Multiple new signatures detected leaving the moonbase.\Reinforcements? response:	No, they're...
context: As you wish.\No! Slaine!\Highness, please come with me.\I won't go!\Slaine! Slaine!\Multiple new signatures detected leaving the moonbase.\Reinforcements?\No, they're... response:	They're leaving the combat zone, ma'am.
context: No! Slaine!\Highness, please come with me.\I won't go!\Slaine! Slaine!\Multiple new signatures detected leaving the moonbase.\Reinforcements?\No, they're...\They're leaving the combat zone, ma'am. response:	The moonbase...
context: Highness, please come with me.\I won't go!\Slaine! Slaine!\Multiple new signatures detected leaving the moonbase.\Reinforcements?\No, they're...\They're leaving the combat zone, ma'am.\The moonbase... response:	It's fallen?
context: I won't go!\Slaine! Slaine!\Multiple new signatures detected leaving the moonbase.\Reinforcements?\No, they're...\They're leaving the combat zone, ma'am.\The moonbase...\It's fallen? response:	Did we beat them?
context: Slaine! Slaine!\Multiple new signatures detected leaving the moonbase.\Reinforcements?\No, they're...\They're leaving the combat zone, ma'am.\The moonbase...\It's fallen?\Did we beat them? response:	No...
context: Multiple new signatures detected leaving the moonbase.\Reinforcements?\No, they're...\They're leaving the combat zone, ma'am.\The moonbase...\It's fallen?\Did we beat them?\No... response:	They're making it self-destruct?
context: Reinforcements?\No, they're...\They're leaving the combat zone, ma'am.\The moonbase...\It's fallen?\Did we beat them?\No...\They're making it self-destruct? response:	Sir Harklight?
context: No, they're...\They're leaving the combat zone, ma'am.\The moonbase...\It's fallen?\Did we beat them?\No...\They're making it self-destruct?\Sir Harklight? response:	See to the shuttle's defense!
context: They're leaving the combat zone, ma'am.\The moonbase...\It's fallen?\Did we beat them?\No...\They're making it self-destruct?\Sir Harklight?\See to the shuttle's defense! response:	Sir Harklight!
context: The moonbase...\It's fallen?\Did we beat them?\No...\They're making it self-destruct?\Sir Harklight?\See to the shuttle's defense!\Sir Harklight! response:	Harklight.
context: It's fallen?\Did we beat them?\No...\They're making it self-destruct?\Sir Harklight?\See to the shuttle's defense!\Sir Harklight!\Harklight. response:	What are you doing? Turn back. I thought I ordered you to surrender.
context: Did we beat them?\No...\They're making it self-destruct?\Sir Harklight?\See to the shuttle's defense!\Sir Harklight!\Harklight.\What are you doing? Turn back. I thought I ordered you to surrender. response:	Harklight!
context: No...\They're making it self-destruct?\Sir Harklight?\See to the shuttle's defense!\Sir Harklight!\Harklight.\What are you doing? Turn back. I thought I ordered you to surrender.\Harklight! response:	Stygis Squadron! Don't act without orders!
context: They're making it self-destruct?\Sir Harklight?\See to the shuttle's defense!\Sir Harklight!\Harklight.\What are you doing? Turn back. I thought I ordered you to surrender.\Harklight!\Stygis Squadron! Don't act without orders! response:	Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!
context: Sir Harklight?\See to the shuttle's defense!\Sir Harklight!\Harklight.\What are you doing? Turn back. I thought I ordered you to surrender.\Harklight!\Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10! response:	Stand by to engage!
context: See to the shuttle's defense!\Sir Harklight!\Harklight.\What are you doing? Turn back. I thought I ordered you to surrender.\Harklight!\Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage! response:	Don't! We no longer have any hope of winning!
context: Sir Harklight!\Harklight.\What are you doing? Turn back. I thought I ordered you to surrender.\Harklight!\Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage!\Don't! We no longer have any hope of winning! response:	Don't throw your lives away!
context: Harklight.\What are you doing? Turn back. I thought I ordered you to surrender.\Harklight!\Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage!\Don't! We no longer have any hope of winning!\Don't throw your lives away! response:	I made my peace with death long ago, Lord.
