context: My hometown, where I was born, is a city surrounded by mountains - response:	neither too large nor too small, neither too rural nor urban.
context: I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution?\I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could.\So he did it with you and fled.\Jun-chan! Did it and fled? response:	I'm joking, Nana.
context: Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution?\I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could.\So he did it with you and fled.\Jun-chan! Did it and fled?\I'm joking, Nana. response:	I know you were really serious about that guy.
context: Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution?\I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could.\So he did it with you and fled.\Jun-chan! Did it and fled?\I'm joking, Nana.\I know you were really serious about that guy. response:	Jun-chan...
context: Then prostitution?\I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could.\So he did it with you and fled.\Jun-chan! Did it and fled?\I'm joking, Nana.\I know you were really serious about that guy.\Jun-chan... response:	But from his perspective, you were just an easy teenage girl.
context: I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could.\So he did it with you and fled.\Jun-chan! Did it and fled?\I'm joking, Nana.\I know you were really serious about that guy.\Jun-chan...\But from his perspective, you were just an easy teenage girl. response:	Easy?! What makes you think I'm easy?
context: You idiot! You should've gotten as much from him as you could.\So he did it with you and fled.\Jun-chan! Did it and fled?\I'm joking, Nana.\I know you were really serious about that guy.\Jun-chan...\But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy? response:	Many older guys look at all high school students as easy.
context: So he did it with you and fled.\Jun-chan! Did it and fled?\I'm joking, Nana.\I know you were really serious about that guy.\Jun-chan...\But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy. response:	Mr. Asano's not one of them!
context: Jun-chan! Did it and fled?\I'm joking, Nana.\I know you were really serious about that guy.\Jun-chan...\But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy.\Mr. Asano's not one of them! response:	From a high school girl's perspective,
context: I'm joking, Nana.\I know you were really serious about that guy.\Jun-chan...\But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy.\Mr. Asano's not one of them!\From a high school girl's perspective, response:	if he's wearing a suit, he's one of the many older guys.
context: I know you were really serious about that guy.\Jun-chan...\But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy.\Mr. Asano's not one of them!\From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys. response:	Why is it that nothing goes right for me?
context: Jun-chan...\But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy.\Mr. Asano's not one of them!\From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me? response:	It's my name, Nana. It's bad luck.
context: But from his perspective, you were just an easy teenage girl.\Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy.\Mr. Asano's not one of them!\From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck. response:	It means seven, the number that appears in a Nostradamus prophecy,
context: Easy?! What makes you think I'm easy?\Many older guys look at all high school students as easy.\Mr. Asano's not one of them!\From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy, response:	so it's gotta be cursed.
context: Many older guys look at all high school students as easy.\Mr. Asano's not one of them!\From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed. response:	No, even if your name was Eight,
context: Mr. Asano's not one of them!\From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed.\No, even if your name was Eight, response:	I'm sure he'd still go to Tokyo.
context: From a high school girl's perspective,\if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed.\No, even if your name was Eight,\I'm sure he'd still go to Tokyo. response:	I've decided. I'm going.
context: if he's wearing a suit, he's one of the many older guys.\Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed.\No, even if your name was Eight,\I'm sure he'd still go to Tokyo.\I've decided. I'm going. response:	Huh? To Tokyo?
context: Why is it that nothing goes right for me?\It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed.\No, even if your name was Eight,\I'm sure he'd still go to Tokyo.\I've decided. I'm going.\Huh? To Tokyo? response:	No, to the beauty parlor that just opened at the station.
context: It's my name, Nana. It's bad luck.\It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed.\No, even if your name was Eight,\I'm sure he'd still go to Tokyo.\I've decided. I'm going.\Huh? To Tokyo?\No, to the beauty parlor that just opened at the station. response:	I'm gonna change my hairdo so the next time I fall in love,
context: It means seven, the number that appears in a Nostradamus prophecy,\so it's gotta be cursed.\No, even if your name was Eight,\I'm sure he'd still go to Tokyo.\I've decided. I'm going.\Huh? To Tokyo?\No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love, response:	I won't be looked at as an easy teenage girl.
context: so it's gotta be cursed.\No, even if your name was Eight,\I'm sure he'd still go to Tokyo.\I've decided. I'm going.\Huh? To Tokyo?\No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl. response:	B-But we're graduating today,
context: No, even if your name was Eight,\I'm sure he'd still go to Tokyo.\I've decided. I'm going.\Huh? To Tokyo?\No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl.\B-But we're graduating today, response:	so you'll no longer be looked at as an easy high school girl.
context: I'm sure he'd still go to Tokyo.\I've decided. I'm going.\Huh? To Tokyo?\No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl.\B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl. response:	No way! The graduation ceremonies have started, Jun-chan!
context: I've decided. I'm going.\Huh? To Tokyo?\No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl.\B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan! response:	Oh, no!
context: Huh? To Tokyo?\No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl.\B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan!\Oh, no! response:	Thinking back, it would not be an exaggeration to say
context: No, to the beauty parlor that just opened at the station.\I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl.\B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan!\Oh, no!\Thinking back, it would not be an exaggeration to say response:	my high school years started with love and ended with love.
context: I'm gonna change my hairdo so the next time I fall in love,\I won't be looked at as an easy teenage girl.\B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan!\Oh, no!\Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love. response:	I entered an all-girl high school believing I'd never find a crush,
context: I won't be looked at as an easy teenage girl.\B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan!\Oh, no!\Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush, response:	until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.
context: B-But we're graduating today,\so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan!\Oh, no!\Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight. response:	I joined the art club with Jun-chan, my classmate and best friend.
context: so you'll no longer be looked at as an easy high school girl.\No way! The graduation ceremonies have started, Jun-chan!\Oh, no!\Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend. response:	He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.
context: No way! The graduation ceremonies have started, Jun-chan!\Oh, no!\Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend. response:	I joined the art club with Jun-chan, my classmate and best friend.
context: Oh, no!\Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend. response:	Thanks to that, I became fond of drawing pictures,
context: Thinking back, it would not be an exaggeration to say\my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures, response:	She's talented in drawing. Thanks to that, I became fond of drawing pictures,
context: my high school years started with love and ended with love.\I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures, response:	Thanks to that, I became fond of drawing pictures,
context: I entered an all-girl high school believing I'd never find a crush,\until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures, response:	but one year later, he moved to a different high school.
context: until I fell in love with Mr. Okamoto, the art class teacher. It was love at first sight.\I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school. response:	I even had my hair done to resemble yours. but one year later, he moved to a different high school.
context: I joined the art club with Jun-chan, my classmate and best friend.\He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school. response:	I even had my hair done to resemble yours.
context: He-heh! That's well drawn. I joined the art club with Jun-chan, my classmate and best friend.\I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours. response:	My next encounter was fashionable Mr. Nakamura,
context: I joined the art club with Jun-chan, my classmate and best friend.\Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura, response:	who was working at the neighborhood video rental store.
context: Thanks to that, I became fond of drawing pictures,\She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store. response:	One day, I built up the courage to talk to him,
context: She's talented in drawing. Thanks to that, I became fond of drawing pictures,\Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him, response:	Make me your girlfriend. One day, I built up the courage to talk to him,
context: Thanks to that, I became fond of drawing pictures,\but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him,\Make me your girlfriend. One day, I built up the courage to talk to him, response:	Same hairstyle. Make me your girlfriend. One day, I built up the courage to talk to him,
context: but one year later, he moved to a different high school.\I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him,\Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. One day, I built up the courage to talk to him, response:	Same hairstyle. Make me your girlfriend. but he coldly brushed me aside.
context: I even had my hair done to resemble yours. but one year later, he moved to a different high school.\I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him,\Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. but he coldly brushed me aside. response:	but he coldly brushed me aside.
context: I even had my hair done to resemble yours.\My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him,\Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. but he coldly brushed me aside.\but he coldly brushed me aside. response:	Miss Customer, I cannot do that. but he coldly brushed me aside.
context: My next encounter was fashionable Mr. Nakamura,\who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him,\Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. but he coldly brushed me aside.\but he coldly brushed me aside.\Miss Customer, I cannot do that. but he coldly brushed me aside. response:	Miss Customer, I cannot do that.
context: who was working at the neighborhood video rental store.\One day, I built up the courage to talk to him,\Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. One day, I built up the courage to talk to him,\Same hairstyle. Make me your girlfriend. but he coldly brushed me aside.\but he coldly brushed me aside.\Miss Customer, I cannot do that. but he coldly brushed me aside.\Miss Customer, I cannot do that. response:	Then it was cool Mr. Kawasaki,
