context: N-Now this was unexpected! response:	That took all of one minute!
context: Hey, is that you, Ayato?\It's been a long time!\Long time no see!\So Dad, what's up?\Right, I sent you a new gun.\Did you get it?\Nope, not yet.\Meaning that it won't get there in time for your first match. response:	Could you go over to Customs to check?
context: It's been a long time!\Long time no see!\So Dad, what's up?\Right, I sent you a new gun.\Did you get it?\Nope, not yet.\Meaning that it won't get there in time for your first match.\Could you go over to Customs to check? response:	Okay. But it won't be a problem.
context: Long time no see!\So Dad, what's up?\Right, I sent you a new gun.\Did you get it?\Nope, not yet.\Meaning that it won't get there in time for your first match.\Could you go over to Customs to check?\Okay. But it won't be a problem. response:	I've got the Arcwandels, so I'll be fine.
context: So Dad, what's up?\Right, I sent you a new gun.\Did you get it?\Nope, not yet.\Meaning that it won't get there in time for your first match.\Could you go over to Customs to check?\Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine. response:	Of course you can!
context: Right, I sent you a new gun.\Did you get it?\Nope, not yet.\Meaning that it won't get there in time for your first match.\Could you go over to Customs to check?\Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine.\Of course you can! response:	As long as you're wielding one of my guns, you can't lose!
context: Did you get it?\Nope, not yet.\Meaning that it won't get there in time for your first match.\Could you go over to Customs to check?\Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine.\Of course you can!\As long as you're wielding one of my guns, you can't lose! response:	Okay, I'll be waiting to hear good news from you!
context: Nope, not yet.\Meaning that it won't get there in time for your first match.\Could you go over to Customs to check?\Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine.\Of course you can!\As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you! response:	He hasn't changed one bit, huh?
context: Meaning that it won't get there in time for your first match.\Could you go over to Customs to check?\Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine.\Of course you can!\As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh? response:	Yeah. I'll be heading out to Customs, then.
context: Could you go over to Customs to check?\Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine.\Of course you can!\As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then. response:	Then I'll go with you!
context: Okay. But it won't be a problem.\I've got the Arcwandels, so I'll be fine.\Of course you can!\As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then.\Then I'll go with you! response:	I'm gonna see if I can sneak into their press conference.
context: I've got the Arcwandels, so I'll be fine.\Of course you can!\As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then.\Then I'll go with you!\I'm gonna see if I can sneak into their press conference. response:	What should we do?
context: Of course you can!\As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then.\Then I'll go with you!\I'm gonna see if I can sneak into their press conference.\What should we do? response:	Raise a glass to our first victory.
context: As long as you're wielding one of my guns, you can't lose!\Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then.\Then I'll go with you!\I'm gonna see if I can sneak into their press conference.\What should we do?\Raise a glass to our first victory. response:	Actually, we can't afford to rest on our laurels like that, can we?
context: Okay, I'll be waiting to hear good news from you!\He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then.\Then I'll go with you!\I'm gonna see if I can sneak into their press conference.\What should we do?\Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we? response:	Why don't we get a little practice in?
context: He hasn't changed one bit, huh?\Yeah. I'll be heading out to Customs, then.\Then I'll go with you!\I'm gonna see if I can sneak into their press conference.\What should we do?\Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in? response:	Roger that!
context: Yeah. I'll be heading out to Customs, then.\Then I'll go with you!\I'm gonna see if I can sneak into their press conference.\What should we do?\Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in?\Roger that! response:	Hey, hey!
context: Then I'll go with you!\I'm gonna see if I can sneak into their press conference.\What should we do?\Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in?\Roger that!\Hey, hey! response:	Good job, you two!
context: I'm gonna see if I can sneak into their press conference.\What should we do?\Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in?\Roger that!\Hey, hey!\Good job, you two! response:	That was a great performance!
context: What should we do?\Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in?\Roger that!\Hey, hey!\Good job, you two!\That was a great performance! response:	You are too kind, Master.
context: Raise a glass to our first victory.\Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in?\Roger that!\Hey, hey!\Good job, you two!\That was a great performance!\You are too kind, Master. response:	Well, what else could you expect, right?
context: Actually, we can't afford to rest on our laurels like that, can we?\Why don't we get a little practice in?\Roger that!\Hey, hey!\Good job, you two!\That was a great performance!\You are too kind, Master.\Well, what else could you expect, right? response:	What kind of attitude is that before our master?
context: Why don't we get a little practice in?\Roger that!\Hey, hey!\Good job, you two!\That was a great performance!\You are too kind, Master.\Well, what else could you expect, right?\What kind of attitude is that before our master? response:	You should be ashamed.
context: Roger that!\Hey, hey!\Good job, you two!\That was a great performance!\You are too kind, Master.\Well, what else could you expect, right?\What kind of attitude is that before our master?\You should be ashamed. response:	RM-C, are you serious?
context: Hey, hey!\Good job, you two!\That was a great performance!\You are too kind, Master.\Well, what else could you expect, right?\What kind of attitude is that before our master?\You should be ashamed.\RM-C, are you serious? response:	Of course I am.
context: Good job, you two!\That was a great performance!\You are too kind, Master.\Well, what else could you expect, right?\What kind of attitude is that before our master?\You should be ashamed.\RM-C, are you serious?\Of course I am. response:	There's no need to hold back against anyone who disrespects our master.
context: That was a great performance!\You are too kind, Master.\Well, what else could you expect, right?\What kind of attitude is that before our master?\You should be ashamed.\RM-C, are you serious?\Of course I am.\There's no need to hold back against anyone who disrespects our master. response:	Now, now, why don't you let him off the hook now, RM-C?
context: You are too kind, Master.\Well, what else could you expect, right?\What kind of attitude is that before our master?\You should be ashamed.\RM-C, are you serious?\Of course I am.\There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C? response:	Very well.
context: Well, what else could you expect, right?\What kind of attitude is that before our master?\You should be ashamed.\RM-C, are you serious?\Of course I am.\There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C?\Very well. response:	Master, I have a question.
context: What kind of attitude is that before our master?\You should be ashamed.\RM-C, are you serious?\Of course I am.\There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C?\Very well.\Master, I have a question. response:	Sure, what is it?
context: You should be ashamed.\RM-C, are you serious?\Of course I am.\There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C?\Very well.\Master, I have a question.\Sure, what is it? response:	In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?
context: RM-C, are you serious?\Of course I am.\There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C?\Very well.\Master, I have a question.\Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C? response:	Oh, well, that can't be helped!
context: Of course I am.\There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C?\Very well.\Master, I have a question.\Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped! response:	As the saying goes,
context: There's no need to hold back against anyone who disrespects our master.\Now, now, why don't you let him off the hook now, RM-C?\Very well.\Master, I have a question.\Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped!\As the saying goes, response:	Woman is Nature's contrivance for perpetuating its highest achievement...
context: Now, now, why don't you let him off the hook now, RM-C?\Very well.\Master, I have a question.\Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped!\As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement... response:	whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.
context: Very well.\Master, I have a question.\Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped!\As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way. response:	People had such a way with words in the olden days!
context: Master, I have a question.\Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped!\As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days! response:	Meaning that because I am a male-type,
context: Sure, what is it?\In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped!\As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days!\Meaning that because I am a male-type, response:	I can never defeat RM-C, a female-type?
context: In terms of specs, we're more or less equal, so why is it that I'm helpless against RM-C?\Oh, well, that can't be helped!\As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days!\Meaning that because I am a male-type,\I can never defeat RM-C, a female-type? response:	It would appear so.
context: Oh, well, that can't be helped!\As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days!\Meaning that because I am a male-type,\I can never defeat RM-C, a female-type?\It would appear so. response:	But anyway, we should head back to our waiting room,
context: As the saying goes,\Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days!\Meaning that because I am a male-type,\I can never defeat RM-C, a female-type?\It would appear so.\But anyway, we should head back to our waiting room, response:	or Camilla will get tired of waiting.
context: Woman is Nature's contrivance for perpetuating its highest achievement...\whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days!\Meaning that because I am a male-type,\I can never defeat RM-C, a female-type?\It would appear so.\But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting. response:	Well, then, I suppose it can't be helped.
context: whereas Man is Woman's contrivance for fulfilling Nature's behest in the most economical way.\People had such a way with words in the olden days!\Meaning that because I am a male-type,\I can never defeat RM-C, a female-type?\It would appear so.\But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped. response:	Well, of course I can't tell you that RM-C's your limiter, can I?
context: People had such a way with words in the olden days!\Meaning that because I am a male-type,\I can never defeat RM-C, a female-type?\It would appear so.\But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I? response:	The Tyrant Vampire Princess
context: Meaning that because I am a male-type,\I can never defeat RM-C, a female-type?\It would appear so.\But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess response:	Let's get going!
context: I can never defeat RM-C, a female-type?\It would appear so.\But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess\Let's get going! response:	Wait, hold up a second!
context: It would appear so.\But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess\Let's get going!\Wait, hold up a second! response:	We're not gonna get there in time for the start of the match anyway,
context: But anyway, we should head back to our waiting room,\or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess\Let's get going!\Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway, response:	so I'll let them know that we're running late.
context: or Camilla will get tired of waiting.\Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess\Let's get going!\Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late. response:	Right...
context: Well, then, I suppose it can't be helped.\Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess\Let's get going!\Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late.\Right... response:	It's not your fault, Julis.
context: Well, of course I can't tell you that RM-C's your limiter, can I?\The Tyrant Vampire Princess\Let's get going!\Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late.\Right...\It's not your fault, Julis. response:	I wanted to practice till the last second, too.
context: The Tyrant Vampire Princess\Let's get going!\Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late.\Right...\It's not your fault, Julis.\I wanted to practice till the last second, too. response:	Take that!
context: Let's get going!\Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late.\Right...\It's not your fault, Julis.\I wanted to practice till the last second, too.\Take that! response:	What's that? A scuffle?
context: Wait, hold up a second!\We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late.\Right...\It's not your fault, Julis.\I wanted to practice till the last second, too.\Take that!\What's that? A scuffle? response:	That's...
context: We're not gonna get there in time for the start of the match anyway,\so I'll let them know that we're running late.\Right...\It's not your fault, Julis.\I wanted to practice till the last second, too.\Take that!\What's that? A scuffle?\That's... response:	Irene Urzaiz.
context: so I'll let them know that we're running late.\Right...\It's not your fault, Julis.\I wanted to practice till the last second, too.\Take that!\What's that? A scuffle?\That's...\Irene Urzaiz. response:	You know her?
context: Right...\It's not your fault, Julis.\I wanted to practice till the last second, too.\Take that!\What's that? A scuffle?\That's...\Irene Urzaiz.\You know her? response:	She's a Page One at Le Wolfe.
context: It's not your fault, Julis.\I wanted to practice till the last second, too.\Take that!\What's that? A scuffle?\That's...\Irene Urzaiz.\You know her?\She's a Page One at Le Wolfe. response:	Jeez, settling old scores is a relic of the past!
context: I wanted to practice till the last second, too.\Take that!\What's that? A scuffle?\That's...\Irene Urzaiz.\You know her?\She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past! response:	Shut up!
context: Take that!\What's that? A scuffle?\That's...\Irene Urzaiz.\You know her?\She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past!\Shut up! response:	If we don't, we'll lose face!
context: What's that? A scuffle?\That's...\Irene Urzaiz.\You know her?\She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past!\Shut up!\If we don't, we'll lose face! response:	So annoying!
context: That's...\Irene Urzaiz.\You know her?\She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past!\Shut up!\If we don't, we'll lose face!\So annoying! response:	Hey! This isn't a sideshow!
context: Irene Urzaiz.\You know her?\She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past!\Shut up!\If we don't, we'll lose face!\So annoying!\Hey! This isn't a sideshow! response:	AYATO AMAGIRI SEIDOUKAN ACADEMY
context: You know her?\She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past!\Shut up!\If we don't, we'll lose face!\So annoying!\Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY response:	Just as I thought.
context: She's a Page One at Le Wolfe.\Jeez, settling old scores is a relic of the past!\Shut up!\If we don't, we'll lose face!\So annoying!\Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought. response:	If it isn't Murakumo...
context: Jeez, settling old scores is a relic of the past!\Shut up!\If we don't, we'll lose face!\So annoying!\Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought.\If it isn't Murakumo... response:	What do you want with my tag partner, Lamirexia?
context: Shut up!\If we don't, we'll lose face!\So annoying!\Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought.\If it isn't Murakumo...\What do you want with my tag partner, Lamirexia? response:	Gluhen Rose, huh?
context: If we don't, we'll lose face!\So annoying!\Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought.\If it isn't Murakumo...\What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh? response:	I have no business with you. Take a hike.
context: So annoying!\Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought.\If it isn't Murakumo...\What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh?\I have no business with you. Take a hike. response:	I can't do that.
context: Hey! This isn't a sideshow!\AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought.\If it isn't Murakumo...\What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh?\I have no business with you. Take a hike.\I can't do that. response:	Since brawling in the middle of a crowd is beyond dangerous.
context: AYATO AMAGIRI SEIDOUKAN ACADEMY\Just as I thought.\If it isn't Murakumo...\What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh?\I have no business with you. Take a hike.\I can't do that.\Since brawling in the middle of a crowd is beyond dangerous. response:	They're the ones who started that fight just now.
context: Just as I thought.\If it isn't Murakumo...\What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh?\I have no business with you. Take a hike.\I can't do that.\Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now. response:	Remember where you are!
context: If it isn't Murakumo...\What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh?\I have no business with you. Take a hike.\I can't do that.\Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now.\Remember where you are! response:	One false move, and you could be disqualified!
context: What do you want with my tag partner, Lamirexia?\Gluhen Rose, huh?\I have no business with you. Take a hike.\I can't do that.\Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now.\Remember where you are!\One false move, and you could be disqualified! response:	H-Hey, Julis!
context: Gluhen Rose, huh?\I have no business with you. Take a hike.\I can't do that.\Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now.\Remember where you are!\One false move, and you could be disqualified!\H-Hey, Julis! response:	All right, then, why don't you tell me what you would do?
context: I have no business with you. Take a hike.\I can't do that.\Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now.\Remember where you are!\One false move, and you could be disqualified!\H-Hey, Julis!\All right, then, why don't you tell me what you would do? response:	You reacted better than I thought you would.
context: I can't do that.\Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now.\Remember where you are!\One false move, and you could be disqualified!\H-Hey, Julis!\All right, then, why don't you tell me what you would do?\You reacted better than I thought you would. response:	Hey, you!
context: Since brawling in the middle of a crowd is beyond dangerous.\They're the ones who started that fight just now.\Remember where you are!\One false move, and you could be disqualified!\H-Hey, Julis!\All right, then, why don't you tell me what you would do?\You reacted better than I thought you would.\Hey, you! response:	Oh, crap!
context: They're the ones who started that fight just now.\Remember where you are!\One false move, and you could be disqualified!\H-Hey, Julis!\All right, then, why don't you tell me what you would do?\You reacted better than I thought you would.\Hey, you!\Oh, crap! response:	Really, Sister!
context: Remember where you are!\One false move, and you could be disqualified!\H-Hey, Julis!\All right, then, why don't you tell me what you would do?\You reacted better than I thought you would.\Hey, you!\Oh, crap!\Really, Sister! response:	Fighting without permission again! Seriously!
context: One false move, and you could be disqualified!\H-Hey, Julis!\All right, then, why don't you tell me what you would do?\You reacted better than I thought you would.\Hey, you!\Oh, crap!\Really, Sister!\Fighting without permission again! Seriously! response:	P-Priscilla!
context: H-Hey, Julis!\All right, then, why don't you tell me what you would do?\You reacted better than I thought you would.\Hey, you!\Oh, crap!\Really, Sister!\Fighting without permission again! Seriously!\P-Priscilla! response:	I'm so sorry!
context: All right, then, why don't you tell me what you would do?\You reacted better than I thought you would.\Hey, you!\Oh, crap!\Really, Sister!\Fighting without permission again! Seriously!\P-Priscilla!\I'm so sorry! response:	My sister's caused you so much trouble.
context: You reacted better than I thought you would.\Hey, you!\Oh, crap!\Really, Sister!\Fighting without permission again! Seriously!\P-Priscilla!\I'm so sorry!\My sister's caused you so much trouble. response:	Oh, no, it's not like...
context: Hey, you!\Oh, crap!\Really, Sister!\Fighting without permission again! Seriously!\P-Priscilla!\I'm so sorry!\My sister's caused you so much trouble.\Oh, no, it's not like... response:	All right, Sister! You apologize, too!
context: Oh, crap!\Really, Sister!\Fighting without permission again! Seriously!\P-Priscilla!\I'm so sorry!\My sister's caused you so much trouble.\Oh, no, it's not like...\All right, Sister! You apologize, too! response:	W-Why should I?
context: Really, Sister!\Fighting without permission again! Seriously!\P-Priscilla!\I'm so sorry!\My sister's caused you so much trouble.\Oh, no, it's not like...\All right, Sister! You apologize, too!\W-Why should I? response:	Come on!
context: Fighting without permission again! Seriously!\P-Priscilla!\I'm so sorry!\My sister's caused you so much trouble.\Oh, no, it's not like...\All right, Sister! You apologize, too!\W-Why should I?\Come on! response:	I'm truly sorry!
context: P-Priscilla!\I'm so sorry!\My sister's caused you so much trouble.\Oh, no, it's not like...\All right, Sister! You apologize, too!\W-Why should I?\Come on!\I'm truly sorry! response:	Ouch! Ouch! Ouch!
context: I'm so sorry!\My sister's caused you so much trouble.\Oh, no, it's not like...\All right, Sister! You apologize, too!\W-Why should I?\Come on!\I'm truly sorry!\Ouch! Ouch! Ouch! response:	Uh, right...
context: My sister's caused you so much trouble.\Oh, no, it's not like...\All right, Sister! You apologize, too!\W-Why should I?\Come on!\I'm truly sorry!\Ouch! Ouch! Ouch!\Uh, right... response:	I'll be sure to give her an earful.
context: Oh, no, it's not like...\All right, Sister! You apologize, too!\W-Why should I?\Come on!\I'm truly sorry!\Ouch! Ouch! Ouch!\Uh, right...\I'll be sure to give her an earful. response:	All right, let's go, Sister.
context: All right, Sister! You apologize, too!\W-Why should I?\Come on!\I'm truly sorry!\Ouch! Ouch! Ouch!\Uh, right...\I'll be sure to give her an earful.\All right, let's go, Sister. response:	Okay, okay...
context: W-Why should I?\Come on!\I'm truly sorry!\Ouch! Ouch! Ouch!\Uh, right...\I'll be sure to give her an earful.\All right, let's go, Sister.\Okay, okay... response:	She called her Sister, so does that mean...
context: Come on!\I'm truly sorry!\Ouch! Ouch! Ouch!\Uh, right...\I'll be sure to give her an earful.\All right, let's go, Sister.\Okay, okay...\She called her Sister, so does that mean... response:	I think there's an entry in the data Claudia sent me.
context: I'm truly sorry!\Ouch! Ouch! Ouch!\Uh, right...\I'll be sure to give her an earful.\All right, let's go, Sister.\Okay, okay...\She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me. response:	PRISCILLA URZAIZ LE WOLFE ACADEMY
context: Ouch! Ouch! Ouch!\Uh, right...\I'll be sure to give her an earful.\All right, let's go, Sister.\Okay, okay...\She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY response:	Priscilla Urzaiz.
