context: Number 18684, Sister Krone. response:	We hereby appoint you to be Mom for Plant Four?
context: Pack up immediately and go back to headquarters.\Immediately?\Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me!\It's all or nothing, but I have to try.\I will not let everything go her way! response:	Mom!
context: Immediately?\Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me!\It's all or nothing, but I have to try.\I will not let everything go her way!\Mom! response:	Krone! The food's ready!
context: Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me!\It's all or nothing, but I have to try.\I will not let everything go her way!\Mom!\Krone! The food's ready! response:	Huh? Where's Krone? Wasn't she with you?
context: What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me!\It's all or nothing, but I have to try.\I will not let everything go her way!\Mom!\Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you? response:	Is she in her room?
context: Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me!\It's all or nothing, but I have to try.\I will not let everything go her way!\Mom!\Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you?\Is she in her room? response:	No. She has some work to do.
context: That woman. She intends to get rid of me!\It's all or nothing, but I have to try.\I will not let everything go her way!\Mom!\Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you?\Is she in her room?\No. She has some work to do. response:	We should start eating first.
context: It's all or nothing, but I have to try.\I will not let everything go her way!\Mom!\Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you?\Is she in her room?\No. She has some work to do.\We should start eating first. response:	Grandma.
context: I will not let everything go her way!\Mom!\Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you?\Is she in her room?\No. She has some work to do.\We should start eating first.\Grandma. response:	There's something I'd like to report.
context: Mom!\Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you?\Is she in her room?\No. She has some work to do.\We should start eating first.\Grandma.\There's something I'd like to report. response:	I'm so hungry!
context: Krone! The food's ready!\Huh? Where's Krone? Wasn't she with you?\Is she in her room?\No. She has some work to do.\We should start eating first.\Grandma.\There's something I'd like to report.\I'm so hungry! response:	Huh?
context: Huh? Where's Krone? Wasn't she with you?\Is she in her room?\No. She has some work to do.\We should start eating first.\Grandma.\There's something I'd like to report.\I'm so hungry!\Huh? response:	Krone's not here.
context: Is she in her room?\No. She has some work to do.\We should start eating first.\Grandma.\There's something I'd like to report.\I'm so hungry!\Huh?\Krone's not here. response:	Where is she?
context: No. She has some work to do.\We should start eating first.\Grandma.\There's something I'd like to report.\I'm so hungry!\Huh?\Krone's not here.\Where is she? response:	Mom said she has work to do.
context: We should start eating first.\Grandma.\There's something I'd like to report.\I'm so hungry!\Huh?\Krone's not here.\Where is she?\Mom said she has work to do. response:	So, is this what you mean?
context: Grandma.\There's something I'd like to report.\I'm so hungry!\Huh?\Krone's not here.\Where is she?\Mom said she has work to do.\So, is this what you mean? response:	In addition to the facts on this note,
context: There's something I'd like to report.\I'm so hungry!\Huh?\Krone's not here.\Where is she?\Mom said she has work to do.\So, is this what you mean?\In addition to the facts on this note, response:	the other perfect scorers know about the secret and are trying to escape.
context: I'm so hungry!\Huh?\Krone's not here.\Where is she?\Mom said she has work to do.\So, is this what you mean?\In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape. response:	And the two high-quality ones below them!
context: Huh?\Krone's not here.\Where is she?\Mom said she has work to do.\So, is this what you mean?\In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them! response:	I don't have evidence regarding their escape, but please believe me!
context: Krone's not here.\Where is she?\Mom said she has work to do.\So, is this what you mean?\In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me! response:	If we leave this alone, it'll get dangerous! At this rate
context: Where is she?\Mom said she has work to do.\So, is this what you mean?\In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate response:	However...
context: Mom said she has work to do.\So, is this what you mean?\In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate\However... response:	they are being kept under control, right?
context: So, is this what you mean?\In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate\However...\they are being kept under control, right? response:	If they are kept under control, then there are no issues.
context: In addition to the facts on this note,\the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate\However...\they are being kept under control, right?\If they are kept under control, then there are no issues. response:	Just like how it was back in my day.
context: the other perfect scorers know about the secret and are trying to escape.\And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate\However...\they are being kept under control, right?\If they are kept under control, then there are no issues.\Just like how it was back in my day. response:	This is troublesome, Sister Krone, that you get in Isabella's way.
context: And the two high-quality ones below them!\I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate\However...\they are being kept under control, right?\If they are kept under control, then there are no issues.\Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way. response:	They are special.
context: I don't have evidence regarding their escape, but please believe me!\If we leave this alone, it'll get dangerous! At this rate\However...\they are being kept under control, right?\If they are kept under control, then there are no issues.\Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way.\They are special. response:	Isabella and her plant.
context: If we leave this alone, it'll get dangerous! At this rate\However...\they are being kept under control, right?\If they are kept under control, then there are no issues.\Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way.\They are special.\Isabella and her plant. response:	Isabella is a necessary pawn for me.
context: However...\they are being kept under control, right?\If they are kept under control, then there are no issues.\Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way.\They are special.\Isabella and her plant.\Isabella is a necessary pawn for me. response:	You are insufficient to take her place.
context: they are being kept under control, right?\If they are kept under control, then there are no issues.\Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way.\They are special.\Isabella and her plant.\Isabella is a necessary pawn for me.\You are insufficient to take her place. response:	It will become troublesome for me.
context: If they are kept under control, then there are no issues.\Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way.\They are special.\Isabella and her plant.\Isabella is a necessary pawn for me.\You are insufficient to take her place.\It will become troublesome for me. response:	May we offer the best plate at the Tifari.
context: Just like how it was back in my day.\This is troublesome, Sister Krone, that you get in Isabella's way.\They are special.\Isabella and her plant.\Isabella is a necessary pawn for me.\You are insufficient to take her place.\It will become troublesome for me.\May we offer the best plate at the Tifari. response:	May the farm have maximum profits.
context: This is troublesome, Sister Krone, that you get in Isabella's way.\They are special.\Isabella and her plant.\Isabella is a necessary pawn for me.\You are insufficient to take her place.\It will become troublesome for me.\May we offer the best plate at the Tifari.\May the farm have maximum profits. response:	Ah, I see.
context: They are special.\Isabella and her plant.\Isabella is a necessary pawn for me.\You are insufficient to take her place.\It will become troublesome for me.\May we offer the best plate at the Tifari.\May the farm have maximum profits.\Ah, I see. response:	They were in it together.
context: Isabella and her plant.\Isabella is a necessary pawn for me.\You are insufficient to take her place.\It will become troublesome for me.\May we offer the best plate at the Tifari.\May the farm have maximum profits.\Ah, I see.\They were in it together. response:	I had no chance of winning from the beginning.
context: Isabella is a necessary pawn for me.\You are insufficient to take her place.\It will become troublesome for me.\May we offer the best plate at the Tifari.\May the farm have maximum profits.\Ah, I see.\They were in it together.\I had no chance of winning from the beginning. response:	Thank you for the food.
context: You are insufficient to take her place.\It will become troublesome for me.\May we offer the best plate at the Tifari.\May the farm have maximum profits.\Ah, I see.\They were in it together.\I had no chance of winning from the beginning.\Thank you for the food. response:	Thank you for the food!
context: It will become troublesome for me.\May we offer the best plate at the Tifari.\May the farm have maximum profits.\Ah, I see.\They were in it together.\I had no chance of winning from the beginning.\Thank you for the food.\Thank you for the food! response:	You brats better escape.
context: May we offer the best plate at the Tifari.\May the farm have maximum profits.\Ah, I see.\They were in it together.\I had no chance of winning from the beginning.\Thank you for the food.\Thank you for the food!\You brats better escape. response:	You're good at playing tag, right?
context: May the farm have maximum profits.\Ah, I see.\They were in it together.\I had no chance of winning from the beginning.\Thank you for the food.\Thank you for the food!\You brats better escape.\You're good at playing tag, right? response:	Run...
context: Ah, I see.\They were in it together.\I had no chance of winning from the beginning.\Thank you for the food.\Thank you for the food!\You brats better escape.\You're good at playing tag, right?\Run... response:	and run...
context: They were in it together.\I had no chance of winning from the beginning.\Thank you for the food.\Thank you for the food!\You brats better escape.\You're good at playing tag, right?\Run...\and run... response:	and survive.
context: I had no chance of winning from the beginning.\Thank you for the food.\Thank you for the food!\You brats better escape.\You're good at playing tag, right?\Run...\and run...\and survive. response:	Then destroy this damned world we live in!
context: Thank you for the food.\Thank you for the food!\You brats better escape.\You're good at playing tag, right?\Run...\and run...\and survive.\Then destroy this damned world we live in! response:	Thank you, that was delicious!
context: Thank you for the food!\You brats better escape.\You're good at playing tag, right?\Run...\and run...\and survive.\Then destroy this damned world we live in!\Thank you, that was delicious! response:	Let's start switching out the chemicals.
context: You brats better escape.\You're good at playing tag, right?\Run...\and run...\and survive.\Then destroy this damned world we live in!\Thank you, that was delicious!\Let's start switching out the chemicals. response:	Let's go over the plan.
context: You're good at playing tag, right?\Run...\and run...\and survive.\Then destroy this damned world we live in!\Thank you, that was delicious!\Let's start switching out the chemicals.\Let's go over the plan. response:	Norman and Emma will climb the wall to inspect the vicinity.
context: Run...\and run...\and survive.\Then destroy this damned world we live in!\Thank you, that was delicious!\Let's start switching out the chemicals.\Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity. response:	Don and Gilda, stay outside where you can see the south window on the House's second floor.
context: and run...\and survive.\Then destroy this damned world we live in!\Thank you, that was delicious!\Let's start switching out the chemicals.\Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor. response:	Just in case I fail to distract Mom, I'll signal you.
context: and survive.\Then destroy this damned world we live in!\Thank you, that was delicious!\Let's start switching out the chemicals.\Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you. response:	Let Emma and Norman know to cancel the inspection immediately.
context: Then destroy this damned world we live in!\Thank you, that was delicious!\Let's start switching out the chemicals.\Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately. response:	Please let this go smoothly.
context: Thank you, that was delicious!\Let's start switching out the chemicals.\Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly. response:	I eliminated her.
context: Let's start switching out the chemicals.\Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly.\I eliminated her. response:	I eliminated Sister Krone.
context: Let's go over the plan.\Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly.\I eliminated her.\I eliminated Sister Krone. response:	I didn't need her anymore. That's why I eliminated her.
context: Norman and Emma will climb the wall to inspect the vicinity.\Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly.\I eliminated her.\I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her. response:	You too.
context: Don and Gilda, stay outside where you can see the south window on the House's second floor.\Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly.\I eliminated her.\I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her.\You too. response:	Our deal is over, right here and now.
context: Just in case I fail to distract Mom, I'll signal you.\Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly.\I eliminated her.\I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her.\You too.\Our deal is over, right here and now. response:	Am I fired as well?
context: Let Emma and Norman know to cancel the inspection immediately.\Please let this go smoothly.\I eliminated her.\I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her.\You too.\Our deal is over, right here and now.\Am I fired as well? response:	Why? You need me, don't you?
context: Please let this go smoothly.\I eliminated her.\I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her.\You too.\Our deal is over, right here and now.\Am I fired as well?\Why? You need me, don't you? response:	Don't you want to use me so you can control them
context: I eliminated her.\I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her.\You too.\Our deal is over, right here and now.\Am I fired as well?\Why? You need me, don't you?\Don't you want to use me so you can control them response:	indirectly and peacefully from behind the scenes?
context: I eliminated Sister Krone.\I didn't need her anymore. That's why I eliminated her.\You too.\Our deal is over, right here and now.\Am I fired as well?\Why? You need me, don't you?\Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes? response:	That's exactly it.
context: I didn't need her anymore. That's why I eliminated her.\You too.\Our deal is over, right here and now.\Am I fired as well?\Why? You need me, don't you?\Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes?\That's exactly it. response:	I was doing a good job. To you...
context: You too.\Our deal is over, right here and now.\Am I fired as well?\Why? You need me, don't you?\Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes?\That's exactly it.\I was doing a good job. To you... response:	Yes, you were a useful dog.
context: Our deal is over, right here and now.\Am I fired as well?\Why? You need me, don't you?\Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes?\That's exactly it.\I was doing a good job. To you...\Yes, you were a useful dog. response:	That's why I kept you by my side.
context: Am I fired as well?\Why? You need me, don't you?\Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes?\That's exactly it.\I was doing a good job. To you...\Yes, you were a useful dog.\That's why I kept you by my side. response:	Even if you're a lying traitor.
context: Why? You need me, don't you?\Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes?\That's exactly it.\I was doing a good job. To you...\Yes, you were a useful dog.\That's why I kept you by my side.\Even if you're a lying traitor. response:	Even so, there shouldn't be a problem, right?
context: Don't you want to use me so you can control them\indirectly and peacefully from behind the scenes?\That's exactly it.\I was doing a good job. To you...\Yes, you were a useful dog.\That's why I kept you by my side.\Even if you're a lying traitor.\Even so, there shouldn't be a problem, right? response:	As long as I'm useful!
context: indirectly and peacefully from behind the scenes?\That's exactly it.\I was doing a good job. To you...\Yes, you were a useful dog.\That's why I kept you by my side.\Even if you're a lying traitor.\Even so, there shouldn't be a problem, right?\As long as I'm useful! response:	Yes. It's true that there is no fault with you.
context: That's exactly it.\I was doing a good job. To you...\Yes, you were a useful dog.\That's why I kept you by my side.\Even if you're a lying traitor.\Even so, there shouldn't be a problem, right?\As long as I'm useful!\Yes. It's true that there is no fault with you. response:	This is an unfair dismissal.
context: I was doing a good job. To you...\Yes, you were a useful dog.\That's why I kept you by my side.\Even if you're a lying traitor.\Even so, there shouldn't be a problem, right?\As long as I'm useful!\Yes. It's true that there is no fault with you.\This is an unfair dismissal. response:	It's also unfortunate for me. This was unforeseen.
context: Yes, you were a useful dog.\That's why I kept you by my side.\Even if you're a lying traitor.\Even so, there shouldn't be a problem, right?\As long as I'm useful!\Yes. It's true that there is no fault with you.\This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen. response:	I didn't want to let you go until the end.
context: That's why I kept you by my side.\Even if you're a lying traitor.\Even so, there shouldn't be a problem, right?\As long as I'm useful!\Yes. It's true that there is no fault with you.\This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end. response:	Then
context: Even if you're a lying traitor.\Even so, there shouldn't be a problem, right?\As long as I'm useful!\Yes. It's true that there is no fault with you.\This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end.\Then response:	But I have no choice.
context: Even so, there shouldn't be a problem, right?\As long as I'm useful!\Yes. It's true that there is no fault with you.\This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end.\Then\But I have no choice. response:	The situation has changed.
context: As long as I'm useful!\Yes. It's true that there is no fault with you.\This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end.\Then\But I have no choice.\The situation has changed. response:	From now on, I'll control them by myself.
context: Yes. It's true that there is no fault with you.\This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end.\Then\But I have no choice.\The situation has changed.\From now on, I'll control them by myself. response:	I'm sorry, Ray. Please forgive me for the things I'm about to do.
context: This is an unfair dismissal.\It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end.\Then\But I have no choice.\The situation has changed.\From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do. response:	Mom!
context: It's also unfortunate for me. This was unforeseen.\I didn't want to let you go until the end.\Then\But I have no choice.\The situation has changed.\From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom! response:	Stay there for a bit, okay?
context: I didn't want to let you go until the end.\Then\But I have no choice.\The situation has changed.\From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom!\Stay there for a bit, okay? response:	I'll let you out when I come back.
context: Then\But I have no choice.\The situation has changed.\From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom!\Stay there for a bit, okay?\I'll let you out when I come back. response:	Let's see. From the speed of the two signals running through the forest,
context: But I have no choice.\The situation has changed.\From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom!\Stay there for a bit, okay?\I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest, response:	it must be Emma and Norman.
context: The situation has changed.\From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom!\Stay there for a bit, okay?\I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman. response:	They're heading straight for the fence.
context: From now on, I'll control them by myself.\I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom!\Stay there for a bit, okay?\I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman.\They're heading straight for the fence. response:	I wonder if it's for inspection?
context: I'm sorry, Ray. Please forgive me for the things I'm about to do.\Mom!\Stay there for a bit, okay?\I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman.\They're heading straight for the fence.\I wonder if it's for inspection? response:	Oh, and I don't care about the chemicals.
context: Mom!\Stay there for a bit, okay?\I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman.\They're heading straight for the fence.\I wonder if it's for inspection?\Oh, and I don't care about the chemicals. response:	That's because you'll protect me.
context: Stay there for a bit, okay?\I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman.\They're heading straight for the fence.\I wonder if it's for inspection?\Oh, and I don't care about the chemicals.\That's because you'll protect me. response:	For their sake, you won't get me killed.
context: I'll let you out when I come back.\Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman.\They're heading straight for the fence.\I wonder if it's for inspection?\Oh, and I don't care about the chemicals.\That's because you'll protect me.\For their sake, you won't get me killed. response:	That's why if you wanted to suppress me, you'll definitely use a different method.
context: Let's see. From the speed of the two signals running through the forest,\it must be Emma and Norman.\They're heading straight for the fence.\I wonder if it's for inspection?\Oh, and I don't care about the chemicals.\That's because you'll protect me.\For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method. response:	Goodbye, Ray. Thank you for all your hard work until now.
context: it must be Emma and Norman.\They're heading straight for the fence.\I wonder if it's for inspection?\Oh, and I don't care about the chemicals.\That's because you'll protect me.\For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now. response:	Damn it!
context: They're heading straight for the fence.\I wonder if it's for inspection?\Oh, and I don't care about the chemicals.\That's because you'll protect me.\For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now.\Damn it! response:	In any case, I have to get out of here!
context: I wonder if it's for inspection?\Oh, and I don't care about the chemicals.\That's because you'll protect me.\For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now.\Damn it!\In any case, I have to get out of here! response:	This is the worst!
context: Oh, and I don't care about the chemicals.\That's because you'll protect me.\For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now.\Damn it!\In any case, I have to get out of here!\This is the worst! response:	There's no signal.
context: That's because you'll protect me.\For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now.\Damn it!\In any case, I have to get out of here!\This is the worst!\There's no signal. response:	Hopefully things go smoothly.
context: For their sake, you won't get me killed.\That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now.\Damn it!\In any case, I have to get out of here!\This is the worst!\There's no signal.\Hopefully things go smoothly. response:	What's going on?
context: That's why if you wanted to suppress me, you'll definitely use a different method.\Goodbye, Ray. Thank you for all your hard work until now.\Damn it!\In any case, I have to get out of here!\This is the worst!\There's no signal.\Hopefully things go smoothly.\What's going on? response:	Ray hasn't signaled us, but Mom came out!
context: Goodbye, Ray. Thank you for all your hard work until now.\Damn it!\In any case, I have to get out of here!\This is the worst!\There's no signal.\Hopefully things go smoothly.\What's going on?\Ray hasn't signaled us, but Mom came out! response:	What should we do?
context: Damn it!\In any case, I have to get out of here!\This is the worst!\There's no signal.\Hopefully things go smoothly.\What's going on?\Ray hasn't signaled us, but Mom came out!\What should we do? response:	Gilda, you stay here.
context: In any case, I have to get out of here!\This is the worst!\There's no signal.\Hopefully things go smoothly.\What's going on?\Ray hasn't signaled us, but Mom came out!\What should we do?\Gilda, you stay here. response:	Don!
context: This is the worst!\There's no signal.\Hopefully things go smoothly.\What's going on?\Ray hasn't signaled us, but Mom came out!\What should we do?\Gilda, you stay here.\Don! response:	I'll check inside the House!
context: There's no signal.\Hopefully things go smoothly.\What's going on?\Ray hasn't signaled us, but Mom came out!\What should we do?\Gilda, you stay here.\Don!\I'll check inside the House! response:	Please, just open!
context: Hopefully things go smoothly.\What's going on?\Ray hasn't signaled us, but Mom came out!\What should we do?\Gilda, you stay here.\Don!\I'll check inside the House!\Please, just open! response:	Ray? Is that you?
context: What's going on?\Ray hasn't signaled us, but Mom came out!\What should we do?\Gilda, you stay here.\Don!\I'll check inside the House!\Please, just open!\Ray? Is that you? response:	Don?
context: Ray hasn't signaled us, but Mom came out!\What should we do?\Gilda, you stay here.\Don!\I'll check inside the House!\Please, just open!\Ray? Is that you?\Don? response:	Stay back!
context: What should we do?\Gilda, you stay here.\Don!\I'll check inside the House!\Please, just open!\Ray? Is that you?\Don?\Stay back! response:	Are you okay?
context: Gilda, you stay here.\Don!\I'll check inside the House!\Please, just open!\Ray? Is that you?\Don?\Stay back!\Are you okay? response:	I'm fine!
context: Don!\I'll check inside the House!\Please, just open!\Ray? Is that you?\Don?\Stay back!\Are you okay?\I'm fine! response:	Besides that, Ray...
context: I'll check inside the House!\Please, just open!\Ray? Is that you?\Don?\Stay back!\Are you okay?\I'm fine!\Besides that, Ray... response:	That's right!
context: Please, just open!\Ray? Is that you?\Don?\Stay back!\Are you okay?\I'm fine!\Besides that, Ray...\That's right! response:	Gilda, let's go!
context: Ray? Is that you?\Don?\Stay back!\Are you okay?\I'm fine!\Besides that, Ray...\That's right!\Gilda, let's go! response:	Is inspection canceled? Are we stopping Emma and Norman?
