context: Stay with it, Kuririn... Gohan can't control this Ki... response:	T- t- there it is! Is this-?
context: Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there!\Gohan-chan...\Chichi, are you-?\Chichi...\They've vanished!\Gohan- chan? response:	Uranai Baba, hurry up and show me Gohan- chan!
context: W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there!\Gohan-chan...\Chichi, are you-?\Chichi...\They've vanished!\Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan! response:	A- all right! All right! I'll try! Let me go!
context: Gohan, get out of there!\Gohan-chan...\Chichi, are you-?\Chichi...\They've vanished!\Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go! response:	You've got a ridiculous amount of strength for a woman!
context: Gohan-chan...\Chichi, are you-?\Chichi...\They've vanished!\Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman! response:	Kamehame-Ha!!
context: Chichi, are you-?\Chichi...\They've vanished!\Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!! response:	Is that your last-ditch effort!?
context: Chichi...\They've vanished!\Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!!\Is that your last-ditch effort!? response:	Darn it!
context: They've vanished!\Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!!\Is that your last-ditch effort!?\Darn it! response:	One more!
context: Gohan- chan?\Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!!\Is that your last-ditch effort!?\Darn it!\One more! response:	Damn! With my skill, I can't hit him when he's moving around like that!
context: Uranai Baba, hurry up and show me Gohan- chan!\A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!!\Is that your last-ditch effort!?\Darn it!\One more!\Damn! With my skill, I can't hit him when he's moving around like that! response:	You don't hit him with the Genki Dama by using your eyes.
context: A- all right! All right! I'll try! Let me go!\You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!!\Is that your last-ditch effort!?\Darn it!\One more!\Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes. response:	You sense out his evil Ki and shoot at that.
context: You've got a ridiculous amount of strength for a woman!\Kamehame-Ha!!\Is that your last-ditch effort!?\Darn it!\One more!\Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that. response:	W- who's there!?
context: Kamehame-Ha!!\Is that your last-ditch effort!?\Darn it!\One more!\Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that.\W- who's there!? response:	I am Kaio, the one who taught Son Goku the Genki Dama.
context: Is that your last-ditch effort!?\Darn it!\One more!\Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that.\W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama. response:	K- Kaio- sama?
context: Darn it!\One more!\Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that.\W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama? response:	Everything will be decided by your one shot.
context: One more!\Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that.\W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama?\Everything will be decided by your one shot. response:	Know that the ball of that Genki Dama is filled with the hopes of the whole earth.
context: Damn! With my skill, I can't hit him when he's moving around like that!\You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that.\W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama?\Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth. response:	The ball is filled with the hopes of the whole earth?
context: You don't hit him with the Genki Dama by using your eyes.\You sense out his evil Ki and shoot at that.\W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama?\Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth? response:	No matter how many of you scum gang up on me, you're still no match for an elite.
context: You sense out his evil Ki and shoot at that.\W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama?\Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite. response:	It looks like once you realized that, it was already too late.
context: W- who's there!?\I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama?\Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late. response:	S- sense out his evil Ki and shoot at that... So that's it...
context: I am Kaio, the one who taught Son Goku the Genki Dama.\K- Kaio- sama?\Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it... response:	Kuririn, we're counting on you!
context: K- Kaio- sama?\Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you! response:	You'll only get one chance.
context: Everything will be decided by your one shot.\Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you!\You'll only get one chance. response:	I'm done playing around.
context: Know that the ball of that Genki Dama is filled with the hopes of the whole earth.\The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you!\You'll only get one chance.\I'm done playing around. response:	You think you can get away!?
context: The ball is filled with the hopes of the whole earth?\No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you!\You'll only get one chance.\I'm done playing around.\You think you can get away!? response:	F - feel it! Feel his evil Ki!
context: No matter how many of you scum gang up on me, you're still no match for an elite.\It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you!\You'll only get one chance.\I'm done playing around.\You think you can get away!?\F - feel it! Feel his evil Ki! response:	K - Kuririn!
context: It looks like once you realized that, it was already too late.\S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you!\You'll only get one chance.\I'm done playing around.\You think you can get away!?\F - feel it! Feel his evil Ki!\K - Kuririn! response:	H - he's fixin' to do somethin'. That's a humungous amount of Ki.
context: S- sense out his evil Ki and shoot at that... So that's it...\Kuririn, we're counting on you!\You'll only get one chance.\I'm done playing around.\You think you can get away!?\F - feel it! Feel his evil Ki!\K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki. response:	lf you're gonna get him, then get him, already!
context: Kuririn, we're counting on you!\You'll only get one chance.\I'm done playing around.\You think you can get away!?\F - feel it! Feel his evil Ki!\K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already! response:	Watch closely, Kakarrot! This is the end of your foolish son!
context: You'll only get one chance.\I'm done playing around.\You think you can get away!?\F - feel it! Feel his evil Ki!\K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son! response:	I've got him!
context: I'm done playing around.\You think you can get away!?\F - feel it! Feel his evil Ki!\K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son!\I've got him! response:	What're ya doin', ya dimwit!? Hurry up and hit him with that!
context: You think you can get away!?\F - feel it! Feel his evil Ki!\K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son!\I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that! response:	W - what?
context: F - feel it! Feel his evil Ki!\K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son!\I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what? response:	T- that idiot!
context: K - Kuririn!\H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son!\I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what?\T- that idiot! response:	Damn it all!
context: H - he's fixin' to do somethin'. That's a humungous amount of Ki.\lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son!\I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what?\T- that idiot!\Damn it all! response:	W- what is that!?
context: lf you're gonna get him, then get him, already!\Watch closely, Kakarrot! This is the end of your foolish son!\I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what?\T- that idiot!\Damn it all!\W- what is that!? response:	Hit him!
context: Watch closely, Kakarrot! This is the end of your foolish son!\I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what?\T- that idiot!\Damn it all!\W- what is that!?\Hit him! response:	It missed!
context: I've got him!\What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what?\T- that idiot!\Damn it all!\W- what is that!?\Hit him!\It missed! response:	W- what happened!? How could my crystal ball crack!?
context: What're ya doin', ya dimwit!? Hurry up and hit him with that!\W - what?\T- that idiot!\Damn it all!\W- what is that!?\Hit him!\It missed!\W- what happened!? How could my crystal ball crack!? response:	G- Gohan- chan!
context: W - what?\T- that idiot!\Damn it all!\W- what is that!?\Hit him!\It missed!\W- what happened!? How could my crystal ball crack!?\G- Gohan- chan! response:	It's hopeless now!
context: T- that idiot!\Damn it all!\W- what is that!?\Hit him!\It missed!\W- what happened!? How could my crystal ball crack!?\G- Gohan- chan!\It's hopeless now! response:	Bounce it back, Gohan!
context: Damn it all!\W- what is that!?\Hit him!\It missed!\W- what happened!? How could my crystal ball crack!?\G- Gohan- chan!\It's hopeless now!\Bounce it back, Gohan! response:	Gohan, that thing is on our side!
context: W- what is that!?\Hit him!\It missed!\W- what happened!? How could my crystal ball crack!?\G- Gohan- chan!\It's hopeless now!\Bounce it back, Gohan!\Gohan, that thing is on our side! response:	As long as you don't have any evil in you, you should be able to bounce it back!
context: Hit him!\It missed!\W- what happened!? How could my crystal ball crack!?\G- Gohan- chan!\It's hopeless now!\Bounce it back, Gohan!\Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back! response:	You did it!
context: It missed!\W- what happened!? How could my crystal ball crack!?\G- Gohan- chan!\It's hopeless now!\Bounce it back, Gohan!\Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back!\You did it! response:	Yahoo!
context: W- what happened!? How could my crystal ball crack!?\G- Gohan- chan!\It's hopeless now!\Bounce it back, Gohan!\Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back!\You did it!\Yahoo! response:	We did it!
context: G- Gohan- chan!\It's hopeless now!\Bounce it back, Gohan!\Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back!\You did it!\Yahoo!\We did it! response:	We did it!
context: It's hopeless now!\Bounce it back, Gohan!\Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back!\You did it!\Yahoo!\We did it!\We did it! response:	We did it, Goku!
context: Bounce it back, Gohan!\Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back!\You did it!\Yahoo!\We did it!\We did it!\We did it, Goku! response:	Turtle, do you have any quick-drying glue?
context: Gohan, that thing is on our side!\As long as you don't have any evil in you, you should be able to bounce it back!\You did it!\Yahoo!\We did it!\We did it!\We did it, Goku!\Turtle, do you have any quick-drying glue? response:	Glue? Hmm, I seem to remember having some around here somewhere...
context: As long as you don't have any evil in you, you should be able to bounce it back!\You did it!\Yahoo!\We did it!\We did it!\We did it, Goku!\Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere... response:	What about Gohan- chan!?
context: You did it!\Yahoo!\We did it!\We did it!\We did it, Goku!\Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!? response:	Uranai Baba, can't you do something about the crystal ball!?
context: Yahoo!\We did it!\We did it!\We did it, Goku!\Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!? response:	Chichi! Stop that!
context: We did it!\We did it!\We did it, Goku!\Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that! response:	Y- you're right. But how are we goin' to get to where Goku and them are?
context: We did it!\We did it, Goku!\Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are? response:	All right, Chichi- san, I'll take you there.
context: We did it, Goku!\Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there. response:	Really? But how?
context: Turtle, do you have any quick-drying glue?\Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there.\Really? But how? response:	In my airship.
context: Glue? Hmm, I seem to remember having some around here somewhere...\What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there.\Really? But how?\In my airship. response:	Bulma- san, thank you!
context: What about Gohan- chan!?\Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there.\Really? But how?\In my airship.\Bulma- san, thank you! response:	If I were to ever have a husband and son who were in trouble,
context: Uranai Baba, can't you do something about the crystal ball!?\Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there.\Really? But how?\In my airship.\Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble, response:	I would rush to their side, no matter what. That's human nature.
context: Chichi! Stop that!\Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there.\Really? But how?\In my airship.\Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature. response:	All right, I'm going too.
context: Y- you're right. But how are we goin' to get to where Goku and them are?\All right, Chichi- san, I'll take you there.\Really? But how?\In my airship.\Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature.\All right, I'm going too. response:	I'm going, too.
context: All right, Chichi- san, I'll take you there.\Really? But how?\In my airship.\Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature.\All right, I'm going too.\I'm going, too. response:	K- Karin- sama!
context: Really? But how?\In my airship.\Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature.\All right, I'm going too.\I'm going, too.\K- Karin- sama! response:	Father...
context: In my airship.\Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature.\All right, I'm going too.\I'm going, too.\K- Karin- sama!\Father... response:	You guys finally got him, huh?
context: Bulma- san, thank you!\If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature.\All right, I'm going too.\I'm going, too.\K- Karin- sama!\Father...\You guys finally got him, huh? response:	Time and again, I thought we were done for.
context: If I were to ever have a husband and son who were in trouble,\I would rush to their side, no matter what. That's human nature.\All right, I'm going too.\I'm going, too.\K- Karin- sama!\Father...\You guys finally got him, huh?\Time and again, I thought we were done for. response:	You two sure are a mess.
context: I would rush to their side, no matter what. That's human nature.\All right, I'm going too.\I'm going, too.\K- Karin- sama!\Father...\You guys finally got him, huh?\Time and again, I thought we were done for.\You two sure are a mess. response:	We're not as bad off as you.
context: All right, I'm going too.\I'm going, too.\K- Karin- sama!\Father...\You guys finally got him, huh?\Time and again, I thought we were done for.\You two sure are a mess.\We're not as bad off as you. response:	T- the Saiyan!
context: I'm going, too.\K- Karin- sama!\Father...\You guys finally got him, huh?\Time and again, I thought we were done for.\You two sure are a mess.\We're not as bad off as you.\T- the Saiyan! response:	It's okay. He's dead.
context: K- Karin- sama!\Father...\You guys finally got him, huh?\Time and again, I thought we were done for.\You two sure are a mess.\We're not as bad off as you.\T- the Saiyan!\It's okay. He's dead. response:	We can relax, now.
context: Father...\You guys finally got him, huh?\Time and again, I thought we were done for.\You two sure are a mess.\We're not as bad off as you.\T- the Saiyan!\It's okay. He's dead.\We can relax, now. response:	Damn it all, he was one horrible fellow, but we could at least dig a grave.
context: You guys finally got him, huh?\Time and again, I thought we were done for.\You two sure are a mess.\We're not as bad off as you.\T- the Saiyan!\It's okay. He's dead.\We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave. response:	You mean, a grave for you guys?
context: Time and again, I thought we were done for.\You two sure are a mess.\We're not as bad off as you.\T- the Saiyan!\It's okay. He's dead.\We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys? response:	T- t- that's impossible! He took that Genki Dama dead-on!
context: You two sure are a mess.\We're not as bad off as you.\T- the Saiyan!\It's okay. He's dead.\We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on! response:	You put me through quite the awful experience, huh?
context: We're not as bad off as you.\T- the Saiyan!\It's okay. He's dead.\We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh? response:	E- even I thought I was going to die from that one.
context: T- the Saiyan!\It's okay. He's dead.\We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one. response:	I may have taken quite a bit of damage,
context: It's okay. He's dead.\We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one.\I may have taken quite a bit of damage, response:	but I still have enough power left to take care of you trash.
context: We can relax, now.\Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one.\I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash. response:	After I've killed you,
context: Damn it all, he was one horrible fellow, but we could at least dig a grave.\You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one.\I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash.\After I've killed you, response:	I'll wait until I've recovered my strength, and then thoroughly destroy this planet!
context: You mean, a grave for you guys?\T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one.\I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash.\After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet! response:	Just keep on going straight.
context: T- t- that's impossible! He took that Genki Dama dead-on!\You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one.\I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash.\After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight. response:	Bulma! For Karin- sama to deign to give you directions...
context: You put me through quite the awful experience, huh?\E- even I thought I was going to die from that one.\I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash.\After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions... response:	It is? He looks like an ordinary cat to me.
context: E- even I thought I was going to die from that one.\I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash.\After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions...\It is? He looks like an ordinary cat to me. response:	Y- you guys dare to make me, Vegeta- sama, use up nearly all of my power?
context: I may have taken quite a bit of damage,\but I still have enough power left to take care of you trash.\After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions...\It is? He looks like an ordinary cat to me.\Y- you guys dare to make me, Vegeta- sama, use up nearly all of my power? response:	Never mind that you ganged up on me, against trash like you, it wounds my pride...
context: but I still have enough power left to take care of you trash.\After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions...\It is? He looks like an ordinary cat to me.\Y- you guys dare to make me, Vegeta- sama, use up nearly all of my power?\Never mind that you ganged up on me, against trash like you, it wounds my pride... response:	Would you die, already!?
context: After I've killed you,\I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions...\It is? He looks like an ordinary cat to me.\Y- you guys dare to make me, Vegeta- sama, use up nearly all of my power?\Never mind that you ganged up on me, against trash like you, it wounds my pride...\Would you die, already!? response:	D- dammit... Dammit!
context: I'll wait until I've recovered my strength, and then thoroughly destroy this planet!\Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions...\It is? He looks like an ordinary cat to me.\Y- you guys dare to make me, Vegeta- sama, use up nearly all of my power?\Never mind that you ganged up on me, against trash like you, it wounds my pride...\Would you die, already!?\D- dammit... Dammit! response:	G- Goku!
context: Just keep on going straight.\Bulma! For Karin- sama to deign to give you directions...\It is? He looks like an ordinary cat to me.\Y- you guys dare to make me, Vegeta- sama, use up nearly all of my power?\Never mind that you ganged up on me, against trash like you, it wounds my pride...\Would you die, already!?\D- dammit... Dammit!\G- Goku! response:	Damn it! Coming from me, that destructive force was pathetic!
