context: After an utterly impartial drawing, response:	it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!
context: Please, please, please, please, I beg of you!\Why not?\I expected as much...\U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play...\the main character.\Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy, response:	in case you're not able to perform on the big day.
context: Why not?\I expected as much...\U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play...\the main character.\Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day. response:	Would that be all right? Maiko-san?
context: I expected as much...\U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play...\the main character.\Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day.\Would that be all right? Maiko-san? response:	Yup, that'd be totally fine.
context: U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play...\the main character.\Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day.\Would that be all right? Maiko-san?\Yup, that'd be totally fine. response:	Onodera, I didn't know you were into drama and theater.
context: The thing is, I was actually hoping to play...\the main character.\Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day.\Would that be all right? Maiko-san?\Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater. response:	I guess... Um...
context: the main character.\Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day.\Would that be all right? Maiko-san?\Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater.\I guess... Um... response:	J-Just a little?
context: Is that right? Then I suppose there's nothing to be done.\In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day.\Would that be all right? Maiko-san?\Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater.\I guess... Um...\J-Just a little? response:	Oh, crap! Is this for real?
context: In that case, I shall settle for the role of understudy,\in case you're not able to perform on the big day.\Would that be all right? Maiko-san?\Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater.\I guess... Um...\J-Just a little?\Oh, crap! Is this for real? response:	Onodera and me as Romeo and Juliet?
context: in case you're not able to perform on the big day.\Would that be all right? Maiko-san?\Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater.\I guess... Um...\J-Just a little?\Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet? response:	I never dreamed that I'd get to play Onodera's love interest!
context: Would that be all right? Maiko-san?\Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater.\I guess... Um...\J-Just a little?\Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest! response:	What am I gonna do? Sure, it's just a play, but I'm still freaking out!
context: Yup, that'd be totally fine.\Onodera, I didn't know you were into drama and theater.\I guess... Um...\J-Just a little?\Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out! response:	But...
context: Onodera, I didn't know you were into drama and theater.\I guess... Um...\J-Just a little?\Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But... response:	Gloom
context: I guess... Um...\J-Just a little?\Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But...\Gloom response:	Gloom
context: J-Just a little?\Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But...\Gloom\Gloom response:	Gloom
context: Oh, crap! Is this for real?\Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But...\Gloom\Gloom\Gloom response:	Episode 19 - The Play
context: Onodera and me as Romeo and Juliet?\I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But...\Gloom\Gloom\Gloom\Episode 19 - The Play response:	Episode 19 - The Play
context: I never dreamed that I'd get to play Onodera's love interest!\What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But...\Gloom\Gloom\Gloom\Episode 19 - The Play\Episode 19 - The Play response:	Episode 19 - The Play
context: What am I gonna do? Sure, it's just a play, but I'm still freaking out!\But...\Gloom\Gloom\Gloom\Episode 19 - The Play\Episode 19 - The Play\Episode 19 - The Play response:	All right, rehearsal starts after school, so report to the classroom, guys!
context: But...\Gloom\Gloom\Gloom\Episode 19 - The Play\Episode 19 - The Play\Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys! response:	Right! Okay!
context: Gloom\Gloom\Gloom\Episode 19 - The Play\Episode 19 - The Play\Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay! response:	She left.
context: Gloom\Gloom\Episode 19 - The Play\Episode 19 - The Play\Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay!\She left. response:	Hey, hold up, Chitoge!
context: Gloom\Episode 19 - The Play\Episode 19 - The Play\Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay!\She left.\Hey, hold up, Chitoge! response:	What?
context: Episode 19 - The Play\Episode 19 - The Play\Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay!\She left.\Hey, hold up, Chitoge!\What? response:	Don't what me! Why are you leaving already?
context: Episode 19 - The Play\Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay!\She left.\Hey, hold up, Chitoge!\What?\Don't what me! Why are you leaving already? response:	Well, I'm not in the play, and I don't have anything else to do.
context: Episode 19 - The Play\All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay!\She left.\Hey, hold up, Chitoge!\What?\Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do. response:	That's not what I'm talking about.
context: All right, rehearsal starts after school, so report to the classroom, guys!\Right! Okay!\She left.\Hey, hold up, Chitoge!\What?\Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about. response:	We gotta go home together, or else people will get suspicious!
context: Right! Okay!\She left.\Hey, hold up, Chitoge!\What?\Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about.\We gotta go home together, or else people will get suspicious! response:	We're supposed to be crazy in love, remember?
context: She left.\Hey, hold up, Chitoge!\What?\Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about.\We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember? response:	One day won't make a difference.
context: Hey, hold up, Chitoge!\What?\Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about.\We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember?\One day won't make a difference. response:	That's not the point.
context: What?\Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about.\We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember?\One day won't make a difference.\That's not the point. response:	Why did you turn down the role of Juliet?
context: Don't what me! Why are you leaving already?\Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about.\We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember?\One day won't make a difference.\That's not the point.\Why did you turn down the role of Juliet? response:	You and I are supposed to be a couple, you know.
context: Well, I'm not in the play, and I don't have anything else to do.\That's not what I'm talking about.\We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember?\One day won't make a difference.\That's not the point.\Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know. response:	Well, that's simple.
context: That's not what I'm talking about.\We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember?\One day won't make a difference.\That's not the point.\Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know.\Well, that's simple. response:	I didn't want to do it.
context: We gotta go home together, or else people will get suspicious!\We're supposed to be crazy in love, remember?\One day won't make a difference.\That's not the point.\Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know.\Well, that's simple.\I didn't want to do it. response:	Are we done here? I'll be heading home, then.
context: We're supposed to be crazy in love, remember?\One day won't make a difference.\That's not the point.\Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know.\Well, that's simple.\I didn't want to do it.\Are we done here? I'll be heading home, then. response:	Hey! What's the deal with your attitude these days?
context: One day won't make a difference.\That's not the point.\Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know.\Well, that's simple.\I didn't want to do it.\Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days? response:	If you've got a bone to pick with me, just say so! Tell me why you're mad!
context: That's not the point.\Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know.\Well, that's simple.\I didn't want to do it.\Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad! response:	If you just dump on me like that without telling me why, how am I supposed to know?
context: Why did you turn down the role of Juliet?\You and I are supposed to be a couple, you know.\Well, that's simple.\I didn't want to do it.\Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know? response:	Did I do something to you?
context: You and I are supposed to be a couple, you know.\Well, that's simple.\I didn't want to do it.\Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you? response:	Did I say something that rubbed you the wrong way?
context: Well, that's simple.\I didn't want to do it.\Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you?\Did I say something that rubbed you the wrong way? response:	Maybe I can't solve all your problems, but you could at least talk to me.
context: I didn't want to do it.\Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you?\Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me. response:	I told you already.
context: Are we done here? I'll be heading home, then.\Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you?\Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me.\I told you already. response:	There's nothing wrong, and I'm not mad.
context: Hey! What's the deal with your attitude these days?\If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you?\Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me.\I told you already.\There's nothing wrong, and I'm not mad. response:	I also told you, Don't act so familiar with me.
context: If you've got a bone to pick with me, just say so! Tell me why you're mad!\If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you?\Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me.\I told you already.\There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me. response:	You and I aren't even a genuine couple.
context: If you just dump on me like that without telling me why, how am I supposed to know?\Did I do something to you?\Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me.\I told you already.\There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple. response:	Who said we have to chat like good friends when nobody's looking?
context: Did I do something to you?\Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me.\I told you already.\There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking? response:	See you.
context: Did I say something that rubbed you the wrong way?\Maybe I can't solve all your problems, but you could at least talk to me.\I told you already.\There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking?\See you. response:	What the hell was that?
context: Maybe I can't solve all your problems, but you could at least talk to me.\I told you already.\There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking?\See you.\What the hell was that? response:	I was just worried about you, that's all.
context: I told you already.\There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking?\See you.\What the hell was that?\I was just worried about you, that's all. response:	Huh? Ichijou-kun? Where have you been?
context: There's nothing wrong, and I'm not mad.\I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking?\See you.\What the hell was that?\I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been? response:	Rehearsal will be starting soon!
context: I also told you, Don't act so familiar with me.\You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking?\See you.\What the hell was that?\I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon! response:	Whoops, sorry.
context: You and I aren't even a genuine couple.\Who said we have to chat like good friends when nobody's looking?\See you.\What the hell was that?\I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon!\Whoops, sorry. response:	I was just about to head over.
context: Who said we have to chat like good friends when nobody's looking?\See you.\What the hell was that?\I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon!\Whoops, sorry.\I was just about to head over. response:	So Ichijou-kun and Chitoge-chan are still fighting.
context: See you.\What the hell was that?\I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon!\Whoops, sorry.\I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting. response:	No, no! You can't think about such things!
context: What the hell was that?\I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon!\Whoops, sorry.\I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things! response:	It's like my mind can't help going there!
context: I was just worried about you, that's all.\Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon!\Whoops, sorry.\I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things!\It's like my mind can't help going there! response:	But I wonder what that picture was really about?
context: Huh? Ichijou-kun? Where have you been?\Rehearsal will be starting soon!\Whoops, sorry.\I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things!\It's like my mind can't help going there!\But I wonder what that picture was really about? response:	How does Ichijou-kun really feel about Chitoge-chan?
context: Rehearsal will be starting soon!\Whoops, sorry.\I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things!\It's like my mind can't help going there!\But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan? response:	Teacher's Room
context: Whoops, sorry.\I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things!\It's like my mind can't help going there!\But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room response:	Teacher's Room
context: I was just about to head over.\So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things!\It's like my mind can't help going there!\But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room\Teacher's Room response:	Here are the handouts I've collected.
context: So Ichijou-kun and Chitoge-chan are still fighting.\No, no! You can't think about such things!\It's like my mind can't help going there!\But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room\Teacher's Room\Here are the handouts I've collected. response:	Hey, thanks!
context: No, no! You can't think about such things!\It's like my mind can't help going there!\But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room\Teacher's Room\Here are the handouts I've collected.\Hey, thanks! response:	But really, who knew you'd be playing Juliet?
context: It's like my mind can't help going there!\But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room\Teacher's Room\Here are the handouts I've collected.\Hey, thanks!\But really, who knew you'd be playing Juliet? response:	You took me by surprise.
context: But I wonder what that picture was really about?\How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room\Teacher's Room\Here are the handouts I've collected.\Hey, thanks!\But really, who knew you'd be playing Juliet?\You took me by surprise. response:	What brought about this change of heart?
context: How does Ichijou-kun really feel about Chitoge-chan?\Teacher's Room\Teacher's Room\Here are the handouts I've collected.\Hey, thanks!\But really, who knew you'd be playing Juliet?\You took me by surprise.\What brought about this change of heart? response:	I bet you're going to be a perfect fit for it.
context: Teacher's Room\Teacher's Room\Here are the handouts I've collected.\Hey, thanks!\But really, who knew you'd be playing Juliet?\You took me by surprise.\What brought about this change of heart?\I bet you're going to be a perfect fit for it. response:	I need to make sure I get a good look!
context: Teacher's Room\Here are the handouts I've collected.\Hey, thanks!\But really, who knew you'd be playing Juliet?\You took me by surprise.\What brought about this change of heart?\I bet you're going to be a perfect fit for it.\I need to make sure I get a good look! response:	Oh, no. I'm not that...
context: Here are the handouts I've collected.\Hey, thanks!\But really, who knew you'd be playing Juliet?\You took me by surprise.\What brought about this change of heart?\I bet you're going to be a perfect fit for it.\I need to make sure I get a good look!\Oh, no. I'm not that... response:	Sensei? Where did... you get that photo?
context: Hey, thanks!\But really, who knew you'd be playing Juliet?\You took me by surprise.\What brought about this change of heart?\I bet you're going to be a perfect fit for it.\I need to make sure I get a good look!\Oh, no. I'm not that...\Sensei? Where did... you get that photo? response:	Oh, this?
context: But really, who knew you'd be playing Juliet?\You took me by surprise.\What brought about this change of heart?\I bet you're going to be a perfect fit for it.\I need to make sure I get a good look!\Oh, no. I'm not that...\Sensei? Where did... you get that photo?\Oh, this? response:	Remember our field trip last semester?
context: You took me by surprise.\What brought about this change of heart?\I bet you're going to be a perfect fit for it.\I need to make sure I get a good look!\Oh, no. I'm not that...\Sensei? Where did... you get that photo?\Oh, this?\Remember our field trip last semester? response:	This is a photo from that trip.
context: What brought about this change of heart?\I bet you're going to be a perfect fit for it.\I need to make sure I get a good look!\Oh, no. I'm not that...\Sensei? Where did... you get that photo?\Oh, this?\Remember our field trip last semester?\This is a photo from that trip. response:	Look, over here. That's you, right?
context: I bet you're going to be a perfect fit for it.\I need to make sure I get a good look!\Oh, no. I'm not that...\Sensei? Where did... you get that photo?\Oh, this?\Remember our field trip last semester?\This is a photo from that trip.\Look, over here. That's you, right? response:	I screwed up and got a shot of you in your underwear, see.
context: I need to make sure I get a good look!\Oh, no. I'm not that...\Sensei? Where did... you get that photo?\Oh, this?\Remember our field trip last semester?\This is a photo from that trip.\Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see. response:	Ichijou spotted it, and brought it back to me.
context: Oh, no. I'm not that...\Sensei? Where did... you get that photo?\Oh, this?\Remember our field trip last semester?\This is a photo from that trip.\Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me. response:	I'm pretty sure none of the other kids saw it, so don't worry, okay?
context: Sensei? Where did... you get that photo?\Oh, this?\Remember our field trip last semester?\This is a photo from that trip.\Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay? response:	Who knew he was such a gentleman?
context: Oh, this?\Remember our field trip last semester?\This is a photo from that trip.\Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman? response:	Ichijou-kun did that?
context: Remember our field trip last semester?\This is a photo from that trip.\Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman?\Ichijou-kun did that? response:	Whoops, not good! Forgot that Ichijou swore me to secrecy.
context: This is a photo from that trip.\Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman?\Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy. response:	Listen, Onodera, don't tell anyone, okay?
context: Look, over here. That's you, right?\I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman?\Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay? response:	So that's the story.
context: I screwed up and got a shot of you in your underwear, see.\Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman?\Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay?\So that's the story. response:	Ichijou-kun was looking out for me when he brought that photo to the teacher.
context: Ichijou spotted it, and brought it back to me.\I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman?\Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay?\So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher. response:	And here I was worried sick.
context: I'm pretty sure none of the other kids saw it, so don't worry, okay?\Who knew he was such a gentleman?\Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay?\So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick. response:	Don't act so familiar with me.
context: Who knew he was such a gentleman?\Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay?\So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick.\Don't act so familiar with me. response:	Damn it! Oh, forget her! I don't care about her!
context: Ichijou-kun did that?\Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay?\So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick.\Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her! response:	I've got Onodera already.
context: Whoops, not good! Forgot that Ichijou swore me to secrecy.\Listen, Onodera, don't tell anyone, okay?\So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick.\Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her!\I've got Onodera already. response:	You can't just shame her, can you?
context: Listen, Onodera, don't tell anyone, okay?\So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick.\Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her!\I've got Onodera already.\You can't just shame her, can you? response:	All right, I'm gonna break a leg if I have to!
context: So that's the story.\Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick.\Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her!\I've got Onodera already.\You can't just shame her, can you?\All right, I'm gonna break a leg if I have to! response:	O Juliet! I love no one but you!
context: Ichijou-kun was looking out for me when he brought that photo to the teacher.\And here I was worried sick.\Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her!\I've got Onodera already.\You can't just shame her, can you?\All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you! response:	No, Onodera...
context: And here I was worried sick.\Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her!\I've got Onodera already.\You can't just shame her, can you?\All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you!\No, Onodera... response:	The next line is, And I you, Romeo!
context: Don't act so familiar with me.\Damn it! Oh, forget her! I don't care about her!\I've got Onodera already.\You can't just shame her, can you?\All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you!\No, Onodera...\The next line is, And I you, Romeo! response:	R-Right, that's my line! Sorry!
