context: You're not going to do anything, Director? response:	That is correct, Nekonome-sensei.
context: Why have things come to this?\Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me.\But if that were the case,\I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club. response:	Those are some pretty admirable words coming from a human.
context: Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me.\But if that were the case,\I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human. response:	Alright then, I have a benevolent heart too.
context: Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me.\But if that were the case,\I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too. response:	Then...
context: Enroll into a normal school and befriend people who are humans like me.\But if that were the case,\I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too.\Then... response:	To not let the members from the Newspaper Club suffer,
context: But if that were the case,\I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too.\Then...\To not let the members from the Newspaper Club suffer, response:	I will kill them all swiftly.
context: I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too.\Then...\To not let the members from the Newspaper Club suffer,\I will kill them all swiftly. response:	Stop...
context: Have you gone crazy because of fear?\Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too.\Then...\To not let the members from the Newspaper Club suffer,\I will kill them all swiftly.\Stop... response:	Stop...!
context: Once you execute me, please don't lay a finger on the other members of the Newspaper Club.\Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too.\Then...\To not let the members from the Newspaper Club suffer,\I will kill them all swiftly.\Stop...\Stop...! response:	You guys will be in hell, publishing newspapers that no one will read.
context: Those are some pretty admirable words coming from a human.\Alright then, I have a benevolent heart too.\Then...\To not let the members from the Newspaper Club suffer,\I will kill them all swiftly.\Stop...\Stop...!\You guys will be in hell, publishing newspapers that no one will read. response:	This was the place where you saved me, Tsukune.
context: Alright then, I have a benevolent heart too.\Then...\To not let the members from the Newspaper Club suffer,\I will kill them all swiftly.\Stop...\Stop...!\You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune. response:	It's your turn to save him now.
context: Then...\To not let the members from the Newspaper Club suffer,\I will kill them all swiftly.\Stop...\Stop...!\You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune.\It's your turn to save him now. response:	You are...
context: To not let the members from the Newspaper Club suffer,\I will kill them all swiftly.\Stop...\Stop...!\You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune.\It's your turn to save him now.\You are... response:	Kurumu-san, at this rate...
context: I will kill them all swiftly.\Stop...\Stop...!\You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune.\It's your turn to save him now.\You are...\Kurumu-san, at this rate... response:	You know, I didn't have the chance to say it just now...
context: Stop...\Stop...!\You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune.\It's your turn to save him now.\You are...\Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now... response:	But this is how I feel,
context: Stop...!\You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune.\It's your turn to save him now.\You are...\Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now...\But this is how I feel, response:	It doesn't matter if you're a monster or human.
context: You guys will be in hell, publishing newspapers that no one will read.\This was the place where you saved me, Tsukune.\It's your turn to save him now.\You are...\Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now...\But this is how I feel,\It doesn't matter if you're a monster or human. response:	All that matters is if you're a good or bad person.
context: This was the place where you saved me, Tsukune.\It's your turn to save him now.\You are...\Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now...\But this is how I feel,\It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person. response:	Because, I was always bullied by other monsters, and the person who saved me,
context: It's your turn to save him now.\You are...\Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now...\But this is how I feel,\It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me, response:	was a human, which I've always been afraid of, Tsukune-san!
context: You are...\Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now...\But this is how I feel,\It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san! response:	I know that.
context: Kurumu-san, at this rate...\You know, I didn't have the chance to say it just now...\But this is how I feel,\It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san!\I know that. response:	If that's the case, then-
context: You know, I didn't have the chance to say it just now...\But this is how I feel,\It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san!\I know that.\If that's the case, then- response:	That's not it, Yukari-chan.
context: But this is how I feel,\It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san!\I know that.\If that's the case, then-\That's not it, Yukari-chan. response:	What I'm angry about is that,
context: It doesn't matter if you're a monster or human.\All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san!\I know that.\If that's the case, then-\That's not it, Yukari-chan.\What I'm angry about is that, response:	Even though we're friends, Tsukune and Moka hid the truth up until now!
context: All that matters is if you're a good or bad person.\Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san!\I know that.\If that's the case, then-\That's not it, Yukari-chan.\What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now! response:	Kurumu-san...
context: Because, I was always bullied by other monsters, and the person who saved me,\was a human, which I've always been afraid of, Tsukune-san!\I know that.\If that's the case, then-\That's not it, Yukari-chan.\What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san... response:	You see... you see!
context: was a human, which I've always been afraid of, Tsukune-san!\I know that.\If that's the case, then-\That's not it, Yukari-chan.\What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san...\You see... you see! response:	Shouldn't I be frustrated?
context: I know that.\If that's the case, then-\That's not it, Yukari-chan.\What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san...\You see... you see!\Shouldn't I be frustrated? response:	If they had told me earlier, then I could have helped them somehow!
context: If that's the case, then-\That's not it, Yukari-chan.\What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san...\You see... you see!\Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow! response:	Idiots!
context: That's not it, Yukari-chan.\What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san...\You see... you see!\Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow!\Idiots! response:	Tsukune and Moka are both idiots!
context: What I'm angry about is that,\Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san...\You see... you see!\Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow!\Idiots!\Tsukune and Moka are both idiots! response:	You should tell the two of them directly.
context: Even though we're friends, Tsukune and Moka hid the truth up until now!\Kurumu-san...\You see... you see!\Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow!\Idiots!\Tsukune and Moka are both idiots!\You should tell the two of them directly. response:	At this rate, Tsukune will...
context: Kurumu-san...\You see... you see!\Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow!\Idiots!\Tsukune and Moka are both idiots!\You should tell the two of them directly.\At this rate, Tsukune will... response:	Have you given up?
context: You see... you see!\Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow!\Idiots!\Tsukune and Moka are both idiots!\You should tell the two of them directly.\At this rate, Tsukune will...\Have you given up? response:	I want to save Tsukune...
context: Shouldn't I be frustrated?\If they had told me earlier, then I could have helped them somehow!\Idiots!\Tsukune and Moka are both idiots!\You should tell the two of them directly.\At this rate, Tsukune will...\Have you given up?\I want to save Tsukune... response:	But with my current powers...
context: If they had told me earlier, then I could have helped them somehow!\Idiots!\Tsukune and Moka are both idiots!\You should tell the two of them directly.\At this rate, Tsukune will...\Have you given up?\I want to save Tsukune...\But with my current powers... response:	Do you really think that you're alone?
context: Idiots!\Tsukune and Moka are both idiots!\You should tell the two of them directly.\At this rate, Tsukune will...\Have you given up?\I want to save Tsukune...\But with my current powers...\Do you really think that you're alone? response:	Crow?
context: Tsukune and Moka are both idiots!\You should tell the two of them directly.\At this rate, Tsukune will...\Have you given up?\I want to save Tsukune...\But with my current powers...\Do you really think that you're alone?\Crow? response:	Stand back.
context: You should tell the two of them directly.\At this rate, Tsukune will...\Have you given up?\I want to save Tsukune...\But with my current powers...\Do you really think that you're alone?\Crow?\Stand back. response:	It's been a while.
context: At this rate, Tsukune will...\Have you given up?\I want to save Tsukune...\But with my current powers...\Do you really think that you're alone?\Crow?\Stand back.\It's been a while. response:	Ruby-san!
context: Have you given up?\I want to save Tsukune...\But with my current powers...\Do you really think that you're alone?\Crow?\Stand back.\It's been a while.\Ruby-san! response:	It's not just me.
context: I want to save Tsukune...\But with my current powers...\Do you really think that you're alone?\Crow?\Stand back.\It's been a while.\Ruby-san!\It's not just me. response:	It took us quite a while to finish off those guards.
context: But with my current powers...\Do you really think that you're alone?\Crow?\Stand back.\It's been a while.\Ruby-san!\It's not just me.\It took us quite a while to finish off those guards. response:	It was really tiring!
context: Do you really think that you're alone?\Crow?\Stand back.\It's been a while.\Ruby-san!\It's not just me.\It took us quite a while to finish off those guards.\It was really tiring! response:	Shirayuki-san and Yukari-chan!
context: Crow?\Stand back.\It's been a while.\Ruby-san!\It's not just me.\It took us quite a while to finish off those guards.\It was really tiring!\Shirayuki-san and Yukari-chan! response:	What are you spacing out for, aren't we going to save Tsukune?
context: Stand back.\It's been a while.\Ruby-san!\It's not just me.\It took us quite a while to finish off those guards.\It was really tiring!\Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune? response:	Kurumu-chan...
context: It's been a while.\Ruby-san!\It's not just me.\It took us quite a while to finish off those guards.\It was really tiring!\Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan... response:	Although I'm really angry with you for keeping Tsukune's identity a secret.
context: Ruby-san!\It's not just me.\It took us quite a while to finish off those guards.\It was really tiring!\Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret. response:	I'm sorry...
context: It's not just me.\It took us quite a while to finish off those guards.\It was really tiring!\Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry... response:	This is not the time to apologize.
context: It took us quite a while to finish off those guards.\It was really tiring!\Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry...\This is not the time to apologize. response:	Ruby-san, that is...
context: It was really tiring!\Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry...\This is not the time to apologize.\Ruby-san, that is... response:	A new wand...?
context: Shirayuki-san and Yukari-chan!\What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry...\This is not the time to apologize.\Ruby-san, that is...\A new wand...? response:	A lot of things happened,
context: What are you spacing out for, aren't we going to save Tsukune?\Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry...\This is not the time to apologize.\Ruby-san, that is...\A new wand...?\A lot of things happened, response:	But I'll leave the details for next time.
context: Kurumu-chan...\Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry...\This is not the time to apologize.\Ruby-san, that is...\A new wand...?\A lot of things happened,\But I'll leave the details for next time. response:	Yes, we'll have Moka-san apologize for everything after we save Tsukune.
context: Although I'm really angry with you for keeping Tsukune's identity a secret.\I'm sorry...\This is not the time to apologize.\Ruby-san, that is...\A new wand...?\A lot of things happened,\But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune. response:	Humans and Demons: the value of their lives aren't different.
context: I'm sorry...\This is not the time to apologize.\Ruby-san, that is...\A new wand...?\A lot of things happened,\But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different. response:	Right?
context: This is not the time to apologize.\Ruby-san, that is...\A new wand...?\A lot of things happened,\But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different.\Right? response:	Yeah, looks like you finally understand that.
context: Ruby-san, that is...\A new wand...?\A lot of things happened,\But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different.\Right?\Yeah, looks like you finally understand that. response:	Now, let's go!
context: A new wand...?\A lot of things happened,\But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different.\Right?\Yeah, looks like you finally understand that.\Now, let's go! response:	Yeah!
context: A lot of things happened,\But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different.\Right?\Yeah, looks like you finally understand that.\Now, let's go!\Yeah! response:	To all students, it is now time for the execution!
context: But I'll leave the details for next time.\Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different.\Right?\Yeah, looks like you finally understand that.\Now, let's go!\Yeah!\To all students, it is now time for the execution! response:	Please use your eyes to capture this moment and see the final moment of a human, our enemies!
context: Yes, we'll have Moka-san apologize for everything after we save Tsukune.\Humans and Demons: the value of their lives aren't different.\Right?\Yeah, looks like you finally understand that.\Now, let's go!\Yeah!\To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies! response:	Tsukune!
context: Humans and Demons: the value of their lives aren't different.\Right?\Yeah, looks like you finally understand that.\Now, let's go!\Yeah!\To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune! response:	Are you all right?
context: Right?\Yeah, looks like you finally understand that.\Now, let's go!\Yeah!\To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune!\Are you all right? response:	Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!
context: Yeah, looks like you finally understand that.\Now, let's go!\Yeah!\To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune!\Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot! response:	So they finally came, the fools from the Newspaper Club.
context: Now, let's go!\Yeah!\To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune!\Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club. response:	Do you know this is the biggest betrayal you can do to the school?
context: Yeah!\To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune!\Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school? response:	I don't care about the school or betrayal!
context: To all students, it is now time for the execution!\Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune!\Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal! response:	We just want to rescue our precious friend.
context: Please use your eyes to capture this moment and see the final moment of a human, our enemies!\Tsukune!\Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal!\We just want to rescue our precious friend. response:	That's all!
context: Tsukune!\Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal!\We just want to rescue our precious friend.\That's all! response:	The same thing as last year's Newspaper Club...
context: Are you all right?\Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal!\We just want to rescue our precious friend.\That's all!\The same thing as last year's Newspaper Club... response:	I don't care what happens to the school but I just can't tolerate your actions,
context: Kurumu-chan and Ruby-san, please take Tsukune to a safe spot!\So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal!\We just want to rescue our precious friend.\That's all!\The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions, response:	Which is why I'm publishing it.
context: So they finally came, the fools from the Newspaper Club.\Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal!\We just want to rescue our precious friend.\That's all!\The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it. response:	Gin-senpai...
context: Do you know this is the biggest betrayal you can do to the school?\I don't care about the school or betrayal!\We just want to rescue our precious friend.\That's all!\The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it.\Gin-senpai... response:	Actually did that?
context: I don't care about the school or betrayal!\We just want to rescue our precious friend.\That's all!\The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it.\Gin-senpai...\Actually did that? response:	Keeping the Newspaper Club around was my failure.
context: We just want to rescue our precious friend.\That's all!\The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it.\Gin-senpai...\Actually did that?\Keeping the Newspaper Club around was my failure. response:	In order to prevent it from sprouting again, I hereby execute all of you.
context: That's all!\The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it.\Gin-senpai...\Actually did that?\Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you. response:	Since Kuyou-sama gave the order,
context: The same thing as last year's Newspaper Club...\I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it.\Gin-senpai...\Actually did that?\Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order, response:	You must all die here!
context: I don't care what happens to the school but I just can't tolerate your actions,\Which is why I'm publishing it.\Gin-senpai...\Actually did that?\Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order,\You must all die here! response:	Magical Safety!
context: Which is why I'm publishing it.\Gin-senpai...\Actually did that?\Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order,\You must all die here!\Magical Safety! response:	And Magical Metal Basin!
context: Gin-senpai...\Actually did that?\Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order,\You must all die here!\Magical Safety!\And Magical Metal Basin! response:	Geez, I won't hold back you know.
context: Actually did that?\Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order,\You must all die here!\Magical Safety!\And Magical Metal Basin!\Geez, I won't hold back you know. response:	They're pretty good!
context: Keeping the Newspaper Club around was my failure.\In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order,\You must all die here!\Magical Safety!\And Magical Metal Basin!\Geez, I won't hold back you know.\They're pretty good! response:	The monster blood in me is bursting!
context: In order to prevent it from sprouting again, I hereby execute all of you.\Since Kuyou-sama gave the order,\You must all die here!\Magical Safety!\And Magical Metal Basin!\Geez, I won't hold back you know.\They're pretty good!\The monster blood in me is bursting! response:	Dumbass, don't transform.
context: Since Kuyou-sama gave the order,\You must all die here!\Magical Safety!\And Magical Metal Basin!\Geez, I won't hold back you know.\They're pretty good!\The monster blood in me is bursting!\Dumbass, don't transform. response:	Run away, run away, if you can run from me that is.
context: You must all die here!\Magical Safety!\And Magical Metal Basin!\Geez, I won't hold back you know.\They're pretty good!\The monster blood in me is bursting!\Dumbass, don't transform.\Run away, run away, if you can run from me that is. response:	This is bad, he's heading towards Tsukune-san!
context: Magical Safety!\And Magical Metal Basin!\Geez, I won't hold back you know.\They're pretty good!\The monster blood in me is bursting!\Dumbass, don't transform.\Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san! response:	Go!
context: And Magical Metal Basin!\Geez, I won't hold back you know.\They're pretty good!\The monster blood in me is bursting!\Dumbass, don't transform.\Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san!\Go! response:	But...
context: Geez, I won't hold back you know.\They're pretty good!\The monster blood in me is bursting!\Dumbass, don't transform.\Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san!\Go!\But... response:	You'll owe me one.
context: They're pretty good!\The monster blood in me is bursting!\Dumbass, don't transform.\Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san!\Go!\But...\You'll owe me one. response:	Okay!
context: The monster blood in me is bursting!\Dumbass, don't transform.\Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san!\Go!\But...\You'll owe me one.\Okay! response:	It will be safe here.
context: Dumbass, don't transform.\Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san!\Go!\But...\You'll owe me one.\Okay!\It will be safe here. response:	Kurumu-chan and Ruby-san, thank you very much.
context: Run away, run away, if you can run from me that is.\This is bad, he's heading towards Tsukune-san!\Go!\But...\You'll owe me one.\Okay!\It will be safe here.\Kurumu-chan and Ruby-san, thank you very much. response:	Tsukune!
context: This is bad, he's heading towards Tsukune-san!\Go!\But...\You'll owe me one.\Okay!\It will be safe here.\Kurumu-chan and Ruby-san, thank you very much.\Tsukune! response:	Tsukune.
context: Go!\But...\You'll owe me one.\Okay!\It will be safe here.\Kurumu-chan and Ruby-san, thank you very much.\Tsukune!\Tsukune. response:	Moka-san.
context: But...\You'll owe me one.\Okay!\It will be safe here.\Kurumu-chan and Ruby-san, thank you very much.\Tsukune!\Tsukune.\Moka-san. response:	Wait, who cares about Moka!
context: You'll owe me one.\Okay!\It will be safe here.\Kurumu-chan and Ruby-san, thank you very much.\Tsukune!\Tsukune.\Moka-san.\Wait, who cares about Moka! response:	Kurumu-chan, get off of Tsukune!
context: Okay!\It will be safe here.\Kurumu-chan and Ruby-san, thank you very much.\Tsukune!\Tsukune.\Moka-san.\Wait, who cares about Moka!\Kurumu-chan, get off of Tsukune! response:	Don't interrupt us!
context: It will be safe here.\Kurumu-chan and Ruby-san, thank you very much.\Tsukune!\Tsukune.\Moka-san.\Wait, who cares about Moka!\Kurumu-chan, get off of Tsukune!\Don't interrupt us! response:	And I thought there was no hope for me.
context: Kurumu-chan and Ruby-san, thank you very much.\Tsukune!\Tsukune.\Moka-san.\Wait, who cares about Moka!\Kurumu-chan, get off of Tsukune!\Don't interrupt us!\And I thought there was no hope for me. response:	Is this any time to be caught off guard?
context: Tsukune!\Tsukune.\Moka-san.\Wait, who cares about Moka!\Kurumu-chan, get off of Tsukune!\Don't interrupt us!\And I thought there was no hope for me.\Is this any time to be caught off guard? response:	Tsukune...
context: Tsukune.\Moka-san.\Wait, who cares about Moka!\Kurumu-chan, get off of Tsukune!\Don't interrupt us!\And I thought there was no hope for me.\Is this any time to be caught off guard?\Tsukune... response:	It's a pity I couldn't execute him in public.
