context: That cafe response:	That cafe is on the first floor of the building where our detective agency is.
context: Are you hung over?\Sorry for causing you so much trouble all the time.\Not at all.\The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please.\Your will to live...\You're an amazing lady.\Also, we had a report from the military police. response:	Foreign organizations are coming in,
context: Sorry for causing you so much trouble all the time.\Not at all.\The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please.\Your will to live...\You're an amazing lady.\Also, we had a report from the military police.\Foreign organizations are coming in, response:	hoping to take what the Guild left behind when it collapsed.
context: Not at all.\The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please.\Your will to live...\You're an amazing lady.\Also, we had a report from the military police.\Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed. response:	I doubt they're that interesting.
context: The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please.\Your will to live...\You're an amazing lady.\Also, we had a report from the military police.\Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting. response:	Still, I saw a Guild straggler in this area yesterday, too.
context: At least buy life insurance before you die, please.\Your will to live...\You're an amazing lady.\Also, we had a report from the military police.\Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too. response:	She got away,
context: Your will to live...\You're an amazing lady.\Also, we had a report from the military police.\Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too.\She got away, response:	but she was holding a metal box of some kind.
context: You're an amazing lady.\Also, we had a report from the military police.\Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too.\She got away,\but she was holding a metal box of some kind. response:	I hope she isn't teaming up with the criminal organizations
context: Also, we had a report from the military police.\Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too.\She got away,\but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations response:	to take revenge on us by bombing this building or something.
context: Foreign organizations are coming in,\hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too.\She got away,\but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something. response:	Is this cafe in danger, too, then?
context: hoping to take what the Guild left behind when it collapsed.\I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too.\She got away,\but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then? response:	Danger is like the bitterness of coffee.
context: I doubt they're that interesting.\Still, I saw a Guild straggler in this area yesterday, too.\She got away,\but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then?\Danger is like the bitterness of coffee. response:	For those ready for it, it is savory.
context: Still, I saw a Guild straggler in this area yesterday, too.\She got away,\but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then?\Danger is like the bitterness of coffee.\For those ready for it, it is savory. response:	That's the cafe owner for you.
context: She got away,\but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then?\Danger is like the bitterness of coffee.\For those ready for it, it is savory.\That's the cafe owner for you. response:	You can believe he's been doing coffee for thirty years.
context: but she was holding a metal box of some kind.\I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then?\Danger is like the bitterness of coffee.\For those ready for it, it is savory.\That's the cafe owner for you.\You can believe he's been doing coffee for thirty years. response:	The smell of coffee doesn't come off his hands, even with soap.
context: I hope she isn't teaming up with the criminal organizations\to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then?\Danger is like the bitterness of coffee.\For those ready for it, it is savory.\That's the cafe owner for you.\You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap. response:	That's all I've got going for me.
context: to take revenge on us by bombing this building or something.\Is this cafe in danger, too, then?\Danger is like the bitterness of coffee.\For those ready for it, it is savory.\That's the cafe owner for you.\You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me. response:	Badass!
context: Is this cafe in danger, too, then?\Danger is like the bitterness of coffee.\For those ready for it, it is savory.\That's the cafe owner for you.\You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me.\Badass! response:	The awkward elite type!
context: Danger is like the bitterness of coffee.\For those ready for it, it is savory.\That's the cafe owner for you.\You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me.\Badass!\The awkward elite type! response:	Coffee man!
context: For those ready for it, it is savory.\That's the cafe owner for you.\You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me.\Badass!\The awkward elite type!\Coffee man! response:	We're here every day.
context: That's the cafe owner for you.\You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me.\Badass!\The awkward elite type!\Coffee man!\We're here every day. response:	It's the cafe's fault for being so close and so comfortable.
context: You can believe he's been doing coffee for thirty years.\The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me.\Badass!\The awkward elite type!\Coffee man!\We're here every day.\It's the cafe's fault for being so close and so comfortable. response:	What happened here?
context: The smell of coffee doesn't come off his hands, even with soap.\That's all I've got going for me.\Badass!\The awkward elite type!\Coffee man!\We're here every day.\It's the cafe's fault for being so close and so comfortable.\What happened here? response:	Manager!
context: That's all I've got going for me.\Badass!\The awkward elite type!\Coffee man!\We're here every day.\It's the cafe's fault for being so close and so comfortable.\What happened here?\Manager! response:	What happened here?
context: Badass!\The awkward elite type!\Coffee man!\We're here every day.\It's the cafe's fault for being so close and so comfortable.\What happened here?\Manager!\What happened here? response:	Dazai-san...
context: The awkward elite type!\Coffee man!\We're here every day.\It's the cafe's fault for being so close and so comfortable.\What happened here?\Manager!\What happened here?\Dazai-san... response:	His fingers...
context: Coffee man!\We're here every day.\It's the cafe's fault for being so close and so comfortable.\What happened here?\Manager!\What happened here?\Dazai-san...\His fingers... response:	It's not too bad.
context: We're here every day.\It's the cafe's fault for being so close and so comfortable.\What happened here?\Manager!\What happened here?\Dazai-san...\His fingers...\It's not too bad. response:	I'm glad you're all safe.
context: It's the cafe's fault for being so close and so comfortable.\What happened here?\Manager!\What happened here?\Dazai-san...\His fingers...\It's not too bad.\I'm glad you're all safe. response:	We have no need for plans.
context: What happened here?\Manager!\What happened here?\Dazai-san...\His fingers...\It's not too bad.\I'm glad you're all safe.\We have no need for plans. response:	Wreak havoc and instill fear,
context: Manager!\What happened here?\Dazai-san...\His fingers...\It's not too bad.\I'm glad you're all safe.\We have no need for plans.\Wreak havoc and instill fear, response:	and the tiny Detective Agency will chirp like a baby bird
context: What happened here?\Dazai-san...\His fingers...\It's not too bad.\I'm glad you're all safe.\We have no need for plans.\Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird response:	and tell us where the Guild's property is.
context: Dazai-san...\His fingers...\It's not too bad.\I'm glad you're all safe.\We have no need for plans.\Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is. response:	That's their only fear.
context: His fingers...\It's not too bad.\I'm glad you're all safe.\We have no need for plans.\Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is.\That's their only fear. response:	Yeah.
context: It's not too bad.\I'm glad you're all safe.\We have no need for plans.\Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is.\That's their only fear.\Yeah. response:	We collected a good piece today.
context: I'm glad you're all safe.\We have no need for plans.\Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is.\That's their only fear.\Yeah.\We collected a good piece today. response:	It smells of coffee.
context: We have no need for plans.\Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is.\That's their only fear.\Yeah.\We collected a good piece today.\It smells of coffee. response:	The Armed Detective Agency is on the move.
context: Wreak havoc and instill fear,\and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is.\That's their only fear.\Yeah.\We collected a good piece today.\It smells of coffee.\The Armed Detective Agency is on the move. response:	Are they looking for us?
context: and the tiny Detective Agency will chirp like a baby bird\and tell us where the Guild's property is.\That's their only fear.\Yeah.\We collected a good piece today.\It smells of coffee.\The Armed Detective Agency is on the move.\Are they looking for us? response:	They shouldn't bother.
context: and tell us where the Guild's property is.\That's their only fear.\Yeah.\We collected a good piece today.\It smells of coffee.\The Armed Detective Agency is on the move.\Are they looking for us?\They shouldn't bother. response:	In our organization, the Park,
context: That's their only fear.\Yeah.\We collected a good piece today.\It smells of coffee.\The Armed Detective Agency is on the move.\Are they looking for us?\They shouldn't bother.\In our organization, the Park, response:	the heavier your guilt, the higher your rank.
context: Yeah.\We collected a good piece today.\It smells of coffee.\The Armed Detective Agency is on the move.\Are they looking for us?\They shouldn't bother.\In our organization, the Park,\the heavier your guilt, the higher your rank. response:	We move our hideouts every four days.
context: We collected a good piece today.\It smells of coffee.\The Armed Detective Agency is on the move.\Are they looking for us?\They shouldn't bother.\In our organization, the Park,\the heavier your guilt, the higher your rank.\We move our hideouts every four days. response:	Not even the international police can chase us down.
context: It smells of coffee.\The Armed Detective Agency is on the move.\Are they looking for us?\They shouldn't bother.\In our organization, the Park,\the heavier your guilt, the higher your rank.\We move our hideouts every four days.\Not even the international police can chase us down. response:	Even if they found us here,
context: The Armed Detective Agency is on the move.\Are they looking for us?\They shouldn't bother.\In our organization, the Park,\the heavier your guilt, the higher your rank.\We move our hideouts every four days.\Not even the international police can chase us down.\Even if they found us here, response:	we have heavily-armed violent criminals and security cameras.
context: Are they looking for us?\They shouldn't bother.\In our organization, the Park,\the heavier your guilt, the higher your rank.\We move our hideouts every four days.\Not even the international police can chase us down.\Even if they found us here,\we have heavily-armed violent criminals and security cameras. response:	One phone call, and the local criminal organizations will be here right away.
context: They shouldn't bother.\In our organization, the Park,\the heavier your guilt, the higher your rank.\We move our hideouts every four days.\Not even the international police can chase us down.\Even if they found us here,\we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away. response:	Also, that door.
context: In our organization, the Park,\the heavier your guilt, the higher your rank.\We move our hideouts every four days.\Not even the international police can chase us down.\Even if they found us here,\we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away.\Also, that door. response:	It's the heavy kind that's used in banks.
context: the heavier your guilt, the higher your rank.\We move our hideouts every four days.\Not even the international police can chase us down.\Even if they found us here,\we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away.\Also, that door.\It's the heavy kind that's used in banks. response:	A bomb wouldn't so much as tickle it.
context: We move our hideouts every four days.\Not even the international police can chase us down.\Even if they found us here,\we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away.\Also, that door.\It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it. response:	I hope you enjoy your
context: Not even the international police can chase us down.\Even if they found us here,\we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away.\Also, that door.\It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it.\I hope you enjoy your response:	Impossible!
context: Even if they found us here,\we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away.\Also, that door.\It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it.\I hope you enjoy your\Impossible! response:	There's no way you could have found our hideout!
context: we have heavily-armed violent criminals and security cameras.\One phone call, and the local criminal organizations will be here right away.\Also, that door.\It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it.\I hope you enjoy your\Impossible!\There's no way you could have found our hideout! response:	Rampo-san figured it out in five seconds.
context: One phone call, and the local criminal organizations will be here right away.\Also, that door.\It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it.\I hope you enjoy your\Impossible!\There's no way you could have found our hideout!\Rampo-san figured it out in five seconds. response:	Th-The security cameras?
context: Also, that door.\It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it.\I hope you enjoy your\Impossible!\There's no way you could have found our hideout!\Rampo-san figured it out in five seconds.\Th-The security cameras? response:	The armed guards?
context: It's the heavy kind that's used in banks.\A bomb wouldn't so much as tickle it.\I hope you enjoy your\Impossible!\There's no way you could have found our hideout!\Rampo-san figured it out in five seconds.\Th-The security cameras?\The armed guards? response:	We have to thank you.
context: A bomb wouldn't so much as tickle it.\I hope you enjoy your\Impossible!\There's no way you could have found our hideout!\Rampo-san figured it out in five seconds.\Th-The security cameras?\The armed guards?\We have to thank you. response:	You've made work interesting again.
context: I hope you enjoy your\Impossible!\There's no way you could have found our hideout!\Rampo-san figured it out in five seconds.\Th-The security cameras?\The armed guards?\We have to thank you.\You've made work interesting again. response:	Not yet!
context: Impossible!\There's no way you could have found our hideout!\Rampo-san figured it out in five seconds.\Th-The security cameras?\The armed guards?\We have to thank you.\You've made work interesting again.\Not yet! response:	One phone call will bring all the local criminal organizations here!
context: There's no way you could have found our hideout!\Rampo-san figured it out in five seconds.\Th-The security cameras?\The armed guards?\We have to thank you.\You've made work interesting again.\Not yet!\One phone call will bring all the local criminal organizations here! response:	Are you out of your mind?
context: Rampo-san figured it out in five seconds.\Th-The security cameras?\The armed guards?\We have to thank you.\You've made work interesting again.\Not yet!\One phone call will bring all the local criminal organizations here!\Are you out of your mind? response:	You don't know anything about Yokohama!
context: Th-The security cameras?\The armed guards?\We have to thank you.\You've made work interesting again.\Not yet!\One phone call will bring all the local criminal organizations here!\Are you out of your mind?\You don't know anything about Yokohama! response:	Anger the Detective Agency, and you'll never survive!
context: The armed guards?\We have to thank you.\You've made work interesting again.\Not yet!\One phone call will bring all the local criminal organizations here!\Are you out of your mind?\You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive! response:	We're out!
context: We have to thank you.\You've made work interesting again.\Not yet!\One phone call will bring all the local criminal organizations here!\Are you out of your mind?\You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive!\We're out! response:	I heard you like ripping people's nails off.
context: You've made work interesting again.\Not yet!\One phone call will bring all the local criminal organizations here!\Are you out of your mind?\You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive!\We're out!\I heard you like ripping people's nails off. response:	You have exquisite taste.
context: Not yet!\One phone call will bring all the local criminal organizations here!\Are you out of your mind?\You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive!\We're out!\I heard you like ripping people's nails off.\You have exquisite taste. response:	I finally get to have some fun.
context: One phone call will bring all the local criminal organizations here!\Are you out of your mind?\You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive!\We're out!\I heard you like ripping people's nails off.\You have exquisite taste.\I finally get to have some fun. response:	Gyaaa!
context: Are you out of your mind?\You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive!\We're out!\I heard you like ripping people's nails off.\You have exquisite taste.\I finally get to have some fun.\Gyaaa! response:	This is so relaxing.
context: You don't know anything about Yokohama!\Anger the Detective Agency, and you'll never survive!\We're out!\I heard you like ripping people's nails off.\You have exquisite taste.\I finally get to have some fun.\Gyaaa!\This is so relaxing. response:	I wonder what Guild property it was that they were after.
context: Anger the Detective Agency, and you'll never survive!\We're out!\I heard you like ripping people's nails off.\You have exquisite taste.\I finally get to have some fun.\Gyaaa!\This is so relaxing.\I wonder what Guild property it was that they were after. response:	There's no such thing.
context: We're out!\I heard you like ripping people's nails off.\You have exquisite taste.\I finally get to have some fun.\Gyaaa!\This is so relaxing.\I wonder what Guild property it was that they were after.\There's no such thing. response:	Even if there were, someone else would already have taken it.
context: I heard you like ripping people's nails off.\You have exquisite taste.\I finally get to have some fun.\Gyaaa!\This is so relaxing.\I wonder what Guild property it was that they were after.\There's no such thing.\Even if there were, someone else would already have taken it. response:	Those guys back there must have been fooled by the false leads they put out.
context: You have exquisite taste.\I finally get to have some fun.\Gyaaa!\This is so relaxing.\I wonder what Guild property it was that they were after.\There's no such thing.\Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out. response:	Oh, yeah, the Guild straggler...
context: I finally get to have some fun.\Gyaaa!\This is so relaxing.\I wonder what Guild property it was that they were after.\There's no such thing.\Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler... response:	I'd like to introduce our new staff member, Lucy.
context: Gyaaa!\This is so relaxing.\I wonder what Guild property it was that they were after.\There's no such thing.\Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy. response:	Why are you here?
context: This is so relaxing.\I wonder what Guild property it was that they were after.\There's no such thing.\Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy.\Why are you here? response:	Because I feel like it!
context: I wonder what Guild property it was that they were after.\There's no such thing.\Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy.\Why are you here?\Because I feel like it! response:	A hacker?
context: There's no such thing.\Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy.\Why are you here?\Because I feel like it!\A hacker? response:	We're about to meet with a talented information broker.
context: Even if there were, someone else would already have taken it.\Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy.\Why are you here?\Because I feel like it!\A hacker?\We're about to meet with a talented information broker. response:	An extremely talented hacker...
context: Those guys back there must have been fooled by the false leads they put out.\Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy.\Why are you here?\Because I feel like it!\A hacker?\We're about to meet with a talented information broker.\An extremely talented hacker... response:	He's a former Detective Agency member.
context: Oh, yeah, the Guild straggler...\I'd like to introduce our new staff member, Lucy.\Why are you here?\Because I feel like it!\A hacker?\We're about to meet with a talented information broker.\An extremely talented hacker...\He's a former Detective Agency member. response:	Do you know him?
context: I'd like to introduce our new staff member, Lucy.\Why are you here?\Because I feel like it!\A hacker?\We're about to meet with a talented information broker.\An extremely talented hacker...\He's a former Detective Agency member.\Do you know him? response:	A frenemy of sorts.
context: Why are you here?\Because I feel like it!\A hacker?\We're about to meet with a talented information broker.\An extremely talented hacker...\He's a former Detective Agency member.\Do you know him?\A frenemy of sorts. response:	I'm going to have him take a look at this today.
context: Because I feel like it!\A hacker?\We're about to meet with a talented information broker.\An extremely talented hacker...\He's a former Detective Agency member.\Do you know him?\A frenemy of sorts.\I'm going to have him take a look at this today. response:	The Moby Dick control console?
context: A hacker?\We're about to meet with a talented information broker.\An extremely talented hacker...\He's a former Detective Agency member.\Do you know him?\A frenemy of sorts.\I'm going to have him take a look at this today.\The Moby Dick control console? response:	This is the issue.
context: We're about to meet with a talented information broker.\An extremely talented hacker...\He's a former Detective Agency member.\Do you know him?\A frenemy of sorts.\I'm going to have him take a look at this today.\The Moby Dick control console?\This is the issue. response:	This remote hijacking chip inside.
context: An extremely talented hacker...\He's a former Detective Agency member.\Do you know him?\A frenemy of sorts.\I'm going to have him take a look at this today.\The Moby Dick control console?\This is the issue.\This remote hijacking chip inside. response:	This is what tried to take control
context: He's a former Detective Agency member.\Do you know him?\A frenemy of sorts.\I'm going to have him take a look at this today.\The Moby Dick control console?\This is the issue.\This remote hijacking chip inside.\This is what tried to take control response:	of the Moby Dick during the chaos and plunge it into Yokohama.
context: Do you know him?\A frenemy of sorts.\I'm going to have him take a look at this today.\The Moby Dick control console?\This is the issue.\This remote hijacking chip inside.\This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama. response:	No!
context: A frenemy of sorts.\I'm going to have him take a look at this today.\The Moby Dick control console?\This is the issue.\This remote hijacking chip inside.\This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama.\No! response:	I haven't even done anything!
context: I'm going to have him take a look at this today.\The Moby Dick control console?\This is the issue.\This remote hijacking chip inside.\This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama.\No!\I haven't even done anything! response:	Hand it over!
context: The Moby Dick control console?\This is the issue.\This remote hijacking chip inside.\This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama.\No!\I haven't even done anything!\Hand it over! response:	Whoever set this up took advantage of the Guild
