context: Party is over response:	But I still wanna dance
context: Forgive me, Osushi.\To fight is a samurai's duty. Please understand.\Father and Mother will look over us.\I won't be gone long.\My dear brother...\Brother.\They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you? response:	Remember how when I was a child, I'd never stop crying once I got started?
context: To fight is a samurai's duty. Please understand.\Father and Mother will look over us.\I won't be gone long.\My dear brother...\Brother.\They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started? response:	No matter how much Mother tried, I'd keep crying and crying.
context: Father and Mother will look over us.\I won't be gone long.\My dear brother...\Brother.\They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying. response:	And when that happened, you'd come to me.
context: I won't be gone long.\My dear brother...\Brother.\They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me. response:	And fold a paper crane.
context: My dear brother...\Brother.\They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me.\And fold a paper crane. response:	I'd stop crying just like that.
context: Brother.\They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me.\And fold a paper crane.\I'd stop crying just like that. response:	And I'd sit there and gaze at the crane.
context: They were selling this out on the street.\Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me.\And fold a paper crane.\I'd stop crying just like that.\And I'd sit there and gaze at the crane. response:	I'm here.
context: Chestnut rice. You've always liked it, haven't you?\Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me.\And fold a paper crane.\I'd stop crying just like that.\And I'd sit there and gaze at the crane.\I'm here. response:	Right here.
context: Remember how when I was a child, I'd never stop crying once I got started?\No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me.\And fold a paper crane.\I'd stop crying just like that.\And I'd sit there and gaze at the crane.\I'm here.\Right here. response:	He's here! The phantom killer!
context: No matter how much Mother tried, I'd keep crying and crying.\And when that happened, you'd come to me.\And fold a paper crane.\I'd stop crying just like that.\And I'd sit there and gaze at the crane.\I'm here.\Right here.\He's here! The phantom killer! response:	Hyakkimaru.
context: And when that happened, you'd come to me.\And fold a paper crane.\I'd stop crying just like that.\And I'd sit there and gaze at the crane.\I'm here.\Right here.\He's here! The phantom killer!\Hyakkimaru. response:	Brother, let us go home. Come home with me.
context: And fold a paper crane.\I'd stop crying just like that.\And I'd sit there and gaze at the crane.\I'm here.\Right here.\He's here! The phantom killer!\Hyakkimaru.\Brother, let us go home. Come home with me. response:	Please, say something.
context: I'd stop crying just like that.\And I'd sit there and gaze at the crane.\I'm here.\Right here.\He's here! The phantom killer!\Hyakkimaru.\Brother, let us go home. Come home with me.\Please, say something. response:	What happened to you?
context: And I'd sit there and gaze at the crane.\I'm here.\Right here.\He's here! The phantom killer!\Hyakkimaru.\Brother, let us go home. Come home with me.\Please, say something.\What happened to you? response:	What made you like this?
context: I'm here.\Right here.\He's here! The phantom killer!\Hyakkimaru.\Brother, let us go home. Come home with me.\Please, say something.\What happened to you?\What made you like this? response:	Kill him. Kill him now.
context: Right here.\He's here! The phantom killer!\Hyakkimaru.\Brother, let us go home. Come home with me.\Please, say something.\What happened to you?\What made you like this?\Kill him. Kill him now. response:	Slice his head off, Tanosuke.
context: He's here! The phantom killer!\Hyakkimaru.\Brother, let us go home. Come home with me.\Please, say something.\What happened to you?\What made you like this?\Kill him. Kill him now.\Slice his head off, Tanosuke. response:	He has built quite a magnificent castle for me.
context: Hyakkimaru.\Brother, let us go home. Come home with me.\Please, say something.\What happened to you?\What made you like this?\Kill him. Kill him now.\Slice his head off, Tanosuke.\He has built quite a magnificent castle for me. response:	Not even a great army could conquer it easily.
context: Brother, let us go home. Come home with me.\Please, say something.\What happened to you?\What made you like this?\Kill him. Kill him now.\Slice his head off, Tanosuke.\He has built quite a magnificent castle for me.\Not even a great army could conquer it easily. response:	But if he double crosses us, he could expose its weaknesses.
context: Please, say something.\What happened to you?\What made you like this?\Kill him. Kill him now.\Slice his head off, Tanosuke.\He has built quite a magnificent castle for me.\Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses. response:	It'd be less secure than a sandcastle.
context: What happened to you?\What made you like this?\Kill him. Kill him now.\Slice his head off, Tanosuke.\He has built quite a magnificent castle for me.\Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle. response:	We must kill him before that happens.
context: What made you like this?\Kill him. Kill him now.\Slice his head off, Tanosuke.\He has built quite a magnificent castle for me.\Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle.\We must kill him before that happens. response:	Please reconsider, my lord!
context: Kill him. Kill him now.\Slice his head off, Tanosuke.\He has built quite a magnificent castle for me.\Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle.\We must kill him before that happens.\Please reconsider, my lord! response:	Do you disobey me?
context: Slice his head off, Tanosuke.\He has built quite a magnificent castle for me.\Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle.\We must kill him before that happens.\Please reconsider, my lord!\Do you disobey me? response:	Then take your own life with this sword.
context: He has built quite a magnificent castle for me.\Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle.\We must kill him before that happens.\Please reconsider, my lord!\Do you disobey me?\Then take your own life with this sword. response:	That's an old sword that had been stored away.
context: Not even a great army could conquer it easily.\But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle.\We must kill him before that happens.\Please reconsider, my lord!\Do you disobey me?\Then take your own life with this sword.\That's an old sword that had been stored away. response:	It's rusty and dull. Just right for you, don't you think?
context: But if he double crosses us, he could expose its weaknesses.\It'd be less secure than a sandcastle.\We must kill him before that happens.\Please reconsider, my lord!\Do you disobey me?\Then take your own life with this sword.\That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think? response:	Now kill him. Kill him!
context: It'd be less secure than a sandcastle.\We must kill him before that happens.\Please reconsider, my lord!\Do you disobey me?\Then take your own life with this sword.\That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him! response:	That sword is said to become sharper as it soaks in more blood.
context: We must kill him before that happens.\Please reconsider, my lord!\Do you disobey me?\Then take your own life with this sword.\That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood. response:	Of course, it's only a rumor.
context: Please reconsider, my lord!\Do you disobey me?\Then take your own life with this sword.\That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor. response:	But there's enough blood here to find out.
context: Do you disobey me?\Then take your own life with this sword.\That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor.\But there's enough blood here to find out. response:	Nihiru. That is your name.
