context: Kirara... are you in pain? response:	Naraku's toxins are still inside your system.
context: She must make a full recovery.\Oh, guys! What're you saying?\Old Myoga has been a big help to us.\For example...\Well...\H-hey!\I let you do the talking...\and you all decide that I'm small and useless! response:	Physical prowess isn't the only criteria for achievement!
context: Oh, guys! What're you saying?\Old Myoga has been a big help to us.\For example...\Well...\H-hey!\I let you do the talking...\and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement! response:	Give me some credit for having intelligence!
context: Old Myoga has been a big help to us.\For example...\Well...\H-hey!\I let you do the talking...\and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence! response:	I see... Inuyasha went to get herbal medicine for me.
context: For example...\Well...\H-hey!\I let you do the talking...\and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me. response:	Yes, and I stayed back to protect you.
context: Well...\H-hey!\I let you do the talking...\and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you. response:	So put your mind at ease and rest.
context: H-hey!\I let you do the talking...\and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you.\So put your mind at ease and rest. response:	Yes?
context: I let you do the talking...\and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you.\So put your mind at ease and rest.\Yes? response:	I got the feeling it's even more dangerous here.
context: and you all decide that I'm small and useless!\Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you.\So put your mind at ease and rest.\Yes?\I got the feeling it's even more dangerous here. response:	Don't worry, Sango.
context: Physical prowess isn't the only criteria for achievement!\Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you.\So put your mind at ease and rest.\Yes?\I got the feeling it's even more dangerous here.\Don't worry, Sango. response:	Kagome told me to watch so Miroku won't do anything funny.
context: Give me some credit for having intelligence!\I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you.\So put your mind at ease and rest.\Yes?\I got the feeling it's even more dangerous here.\Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny. response:	I'm here, too!
context: I see... Inuyasha went to get herbal medicine for me.\Yes, and I stayed back to protect you.\So put your mind at ease and rest.\Yes?\I got the feeling it's even more dangerous here.\Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny.\I'm here, too! response:	I think it's faster if I went alone.
context: Yes, and I stayed back to protect you.\So put your mind at ease and rest.\Yes?\I got the feeling it's even more dangerous here.\Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny.\I'm here, too!\I think it's faster if I went alone. response:	Old Kaede taught me how to pick the correct herbs.
context: So put your mind at ease and rest.\Yes?\I got the feeling it's even more dangerous here.\Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny.\I'm here, too!\I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs. response:	I may hold you back a bit, but that's okay, isn't it...
context: Yes?\I got the feeling it's even more dangerous here.\Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny.\I'm here, too!\I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it... response:	if I came to see this herb garden.
context: I got the feeling it's even more dangerous here.\Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny.\I'm here, too!\I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden. response:	Oh well then... I'm counting on ya.
context: Don't worry, Sango.\Kagome told me to watch so Miroku won't do anything funny.\I'm here, too!\I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden.\Oh well then... I'm counting on ya. response:	It's been so long since we were alone.
context: Kagome told me to watch so Miroku won't do anything funny.\I'm here, too!\I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden.\Oh well then... I'm counting on ya.\It's been so long since we were alone. response:	At first, just the two of us searched for the Sacred Jewel fragments.
context: I'm here, too!\I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden.\Oh well then... I'm counting on ya.\It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments. response:	But now we're all together.
context: I think it's faster if I went alone.\Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden.\Oh well then... I'm counting on ya.\It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together. response:	Fighting the demons is hard work...
context: Old Kaede taught me how to pick the correct herbs.\I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden.\Oh well then... I'm counting on ya.\It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together.\Fighting the demons is hard work... response:	but it's nice to have lots of friends.
context: I may hold you back a bit, but that's okay, isn't it...\if I came to see this herb garden.\Oh well then... I'm counting on ya.\It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together.\Fighting the demons is hard work...\but it's nice to have lots of friends. response:	He's fallen asleep. He must be exhausted.
context: if I came to see this herb garden.\Oh well then... I'm counting on ya.\It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together.\Fighting the demons is hard work...\but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted. response:	I guess...during the battle with Naraku...
context: Oh well then... I'm counting on ya.\It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together.\Fighting the demons is hard work...\but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku... response:	he was under so much pressure.
context: It's been so long since we were alone.\At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together.\Fighting the demons is hard work...\but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku...\he was under so much pressure. response:	Let him sleep... Be quiet...
context: At first, just the two of us searched for the Sacred Jewel fragments.\But now we're all together.\Fighting the demons is hard work...\but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku...\he was under so much pressure.\Let him sleep... Be quiet... response:	Quiet...
context: But now we're all together.\Fighting the demons is hard work...\but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku...\he was under so much pressure.\Let him sleep... Be quiet...\Quiet... response:	Hey!
context: Fighting the demons is hard work...\but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku...\he was under so much pressure.\Let him sleep... Be quiet...\Quiet...\Hey! response:	Are you still upset that I dropped you from the bike?
context: but it's nice to have lots of friends.\He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku...\he was under so much pressure.\Let him sleep... Be quiet...\Quiet...\Hey!\Are you still upset that I dropped you from the bike? response:	I said I'm sorry.
context: He's fallen asleep. He must be exhausted.\I guess...during the battle with Naraku...\he was under so much pressure.\Let him sleep... Be quiet...\Quiet...\Hey!\Are you still upset that I dropped you from the bike?\I said I'm sorry. response:	Will you pipe down! I said I'm not angry!
context: I guess...during the battle with Naraku...\he was under so much pressure.\Let him sleep... Be quiet...\Quiet...\Hey!\Are you still upset that I dropped you from the bike?\I said I'm sorry.\Will you pipe down! I said I'm not angry! response:	Huh? What?
context: he was under so much pressure.\Let him sleep... Be quiet...\Quiet...\Hey!\Are you still upset that I dropped you from the bike?\I said I'm sorry.\Will you pipe down! I said I'm not angry!\Huh? What? response:	Isn't it fun being with me?
context: Let him sleep... Be quiet...\Quiet...\Hey!\Are you still upset that I dropped you from the bike?\I said I'm sorry.\Will you pipe down! I said I'm not angry!\Huh? What?\Isn't it fun being with me? response:	Huh? What're you saying?!
context: Quiet...\Hey!\Are you still upset that I dropped you from the bike?\I said I'm sorry.\Will you pipe down! I said I'm not angry!\Huh? What?\Isn't it fun being with me?\Huh? What're you saying?! response:	You've been grouchy the whole time!
context: Hey!\Are you still upset that I dropped you from the bike?\I said I'm sorry.\Will you pipe down! I said I'm not angry!\Huh? What?\Isn't it fun being with me?\Huh? What're you saying?!\You've been grouchy the whole time! response:	Err... Stupid!
context: Are you still upset that I dropped you from the bike?\I said I'm sorry.\Will you pipe down! I said I'm not angry!\Huh? What?\Isn't it fun being with me?\Huh? What're you saying?!\You've been grouchy the whole time!\Err... Stupid! response:	I was born like this!
context: I said I'm sorry.\Will you pipe down! I said I'm not angry!\Huh? What?\Isn't it fun being with me?\Huh? What're you saying?!\You've been grouchy the whole time!\Err... Stupid!\I was born like this! response:	Just when we're all alone...
context: Will you pipe down! I said I'm not angry!\Huh? What?\Isn't it fun being with me?\Huh? What're you saying?!\You've been grouchy the whole time!\Err... Stupid!\I was born like this!\Just when we're all alone... response:	Huh? What's that?
context: Huh? What?\Isn't it fun being with me?\Huh? What're you saying?!\You've been grouchy the whole time!\Err... Stupid!\I was born like this!\Just when we're all alone...\Huh? What's that? response:	Huh?
context: Isn't it fun being with me?\Huh? What're you saying?!\You've been grouchy the whole time!\Err... Stupid!\I was born like this!\Just when we're all alone...\Huh? What's that?\Huh? response:	She's the third victim.
context: Huh? What're you saying?!\You've been grouchy the whole time!\Err... Stupid!\I was born like this!\Just when we're all alone...\Huh? What's that?\Huh?\She's the third victim. response:	I wonder if it is the work of Jinenji.
context: You've been grouchy the whole time!\Err... Stupid!\I was born like this!\Just when we're all alone...\Huh? What's that?\Huh?\She's the third victim.\I wonder if it is the work of Jinenji. response:	Of course! That monster! We can't let him get away with this!
context: Err... Stupid!\I was born like this!\Just when we're all alone...\Huh? What's that?\Huh?\She's the third victim.\I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this! response:	B-but... what'll we do?
context: I was born like this!\Just when we're all alone...\Huh? What's that?\Huh?\She's the third victim.\I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this!\B-but... what'll we do? response:	Is this Jinenji a demon?
context: Just when we're all alone...\Huh? What's that?\Huh?\She's the third victim.\I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this!\B-but... what'll we do?\Is this Jinenji a demon? response:	W-who are you?!
context: Huh? What's that?\Huh?\She's the third victim.\I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this!\B-but... what'll we do?\Is this Jinenji a demon?\W-who are you?! response:	A demon!
context: Huh?\She's the third victim.\I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this!\B-but... what'll we do?\Is this Jinenji a demon?\W-who are you?!\A demon! response:	Umm... this person does fall into that category, but...
context: She's the third victim.\I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this!\B-but... what'll we do?\Is this Jinenji a demon?\W-who are you?!\A demon!\Umm... this person does fall into that category, but... response:	Huh?!
context: I wonder if it is the work of Jinenji.\Of course! That monster! We can't let him get away with this!\B-but... what'll we do?\Is this Jinenji a demon?\W-who are you?!\A demon!\Umm... this person does fall into that category, but...\Huh?! response:	No! He won't harm you.
context: Of course! That monster! We can't let him get away with this!\B-but... what'll we do?\Is this Jinenji a demon?\W-who are you?!\A demon!\Umm... this person does fall into that category, but...\Huh?!\No! He won't harm you. response:	We're just looking for a farm to get some medicinal herbs.
context: B-but... what'll we do?\Is this Jinenji a demon?\W-who are you?!\A demon!\Umm... this person does fall into that category, but...\Huh?!\No! He won't harm you.\We're just looking for a farm to get some medicinal herbs. response:	Medicinal herbs?
context: Is this Jinenji a demon?\W-who are you?!\A demon!\Umm... this person does fall into that category, but...\Huh?!\No! He won't harm you.\We're just looking for a farm to get some medicinal herbs.\Medicinal herbs? response:	From Jinenji's farm?
context: W-who are you?!\A demon!\Umm... this person does fall into that category, but...\Huh?!\No! He won't harm you.\We're just looking for a farm to get some medicinal herbs.\Medicinal herbs?\From Jinenji's farm? response:	That's the farm of the demon who killed the woman!
context: A demon!\Umm... this person does fall into that category, but...\Huh?!\No! He won't harm you.\We're just looking for a farm to get some medicinal herbs.\Medicinal herbs?\From Jinenji's farm?\That's the farm of the demon who killed the woman! response:	Jinenji is a huge demon who lives with his mother...
context: Umm... this person does fall into that category, but...\Huh?!\No! He won't harm you.\We're just looking for a farm to get some medicinal herbs.\Medicinal herbs?\From Jinenji's farm?\That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother... response:	on the edge of our village.
context: Huh?!\No! He won't harm you.\We're just looking for a farm to get some medicinal herbs.\Medicinal herbs?\From Jinenji's farm?\That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother...\on the edge of our village. response:	He has a farm of very effective medicinal herbs.
context: No! He won't harm you.\We're just looking for a farm to get some medicinal herbs.\Medicinal herbs?\From Jinenji's farm?\That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother...\on the edge of our village.\He has a farm of very effective medicinal herbs. response:	We used to go to get herbs once in a while...
context: We're just looking for a farm to get some medicinal herbs.\Medicinal herbs?\From Jinenji's farm?\That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother...\on the edge of our village.\He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while... response:	But lately, Jinenji's gotten a hankering for human flesh.
context: Medicinal herbs?\From Jinenji's farm?\That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother...\on the edge of our village.\He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh. response:	That's Jinenji.
context: From Jinenji's farm?\That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother...\on the edge of our village.\He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji. response:	Doesn't he look fierce?
context: That's the farm of the demon who killed the woman!\Jinenji is a huge demon who lives with his mother...\on the edge of our village.\He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji.\Doesn't he look fierce? response:	He's just big, that's all.
context: Jinenji is a huge demon who lives with his mother...\on the edge of our village.\He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji.\Doesn't he look fierce?\He's just big, that's all. response:	Hey you... are you really going to slay him?
context: on the edge of our village.\He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji.\Doesn't he look fierce?\He's just big, that's all.\Hey you... are you really going to slay him? response:	Yea... in addition to getting the herbs.
context: He has a farm of very effective medicinal herbs.\We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji.\Doesn't he look fierce?\He's just big, that's all.\Hey you... are you really going to slay him?\Yea... in addition to getting the herbs. response:	- Kagome, wait here. - Uh-huh.
context: We used to go to get herbs once in a while...\But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji.\Doesn't he look fierce?\He's just big, that's all.\Hey you... are you really going to slay him?\Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh. response:	Is that boy strong?
context: But lately, Jinenji's gotten a hankering for human flesh.\That's Jinenji.\Doesn't he look fierce?\He's just big, that's all.\Hey you... are you really going to slay him?\Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh.\Is that boy strong? response:	Who cares? It's a battle between demons.
context: That's Jinenji.\Doesn't he look fierce?\He's just big, that's all.\Hey you... are you really going to slay him?\Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh.\Is that boy strong?\Who cares? It's a battle between demons. response:	Doesn't matter which one dies.
context: Doesn't he look fierce?\He's just big, that's all.\Hey you... are you really going to slay him?\Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh.\Is that boy strong?\Who cares? It's a battle between demons.\Doesn't matter which one dies. response:	I don't feel good about them...
context: He's just big, that's all.\Hey you... are you really going to slay him?\Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh.\Is that boy strong?\Who cares? It's a battle between demons.\Doesn't matter which one dies.\I don't feel good about them... response:	Are you the cannibalistic demon?
context: Hey you... are you really going to slay him?\Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh.\Is that boy strong?\Who cares? It's a battle between demons.\Doesn't matter which one dies.\I don't feel good about them...\Are you the cannibalistic demon? response:	I'm gonna kill you, so prepare yourself!
context: Yea... in addition to getting the herbs.\- Kagome, wait here. - Uh-huh.\Is that boy strong?\Who cares? It's a battle between demons.\Doesn't matter which one dies.\I don't feel good about them...\Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself! response:	Huh?
context: - Kagome, wait here. - Uh-huh.\Is that boy strong?\Who cares? It's a battle between demons.\Doesn't matter which one dies.\I don't feel good about them...\Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself!\Huh? response:	Hmm? He doesn't smell of human blood.
context: Is that boy strong?\Who cares? It's a battle between demons.\Doesn't matter which one dies.\I don't feel good about them...\Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself!\Huh?\Hmm? He doesn't smell of human blood. response:	Huh?!
context: Who cares? It's a battle between demons.\Doesn't matter which one dies.\I don't feel good about them...\Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself!\Huh?\Hmm? He doesn't smell of human blood.\Huh?! response:	- Hey Jinenji! - Prepare to die!
context: Doesn't matter which one dies.\I don't feel good about them...\Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself!\Huh?\Hmm? He doesn't smell of human blood.\Huh?!\- Hey Jinenji! - Prepare to die! response:	Huh?
context: I don't feel good about them...\Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself!\Huh?\Hmm? He doesn't smell of human blood.\Huh?!\- Hey Jinenji! - Prepare to die!\Huh? response:	Wait!
context: Are you the cannibalistic demon?\I'm gonna kill you, so prepare yourself!\Huh?\Hmm? He doesn't smell of human blood.\Huh?!\- Hey Jinenji! - Prepare to die!\Huh?\Wait! response:	Help!
context: I'm gonna kill you, so prepare yourself!\Huh?\Hmm? He doesn't smell of human blood.\Huh?!\- Hey Jinenji! - Prepare to die!\Huh?\Wait!\Help! response:	Why you!
context: Huh?\Hmm? He doesn't smell of human blood.\Huh?!\- Hey Jinenji! - Prepare to die!\Huh?\Wait!\Help!\Why you! response:	A mountain witch!
context: Hmm? He doesn't smell of human blood.\Huh?!\- Hey Jinenji! - Prepare to die!\Huh?\Wait!\Help!\Why you!\A mountain witch! response:	How dare you make up excuses to take away my fields!
context: Huh?!\- Hey Jinenji! - Prepare to die!\Huh?\Wait!\Help!\Why you!\A mountain witch!\How dare you make up excuses to take away my fields! response:	The kid's down!
context: - Hey Jinenji! - Prepare to die!\Huh?\Wait!\Help!\Why you!\A mountain witch!\How dare you make up excuses to take away my fields!\The kid's down! response:	So weak!
context: Huh?\Wait!\Help!\Why you!\A mountain witch!\How dare you make up excuses to take away my fields!\The kid's down!\So weak! response:	What's with them?
context: Wait!\Help!\Why you!\A mountain witch!\How dare you make up excuses to take away my fields!\The kid's down!\So weak!\What's with them? response:	I don't know what those villagers put you up to...
context: Help!\Why you!\A mountain witch!\How dare you make up excuses to take away my fields!\The kid's down!\So weak!\What's with them?\I don't know what those villagers put you up to... response:	but this child would never eat people! Never!
context: Why you!\A mountain witch!\How dare you make up excuses to take away my fields!\The kid's down!\So weak!\What's with them?\I don't know what those villagers put you up to...\but this child would never eat people! Never! response:	Picking on him because he's a half-demon!
context: A mountain witch!\How dare you make up excuses to take away my fields!\The kid's down!\So weak!\What's with them?\I don't know what those villagers put you up to...\but this child would never eat people! Never!\Picking on him because he's a half-demon! response:	Half-demon?
context: How dare you make up excuses to take away my fields!\The kid's down!\So weak!\What's with them?\I don't know what those villagers put you up to...\but this child would never eat people! Never!\Picking on him because he's a half-demon!\Half-demon? response:	You there... Inuyasha?
context: The kid's down!\So weak!\What's with them?\I don't know what those villagers put you up to...\but this child would never eat people! Never!\Picking on him because he's a half-demon!\Half-demon?\You there... Inuyasha? response:	You are a half-demon, aren't you?
context: So weak!\What's with them?\I don't know what those villagers put you up to...\but this child would never eat people! Never!\Picking on him because he's a half-demon!\Half-demon?\You there... Inuyasha?\You are a half-demon, aren't you? response:	Can you tell, crone?
context: What's with them?\I don't know what those villagers put you up to...\but this child would never eat people! Never!\Picking on him because he's a half-demon!\Half-demon?\You there... Inuyasha?\You are a half-demon, aren't you?\Can you tell, crone? response:	You're good-Iooking for a half-demon.
context: I don't know what those villagers put you up to...\but this child would never eat people! Never!\Picking on him because he's a half-demon!\Half-demon?\You there... Inuyasha?\You are a half-demon, aren't you?\Can you tell, crone?\You're good-Iooking for a half-demon. response:	But no matter what, you're just half of one.
context: but this child would never eat people! Never!\Picking on him because he's a half-demon!\Half-demon?\You there... Inuyasha?\You are a half-demon, aren't you?\Can you tell, crone?\You're good-Iooking for a half-demon.\But no matter what, you're just half of one. response:	Half? I guess that's around here, huh?
context: Picking on him because he's a half-demon!\Half-demon?\You there... Inuyasha?\You are a half-demon, aren't you?\Can you tell, crone?\You're good-Iooking for a half-demon.\But no matter what, you're just half of one.\Half? I guess that's around here, huh? response:	You can understand what it's like.
context: Half-demon?\You there... Inuyasha?\You are a half-demon, aren't you?\Can you tell, crone?\You're good-Iooking for a half-demon.\But no matter what, you're just half of one.\Half? I guess that's around here, huh?\You can understand what it's like. response:	Just because my Jinenji is a half-demon...
context: You there... Inuyasha?\You are a half-demon, aren't you?\Can you tell, crone?\You're good-Iooking for a half-demon.\But no matter what, you're just half of one.\Half? I guess that's around here, huh?\You can understand what it's like.\Just because my Jinenji is a half-demon... response:	how much we have suffered at the hands of those villagers.
context: You are a half-demon, aren't you?\Can you tell, crone?\You're good-Iooking for a half-demon.\But no matter what, you're just half of one.\Half? I guess that's around here, huh?\You can understand what it's like.\Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers. response:	You mean, he's bullied?
context: Can you tell, crone?\You're good-Iooking for a half-demon.\But no matter what, you're just half of one.\Half? I guess that's around here, huh?\You can understand what it's like.\Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers.\You mean, he's bullied? response:	Sorry Ma... they bully you cuz' of me.
context: You're good-Iooking for a half-demon.\But no matter what, you're just half of one.\Half? I guess that's around here, huh?\You can understand what it's like.\Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers.\You mean, he's bullied?\Sorry Ma... they bully you cuz' of me. response:	What are you saying?
