context: I'm back. response:	I spent my summer at a place in the mountains.
context: Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield,\I am.\She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san.\She smells better than Knight-san.\She's a real princess.\I'm a real princess, too! response:	Okay.
context: the second crown princess, Hakua Berserker Bladefield,\I am.\She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san.\She smells better than Knight-san.\She's a real princess.\I'm a real princess, too!\Okay. response:	We'll be starting the new term today.
context: I am.\She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san.\She smells better than Knight-san.\She's a real princess.\I'm a real princess, too!\Okay.\We'll be starting the new term today. response:	The school fair's coming up, so make sure you all behave,
context: She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san.\She smells better than Knight-san.\She's a real princess.\I'm a real princess, too!\Okay.\We'll be starting the new term today.\The school fair's coming up, so make sure you all behave, response:	along with your new friend here.
context: I feel like I want to protect her more than Knight-san.\She smells better than Knight-san.\She's a real princess.\I'm a real princess, too!\Okay.\We'll be starting the new term today.\The school fair's coming up, so make sure you all behave,\along with your new friend here. response:	Okay!
context: She smells better than Knight-san.\She's a real princess.\I'm a real princess, too!\Okay.\We'll be starting the new term today.\The school fair's coming up, so make sure you all behave,\along with your new friend here.\Okay! response:	We just got off of summer break
context: She's a real princess.\I'm a real princess, too!\Okay.\We'll be starting the new term today.\The school fair's coming up, so make sure you all behave,\along with your new friend here.\Okay!\We just got off of summer break response:	and now everyone's excited about the school fair.
context: I'm a real princess, too!\Okay.\We'll be starting the new term today.\The school fair's coming up, so make sure you all behave,\along with your new friend here.\Okay!\We just got off of summer break\and now everyone's excited about the school fair. response:	You can't blame them.
context: Okay.\We'll be starting the new term today.\The school fair's coming up, so make sure you all behave,\along with your new friend here.\Okay!\We just got off of summer break\and now everyone's excited about the school fair.\You can't blame them. response:	It's the largest festival around here. It lasts for a week
context: We'll be starting the new term today.\The school fair's coming up, so make sure you all behave,\along with your new friend here.\Okay!\We just got off of summer break\and now everyone's excited about the school fair.\You can't blame them.\It's the largest festival around here. It lasts for a week response:	and everyone from the elementary school division to the university here participate.
context: The school fair's coming up, so make sure you all behave,\along with your new friend here.\Okay!\We just got off of summer break\and now everyone's excited about the school fair.\You can't blame them.\It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate. response:	My class wants to make their haunted yakisoba cafe a success,
context: along with your new friend here.\Okay!\We just got off of summer break\and now everyone's excited about the school fair.\You can't blame them.\It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success, response:	so they're all excited.
context: Okay!\We just got off of summer break\and now everyone's excited about the school fair.\You can't blame them.\It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success,\so they're all excited. response:	What kind of chemical reaction created that idea?
context: We just got off of summer break\and now everyone's excited about the school fair.\You can't blame them.\It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success,\so they're all excited.\What kind of chemical reaction created that idea? response:	I'm not sure about that one.
context: and now everyone's excited about the school fair.\You can't blame them.\It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success,\so they're all excited.\What kind of chemical reaction created that idea?\I'm not sure about that one. response:	Hakua-chan has gotten really used to school.
context: You can't blame them.\It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success,\so they're all excited.\What kind of chemical reaction created that idea?\I'm not sure about that one.\Hakua-chan has gotten really used to school. response:	That's good.
context: It's the largest festival around here. It lasts for a week\and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success,\so they're all excited.\What kind of chemical reaction created that idea?\I'm not sure about that one.\Hakua-chan has gotten really used to school.\That's good. response:	I can't always watch after her, anyway.
context: and everyone from the elementary school division to the university here participate.\My class wants to make their haunted yakisoba cafe a success,\so they're all excited.\What kind of chemical reaction created that idea?\I'm not sure about that one.\Hakua-chan has gotten really used to school.\That's good.\I can't always watch after her, anyway. response:	Souta-kun...
context: My class wants to make their haunted yakisoba cafe a success,\so they're all excited.\What kind of chemical reaction created that idea?\I'm not sure about that one.\Hakua-chan has gotten really used to school.\That's good.\I can't always watch after her, anyway.\Souta-kun... response:	Souta-san,
context: so they're all excited.\What kind of chemical reaction created that idea?\I'm not sure about that one.\Hakua-chan has gotten really used to school.\That's good.\I can't always watch after her, anyway.\Souta-kun...\Souta-san, response:	please sign this, please.
context: What kind of chemical reaction created that idea?\I'm not sure about that one.\Hakua-chan has gotten really used to school.\That's good.\I can't always watch after her, anyway.\Souta-kun...\Souta-san,\please sign this, please. response:	Sign?
context: I'm not sure about that one.\Hakua-chan has gotten really used to school.\That's good.\I can't always watch after her, anyway.\Souta-kun...\Souta-san,\please sign this, please.\Sign? response:	This isn't marriage paperwork.
context: Hakua-chan has gotten really used to school.\That's good.\I can't always watch after her, anyway.\Souta-kun...\Souta-san,\please sign this, please.\Sign?\This isn't marriage paperwork. response:	just to be your lover, I would.
context: That's good.\I can't always watch after her, anyway.\Souta-kun...\Souta-san,\please sign this, please.\Sign?\This isn't marriage paperwork.\just to be your lover, I would. response:	Lover
context: I can't always watch after her, anyway.\Souta-kun...\Souta-san,\please sign this, please.\Sign?\This isn't marriage paperwork.\just to be your lover, I would.\Lover response:	That'd be an annoying way to live.
context: Souta-kun...\Souta-san,\please sign this, please.\Sign?\This isn't marriage paperwork.\just to be your lover, I would.\Lover\That'd be an annoying way to live. response:	Well, I wouldn't mind signing it.
context: Souta-san,\please sign this, please.\Sign?\This isn't marriage paperwork.\just to be your lover, I would.\Lover\That'd be an annoying way to live.\Well, I wouldn't mind signing it. response:	Yay!
context: please sign this, please.\Sign?\This isn't marriage paperwork.\just to be your lover, I would.\Lover\That'd be an annoying way to live.\Well, I wouldn't mind signing it.\Yay! response:	Huh? What?
context: Sign?\This isn't marriage paperwork.\just to be your lover, I would.\Lover\That'd be an annoying way to live.\Well, I wouldn't mind signing it.\Yay!\Huh? What? response:	Souta-kun, look at this...
context: This isn't marriage paperwork.\just to be your lover, I would.\Lover\That'd be an annoying way to live.\Well, I wouldn't mind signing it.\Yay!\Huh? What?\Souta-kun, look at this... response:	It's an entry sheet for the Hatagaya Academy beauty contest?
context: just to be your lover, I would.\Lover\That'd be an annoying way to live.\Well, I wouldn't mind signing it.\Yay!\Huh? What?\Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest? response:	Hatagaya beauty contest?
context: Lover\That'd be an annoying way to live.\Well, I wouldn't mind signing it.\Yay!\Huh? What?\Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest? response:	What's that?
context: That'd be an annoying way to live.\Well, I wouldn't mind signing it.\Yay!\Huh? What?\Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest?\What's that? response:	You don't know?
context: Well, I wouldn't mind signing it.\Yay!\Huh? What?\Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest?\What's that?\You don't know? response:	It's one of the main attractions for the first day of the festival.
context: Yay!\Huh? What?\Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest?\What's that?\You don't know?\It's one of the main attractions for the first day of the festival. response:	Sorry, Hatate-kun.
context: Huh? What?\Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest?\What's that?\You don't know?\It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun. response:	This is for the festival.
context: Souta-kun, look at this...\It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest?\What's that?\You don't know?\It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun.\This is for the festival. response:	Everyone said that if you put their name in,
context: It's an entry sheet for the Hatagaya Academy beauty contest?\Hatagaya beauty contest?\What's that?\You don't know?\It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun.\This is for the festival.\Everyone said that if you put their name in, response:	they wouldn't mind entering.
context: Hatagaya beauty contest?\What's that?\You don't know?\It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun.\This is for the festival.\Everyone said that if you put their name in,\they wouldn't mind entering. response:	Everyone?
context: What's that?\You don't know?\It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun.\This is for the festival.\Everyone said that if you put their name in,\they wouldn't mind entering.\Everyone? response:	Entry Sheet
context: You don't know?\It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun.\This is for the festival.\Everyone said that if you put their name in,\they wouldn't mind entering.\Everyone?\Entry Sheet response:	Name
context: It's one of the main attractions for the first day of the festival.\Sorry, Hatate-kun.\This is for the festival.\Everyone said that if you put their name in,\they wouldn't mind entering.\Everyone?\Entry Sheet\Name response:	Mahougasawa Akane
context: Sorry, Hatate-kun.\This is for the festival.\Everyone said that if you put their name in,\they wouldn't mind entering.\Everyone?\Entry Sheet\Name\Mahougasawa Akane response:	Miss Hatagaya Academy Beauty Contest
context: This is for the festival.\Everyone said that if you put their name in,\they wouldn't mind entering.\Everyone?\Entry Sheet\Name\Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest response:	Mahougasawa Akane.
context: Everyone said that if you put their name in,\they wouldn't mind entering.\Everyone?\Entry Sheet\Name\Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane. response:	Entry Sheet
context: they wouldn't mind entering.\Everyone?\Entry Sheet\Name\Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane.\Entry Sheet response:	Name
context: Everyone?\Entry Sheet\Name\Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane.\Entry Sheet\Name response:	Shoukanji Kikuno
context: Entry Sheet\Name\Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane.\Entry Sheet\Name\Shoukanji Kikuno response:	Shoukanji Kikuno...
context: Name\Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane.\Entry Sheet\Name\Shoukanji Kikuno\Shoukanji Kikuno... response:	Entry Sheet
context: Mahougasawa Akane\Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane.\Entry Sheet\Name\Shoukanji Kikuno\Shoukanji Kikuno...\Entry Sheet response:	Name
context: Miss Hatagaya Academy Beauty Contest\Mahougasawa Akane.\Entry Sheet\Name\Shoukanji Kikuno\Shoukanji Kikuno...\Entry Sheet\Name response:	Nanami K. Bladefield
context: Mahougasawa Akane.\Entry Sheet\Name\Shoukanji Kikuno\Shoukanji Kikuno...\Entry Sheet\Name\Nanami K. Bladefield response:	Nanami Knight Bladefield.
context: Entry Sheet\Name\Shoukanji Kikuno\Shoukanji Kikuno...\Entry Sheet\Name\Nanami K. Bladefield\Nanami Knight Bladefield. response:	Ruri and Mei, Hakua and Rin-kun...
context: Name\Shoukanji Kikuno\Shoukanji Kikuno...\Entry Sheet\Name\Nanami K. Bladefield\Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun... response:	The president and Megumu are here, too?!
context: Shoukanji Kikuno\Shoukanji Kikuno...\Entry Sheet\Name\Nanami K. Bladefield\Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?! response:	What?! Why me?
context: Shoukanji Kikuno...\Entry Sheet\Name\Nanami K. Bladefield\Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?!\What?! Why me? response:	You sure are nice, little Souta.
context: Entry Sheet\Name\Nanami K. Bladefield\Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?!\What?! Why me?\You sure are nice, little Souta. response:	I've never heard of someone putting in a word
context: Name\Nanami K. Bladefield\Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?!\What?! Why me?\You sure are nice, little Souta.\I've never heard of someone putting in a word response:	for nine girls at the same time.
context: Nanami K. Bladefield\Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?!\What?! Why me?\You sure are nice, little Souta.\I've never heard of someone putting in a word\for nine girls at the same time. response:	How unscrupulous.
context: Nanami Knight Bladefield.\Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?!\What?! Why me?\You sure are nice, little Souta.\I've never heard of someone putting in a word\for nine girls at the same time.\How unscrupulous. response:	Aren't you happy that
context: Ruri and Mei, Hakua and Rin-kun...\The president and Megumu are here, too?!\What?! Why me?\You sure are nice, little Souta.\I've never heard of someone putting in a word\for nine girls at the same time.\How unscrupulous.\Aren't you happy that response:	he wanted you to enter, though?
context: The president and Megumu are here, too?!\What?! Why me?\You sure are nice, little Souta.\I've never heard of someone putting in a word\for nine girls at the same time.\How unscrupulous.\Aren't you happy that\he wanted you to enter, though? response:	Wh-What are you saying?
context: What?! Why me?\You sure are nice, little Souta.\I've never heard of someone putting in a word\for nine girls at the same time.\How unscrupulous.\Aren't you happy that\he wanted you to enter, though?\Wh-What are you saying? response:	I'm not going to get happy over something like that.
context: You sure are nice, little Souta.\I've never heard of someone putting in a word\for nine girls at the same time.\How unscrupulous.\Aren't you happy that\he wanted you to enter, though?\Wh-What are you saying?\I'm not going to get happy over something like that. response:	You get so embarrassed. It's cute.
context: I've never heard of someone putting in a word\for nine girls at the same time.\How unscrupulous.\Aren't you happy that\he wanted you to enter, though?\Wh-What are you saying?\I'm not going to get happy over something like that.\You get so embarrassed. It's cute. response:	No, I don't!
context: for nine girls at the same time.\How unscrupulous.\Aren't you happy that\he wanted you to enter, though?\Wh-What are you saying?\I'm not going to get happy over something like that.\You get so embarrassed. It's cute.\No, I don't! response:	So, since you nominated them all,
context: How unscrupulous.\Aren't you happy that\he wanted you to enter, though?\Wh-What are you saying?\I'm not going to get happy over something like that.\You get so embarrassed. It's cute.\No, I don't!\So, since you nominated them all, response:	you're going to need to treat them all equally.
context: Aren't you happy that\he wanted you to enter, though?\Wh-What are you saying?\I'm not going to get happy over something like that.\You get so embarrassed. It's cute.\No, I don't!\So, since you nominated them all,\you're going to need to treat them all equally. response:	My class is supposed to help me out.
context: he wanted you to enter, though?\Wh-What are you saying?\I'm not going to get happy over something like that.\You get so embarrassed. It's cute.\No, I don't!\So, since you nominated them all,\you're going to need to treat them all equally.\My class is supposed to help me out. response:	Well, it is the school fair.
context: Wh-What are you saying?\I'm not going to get happy over something like that.\You get so embarrassed. It's cute.\No, I don't!\So, since you nominated them all,\you're going to need to treat them all equally.\My class is supposed to help me out.\Well, it is the school fair. response:	You're still young.
context: I'm not going to get happy over something like that.\You get so embarrassed. It's cute.\No, I don't!\So, since you nominated them all,\you're going to need to treat them all equally.\My class is supposed to help me out.\Well, it is the school fair.\You're still young. response:	You should have fun with everyone.
context: You get so embarrassed. It's cute.\No, I don't!\So, since you nominated them all,\you're going to need to treat them all equally.\My class is supposed to help me out.\Well, it is the school fair.\You're still young.\You should have fun with everyone. response:	Have fun with everyone, huh?
context: No, I don't!\So, since you nominated them all,\you're going to need to treat them all equally.\My class is supposed to help me out.\Well, it is the school fair.\You're still young.\You should have fun with everyone.\Have fun with everyone, huh? response:	Why am I a maid?
context: So, since you nominated them all,\you're going to need to treat them all equally.\My class is supposed to help me out.\Well, it is the school fair.\You're still young.\You should have fun with everyone.\Have fun with everyone, huh?\Why am I a maid? response:	I wonder why Japan likes maids so much, I do.
context: you're going to need to treat them all equally.\My class is supposed to help me out.\Well, it is the school fair.\You're still young.\You should have fun with everyone.\Have fun with everyone, huh?\Why am I a maid?\I wonder why Japan likes maids so much, I do. response:	Uh...
context: My class is supposed to help me out.\Well, it is the school fair.\You're still young.\You should have fun with everyone.\Have fun with everyone, huh?\Why am I a maid?\I wonder why Japan likes maids so much, I do.\Uh... response:	You two look good.
context: Well, it is the school fair.\You're still young.\You should have fun with everyone.\Have fun with everyone, huh?\Why am I a maid?\I wonder why Japan likes maids so much, I do.\Uh...\You two look good. response:	I'll be a perfectly manly maid!
context: You're still young.\You should have fun with everyone.\Have fun with everyone, huh?\Why am I a maid?\I wonder why Japan likes maids so much, I do.\Uh...\You two look good.\I'll be a perfectly manly maid! response:	I'll lower my head for you, even if I am
context: You should have fun with everyone.\Have fun with everyone, huh?\Why am I a maid?\I wonder why Japan likes maids so much, I do.\Uh...\You two look good.\I'll be a perfectly manly maid!\I'll lower my head for you, even if I am response:	the second crown princess, Souta-san.
context: Have fun with everyone, huh?\Why am I a maid?\I wonder why Japan likes maids so much, I do.\Uh...\You two look good.\I'll be a perfectly manly maid!\I'll lower my head for you, even if I am\the second crown princess, Souta-san. response:	Social status
context: Why am I a maid?\I wonder why Japan likes maids so much, I do.\Uh...\You two look good.\I'll be a perfectly manly maid!\I'll lower my head for you, even if I am\the second crown princess, Souta-san.\Social status response:	Dealing with social status is annoying...
context: I wonder why Japan likes maids so much, I do.\Uh...\You two look good.\I'll be a perfectly manly maid!\I'll lower my head for you, even if I am\the second crown princess, Souta-san.\Social status\Dealing with social status is annoying... response:	You don't have to worry about getting ready for the beauty contest, Nanami?
context: Uh...\You two look good.\I'll be a perfectly manly maid!\I'll lower my head for you, even if I am\the second crown princess, Souta-san.\Social status\Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami? response:	I wasn't interested in the first place.
context: You two look good.\I'll be a perfectly manly maid!\I'll lower my head for you, even if I am\the second crown princess, Souta-san.\Social status\Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place. response:	Why did you let me enter you?
context: I'll be a perfectly manly maid!\I'll lower my head for you, even if I am\the second crown princess, Souta-san.\Social status\Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place.\Why did you let me enter you? response:	If I hadn't allowed myself to be entered,
context: I'll lower my head for you, even if I am\the second crown princess, Souta-san.\Social status\Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place.\Why did you let me enter you?\If I hadn't allowed myself to be entered, response:	everyone would think I wasn't being friendly with them.
context: the second crown princess, Souta-san.\Social status\Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place.\Why did you let me enter you?\If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them. response:	What's wrong?
context: Social status\Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place.\Why did you let me enter you?\If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them.\What's wrong? response:	Nothing.
context: Dealing with social status is annoying...\You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place.\Why did you let me enter you?\If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them.\What's wrong?\Nothing. response:	Huh?
context: You don't have to worry about getting ready for the beauty contest, Nanami?\I wasn't interested in the first place.\Why did you let me enter you?\If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them.\What's wrong?\Nothing.\Huh? response:	Hey.
context: I wasn't interested in the first place.\Why did you let me enter you?\If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them.\What's wrong?\Nothing.\Huh?\Hey. response:	This is the poster for the beauty contest, so smile.
context: Why did you let me enter you?\If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them.\What's wrong?\Nothing.\Huh?\Hey.\This is the poster for the beauty contest, so smile. response:	R-Right.
context: If I hadn't allowed myself to be entered,\everyone would think I wasn't being friendly with them.\What's wrong?\Nothing.\Huh?\Hey.\This is the poster for the beauty contest, so smile.\R-Right. response:	You okay?
context: everyone would think I wasn't being friendly with them.\What's wrong?\Nothing.\Huh?\Hey.\This is the poster for the beauty contest, so smile.\R-Right.\You okay? response:	You're always smiling, and now you...
context: What's wrong?\Nothing.\Huh?\Hey.\This is the poster for the beauty contest, so smile.\R-Right.\You okay?\You're always smiling, and now you... response:	I-It's not like I'm some sort of smiling expert.
context: Nothing.\Huh?\Hey.\This is the poster for the beauty contest, so smile.\R-Right.\You okay?\You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert. response:	I look gloomy all the time, just like you!
context: Huh?\Hey.\This is the poster for the beauty contest, so smile.\R-Right.\You okay?\You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you! response:	You shouldn't be comparing yourself to me.
context: Hey.\This is the poster for the beauty contest, so smile.\R-Right.\You okay?\You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me. response:	How about you try taking the picture?
context: This is the poster for the beauty contest, so smile.\R-Right.\You okay?\You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me.\How about you try taking the picture? response:	Come on.
context: R-Right.\You okay?\You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me.\How about you try taking the picture?\Come on. response:	Okay, I'll take your picture, Akane.
context: You okay?\You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me.\How about you try taking the picture?\Come on.\Okay, I'll take your picture, Akane. response:	O-Okay!
