context: The old woman in Egypt, Enyaba, told me response:	to shoot the arrow at those it desires.
context: narrows it down quite a bit.\I see...\But you can't be sure that he uses the station.\He might drive to work in a car.\That is possible.\But he only changed his face.\I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already response:	starting to think he's acting bizarre.
context: I see...\But you can't be sure that he uses the station.\He might drive to work in a car.\That is possible.\But he only changed his face.\I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre. response:	What worries me is that, if the family finds Kira out,
context: But you can't be sure that he uses the station.\He might drive to work in a car.\That is possible.\But he only changed his face.\I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out, response:	there's a possibility Kira will get rid of that family.
context: He might drive to work in a car.\That is possible.\But he only changed his face.\I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family. response:	I'm not trying to preach justice or anything,
context: That is possible.\But he only changed his face.\I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything, response:	but I just want to find Kira before that happens.
context: But he only changed his face.\I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything,\but I just want to find Kira before that happens. response:	Hey!
context: I don't think it's possible to change completely into someone else.\I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything,\but I just want to find Kira before that happens.\Hey! response:	Mister, would you play janken with me?
context: I'm pretty sure that the family of one of these men is already\starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything,\but I just want to find Kira before that happens.\Hey!\Mister, would you play janken with me? response:	Janken...
context: starting to think he's acting bizarre.\What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything,\but I just want to find Kira before that happens.\Hey!\Mister, would you play janken with me?\Janken... response:	Hey, come on. It wouldn't hurt to play, would it?
context: What worries me is that, if the family finds Kira out,\there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything,\but I just want to find Kira before that happens.\Hey!\Mister, would you play janken with me?\Janken...\Hey, come on. It wouldn't hurt to play, would it? response:	What's with this kid?
context: there's a possibility Kira will get rid of that family.\I'm not trying to preach justice or anything,\but I just want to find Kira before that happens.\Hey!\Mister, would you play janken with me?\Janken...\Hey, come on. It wouldn't hurt to play, would it?\What's with this kid? response:	Janken...
context: I'm not trying to preach justice or anything,\but I just want to find Kira before that happens.\Hey!\Mister, would you play janken with me?\Janken...\Hey, come on. It wouldn't hurt to play, would it?\What's with this kid?\Janken... response:	There's always at least one weirdo at any station.
context: but I just want to find Kira before that happens.\Hey!\Mister, would you play janken with me?\Janken...\Hey, come on. It wouldn't hurt to play, would it?\What's with this kid?\Janken...\There's always at least one weirdo at any station. response:	Anyway, if you find any clues, please let me know, Mr. Joestar.
context: Hey!\Mister, would you play janken with me?\Janken...\Hey, come on. It wouldn't hurt to play, would it?\What's with this kid?\Janken...\There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar. response:	And you make sure you don't meddle in anything dangerous alone.
context: Mister, would you play janken with me?\Janken...\Hey, come on. It wouldn't hurt to play, would it?\What's with this kid?\Janken...\There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone. response:	Hey, Mister. You're the manga artist guy, right?
context: Janken...\Hey, come on. It wouldn't hurt to play, would it?\What's with this kid?\Janken...\There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right? response:	Didn't your series take a break not long ago?
context: Hey, come on. It wouldn't hurt to play, would it?\What's with this kid?\Janken...\There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago? response:	I read Shonen Jump weekly.
context: What's with this kid?\Janken...\There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago?\I read Shonen Jump weekly. response:	So come on. It wouldn't hurt to play janken with me.
context: Janken...\There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago?\I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me. response:	What's with you? Beat it!
context: There's always at least one weirdo at any station.\Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago?\I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it! response:	I wanna play janken. Come on, please?
context: Anyway, if you find any clues, please let me know, Mr. Joestar.\And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago?\I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it!\I wanna play janken. Come on, please? response:	What's with this kid? He has a hole in his cheek!
context: And you make sure you don't meddle in anything dangerous alone.\Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago?\I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it!\I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek! response:	I-It's deep.
context: Hey, Mister. You're the manga artist guy, right?\Didn't your series take a break not long ago?\I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it!\I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek!\I-It's deep. response:	Hey, come on! Hey, hey!
context: Didn't your series take a break not long ago?\I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it!\I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek!\I-It's deep.\Hey, come on! Hey, hey! response:	Does it go all the way into his mouth?
context: I read Shonen Jump weekly.\So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it!\I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek!\I-It's deep.\Hey, come on! Hey, hey!\Does it go all the way into his mouth? response:	No hard feelings if you lose.
context: So come on. It wouldn't hurt to play janken with me.\What's with you? Beat it!\I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek!\I-It's deep.\Hey, come on! Hey, hey!\Does it go all the way into his mouth?\No hard feelings if you lose. response:	If we tie, we play again. If you shoot too late, you lose.
context: What's with you? Beat it!\I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek!\I-It's deep.\Hey, come on! Hey, hey!\Does it go all the way into his mouth?\No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose. response:	Got it? Ready, and...
context: I wanna play janken. Come on, please?\What's with this kid? He has a hole in his cheek!\I-It's deep.\Hey, come on! Hey, hey!\Does it go all the way into his mouth?\No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and... response:	Janken...
context: What's with this kid? He has a hole in his cheek!\I-It's deep.\Hey, come on! Hey, hey!\Does it go all the way into his mouth?\No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and...\Janken... response:	This brat is being oddly persistent.
context: I-It's deep.\Hey, come on! Hey, hey!\Does it go all the way into his mouth?\No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and...\Janken...\This brat is being oddly persistent. response:	Is he a Stand user?
context: Hey, come on! Hey, hey!\Does it go all the way into his mouth?\No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and...\Janken...\This brat is being oddly persistent.\Is he a Stand user? response:	Ready, and... Janken...
context: Does it go all the way into his mouth?\No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and...\Janken...\This brat is being oddly persistent.\Is he a Stand user?\Ready, and... Janken... response:	Heaven's Door!
context: No hard feelings if you lose.\If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and...\Janken...\This brat is being oddly persistent.\Is he a Stand user?\Ready, and... Janken...\Heaven's Door! response:	Hmph.
context: If we tie, we play again. If you shoot too late, you lose.\Got it? Ready, and...\Janken...\This brat is being oddly persistent.\Is he a Stand user?\Ready, and... Janken...\Heaven's Door!\Hmph. response:	Let's see...
context: Got it? Ready, and...\Janken...\This brat is being oddly persistent.\Is he a Stand user?\Ready, and... Janken...\Heaven's Door!\Hmph.\Let's see... response:	His name is Ken Oyanagi, and he's eleven.
context: Janken...\This brat is being oddly persistent.\Is he a Stand user?\Ready, and... Janken...\Heaven's Door!\Hmph.\Let's see...\His name is Ken Oyanagi, and he's eleven. response:	There's nothing about a Stand written here...
context: This brat is being oddly persistent.\Is he a Stand user?\Ready, and... Janken...\Heaven's Door!\Hmph.\Let's see...\His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here... response:	And it says the hole in his cheek was from falling off a telephone pole.
context: Is he a Stand user?\Ready, and... Janken...\Heaven's Door!\Hmph.\Let's see...\His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole. response:	Loves janken. Really wants to play janken. Plays scissors first.
context: Ready, and... Janken...\Heaven's Door!\Hmph.\Let's see...\His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first. response:	It looks like this kid really wants to play janken.
context: Heaven's Door!\Hmph.\Let's see...\His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken. response:	It's stupid, but...
context: Hmph.\Let's see...\His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken.\It's stupid, but... response:	Hey, guys. Are you getting in or not?
context: Let's see...\His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken.\It's stupid, but...\Hey, guys. Are you getting in or not? response:	Would you mind waiting about 30 seconds?
context: His name is Ken Oyanagi, and he's eleven.\There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken.\It's stupid, but...\Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds? response:	Here we go.
context: There's nothing about a Stand written here...\And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken.\It's stupid, but...\Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds?\Here we go. response:	Yeah, all right. You just want me to play, right?
context: And it says the hole in his cheek was from falling off a telephone pole.\Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken.\It's stupid, but...\Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds?\Here we go.\Yeah, all right. You just want me to play, right? response:	Janken... hoi!
context: Loves janken. Really wants to play janken. Plays scissors first.\It looks like this kid really wants to play janken.\It's stupid, but...\Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds?\Here we go.\Yeah, all right. You just want me to play, right?\Janken... hoi! response:	Well, see ya.
context: It looks like this kid really wants to play janken.\It's stupid, but...\Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds?\Here we go.\Yeah, all right. You just want me to play, right?\Janken... hoi!\Well, see ya. response:	I guess that's enough work for today.
context: It's stupid, but...\Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds?\Here we go.\Yeah, all right. You just want me to play, right?\Janken... hoi!\Well, see ya.\I guess that's enough work for today. response:	Yo, Rohan-sensei.
context: Hey, guys. Are you getting in or not?\Would you mind waiting about 30 seconds?\Here we go.\Yeah, all right. You just want me to play, right?\Janken... hoi!\Well, see ya.\I guess that's enough work for today.\Yo, Rohan-sensei. response:	Are you done with work already?
context: Would you mind waiting about 30 seconds?\Here we go.\Yeah, all right. You just want me to play, right?\Janken... hoi!\Well, see ya.\I guess that's enough work for today.\Yo, Rohan-sensei.\Are you done with work already? response:	Why don't you sit down and chat for a bit?
context: Here we go.\Yeah, all right. You just want me to play, right?\Janken... hoi!\Well, see ya.\I guess that's enough work for today.\Yo, Rohan-sensei.\Are you done with work already?\Why don't you sit down and chat for a bit? response:	It's the shitbag Josuke, the idiot Okuyasu...
context: Yeah, all right. You just want me to play, right?\Janken... hoi!\Well, see ya.\I guess that's enough work for today.\Yo, Rohan-sensei.\Are you done with work already?\Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu... response:	And the moody Yukako.
context: Janken... hoi!\Well, see ya.\I guess that's enough work for today.\Yo, Rohan-sensei.\Are you done with work already?\Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako. response:	All people with whom I have nothing to talk about.
context: Well, see ya.\I guess that's enough work for today.\Yo, Rohan-sensei.\Are you done with work already?\Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako.\All people with whom I have nothing to talk about. response:	Sorry, but I'm still working. Some other time.
context: I guess that's enough work for today.\Yo, Rohan-sensei.\Are you done with work already?\Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako.\All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time. response:	I see...
context: Yo, Rohan-sensei.\Are you done with work already?\Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako.\All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time.\I see... response:	Hey, what are you doing? That's my seat.
context: Are you done with work already?\Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako.\All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time.\I see...\Hey, what are you doing? That's my seat. response:	You haven't sat down yet, have you?
context: Why don't you sit down and chat for a bit?\It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako.\All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time.\I see...\Hey, what are you doing? That's my seat.\You haven't sat down yet, have you? response:	This seat was empty, so I sat down.
context: It's the shitbag Josuke, the idiot Okuyasu...\And the moody Yukako.\All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time.\I see...\Hey, what are you doing? That's my seat.\You haven't sat down yet, have you?\This seat was empty, so I sat down. response:	Whoops.
context: And the moody Yukako.\All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time.\I see...\Hey, what are you doing? That's my seat.\You haven't sat down yet, have you?\This seat was empty, so I sat down.\Whoops. response:	What's with you? Why do you keep bugging me?
context: All people with whom I have nothing to talk about.\Sorry, but I'm still working. Some other time.\I see...\Hey, what are you doing? That's my seat.\You haven't sat down yet, have you?\This seat was empty, so I sat down.\Whoops.\What's with you? Why do you keep bugging me? response:	Let's use janken to decide who gets the seat. Okay?
context: Sorry, but I'm still working. Some other time.\I see...\Hey, what are you doing? That's my seat.\You haven't sat down yet, have you?\This seat was empty, so I sat down.\Whoops.\What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay? response:	Again?!
context: I see...\Hey, what are you doing? That's my seat.\You haven't sat down yet, have you?\This seat was empty, so I sat down.\Whoops.\What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay?\Again?! response:	No! I sat here first!
context: Hey, what are you doing? That's my seat.\You haven't sat down yet, have you?\This seat was empty, so I sat down.\Whoops.\What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay?\Again?!\No! I sat here first! response:	This seat belongs to me!
context: You haven't sat down yet, have you?\This seat was empty, so I sat down.\Whoops.\What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay?\Again?!\No! I sat here first!\This seat belongs to me! response:	Sir...
context: This seat was empty, so I sat down.\Whoops.\What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay?\Again?!\No! I sat here first!\This seat belongs to me!\Sir... response:	Hang on...
context: Whoops.\What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay?\Again?!\No! I sat here first!\This seat belongs to me!\Sir...\Hang on... response:	Rohan-sensei, just let him have it.
context: What's with you? Why do you keep bugging me?\Let's use janken to decide who gets the seat. Okay?\Again?!\No! I sat here first!\This seat belongs to me!\Sir...\Hang on...\Rohan-sensei, just let him have it. response:	He's just a kid.
context: Let's use janken to decide who gets the seat. Okay?\Again?!\No! I sat here first!\This seat belongs to me!\Sir...\Hang on...\Rohan-sensei, just let him have it.\He's just a kid. response:	Don't make him cry. That's pretty immature of you.
context: Again?!\No! I sat here first!\This seat belongs to me!\Sir...\Hang on...\Rohan-sensei, just let him have it.\He's just a kid.\Don't make him cry. That's pretty immature of you. response:	Why don't you sit next to him?
context: No! I sat here first!\This seat belongs to me!\Sir...\Hang on...\Rohan-sensei, just let him have it.\He's just a kid.\Don't make him cry. That's pretty immature of you.\Why don't you sit next to him? response:	Shut up! All of you, shut you mouths!
context: This seat belongs to me!\Sir...\Hang on...\Rohan-sensei, just let him have it.\He's just a kid.\Don't make him cry. That's pretty immature of you.\Why don't you sit next to him?\Shut up! All of you, shut you mouths! response:	Fine! I'll play janken!
context: Sir...\Hang on...\Rohan-sensei, just let him have it.\He's just a kid.\Don't make him cry. That's pretty immature of you.\Why don't you sit next to him?\Shut up! All of you, shut you mouths!\Fine! I'll play janken! response:	Janken's what you want, right?
context: Hang on...\Rohan-sensei, just let him have it.\He's just a kid.\Don't make him cry. That's pretty immature of you.\Why don't you sit next to him?\Shut up! All of you, shut you mouths!\Fine! I'll play janken!\Janken's what you want, right? response:	That's the spirit! H-Here we go!
