context: The year 850, in Trost... response:	The sight of Eren Jaeger unleashing
context: That idea depends on so many assumptions,\and he's just going to run with it?\I was just thinking the same thing.\But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see.\Something we can't see?\Also, I think there's a bigger issue that must be addressed\before the plan can be executed. response:	And the Commander fully recognizes it.
context: and he's just going to run with it?\I was just thinking the same thing.\But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see.\Something we can't see?\Also, I think there's a bigger issue that must be addressed\before the plan can be executed.\And the Commander fully recognizes it. response:	What do you mean?
context: I was just thinking the same thing.\But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see.\Something we can't see?\Also, I think there's a bigger issue that must be addressed\before the plan can be executed.\And the Commander fully recognizes it.\What do you mean? response:	The Titans aren't our only enemy.
context: But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see.\Something we can't see?\Also, I think there's a bigger issue that must be addressed\before the plan can be executed.\And the Commander fully recognizes it.\What do you mean?\The Titans aren't our only enemy. response:	There's no time to waste.
context: Commander Pixis must see potential in something the rest of us can't see.\Something we can't see?\Also, I think there's a bigger issue that must be addressed\before the plan can be executed.\And the Commander fully recognizes it.\What do you mean?\The Titans aren't our only enemy.\There's no time to waste. response:	I will need your help, young soldiers.
context: Something we can't see?\Also, I think there's a bigger issue that must be addressed\before the plan can be executed.\And the Commander fully recognizes it.\What do you mean?\The Titans aren't our only enemy.\There's no time to waste.\I will need your help, young soldiers. response:	A plan to retake Trost?
context: Also, I think there's a bigger issue that must be addressed\before the plan can be executed.\And the Commander fully recognizes it.\What do you mean?\The Titans aren't our only enemy.\There's no time to waste.\I will need your help, young soldiers.\A plan to retake Trost? response:	You're kidding...
context: before the plan can be executed.\And the Commander fully recognizes it.\What do you mean?\The Titans aren't our only enemy.\There's no time to waste.\I will need your help, young soldiers.\A plan to retake Trost?\You're kidding... response:	We have no way to seal that hole.
context: And the Commander fully recognizes it.\What do you mean?\The Titans aren't our only enemy.\There's no time to waste.\I will need your help, young soldiers.\A plan to retake Trost?\You're kidding...\We have no way to seal that hole. response:	What is the brass thinking?
context: What do you mean?\The Titans aren't our only enemy.\There's no time to waste.\I will need your help, young soldiers.\A plan to retake Trost?\You're kidding...\We have no way to seal that hole.\What is the brass thinking? response:	Going into Trost would be our deaths!
context: The Titans aren't our only enemy.\There's no time to waste.\I will need your help, young soldiers.\A plan to retake Trost?\You're kidding...\We have no way to seal that hole.\What is the brass thinking?\Going into Trost would be our deaths! response:	Since we can't seal the hole,
context: There's no time to waste.\I will need your help, young soldiers.\A plan to retake Trost?\You're kidding...\We have no way to seal that hole.\What is the brass thinking?\Going into Trost would be our deaths!\Since we can't seal the hole, response:	all we can do is die defending Wall Rose's gate.
context: I will need your help, young soldiers.\A plan to retake Trost?\You're kidding...\We have no way to seal that hole.\What is the brass thinking?\Going into Trost would be our deaths!\Since we can't seal the hole,\all we can do is die defending Wall Rose's gate. response:	Damn it... They want glory that much?
context: A plan to retake Trost?\You're kidding...\We have no way to seal that hole.\What is the brass thinking?\Going into Trost would be our deaths!\Since we can't seal the hole,\all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much? response:	I have to return to that hell?
context: You're kidding...\We have no way to seal that hole.\What is the brass thinking?\Going into Trost would be our deaths!\Since we can't seal the hole,\all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much?\I have to return to that hell? response:	No! I don't want to die!
context: We have no way to seal that hole.\What is the brass thinking?\Going into Trost would be our deaths!\Since we can't seal the hole,\all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much?\I have to return to that hell?\No! I don't want to die! response:	Let me see my family!
context: What is the brass thinking?\Going into Trost would be our deaths!\Since we can't seal the hole,\all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much?\I have to return to that hell?\No! I don't want to die!\Let me see my family! response:	Hey, Daz, you're being too loud...
context: Going into Trost would be our deaths!\Since we can't seal the hole,\all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much?\I have to return to that hell?\No! I don't want to die!\Let me see my family!\Hey, Daz, you're being too loud... response:	You there! I heard you!
context: Since we can't seal the hole,\all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much?\I have to return to that hell?\No! I don't want to die!\Let me see my family!\Hey, Daz, you're being too loud...\You there! I heard you! response:	Are you saying you want to abandon your mission?
context: all we can do is die defending Wall Rose's gate.\Damn it... They want glory that much?\I have to return to that hell?\No! I don't want to die!\Let me see my family!\Hey, Daz, you're being too loud...\You there! I heard you!\Are you saying you want to abandon your mission? response:	That's right!
context: Damn it... They want glory that much?\I have to return to that hell?\No! I don't want to die!\Let me see my family!\Hey, Daz, you're being too loud...\You there! I heard you!\Are you saying you want to abandon your mission?\That's right! response:	This is nothing but mass suicide! It's meaningless!
context: I have to return to that hell?\No! I don't want to die!\Let me see my family!\Hey, Daz, you're being too loud...\You there! I heard you!\Are you saying you want to abandon your mission?\That's right!\This is nothing but mass suicide! It's meaningless! response:	Have you no respect for humanity? For order?
context: No! I don't want to die!\Let me see my family!\Hey, Daz, you're being too loud...\You there! I heard you!\Are you saying you want to abandon your mission?\That's right!\This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order? response:	If I chose to, I could execute you this minute.
context: Let me see my family!\Hey, Daz, you're being too loud...\You there! I heard you!\Are you saying you want to abandon your mission?\That's right!\This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order?\If I chose to, I could execute you this minute. response:	Go ahead...
context: Hey, Daz, you're being too loud...\You there! I heard you!\Are you saying you want to abandon your mission?\That's right!\This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order?\If I chose to, I could execute you this minute.\Go ahead... response:	It's a hundred times better than being eaten by Titans!
context: You there! I heard you!\Are you saying you want to abandon your mission?\That's right!\This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order?\If I chose to, I could execute you this minute.\Go ahead...\It's a hundred times better than being eaten by Titans! response:	Stop it, Daz!
context: Are you saying you want to abandon your mission?\That's right!\This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order?\If I chose to, I could execute you this minute.\Go ahead...\It's a hundred times better than being eaten by Titans!\Stop it, Daz! response:	No! Let me go!
context: That's right!\This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order?\If I chose to, I could execute you this minute.\Go ahead...\It's a hundred times better than being eaten by Titans!\Stop it, Daz!\No! Let me go! response:	I won't go back there!
context: This is nothing but mass suicide! It's meaningless!\Have you no respect for humanity? For order?\If I chose to, I could execute you this minute.\Go ahead...\It's a hundred times better than being eaten by Titans!\Stop it, Daz!\No! Let me go!\I won't go back there! response:	Did you hear that?
context: Have you no respect for humanity? For order?\If I chose to, I could execute you this minute.\Go ahead...\It's a hundred times better than being eaten by Titans!\Stop it, Daz!\No! Let me go!\I won't go back there!\Did you hear that? response:	Given the circumstances, I don't blame him...
context: If I chose to, I could execute you this minute.\Go ahead...\It's a hundred times better than being eaten by Titans!\Stop it, Daz!\No! Let me go!\I won't go back there!\Did you hear that?\Given the circumstances, I don't blame him... response:	Hey...
context: Go ahead...\It's a hundred times better than being eaten by Titans!\Stop it, Daz!\No! Let me go!\I won't go back there!\Did you hear that?\Given the circumstances, I don't blame him...\Hey... response:	I hope someone rebels over here, too.
context: It's a hundred times better than being eaten by Titans!\Stop it, Daz!\No! Let me go!\I won't go back there!\Did you hear that?\Given the circumstances, I don't blame him...\Hey...\I hope someone rebels over here, too. response:	I'd at least like to choose how I die.
context: Stop it, Daz!\No! Let me go!\I won't go back there!\Did you hear that?\Given the circumstances, I don't blame him...\Hey...\I hope someone rebels over here, too.\I'd at least like to choose how I die. response:	Hey!
context: No! Let me go!\I won't go back there!\Did you hear that?\Given the circumstances, I don't blame him...\Hey...\I hope someone rebels over here, too.\I'd at least like to choose how I die.\Hey! response:	I-It was a joke!
context: I won't go back there!\Did you hear that?\Given the circumstances, I don't blame him...\Hey...\I hope someone rebels over here, too.\I'd at least like to choose how I die.\Hey!\I-It was a joke! response:	Do it...
context: Did you hear that?\Given the circumstances, I don't blame him...\Hey...\I hope someone rebels over here, too.\I'd at least like to choose how I die.\Hey!\I-It was a joke!\Do it... response:	Be loud...
context: Given the circumstances, I don't blame him...\Hey...\I hope someone rebels over here, too.\I'd at least like to choose how I die.\Hey!\I-It was a joke!\Do it...\Be loud... response:	And get others to go along!
context: Hey...\I hope someone rebels over here, too.\I'd at least like to choose how I die.\Hey!\I-It was a joke!\Do it...\Be loud...\And get others to go along! response:	In the Garrison, plenty of us aren't happy, either.
context: I hope someone rebels over here, too.\I'd at least like to choose how I die.\Hey!\I-It was a joke!\Do it...\Be loud...\And get others to go along!\In the Garrison, plenty of us aren't happy, either. response:	We'll take advantage of the chaos and leave!
context: I'd at least like to choose how I die.\Hey!\I-It was a joke!\Do it...\Be loud...\And get others to go along!\In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave! response:	Leave and go where?
context: Hey!\I-It was a joke!\Do it...\Be loud...\And get others to go along!\In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave!\Leave and go where? response:	To see my daughter.
context: I-It was a joke!\Do it...\Be loud...\And get others to go along!\In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave!\Leave and go where?\To see my daughter. response:	Eventually, this wall will also fall.
context: Do it...\Be loud...\And get others to go along!\In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave!\Leave and go where?\To see my daughter.\Eventually, this wall will also fall. response:	They say that before Titans gained dominion over the earth,
context: Be loud...\And get others to go along!\In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave!\Leave and go where?\To see my daughter.\Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth, response:	there was endless slaughter of human life
context: And get others to go along!\In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave!\Leave and go where?\To see my daughter.\Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth,\there was endless slaughter of human life response:	in wars over race and ideology...
context: In the Garrison, plenty of us aren't happy, either.\We'll take advantage of the chaos and leave!\Leave and go where?\To see my daughter.\Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth,\there was endless slaughter of human life\in wars over race and ideology... response:	Then someone said,
context: We'll take advantage of the chaos and leave!\Leave and go where?\To see my daughter.\Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth,\there was endless slaughter of human life\in wars over race and ideology...\Then someone said, response:	If a powerful external threat were to appear,
context: Leave and go where?\To see my daughter.\Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth,\there was endless slaughter of human life\in wars over race and ideology...\Then someone said,\If a powerful external threat were to appear, response:	humanity would cease its wars and unite.
context: To see my daughter.\Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth,\there was endless slaughter of human life\in wars over race and ideology...\Then someone said,\If a powerful external threat were to appear,\humanity would cease its wars and unite. response:	What do you think of that?
context: Eventually, this wall will also fall.\They say that before Titans gained dominion over the earth,\there was endless slaughter of human life\in wars over race and ideology...\Then someone said,\If a powerful external threat were to appear,\humanity would cease its wars and unite.\What do you think of that? response:	I've never heard that legend.
context: They say that before Titans gained dominion over the earth,\there was endless slaughter of human life\in wars over race and ideology...\Then someone said,\If a powerful external threat were to appear,\humanity would cease its wars and unite.\What do you think of that?\I've never heard that legend. response:	Sounds naIve...
context: there was endless slaughter of human life\in wars over race and ideology...\Then someone said,\If a powerful external threat were to appear,\humanity would cease its wars and unite.\What do you think of that?\I've never heard that legend.\Sounds naIve... response:	Almost silly.
context: in wars over race and ideology...\Then someone said,\If a powerful external threat were to appear,\humanity would cease its wars and unite.\What do you think of that?\I've never heard that legend.\Sounds naIve...\Almost silly. response:	You have a warped mind like mine.
context: Then someone said,\If a powerful external threat were to appear,\humanity would cease its wars and unite.\What do you think of that?\I've never heard that legend.\Sounds naIve...\Almost silly.\You have a warped mind like mine. response:	Even when that powerful threat
context: If a powerful external threat were to appear,\humanity would cease its wars and unite.\What do you think of that?\I've never heard that legend.\Sounds naIve...\Almost silly.\You have a warped mind like mine.\Even when that powerful threat response:	has pushed us to the brink of destruction,
context: humanity would cease its wars and unite.\What do you think of that?\I've never heard that legend.\Sounds naIve...\Almost silly.\You have a warped mind like mine.\Even when that powerful threat\has pushed us to the brink of destruction, response:	we still have yet to unite.
context: What do you think of that?\I've never heard that legend.\Sounds naIve...\Almost silly.\You have a warped mind like mine.\Even when that powerful threat\has pushed us to the brink of destruction,\we still have yet to unite. response:	No, but it's high time we did so.
context: I've never heard that legend.\Sounds naIve...\Almost silly.\You have a warped mind like mine.\Even when that powerful threat\has pushed us to the brink of destruction,\we still have yet to unite.\No, but it's high time we did so. response:	Otherwise, we won't even be able to fight.
context: Sounds naIve...\Almost silly.\You have a warped mind like mine.\Even when that powerful threat\has pushed us to the brink of destruction,\we still have yet to unite.\No, but it's high time we did so.\Otherwise, we won't even be able to fight. response:	Eren?
context: Almost silly.\You have a warped mind like mine.\Even when that powerful threat\has pushed us to the brink of destruction,\we still have yet to unite.\No, but it's high time we did so.\Otherwise, we won't even be able to fight.\Eren? response:	He's safe, huh?
context: You have a warped mind like mine.\Even when that powerful threat\has pushed us to the brink of destruction,\we still have yet to unite.\No, but it's high time we did so.\Otherwise, we won't even be able to fight.\Eren?\He's safe, huh? response:	Focus on the mission?
context: Even when that powerful threat\has pushed us to the brink of destruction,\we still have yet to unite.\No, but it's high time we did so.\Otherwise, we won't even be able to fight.\Eren?\He's safe, huh?\Focus on the mission? response:	How dare he address a superior officer that way?
context: has pushed us to the brink of destruction,\we still have yet to unite.\No, but it's high time we did so.\Otherwise, we won't even be able to fight.\Eren?\He's safe, huh?\Focus on the mission?\How dare he address a superior officer that way? response:	By the look of it, Mikasa and Armin must be safe, as well.
context: we still have yet to unite.\No, but it's high time we did so.\Otherwise, we won't even be able to fight.\Eren?\He's safe, huh?\Focus on the mission?\How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well. response:	But what's Eren doing with the Commander?
context: No, but it's high time we did so.\Otherwise, we won't even be able to fight.\Eren?\He's safe, huh?\Focus on the mission?\How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander? response:	You want some?
context: Otherwise, we won't even be able to fight.\Eren?\He's safe, huh?\Focus on the mission?\How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander?\You want some? response:	Yes, please!
context: Eren?\He's safe, huh?\Focus on the mission?\How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander?\You want some?\Yes, please! response:	Kill me!
context: He's safe, huh?\Focus on the mission?\How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander?\You want some?\Yes, please!\Kill me! response:	If you're going to execute me, do it now!
context: Focus on the mission?\How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander?\You want some?\Yes, please!\Kill me!\If you're going to execute me, do it now! response:	You're sure? I'll do it!
context: How dare he address a superior officer that way?\By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander?\You want some?\Yes, please!\Kill me!\If you're going to execute me, do it now!\You're sure? I'll do it! response:	Attention!
context: By the look of it, Mikasa and Armin must be safe, as well.\But what's Eren doing with the Commander?\You want some?\Yes, please!\Kill me!\If you're going to execute me, do it now!\You're sure? I'll do it!\Attention! response:	I shall now explain the plan to retake Trost.
context: But what's Eren doing with the Commander?\You want some?\Yes, please!\Kill me!\If you're going to execute me, do it now!\You're sure? I'll do it!\Attention!\I shall now explain the plan to retake Trost. response:	For this mission, our objective
context: You want some?\Yes, please!\Kill me!\If you're going to execute me, do it now!\You're sure? I'll do it!\Attention!\I shall now explain the plan to retake Trost.\For this mission, our objective response:	is to seal the hole where the gate was destroyed.
context: Yes, please!\Kill me!\If you're going to execute me, do it now!\You're sure? I'll do it!\Attention!\I shall now explain the plan to retake Trost.\For this mission, our objective\is to seal the hole where the gate was destroyed. response:	Seal it?
context: Kill me!\If you're going to execute me, do it now!\You're sure? I'll do it!\Attention!\I shall now explain the plan to retake Trost.\For this mission, our objective\is to seal the hole where the gate was destroyed.\Seal it? response:	How?
context: If you're going to execute me, do it now!\You're sure? I'll do it!\Attention!\I shall now explain the plan to retake Trost.\For this mission, our objective\is to seal the hole where the gate was destroyed.\Seal it?\How? response:	Let me introduce you to the one
context: You're sure? I'll do it!\Attention!\I shall now explain the plan to retake Trost.\For this mission, our objective\is to seal the hole where the gate was destroyed.\Seal it?\How?\Let me introduce you to the one response:	who will seal the hole for us...
context: Attention!\I shall now explain the plan to retake Trost.\For this mission, our objective\is to seal the hole where the gate was destroyed.\Seal it?\How?\Let me introduce you to the one\who will seal the hole for us... response:	From the Trainee Corps, Eren Jaeger.
context: I shall now explain the plan to retake Trost.\For this mission, our objective\is to seal the hole where the gate was destroyed.\Seal it?\How?\Let me introduce you to the one\who will seal the hole for us...\From the Trainee Corps, Eren Jaeger. response:	E-Eren!
context: For this mission, our objective\is to seal the hole where the gate was destroyed.\Seal it?\How?\Let me introduce you to the one\who will seal the hole for us...\From the Trainee Corps, Eren Jaeger.\E-Eren! response:	He is the result of a top-secret project
context: is to seal the hole where the gate was destroyed.\Seal it?\How?\Let me introduce you to the one\who will seal the hole for us...\From the Trainee Corps, Eren Jaeger.\E-Eren!\He is the result of a top-secret project response:	to turn humans into Titans.
context: Seal it?\How?\Let me introduce you to the one\who will seal the hole for us...\From the Trainee Corps, Eren Jaeger.\E-Eren!\He is the result of a top-secret project\to turn humans into Titans. response:	He can create and control a Titan's body.
context: How?\Let me introduce you to the one\who will seal the hole for us...\From the Trainee Corps, Eren Jaeger.\E-Eren!\He is the result of a top-secret project\to turn humans into Titans.\He can create and control a Titan's body. response:	Hey...
context: Let me introduce you to the one\who will seal the hole for us...\From the Trainee Corps, Eren Jaeger.\E-Eren!\He is the result of a top-secret project\to turn humans into Titans.\He can create and control a Titan's body.\Hey... response:	I have no idea what the Commander's talking about.
context: who will seal the hole for us...\From the Trainee Corps, Eren Jaeger.\E-Eren!\He is the result of a top-secret project\to turn humans into Titans.\He can create and control a Titan's body.\Hey...\I have no idea what the Commander's talking about. response:	Am I just too stupid to get it or something?
context: From the Trainee Corps, Eren Jaeger.\E-Eren!\He is the result of a top-secret project\to turn humans into Titans.\He can create and control a Titan's body.\Hey...\I have no idea what the Commander's talking about.\Am I just too stupid to get it or something? response:	Would you shut up, idiot?
context: E-Eren!\He is the result of a top-secret project\to turn humans into Titans.\He can create and control a Titan's body.\Hey...\I have no idea what the Commander's talking about.\Am I just too stupid to get it or something?\Would you shut up, idiot? response:	He will become a Titan,
context: He is the result of a top-secret project\to turn humans into Titans.\He can create and control a Titan's body.\Hey...\I have no idea what the Commander's talking about.\Am I just too stupid to get it or something?\Would you shut up, idiot?\He will become a Titan, response:	pick up the giant boulder by the shattered gate,
context: to turn humans into Titans.\He can create and control a Titan's body.\Hey...\I have no idea what the Commander's talking about.\Am I just too stupid to get it or something?\Would you shut up, idiot?\He will become a Titan,\pick up the giant boulder by the shattered gate, response:	carry it over, and seal the hole.
context: He can create and control a Titan's body.\Hey...\I have no idea what the Commander's talking about.\Am I just too stupid to get it or something?\Would you shut up, idiot?\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole. response:	Your job will be
context: Hey...\I have no idea what the Commander's talking about.\Am I just too stupid to get it or something?\Would you shut up, idiot?\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be response:	to protect him from Titans while he moves the boulder!
context: I have no idea what the Commander's talking about.\Am I just too stupid to get it or something?\Would you shut up, idiot?\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder! response:	We don't have to fight the Titans?
context: Am I just too stupid to get it or something?\Would you shut up, idiot?\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\We don't have to fight the Titans? response:	E-Excuse me.
context: Would you shut up, idiot?\He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\We don't have to fight the Titans?\E-Excuse me. response:	I don't mean any disrespect by speaking up to a ranking officer...
context: He will become a Titan,\pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\We don't have to fight the Titans?\E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer... response:	No, continue.
context: pick up the giant boulder by the shattered gate,\carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\We don't have to fight the Titans?\E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer...\No, continue. response:	Y-Yes, sir.
context: carry it over, and seal the hole.\Your job will be\to protect him from Titans while he moves the boulder!\We don't have to fight the Titans?\E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer...\No, continue.\Y-Yes, sir. response:	Titans are typically drawn to pursue the largest number of people.
context: Your job will be\to protect him from Titans while he moves the boulder!\We don't have to fight the Titans?\E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer...\No, continue.\Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people. response:	If we can take advantage of that
context: to protect him from Titans while he moves the boulder!\We don't have to fight the Titans?\E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer...\No, continue.\Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that response:	to lure them along the walls,
context: We don't have to fight the Titans?\E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer...\No, continue.\Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that\to lure them along the walls, response:	we can draw most of them away from Eren
