context: Many Future Paths!! The Circumstances Everyone Bears response:	I'm breaking up with you.
context: Don't say that.\There's no need to act all macho now!\This only happened because you did something you shouldn't have, right?\That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do?\Do whatever you want.\You're a stranger to me from now on. response:	Otani!
context: There's no need to act all macho now!\This only happened because you did something you shouldn't have, right?\That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do?\Do whatever you want.\You're a stranger to me from now on.\Otani! response:	Wait, Otani!
context: This only happened because you did something you shouldn't have, right?\That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do?\Do whatever you want.\You're a stranger to me from now on.\Otani!\Wait, Otani! response:	No way...
context: That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do?\Do whatever you want.\You're a stranger to me from now on.\Otani!\Wait, Otani!\No way... response:	This can't be happening...
context: There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do?\Do whatever you want.\You're a stranger to me from now on.\Otani!\Wait, Otani!\No way...\This can't be happening... response:	This is bad.
context: Then what do you want me to do?\Do whatever you want.\You're a stranger to me from now on.\Otani!\Wait, Otani!\No way...\This can't be happening...\This is bad. response:	The end.
context: Do whatever you want.\You're a stranger to me from now on.\Otani!\Wait, Otani!\No way...\This can't be happening...\This is bad.\The end. response:	I can't believe it.
context: You're a stranger to me from now on.\Otani!\Wait, Otani!\No way...\This can't be happening...\This is bad.\The end.\I can't believe it. response:	This can't be happening... This is all a dream, right?
context: Otani!\Wait, Otani!\No way...\This can't be happening...\This is bad.\The end.\I can't believe it.\This can't be happening... This is all a dream, right? response:	This is just a bad dream.
context: Wait, Otani!\No way...\This can't be happening...\This is bad.\The end.\I can't believe it.\This can't be happening... This is all a dream, right?\This is just a bad dream. response:	It's been a while since that last happened...
context: No way...\This can't be happening...\This is bad.\The end.\I can't believe it.\This can't be happening... This is all a dream, right?\This is just a bad dream.\It's been a while since that last happened... response:	Ouch.
context: This can't be happening...\This is bad.\The end.\I can't believe it.\This can't be happening... This is all a dream, right?\This is just a bad dream.\It's been a while since that last happened...\Ouch. response:	This isn't a dream.
context: This is bad.\The end.\I can't believe it.\This can't be happening... This is all a dream, right?\This is just a bad dream.\It's been a while since that last happened...\Ouch.\This isn't a dream. response:	Are you okay?
context: The end.\I can't believe it.\This can't be happening... This is all a dream, right?\This is just a bad dream.\It's been a while since that last happened...\Ouch.\This isn't a dream.\Are you okay? response:	Yeah, I'm fine.
context: I can't believe it.\This can't be happening... This is all a dream, right?\This is just a bad dream.\It's been a while since that last happened...\Ouch.\This isn't a dream.\Are you okay?\Yeah, I'm fine. response:	I'll help out.
context: This can't be happening... This is all a dream, right?\This is just a bad dream.\It's been a while since that last happened...\Ouch.\This isn't a dream.\Are you okay?\Yeah, I'm fine.\I'll help out. response:	Thank you.
context: This is just a bad dream.\It's been a while since that last happened...\Ouch.\This isn't a dream.\Are you okay?\Yeah, I'm fine.\I'll help out.\Thank you. response:	I guess it's really over, huh?
context: It's been a while since that last happened...\Ouch.\This isn't a dream.\Are you okay?\Yeah, I'm fine.\I'll help out.\Thank you.\I guess it's really over, huh? response:	Koizumi, I'm sorry I said such cruel things.
context: Ouch.\This isn't a dream.\Are you okay?\Yeah, I'm fine.\I'll help out.\Thank you.\I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things. response:	What's that?
context: This isn't a dream.\Are you okay?\Yeah, I'm fine.\I'll help out.\Thank you.\I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things.\What's that? response:	The whispering of your heart.
context: Are you okay?\Yeah, I'm fine.\I'll help out.\Thank you.\I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things.\What's that?\The whispering of your heart. response:	Is that what you asked me to come here for?!
context: Yeah, I'm fine.\I'll help out.\Thank you.\I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things.\What's that?\The whispering of your heart.\Is that what you asked me to come here for?! response:	I'm going home! I'm busy.
context: I'll help out.\Thank you.\I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things.\What's that?\The whispering of your heart.\Is that what you asked me to come here for?!\I'm going home! I'm busy. response:	So what are you planning to do?
context: Thank you.\I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things.\What's that?\The whispering of your heart.\Is that what you asked me to come here for?!\I'm going home! I'm busy.\So what are you planning to do? response:	About what?
context: I guess it's really over, huh?\Koizumi, I'm sorry I said such cruel things.\What's that?\The whispering of your heart.\Is that what you asked me to come here for?!\I'm going home! I'm busy.\So what are you planning to do?\About what? response:	You're really going to break up?
context: Koizumi, I'm sorry I said such cruel things.\What's that?\The whispering of your heart.\Is that what you asked me to come here for?!\I'm going home! I'm busy.\So what are you planning to do?\About what?\You're really going to break up? response:	Of course.
context: What's that?\The whispering of your heart.\Is that what you asked me to come here for?!\I'm going home! I'm busy.\So what are you planning to do?\About what?\You're really going to break up?\Of course. response:	For how long?
context: The whispering of your heart.\Is that what you asked me to come here for?!\I'm going home! I'm busy.\So what are you planning to do?\About what?\You're really going to break up?\Of course.\For how long? response:	What do you mean, for how long?
context: Is that what you asked me to come here for?!\I'm going home! I'm busy.\So what are you planning to do?\About what?\You're really going to break up?\Of course.\For how long?\What do you mean, for how long? response:	For good!
context: I'm going home! I'm busy.\So what are you planning to do?\About what?\You're really going to break up?\Of course.\For how long?\What do you mean, for how long?\For good! response:	FOLEVER!
context: So what are you planning to do?\About what?\You're really going to break up?\Of course.\For how long?\What do you mean, for how long?\For good!\FOLEVER! response:	Wrong.
context: About what?\You're really going to break up?\Of course.\For how long?\What do you mean, for how long?\For good!\FOLEVER!\Wrong. response:	Forever.
context: You're really going to break up?\Of course.\For how long?\What do you mean, for how long?\For good!\FOLEVER!\Wrong.\Forever. response:	The future doesn't look good.
context: Of course.\For how long?\What do you mean, for how long?\For good!\FOLEVER!\Wrong.\Forever.\The future doesn't look good. response:	That's why I'm breaking up with her.
context: For how long?\What do you mean, for how long?\For good!\FOLEVER!\Wrong.\Forever.\The future doesn't look good.\That's why I'm breaking up with her. response:	I worry about her so much that I can't concentrate on my studies.
context: What do you mean, for how long?\For good!\FOLEVER!\Wrong.\Forever.\The future doesn't look good.\That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies. response:	Even if you break up, won't you still worry about her?
context: For good!\FOLEVER!\Wrong.\Forever.\The future doesn't look good.\That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her? response:	Not at all! I don't care anymore!
context: FOLEVER!\Wrong.\Forever.\The future doesn't look good.\That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her?\Not at all! I don't care anymore! response:	I'm totally relaxed!
context: Wrong.\Forever.\The future doesn't look good.\That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her?\Not at all! I don't care anymore!\I'm totally relaxed! response:	Is that so...
context: Forever.\The future doesn't look good.\That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her?\Not at all! I don't care anymore!\I'm totally relaxed!\Is that so... response:	I didn't think he was that stubborn.
context: The future doesn't look good.\That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her?\Not at all! I don't care anymore!\I'm totally relaxed!\Is that so...\I didn't think he was that stubborn. response:	It can't be helped. It was all my fault.
context: That's why I'm breaking up with her.\I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her?\Not at all! I don't care anymore!\I'm totally relaxed!\Is that so...\I didn't think he was that stubborn.\It can't be helped. It was all my fault. response:	Besides, this is an important time for him.
context: I worry about her so much that I can't concentrate on my studies.\Even if you break up, won't you still worry about her?\Not at all! I don't care anymore!\I'm totally relaxed!\Is that so...\I didn't think he was that stubborn.\It can't be helped. It was all my fault.\Besides, this is an important time for him. response:	I shouldn't bother him anymore.
context: Even if you break up, won't you still worry about her?\Not at all! I don't care anymore!\I'm totally relaxed!\Is that so...\I didn't think he was that stubborn.\It can't be helped. It was all my fault.\Besides, this is an important time for him.\I shouldn't bother him anymore. response:	Don't tell me you're just going to leave it like this?
context: Not at all! I don't care anymore!\I'm totally relaxed!\Is that so...\I didn't think he was that stubborn.\It can't be helped. It was all my fault.\Besides, this is an important time for him.\I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this? response:	Sorry for worrying you.
context: I'm totally relaxed!\Is that so...\I didn't think he was that stubborn.\It can't be helped. It was all my fault.\Besides, this is an important time for him.\I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this?\Sorry for worrying you. response:	What are you saying?
context: Is that so...\I didn't think he was that stubborn.\It can't be helped. It was all my fault.\Besides, this is an important time for him.\I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this?\Sorry for worrying you.\What are you saying? response:	You're the one who helped me with the Hokkaido problem.
context: I didn't think he was that stubborn.\It can't be helped. It was all my fault.\Besides, this is an important time for him.\I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this?\Sorry for worrying you.\What are you saying?\You're the one who helped me with the Hokkaido problem. response:	I want to help you too.
context: It can't be helped. It was all my fault.\Besides, this is an important time for him.\I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this?\Sorry for worrying you.\What are you saying?\You're the one who helped me with the Hokkaido problem.\I want to help you too. response:	Thanks, but it's okay. Thing are already over between us.
context: Besides, this is an important time for him.\I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this?\Sorry for worrying you.\What are you saying?\You're the one who helped me with the Hokkaido problem.\I want to help you too.\Thanks, but it's okay. Thing are already over between us. response:	Risa!
context: I shouldn't bother him anymore.\Don't tell me you're just going to leave it like this?\Sorry for worrying you.\What are you saying?\You're the one who helped me with the Hokkaido problem.\I want to help you too.\Thanks, but it's okay. Thing are already over between us.\Risa! response:	I forgot to give this to him.
context: Don't tell me you're just going to leave it like this?\Sorry for worrying you.\What are you saying?\You're the one who helped me with the Hokkaido problem.\I want to help you too.\Thanks, but it's okay. Thing are already over between us.\Risa!\I forgot to give this to him. response:	I took the time to make it, so it's still okay to give it to him, right?
context: Sorry for worrying you.\What are you saying?\You're the one who helped me with the Hokkaido problem.\I want to help you too.\Thanks, but it's okay. Thing are already over between us.\Risa!\I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right? response:	Otani, do your best.
context: What are you saying?\You're the one who helped me with the Hokkaido problem.\I want to help you too.\Thanks, but it's okay. Thing are already over between us.\Risa!\I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best. response:	Hey, what's the matter?
context: You're the one who helped me with the Hokkaido problem.\I want to help you too.\Thanks, but it's okay. Thing are already over between us.\Risa!\I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best.\Hey, what's the matter? response:	A-chan, here.
context: I want to help you too.\Thanks, but it's okay. Thing are already over between us.\Risa!\I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best.\Hey, what's the matter?\A-chan, here. response:	Otani Atsushi
context: Thanks, but it's okay. Thing are already over between us.\Risa!\I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best.\Hey, what's the matter?\A-chan, here.\Otani Atsushi response:	Otani Atsushi-sama, I support you in your test efforts.
context: Risa!\I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best.\Hey, what's the matter?\A-chan, here.\Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts. response:	Koizumi Risa.
context: I forgot to give this to him.\I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best.\Hey, what's the matter?\A-chan, here.\Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa. response:	Oh, it's from Risa-chan!
context: I took the time to make it, so it's still okay to give it to him, right?\Otani, do your best.\Hey, what's the matter?\A-chan, here.\Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa.\Oh, it's from Risa-chan! response:	Don't just open it!
context: Otani, do your best.\Hey, what's the matter?\A-chan, here.\Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa.\Oh, it's from Risa-chan!\Don't just open it! response:	Do your best
context: Hey, what's the matter?\A-chan, here.\Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa.\Oh, it's from Risa-chan!\Don't just open it!\Do your best response:	Otani
context: A-chan, here.\Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa.\Oh, it's from Risa-chan!\Don't just open it!\Do your best\Otani response:	How nice! It looks really warm.
context: Otani Atsushi\Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa.\Oh, it's from Risa-chan!\Don't just open it!\Do your best\Otani\How nice! It looks really warm. response:	Put it on, A-chan.
context: Otani Atsushi-sama, I support you in your test efforts.\Koizumi Risa.\Oh, it's from Risa-chan!\Don't just open it!\Do your best\Otani\How nice! It looks really warm.\Put it on, A-chan. response:	Wow! How cute!
context: Koizumi Risa.\Oh, it's from Risa-chan!\Don't just open it!\Do your best\Otani\How nice! It looks really warm.\Put it on, A-chan.\Wow! How cute! response:	PASS
context: Oh, it's from Risa-chan!\Don't just open it!\Do your best\Otani\How nice! It looks really warm.\Put it on, A-chan.\Wow! How cute!\PASS response:	OTANI FOR LIFE
context: Don't just open it!\Do your best\Otani\How nice! It looks really warm.\Put it on, A-chan.\Wow! How cute!\PASS\OTANI FOR LIFE response:	Recycled, huh?
context: Do your best\Otani\How nice! It looks really warm.\Put it on, A-chan.\Wow! How cute!\PASS\OTANI FOR LIFE\Recycled, huh? response:	Risa-chan sure is a nice girl.
context: Otani\How nice! It looks really warm.\Put it on, A-chan.\Wow! How cute!\PASS\OTANI FOR LIFE\Recycled, huh?\Risa-chan sure is a nice girl. response:	But why didn't she come in?
context: How nice! It looks really warm.\Put it on, A-chan.\Wow! How cute!\PASS\OTANI FOR LIFE\Recycled, huh?\Risa-chan sure is a nice girl.\But why didn't she come in? response:	I wonder if Otani accepted my support package?
context: Put it on, A-chan.\Wow! How cute!\PASS\OTANI FOR LIFE\Recycled, huh?\Risa-chan sure is a nice girl.\But why didn't she come in?\I wonder if Otani accepted my support package? response:	Koizumi-san, are you getting off now?
context: Wow! How cute!\PASS\OTANI FOR LIFE\Recycled, huh?\Risa-chan sure is a nice girl.\But why didn't she come in?\I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now? response:	Yeah. You're still working, Kohori-kun?
context: PASS\OTANI FOR LIFE\Recycled, huh?\Risa-chan sure is a nice girl.\But why didn't she come in?\I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun? response:	Yeah.
context: OTANI FOR LIFE\Recycled, huh?\Risa-chan sure is a nice girl.\But why didn't she come in?\I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun?\Yeah. response:	Oh, the boss asked for your availability for December.
context: Recycled, huh?\Risa-chan sure is a nice girl.\But why didn't she come in?\I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun?\Yeah.\Oh, the boss asked for your availability for December. response:	Oh, I forgot!
context: Risa-chan sure is a nice girl.\But why didn't she come in?\I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun?\Yeah.\Oh, the boss asked for your availability for December.\Oh, I forgot! response:	December...
context: But why didn't she come in?\I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun?\Yeah.\Oh, the boss asked for your availability for December.\Oh, I forgot!\December... response:	Christmas...
context: I wonder if Otani accepted my support package?\Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun?\Yeah.\Oh, the boss asked for your availability for December.\Oh, I forgot!\December...\Christmas... response:	I'm going to be all alone this year...
context: Koizumi-san, are you getting off now?\Yeah. You're still working, Kohori-kun?\Yeah.\Oh, the boss asked for your availability for December.\Oh, I forgot!\December...\Christmas...\I'm going to be all alone this year... response:	Koizumi-san, do you want to come in to work on Christmas Eve?
context: Yeah. You're still working, Kohori-kun?\Yeah.\Oh, the boss asked for your availability for December.\Oh, I forgot!\December...\Christmas...\I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve? response:	We're all going to get together and have a party after we close.
context: Yeah.\Oh, the boss asked for your availability for December.\Oh, I forgot!\December...\Christmas...\I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close. response:	Would you like to come too, Koizumi-san?
context: Oh, the boss asked for your availability for December.\Oh, I forgot!\December...\Christmas...\I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san? response:	Everyone is?
context: Oh, I forgot!\December...\Christmas...\I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san?\Everyone is? response:	Yeah.
context: December...\Christmas...\I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san?\Everyone is?\Yeah. response:	Matsubara-san will be there too.
context: Christmas...\I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san?\Everyone is?\Yeah.\Matsubara-san will be there too. response:	I heard that the old lady got really drunk last year and went completely wild.
context: I'm going to be all alone this year...\Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san?\Everyone is?\Yeah.\Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild. response:	No way! Are you serious?!
context: Koizumi-san, do you want to come in to work on Christmas Eve?\We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san?\Everyone is?\Yeah.\Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?! response:	Don't you want to see that?
context: We're all going to get together and have a party after we close.\Would you like to come too, Koizumi-san?\Everyone is?\Yeah.\Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?!\Don't you want to see that? response:	Kohori-kun?
context: Would you like to come too, Koizumi-san?\Everyone is?\Yeah.\Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?!\Don't you want to see that?\Kohori-kun? response:	What's this about the old lady?
context: Everyone is?\Yeah.\Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?!\Don't you want to see that?\Kohori-kun?\What's this about the old lady? response:	Uh... nothing at all!
context: Yeah.\Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?!\Don't you want to see that?\Kohori-kun?\What's this about the old lady?\Uh... nothing at all! response:	I'm taking out the trash!
