context: Sensei! response:	What's up?
context: Were they filling out transfer paperwork?\Y-Yes...\That's right.\Doesn't look like it.\It looks he isn't really a transfer student,\but he doesn't seem like a bad kid.\Oh, Satou-sensei...\Hello! response:	Hello.
context: Y-Yes...\That's right.\Doesn't look like it.\It looks he isn't really a transfer student,\but he doesn't seem like a bad kid.\Oh, Satou-sensei...\Hello!\Hello. response:	Hello.
context: That's right.\Doesn't look like it.\It looks he isn't really a transfer student,\but he doesn't seem like a bad kid.\Oh, Satou-sensei...\Hello!\Hello.\Hello. response:	That girl's head was...
context: Doesn't look like it.\It looks he isn't really a transfer student,\but he doesn't seem like a bad kid.\Oh, Satou-sensei...\Hello!\Hello.\Hello.\That girl's head was... response:	Yes, she's a demi-human. A dullahan.
context: It looks he isn't really a transfer student,\but he doesn't seem like a bad kid.\Oh, Satou-sensei...\Hello!\Hello.\Hello.\That girl's head was...\Yes, she's a demi-human. A dullahan. response:	Really? She is?
context: but he doesn't seem like a bad kid.\Oh, Satou-sensei...\Hello!\Hello.\Hello.\That girl's head was...\Yes, she's a demi-human. A dullahan.\Really? She is? response:	Oh? Are you interested in demi-humans, Kurtz-kun?
context: Oh, Satou-sensei...\Hello!\Hello.\Hello.\That girl's head was...\Yes, she's a demi-human. A dullahan.\Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun? response:	No, not especially.
context: Hello!\Hello.\Hello.\That girl's head was...\Yes, she's a demi-human. A dullahan.\Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially. response:	He totally is.
context: Hello.\Hello.\That girl's head was...\Yes, she's a demi-human. A dullahan.\Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially.\He totally is. response:	Guess I should ask why he's really here.
context: Hello.\That girl's head was...\Yes, she's a demi-human. A dullahan.\Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially.\He totally is.\Guess I should ask why he's really here. response:	But will he actually tell me the truth?
context: That girl's head was...\Yes, she's a demi-human. A dullahan.\Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially.\He totally is.\Guess I should ask why he's really here.\But will he actually tell me the truth? response:	I should use my aphrodisiac effect to make him talk
context: Yes, she's a demi-human. A dullahan.\Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially.\He totally is.\Guess I should ask why he's really here.\But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk response:	No, no, no, no, no, no, no!
context: Really? She is?\Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially.\He totally is.\Guess I should ask why he's really here.\But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no! response:	Why am I suddenly thinking like that? Jeez!
context: Oh? Are you interested in demi-humans, Kurtz-kun?\No, not especially.\He totally is.\Guess I should ask why he's really here.\But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez! response:	Um, where are you going?
context: No, not especially.\He totally is.\Guess I should ask why he's really here.\But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez!\Um, where are you going? response:	I'll go and look for your parents.
context: He totally is.\Guess I should ask why he's really here.\But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez!\Um, where are you going?\I'll go and look for your parents. response:	That will probably be faster.
context: Guess I should ask why he's really here.\But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez!\Um, where are you going?\I'll go and look for your parents.\That will probably be faster. response:	Off, I go!
context: But will he actually tell me the truth?\I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez!\Um, where are you going?\I'll go and look for your parents.\That will probably be faster.\Off, I go! response:	Hey, wait
context: I should use my aphrodisiac effect to make him talk\No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez!\Um, where are you going?\I'll go and look for your parents.\That will probably be faster.\Off, I go!\Hey, wait response:	Oh, no
context: No, no, no, no, no, no, no!\Why am I suddenly thinking like that? Jeez!\Um, where are you going?\I'll go and look for your parents.\That will probably be faster.\Off, I go!\Hey, wait\Oh, no response:	The effect isn't working?
context: Why am I suddenly thinking like that? Jeez!\Um, where are you going?\I'll go and look for your parents.\That will probably be faster.\Off, I go!\Hey, wait\Oh, no\The effect isn't working? response:	That does sometimes happen with people who haven't much sexual desire.
context: Um, where are you going?\I'll go and look for your parents.\That will probably be faster.\Off, I go!\Hey, wait\Oh, no\The effect isn't working?\That does sometimes happen with people who haven't much sexual desire. response:	But he doesn't look that way.
context: I'll go and look for your parents.\That will probably be faster.\Off, I go!\Hey, wait\Oh, no\The effect isn't working?\That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way. response:	Maybe he's actually more...
context: That will probably be faster.\Off, I go!\Hey, wait\Oh, no\The effect isn't working?\That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way.\Maybe he's actually more... response:	Satou-sensei!
context: Off, I go!\Hey, wait\Oh, no\The effect isn't working?\That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way.\Maybe he's actually more...\Satou-sensei! response:	Takahashi-sensei?
context: Hey, wait\Oh, no\The effect isn't working?\That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way.\Maybe he's actually more...\Satou-sensei!\Takahashi-sensei? response:	Is something wrong?
context: Oh, no\The effect isn't working?\That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way.\Maybe he's actually more...\Satou-sensei!\Takahashi-sensei?\Is something wrong? response:	Yes, Hikari told me she saw someone suspicious in the school.
context: The effect isn't working?\That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way.\Maybe he's actually more...\Satou-sensei!\Takahashi-sensei?\Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school. response:	Huh? Someone suspicious?
context: That does sometimes happen with people who haven't much sexual desire.\But he doesn't look that way.\Maybe he's actually more...\Satou-sensei!\Takahashi-sensei?\Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious? response:	Hikari saw them,
context: But he doesn't look that way.\Maybe he's actually more...\Satou-sensei!\Takahashi-sensei?\Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious?\Hikari saw them, response:	so she may have exaggerated some of the details,
context: Maybe he's actually more...\Satou-sensei!\Takahashi-sensei?\Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious?\Hikari saw them,\so she may have exaggerated some of the details, response:	but I wanted warn to you.
context: Satou-sensei!\Takahashi-sensei?\Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious?\Hikari saw them,\so she may have exaggerated some of the details,\but I wanted warn to you. response:	Suspicious... Could it have been...
context: Takahashi-sensei?\Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious?\Hikari saw them,\so she may have exaggerated some of the details,\but I wanted warn to you.\Suspicious... Could it have been... response:	Sakie-sensei has such a serious look on her face.
context: Is something wrong?\Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious?\Hikari saw them,\so she may have exaggerated some of the details,\but I wanted warn to you.\Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face. response:	She must be scared of the suspicious person.
context: Yes, Hikari told me she saw someone suspicious in the school.\Huh? Someone suspicious?\Hikari saw them,\so she may have exaggerated some of the details,\but I wanted warn to you.\Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person. response:	She doesn't seem to fully trust me, either.
context: Huh? Someone suspicious?\Hikari saw them,\so she may have exaggerated some of the details,\but I wanted warn to you.\Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person.\She doesn't seem to fully trust me, either. response:	If I want to allay her suspicion of me...
context: Hikari saw them,\so she may have exaggerated some of the details,\but I wanted warn to you.\Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person.\She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me... response:	No, to thank her for her kindness to me...
context: so she may have exaggerated some of the details,\but I wanted warn to you.\Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person.\She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me...\No, to thank her for her kindness to me... response:	I'll do something about the suspicious person!
context: but I wanted warn to you.\Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person.\She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me...\No, to thank her for her kindness to me...\I'll do something about the suspicious person! response:	Who's this?
context: Suspicious... Could it have been...\Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person.\She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me...\No, to thank her for her kindness to me...\I'll do something about the suspicious person!\Who's this? response:	Let's go!
context: Sakie-sensei has such a serious look on her face.\She must be scared of the suspicious person.\She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me...\No, to thank her for her kindness to me...\I'll do something about the suspicious person!\Who's this?\Let's go! response:	Well... His name is Kurtz-kun.
context: She must be scared of the suspicious person.\She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me...\No, to thank her for her kindness to me...\I'll do something about the suspicious person!\Who's this?\Let's go!\Well... His name is Kurtz-kun. response:	I'll take that suspicious person, and give'em this and this!
context: She doesn't seem to fully trust me, either.\If I want to allay her suspicion of me...\No, to thank her for her kindness to me...\I'll do something about the suspicious person!\Who's this?\Let's go!\Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this! response:	He was separated from the people he came here with.
context: If I want to allay her suspicion of me...\No, to thank her for her kindness to me...\I'll do something about the suspicious person!\Who's this?\Let's go!\Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with. response:	You just wait, suspicious person!
context: No, to thank her for her kindness to me...\I'll do something about the suspicious person!\Who's this?\Let's go!\Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with.\You just wait, suspicious person! response:	I wonder if the suspicious person she mentioned was one of them.
context: I'll do something about the suspicious person!\Who's this?\Let's go!\Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with.\You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them. response:	I see.
context: Who's this?\Let's go!\Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with.\You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them.\I see. response:	Actually, she said the person was a huge man, who looked like a bear.
context: Let's go!\Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with.\You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them.\I see.\Actually, she said the person was a huge man, who looked like a bear. response:	Someone like you, I wonder.
context: Well... His name is Kurtz-kun.\I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with.\You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them.\I see.\Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder. response:	Huh?
context: I'll take that suspicious person, and give'em this and this!\He was separated from the people he came here with.\You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them.\I see.\Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder.\Huh? response:	Nah, I'm sure he was much bigger than
context: He was separated from the people he came here with.\You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them.\I see.\Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder.\Huh?\Nah, I'm sure he was much bigger than response:	Get back!
context: You just wait, suspicious person!\I wonder if the suspicious person she mentioned was one of them.\I see.\Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder.\Huh?\Nah, I'm sure he was much bigger than\Get back! response:	Ouch!
context: I wonder if the suspicious person she mentioned was one of them.\I see.\Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder.\Huh?\Nah, I'm sure he was much bigger than\Get back!\Ouch! response:	Ow, ow, ow!
context: I see.\Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder.\Huh?\Nah, I'm sure he was much bigger than\Get back!\Ouch!\Ow, ow, ow! response:	Are you all right, Sakie-sensei?
context: Actually, she said the person was a huge man, who looked like a bear.\Someone like you, I wonder.\Huh?\Nah, I'm sure he was much bigger than\Get back!\Ouch!\Ow, ow, ow!\Are you all right, Sakie-sensei? response:	Y-Yes, that was amazing, Kurtz-kun.
context: Someone like you, I wonder.\Huh?\Nah, I'm sure he was much bigger than\Get back!\Ouch!\Ow, ow, ow!\Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun. response:	Ow, ow, ow, ow, ow, ow...
context: Huh?\Nah, I'm sure he was much bigger than\Get back!\Ouch!\Ow, ow, ow!\Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow... response:	Ugaki-san?
context: Nah, I'm sure he was much bigger than\Get back!\Ouch!\Ow, ow, ow!\Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow...\Ugaki-san? response:	Ugaki-san?
context: Get back!\Ouch!\Ow, ow, ow!\Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow...\Ugaki-san?\Ugaki-san? response:	Ugaki-san?
context: Ouch!\Ow, ow, ow!\Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow...\Ugaki-san?\Ugaki-san?\Ugaki-san? response:	U-Uh...
context: Ow, ow, ow!\Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow...\Ugaki-san?\Ugaki-san?\Ugaki-san?\U-Uh... response:	Hey, Kurtz... I thought you'd disappeared.
context: Are you all right, Sakie-sensei?\Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow...\Ugaki-san?\Ugaki-san?\Ugaki-san?\U-Uh...\Hey, Kurtz... I thought you'd disappeared. response:	What brings you here now? Huh?
context: Y-Yes, that was amazing, Kurtz-kun.\Ow, ow, ow, ow, ow, ow...\Ugaki-san?\Ugaki-san?\Ugaki-san?\U-Uh...\Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh? response:	Senpai?
context: Ow, ow, ow, ow, ow, ow...\Ugaki-san?\Ugaki-san?\Ugaki-san?\U-Uh...\Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh?\Senpai? response:	Senpai?
context: Ugaki-san?\Ugaki-san?\Ugaki-san?\U-Uh...\Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh?\Senpai?\Senpai? response:	He's your kouhai?
context: Ugaki-san?\Ugaki-san?\U-Uh...\Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh?\Senpai?\Senpai?\He's your kouhai? response:	Oh, um... He's a police detective I know.
context: Ugaki-san?\U-Uh...\Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh?\Senpai?\Senpai?\He's your kouhai?\Oh, um... He's a police detective I know. response:	A police detective?
context: U-Uh...\Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh?\Senpai?\Senpai?\He's your kouhai?\Oh, um... He's a police detective I know.\A police detective? response:	Jeez, what if you'd been wrong?
context: Hey, Kurtz... I thought you'd disappeared.\What brings you here now? Huh?\Senpai?\Senpai?\He's your kouhai?\Oh, um... He's a police detective I know.\A police detective?\Jeez, what if you'd been wrong? response:	I'm sorry.
context: What brings you here now? Huh?\Senpai?\Senpai?\He's your kouhai?\Oh, um... He's a police detective I know.\A police detective?\Jeez, what if you'd been wrong?\I'm sorry. response:	You know each other?
context: Senpai?\Senpai?\He's your kouhai?\Oh, um... He's a police detective I know.\A police detective?\Jeez, what if you'd been wrong?\I'm sorry.\You know each other? response:	Yes, for quite some time, you might say...
context: Senpai?\He's your kouhai?\Oh, um... He's a police detective I know.\A police detective?\Jeez, what if you'd been wrong?\I'm sorry.\You know each other?\Yes, for quite some time, you might say... response:	And this boy I mean, Kurtz-kun...
context: He's your kouhai?\Oh, um... He's a police detective I know.\A police detective?\Jeez, what if you'd been wrong?\I'm sorry.\You know each other?\Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun... response:	Oh, he works for me.
context: Oh, um... He's a police detective I know.\A police detective?\Jeez, what if you'd been wrong?\I'm sorry.\You know each other?\Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun...\Oh, he works for me. response:	That's right.
context: A police detective?\Jeez, what if you'd been wrong?\I'm sorry.\You know each other?\Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun...\Oh, he works for me.\That's right. response:	Why are you at the school, Ugaki-san?
context: Jeez, what if you'd been wrong?\I'm sorry.\You know each other?\Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun...\Oh, he works for me.\That's right.\Why are you at the school, Ugaki-san? response:	Well, I guess you could say...
context: I'm sorry.\You know each other?\Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun...\Oh, he works for me.\That's right.\Why are you at the school, Ugaki-san?\Well, I guess you could say... response:	Um, did you check in?
context: You know each other?\Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun...\Oh, he works for me.\That's right.\Why are you at the school, Ugaki-san?\Well, I guess you could say...\Um, did you check in? response:	Check in?
context: Yes, for quite some time, you might say...\And this boy I mean, Kurtz-kun...\Oh, he works for me.\That's right.\Why are you at the school, Ugaki-san?\Well, I guess you could say...\Um, did you check in?\Check in? response:	To enter the school, the rule is that you have to register your name.
context: And this boy I mean, Kurtz-kun...\Oh, he works for me.\That's right.\Why are you at the school, Ugaki-san?\Well, I guess you could say...\Um, did you check in?\Check in?\To enter the school, the rule is that you have to register your name. response:	Oh, sorry about that.
context: Oh, he works for me.\That's right.\Why are you at the school, Ugaki-san?\Well, I guess you could say...\Um, did you check in?\Check in?\To enter the school, the rule is that you have to register your name.\Oh, sorry about that. response:	Okay, Kurtz, you go do that.
context: That's right.\Why are you at the school, Ugaki-san?\Well, I guess you could say...\Um, did you check in?\Check in?\To enter the school, the rule is that you have to register your name.\Oh, sorry about that.\Okay, Kurtz, you go do that. response:	Huh?
context: Why are you at the school, Ugaki-san?\Well, I guess you could say...\Um, did you check in?\Check in?\To enter the school, the rule is that you have to register your name.\Oh, sorry about that.\Okay, Kurtz, you go do that.\Huh? response:	Don't look so obviously peeved!
context: Well, I guess you could say...\Um, did you check in?\Check in?\To enter the school, the rule is that you have to register your name.\Oh, sorry about that.\Okay, Kurtz, you go do that.\Huh?\Don't look so obviously peeved! response:	He seems young for a police detective,
context: Um, did you check in?\Check in?\To enter the school, the rule is that you have to register your name.\Oh, sorry about that.\Okay, Kurtz, you go do that.\Huh?\Don't look so obviously peeved!\He seems young for a police detective, response:	and he looks foreign.
context: Check in?\To enter the school, the rule is that you have to register your name.\Oh, sorry about that.\Okay, Kurtz, you go do that.\Huh?\Don't look so obviously peeved!\He seems young for a police detective,\and he looks foreign. response:	That's true.
context: To enter the school, the rule is that you have to register your name.\Oh, sorry about that.\Okay, Kurtz, you go do that.\Huh?\Don't look so obviously peeved!\He seems young for a police detective,\and he looks foreign.\That's true. response:	Guess the police force is pretty broad-minded...
context: Oh, sorry about that.\Okay, Kurtz, you go do that.\Huh?\Don't look so obviously peeved!\He seems young for a police detective,\and he looks foreign.\That's true.\Guess the police force is pretty broad-minded... response:	If you'll buy me takoyaki on the way home, I'll do it.
context: Okay, Kurtz, you go do that.\Huh?\Don't look so obviously peeved!\He seems young for a police detective,\and he looks foreign.\That's true.\Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it. response:	You little...
context: Huh?\Don't look so obviously peeved!\He seems young for a police detective,\and he looks foreign.\That's true.\Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it.\You little... response:	So broad-minded.
context: Don't look so obviously peeved!\He seems young for a police detective,\and he looks foreign.\That's true.\Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it.\You little...\So broad-minded. response:	Indeed.
context: He seems young for a police detective,\and he looks foreign.\That's true.\Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it.\You little...\So broad-minded.\Indeed. response:	No outside shoes allowed in the school.
