context: It's been five days since I debuted as a professional hero. response:	There haven't been any serious incidents so far.
context: Crap. He's raising the bar again\I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way,\at the seminar they said if you're a Class C hero response:	and you have no hero activity for a week,
context: I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way,\at the seminar they said if you're a Class C hero\and you have no hero activity for a week, response:	your name will be removed from the Hero Registry.
context: I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way,\at the seminar they said if you're a Class C hero\and you have no hero activity for a week,\your name will be removed from the Hero Registry. response:	Will you be all right, Master?
context: Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way,\at the seminar they said if you're a Class C hero\and you have no hero activity for a week,\your name will be removed from the Hero Registry.\Will you be all right, Master? response:	They said that?!
context: Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way,\at the seminar they said if you're a Class C hero\and you have no hero activity for a week,\your name will be removed from the Hero Registry.\Will you be all right, Master?\They said that?! response:	Yes.
context: I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way,\at the seminar they said if you're a Class C hero\and you have no hero activity for a week,\your name will be removed from the Hero Registry.\Will you be all right, Master?\They said that?!\Yes. response:	But I was watching TV and there wasn't anything going on.
context: By the way,\at the seminar they said if you're a Class C hero\and you have no hero activity for a week,\your name will be removed from the Hero Registry.\Will you be all right, Master?\They said that?!\Yes.\But I was watching TV and there wasn't anything going on. response:	The news only reports major incidents,
context: at the seminar they said if you're a Class C hero\and you have no hero activity for a week,\your name will be removed from the Hero Registry.\Will you be all right, Master?\They said that?!\Yes.\But I was watching TV and there wasn't anything going on.\The news only reports major incidents, response:	like natural disasters, terrorism and dangerous monsters.
context: and you have no hero activity for a week,\your name will be removed from the Hero Registry.\Will you be all right, Master?\They said that?!\Yes.\But I was watching TV and there wasn't anything going on.\The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters. response:	You always fight the most powerful enemies,
context: your name will be removed from the Hero Registry.\Will you be all right, Master?\They said that?!\Yes.\But I was watching TV and there wasn't anything going on.\The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies, response:	so you probably do not know it,
context: Will you be all right, Master?\They said that?!\Yes.\But I was watching TV and there wasn't anything going on.\The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies,\so you probably do not know it, response:	but Class C heroes primarily take care of purse snatchers,
context: They said that?!\Yes.\But I was watching TV and there wasn't anything going on.\The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies,\so you probably do not know it,\but Class C heroes primarily take care of purse snatchers, response:	robberies and random attacks.
context: Yes.\But I was watching TV and there wasn't anything going on.\The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies,\so you probably do not know it,\but Class C heroes primarily take care of purse snatchers,\robberies and random attacks. response:	With Class C so full of heroes,
context: But I was watching TV and there wasn't anything going on.\The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies,\so you probably do not know it,\but Class C heroes primarily take care of purse snatchers,\robberies and random attacks.\With Class C so full of heroes, response:	to survive they must actively look for cases to resolve.
context: The news only reports major incidents,\like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies,\so you probably do not know it,\but Class C heroes primarily take care of purse snatchers,\robberies and random attacks.\With Class C so full of heroes,\to survive they must actively look for cases to resolve. response:	I hear many of them get discouraged and change careers.
context: like natural disasters, terrorism and dangerous monsters.\You always fight the most powerful enemies,\so you probably do not know it,\but Class C heroes primarily take care of purse snatchers,\robberies and random attacks.\With Class C so full of heroes,\to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers. response:	Like a salesman doing cold calls,
context: You always fight the most powerful enemies,\so you probably do not know it,\but Class C heroes primarily take care of purse snatchers,\robberies and random attacks.\With Class C so full of heroes,\to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers.\Like a salesman doing cold calls, response:	nothing will come your way without legwork.
context: so you probably do not know it,\but Class C heroes primarily take care of purse snatchers,\robberies and random attacks.\With Class C so full of heroes,\to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers.\Like a salesman doing cold calls,\nothing will come your way without legwork. response:	This is no time to be reading manga!
context: but Class C heroes primarily take care of purse snatchers,\robberies and random attacks.\With Class C so full of heroes,\to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers.\Like a salesman doing cold calls,\nothing will come your way without legwork.\This is no time to be reading manga! response:	So we're going?
context: robberies and random attacks.\With Class C so full of heroes,\to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers.\Like a salesman doing cold calls,\nothing will come your way without legwork.\This is no time to be reading manga!\So we're going? response:	You stay here!
context: With Class C so full of heroes,\to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers.\Like a salesman doing cold calls,\nothing will come your way without legwork.\This is no time to be reading manga!\So we're going?\You stay here! response:	If I'm with a Class S hero,
context: to survive they must actively look for cases to resolve.\I hear many of them get discouraged and change careers.\Like a salesman doing cold calls,\nothing will come your way without legwork.\This is no time to be reading manga!\So we're going?\You stay here!\If I'm with a Class S hero, response:	a Class C like me won't get any credit!
context: I hear many of them get discouraged and change careers.\Like a salesman doing cold calls,\nothing will come your way without legwork.\This is no time to be reading manga!\So we're going?\You stay here!\If I'm with a Class S hero,\a Class C like me won't get any credit! response:	But as your disciple
context: Like a salesman doing cold calls,\nothing will come your way without legwork.\This is no time to be reading manga!\So we're going?\You stay here!\If I'm with a Class S hero,\a Class C like me won't get any credit!\But as your disciple response:	Genos, from the beginning my intense desire to be a hero
context: nothing will come your way without legwork.\This is no time to be reading manga!\So we're going?\You stay here!\If I'm with a Class S hero,\a Class C like me won't get any credit!\But as your disciple\Genos, from the beginning my intense desire to be a hero response:	was what drove me to strength training.
context: This is no time to be reading manga!\So we're going?\You stay here!\If I'm with a Class S hero,\a Class C like me won't get any credit!\But as your disciple\Genos, from the beginning my intense desire to be a hero\was what drove me to strength training. response:	That's how I made it this far.
context: So we're going?\You stay here!\If I'm with a Class S hero,\a Class C like me won't get any credit!\But as your disciple\Genos, from the beginning my intense desire to be a hero\was what drove me to strength training.\That's how I made it this far. response:	For you, perhaps things will change if you aim higher as a hero.
context: You stay here!\If I'm with a Class S hero,\a Class C like me won't get any credit!\But as your disciple\Genos, from the beginning my intense desire to be a hero\was what drove me to strength training.\That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero. response:	Frankly speaking, you're a cyborg, so training your body won't do.
context: If I'm with a Class S hero,\a Class C like me won't get any credit!\But as your disciple\Genos, from the beginning my intense desire to be a hero\was what drove me to strength training.\That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do. response:	Instead, a change in mindset may lead you to greater strength.
context: a Class C like me won't get any credit!\But as your disciple\Genos, from the beginning my intense desire to be a hero\was what drove me to strength training.\That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength. response:	Damn, I'm just making all this crap up
context: But as your disciple\Genos, from the beginning my intense desire to be a hero\was what drove me to strength training.\That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up response:	Soin other words,
context: Genos, from the beginning my intense desire to be a hero\was what drove me to strength training.\That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up\Soin other words, response:	HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;
context: was what drove me to strength training.\That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up\Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique; response:	HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.
context: That's how I made it this far.\For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up\Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind. response:	HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,
context: For you, perhaps things will change if you aim higher as a hero.\Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up\Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that, response:	you must first fight your way through the professional hero industry.
context: Frankly speaking, you're a cyborg, so training your body won't do.\Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up\Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry. response:	Aim to break into the top ten of the Class S heroes.
context: Instead, a change in mindset may lead you to greater strength.\Damn, I'm just making all this crap up\Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes. response:	That will be your goal for now.
context: Damn, I'm just making all this crap up\Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes.\That will be your goal for now. response:	I understand. I will try!
context: Soin other words,\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes.\That will be your goal for now.\I understand. I will try! response:	He bought it Sweet.
context: HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's not about having raw power or technique;\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes.\That will be your goal for now.\I understand. I will try!\He bought it Sweet. response:	After that, I sped around town.
context: HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING it's about training your mind.\HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes.\That will be your goal for now.\I understand. I will try!\He bought it Sweet.\After that, I sped around town. response:	While frantically looking for bad guys
context: HOW I DEVELOPED INDOMITABLE WILL BY S CLASS HERO KING To do that,\you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes.\That will be your goal for now.\I understand. I will try!\He bought it Sweet.\After that, I sped around town.\While frantically looking for bad guys response:	I ran.
context: you must first fight your way through the professional hero industry.\Aim to break into the top ten of the Class S heroes.\That will be your goal for now.\I understand. I will try!\He bought it Sweet.\After that, I sped around town.\While frantically looking for bad guys\I ran. response:	And ran.
context: Aim to break into the top ten of the Class S heroes.\That will be your goal for now.\I understand. I will try!\He bought it Sweet.\After that, I sped around town.\While frantically looking for bad guys\I ran.\And ran. response:	And ran.
context: That will be your goal for now.\I understand. I will try!\He bought it Sweet.\After that, I sped around town.\While frantically looking for bad guys\I ran.\And ran.\And ran. response:	But!
context: I understand. I will try!\He bought it Sweet.\After that, I sped around town.\While frantically looking for bad guys\I ran.\And ran.\And ran.\But! response:	The city was quiet!
context: He bought it Sweet.\After that, I sped around town.\While frantically looking for bad guys\I ran.\And ran.\And ran.\But!\The city was quiet! response:	I give up
context: After that, I sped around town.\While frantically looking for bad guys\I ran.\And ran.\And ran.\But!\The city was quiet!\I give up response:	Just one more day left.
context: While frantically looking for bad guys\I ran.\And ran.\And ran.\But!\The city was quiet!\I give up\Just one more day left. response:	Guess I'll head home.
context: I ran.\And ran.\And ran.\But!\The city was quiet!\I give up\Just one more day left.\Guess I'll head home. response:	I'll leave tomorrow's problems to tomorrow's me.
context: And ran.\And ran.\But!\The city was quiet!\I give up\Just one more day left.\Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me. response:	THE FOLLOWING DAY
context: And ran.\But!\The city was quiet!\I give up\Just one more day left.\Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY response:	It's quiet today too!
context: But!\The city was quiet!\I give up\Just one more day left.\Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY\It's quiet today too! response:	There's nothing to do!
context: The city was quiet!\I give up\Just one more day left.\Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY\It's quiet today too!\There's nothing to do! response:	I'm gonna lose my registration!
context: I give up\Just one more day left.\Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY\It's quiet today too!\There's nothing to do!\I'm gonna lose my registration! response:	Hey! You're that guy
context: Just one more day left.\Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY\It's quiet today too!\There's nothing to do!\I'm gonna lose my registration!\Hey! You're that guy response:	What was it?
context: Guess I'll head home.\I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY\It's quiet today too!\There's nothing to do!\I'm gonna lose my registration!\Hey! You're that guy\What was it? response:	Seed-on-the-Ground?
context: I'll leave tomorrow's problems to tomorrow's me.\THE FOLLOWING DAY\It's quiet today too!\There's nothing to do!\I'm gonna lose my registration!\Hey! You're that guy\What was it?\Seed-on-the-Ground? response:	No wait, Lost-and-found?
context: THE FOLLOWING DAY\It's quiet today too!\There's nothing to do!\I'm gonna lose my registration!\Hey! You're that guy\What was it?\Seed-on-the-Ground?\No wait, Lost-and-found? response:	Jack-o'-lantern Panic!
context: It's quiet today too!\There's nothing to do!\I'm gonna lose my registration!\Hey! You're that guy\What was it?\Seed-on-the-Ground?\No wait, Lost-and-found?\Jack-o'-lantern Panic! response:	It's Speed-o'-Sound Sonic.
context: There's nothing to do!\I'm gonna lose my registration!\Hey! You're that guy\What was it?\Seed-on-the-Ground?\No wait, Lost-and-found?\Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic. response:	I've finally found you, Saitama.
context: I'm gonna lose my registration!\Hey! You're that guy\What was it?\Seed-on-the-Ground?\No wait, Lost-and-found?\Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic.\I've finally found you, Saitama. response:	Today is the day we
context: Hey! You're that guy\What was it?\Seed-on-the-Ground?\No wait, Lost-and-found?\Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic.\I've finally found you, Saitama.\Today is the day we response:	Hey sorry, I'm busy. See you'round..
context: What was it?\Seed-on-the-Ground?\No wait, Lost-and-found?\Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic.\I've finally found you, Saitama.\Today is the day we\Hey sorry, I'm busy. See you'round.. response:	Huh?
context: Seed-on-the-Ground?\No wait, Lost-and-found?\Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic.\I've finally found you, Saitama.\Today is the day we\Hey sorry, I'm busy. See you'round..\Huh? response:	You think
context: No wait, Lost-and-found?\Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic.\I've finally found you, Saitama.\Today is the day we\Hey sorry, I'm busy. See you'round..\Huh?\You think response:	you can run from me?!
context: Jack-o'-lantern Panic!\It's Speed-o'-Sound Sonic.\I've finally found you, Saitama.\Today is the day we\Hey sorry, I'm busy. See you'round..\Huh?\You think\you can run from me?! response:	What the? I didn't see what happened.
context: It's Speed-o'-Sound Sonic.\I've finally found you, Saitama.\Today is the day we\Hey sorry, I'm busy. See you'round..\Huh?\You think\you can run from me?!\What the? I didn't see what happened. response:	His face should have been sliced open, but the blade
context: I've finally found you, Saitama.\Today is the day we\Hey sorry, I'm busy. See you'round..\Huh?\You think\you can run from me?!\What the? I didn't see what happened.\His face should have been sliced open, but the blade response:	I told youI'm busy.
context: Today is the day we\Hey sorry, I'm busy. See you'round..\Huh?\You think\you can run from me?!\What the? I didn't see what happened.\His face should have been sliced open, but the blade\I told youI'm busy. response:	Plus I'm pissed, so anyone in my way
context: Hey sorry, I'm busy. See you'round..\Huh?\You think\you can run from me?!\What the? I didn't see what happened.\His face should have been sliced open, but the blade\I told youI'm busy.\Plus I'm pissed, so anyone in my way response:	gets punched.
context: Huh?\You think\you can run from me?!\What the? I didn't see what happened.\His face should have been sliced open, but the blade\I told youI'm busy.\Plus I'm pissed, so anyone in my way\gets punched. response:	That's him!
context: You think\you can run from me?!\What the? I didn't see what happened.\His face should have been sliced open, but the blade\I told youI'm busy.\Plus I'm pissed, so anyone in my way\gets punched.\That's him! response:	He's very, very dangerous.
context: you can run from me?!\What the? I didn't see what happened.\His face should have been sliced open, but the blade\I told youI'm busy.\Plus I'm pissed, so anyone in my way\gets punched.\That's him!\He's very, very dangerous. response:	Please stop him.
context: What the? I didn't see what happened.\His face should have been sliced open, but the blade\I told youI'm busy.\Plus I'm pissed, so anyone in my way\gets punched.\That's him!\He's very, very dangerous.\Please stop him. response:	So you're the offender, eh?!
context: His face should have been sliced open, but the blade\I told youI'm busy.\Plus I'm pissed, so anyone in my way\gets punched.\That's him!\He's very, very dangerous.\Please stop him.\So you're the offender, eh?! response:	Well, the hero Tank-Top Tiger is here now!
context: I told youI'm busy.\Plus I'm pissed, so anyone in my way\gets punched.\That's him!\He's very, very dangerous.\Please stop him.\So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now! response:	Hero?
context: Plus I'm pissed, so anyone in my way\gets punched.\That's him!\He's very, very dangerous.\Please stop him.\So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now!\Hero? response:	Sonic, they think you're some sort of criminal.
context: gets punched.\That's him!\He's very, very dangerous.\Please stop him.\So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now!\Hero?\Sonic, they think you're some sort of criminal. response:	Maybe getting tossed in a cell will cool off your hot
context: That's him!\He's very, very dangerous.\Please stop him.\So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now!\Hero?\Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot response:	She means you, cue ball.
context: He's very, very dangerous.\Please stop him.\So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now!\Hero?\Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot\She means you, cue ball. response:	Huh?
context: Please stop him.\So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now!\Hero?\Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot\She means you, cue ball.\Huh? response:	He's been running around town
context: So you're the offender, eh?!\Well, the hero Tank-Top Tiger is here now!\Hero?\Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot\She means you, cue ball.\Huh?\He's been running around town response:	with this scary look on his face since yesterday!
context: Well, the hero Tank-Top Tiger is here now!\Hero?\Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot\She means you, cue ball.\Huh?\He's been running around town\with this scary look on his face since yesterday! response:	But I'm a hero too!
context: Hero?\Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot\She means you, cue ball.\Huh?\He's been running around town\with this scary look on his face since yesterday!\But I'm a hero too! response:	I've never heard of a hero like you.
context: Sonic, they think you're some sort of criminal.\Maybe getting tossed in a cell will cool off your hot\She means you, cue ball.\Huh?\He's been running around town\with this scary look on his face since yesterday!\But I'm a hero too!\I've never heard of a hero like you. response:	So what? I just started!
context: Maybe getting tossed in a cell will cool off your hot\She means you, cue ball.\Huh?\He's been running around town\with this scary look on his face since yesterday!\But I'm a hero too!\I've never heard of a hero like you.\So what? I just started! response:	In any case, you're causing problems for everyone.
context: She means you, cue ball.\Huh?\He's been running around town\with this scary look on his face since yesterday!\But I'm a hero too!\I've never heard of a hero like you.\So what? I just started!\In any case, you're causing problems for everyone. response:	If you're really a hero, then don't go around frightening people.
context: Huh?\He's been running around town\with this scary look on his face since yesterday!\But I'm a hero too!\I've never heard of a hero like you.\So what? I just started!\In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people. response:	You're hurting all the other heroes' reputation.
context: He's been running around town\with this scary look on his face since yesterday!\But I'm a hero too!\I've never heard of a hero like you.\So what? I just started!\In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation. response:	Hey isn't that Tank-Top Tiger?
context: with this scary look on his face since yesterday!\But I'm a hero too!\I've never heard of a hero like you.\So what? I just started!\In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger? response:	Oh yeah, it is Tank-Top Tiger.
context: But I'm a hero too!\I've never heard of a hero like you.\So what? I just started!\In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger. response:	No way!
context: I've never heard of a hero like you.\So what? I just started!\In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger.\No way! response:	Awesome, he's the real deal!
context: So what? I just started!\In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger.\No way!\Awesome, he's the real deal! response:	Even Class C heroes get recognized if they're in the top 10.
context: In any case, you're causing problems for everyone.\If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger.\No way!\Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10. response:	So how aEbout it, new guy?
context: If you're really a hero, then don't go around frightening people.\You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger.\No way!\Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy? response:	Wanna go a little wild here and make me look good?
context: You're hurting all the other heroes' reputation.\Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger.\No way!\Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy?\Wanna go a little wild here and make me look good? response:	Exploding Shuriken.
context: Hey isn't that Tank-Top Tiger?\Oh yeah, it is Tank-Top Tiger.\No way!\Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy?\Wanna go a little wild here and make me look good?\Exploding Shuriken. response:	EXPLODING SHURIKEN
context: Oh yeah, it is Tank-Top Tiger.\No way!\Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy?\Wanna go a little wild here and make me look good?\Exploding Shuriken.\EXPLODING SHURIKEN response:	Tank-Top Tiger?!
context: No way!\Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy?\Wanna go a little wild here and make me look good?\Exploding Shuriken.\EXPLODING SHURIKEN\Tank-Top Tiger?! response:	Is this really happening?
context: Awesome, he's the real deal!\Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy?\Wanna go a little wild here and make me look good?\Exploding Shuriken.\EXPLODING SHURIKEN\Tank-Top Tiger?!\Is this really happening? response:	What are you doing, Sonic?
