context: Am I gonna die? response:	You did die...
context: These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands response:	Where are you? Who are you?
context: gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you? response:	Strain my eyes in the darkness
context: Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness response:	Can't see anything, don't know anything, but I'll still go
context: I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go response:	To the place of shining light in which you wait
context: We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait response:	Episode 1
context: Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 1 response:	Murder at the Ball
context: to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 1\Murder at the Ball response:	Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball
context: Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 1\Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball response:	I really don't feel like doing this...
context: Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 1\Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this... response:	Don't be like that!
context: Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 1\Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this...\Don't be like that! response:	Kaishou Rie
context: Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 1\Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this...\Don't be like that!\Kaishou Rie response:	Daughter of Kaishou Rinroku Lives at Home
context: To the place of shining light in which you wait\Episode 1\Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this...\Don't be like that!\Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home response:	It's a party thrown by the Kanou Group.
context: Episode 1\Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this...\Don't be like that!\Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group. response:	A 19th century ball gown is a pain, isn't it?
context: Murder at the Ball\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this...\Don't be like that!\Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it? response:	The skirt's like this...
context: Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) The Murder at the Ball\I really don't feel like doing this...\Don't be like that!\Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it?\The skirt's like this... response:	And the corset like this...
context: I really don't feel like doing this...\Don't be like that!\Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it?\The skirt's like this...\And the corset like this... response:	You've read up on it.
context: Don't be like that!\Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it?\The skirt's like this...\And the corset like this...\You've read up on it. response:	Kaishou Family Maid
context: Kaishou Rie\Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it?\The skirt's like this...\And the corset like this...\You've read up on it.\Kaishou Family Maid response:	Head maid
context: Daughter of Kaishou Rinroku Lives at Home\It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it?\The skirt's like this...\And the corset like this...\You've read up on it.\Kaishou Family Maid\Head maid response:	Yes, well...
context: It's a party thrown by the Kanou Group.\A 19th century ball gown is a pain, isn't it?\The skirt's like this...\And the corset like this...\You've read up on it.\Kaishou Family Maid\Head maid\Yes, well... response:	In manga...
context: A 19th century ball gown is a pain, isn't it?\The skirt's like this...\And the corset like this...\You've read up on it.\Kaishou Family Maid\Head maid\Yes, well...\In manga... response:	Well...
context: The skirt's like this...\And the corset like this...\You've read up on it.\Kaishou Family Maid\Head maid\Yes, well...\In manga...\Well... response:	Don't worry.
context: And the corset like this...\You've read up on it.\Kaishou Family Maid\Head maid\Yes, well...\In manga...\Well...\Don't worry. response:	President Kanou himself sent over this dress for his costume party.
context: You've read up on it.\Kaishou Family Maid\Head maid\Yes, well...\In manga...\Well...\Don't worry.\President Kanou himself sent over this dress for his costume party. response:	It's got a normal design, but...
context: Kaishou Family Maid\Head maid\Yes, well...\In manga...\Well...\Don't worry.\President Kanou himself sent over this dress for his costume party.\It's got a normal design, but... response:	Give a girl some warning...
context: Head maid\Yes, well...\In manga...\Well...\Don't worry.\President Kanou himself sent over this dress for his costume party.\It's got a normal design, but...\Give a girl some warning... response:	This way, you won't cause any embarrassment as the master's proxy.
context: Yes, well...\In manga...\Well...\Don't worry.\President Kanou himself sent over this dress for his costume party.\It's got a normal design, but...\Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy. response:	Proxy?!
context: In manga...\Well...\Don't worry.\President Kanou himself sent over this dress for his costume party.\It's got a normal design, but...\Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy.\Proxy?! response:	On TV, they say that President Kanou is gonna be arrested today or tomorrow!
context: Well...\Don't worry.\President Kanou himself sent over this dress for his costume party.\It's got a normal design, but...\Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy.\Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow! response:	They say nothing but groundless things on TV.
context: Don't worry.\President Kanou himself sent over this dress for his costume party.\It's got a normal design, but...\Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy.\Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV. response:	Anyway, there's no way I'm going to that party alone!
context: President Kanou himself sent over this dress for his costume party.\It's got a normal design, but...\Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy.\Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone! response:	That looks great on you, Rie.
context: It's got a normal design, but...\Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy.\Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie. response:	Father!
context: Give a girl some warning...\This way, you won't cause any embarrassment as the master's proxy.\Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie.\Father! response:	It must have been a real bear putting that on.
context: This way, you won't cause any embarrassment as the master's proxy.\Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie.\Father!\It must have been a real bear putting that on. response:	Kaishou Rinroku
context: Proxy?!\On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie.\Father!\It must have been a real bear putting that on.\Kaishou Rinroku response:	Chairman of Japan Justice Network System Holdings
context: On TV, they say that President Kanou is gonna be arrested today or tomorrow!\They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie.\Father!\It must have been a real bear putting that on.\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings response:	A long time ago, Japan constructed the Rokumeikan to hold balls
context: They say nothing but groundless things on TV.\Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie.\Father!\It must have been a real bear putting that on.\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls response:	with the aim of entering into fair treaties with foreign countries.
context: Anyway, there's no way I'm going to that party alone!\That looks great on you, Rie.\Father!\It must have been a real bear putting that on.\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries. response:	Kanou-san's idea is to go back to basics
context: That looks great on you, Rie.\Father!\It must have been a real bear putting that on.\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics response:	and look at international relations with fresh eyes.
context: Father!\It must have been a real bear putting that on.\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes. response:	I'm not going to make it, but give him my regards.
context: It must have been a real bear putting that on.\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards. response:	I can't believe...
context: Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards.\I can't believe... response:	Sir! Ms. Koyama from the Public Prosecutor's Office just...
context: Chairman of Japan Justice Network System Holdings\A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards.\I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just... response:	Koyama Izumi
context: A long time ago, Japan constructed the Rokumeikan to hold balls\with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards.\I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi response:	Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor
context: with the aim of entering into fair treaties with foreign countries.\Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards.\I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor response:	Izumi-san?
context: Kanou-san's idea is to go back to basics\and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards.\I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san? response:	Chairman Kaishou. I heard you weren't going to Kanou's party this evening...
context: and look at international relations with fresh eyes.\I'm not going to make it, but give him my regards.\I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening... response:	Excuse me!
context: I'm not going to make it, but give him my regards.\I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me! response:	I'm a friend of Kanou-san.
context: I can't believe...\Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me!\I'm a friend of Kanou-san. response:	Chairman, you're an outside adviser to us prosecutors.
context: Sir! Ms. Koyama from the Public Prosecutor's Office just...\Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me!\I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors. response:	Excuse me!
context: Koyama Izumi\Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me!\I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors.\Excuse me! response:	This is an opportunity for you to question Kanou directly...
context: Public Prosecutor's Office, Joint Coordinating Dept. Public Prosecutor\Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me!\I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors.\Excuse me!\This is an opportunity for you to question Kanou directly... response:	This evening, I'm acting as Kaishou Rinroku's proxy!
context: Izumi-san?\Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me!\I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors.\Excuse me!\This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy! response:	Such a contrarian...
context: Chairman Kaishou. I heard you weren't going to Kanou's party this evening...\Excuse me!\I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors.\Excuse me!\This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian... response:	This is reserved! Please take another elevator...
context: Excuse me!\I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors.\Excuse me!\This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian...\This is reserved! Please take another elevator... response:	Lucky day! It's almost empty.
context: I'm a friend of Kanou-san.\Chairman, you're an outside adviser to us prosecutors.\Excuse me!\This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian...\This is reserved! Please take another elevator...\Lucky day! It's almost empty. response:	I'll push it!
context: Chairman, you're an outside adviser to us prosecutors.\Excuse me!\This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian...\This is reserved! Please take another elevator...\Lucky day! It's almost empty.\I'll push it! response:	Go ahead. Top floor.
context: Excuse me!\This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian...\This is reserved! Please take another elevator...\Lucky day! It's almost empty.\I'll push it!\Go ahead. Top floor. response:	Okay!
context: This is an opportunity for you to question Kanou directly...\This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian...\This is reserved! Please take another elevator...\Lucky day! It's almost empty.\I'll push it!\Go ahead. Top floor.\Okay! response:	You two!
context: This evening, I'm acting as Kaishou Rinroku's proxy!\Such a contrarian...\This is reserved! Please take another elevator...\Lucky day! It's almost empty.\I'll push it!\Go ahead. Top floor.\Okay!\You two! response:	What business do you two have at this evening's party?!
context: Such a contrarian...\This is reserved! Please take another elevator...\Lucky day! It's almost empty.\I'll push it!\Go ahead. Top floor.\Okay!\You two!\What business do you two have at this evening's party?! response:	An invitation?
context: This is reserved! Please take another elevator...\Lucky day! It's almost empty.\I'll push it!\Go ahead. Top floor.\Okay!\You two!\What business do you two have at this evening's party?!\An invitation? response:	Yuuki Shinjurou
context: Lucky day! It's almost empty.\I'll push it!\Go ahead. Top floor.\Okay!\You two!\What business do you two have at this evening's party?!\An invitation?\Yuuki Shinjurou response:	Detective
context: I'll push it!\Go ahead. Top floor.\Okay!\You two!\What business do you two have at this evening's party?!\An invitation?\Yuuki Shinjurou\Detective response:	It seems that you weren't the ones who sent these to us, Prosecutor Koyama.
context: Go ahead. Top floor.\Okay!\You two!\What business do you two have at this evening's party?!\An invitation?\Yuuki Shinjurou\Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama. response:	Of course not! Why would I have...
context: Okay!\You two!\What business do you two have at this evening's party?!\An invitation?\Yuuki Shinjurou\Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have... response:	Excuse me, Ms. Koyama...
context: You two!\What business do you two have at this evening's party?!\An invitation?\Yuuki Shinjurou\Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have...\Excuse me, Ms. Koyama... response:	Who are they?
context: What business do you two have at this evening's party?!\An invitation?\Yuuki Shinjurou\Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have...\Excuse me, Ms. Koyama...\Who are they? response:	Never mind them.
context: An invitation?\Yuuki Shinjurou\Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have...\Excuse me, Ms. Koyama...\Who are they?\Never mind them. response:	If you go near them, your dress will get dirty.
context: Yuuki Shinjurou\Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have...\Excuse me, Ms. Koyama...\Who are they?\Never mind them.\If you go near them, your dress will get dirty. response:	I'm clean!
context: Detective\It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have...\Excuse me, Ms. Koyama...\Who are they?\Never mind them.\If you go near them, your dress will get dirty.\I'm clean! response:	In ga
context: It seems that you weren't the ones who sent these to us, Prosecutor Koyama.\Of course not! Why would I have...\Excuse me, Ms. Koyama...\Who are they?\Never mind them.\If you go near them, your dress will get dirty.\I'm clean!\In ga response:	Detective's Assistant
context: Of course not! Why would I have...\Excuse me, Ms. Koyama...\Who are they?\Never mind them.\If you go near them, your dress will get dirty.\I'm clean!\In ga\Detective's Assistant response:	Izumi-chan!
context: Excuse me, Ms. Koyama...\Who are they?\Never mind them.\If you go near them, your dress will get dirty.\I'm clean!\In ga\Detective's Assistant\Izumi-chan! response:	Keep your distance.
context: Who are they?\Never mind them.\If you go near them, your dress will get dirty.\I'm clean!\In ga\Detective's Assistant\Izumi-chan!\Keep your distance. response:	This is Chairman Kaishou's...
context: Never mind them.\If you go near them, your dress will get dirty.\I'm clean!\In ga\Detective's Assistant\Izumi-chan!\Keep your distance.\This is Chairman Kaishou's... response:	Rinroku's daughter?
context: If you go near them, your dress will get dirty.\I'm clean!\In ga\Detective's Assistant\Izumi-chan!\Keep your distance.\This is Chairman Kaishou's...\Rinroku's daughter? response:	How dare you address the Chairman by name!
context: I'm clean!\In ga\Detective's Assistant\Izumi-chan!\Keep your distance.\This is Chairman Kaishou's...\Rinroku's daughter?\How dare you address the Chairman by name! response:	What? These days, a shady net business success has a monopoly
context: In ga\Detective's Assistant\Izumi-chan!\Keep your distance.\This is Chairman Kaishou's...\Rinroku's daughter?\How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly response:	on money and technology, and is an adviser to every ministry and agency. So?
context: Detective's Assistant\Izumi-chan!\Keep your distance.\This is Chairman Kaishou's...\Rinroku's daughter?\How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So? response:	What, you're Napoleon too, Kanda-san?
context: Izumi-chan!\Keep your distance.\This is Chairman Kaishou's...\Rinroku's daughter?\How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san? response:	My wife told me this was the only way to go...
context: Keep your distance.\This is Chairman Kaishou's...\Rinroku's daughter?\How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go... response:	You international banks always prosper after a fire, as they say.
context: This is Chairman Kaishou's...\Rinroku's daughter?\How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say. response:	Ono Ittou
context: Rinroku's daughter?\How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say.\Ono Ittou response:	Member of the Liberal Citizens Party
context: How dare you address the Chairman by name!\What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say.\Ono Ittou\Member of the Liberal Citizens Party response:	Not at all.
context: What? These days, a shady net business success has a monopoly\on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say.\Ono Ittou\Member of the Liberal Citizens Party\Not at all. response:	Kanda Masahiko
context: on money and technology, and is an adviser to every ministry and agency. So?\What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say.\Ono Ittou\Member of the Liberal Citizens Party\Not at all.\Kanda Masahiko response:	Representative of the Japanese Branch of the International Currency Bank
context: What, you're Napoleon too, Kanda-san?\My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say.\Ono Ittou\Member of the Liberal Citizens Party\Not at all.\Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank response:	It's thanks to you, Member.
context: My wife told me this was the only way to go...\You international banks always prosper after a fire, as they say.\Ono Ittou\Member of the Liberal Citizens Party\Not at all.\Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member. response:	Anyway, I wonder how Kanou-san is dealing with that...
context: You international banks always prosper after a fire, as they say.\Ono Ittou\Member of the Liberal Citizens Party\Not at all.\Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that... response:	The prosecutor, and especially the newly-established Joint Coordinating Dept.,
context: Ono Ittou\Member of the Liberal Citizens Party\Not at all.\Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept., response:	intend to arrest him, no matter what.
context: Member of the Liberal Citizens Party\Not at all.\Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what. response:	If that happens, then we'll also...
context: Not at all.\Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what.\If that happens, then we'll also... response:	Kanou Nobuzane
context: Kanda Masahiko\Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what.\If that happens, then we'll also...\Kanou Nobuzane response:	President of Kanou Group General Trading Company
context: Representative of the Japanese Branch of the International Currency Bank\It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what.\If that happens, then we'll also...\Kanou Nobuzane\President of Kanou Group General Trading Company response:	Kanou Atsuko
context: It's thanks to you, Member.\Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what.\If that happens, then we'll also...\Kanou Nobuzane\President of Kanou Group General Trading Company\Kanou Atsuko response:	Nobuzane's Wife and Group's Corporate President
context: Anyway, I wonder how Kanou-san is dealing with that...\The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what.\If that happens, then we'll also...\Kanou Nobuzane\President of Kanou Group General Trading Company\Kanou Atsuko\Nobuzane's Wife and Group's Corporate President response:	Kanou-san! Thank you for the invitation...
context: The prosecutor, and especially the newly-established Joint Coordinating Dept.,\intend to arrest him, no matter what.\If that happens, then we'll also...\Kanou Nobuzane\President of Kanou Group General Trading Company\Kanou Atsuko\Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation... response:	Kanou-kun!
