context: Great, great, Issei! Push it, push it, Issei! One more time! response:	Karasuno Wakunan
context: Haikyu!!\Kyotani, get one more in!\Sorry! It's long!\Mattsun!\Episode 22: The Former Coward's Fight\All right!\Damn it. Sorry!\Aoba Johsai Karasuno response:	This isn't good.
context: Kyotani, get one more in!\Sorry! It's long!\Mattsun!\Episode 22: The Former Coward's Fight\All right!\Damn it. Sorry!\Aoba Johsai Karasuno\This isn't good. response:	Seijoh's 16 is finding his groove.
context: Sorry! It's long!\Mattsun!\Episode 22: The Former Coward's Fight\All right!\Damn it. Sorry!\Aoba Johsai Karasuno\This isn't good.\Seijoh's 16 is finding his groove. response:	Great, great, Issei! Push it, push it, Issei! One more time!
context: Mattsun!\Episode 22: The Former Coward's Fight\All right!\Damn it. Sorry!\Aoba Johsai Karasuno\This isn't good.\Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time! response:	They're ahead by five...
context: Episode 22: The Former Coward's Fight\All right!\Damn it. Sorry!\Aoba Johsai Karasuno\This isn't good.\Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five... response:	Karasuno, fight!
context: All right!\Damn it. Sorry!\Aoba Johsai Karasuno\This isn't good.\Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five...\Karasuno, fight! response:	Let's move back a little.
context: Damn it. Sorry!\Aoba Johsai Karasuno\This isn't good.\Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five...\Karasuno, fight!\Let's move back a little. response:	He's probably not going to drop it up front.
context: Aoba Johsai Karasuno\This isn't good.\Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five...\Karasuno, fight!\Let's move back a little.\He's probably not going to drop it up front. response:	Yeah.
context: This isn't good.\Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five...\Karasuno, fight!\Let's move back a little.\He's probably not going to drop it up front.\Yeah. response:	Right.
context: Seijoh's 16 is finding his groove.\Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five...\Karasuno, fight!\Let's move back a little.\He's probably not going to drop it up front.\Yeah.\Right. response:	Nice serve!
context: Great, great, Issei! Push it, push it, Issei! One more time!\They're ahead by five...\Karasuno, fight!\Let's move back a little.\He's probably not going to drop it up front.\Yeah.\Right.\Nice serve! response:	Bring it, bring it, bring it...
context: They're ahead by five...\Karasuno, fight!\Let's move back a little.\He's probably not going to drop it up front.\Yeah.\Right.\Nice serve!\Bring it, bring it, bring it... response:	Tanaka!
context: Karasuno, fight!\Let's move back a little.\He's probably not going to drop it up front.\Yeah.\Right.\Nice serve!\Bring it, bring it, bring it...\Tanaka! response:	Yeah!
context: Let's move back a little.\He's probably not going to drop it up front.\Yeah.\Right.\Nice serve!\Bring it, bring it, bring it...\Tanaka!\Yeah! response:	Yeah!
context: He's probably not going to drop it up front.\Yeah.\Right.\Nice serve!\Bring it, bring it, bring it...\Tanaka!\Yeah!\Yeah! response:	Aoba Johsai Karasuno
context: Yeah.\Right.\Nice serve!\Bring it, bring it, bring it...\Tanaka!\Yeah!\Yeah!\Aoba Johsai Karasuno response:	It's only just begun!
context: Right.\Nice serve!\Bring it, bring it, bring it...\Tanaka!\Yeah!\Yeah!\Aoba Johsai Karasuno\It's only just begun! response:	Shoyo, nice serve!
context: Nice serve!\Bring it, bring it, bring it...\Tanaka!\Yeah!\Yeah!\Aoba Johsai Karasuno\It's only just begun!\Shoyo, nice serve! response:	Hey! That guy...
context: Bring it, bring it, bring it...\Tanaka!\Yeah!\Yeah!\Aoba Johsai Karasuno\It's only just begun!\Shoyo, nice serve!\Hey! That guy... response:	Pardon me. We're switching players.
context: Tanaka!\Yeah!\Yeah!\Aoba Johsai Karasuno\It's only just begun!\Shoyo, nice serve!\Hey! That guy...\Pardon me. We're switching players. response:	Oh, there he is. The scaredy cat pinch server.
context: Yeah!\Yeah!\Aoba Johsai Karasuno\It's only just begun!\Shoyo, nice serve!\Hey! That guy...\Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server. response:	Right. The guy who was in the match with Wakunan, too.
context: Yeah!\Aoba Johsai Karasuno\It's only just begun!\Shoyo, nice serve!\Hey! That guy...\Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too. response:	Though I totally understand getting freaked out.
context: Aoba Johsai Karasuno\It's only just begun!\Shoyo, nice serve!\Hey! That guy...\Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out. response:	I would hate having to serve during a pinch.
context: It's only just begun!\Shoyo, nice serve!\Hey! That guy...\Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out.\I would hate having to serve during a pinch. response:	He's the one that got all stiff and failed miserably last time, right?
context: Shoyo, nice serve!\Hey! That guy...\Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out.\I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right? response:	Yeah...
context: Hey! That guy...\Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out.\I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right?\Yeah... response:	Yamaguchi, get 10 points!
context: Pardon me. We're switching players.\Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out.\I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right?\Yeah...\Yamaguchi, get 10 points! response:	That'd end the match...
context: Oh, there he is. The scaredy cat pinch server.\Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out.\I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right?\Yeah...\Yamaguchi, get 10 points!\That'd end the match... response:	I'd forgive you.
context: Right. The guy who was in the match with Wakunan, too.\Though I totally understand getting freaked out.\I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right?\Yeah...\Yamaguchi, get 10 points!\That'd end the match...\I'd forgive you. response:	G-Give it to'em good, Yamaguchi!
context: Though I totally understand getting freaked out.\I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right?\Yeah...\Yamaguchi, get 10 points!\That'd end the match...\I'd forgive you.\G-Give it to'em good, Yamaguchi! response:	R-Remain calm... Calm.
context: I would hate having to serve during a pinch.\He's the one that got all stiff and failed miserably last time, right?\Yeah...\Yamaguchi, get 10 points!\That'd end the match...\I'd forgive you.\G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm. response:	Nice serve!
context: He's the one that got all stiff and failed miserably last time, right?\Yeah...\Yamaguchi, get 10 points!\That'd end the match...\I'd forgive you.\G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm.\Nice serve! response:	Nice serve.
context: Yeah...\Yamaguchi, get 10 points!\That'd end the match...\I'd forgive you.\G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm.\Nice serve!\Nice serve. response:	Give it your all!
context: Yamaguchi, get 10 points!\That'd end the match...\I'd forgive you.\G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm.\Nice serve!\Nice serve.\Give it your all! response:	Right!
context: That'd end the match...\I'd forgive you.\G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm.\Nice serve!\Nice serve.\Give it your all!\Right! response:	One, and...
context: I'd forgive you.\G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm.\Nice serve!\Nice serve.\Give it your all!\Right!\One, and... response:	Yamaguchi, one more! Nice serve!
context: G-Give it to'em good, Yamaguchi!\R-Remain calm... Calm.\Nice serve!\Nice serve.\Give it your all!\Right!\One, and...\Yamaguchi, one more! Nice serve! response:	Eight seconds...
context: R-Remain calm... Calm.\Nice serve!\Nice serve.\Give it your all!\Right!\One, and...\Yamaguchi, one more! Nice serve!\Eight seconds... response:	You know there's time after the whistle blows for you to serve, right?
context: Nice serve!\Nice serve.\Give it your all!\Right!\One, and...\Yamaguchi, one more! Nice serve!\Eight seconds...\You know there's time after the whistle blows for you to serve, right? response:	Yes.
context: Nice serve.\Give it your all!\Right!\One, and...\Yamaguchi, one more! Nice serve!\Eight seconds...\You know there's time after the whistle blows for you to serve, right?\Yes. response:	You basically get freaked out by the whistle and then
context: Give it your all!\Right!\One, and...\Yamaguchi, one more! Nice serve!\Eight seconds...\You know there's time after the whistle blows for you to serve, right?\Yes.\You basically get freaked out by the whistle and then response:	do your serve toss almost every time.
context: Right!\One, and...\Yamaguchi, one more! Nice serve!\Eight seconds...\You know there's time after the whistle blows for you to serve, right?\Yes.\You basically get freaked out by the whistle and then\do your serve toss almost every time. response:	Don't be so panicky.
context: One, and...\Yamaguchi, one more! Nice serve!\Eight seconds...\You know there's time after the whistle blows for you to serve, right?\Yes.\You basically get freaked out by the whistle and then\do your serve toss almost every time.\Don't be so panicky. response:	Yes...
context: Yamaguchi, one more! Nice serve!\Eight seconds...\You know there's time after the whistle blows for you to serve, right?\Yes.\You basically get freaked out by the whistle and then\do your serve toss almost every time.\Don't be so panicky.\Yes... response:	Well, all that's left is this.
context: Eight seconds...\You know there's time after the whistle blows for you to serve, right?\Yes.\You basically get freaked out by the whistle and then\do your serve toss almost every time.\Don't be so panicky.\Yes...\Well, all that's left is this. response:	You went to Ukai's, right?
context: You know there's time after the whistle blows for you to serve, right?\Yes.\You basically get freaked out by the whistle and then\do your serve toss almost every time.\Don't be so panicky.\Yes...\Well, all that's left is this.\You went to Ukai's, right? response:	Yes.
context: Yes.\You basically get freaked out by the whistle and then\do your serve toss almost every time.\Don't be so panicky.\Yes...\Well, all that's left is this.\You went to Ukai's, right?\Yes. response:	On your own.
context: You basically get freaked out by the whistle and then\do your serve toss almost every time.\Don't be so panicky.\Yes...\Well, all that's left is this.\You went to Ukai's, right?\Yes.\On your own. response:	Then you're already a completely different player.
context: do your serve toss almost every time.\Don't be so panicky.\Yes...\Well, all that's left is this.\You went to Ukai's, right?\Yes.\On your own.\Then you're already a completely different player. response:	Go out there and do what you want to do.
context: Don't be so panicky.\Yes...\Well, all that's left is this.\You went to Ukai's, right?\Yes.\On your own.\Then you're already a completely different player.\Go out there and do what you want to do. response:	All of their players have the nerve to get serious...
context: Yes...\Well, all that's left is this.\You went to Ukai's, right?\Yes.\On your own.\Then you're already a completely different player.\Go out there and do what you want to do.\All of their players have the nerve to get serious... response:	Out!
context: Well, all that's left is this.\You went to Ukai's, right?\Yes.\On your own.\Then you're already a completely different player.\Go out there and do what you want to do.\All of their players have the nerve to get serious...\Out! response:	All right!
context: You went to Ukai's, right?\Yes.\On your own.\Then you're already a completely different player.\Go out there and do what you want to do.\All of their players have the nerve to get serious...\Out!\All right! response:	All...
context: Yes.\On your own.\Then you're already a completely different player.\Go out there and do what you want to do.\All of their players have the nerve to get serious...\Out!\All right!\All... response:	He did it...
context: On your own.\Then you're already a completely different player.\Go out there and do what you want to do.\All of their players have the nerve to get serious...\Out!\All right!\All...\He did it... response:	Tadashi!
context: Then you're already a completely different player.\Go out there and do what you want to do.\All of their players have the nerve to get serious...\Out!\All right!\All...\He did it...\Tadashi! response:	Nice serve!
context: Go out there and do what you want to do.\All of their players have the nerve to get serious...\Out!\All right!\All...\He did it...\Tadashi!\Nice serve! response:	It got in!
context: All of their players have the nerve to get serious...\Out!\All right!\All...\He did it...\Tadashi!\Nice serve!\It got in! response:	We're...
context: Out!\All right!\All...\He did it...\Tadashi!\Nice serve!\It got in!\We're... response:	Wait, what? Isn't that a bit overboard?
context: All right!\All...\He did it...\Tadashi!\Nice serve!\It got in!\We're...\Wait, what? Isn't that a bit overboard? response:	Yamaguchi, nice serve!
context: All...\He did it...\Tadashi!\Nice serve!\It got in!\We're...\Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve! response:	That's just one point.
context: He did it...\Tadashi!\Nice serve!\It got in!\We're...\Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve!\That's just one point. response:	That's it! Get one more!
context: Tadashi!\Nice serve!\It got in!\We're...\Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve!\That's just one point.\That's it! Get one more! response:	A no-touch ace!
context: Nice serve!\It got in!\We're...\Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve!\That's just one point.\That's it! Get one more!\A no-touch ace! response:	Go and catch up!
context: It got in!\We're...\Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve!\That's just one point.\That's it! Get one more!\A no-touch ace!\Go and catch up! response:	I'm sorry.
context: We're...\Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve!\That's just one point.\That's it! Get one more!\A no-touch ace!\Go and catch up!\I'm sorry. response:	Don't mind! Don't worry about it.
context: Wait, what? Isn't that a bit overboard?\Yamaguchi, nice serve!\That's just one point.\That's it! Get one more!\A no-touch ace!\Go and catch up!\I'm sorry.\Don't mind! Don't worry about it. response:	It changed a lot... Even I thought it was out.
context: Yamaguchi, nice serve!\That's just one point.\That's it! Get one more!\A no-touch ace!\Go and catch up!\I'm sorry.\Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out. response:	This is why I hate jump floats.
context: That's just one point.\That's it! Get one more!\A no-touch ace!\Go and catch up!\I'm sorry.\Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out.\This is why I hate jump floats. response:	That was awesome, Yamaguchi! Why, you little...
context: That's it! Get one more!\A no-touch ace!\Go and catch up!\I'm sorry.\Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out.\This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little... response:	R-Right...
context: A no-touch ace!\Go and catch up!\I'm sorry.\Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out.\This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little...\R-Right... response:	It's not that surprising.
context: Go and catch up!\I'm sorry.\Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out.\This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little...\R-Right...\It's not that surprising. response:	There you go again...
context: I'm sorry.\Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out.\This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little...\R-Right...\It's not that surprising.\There you go again... response:	In these five months,
context: Don't mind! Don't worry about it.\It changed a lot... Even I thought it was out.\This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little...\R-Right...\It's not that surprising.\There you go again...\In these five months, response:	he practiced serving more than anyone else.
context: It changed a lot... Even I thought it was out.\This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little...\R-Right...\It's not that surprising.\There you go again...\In these five months,\he practiced serving more than anyone else. response:	Why you little...
context: This is why I hate jump floats.\That was awesome, Yamaguchi! Why, you little...\R-Right...\It's not that surprising.\There you go again...\In these five months,\he practiced serving more than anyone else.\Why you little... response:	Aoba Johsai Karasuno
context: That was awesome, Yamaguchi! Why, you little...\R-Right...\It's not that surprising.\There you go again...\In these five months,\he practiced serving more than anyone else.\Why you little...\Aoba Johsai Karasuno response:	Yamaguchi, one more!
context: R-Right...\It's not that surprising.\There you go again...\In these five months,\he practiced serving more than anyone else.\Why you little...\Aoba Johsai Karasuno\Yamaguchi, one more! response:	Give it all you've got!
context: It's not that surprising.\There you go again...\In these five months,\he practiced serving more than anyone else.\Why you little...\Aoba Johsai Karasuno\Yamaguchi, one more!\Give it all you've got! response:	Give it all you've got, Yamaguchi!
context: There you go again...\In these five months,\he practiced serving more than anyone else.\Why you little...\Aoba Johsai Karasuno\Yamaguchi, one more!\Give it all you've got!\Give it all you've got, Yamaguchi! response:	He'll be fine.
context: In these five months,\he practiced serving more than anyone else.\Why you little...\Aoba Johsai Karasuno\Yamaguchi, one more!\Give it all you've got!\Give it all you've got, Yamaguchi!\He'll be fine. response:	You always feel worse after you run away.
context: he practiced serving more than anyone else.\Why you little...\Aoba Johsai Karasuno\Yamaguchi, one more!\Give it all you've got!\Give it all you've got, Yamaguchi!\He'll be fine.\You always feel worse after you run away. response:	I'm pretty sure Yamaguchi feels that way, too.
context: Why you little...\Aoba Johsai Karasuno\Yamaguchi, one more!\Give it all you've got!\Give it all you've got, Yamaguchi!\He'll be fine.\You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too. response:	A shot to break through the skin...
context: Aoba Johsai Karasuno\Yamaguchi, one more!\Give it all you've got!\Give it all you've got, Yamaguchi!\He'll be fine.\You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin... response:	Yeah, and...
context: Yamaguchi, one more!\Give it all you've got!\Give it all you've got, Yamaguchi!\He'll be fine.\You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin...\Yeah, and... response:	The start of our counterattack.
context: Give it all you've got!\Give it all you've got, Yamaguchi!\He'll be fine.\You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin...\Yeah, and...\The start of our counterattack. response:	Cut it off!
context: Give it all you've got, Yamaguchi!\He'll be fine.\You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin...\Yeah, and...\The start of our counterattack.\Cut it off! response:	Yeah.
context: He'll be fine.\You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin...\Yeah, and...\The start of our counterattack.\Cut it off!\Yeah. response:	In volleyball, where it's important to connect with your teammates,
context: You always feel worse after you run away.\I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin...\Yeah, and...\The start of our counterattack.\Cut it off!\Yeah.\In volleyball, where it's important to connect with your teammates, response:	the serve is the only solitary play.
context: I'm pretty sure Yamaguchi feels that way, too.\A shot to break through the skin...\Yeah, and...\The start of our counterattack.\Cut it off!\Yeah.\In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play. response:	Yeah...
context: A shot to break through the skin...\Yeah, and...\The start of our counterattack.\Cut it off!\Yeah.\In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play.\Yeah... response:	It can also be said that it's the only play where you can score on your own.
context: Yeah, and...\The start of our counterattack.\Cut it off!\Yeah.\In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play.\Yeah...\It can also be said that it's the only play where you can score on your own. response:	As volleyball evolved,
context: The start of our counterattack.\Cut it off!\Yeah.\In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play.\Yeah...\It can also be said that it's the only play where you can score on your own.\As volleyball evolved, response:	the serve's power and motive has evolved more than anything else.
context: Cut it off!\Yeah.\In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play.\Yeah...\It can also be said that it's the only play where you can score on your own.\As volleyball evolved,\the serve's power and motive has evolved more than anything else. response:	And in modern volleyball, the serve is a powerful attack
context: Yeah.\In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play.\Yeah...\It can also be said that it's the only play where you can score on your own.\As volleyball evolved,\the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack response:	that won't get caught by the wall known as the block.
context: In volleyball, where it's important to connect with your teammates,\the serve is the only solitary play.\Yeah...\It can also be said that it's the only play where you can score on your own.\As volleyball evolved,\the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block. response:	Kyotani!
context: the serve is the only solitary play.\Yeah...\It can also be said that it's the only play where you can score on your own.\As volleyball evolved,\the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block.\Kyotani! response:	Damn it!
context: Yeah...\It can also be said that it's the only play where you can score on your own.\As volleyball evolved,\the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block.\Kyotani!\Damn it! response:	A s-second service ace!
context: It can also be said that it's the only play where you can score on your own.\As volleyball evolved,\the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block.\Kyotani!\Damn it!\A s-second service ace! response:	Yes!
context: As volleyball evolved,\the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block.\Kyotani!\Damn it!\A s-second service ace!\Yes! response:	All right!
context: the serve's power and motive has evolved more than anything else.\And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block.\Kyotani!\Damn it!\A s-second service ace!\Yes!\All right! response:	Yamaguchi!
context: And in modern volleyball, the serve is a powerful attack\that won't get caught by the wall known as the block.\Kyotani!\Damn it!\A s-second service ace!\Yes!\All right!\Yamaguchi! response:	Nice serve.
context: that won't get caught by the wall known as the block.\Kyotani!\Damn it!\A s-second service ace!\Yes!\All right!\Yamaguchi!\Nice serve. response:	What the heck is that serve? That was awesome.
context: Kyotani!\Damn it!\A s-second service ace!\Yes!\All right!\Yamaguchi!\Nice serve.\What the heck is that serve? That was awesome. response:	Yamaguchi-kun!
context: Damn it!\A s-second service ace!\Yes!\All right!\Yamaguchi!\Nice serve.\What the heck is that serve? That was awesome.\Yamaguchi-kun! response:	Yamaguchi!
context: A s-second service ace!\Yes!\All right!\Yamaguchi!\Nice serve.\What the heck is that serve? That was awesome.\Yamaguchi-kun!\Yamaguchi! response:	One more!
context: Yes!\All right!\Yamaguchi!\Nice serve.\What the heck is that serve? That was awesome.\Yamaguchi-kun!\Yamaguchi!\One more! response:	Bring it!
