context: I'm going to return to the hometown we lost. response:	That's all I care about now.
context: And somebody else, too!\He ate'em!\Th-This can't be...\Bertholdt...\All soldiers, prepare to attack!\We're taking down the Colossal Titan!\It's a threat to all of humanity!\Swarm the huge bastard! response:	Just like the reports said, he's slow!
context: He ate'em!\Th-This can't be...\Bertholdt...\All soldiers, prepare to attack!\We're taking down the Colossal Titan!\It's a threat to all of humanity!\Swarm the huge bastard!\Just like the reports said, he's slow! response:	It might be big, but that's it!
context: Th-This can't be...\Bertholdt...\All soldiers, prepare to attack!\We're taking down the Colossal Titan!\It's a threat to all of humanity!\Swarm the huge bastard!\Just like the reports said, he's slow!\It might be big, but that's it! response:	Compared to the Titans we normally fight, this'll be easy!
context: Bertholdt...\All soldiers, prepare to attack!\We're taking down the Colossal Titan!\It's a threat to all of humanity!\Swarm the huge bastard!\Just like the reports said, he's slow!\It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy! response:	We've got this!
context: All soldiers, prepare to attack!\We're taking down the Colossal Titan!\It's a threat to all of humanity!\Swarm the huge bastard!\Just like the reports said, he's slow!\It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy!\We've got this! response:	Now's our chance! Slice up his neck!
context: We're taking down the Colossal Titan!\It's a threat to all of humanity!\Swarm the huge bastard!\Just like the reports said, he's slow!\It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy!\We've got this!\Now's our chance! Slice up his neck! response:	Too hot!
context: It's a threat to all of humanity!\Swarm the huge bastard!\Just like the reports said, he's slow!\It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy!\We've got this!\Now's our chance! Slice up his neck!\Too hot! response:	Everyone, fall back!
context: Swarm the huge bastard!\Just like the reports said, he's slow!\It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy!\We've got this!\Now's our chance! Slice up his neck!\Too hot!\Everyone, fall back! response:	My hand!
context: Just like the reports said, he's slow!\It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy!\We've got this!\Now's our chance! Slice up his neck!\Too hot!\Everyone, fall back!\My hand! response:	Water! Bring water!
context: It might be big, but that's it!\Compared to the Titans we normally fight, this'll be easy!\We've got this!\Now's our chance! Slice up his neck!\Too hot!\Everyone, fall back!\My hand!\Water! Bring water! response:	He's trying to disappear again?
context: Compared to the Titans we normally fight, this'll be easy!\We've got this!\Now's our chance! Slice up his neck!\Too hot!\Everyone, fall back!\My hand!\Water! Bring water!\He's trying to disappear again? response:	No, something is different.
context: We've got this!\Now's our chance! Slice up his neck!\Too hot!\Everyone, fall back!\My hand!\Water! Bring water!\He's trying to disappear again?\No, something is different. response:	The last time he vanished instantly,
context: Now's our chance! Slice up his neck!\Too hot!\Everyone, fall back!\My hand!\Water! Bring water!\He's trying to disappear again?\No, something is different.\The last time he vanished instantly, response:	but now, he's maintaining his form and emitting heat like a furnace.
context: Too hot!\Everyone, fall back!\My hand!\Water! Bring water!\He's trying to disappear again?\No, something is different.\The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace. response:	If he keeps protecting himself with steam...
context: Everyone, fall back!\My hand!\Water! Bring water!\He's trying to disappear again?\No, something is different.\The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam... response:	We're unable to attack him with ODM gear!
context: My hand!\Water! Bring water!\He's trying to disappear again?\No, something is different.\The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam...\We're unable to attack him with ODM gear! response:	Wh-What do we do?!
context: Water! Bring water!\He's trying to disappear again?\No, something is different.\The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam...\We're unable to attack him with ODM gear!\Wh-What do we do?! response:	We can't do anything. We wait.
context: He's trying to disappear again?\No, something is different.\The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam...\We're unable to attack him with ODM gear!\Wh-What do we do?!\We can't do anything. We wait. response:	Squads three and four, take position behind the target.
context: No, something is different.\The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam...\We're unable to attack him with ODM gear!\Wh-What do we do?!\We can't do anything. We wait.\Squads three and four, take position behind the target. response:	Rashad has command.
context: The last time he vanished instantly,\but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam...\We're unable to attack him with ODM gear!\Wh-What do we do?!\We can't do anything. We wait.\Squads three and four, take position behind the target.\Rashad has command. response:	Got it!
context: but now, he's maintaining his form and emitting heat like a furnace.\If he keeps protecting himself with steam...\We're unable to attack him with ODM gear!\Wh-What do we do?!\We can't do anything. We wait.\Squads three and four, take position behind the target.\Rashad has command.\Got it! response:	Squad two will wait here.
context: If he keeps protecting himself with steam...\We're unable to attack him with ODM gear!\Wh-What do we do?!\We can't do anything. We wait.\Squads three and four, take position behind the target.\Rashad has command.\Got it!\Squad two will wait here. response:	Lauda is in command.
context: We're unable to attack him with ODM gear!\Wh-What do we do?!\We can't do anything. We wait.\Squads three and four, take position behind the target.\Rashad has command.\Got it!\Squad two will wait here.\Lauda is in command. response:	Understood!
context: Wh-What do we do?!\We can't do anything. We wait.\Squads three and four, take position behind the target.\Rashad has command.\Got it!\Squad two will wait here.\Lauda is in command.\Understood! response:	It's yet to be seen how long he can keep his body burning, but...
context: We can't do anything. We wait.\Squads three and four, take position behind the target.\Rashad has command.\Got it!\Squad two will wait here.\Lauda is in command.\Understood!\It's yet to be seen how long he can keep his body burning, but... response:	We wait for that moment to attack.
context: Squads three and four, take position behind the target.\Rashad has command.\Got it!\Squad two will wait here.\Lauda is in command.\Understood!\It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack. response:	Listen up.
context: Rashad has command.\Got it!\Squad two will wait here.\Lauda is in command.\Understood!\It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack.\Listen up. response:	Forget about capturing them.
context: Got it!\Squad two will wait here.\Lauda is in command.\Understood!\It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack.\Listen up.\Forget about capturing them. response:	Kill'em...
context: Squad two will wait here.\Lauda is in command.\Understood!\It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack.\Listen up.\Forget about capturing them.\Kill'em... response:	Armin... and squad one follow me!
context: Lauda is in command.\Understood!\It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack.\Listen up.\Forget about capturing them.\Kill'em...\Armin... and squad one follow me! response:	We've got a date with the Armored Titan!
context: Understood!\It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack.\Listen up.\Forget about capturing them.\Kill'em...\Armin... and squad one follow me!\We've got a date with the Armored Titan! response:	Hot!
context: It's yet to be seen how long he can keep his body burning, but...\We wait for that moment to attack.\Listen up.\Forget about capturing them.\Kill'em...\Armin... and squad one follow me!\We've got a date with the Armored Titan!\Hot! response:	Christa! Conny! Get further back!
context: We wait for that moment to attack.\Listen up.\Forget about capturing them.\Kill'em...\Armin... and squad one follow me!\We've got a date with the Armored Titan!\Hot!\Christa! Conny! Get further back! response:	And take care of those two injured soldiers.
context: Listen up.\Forget about capturing them.\Kill'em...\Armin... and squad one follow me!\We've got a date with the Armored Titan!\Hot!\Christa! Conny! Get further back!\And take care of those two injured soldiers. response:	U-Um!
context: Forget about capturing them.\Kill'em...\Armin... and squad one follow me!\We've got a date with the Armored Titan!\Hot!\Christa! Conny! Get further back!\And take care of those two injured soldiers.\U-Um! response:	Huh?
context: Kill'em...\Armin... and squad one follow me!\We've got a date with the Armored Titan!\Hot!\Christa! Conny! Get further back!\And take care of those two injured soldiers.\U-Um!\Huh? response:	Ymir can't possibly be dead yet.
context: Armin... and squad one follow me!\We've got a date with the Armored Titan!\Hot!\Christa! Conny! Get further back!\And take care of those two injured soldiers.\U-Um!\Huh?\Ymir can't possibly be dead yet. response:	Please... Rescue her!
context: We've got a date with the Armored Titan!\Hot!\Christa! Conny! Get further back!\And take care of those two injured soldiers.\U-Um!\Huh?\Ymir can't possibly be dead yet.\Please... Rescue her! response:	Right.
context: Hot!\Christa! Conny! Get further back!\And take care of those two injured soldiers.\U-Um!\Huh?\Ymir can't possibly be dead yet.\Please... Rescue her!\Right. response:	Where are Reiner and Bertholdt?!
context: Christa! Conny! Get further back!\And take care of those two injured soldiers.\U-Um!\Huh?\Ymir can't possibly be dead yet.\Please... Rescue her!\Right.\Where are Reiner and Bertholdt?! response:	They don't have their ODM gear either!
context: And take care of those two injured soldiers.\U-Um!\Huh?\Ymir can't possibly be dead yet.\Please... Rescue her!\Right.\Where are Reiner and Bertholdt?!\They don't have their ODM gear either! response:	Please, go find and help those two!
context: U-Um!\Huh?\Ymir can't possibly be dead yet.\Please... Rescue her!\Right.\Where are Reiner and Bertholdt?!\They don't have their ODM gear either!\Please, go find and help those two! response:	You shit...
context: Huh?\Ymir can't possibly be dead yet.\Please... Rescue her!\Right.\Where are Reiner and Bertholdt?!\They don't have their ODM gear either!\Please, go find and help those two!\You shit... response:	You big piece of shit.
context: Ymir can't possibly be dead yet.\Please... Rescue her!\Right.\Where are Reiner and Bertholdt?!\They don't have their ODM gear either!\Please, go find and help those two!\You shit...\You big piece of shit. response:	And here you wouldn't shut up about a soldier's duty...
context: Please... Rescue her!\Right.\Where are Reiner and Bertholdt?!\They don't have their ODM gear either!\Please, go find and help those two!\You shit...\You big piece of shit.\And here you wouldn't shut up about a soldier's duty... response:	During close combat training, were you always holding back on me?
context: Right.\Where are Reiner and Bertholdt?!\They don't have their ODM gear either!\Please, go find and help those two!\You shit...\You big piece of shit.\And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me? response:	You're so strong, it's ridiculous.
context: Where are Reiner and Bertholdt?!\They don't have their ODM gear either!\Please, go find and help those two!\You shit...\You big piece of shit.\And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me?\You're so strong, it's ridiculous. response:	I can't even move an inch of my body.
context: They don't have their ODM gear either!\Please, go find and help those two!\You shit...\You big piece of shit.\And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me?\You're so strong, it's ridiculous.\I can't even move an inch of my body. response:	I always thought you were a stand-up guy.
context: Please, go find and help those two!\You shit...\You big piece of shit.\And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me?\You're so strong, it's ridiculous.\I can't even move an inch of my body.\I always thought you were a stand-up guy. response:	Someone who remained calm, regardless of the situation...
context: You shit...\You big piece of shit.\And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me?\You're so strong, it's ridiculous.\I can't even move an inch of my body.\I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation... response:	A guy who put your comrades ahead of yourself...
context: You big piece of shit.\And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me?\You're so strong, it's ridiculous.\I can't even move an inch of my body.\I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself... response:	And I...
context: And here you wouldn't shut up about a soldier's duty...\During close combat training, were you always holding back on me?\You're so strong, it's ridiculous.\I can't even move an inch of my body.\I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself...\And I... response:	To think at one time I wished... to be as strong as you someday.
context: During close combat training, were you always holding back on me?\You're so strong, it's ridiculous.\I can't even move an inch of my body.\I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself...\And I...\To think at one time I wished... to be as strong as you someday. response:	That did nothing!
context: You're so strong, it's ridiculous.\I can't even move an inch of my body.\I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself...\And I...\To think at one time I wished... to be as strong as you someday.\That did nothing! response:	Eren's attack didn't...
context: I can't even move an inch of my body.\I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself...\And I...\To think at one time I wished... to be as strong as you someday.\That did nothing!\Eren's attack didn't... response:	And my blades don't work either?!
context: I always thought you were a stand-up guy.\Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself...\And I...\To think at one time I wished... to be as strong as you someday.\That did nothing!\Eren's attack didn't...\And my blades don't work either?! response:	What's worse, unlike Annie, his whole body is hard!
context: Someone who remained calm, regardless of the situation...\A guy who put your comrades ahead of yourself...\And I...\To think at one time I wished... to be as strong as you someday.\That did nothing!\Eren's attack didn't...\And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard! response:	Eren!
context: A guy who put your comrades ahead of yourself...\And I...\To think at one time I wished... to be as strong as you someday.\That did nothing!\Eren's attack didn't...\And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard!\Eren! response:	Hey, Reiner...
context: And I...\To think at one time I wished... to be as strong as you someday.\That did nothing!\Eren's attack didn't...\And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard!\Eren!\Hey, Reiner... response:	I don't know what kind of face you're making right now, but...
context: To think at one time I wished... to be as strong as you someday.\That did nothing!\Eren's attack didn't...\And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard!\Eren!\Hey, Reiner...\I don't know what kind of face you're making right now, but... response:	You guys... You really are the worst pieces of shit.
context: That did nothing!\Eren's attack didn't...\And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard!\Eren!\Hey, Reiner...\I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit. response:	I bet in the history of mankind, nobody's done anything as terrible as you.
context: Eren's attack didn't...\And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard!\Eren!\Hey, Reiner...\I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you. response:	I've gotta erase you.
context: And my blades don't work either?!\What's worse, unlike Annie, his whole body is hard!\Eren!\Hey, Reiner...\I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you. response:	You shouldn't be allowed to exist anymore.
context: What's worse, unlike Annie, his whole body is hard!\Eren!\Hey, Reiner...\I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you.\You shouldn't be allowed to exist anymore. response:	What the hell are you thinking?
context: Eren!\Hey, Reiner...\I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you.\You shouldn't be allowed to exist anymore.\What the hell are you thinking? response:	I've never felt so revolted before.
context: Hey, Reiner...\I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you.\You shouldn't be allowed to exist anymore.\What the hell are you thinking?\I've never felt so revolted before. response:	Just remembering you and your self-righteous face is making me sick.
context: I don't know what kind of face you're making right now, but...\You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you.\You shouldn't be allowed to exist anymore.\What the hell are you thinking?\I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick. response:	It makes me want to vomit. You... big damn pest!
context: You guys... You really are the worst pieces of shit.\I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you.\You shouldn't be allowed to exist anymore.\What the hell are you thinking?\I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest! response:	It's time to exterminate you!
context: I bet in the history of mankind, nobody's done anything as terrible as you.\I've gotta erase you.\You shouldn't be allowed to exist anymore.\What the hell are you thinking?\I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest!\It's time to exterminate you! response:	Information Available for Public Disclosure Titan Martial Arts
context: I've gotta erase you.\You shouldn't be allowed to exist anymore.\What the hell are you thinking?\I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest!\It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts response:	Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.
context: You shouldn't be allowed to exist anymore.\What the hell are you thinking?\I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest!\It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow. response:	Damn, that hurt, Annie!
context: What the hell are you thinking?\I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest!\It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie! response:	Haven't you ever heard the concept of pulling your punches?
context: I've never felt so revolted before.\Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest!\It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches? response:	I did it because you're coming at me full-force.
context: Just remembering you and your self-righteous face is making me sick.\It makes me want to vomit. You... big damn pest!\It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force. response:	I've gotta respond with equal strength of my own.
context: It makes me want to vomit. You... big damn pest!\It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own. response:	And if you're a guy...
context: It's time to exterminate you!\Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own.\And if you're a guy... response:	Huh? Your jokes aren't funny at all.
context: Information Available for Public Disclosure Titan Martial Arts\Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own.\And if you're a guy...\Huh? Your jokes aren't funny at all. response:	If strength is the deciding factor, then why am I on my ass and you're still standing?
context: Though not typically an impressive exhibition of power and size, martial arts is similarly effective for Titans as it is for humans. Grappling holds and throws used against a Titan opponent are sometimes more potent than a striking blow.\Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own.\And if you're a guy...\Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing? response:	Well...
context: Damn, that hurt, Annie!\Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own.\And if you're a guy...\Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing?\Well... response:	I didn't throw you using my strength.
context: Haven't you ever heard the concept of pulling your punches?\I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own.\And if you're a guy...\Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing?\Well...\I didn't throw you using my strength. response:	It's a technique used to protect yourself against an opponent stronger than you.
context: I did it because you're coming at me full-force.\I've gotta respond with equal strength of my own.\And if you're a guy...\Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing?\Well...\I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you. response:	If I were you, I'd think about learning it.
context: I've gotta respond with equal strength of my own.\And if you're a guy...\Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing?\Well...\I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it. response:	All right, already! Why don't we take a break?
context: And if you're a guy...\Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing?\Well...\I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it.\All right, already! Why don't we take a break? response:	Annie!
context: Huh? Your jokes aren't funny at all.\If strength is the deciding factor, then why am I on my ass and you're still standing?\Well...\I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it.\All right, already! Why don't we take a break?\Annie! response:	Surrender!
context: If strength is the deciding factor, then why am I on my ass and you're still standing?\Well...\I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it.\All right, already! Why don't we take a break?\Annie!\Surrender! response:	I surrender!
context: Well...\I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it.\All right, already! Why don't we take a break?\Annie!\Surrender!\I surrender! response:	Surrender? Try to learn something first before you surrender.
context: I didn't throw you using my strength.\It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it.\All right, already! Why don't we take a break?\Annie!\Surrender!\I surrender!\Surrender? Try to learn something first before you surrender. response:	Learn how to use your strength and the proper way to speak to women!
context: It's a technique used to protect yourself against an opponent stronger than you.\If I were you, I'd think about learning it.\All right, already! Why don't we take a break?\Annie!\Surrender!\I surrender!\Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women! response:	All right! I promise I'll learn, so let go already!
context: If I were you, I'd think about learning it.\All right, already! Why don't we take a break?\Annie!\Surrender!\I surrender!\Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already! response:	Yeah? Do you want to learn that badly?
context: All right, already! Why don't we take a break?\Annie!\Surrender!\I surrender!\Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly? response:	Why the hell did Reiner come flying this way?
