context: Tsuritama Episode 1 response:	Long ago, a five-headed dragon lived in this ocean.
context: The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station\Well, then.\What are you gonna do?\So pretty!\How was it?\Did you find anything good?\Sakuragai, sakuragai. response:	Haino, haino, haino.
context: Odakyu Katase Enoshima Station\Well, then.\What are you gonna do?\So pretty!\How was it?\Did you find anything good?\Sakuragai, sakuragai.\Haino, haino, haino. response:	Yoisho, yoishona.
context: Well, then.\What are you gonna do?\So pretty!\How was it?\Did you find anything good?\Sakuragai, sakuragai.\Haino, haino, haino.\Yoisho, yoishona. response:	Haino, haino, haino.
context: What are you gonna do?\So pretty!\How was it?\Did you find anything good?\Sakuragai, sakuragai.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino. response:	Yoisho, yoishona.
context: So pretty!\How was it?\Did you find anything good?\Sakuragai, sakuragai.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Yoisho, yoishona. response:	Yoishona!
context: How was it?\Did you find anything good?\Sakuragai, sakuragai.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Yoisho, yoishona.\Yoishona! response:	Sanada-kun is transferring today.
context: Did you find anything good?\Sakuragai, sakuragai.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Yoisho, yoishona.\Yoishona!\Sanada-kun is transferring today. response:	I'm sure you're all very sad,
context: Sakuragai, sakuragai.\Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Yoisho, yoishona.\Yoishona!\Sanada-kun is transferring today.\I'm sure you're all very sad, response:	but he has to leave because of his family's work.
context: Haino, haino, haino.\Yoisho, yoishona.\Haino, haino, haino.\Yoisho, yoishona.\Yoishona!\Sanada-kun is transferring today.\I'm sure you're all very sad,\but he has to leave because of his family's work. response:	How many times have I gone through this?
context: Yoisho, yoishona.\Haino, haino, haino.\Yoisho, yoishona.\Yoishona!\Sanada-kun is transferring today.\I'm sure you're all very sad,\but he has to leave because of his family's work.\How many times have I gone through this? response:	Let's hear from Sanada-kun one last time before he leaves.
context: Haino, haino, haino.\Yoisho, yoishona.\Yoishona!\Sanada-kun is transferring today.\I'm sure you're all very sad,\but he has to leave because of his family's work.\How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves. response:	Right.
context: Yoisho, yoishona.\Yoishona!\Sanada-kun is transferring today.\I'm sure you're all very sad,\but he has to leave because of his family's work.\How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves.\Right. response:	I have to say something.
context: Yoishona!\Sanada-kun is transferring today.\I'm sure you're all very sad,\but he has to leave because of his family's work.\How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves.\Right.\I have to say something. response:	But I never know what to say.
context: Sanada-kun is transferring today.\I'm sure you're all very sad,\but he has to leave because of his family's work.\How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves.\Right.\I have to say something.\But I never know what to say. response:	I didn't make a single friend or any fond memories.
context: I'm sure you're all very sad,\but he has to leave because of his family's work.\How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves.\Right.\I have to say something.\But I never know what to say.\I didn't make a single friend or any fond memories. response:	Um, thanks for... everything.
context: but he has to leave because of his family's work.\How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves.\Right.\I have to say something.\But I never know what to say.\I didn't make a single friend or any fond memories.\Um, thanks for... everything. response:	Don't look at me like that.
context: How many times have I gone through this?\Let's hear from Sanada-kun one last time before he leaves.\Right.\I have to say something.\But I never know what to say.\I didn't make a single friend or any fond memories.\Um, thanks for... everything.\Don't look at me like that. response:	Please.
context: Let's hear from Sanada-kun one last time before he leaves.\Right.\I have to say something.\But I never know what to say.\I didn't make a single friend or any fond memories.\Um, thanks for... everything.\Don't look at me like that.\Please. response:	Crap.
context: Right.\I have to say something.\But I never know what to say.\I didn't make a single friend or any fond memories.\Um, thanks for... everything.\Don't look at me like that.\Please.\Crap. response:	It's happening.
context: I have to say something.\But I never know what to say.\I didn't make a single friend or any fond memories.\Um, thanks for... everything.\Don't look at me like that.\Please.\Crap.\It's happening. response:	Help!
context: But I never know what to say.\I didn't make a single friend or any fond memories.\Um, thanks for... everything.\Don't look at me like that.\Please.\Crap.\It's happening.\Help! response:	I did it again.
context: I didn't make a single friend or any fond memories.\Um, thanks for... everything.\Don't look at me like that.\Please.\Crap.\It's happening.\Help!\I did it again. response:	You shouldn't be carrying something so heavy!
context: Um, thanks for... everything.\Don't look at me like that.\Please.\Crap.\It's happening.\Help!\I did it again.\You shouldn't be carrying something so heavy! response:	I'm fine. This is the last one.
context: Don't look at me like that.\Please.\Crap.\It's happening.\Help!\I did it again.\You shouldn't be carrying something so heavy!\I'm fine. This is the last one. response:	How did it go?
context: Please.\Crap.\It's happening.\Help!\I did it again.\You shouldn't be carrying something so heavy!\I'm fine. This is the last one.\How did it go? response:	It was all right.
context: Crap.\It's happening.\Help!\I did it again.\You shouldn't be carrying something so heavy!\I'm fine. This is the last one.\How did it go?\It was all right. response:	I see.
context: It's happening.\Help!\I did it again.\You shouldn't be carrying something so heavy!\I'm fine. This is the last one.\How did it go?\It was all right.\I see. response:	Keito-san!
context: Help!\I did it again.\You shouldn't be carrying something so heavy!\I'm fine. This is the last one.\How did it go?\It was all right.\I see.\Keito-san! response:	Landlord.
context: I did it again.\You shouldn't be carrying something so heavy!\I'm fine. This is the last one.\How did it go?\It was all right.\I see.\Keito-san!\Landlord. response:	Here's something to eat.
context: You shouldn't be carrying something so heavy!\I'm fine. This is the last one.\How did it go?\It was all right.\I see.\Keito-san!\Landlord.\Here's something to eat. response:	Oh, thank you.
context: I'm fine. This is the last one.\How did it go?\It was all right.\I see.\Keito-san!\Landlord.\Here's something to eat.\Oh, thank you. response:	I'll be so lonely without you.
context: How did it go?\It was all right.\I see.\Keito-san!\Landlord.\Here's something to eat.\Oh, thank you.\I'll be so lonely without you. response:	We were only here a short while,
context: It was all right.\I see.\Keito-san!\Landlord.\Here's something to eat.\Oh, thank you.\I'll be so lonely without you.\We were only here a short while, response:	but thank you for all you've done.
context: I see.\Keito-san!\Landlord.\Here's something to eat.\Oh, thank you.\I'll be so lonely without you.\We were only here a short while,\but thank you for all you've done. response:	Let's go, Yuki.
context: Keito-san!\Landlord.\Here's something to eat.\Oh, thank you.\I'll be so lonely without you.\We were only here a short while,\but thank you for all you've done.\Let's go, Yuki. response:	Where are we going next, Grandma?
context: Landlord.\Here's something to eat.\Oh, thank you.\I'll be so lonely without you.\We were only here a short while,\but thank you for all you've done.\Let's go, Yuki.\Where are we going next, Grandma? response:	A wonderful place.
context: Here's something to eat.\Oh, thank you.\I'll be so lonely without you.\We were only here a short while,\but thank you for all you've done.\Let's go, Yuki.\Where are we going next, Grandma?\A wonderful place. response:	I'm sure we'll find something good there.
context: Oh, thank you.\I'll be so lonely without you.\We were only here a short while,\but thank you for all you've done.\Let's go, Yuki.\Where are we going next, Grandma?\A wonderful place.\I'm sure we'll find something good there. response:	Enoshima Bridge
context: I'll be so lonely without you.\We were only here a short while,\but thank you for all you've done.\Let's go, Yuki.\Where are we going next, Grandma?\A wonderful place.\I'm sure we'll find something good there.\Enoshima Bridge response:	What's wrong?
context: We were only here a short while,\but thank you for all you've done.\Let's go, Yuki.\Where are we going next, Grandma?\A wonderful place.\I'm sure we'll find something good there.\Enoshima Bridge\What's wrong? response:	Panicked Fishing
context: but thank you for all you've done.\Let's go, Yuki.\Where are we going next, Grandma?\A wonderful place.\I'm sure we'll find something good there.\Enoshima Bridge\What's wrong?\Panicked Fishing response:	Here?
context: Let's go, Yuki.\Where are we going next, Grandma?\A wonderful place.\I'm sure we'll find something good there.\Enoshima Bridge\What's wrong?\Panicked Fishing\Here? response:	Yeah, isn't it great?
context: Where are we going next, Grandma?\A wonderful place.\I'm sure we'll find something good there.\Enoshima Bridge\What's wrong?\Panicked Fishing\Here?\Yeah, isn't it great? response:	Yeah.
context: A wonderful place.\I'm sure we'll find something good there.\Enoshima Bridge\What's wrong?\Panicked Fishing\Here?\Yeah, isn't it great?\Yeah. response:	And that's where I'll be working.
context: I'm sure we'll find something good there.\Enoshima Bridge\What's wrong?\Panicked Fishing\Here?\Yeah, isn't it great?\Yeah.\And that's where I'll be working. response:	Amazing.
context: Enoshima Bridge\What's wrong?\Panicked Fishing\Here?\Yeah, isn't it great?\Yeah.\And that's where I'll be working.\Amazing. response:	What do you think?
context: What's wrong?\Panicked Fishing\Here?\Yeah, isn't it great?\Yeah.\And that's where I'll be working.\Amazing.\What do you think? response:	This place is amazing. I can see the ocean.
context: Panicked Fishing\Here?\Yeah, isn't it great?\Yeah.\And that's where I'll be working.\Amazing.\What do you think?\This place is amazing. I can see the ocean. response:	Are you really going to school?
context: Here?\Yeah, isn't it great?\Yeah.\And that's where I'll be working.\Amazing.\What do you think?\This place is amazing. I can see the ocean.\Are you really going to school? response:	You could start tomorrow instead.
context: Yeah, isn't it great?\Yeah.\And that's where I'll be working.\Amazing.\What do you think?\This place is amazing. I can see the ocean.\Are you really going to school?\You could start tomorrow instead. response:	It makes no difference if I go today or tomorrow.
context: Yeah.\And that's where I'll be working.\Amazing.\What do you think?\This place is amazing. I can see the ocean.\Are you really going to school?\You could start tomorrow instead.\It makes no difference if I go today or tomorrow. response:	I see.
context: And that's where I'll be working.\Amazing.\What do you think?\This place is amazing. I can see the ocean.\Are you really going to school?\You could start tomorrow instead.\It makes no difference if I go today or tomorrow.\I see. response:	I hope you make lots of friends.
context: Amazing.\What do you think?\This place is amazing. I can see the ocean.\Are you really going to school?\You could start tomorrow instead.\It makes no difference if I go today or tomorrow.\I see.\I hope you make lots of friends. response:	I'll be fine.
context: What do you think?\This place is amazing. I can see the ocean.\Are you really going to school?\You could start tomorrow instead.\It makes no difference if I go today or tomorrow.\I see.\I hope you make lots of friends.\I'll be fine. response:	I'm used to transferring by now.
context: This place is amazing. I can see the ocean.\Are you really going to school?\You could start tomorrow instead.\It makes no difference if I go today or tomorrow.\I see.\I hope you make lots of friends.\I'll be fine.\I'm used to transferring by now. response:	See you later.
context: Are you really going to school?\You could start tomorrow instead.\It makes no difference if I go today or tomorrow.\I see.\I hope you make lots of friends.\I'll be fine.\I'm used to transferring by now.\See you later. response:	Yuki.
context: You could start tomorrow instead.\It makes no difference if I go today or tomorrow.\I see.\I hope you make lots of friends.\I'll be fine.\I'm used to transferring by now.\See you later.\Yuki. response:	Smile, and hold your head high.
context: It makes no difference if I go today or tomorrow.\I see.\I hope you make lots of friends.\I'll be fine.\I'm used to transferring by now.\See you later.\Yuki.\Smile, and hold your head high. response:	That's it. There's a nice smile.
context: I see.\I hope you make lots of friends.\I'll be fine.\I'm used to transferring by now.\See you later.\Yuki.\Smile, and hold your head high.\That's it. There's a nice smile. response:	Whitebait bowl?
context: I hope you make lots of friends.\I'll be fine.\I'm used to transferring by now.\See you later.\Yuki.\Smile, and hold your head high.\That's it. There's a nice smile.\Whitebait bowl? response:	Looks like they serve it raw or boiled.
context: I'll be fine.\I'm used to transferring by now.\See you later.\Yuki.\Smile, and hold your head high.\That's it. There's a nice smile.\Whitebait bowl?\Looks like they serve it raw or boiled. response:	Sky...
context: I'm used to transferring by now.\See you later.\Yuki.\Smile, and hold your head high.\That's it. There's a nice smile.\Whitebait bowl?\Looks like they serve it raw or boiled.\Sky... response:	Tree!
context: See you later.\Yuki.\Smile, and hold your head high.\That's it. There's a nice smile.\Whitebait bowl?\Looks like they serve it raw or boiled.\Sky...\Tree! response:	Yuki Keito
context: Yuki.\Smile, and hold your head high.\That's it. There's a nice smile.\Whitebait bowl?\Looks like they serve it raw or boiled.\Sky...\Tree!\Yuki Keito response:	There.
context: Smile, and hold your head high.\That's it. There's a nice smile.\Whitebait bowl?\Looks like they serve it raw or boiled.\Sky...\Tree!\Yuki Keito\There. response:	Good.
context: That's it. There's a nice smile.\Whitebait bowl?\Looks like they serve it raw or boiled.\Sky...\Tree!\Yuki Keito\There.\Good. response:	What about this place?
context: Whitebait bowl?\Looks like they serve it raw or boiled.\Sky...\Tree!\Yuki Keito\There.\Good.\What about this place? response:	Hello.
context: Looks like they serve it raw or boiled.\Sky...\Tree!\Yuki Keito\There.\Good.\What about this place?\Hello. response:	Hello.
context: Sky...\Tree!\Yuki Keito\There.\Good.\What about this place?\Hello.\Hello. response:	I'm Haru.
context: Tree!\Yuki Keito\There.\Good.\What about this place?\Hello.\Hello.\I'm Haru. response:	Haru-kun.
context: Yuki Keito\There.\Good.\What about this place?\Hello.\Hello.\I'm Haru.\Haru-kun. response:	What a wonderful name.
context: There.\Good.\What about this place?\Hello.\Hello.\I'm Haru.\Haru-kun.\What a wonderful name. response:	Yuki Keito
context: Good.\What about this place?\Hello.\Hello.\I'm Haru.\Haru-kun.\What a wonderful name.\Yuki Keito response:	I'm an alien!
context: What about this place?\Hello.\Hello.\I'm Haru.\Haru-kun.\What a wonderful name.\Yuki Keito\I'm an alien! response:	Yuki Keito
context: Hello.\Hello.\I'm Haru.\Haru-kun.\What a wonderful name.\Yuki Keito\I'm an alien!\Yuki Keito response:	Oh, really?
context: Hello.\I'm Haru.\Haru-kun.\What a wonderful name.\Yuki Keito\I'm an alien!\Yuki Keito\Oh, really? response:	Haru Yuki Keito
context: I'm Haru.\Haru-kun.\What a wonderful name.\Yuki Keito\I'm an alien!\Yuki Keito\Oh, really?\Haru Yuki Keito response:	I'll live here.
context: Haru-kun.\What a wonderful name.\Yuki Keito\I'm an alien!\Yuki Keito\Oh, really?\Haru Yuki Keito\I'll live here. response:	Haru Yuki Keito
context: What a wonderful name.\Yuki Keito\I'm an alien!\Yuki Keito\Oh, really?\Haru Yuki Keito\I'll live here.\Haru Yuki Keito response:	Will you promise me something, then?
context: Yuki Keito\I'm an alien!\Yuki Keito\Oh, really?\Haru Yuki Keito\I'll live here.\Haru Yuki Keito\Will you promise me something, then? response:	Promise?
context: I'm an alien!\Yuki Keito\Oh, really?\Haru Yuki Keito\I'll live here.\Haru Yuki Keito\Will you promise me something, then?\Promise? response:	Tapioca.
context: Yuki Keito\Oh, really?\Haru Yuki Keito\I'll live here.\Haru Yuki Keito\Will you promise me something, then?\Promise?\Tapioca. response:	Why do you think he came here?
context: Oh, really?\Haru Yuki Keito\I'll live here.\Haru Yuki Keito\Will you promise me something, then?\Promise?\Tapioca.\Why do you think he came here? response:	You're right.
context: Haru Yuki Keito\I'll live here.\Haru Yuki Keito\Will you promise me something, then?\Promise?\Tapioca.\Why do you think he came here?\You're right. response:	He's probably just another tourist.
context: I'll live here.\Haru Yuki Keito\Will you promise me something, then?\Promise?\Tapioca.\Why do you think he came here?\You're right.\He's probably just another tourist. response:	He's not that old yet.
context: Haru Yuki Keito\Will you promise me something, then?\Promise?\Tapioca.\Why do you think he came here?\You're right.\He's probably just another tourist.\He's not that old yet. response:	If I give up my seat, he'd probably be offended.
context: Will you promise me something, then?\Promise?\Tapioca.\Why do you think he came here?\You're right.\He's probably just another tourist.\He's not that old yet.\If I give up my seat, he'd probably be offended. response:	Crap. I can't give up my seat now.
context: Promise?\Tapioca.\Why do you think he came here?\You're right.\He's probably just another tourist.\He's not that old yet.\If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now. response:	But if I don't, he'll think I'm cold.
context: Tapioca.\Why do you think he came here?\You're right.\He's probably just another tourist.\He's not that old yet.\If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold. response:	What am I gonna do?
context: Why do you think he came here?\You're right.\He's probably just another tourist.\He's not that old yet.\If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold.\What am I gonna do? response:	What am I gonna do?!
context: You're right.\He's probably just another tourist.\He's not that old yet.\If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold.\What am I gonna do?\What am I gonna do?! response:	But I have to...
context: He's probably just another tourist.\He's not that old yet.\If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold.\What am I gonna do?\What am I gonna do?!\But I have to... response:	Thank you.
context: He's not that old yet.\If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold.\What am I gonna do?\What am I gonna do?!\But I have to...\Thank you. response:	Not at all.
context: If I give up my seat, he'd probably be offended.\Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold.\What am I gonna do?\What am I gonna do?!\But I have to...\Thank you.\Not at all. response:	What?
context: Crap. I can't give up my seat now.\But if I don't, he'll think I'm cold.\What am I gonna do?\What am I gonna do?!\But I have to...\Thank you.\Not at all.\What? response:	She's laughing.
context: But if I don't, he'll think I'm cold.\What am I gonna do?\What am I gonna do?!\But I have to...\Thank you.\Not at all.\What?\She's laughing. response:	They both go to my school.
context: What am I gonna do?\What am I gonna do?!\But I have to...\Thank you.\Not at all.\What?\She's laughing.\They both go to my school. response:	They must have seen everything.
context: What am I gonna do?!\But I have to...\Thank you.\Not at all.\What?\She's laughing.\They both go to my school.\They must have seen everything. response:	I'm still fine.
context: But I have to...\Thank you.\Not at all.\What?\She's laughing.\They both go to my school.\They must have seen everything.\I'm still fine. response:	I'll get it right this time.
context: Thank you.\Not at all.\What?\She's laughing.\They both go to my school.\They must have seen everything.\I'm still fine.\I'll get it right this time. response:	We've got two transfer students today,
context: Not at all.\What?\She's laughing.\They both go to my school.\They must have seen everything.\I'm still fine.\I'll get it right this time.\We've got two transfer students today, response:	but I guess one of them's running late.
context: What?\She's laughing.\They both go to my school.\They must have seen everything.\I'm still fine.\I'll get it right this time.\We've got two transfer students today,\but I guess one of them's running late. response:	Could you go ahead and introduce yourself?
context: She's laughing.\They both go to my school.\They must have seen everything.\I'm still fine.\I'll get it right this time.\We've got two transfer students today,\but I guess one of them's running late.\Could you go ahead and introduce yourself? response:	Yes.
context: They both go to my school.\They must have seen everything.\I'm still fine.\I'll get it right this time.\We've got two transfer students today,\but I guess one of them's running late.\Could you go ahead and introduce yourself?\Yes. response:	Sanada Yuki
context: They must have seen everything.\I'm still fine.\I'll get it right this time.\We've got two transfer students today,\but I guess one of them's running late.\Could you go ahead and introduce yourself?\Yes.\Sanada Yuki response:	This introduction will decide everything.
context: I'm still fine.\I'll get it right this time.\We've got two transfer students today,\but I guess one of them's running late.\Could you go ahead and introduce yourself?\Yes.\Sanada Yuki\This introduction will decide everything. response:	Calm down.
context: I'll get it right this time.\We've got two transfer students today,\but I guess one of them's running late.\Could you go ahead and introduce yourself?\Yes.\Sanada Yuki\This introduction will decide everything.\Calm down. response:	Just do it normally.
context: We've got two transfer students today,\but I guess one of them's running late.\Could you go ahead and introduce yourself?\Yes.\Sanada Yuki\This introduction will decide everything.\Calm down.\Just do it normally. response:	Normally.
context: but I guess one of them's running late.\Could you go ahead and introduce yourself?\Yes.\Sanada Yuki\This introduction will decide everything.\Calm down.\Just do it normally.\Normally. response:	Nice to meet you.
context: Could you go ahead and introduce yourself?\Yes.\Sanada Yuki\This introduction will decide everything.\Calm down.\Just do it normally.\Normally.\Nice to meet you. response:	My voice!
context: Yes.\Sanada Yuki\This introduction will decide everything.\Calm down.\Just do it normally.\Normally.\Nice to meet you.\My voice! response:	Nice to meet you. I'm Sanada Yuki.
context: Sanada Yuki\This introduction will decide everything.\Calm down.\Just do it normally.\Normally.\Nice to meet you.\My voice!\Nice to meet you. I'm Sanada Yuki. response:	I'm from Osaki.
context: This introduction will decide everything.\Calm down.\Just do it normally.\Normally.\Nice to meet you.\My voice!\Nice to meet you. I'm Sanada Yuki.\I'm from Osaki. response:	I've transferred more times than I can count,
context: Calm down.\Just do it normally.\Normally.\Nice to meet you.\My voice!\Nice to meet you. I'm Sanada Yuki.\I'm from Osaki.\I've transferred more times than I can count, response:	but I'm still not accustomed to introducing myself,
context: Just do it normally.\Normally.\Nice to meet you.\My voice!\Nice to meet you. I'm Sanada Yuki.\I'm from Osaki.\I've transferred more times than I can count,\but I'm still not accustomed to introducing myself, response:	so sorry if I seem a little awkward.
context: Normally.\Nice to meet you.\My voice!\Nice to meet you. I'm Sanada Yuki.\I'm from Osaki.\I've transferred more times than I can count,\but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward. response:	Good, keep it up.
context: Nice to meet you.\My voice!\Nice to meet you. I'm Sanada Yuki.\I'm from Osaki.\I've transferred more times than I can count,\but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward.\Good, keep it up. response:	I just...
context: My voice!\Nice to meet you. I'm Sanada Yuki.\I'm from Osaki.\I've transferred more times than I can count,\but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward.\Good, keep it up.\I just... response:	What just happened?
context: Nice to meet you. I'm Sanada Yuki.\I'm from Osaki.\I've transferred more times than I can count,\but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward.\Good, keep it up.\I just...\What just happened? response:	Don't panic.
context: I'm from Osaki.\I've transferred more times than I can count,\but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward.\Good, keep it up.\I just...\What just happened?\Don't panic. response:	I saw the ocean on my way here.
context: I've transferred more times than I can count,\but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward.\Good, keep it up.\I just...\What just happened?\Don't panic.\I saw the ocean on my way here. response:	You can see the ocean from Enoshima.
context: but I'm still not accustomed to introducing myself,\so sorry if I seem a little awkward.\Good, keep it up.\I just...\What just happened?\Don't panic.\I saw the ocean on my way here.\You can see the ocean from Enoshima. response:	Hey, everyone knows that already!
context: so sorry if I seem a little awkward.\Good, keep it up.\I just...\What just happened?\Don't panic.\I saw the ocean on my way here.\You can see the ocean from Enoshima.\Hey, everyone knows that already! response:	The ocean's really big, the sky's beautiful,
context: Good, keep it up.\I just...\What just happened?\Don't panic.\I saw the ocean on my way here.\You can see the ocean from Enoshima.\Hey, everyone knows that already!\The ocean's really big, the sky's beautiful, response:	and the air is really nice.
context: I just...\What just happened?\Don't panic.\I saw the ocean on my way here.\You can see the ocean from Enoshima.\Hey, everyone knows that already!\The ocean's really big, the sky's beautiful,\and the air is really nice. response:	Enoshima is a wonderful place.
context: What just happened?\Don't panic.\I saw the ocean on my way here.\You can see the ocean from Enoshima.\Hey, everyone knows that already!\The ocean's really big, the sky's beautiful,\and the air is really nice.\Enoshima is a wonderful place. response:	Yes, good. Very good.
context: Don't panic.\I saw the ocean on my way here.\You can see the ocean from Enoshima.\Hey, everyone knows that already!\The ocean's really big, the sky's beautiful,\and the air is really nice.\Enoshima is a wonderful place.\Yes, good. Very good. response:	And...
context: I saw the ocean on my way here.\You can see the ocean from Enoshima.\Hey, everyone knows that already!\The ocean's really big, the sky's beautiful,\and the air is really nice.\Enoshima is a wonderful place.\Yes, good. Very good.\And... response:	And? Why'd I say and?
context: You can see the ocean from Enoshima.\Hey, everyone knows that already!\The ocean's really big, the sky's beautiful,\and the air is really nice.\Enoshima is a wonderful place.\Yes, good. Very good.\And...\And? Why'd I say and? response:	I haven't thought about what to say after that.
context: Hey, everyone knows that already!\The ocean's really big, the sky's beautiful,\and the air is really nice.\Enoshima is a wonderful place.\Yes, good. Very good.\And...\And? Why'd I say and?\I haven't thought about what to say after that. response:	What am I gonna do?
context: The ocean's really big, the sky's beautiful,\and the air is really nice.\Enoshima is a wonderful place.\Yes, good. Very good.\And...\And? Why'd I say and?\I haven't thought about what to say after that.\What am I gonna do? response:	Just say something.
context: and the air is really nice.\Enoshima is a wonderful place.\Yes, good. Very good.\And...\And? Why'd I say and?\I haven't thought about what to say after that.\What am I gonna do?\Just say something. response:	What should I do?!
context: Enoshima is a wonderful place.\Yes, good. Very good.\And...\And? Why'd I say and?\I haven't thought about what to say after that.\What am I gonna do?\Just say something.\What should I do?! response:	Thank you.
context: Yes, good. Very good.\And...\And? Why'd I say and?\I haven't thought about what to say after that.\What am I gonna do?\Just say something.\What should I do?!\Thank you. response:	This is fine.
context: And...\And? Why'd I say and?\I haven't thought about what to say after that.\What am I gonna do?\Just say something.\What should I do?!\Thank you.\This is fine. response:	I'll just calm down and go my desk.
context: And? Why'd I say and?\I haven't thought about what to say after that.\What am I gonna do?\Just say something.\What should I do?!\Thank you.\This is fine.\I'll just calm down and go my desk. response:	I hope you'll all be nice to Sanada-kun.
