context: 31st - Gala Concert response:	I thought if I came to the music room, you'd be here...
context: Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know!\Well, it's the thought that counts.\Here we are!\We brought you something!\Thanks!\Well? How do you feel? response:	Never better! I'm just in here for tests.
context: Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know!\Well, it's the thought that counts.\Here we are!\We brought you something!\Thanks!\Well? How do you feel?\Never better! I'm just in here for tests. response:	Did you miss not seeing me?
context: Her family runs a cake shop, you know!\Well, it's the thought that counts.\Here we are!\We brought you something!\Thanks!\Well? How do you feel?\Never better! I'm just in here for tests.\Did you miss not seeing me? response:	Sure I missed you!
context: Well, it's the thought that counts.\Here we are!\We brought you something!\Thanks!\Well? How do you feel?\Never better! I'm just in here for tests.\Did you miss not seeing me?\Sure I missed you! response:	Twice in such a short time.
context: Here we are!\We brought you something!\Thanks!\Well? How do you feel?\Never better! I'm just in here for tests.\Did you miss not seeing me?\Sure I missed you!\Twice in such a short time. response:	But you were in here for tests the other day, weren't you?
context: We brought you something!\Thanks!\Well? How do you feel?\Never better! I'm just in here for tests.\Did you miss not seeing me?\Sure I missed you!\Twice in such a short time.\But you were in here for tests the other day, weren't you? response:	That time, it was for new tests, just for the heck of it.
context: Thanks!\Well? How do you feel?\Never better! I'm just in here for tests.\Did you miss not seeing me?\Sure I missed you!\Twice in such a short time.\But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it. response:	It is my head.
context: Well? How do you feel?\Never better! I'm just in here for tests.\Did you miss not seeing me?\Sure I missed you!\Twice in such a short time.\But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it.\It is my head. response:	This time, it's also so I can rest up, and take more time to heal.
context: Never better! I'm just in here for tests.\Did you miss not seeing me?\Sure I missed you!\Twice in such a short time.\But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it.\It is my head.\This time, it's also so I can rest up, and take more time to heal. response:	You just leered at me with a dirty look in your eyes!
context: Did you miss not seeing me?\Sure I missed you!\Twice in such a short time.\But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it.\It is my head.\This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes! response:	Lusting after me no matter where you are!
context: Sure I missed you!\Twice in such a short time.\But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it.\It is my head.\This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are! response:	An invalid! Is it because I'm an invalid?
context: Twice in such a short time.\But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it.\It is my head.\This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid? response:	I didn't! I didn't lust after you!
context: But you were in here for tests the other day, weren't you?\That time, it was for new tests, just for the heck of it.\It is my head.\This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you! response:	Well, I sure did.
context: That time, it was for new tests, just for the heck of it.\It is my head.\This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you!\Well, I sure did. response:	But hey, that was a shock.
context: It is my head.\This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you!\Well, I sure did.\But hey, that was a shock. response:	You don't show up, and next thing we hear, you're in the hospital.
context: This time, it's also so I can rest up, and take more time to heal.\You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you!\Well, I sure did.\But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital. response:	It was a shock for me, too.
context: You just leered at me with a dirty look in your eyes!\Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you!\Well, I sure did.\But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too. response:	I mean, I stumbled and hit my head, and then...
context: Lusting after me no matter where you are!\An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you!\Well, I sure did.\But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too.\I mean, I stumbled and hit my head, and then... response:	Blood came gushing out! In spurts, you know! In spurts!
context: An invalid! Is it because I'm an invalid?\I didn't! I didn't lust after you!\Well, I sure did.\But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too.\I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts! response:	I was so stunned!
context: I didn't! I didn't lust after you!\Well, I sure did.\But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too.\I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts!\I was so stunned! response:	My parents totally lost it and sent me right to the hospital.
context: Well, I sure did.\But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too.\I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts!\I was so stunned!\My parents totally lost it and sent me right to the hospital. response:	And now we're all caught up. Oh, the fig tart for me!
context: But hey, that was a shock.\You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too.\I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts!\I was so stunned!\My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me! response:	I've always tired easily, but lately I've had to expend a lot of energy,
context: You don't show up, and next thing we hear, you're in the hospital.\It was a shock for me, too.\I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts!\I was so stunned!\My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy, response:	so I guess I pushed myself too hard.
context: It was a shock for me, too.\I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts!\I was so stunned!\My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard. response:	Yum!
context: I mean, I stumbled and hit my head, and then...\Blood came gushing out! In spurts, you know! In spurts!\I was so stunned!\My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard.\Yum! response:	She's expending energy as she eats.
context: Blood came gushing out! In spurts, you know! In spurts!\I was so stunned!\My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard.\Yum!\She's expending energy as she eats. response:	I brought you some books, too! You've got nothing to do in here, right?
context: I was so stunned!\My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard.\Yum!\She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right? response:	Are these books from the library? Did you bring them without permission?
context: My parents totally lost it and sent me right to the hospital.\And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard.\Yum!\She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission? response:	There are some about music, too.
context: And now we're all caught up. Oh, the fig tart for me!\I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard.\Yum!\She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission?\There are some about music, too. response:	What's she gonna do with a ton of books?
context: I've always tired easily, but lately I've had to expend a lot of energy,\so I guess I pushed myself too hard.\Yum!\She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission?\There are some about music, too.\What's she gonna do with a ton of books? response:	What's the problem?
context: so I guess I pushed myself too hard.\Yum!\She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission?\There are some about music, too.\What's she gonna do with a ton of books?\What's the problem? response:	Well, Kao-chan, you'll be coming back to school by the second semester, right?
context: Yum!\She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission?\There are some about music, too.\What's she gonna do with a ton of books?\What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right? response:	Yes, of course I will.
context: She's expending energy as she eats.\I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission?\There are some about music, too.\What's she gonna do with a ton of books?\What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will. response:	I must be imagining things. That answer just now...
context: I brought you some books, too! You've got nothing to do in here, right?\Are these books from the library? Did you bring them without permission?\There are some about music, too.\What's she gonna do with a ton of books?\What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will.\I must be imagining things. That answer just now... response:	To think that it seemed rehearsed...
context: Are these books from the library? Did you bring them without permission?\There are some about music, too.\What's she gonna do with a ton of books?\What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will.\I must be imagining things. That answer just now...\To think that it seemed rehearsed... response:	All right, Kaori-chan. Let's hook up in our dreams, okay?
context: There are some about music, too.\What's she gonna do with a ton of books?\What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will.\I must be imagining things. That answer just now...\To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay? response:	Oh, shut up. Bye!
context: What's she gonna do with a ton of books?\What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will.\I must be imagining things. That answer just now...\To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye! response:	Bye!
context: What's the problem?\Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will.\I must be imagining things. That answer just now...\To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye!\Bye! response:	I don't have time to read all these...
context: Well, Kao-chan, you'll be coming back to school by the second semester, right?\Yes, of course I will.\I must be imagining things. That answer just now...\To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye!\Bye!\I don't have time to read all these... response:	Kousei Arima
context: Yes, of course I will.\I must be imagining things. That answer just now...\To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye!\Bye!\I don't have time to read all these...\Kousei Arima response:	Kaori-chan?
context: I must be imagining things. That answer just now...\To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye!\Bye!\I don't have time to read all these...\Kousei Arima\Kaori-chan? response:	Yes?
context: To think that it seemed rehearsed...\All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye!\Bye!\I don't have time to read all these...\Kousei Arima\Kaori-chan?\Yes? response:	Have your friends gone home?
context: All right, Kaori-chan. Let's hook up in our dreams, okay?\Oh, shut up. Bye!\Bye!\I don't have time to read all these...\Kousei Arima\Kaori-chan?\Yes?\Have your friends gone home? response:	Yes.
context: Oh, shut up. Bye!\Bye!\I don't have time to read all these...\Kousei Arima\Kaori-chan?\Yes?\Have your friends gone home?\Yes. response:	Then can we...?
context: Bye!\I don't have time to read all these...\Kousei Arima\Kaori-chan?\Yes?\Have your friends gone home?\Yes.\Then can we...? response:	Yes.
context: I don't have time to read all these...\Kousei Arima\Kaori-chan?\Yes?\Have your friends gone home?\Yes.\Then can we...?\Yes. response:	Please resume the IV drip.
context: Kousei Arima\Kaori-chan?\Yes?\Have your friends gone home?\Yes.\Then can we...?\Yes.\Please resume the IV drip. response:	Saito-senpai
context: Kaori-chan?\Yes?\Have your friends gone home?\Yes.\Then can we...?\Yes.\Please resume the IV drip.\Saito-senpai response:	Ah!
context: Yes?\Have your friends gone home?\Yes.\Then can we...?\Yes.\Please resume the IV drip.\Saito-senpai\Ah! response:	What do you mean, Ah?
context: Have your friends gone home?\Yes.\Then can we...?\Yes.\Please resume the IV drip.\Saito-senpai\Ah!\What do you mean, Ah? response:	Senpai just texted me. He says, Let's go to the festival today.
context: Yes.\Then can we...?\Yes.\Please resume the IV drip.\Saito-senpai\Ah!\What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today. response:	Senpai? You mean Saito-senpai? You haven't broken up yet?
context: Then can we...?\Yes.\Please resume the IV drip.\Saito-senpai\Ah!\What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet? response:	Of course not!
context: Yes.\Please resume the IV drip.\Saito-senpai\Ah!\What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not! response:	But why?
context: Please resume the IV drip.\Saito-senpai\Ah!\What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not!\But why? response:	What do you mean? It's not like I don't like him anymore...
context: Saito-senpai\Ah!\What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not!\But why?\What do you mean? It's not like I don't like him anymore... response:	Then do you like him?
context: Ah!\What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not!\But why?\What do you mean? It's not like I don't like him anymore...\Then do you like him? response:	Well, of course...
context: What do you mean, Ah?\Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not!\But why?\What do you mean? It's not like I don't like him anymore...\Then do you like him?\Well, of course... response:	I've always had a crush on him...
context: Senpai just texted me. He says, Let's go to the festival today.\Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not!\But why?\What do you mean? It's not like I don't like him anymore...\Then do you like him?\Well, of course...\I've always had a crush on him... response:	Then...
context: Senpai? You mean Saito-senpai? You haven't broken up yet?\Of course not!\But why?\What do you mean? It's not like I don't like him anymore...\Then do you like him?\Well, of course...\I've always had a crush on him...\Then... response:	What about Arima-kun?
context: Of course not!\But why?\What do you mean? It's not like I don't like him anymore...\Then do you like him?\Well, of course...\I've always had a crush on him...\Then...\What about Arima-kun? response:	Tsubaki?
context: But why?\What do you mean? It's not like I don't like him anymore...\Then do you like him?\Well, of course...\I've always had a crush on him...\Then...\What about Arima-kun?\Tsubaki? response:	Tsubaki!
context: What do you mean? It's not like I don't like him anymore...\Then do you like him?\Well, of course...\I've always had a crush on him...\Then...\What about Arima-kun?\Tsubaki?\Tsubaki! response:	What...
context: Then do you like him?\Well, of course...\I've always had a crush on him...\Then...\What about Arima-kun?\Tsubaki?\Tsubaki!\What... response:	Why the heck are you bringing up Kousei now?
context: Well, of course...\I've always had a crush on him...\Then...\What about Arima-kun?\Tsubaki?\Tsubaki!\What...\Why the heck are you bringing up Kousei now? response:	Th-Th-Th-That's so ridiculous!
context: I've always had a crush on him...\Then...\What about Arima-kun?\Tsubaki?\Tsubaki!\What...\Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous! response:	Kousei is...
context: Then...\What about Arima-kun?\Tsubaki?\Tsubaki!\What...\Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous!\Kousei is... response:	Ever since we were little, we've always done everything together,
context: What about Arima-kun?\Tsubaki?\Tsubaki!\What...\Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous!\Kousei is...\Ever since we were little, we've always done everything together, response:	and rather than someone of the opposite sex,
context: Tsubaki?\Tsubaki!\What...\Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous!\Kousei is...\Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex, response:	I see him as a kid brother.
context: Tsubaki!\What...\Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous!\Kousei is...\Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex,\I see him as a kid brother. response:	Kid brother again?
context: What...\Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous!\Kousei is...\Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex,\I see him as a kid brother.\Kid brother again? response:	Are you trying to jinx yourself by chanting that kid brother, kid brother curse?
context: Why the heck are you bringing up Kousei now?\Th-Th-Th-That's so ridiculous!\Kousei is...\Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex,\I see him as a kid brother.\Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse? response:	You're too scared not to.
context: Th-Th-Th-That's so ridiculous!\Kousei is...\Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex,\I see him as a kid brother.\Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to. response:	Because the comfortable relationship you have right now would be destroyed.
context: Kousei is...\Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex,\I see him as a kid brother.\Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to.\Because the comfortable relationship you have right now would be destroyed. response:	Hey!
context: Ever since we were little, we've always done everything together,\and rather than someone of the opposite sex,\I see him as a kid brother.\Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to.\Because the comfortable relationship you have right now would be destroyed.\Hey! response:	I was saving that omelette for last!
context: and rather than someone of the opposite sex,\I see him as a kid brother.\Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to.\Because the comfortable relationship you have right now would be destroyed.\Hey!\I was saving that omelette for last! response:	I told you, it's not like that!
context: I see him as a kid brother.\Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to.\Because the comfortable relationship you have right now would be destroyed.\Hey!\I was saving that omelette for last!\I told you, it's not like that! response:	I chose the wrong method of attack.
context: Kid brother again?\Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to.\Because the comfortable relationship you have right now would be destroyed.\Hey!\I was saving that omelette for last!\I told you, it's not like that!\I chose the wrong method of attack. response:	What the heck!
context: Are you trying to jinx yourself by chanting that kid brother, kid brother curse?\You're too scared not to.\Because the comfortable relationship you have right now would be destroyed.\Hey!\I was saving that omelette for last!\I told you, it's not like that!\I chose the wrong method of attack.\What the heck! response:	Arima-kun was afraid, but he still took the plunge.
context: You're too scared not to.\Because the comfortable relationship you have right now would be destroyed.\Hey!\I was saving that omelette for last!\I told you, it's not like that!\I chose the wrong method of attack.\What the heck!\Arima-kun was afraid, but he still took the plunge. response:	Someday, there'll be no turning back, you know.
context: Because the comfortable relationship you have right now would be destroyed.\Hey!\I was saving that omelette for last!\I told you, it's not like that!\I chose the wrong method of attack.\What the heck!\Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know. response:	Hey, a yukata!
context: Hey!\I was saving that omelette for last!\I told you, it's not like that!\I chose the wrong method of attack.\What the heck!\Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know.\Hey, a yukata! response:	It looks good on you! You look really cute!
context: I was saving that omelette for last!\I told you, it's not like that!\I chose the wrong method of attack.\What the heck!\Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know.\Hey, a yukata!\It looks good on you! You look really cute! response:	Hey, you don't have to be nice. Clothes make the man, as they say.
context: I told you, it's not like that!\I chose the wrong method of attack.\What the heck!\Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know.\Hey, a yukata!\It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say. response:	What did I tell you, Kashiwagi? Kousei would never say that to me.
context: I chose the wrong method of attack.\What the heck!\Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know.\Hey, a yukata!\It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me. response:	Because he only sees me...
context: What the heck!\Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know.\Hey, a yukata!\It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me... response:	I'm sure...
context: Arima-kun was afraid, but he still took the plunge.\Someday, there'll be no turning back, you know.\Hey, a yukata!\It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me...\I'm sure... response:	Anyway...
context: Someday, there'll be no turning back, you know.\Hey, a yukata!\It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me...\I'm sure...\Anyway... response:	Today's the day of the festival, huh?
context: Hey, a yukata!\It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me...\I'm sure...\Anyway...\Today's the day of the festival, huh? response:	Yeah.
context: It looks good on you! You look really cute!\Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me...\I'm sure...\Anyway...\Today's the day of the festival, huh?\Yeah. response:	Don't stand there. Have a seat.
context: Hey, you don't have to be nice. Clothes make the man, as they say.\What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me...\I'm sure...\Anyway...\Today's the day of the festival, huh?\Yeah.\Don't stand there. Have a seat. response:	Uh, okay.
context: What did I tell you, Kashiwagi? Kousei would never say that to me.\Because he only sees me...\I'm sure...\Anyway...\Today's the day of the festival, huh?\Yeah.\Don't stand there. Have a seat.\Uh, okay. response:	No, on second thought, I'll stand.
context: Because he only sees me...\I'm sure...\Anyway...\Today's the day of the festival, huh?\Yeah.\Don't stand there. Have a seat.\Uh, okay.\No, on second thought, I'll stand. response:	You sure are fidgety. Suspicious, much?
context: I'm sure...\Anyway...\Today's the day of the festival, huh?\Yeah.\Don't stand there. Have a seat.\Uh, okay.\No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much? response:	I don't like hospitals.
context: Anyway...\Today's the day of the festival, huh?\Yeah.\Don't stand there. Have a seat.\Uh, okay.\No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much?\I don't like hospitals. response:	You're gonna be okay, right?
context: Today's the day of the festival, huh?\Yeah.\Don't stand there. Have a seat.\Uh, okay.\No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much?\I don't like hospitals.\You're gonna be okay, right? response:	You're not lying about being tested, right?
context: Yeah.\Don't stand there. Have a seat.\Uh, okay.\No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much?\I don't like hospitals.\You're gonna be okay, right?\You're not lying about being tested, right? response:	You're not gonna tell me you're never coming back to school, right?
context: Don't stand there. Have a seat.\Uh, okay.\No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much?\I don't like hospitals.\You're gonna be okay, right?\You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right? response:	You're gonna start cussing me out again, right?
context: Uh, okay.\No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much?\I don't like hospitals.\You're gonna be okay, right?\You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right? response:	We can talk in the music room again, right?
