context: Fly response:	I didn't know we had that.
context: The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word.\Shimizu's surprise raised our morale 120.\Well... yeah... but...\Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today, response:	then move on to day two.
context: last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word.\Shimizu's surprise raised our morale 120.\Well... yeah... but...\Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today,\then move on to day two. response:	This is no time to be melodramatic.
context: I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word.\Shimizu's surprise raised our morale 120.\Well... yeah... but...\Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today,\then move on to day two.\This is no time to be melodramatic. response:	We're going to win all of the matches ahead of us.
context: But you guys left without saying a word.\Shimizu's surprise raised our morale 120.\Well... yeah... but...\Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today,\then move on to day two.\This is no time to be melodramatic.\We're going to win all of the matches ahead of us. response:	That's all we need to think about.
context: Shimizu's surprise raised our morale 120.\Well... yeah... but...\Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today,\then move on to day two.\This is no time to be melodramatic.\We're going to win all of the matches ahead of us.\That's all we need to think about. response:	Yeah.
context: Well... yeah... but...\Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today,\then move on to day two.\This is no time to be melodramatic.\We're going to win all of the matches ahead of us.\That's all we need to think about.\Yeah. response:	We're counting on you, Ace.
context: Miyagi Prefecture Karasuno High School\We're going to win the first and second rounds today,\then move on to day two.\This is no time to be melodramatic.\We're going to win all of the matches ahead of us.\That's all we need to think about.\Yeah.\We're counting on you, Ace. response:	I kinda get scared when Daichi is nice to me.
context: We're going to win the first and second rounds today,\then move on to day two.\This is no time to be melodramatic.\We're going to win all of the matches ahead of us.\That's all we need to think about.\Yeah.\We're counting on you, Ace.\I kinda get scared when Daichi is nice to me. response:	Maybe it'll snow in summer next.
context: then move on to day two.\This is no time to be melodramatic.\We're going to win all of the matches ahead of us.\That's all we need to think about.\Yeah.\We're counting on you, Ace.\I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next. response:	Then maybe I should be stern.
context: This is no time to be melodramatic.\We're going to win all of the matches ahead of us.\That's all we need to think about.\Yeah.\We're counting on you, Ace.\I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next.\Then maybe I should be stern. response:	Good morning.
context: We're going to win all of the matches ahead of us.\That's all we need to think about.\Yeah.\We're counting on you, Ace.\I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next.\Then maybe I should be stern.\Good morning. response:	Hey. I'll unlock the club room.
context: That's all we need to think about.\Yeah.\We're counting on you, Ace.\I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next.\Then maybe I should be stern.\Good morning.\Hey. I'll unlock the club room. response:	Let's go.
context: Yeah.\We're counting on you, Ace.\I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next.\Then maybe I should be stern.\Good morning.\Hey. I'll unlock the club room.\Let's go. response:	Yeah.
context: We're counting on you, Ace.\I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next.\Then maybe I should be stern.\Good morning.\Hey. I'll unlock the club room.\Let's go.\Yeah. response:	Haikyu!!
context: I kinda get scared when Daichi is nice to me.\Maybe it'll snow in summer next.\Then maybe I should be stern.\Good morning.\Hey. I'll unlock the club room.\Let's go.\Yeah.\Haikyu!! response:	Episode 15: Revival
context: Maybe it'll snow in summer next.\Then maybe I should be stern.\Good morning.\Hey. I'll unlock the club room.\Let's go.\Yeah.\Haikyu!!\Episode 15: Revival response:	I wonder what the Karasuno team is like.
context: Then maybe I should be stern.\Good morning.\Hey. I'll unlock the club room.\Let's go.\Yeah.\Haikyu!!\Episode 15: Revival\I wonder what the Karasuno team is like. response:	I hope there aren't too many tall players.
context: Good morning.\Hey. I'll unlock the club room.\Let's go.\Yeah.\Haikyu!!\Episode 15: Revival\I wonder what the Karasuno team is like.\I hope there aren't too many tall players. response:	Don't worry about it. I hear they've been mediocre for a while.
context: Hey. I'll unlock the club room.\Let's go.\Yeah.\Haikyu!!\Episode 15: Revival\I wonder what the Karasuno team is like.\I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while. response:	I think Shiratorizawa could win it.
context: Let's go.\Yeah.\Haikyu!!\Episode 15: Revival\I wonder what the Karasuno team is like.\I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it. response:	Ou
context: Yeah.\Haikyu!!\Episode 15: Revival\I wonder what the Karasuno team is like.\I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it.\Ou response:	No, Aoba Johsai's on a roll this year.
context: Haikyu!!\Episode 15: Revival\I wonder what the Karasuno team is like.\I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it.\Ou\No, Aoba Johsai's on a roll this year. response:	I hear Oikawa has surpassed everyone since becoming a third-year.
context: Episode 15: Revival\I wonder what the Karasuno team is like.\I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it.\Ou\No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year. response:	Tokonami
context: I wonder what the Karasuno team is like.\I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it.\Ou\No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami response:	I also hear Seijoh's first-years are amazing jumpers.
context: I hope there aren't too many tall players.\Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it.\Ou\No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami\I also hear Seijoh's first-years are amazing jumpers. response:	Yeah, but still, they probably won't get past Dateko's blockers.
context: Don't worry about it. I hear they've been mediocre for a while.\I think Shiratorizawa could win it.\Ou\No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami\I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers. response:	I'm glad we're not in the A block.
context: I think Shiratorizawa could win it.\Ou\No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami\I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block. response:	Let's see, this block...
context: Ou\No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami\I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block.\Let's see, this block... response:	Karasuno
context: No, Aoba Johsai's on a roll this year.\I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami\I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block.\Let's see, this block...\Karasuno response:	Tori... Torino?
context: I hear Oikawa has surpassed everyone since becoming a third-year.\Tokonami\I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block.\Let's see, this block...\Karasuno\Tori... Torino? response:	I think that's Karasuno.
context: Tokonami\I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block.\Let's see, this block...\Karasuno\Tori... Torino?\I think that's Karasuno. response:	They were strong once, not too long ago.
context: I also hear Seijoh's first-years are amazing jumpers.\Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block.\Let's see, this block...\Karasuno\Tori... Torino?\I think that's Karasuno.\They were strong once, not too long ago. response:	Oh, yeah, but not anymore.
context: Yeah, but still, they probably won't get past Dateko's blockers.\I'm glad we're not in the A block.\Let's see, this block...\Karasuno\Tori... Torino?\I think that's Karasuno.\They were strong once, not too long ago.\Oh, yeah, but not anymore. response:	There's a saying about their team.
context: I'm glad we're not in the A block.\Let's see, this block...\Karasuno\Tori... Torino?\I think that's Karasuno.\They were strong once, not too long ago.\Oh, yeah, but not anymore.\There's a saying about their team. response:	What's that?
context: Let's see, this block...\Karasuno\Tori... Torino?\I think that's Karasuno.\They were strong once, not too long ago.\Oh, yeah, but not anymore.\There's a saying about their team.\What's that? response:	Karasuno High School Volleyball Club
context: Karasuno\Tori... Torino?\I think that's Karasuno.\They were strong once, not too long ago.\Oh, yeah, but not anymore.\There's a saying about their team.\What's that?\Karasuno High School Volleyball Club response:	Fallen powerhouse. Flightless ravens.
context: Tori... Torino?\I think that's Karasuno.\They were strong once, not too long ago.\Oh, yeah, but not anymore.\There's a saying about their team.\What's that?\Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens. response:	Hey, shut up.
context: I think that's Karasuno.\They were strong once, not too long ago.\Oh, yeah, but not anymore.\There's a saying about their team.\What's that?\Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens.\Hey, shut up. response:	Flightless, you say? Is that what you said?
context: They were strong once, not too long ago.\Oh, yeah, but not anymore.\There's a saying about their team.\What's that?\Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens.\Hey, shut up.\Flightless, you say? Is that what you said? response:	Come on. Let's go.
context: Oh, yeah, but not anymore.\There's a saying about their team.\What's that?\Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens.\Hey, shut up.\Flightless, you say? Is that what you said?\Come on. Let's go. response:	I'm sorry.
context: There's a saying about their team.\What's that?\Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens.\Hey, shut up.\Flightless, you say? Is that what you said?\Come on. Let's go.\I'm sorry. response:	No problem.
context: What's that?\Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens.\Hey, shut up.\Flightless, you say? Is that what you said?\Come on. Let's go.\I'm sorry.\No problem. response:	Don't squabble.
context: Karasuno High School Volleyball Club\Fallen powerhouse. Flightless ravens.\Hey, shut up.\Flightless, you say? Is that what you said?\Come on. Let's go.\I'm sorry.\No problem.\Don't squabble. response:	Yes.
context: Fallen powerhouse. Flightless ravens.\Hey, shut up.\Flightless, you say? Is that what you said?\Come on. Let's go.\I'm sorry.\No problem.\Don't squabble.\Yes. response:	All black...
context: Hey, shut up.\Flightless, you say? Is that what you said?\Come on. Let's go.\I'm sorry.\No problem.\Don't squabble.\Yes.\All black... response:	That one guy doesn't look like a high schooler.
context: Flightless, you say? Is that what you said?\Come on. Let's go.\I'm sorry.\No problem.\Don't squabble.\Yes.\All black...\That one guy doesn't look like a high schooler. response:	Hey, is that guy...
context: Come on. Let's go.\I'm sorry.\No problem.\Don't squabble.\Yes.\All black...\That one guy doesn't look like a high schooler.\Hey, is that guy... response:	That's Karasuno's Azumane.
context: I'm sorry.\No problem.\Don't squabble.\Yes.\All black...\That one guy doesn't look like a high schooler.\Hey, is that guy...\That's Karasuno's Azumane. response:	What? Who's that?
context: No problem.\Don't squabble.\Yes.\All black...\That one guy doesn't look like a high schooler.\Hey, is that guy...\That's Karasuno's Azumane.\What? Who's that? response:	Don't you know?
context: Don't squabble.\Yes.\All black...\That one guy doesn't look like a high schooler.\Hey, is that guy...\That's Karasuno's Azumane.\What? Who's that?\Don't you know? response:	I heard guys from Kita High worked for him to extort money.
context: Yes.\All black...\That one guy doesn't look like a high schooler.\Hey, is that guy...\That's Karasuno's Azumane.\What? Who's that?\Don't you know?\I heard guys from Kita High worked for him to extort money. response:	Go ahead. You do it, too.
context: All black...\That one guy doesn't look like a high schooler.\Hey, is that guy...\That's Karasuno's Azumane.\What? Who's that?\Don't you know?\I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too. response:	It's a fight! The police! Someone call the police!
context: That one guy doesn't look like a high schooler.\Hey, is that guy...\That's Karasuno's Azumane.\What? Who's that?\Don't you know?\I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too.\It's a fight! The police! Someone call the police! response:	I also heard he sold illegal substances on the street.
context: Hey, is that guy...\That's Karasuno's Azumane.\What? Who's that?\Don't you know?\I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too.\It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street. response:	You'd better not refuse.
context: That's Karasuno's Azumane.\What? Who's that?\Don't you know?\I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too.\It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street.\You'd better not refuse. response:	You dropped your handkerchief.
context: What? Who's that?\Don't you know?\I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too.\It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street.\You'd better not refuse.\You dropped your handkerchief. response:	I'm sorry.
context: Don't you know?\I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too.\It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street.\You'd better not refuse.\You dropped your handkerchief.\I'm sorry. response:	And I heard he's been in high school for five years.
context: I heard guys from Kita High worked for him to extort money.\Go ahead. You do it, too.\It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street.\You'd better not refuse.\You dropped your handkerchief.\I'm sorry.\And I heard he's been in high school for five years. response:	He's an adult, then.
context: Go ahead. You do it, too.\It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street.\You'd better not refuse.\You dropped your handkerchief.\I'm sorry.\And I heard he's been in high school for five years.\He's an adult, then. response:	Oh, well. It's the usual gossip.
context: It's a fight! The police! Someone call the police!\I also heard he sold illegal substances on the street.\You'd better not refuse.\You dropped your handkerchief.\I'm sorry.\And I heard he's been in high school for five years.\He's an adult, then.\Oh, well. It's the usual gossip. response:	All because of his appearance.
context: I also heard he sold illegal substances on the street.\You'd better not refuse.\You dropped your handkerchief.\I'm sorry.\And I heard he's been in high school for five years.\He's an adult, then.\Oh, well. It's the usual gossip.\All because of his appearance. response:	But I like to have sort of a wild appearance.
context: You'd better not refuse.\You dropped your handkerchief.\I'm sorry.\And I heard he's been in high school for five years.\He's an adult, then.\Oh, well. It's the usual gossip.\All because of his appearance.\But I like to have sort of a wild appearance. response:	You wouldn't say that if you were really wild.
context: You dropped your handkerchief.\I'm sorry.\And I heard he's been in high school for five years.\He's an adult, then.\Oh, well. It's the usual gossip.\All because of his appearance.\But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild. response:	Who cares about how they view you?
context: I'm sorry.\And I heard he's been in high school for five years.\He's an adult, then.\Oh, well. It's the usual gossip.\All because of his appearance.\But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild.\Who cares about how they view you? response:	Now this is what you call wild.
context: And I heard he's been in high school for five years.\He's an adult, then.\Oh, well. It's the usual gossip.\All because of his appearance.\But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild.\Who cares about how they view you?\Now this is what you call wild. response:	Hey, check it out.
context: He's an adult, then.\Oh, well. It's the usual gossip.\All because of his appearance.\But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild.\Who cares about how they view you?\Now this is what you call wild.\Hey, check it out. response:	The banner was quite effective.
context: Oh, well. It's the usual gossip.\All because of his appearance.\But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild.\Who cares about how they view you?\Now this is what you call wild.\Hey, check it out.\The banner was quite effective. response:	Do you think so?
context: All because of his appearance.\But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild.\Who cares about how they view you?\Now this is what you call wild.\Hey, check it out.\The banner was quite effective.\Do you think so? response:	It worked a lot better than that poem I wrote.
context: But I like to have sort of a wild appearance.\You wouldn't say that if you were really wild.\Who cares about how they view you?\Now this is what you call wild.\Hey, check it out.\The banner was quite effective.\Do you think so?\It worked a lot better than that poem I wrote. response:	Cute.
context: You wouldn't say that if you were really wild.\Who cares about how they view you?\Now this is what you call wild.\Hey, check it out.\The banner was quite effective.\Do you think so?\It worked a lot better than that poem I wrote.\Cute. response:	Go say hi. I dare you.
context: Who cares about how they view you?\Now this is what you call wild.\Hey, check it out.\The banner was quite effective.\Do you think so?\It worked a lot better than that poem I wrote.\Cute.\Go say hi. I dare you. response:	Should I? Should I try?
context: Now this is what you call wild.\Hey, check it out.\The banner was quite effective.\Do you think so?\It worked a lot better than that poem I wrote.\Cute.\Go say hi. I dare you.\Should I? Should I try? response:	Stop that.
context: Hey, check it out.\The banner was quite effective.\Do you think so?\It worked a lot better than that poem I wrote.\Cute.\Go say hi. I dare you.\Should I? Should I try?\Stop that. response:	Kiyoko-san...
context: The banner was quite effective.\Do you think so?\It worked a lot better than that poem I wrote.\Cute.\Go say hi. I dare you.\Should I? Should I try?\Stop that.\Kiyoko-san... response:	That little guy...
context: Do you think so?\It worked a lot better than that poem I wrote.\Cute.\Go say hi. I dare you.\Should I? Should I try?\Stop that.\Kiyoko-san...\That little guy... response:	Isn't he Nishinoya from Chidoriyama?
context: It worked a lot better than that poem I wrote.\Cute.\Go say hi. I dare you.\Should I? Should I try?\Stop that.\Kiyoko-san...\That little guy...\Isn't he Nishinoya from Chidoriyama? response:	He won the Overall Best Libero Award.
context: Cute.\Go say hi. I dare you.\Should I? Should I try?\Stop that.\Kiyoko-san...\That little guy...\Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award. response:	I'll be at my best today.
context: Go say hi. I dare you.\Should I? Should I try?\Stop that.\Kiyoko-san...\That little guy...\Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award.\I'll be at my best today. response:	Really?
context: Should I? Should I try?\Stop that.\Kiyoko-san...\That little guy...\Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award.\I'll be at my best today.\Really? response:	That's not all.
context: Stop that.\Kiyoko-san...\That little guy...\Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award.\I'll be at my best today.\Really?\That's not all. response:	That guy over there...
context: Kiyoko-san...\That little guy...\Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award.\I'll be at my best today.\Really?\That's not all.\That guy over there... response:	They say he's a genius setter.
context: That little guy...\Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award.\I'll be at my best today.\Really?\That's not all.\That guy over there...\They say he's a genius setter. response:	That's Kitagawa Daiichi's King of the Court.
context: Isn't he Nishinoya from Chidoriyama?\He won the Overall Best Libero Award.\I'll be at my best today.\Really?\That's not all.\That guy over there...\They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court. response:	What's he doing at Karasuno?
context: He won the Overall Best Libero Award.\I'll be at my best today.\Really?\That's not all.\That guy over there...\They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno? response:	Dunno.
context: I'll be at my best today.\Really?\That's not all.\That guy over there...\They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno?\Dunno. response:	He wasn't very popular in junior high, though.
context: Really?\That's not all.\That guy over there...\They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno?\Dunno.\He wasn't very popular in junior high, though. response:	Then what about that guy there?
context: That's not all.\That guy over there...\They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno?\Dunno.\He wasn't very popular in junior high, though.\Then what about that guy there? response:	That little guy.
context: That guy over there...\They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno?\Dunno.\He wasn't very popular in junior high, though.\Then what about that guy there?\That little guy. response:	Is he awesome, too?
context: They say he's a genius setter.\That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno?\Dunno.\He wasn't very popular in junior high, though.\Then what about that guy there?\That little guy.\Is he awesome, too? response:	No... I don't think so.
context: That's Kitagawa Daiichi's King of the Court.\What's he doing at Karasuno?\Dunno.\He wasn't very popular in junior high, though.\Then what about that guy there?\That little guy.\Is he awesome, too?\No... I don't think so. response:	This place is packed!
context: What's he doing at Karasuno?\Dunno.\He wasn't very popular in junior high, though.\Then what about that guy there?\That little guy.\Is he awesome, too?\No... I don't think so.\This place is packed! response:	The Top
context: Dunno.\He wasn't very popular in junior high, though.\Then what about that guy there?\That little guy.\Is he awesome, too?\No... I don't think so.\This place is packed!\The Top response:	I'll do it.
context: He wasn't very popular in junior high, though.\Then what about that guy there?\That little guy.\Is he awesome, too?\No... I don't think so.\This place is packed!\The Top\I'll do it. response:	Idiot. What are you doing?
context: Then what about that guy there?\That little guy.\Is he awesome, too?\No... I don't think so.\This place is packed!\The Top\I'll do it.\Idiot. What are you doing? response:	I'm sorry. I'm sorry.
context: That little guy.\Is he awesome, too?\No... I don't think so.\This place is packed!\The Top\I'll do it.\Idiot. What are you doing?\I'm sorry. I'm sorry. response:	It's fine...
context: Is he awesome, too?\No... I don't think so.\This place is packed!\The Top\I'll do it.\Idiot. What are you doing?\I'm sorry. I'm sorry.\It's fine... response:	This gym is huge!
context: No... I don't think so.\This place is packed!\The Top\I'll do it.\Idiot. What are you doing?\I'm sorry. I'm sorry.\It's fine...\This gym is huge! response:	It smells like Air Salonpas...
context: This place is packed!\The Top\I'll do it.\Idiot. What are you doing?\I'm sorry. I'm sorry.\It's fine...\This gym is huge!\It smells like Air Salonpas... response:	What are you talking about?
context: The Top\I'll do it.\Idiot. What are you doing?\I'm sorry. I'm sorry.\It's fine...\This gym is huge!\It smells like Air Salonpas...\What are you talking about? response:	That's the smell of tournaments.
context: I'll do it.\Idiot. What are you doing?\I'm sorry. I'm sorry.\It's fine...\This gym is huge!\It smells like Air Salonpas...\What are you talking about?\That's the smell of tournaments. response:	I know, right?
context: Idiot. What are you doing?\I'm sorry. I'm sorry.\It's fine...\This gym is huge!\It smells like Air Salonpas...\What are you talking about?\That's the smell of tournaments.\I know, right? response:	It's them.
context: I'm sorry. I'm sorry.\It's fine...\This gym is huge!\It smells like Air Salonpas...\What are you talking about?\That's the smell of tournaments.\I know, right?\It's them. response:	H-He's huge!
context: It's fine...\This gym is huge!\It smells like Air Salonpas...\What are you talking about?\That's the smell of tournaments.\I know, right?\It's them.\H-He's huge! response:	Dateko
context: This gym is huge!\It smells like Air Salonpas...\What are you talking about?\That's the smell of tournaments.\I know, right?\It's them.\H-He's huge!\Dateko response:	It's Date Kogyo.
context: It smells like Air Salonpas...\What are you talking about?\That's the smell of tournaments.\I know, right?\It's them.\H-He's huge!\Dateko\It's Date Kogyo. response:	He has no eyebrows.
context: What are you talking about?\That's the smell of tournaments.\I know, right?\It's them.\H-He's huge!\Dateko\It's Date Kogyo.\He has no eyebrows. response:	You got a problem?
context: That's the smell of tournaments.\I know, right?\It's them.\H-He's huge!\Dateko\It's Date Kogyo.\He has no eyebrows.\You got a problem? response:	Hey, hey, hey. Stop that.
context: I know, right?\It's them.\H-He's huge!\Dateko\It's Date Kogyo.\He has no eyebrows.\You got a problem?\Hey, hey, hey. Stop that. response:	I'm sorry. I'm sorry.
context: It's them.\H-He's huge!\Dateko\It's Date Kogyo.\He has no eyebrows.\You got a problem?\Hey, hey, hey. Stop that.\I'm sorry. I'm sorry. response:	No...
