context: It was difficult to write calligraphy on a boat, response:	so it was a good experience.
context: You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment?\Let's see...\Learning From The Past\It's this.\Okay, I'll write the example, so watch closely.\That's too close. response:	You ain't writin' all fuzzy like usual?
context: It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment?\Let's see...\Learning From The Past\It's this.\Okay, I'll write the example, so watch closely.\That's too close.\You ain't writin' all fuzzy like usual? response:	Learning From The Past
context: So, what's your assignment?\Let's see...\Learning From The Past\It's this.\Okay, I'll write the example, so watch closely.\That's too close.\You ain't writin' all fuzzy like usual?\Learning From The Past response:	Fuzzy...?
context: Let's see...\Learning From The Past\It's this.\Okay, I'll write the example, so watch closely.\That's too close.\You ain't writin' all fuzzy like usual?\Learning From The Past\Fuzzy...? response:	Everything begins with the fundamentals.
context: Learning From The Past\It's this.\Okay, I'll write the example, so watch closely.\That's too close.\You ain't writin' all fuzzy like usual?\Learning From The Past\Fuzzy...?\Everything begins with the fundamentals. response:	I wanna do writin' like that.
context: It's this.\Okay, I'll write the example, so watch closely.\That's too close.\You ain't writin' all fuzzy like usual?\Learning From The Past\Fuzzy...?\Everything begins with the fundamentals.\I wanna do writin' like that. response:	It's real showy!
context: Okay, I'll write the example, so watch closely.\That's too close.\You ain't writin' all fuzzy like usual?\Learning From The Past\Fuzzy...?\Everything begins with the fundamentals.\I wanna do writin' like that.\It's real showy! response:	MU (Nil)
context: That's too close.\You ain't writin' all fuzzy like usual?\Learning From The Past\Fuzzy...?\Everything begins with the fundamentals.\I wanna do writin' like that.\It's real showy!\MU (Nil) response:	Ah, I'm still perfecting that.
context: You ain't writin' all fuzzy like usual?\Learning From The Past\Fuzzy...?\Everything begins with the fundamentals.\I wanna do writin' like that.\It's real showy!\MU (Nil)\Ah, I'm still perfecting that. response:	Once it's done and acknowledged, then I'll instruct you in it.
context: Learning From The Past\Fuzzy...?\Everything begins with the fundamentals.\I wanna do writin' like that.\It's real showy!\MU (Nil)\Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it. response:	Acknowledged? By whom?
context: Fuzzy...?\Everything begins with the fundamentals.\I wanna do writin' like that.\It's real showy!\MU (Nil)\Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom? response:	Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.
context: Everything begins with the fundamentals.\I wanna do writin' like that.\It's real showy!\MU (Nil)\Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month. response:	Even if it don't win a prize, it looks plenty good to me.
context: I wanna do writin' like that.\It's real showy!\MU (Nil)\Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me. response:	Instead of fussin' over that stuff, I'd rather have fun writin'.
context: It's real showy!\MU (Nil)\Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'. response:	Have fun, huh...
context: MU (Nil)\Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh... response:	You three really are kids.
context: Ah, I'm still perfecting that.\Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh...\You three really are kids. response:	Here, you'll write this, Naru.
context: Once it's done and acknowledged, then I'll instruct you in it.\Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh...\You three really are kids.\Here, you'll write this, Naru. response:	Yay! Cat!
context: Acknowledged? By whom?\Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh...\You three really are kids.\Here, you'll write this, Naru.\Yay! Cat! response:	All right!
context: Until I win grand prize at the Naruka Institute Calligraphy Exhibition next month.\Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh...\You three really are kids.\Here, you'll write this, Naru.\Yay! Cat!\All right! response:	Now that I'm your teacher, you'll definitely win prizes.
context: Even if it don't win a prize, it looks plenty good to me.\Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh...\You three really are kids.\Here, you'll write this, Naru.\Yay! Cat!\All right!\Now that I'm your teacher, you'll definitely win prizes. response:	Once you do, you're sure to understand why
context: Instead of fussin' over that stuff, I'd rather have fun writin'.\Have fun, huh...\You three really are kids.\Here, you'll write this, Naru.\Yay! Cat!\All right!\Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why response:	I care so much about winning them.
context: Have fun, huh...\You three really are kids.\Here, you'll write this, Naru.\Yay! Cat!\All right!\Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why\I care so much about winning them. response:	You'll write for one full hour, starting now!
context: You three really are kids.\Here, you'll write this, Naru.\Yay! Cat!\All right!\Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why\I care so much about winning them.\You'll write for one full hour, starting now! response:	Focus.
context: Here, you'll write this, Naru.\Yay! Cat!\All right!\Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why\I care so much about winning them.\You'll write for one full hour, starting now!\Focus. response:	You can't apply ink twice.
context: Yay! Cat!\All right!\Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why\I care so much about winning them.\You'll write for one full hour, starting now!\Focus.\You can't apply ink twice. response:	That stroke shouldn't trail off.
context: All right!\Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why\I care so much about winning them.\You'll write for one full hour, starting now!\Focus.\You can't apply ink twice.\That stroke shouldn't trail off. response:	It should stop short.
context: Now that I'm your teacher, you'll definitely win prizes.\Once you do, you're sure to understand why\I care so much about winning them.\You'll write for one full hour, starting now!\Focus.\You can't apply ink twice.\That stroke shouldn't trail off.\It should stop short. response:	Don't sleep!
context: Once you do, you're sure to understand why\I care so much about winning them.\You'll write for one full hour, starting now!\Focus.\You can't apply ink twice.\That stroke shouldn't trail off.\It should stop short.\Don't sleep! response:	Man, I'm pooped!
context: I care so much about winning them.\You'll write for one full hour, starting now!\Focus.\You can't apply ink twice.\That stroke shouldn't trail off.\It should stop short.\Don't sleep!\Man, I'm pooped! response:	Hey, all of you! No slacking off!
context: You'll write for one full hour, starting now!\Focus.\You can't apply ink twice.\That stroke shouldn't trail off.\It should stop short.\Don't sleep!\Man, I'm pooped!\Hey, all of you! No slacking off! response:	You're the ones who asked for my help.
context: Focus.\You can't apply ink twice.\That stroke shouldn't trail off.\It should stop short.\Don't sleep!\Man, I'm pooped!\Hey, all of you! No slacking off!\You're the ones who asked for my help. response:	I won't let you get less than grand prize.
context: You can't apply ink twice.\That stroke shouldn't trail off.\It should stop short.\Don't sleep!\Man, I'm pooped!\Hey, all of you! No slacking off!\You're the ones who asked for my help.\I won't let you get less than grand prize. response:	But how many times are ya gonna make us write the same thing over and over?
context: That stroke shouldn't trail off.\It should stop short.\Don't sleep!\Man, I'm pooped!\Hey, all of you! No slacking off!\You're the ones who asked for my help.\I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over? response:	Isn't there a trick to writing well?
context: It should stop short.\Don't sleep!\Man, I'm pooped!\Hey, all of you! No slacking off!\You're the ones who asked for my help.\I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well? response:	You're naIve!
context: Don't sleep!\Man, I'm pooped!\Hey, all of you! No slacking off!\You're the ones who asked for my help.\I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well?\You're naIve! response:	Do you really think it's simple for professionals to write beautifully?!
context: Man, I'm pooped!\Hey, all of you! No slacking off!\You're the ones who asked for my help.\I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well?\You're naIve!\Do you really think it's simple for professionals to write beautifully?! response:	You need to understand the passion that goes into a single sheet of calligraphy.
context: Hey, all of you! No slacking off!\You're the ones who asked for my help.\I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well?\You're naIve!\Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy. response:	Thousands, millions, of predecessors
context: You're the ones who asked for my help.\I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well?\You're naIve!\Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors response:	have committed trillions, quadrillions, of thoughts to paper!
context: I won't let you get less than grand prize.\But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well?\You're naIve!\Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper! response:	Like who?
context: But how many times are ya gonna make us write the same thing over and over?\Isn't there a trick to writing well?\You're naIve!\Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper!\Like who? response:	Beats me.
context: Isn't there a trick to writing well?\You're naIve!\Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper!\Like who?\Beats me. response:	Despite physical fatigue and mental breakdown...
context: You're naIve!\Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper!\Like who?\Beats me.\Despite physical fatigue and mental breakdown... response:	You face the solitude single-mindedly!
context: Do you really think it's simple for professionals to write beautifully?!\You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper!\Like who?\Beats me.\Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly! response:	Yes, the utmost limit.
context: You need to understand the passion that goes into a single sheet of calligraphy.\Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper!\Like who?\Beats me.\Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly!\Yes, the utmost limit. response:	You see the utmost limit!
context: Thousands, millions, of predecessors\have committed trillions, quadrillions, of thoughts to paper!\Like who?\Beats me.\Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly!\Yes, the utmost limit.\You see the utmost limit! response:	Utmost limit...
context: have committed trillions, quadrillions, of thoughts to paper!\Like who?\Beats me.\Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly!\Yes, the utmost limit.\You see the utmost limit!\Utmost limit... response:	With each step...
context: Like who?\Beats me.\Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly!\Yes, the utmost limit.\You see the utmost limit!\Utmost limit...\With each step... response:	With each step, you get closer to perfection.
context: Beats me.\Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly!\Yes, the utmost limit.\You see the utmost limit!\Utmost limit...\With each step...\With each step, you get closer to perfection. response:	Yet an endless desert still stretches before you.
context: Despite physical fatigue and mental breakdown...\You face the solitude single-mindedly!\Yes, the utmost limit.\You see the utmost limit!\Utmost limit...\With each step...\With each step, you get closer to perfection.\Yet an endless desert still stretches before you. response:	You can walk no further. You're tired of writing.
context: You face the solitude single-mindedly!\Yes, the utmost limit.\You see the utmost limit!\Utmost limit...\With each step...\With each step, you get closer to perfection.\Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing. response:	The moment you think that,
context: Yes, the utmost limit.\You see the utmost limit!\Utmost limit...\With each step...\With each step, you get closer to perfection.\Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing.\The moment you think that, response:	you see it...
context: You see the utmost limit!\Utmost limit...\With each step...\With each step, you get closer to perfection.\Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing.\The moment you think that,\you see it... response:	The God of Calligraphy!
context: Utmost limit...\With each step...\With each step, you get closer to perfection.\Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing.\The moment you think that,\you see it...\The God of Calligraphy! response:	However, even that god is just another mirage in the desert!
context: With each step...\With each step, you get closer to perfection.\Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing.\The moment you think that,\you see it...\The God of Calligraphy!\However, even that god is just another mirage in the desert! response:	Never seen anyone hallucinate over calligraphy before.
context: With each step, you get closer to perfection.\Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing.\The moment you think that,\you see it...\The God of Calligraphy!\However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before. response:	Thing is,
context: Yet an endless desert still stretches before you.\You can walk no further. You're tired of writing.\The moment you think that,\you see it...\The God of Calligraphy!\However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before.\Thing is, response:	we don't wanna go that far just for a middle school assignment!
context: You can walk no further. You're tired of writing.\The moment you think that,\you see it...\The God of Calligraphy!\However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before.\Thing is,\we don't wanna go that far just for a middle school assignment! response:	Go buy us some drinks!
context: The moment you think that,\you see it...\The God of Calligraphy!\However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before.\Thing is,\we don't wanna go that far just for a middle school assignment!\Go buy us some drinks! response:	I knew you guys had no motivation
context: you see it...\The God of Calligraphy!\However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before.\Thing is,\we don't wanna go that far just for a middle school assignment!\Go buy us some drinks!\I knew you guys had no motivation response:	No, we do!
context: The God of Calligraphy!\However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before.\Thing is,\we don't wanna go that far just for a middle school assignment!\Go buy us some drinks!\I knew you guys had no motivation\No, we do! response:	We do, so let us rest already!
context: However, even that god is just another mirage in the desert!\Never seen anyone hallucinate over calligraphy before.\Thing is,\we don't wanna go that far just for a middle school assignment!\Go buy us some drinks!\I knew you guys had no motivation\No, we do!\We do, so let us rest already! response:	Sheesh!
context: Never seen anyone hallucinate over calligraphy before.\Thing is,\we don't wanna go that far just for a middle school assignment!\Go buy us some drinks!\I knew you guys had no motivation\No, we do!\We do, so let us rest already!\Sheesh! response:	Be sure you keep practicing until I return!
context: Thing is,\we don't wanna go that far just for a middle school assignment!\Go buy us some drinks!\I knew you guys had no motivation\No, we do!\We do, so let us rest already!\Sheesh!\Be sure you keep practicing until I return! response:	All right, all right!
context: we don't wanna go that far just for a middle school assignment!\Go buy us some drinks!\I knew you guys had no motivation\No, we do!\We do, so let us rest already!\Sheesh!\Be sure you keep practicing until I return!\All right, all right! response:	Sensei's an honest-to-goodness calligraphy nut.
context: Go buy us some drinks!\I knew you guys had no motivation\No, we do!\We do, so let us rest already!\Sheesh!\Be sure you keep practicing until I return!\All right, all right!\Sensei's an honest-to-goodness calligraphy nut. response:	Yah!
context: I knew you guys had no motivation\No, we do!\We do, so let us rest already!\Sheesh!\Be sure you keep practicing until I return!\All right, all right!\Sensei's an honest-to-goodness calligraphy nut.\Yah! response:	Ain't no way he can get a girlfriend like that.
context: No, we do!\We do, so let us rest already!\Sheesh!\Be sure you keep practicing until I return!\All right, all right!\Sensei's an honest-to-goodness calligraphy nut.\Yah!\Ain't no way he can get a girlfriend like that. response:	I don't know...
context: We do, so let us rest already!\Sheesh!\Be sure you keep practicing until I return!\All right, all right!\Sensei's an honest-to-goodness calligraphy nut.\Yah!\Ain't no way he can get a girlfriend like that.\I don't know... response:	He could have a long-distance relationship.
context: Sheesh!\Be sure you keep practicing until I return!\All right, all right!\Sensei's an honest-to-goodness calligraphy nut.\Yah!\Ain't no way he can get a girlfriend like that.\I don't know...\He could have a long-distance relationship. response:	Girlfriend?!
context: Be sure you keep practicing until I return!\All right, all right!\Sensei's an honest-to-goodness calligraphy nut.\Yah!\Ain't no way he can get a girlfriend like that.\I don't know...\He could have a long-distance relationship.\Girlfriend?! response:	Maybe I'll snoop around the room for evidence...
