context: Subaru, I'm coming in. response:	O-Ojou-sama, please wait one moment.
context: I believe in you, Jirou...\as my best friend.\We're best friends.\Is that so?\But I apologize.\Hm?\I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble. response:	You're right.
context: as my best friend.\We're best friends.\Is that so?\But I apologize.\Hm?\I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble.\You're right. response:	Ojou-sama said we should pursue newer, more extreme programs this semester.
context: We're best friends.\Is that so?\But I apologize.\Hm?\I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble.\You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester. response:	I humbly decline.
context: Is that so?\But I apologize.\Hm?\I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble.\You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline. response:	It can't be!
context: But I apologize.\Hm?\I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble.\You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline.\It can't be! response:	Move!
context: Hm?\I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble.\You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline.\It can't be!\Move! response:	You again?!
context: I didn't heal your gynophobia.\If it were that easy to heal, I wouldn't have gone through the trouble.\You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline.\It can't be!\Move!\You again?! response:	Jirou, look out!
context: If it were that easy to heal, I wouldn't have gone through the trouble.\You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline.\It can't be!\Move!\You again?!\Jirou, look out! response:	Konoe?
context: You're right.\Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline.\It can't be!\Move!\You again?!\Jirou, look out!\Konoe? response:	I just remembered when I performed CPR on you.
context: Ojou-sama said we should pursue newer, more extreme programs this semester.\I humbly decline.\It can't be!\Move!\You again?!\Jirou, look out!\Konoe?\I just remembered when I performed CPR on you. response:	Oh yeah, I kissed her...
context: I humbly decline.\It can't be!\Move!\You again?!\Jirou, look out!\Konoe?\I just remembered when I performed CPR on you.\Oh yeah, I kissed her... response:	Are you okay?
context: It can't be!\Move!\You again?!\Jirou, look out!\Konoe?\I just remembered when I performed CPR on you.\Oh yeah, I kissed her...\Are you okay? response:	It can't be.
context: Move!\You again?!\Jirou, look out!\Konoe?\I just remembered when I performed CPR on you.\Oh yeah, I kissed her...\Are you okay?\It can't be. response:	What are you doing?!
context: You again?!\Jirou, look out!\Konoe?\I just remembered when I performed CPR on you.\Oh yeah, I kissed her...\Are you okay?\It can't be.\What are you doing?! response:	Two guys kissing?
context: Jirou, look out!\Konoe?\I just remembered when I performed CPR on you.\Oh yeah, I kissed her...\Are you okay?\It can't be.\What are you doing?!\Two guys kissing? response:	And in the open too!
context: Konoe?\I just remembered when I performed CPR on you.\Oh yeah, I kissed her...\Are you okay?\It can't be.\What are you doing?!\Two guys kissing?\And in the open too! response:	What are you getting so excited for, Idiot-Chicken?
context: I just remembered when I performed CPR on you.\Oh yeah, I kissed her...\Are you okay?\It can't be.\What are you doing?!\Two guys kissing?\And in the open too!\What are you getting so excited for, Idiot-Chicken? response:	I just happened to land like this when I dodged.
context: Oh yeah, I kissed her...\Are you okay?\It can't be.\What are you doing?!\Two guys kissing?\And in the open too!\What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged. response:	I said to move.
context: Are you okay?\It can't be.\What are you doing?!\Two guys kissing?\And in the open too!\What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged.\I said to move. response:	But what's up with that bike?
context: It can't be.\What are you doing?!\Two guys kissing?\And in the open too!\What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged.\I said to move.\But what's up with that bike? response:	I bargained for a restoration.
context: What are you doing?!\Two guys kissing?\And in the open too!\What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged.\I said to move.\But what's up with that bike?\I bargained for a restoration. response:	Are you okay Subaru-sama?
context: Two guys kissing?\And in the open too!\What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged.\I said to move.\But what's up with that bike?\I bargained for a restoration.\Are you okay Subaru-sama? response:	Why is your tone different with him?
context: And in the open too!\What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged.\I said to move.\But what's up with that bike?\I bargained for a restoration.\Are you okay Subaru-sama?\Why is your tone different with him? response:	I'm not injured. How about you?
context: What are you getting so excited for, Idiot-Chicken?\I just happened to land like this when I dodged.\I said to move.\But what's up with that bike?\I bargained for a restoration.\Are you okay Subaru-sama?\Why is your tone different with him?\I'm not injured. How about you? response:	I'm f-f-fine.
context: I just happened to land like this when I dodged.\I said to move.\But what's up with that bike?\I bargained for a restoration.\Are you okay Subaru-sama?\Why is your tone different with him?\I'm not injured. How about you?\I'm f-f-fine. response:	I'm sorry!
context: I said to move.\But what's up with that bike?\I bargained for a restoration.\Are you okay Subaru-sama?\Why is your tone different with him?\I'm not injured. How about you?\I'm f-f-fine.\I'm sorry! response:	P-Please take this as an apology.
context: But what's up with that bike?\I bargained for a restoration.\Are you okay Subaru-sama?\Why is your tone different with him?\I'm not injured. How about you?\I'm f-f-fine.\I'm sorry!\P-Please take this as an apology. response:	Excuse me!
context: I bargained for a restoration.\Are you okay Subaru-sama?\Why is your tone different with him?\I'm not injured. How about you?\I'm f-f-fine.\I'm sorry!\P-Please take this as an apology.\Excuse me! response:	What was that all about?
context: Are you okay Subaru-sama?\Why is your tone different with him?\I'm not injured. How about you?\I'm f-f-fine.\I'm sorry!\P-Please take this as an apology.\Excuse me!\What was that all about? response:	What should I do with this?
context: Why is your tone different with him?\I'm not injured. How about you?\I'm f-f-fine.\I'm sorry!\P-Please take this as an apology.\Excuse me!\What was that all about?\What should I do with this? response:	Why don't you just eat it?
context: I'm not injured. How about you?\I'm f-f-fine.\I'm sorry!\P-Please take this as an apology.\Excuse me!\What was that all about?\What should I do with this?\Why don't you just eat it? response:	Since Usami just ate from there, wouldn't that be an indirect kiss?
context: I'm f-f-fine.\I'm sorry!\P-Please take this as an apology.\Excuse me!\What was that all about?\What should I do with this?\Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss? response:	Let's hurry, or else we'll be late.
context: I'm sorry!\P-Please take this as an apology.\Excuse me!\What was that all about?\What should I do with this?\Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late. response:	S-S-Sorry!
context: P-Please take this as an apology.\Excuse me!\What was that all about?\What should I do with this?\Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late.\S-S-Sorry! response:	I-It's fine.
context: Excuse me!\What was that all about?\What should I do with this?\Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late.\S-S-Sorry!\I-It's fine. response:	It's a miracle!
context: What was that all about?\What should I do with this?\Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late.\S-S-Sorry!\I-It's fine.\It's a miracle! response:	For you to have finished your homework!
context: What should I do with this?\Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late.\S-S-Sorry!\I-It's fine.\It's a miracle!\For you to have finished your homework! response:	Of course I did.
context: Why don't you just eat it?\Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late.\S-S-Sorry!\I-It's fine.\It's a miracle!\For you to have finished your homework!\Of course I did. response:	You were able to copy it as compensation for working at the maid cafe right?
context: Since Usami just ate from there, wouldn't that be an indirect kiss?\Let's hurry, or else we'll be late.\S-S-Sorry!\I-It's fine.\It's a miracle!\For you to have finished your homework!\Of course I did.\You were able to copy it as compensation for working at the maid cafe right? response:	Ehh?
context: Let's hurry, or else we'll be late.\S-S-Sorry!\I-It's fine.\It's a miracle!\For you to have finished your homework!\Of course I did.\You were able to copy it as compensation for working at the maid cafe right?\Ehh? response:	Yeah, that's right.
context: S-S-Sorry!\I-It's fine.\It's a miracle!\For you to have finished your homework!\Of course I did.\You were able to copy it as compensation for working at the maid cafe right?\Ehh?\Yeah, that's right. response:	How did you know?!
context: I-It's fine.\It's a miracle!\For you to have finished your homework!\Of course I did.\You were able to copy it as compensation for working at the maid cafe right?\Ehh?\Yeah, that's right.\How did you know?! response:	Actually, I have the ability to remember everything I hear.
context: It's a miracle!\For you to have finished your homework!\Of course I did.\You were able to copy it as compensation for working at the maid cafe right?\Ehh?\Yeah, that's right.\How did you know?!\Actually, I have the ability to remember everything I hear. response:	You sound scary right now.
context: For you to have finished your homework!\Of course I did.\You were able to copy it as compensation for working at the maid cafe right?\Ehh?\Yeah, that's right.\How did you know?!\Actually, I have the ability to remember everything I hear.\You sound scary right now. response:	Ojou-sama, class will be starting soon.
context: Of course I did.\You were able to copy it as compensation for working at the maid cafe right?\Ehh?\Yeah, that's right.\How did you know?!\Actually, I have the ability to remember everything I hear.\You sound scary right now.\Ojou-sama, class will be starting soon. response:	Thank you.
context: You were able to copy it as compensation for working at the maid cafe right?\Ehh?\Yeah, that's right.\How did you know?!\Actually, I have the ability to remember everything I hear.\You sound scary right now.\Ojou-sama, class will be starting soon.\Thank you. response:	Oh yeah, Jirou-kun.
context: Ehh?\Yeah, that's right.\How did you know?!\Actually, I have the ability to remember everything I hear.\You sound scary right now.\Ojou-sama, class will be starting soon.\Thank you.\Oh yeah, Jirou-kun. response:	You're going to eat lunch with Subaru, right?
context: Yeah, that's right.\How did you know?!\Actually, I have the ability to remember everything I hear.\You sound scary right now.\Ojou-sama, class will be starting soon.\Thank you.\Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right? response:	Let me join you as well.
context: How did you know?!\Actually, I have the ability to remember everything I hear.\You sound scary right now.\Ojou-sama, class will be starting soon.\Thank you.\Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right?\Let me join you as well. response:	Here you go.
context: Actually, I have the ability to remember everything I hear.\You sound scary right now.\Ojou-sama, class will be starting soon.\Thank you.\Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right?\Let me join you as well.\Here you go. response:	What an amazing lunch.
context: You sound scary right now.\Ojou-sama, class will be starting soon.\Thank you.\Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right?\Let me join you as well.\Here you go.\What an amazing lunch. response:	You don't need to hold yourself back.
context: Ojou-sama, class will be starting soon.\Thank you.\Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right?\Let me join you as well.\Here you go.\What an amazing lunch.\You don't need to hold yourself back. response:	I'll split it up.
context: Thank you.\Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right?\Let me join you as well.\Here you go.\What an amazing lunch.\You don't need to hold yourself back.\I'll split it up. response:	Along with Subaru's.
context: Oh yeah, Jirou-kun.\You're going to eat lunch with Subaru, right?\Let me join you as well.\Here you go.\What an amazing lunch.\You don't need to hold yourself back.\I'll split it up.\Along with Subaru's. response:	Ojou-sama, allow me do it.
context: You're going to eat lunch with Subaru, right?\Let me join you as well.\Here you go.\What an amazing lunch.\You don't need to hold yourself back.\I'll split it up.\Along with Subaru's.\Ojou-sama, allow me do it. response:	It's fine.
context: Let me join you as well.\Here you go.\What an amazing lunch.\You don't need to hold yourself back.\I'll split it up.\Along with Subaru's.\Ojou-sama, allow me do it.\It's fine. response:	Eat.
context: Here you go.\What an amazing lunch.\You don't need to hold yourself back.\I'll split it up.\Along with Subaru's.\Ojou-sama, allow me do it.\It's fine.\Eat. response:	Here you are.
context: What an amazing lunch.\You don't need to hold yourself back.\I'll split it up.\Along with Subaru's.\Ojou-sama, allow me do it.\It's fine.\Eat.\Here you are. response:	How is it?
context: You don't need to hold yourself back.\I'll split it up.\Along with Subaru's.\Ojou-sama, allow me do it.\It's fine.\Eat.\Here you are.\How is it? response:	Delicious!
context: I'll split it up.\Along with Subaru's.\Ojou-sama, allow me do it.\It's fine.\Eat.\Here you are.\How is it?\Delicious! response:	This succulent meat covered with a creamy sauce has an incredible flavor.
context: Along with Subaru's.\Ojou-sama, allow me do it.\It's fine.\Eat.\Here you are.\How is it?\Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor. response:	What kind of food is this?
context: Ojou-sama, allow me do it.\It's fine.\Eat.\Here you are.\How is it?\Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this? response:	It's just an ordinary cream stew.
context: It's fine.\Eat.\Here you are.\How is it?\Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this?\It's just an ordinary cream stew. response:	It's hot.
context: Eat.\Here you are.\How is it?\Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this?\It's just an ordinary cream stew.\It's hot. response:	Konoe?
context: Here you are.\How is it?\Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this?\It's just an ordinary cream stew.\It's hot.\Konoe? response:	It's hot.
context: How is it?\Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this?\It's just an ordinary cream stew.\It's hot.\Konoe?\It's hot. response:	Ah! Stop!
context: Delicious!\This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this?\It's just an ordinary cream stew.\It's hot.\Konoe?\It's hot.\Ah! Stop! response:	It's hot.
context: This succulent meat covered with a creamy sauce has an incredible flavor.\What kind of food is this?\It's just an ordinary cream stew.\It's hot.\Konoe?\It's hot.\Ah! Stop!\It's hot. response:	Suzutsuki, why is Konoe acting like that?!
context: What kind of food is this?\It's just an ordinary cream stew.\It's hot.\Konoe?\It's hot.\Ah! Stop!\It's hot.\Suzutsuki, why is Konoe acting like that?! response:	Maybe it's the white wine I used for the flavor.
context: It's just an ordinary cream stew.\It's hot.\Konoe?\It's hot.\Ah! Stop!\It's hot.\Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor. response:	I didn't add that much, but she still ended up like this.
context: It's hot.\Konoe?\It's hot.\Ah! Stop!\It's hot.\Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this. response:	She's too sensitive!
context: Konoe?\It's hot.\Ah! Stop!\It's hot.\Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this.\She's too sensitive! response:	What's wrong with being sensitive?
context: It's hot.\Ah! Stop!\It's hot.\Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this.\She's too sensitive!\What's wrong with being sensitive? response:	Oh, he got dirty with sauce.
context: Ah! Stop!\It's hot.\Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this.\She's too sensitive!\What's wrong with being sensitive?\Oh, he got dirty with sauce. response:	Subaru, clean it up.
context: It's hot.\Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this.\She's too sensitive!\What's wrong with being sensitive?\Oh, he got dirty with sauce.\Subaru, clean it up. response:	Understood, Ojou-sama.
context: Suzutsuki, why is Konoe acting like that?!\Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this.\She's too sensitive!\What's wrong with being sensitive?\Oh, he got dirty with sauce.\Subaru, clean it up.\Understood, Ojou-sama. response:	Stop!
context: Maybe it's the white wine I used for the flavor.\I didn't add that much, but she still ended up like this.\She's too sensitive!\What's wrong with being sensitive?\Oh, he got dirty with sauce.\Subaru, clean it up.\Understood, Ojou-sama.\Stop! response:	This sauce is delicious.
context: I didn't add that much, but she still ended up like this.\She's too sensitive!\What's wrong with being sensitive?\Oh, he got dirty with sauce.\Subaru, clean it up.\Understood, Ojou-sama.\Stop!\This sauce is delicious. response:	Right?
context: She's too sensitive!\What's wrong with being sensitive?\Oh, he got dirty with sauce.\Subaru, clean it up.\Understood, Ojou-sama.\Stop!\This sauce is delicious.\Right? response:	Please stop.
context: What's wrong with being sensitive?\Oh, he got dirty with sauce.\Subaru, clean it up.\Understood, Ojou-sama.\Stop!\This sauce is delicious.\Right?\Please stop. response:	But it's good.
context: Oh, he got dirty with sauce.\Subaru, clean it up.\Understood, Ojou-sama.\Stop!\This sauce is delicious.\Right?\Please stop.\But it's good. response:	Suzutsuki, do something.
context: Subaru, clean it up.\Understood, Ojou-sama.\Stop!\This sauce is delicious.\Right?\Please stop.\But it's good.\Suzutsuki, do something. response:	If I do something, this won't be considered treatment.
context: Understood, Ojou-sama.\Stop!\This sauce is delicious.\Right?\Please stop.\But it's good.\Suzutsuki, do something.\If I do something, this won't be considered treatment. response:	Hey, I'm your best friend, right?
context: Stop!\This sauce is delicious.\Right?\Please stop.\But it's good.\Suzutsuki, do something.\If I do something, this won't be considered treatment.\Hey, I'm your best friend, right? response:	I also think of you as my best friend.
context: This sauce is delicious.\Right?\Please stop.\But it's good.\Suzutsuki, do something.\If I do something, this won't be considered treatment.\Hey, I'm your best friend, right?\I also think of you as my best friend. response:	So please stop.
context: Right?\Please stop.\But it's good.\Suzutsuki, do something.\If I do something, this won't be considered treatment.\Hey, I'm your best friend, right?\I also think of you as my best friend.\So please stop. response:	I don't want to ruin our relationship.
context: Please stop.\But it's good.\Suzutsuki, do something.\If I do something, this won't be considered treatment.\Hey, I'm your best friend, right?\I also think of you as my best friend.\So please stop.\I don't want to ruin our relationship. response:	Ow!
context: But it's good.\Suzutsuki, do something.\If I do something, this won't be considered treatment.\Hey, I'm your best friend, right?\I also think of you as my best friend.\So please stop.\I don't want to ruin our relationship.\Ow! response:	Shut up!
context: Suzutsuki, do something.\If I do something, this won't be considered treatment.\Hey, I'm your best friend, right?\I also think of you as my best friend.\So please stop.\I don't want to ruin our relationship.\Ow!\Shut up! response:	It's your fault for saying that.
context: If I do something, this won't be considered treatment.\Hey, I'm your best friend, right?\I also think of you as my best friend.\So please stop.\I don't want to ruin our relationship.\Ow!\Shut up!\It's your fault for saying that. response:	Saying that?
context: Hey, I'm your best friend, right?\I also think of you as my best friend.\So please stop.\I don't want to ruin our relationship.\Ow!\Shut up!\It's your fault for saying that.\Saying that? response:	Jirou, I have something to tell you.
context: I also think of you as my best friend.\So please stop.\I don't want to ruin our relationship.\Ow!\Shut up!\It's your fault for saying that.\Saying that?\Jirou, I have something to tell you. response:	What are we going to do about her?
context: So please stop.\I don't want to ruin our relationship.\Ow!\Shut up!\It's your fault for saying that.\Saying that?\Jirou, I have something to tell you.\What are we going to do about her? response:	Suzutsuki?
context: I don't want to ruin our relationship.\Ow!\Shut up!\It's your fault for saying that.\Saying that?\Jirou, I have something to tell you.\What are we going to do about her?\Suzutsuki? response:	We should let her rest a little.
context: Ow!\Shut up!\It's your fault for saying that.\Saying that?\Jirou, I have something to tell you.\What are we going to do about her?\Suzutsuki?\We should let her rest a little. response:	Can you take her to the nurse's office?
context: Shut up!\It's your fault for saying that.\Saying that?\Jirou, I have something to tell you.\What are we going to do about her?\Suzutsuki?\We should let her rest a little.\Can you take her to the nurse's office? response:	This isn't a girl.
context: It's your fault for saying that.\Saying that?\Jirou, I have something to tell you.\What are we going to do about her?\Suzutsuki?\We should let her rest a little.\Can you take her to the nurse's office?\This isn't a girl. response:	I want to turn into a bug. Turn into a bug!
context: Saying that?\Jirou, I have something to tell you.\What are we going to do about her?\Suzutsuki?\We should let her rest a little.\Can you take her to the nurse's office?\This isn't a girl.\I want to turn into a bug. Turn into a bug! response:	What was she going to say back then?
context: Jirou, I have something to tell you.\What are we going to do about her?\Suzutsuki?\We should let her rest a little.\Can you take her to the nurse's office?\This isn't a girl.\I want to turn into a bug. Turn into a bug!\What was she going to say back then? response:	What a sight for sore eyes.
context: What are we going to do about her?\Suzutsuki?\We should let her rest a little.\Can you take her to the nurse's office?\This isn't a girl.\I want to turn into a bug. Turn into a bug!\What was she going to say back then?\What a sight for sore eyes. response:	It's only the beginning of the semester and I've already seen something great.
context: Suzutsuki?\We should let her rest a little.\Can you take her to the nurse's office?\This isn't a girl.\I want to turn into a bug. Turn into a bug!\What was she going to say back then?\What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great. response:	A bespectacled man carrying a battle-weary boy holding on for dear life-
context: We should let her rest a little.\Can you take her to the nurse's office?\This isn't a girl.\I want to turn into a bug. Turn into a bug!\What was she going to say back then?\What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life- response:	Shut up!
context: Can you take her to the nurse's office?\This isn't a girl.\I want to turn into a bug. Turn into a bug!\What was she going to say back then?\What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up! response:	Jirou-kun!
context: This isn't a girl.\I want to turn into a bug. Turn into a bug!\What was she going to say back then?\What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up!\Jirou-kun! response:	If it's about Konoe, I let her sleep in the nurse's office.
