context: Gotcha! response:	Stick with your close range weapons!
context: You should feel honored.\This is great to watch, you hear?\Keep going!\Of course.\What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em!\It's not that easy! It's not like you're\S-Sorry! response:	We'll hit allies with arrows if this turns into a melee!
context: This is great to watch, you hear?\Keep going!\Of course.\What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em!\It's not that easy! It's not like you're\S-Sorry!\We'll hit allies with arrows if this turns into a melee! response:	Use swords!
context: Keep going!\Of course.\What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em!\It's not that easy! It's not like you're\S-Sorry!\We'll hit allies with arrows if this turns into a melee!\Use swords! response:	S-Sorry!
context: Of course.\What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em!\It's not that easy! It's not like you're\S-Sorry!\We'll hit allies with arrows if this turns into a melee!\Use swords!\S-Sorry! response:	Ma-Marque, Em
context: What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em!\It's not that easy! It's not like you're\S-Sorry!\We'll hit allies with arrows if this turns into a melee!\Use swords!\S-Sorry!\Ma-Marque, Em response:	Parc.
context: Get'em and stab! Stick'em!\It's not that easy! It's not like you're\S-Sorry!\We'll hit allies with arrows if this turns into a melee!\Use swords!\S-Sorry!\Ma-Marque, Em\Parc. response:	Are you okay?
context: It's not that easy! It's not like you're\S-Sorry!\We'll hit allies with arrows if this turns into a melee!\Use swords!\S-Sorry!\Ma-Marque, Em\Parc.\Are you okay? response:	Can you stand?
context: S-Sorry!\We'll hit allies with arrows if this turns into a melee!\Use swords!\S-Sorry!\Ma-Marque, Em\Parc.\Are you okay?\Can you stand? response:	I-I'm sorry...
context: We'll hit allies with arrows if this turns into a melee!\Use swords!\S-Sorry!\Ma-Marque, Em\Parc.\Are you okay?\Can you stand?\I-I'm sorry... response:	I'll heal you, just in case.
context: Use swords!\S-Sorry!\Ma-Marque, Em\Parc.\Are you okay?\Can you stand?\I-I'm sorry...\I'll heal you, just in case. response:	O light, return to Lumiaris' divine protection. Cure!
context: S-Sorry!\Ma-Marque, Em\Parc.\Are you okay?\Can you stand?\I-I'm sorry...\I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure! response:	S-Sorry!
context: Ma-Marque, Em\Parc.\Are you okay?\Can you stand?\I-I'm sorry...\I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure!\S-Sorry! response:	This is a battle of life or death!
context: Parc.\Are you okay?\Can you stand?\I-I'm sorry...\I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure!\S-Sorry!\This is a battle of life or death! response:	Everybody!
context: Are you okay?\Can you stand?\I-I'm sorry...\I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure!\S-Sorry!\This is a battle of life or death!\Everybody! response:	Both us and the goblins are fighting a real battle for our lives!
context: Can you stand?\I-I'm sorry...\I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure!\S-Sorry!\This is a battle of life or death!\Everybody!\Both us and the goblins are fighting a real battle for our lives! response:	It doesn't get more serious than this!
context: I-I'm sorry...\I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure!\S-Sorry!\This is a battle of life or death!\Everybody!\Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this! response:	No living thing wants to die!
context: I'll heal you, just in case.\O light, return to Lumiaris' divine protection. Cure!\S-Sorry!\This is a battle of life or death!\Everybody!\Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this!\No living thing wants to die! response:	We're all out of breath, even though we haven't exerted ourselves much.
context: O light, return to Lumiaris' divine protection. Cure!\S-Sorry!\This is a battle of life or death!\Everybody!\Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this!\No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much. response:	What's going on?!
context: S-Sorry!\This is a battle of life or death!\Everybody!\Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this!\No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much.\What's going on?! response:	Aren't goblins the weakest monsters in Grimgar?
context: This is a battle of life or death!\Everybody!\Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this!\No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much.\What's going on?!\Aren't goblins the weakest monsters in Grimgar? response:	Yeah, they're supposed to be...
context: Everybody!\Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this!\No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much.\What's going on?!\Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be... response:	I don't want to admit it...
context: Both us and the goblins are fighting a real battle for our lives!\It doesn't get more serious than this!\No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much.\What's going on?!\Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be...\I don't want to admit it... response:	Awaken.
context: It doesn't get more serious than this!\No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much.\What's going on?!\Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be...\I don't want to admit it...\Awaken. response:	Awaken.
context: No living thing wants to die!\We're all out of breath, even though we haven't exerted ourselves much.\What's going on?!\Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be...\I don't want to admit it...\Awaken.\Awaken. response:	Awaken.
context: We're all out of breath, even though we haven't exerted ourselves much.\What's going on?!\Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be...\I don't want to admit it...\Awaken.\Awaken.\Awaken. response:	How long are you gonna sleep, Haruhiro?
context: What's going on?!\Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be...\I don't want to admit it...\Awaken.\Awaken.\Awaken.\How long are you gonna sleep, Haruhiro? response:	The sun's high.
context: Aren't goblins the weakest monsters in Grimgar?\Yeah, they're supposed to be...\I don't want to admit it...\Awaken.\Awaken.\Awaken.\How long are you gonna sleep, Haruhiro?\The sun's high. response:	It's the morning.
context: Yeah, they're supposed to be...\I don't want to admit it...\Awaken.\Awaken.\Awaken.\How long are you gonna sleep, Haruhiro?\The sun's high.\It's the morning. response:	Aren't you forgetting something?
context: I don't want to admit it...\Awaken.\Awaken.\Awaken.\How long are you gonna sleep, Haruhiro?\The sun's high.\It's the morning.\Aren't you forgetting something? response:	The morning.
context: Awaken.\Awaken.\Awaken.\How long are you gonna sleep, Haruhiro?\The sun's high.\It's the morning.\Aren't you forgetting something?\The morning. response:	Cock-a-doodle-doo.
context: Awaken.\Awaken.\How long are you gonna sleep, Haruhiro?\The sun's high.\It's the morning.\Aren't you forgetting something?\The morning.\Cock-a-doodle-doo. response:	What's with the sleepy eyes?
context: Awaken.\How long are you gonna sleep, Haruhiro?\The sun's high.\It's the morning.\Aren't you forgetting something?\The morning.\Cock-a-doodle-doo.\What's with the sleepy eyes? response:	I was born with eyes like this.
context: How long are you gonna sleep, Haruhiro?\The sun's high.\It's the morning.\Aren't you forgetting something?\The morning.\Cock-a-doodle-doo.\What's with the sleepy eyes?\I was born with eyes like this. response:	It doesn't mean I'm sleepy, I've told you before!
context: The sun's high.\It's the morning.\Aren't you forgetting something?\The morning.\Cock-a-doodle-doo.\What's with the sleepy eyes?\I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before! response:	Liar, no doubt you're still sleepy.
context: It's the morning.\Aren't you forgetting something?\The morning.\Cock-a-doodle-doo.\What's with the sleepy eyes?\I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy. response:	Hey, you awake?
context: Aren't you forgetting something?\The morning.\Cock-a-doodle-doo.\What's with the sleepy eyes?\I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy.\Hey, you awake? response:	Once you both get dressed, will you come to the courtyard?
context: The morning.\Cock-a-doodle-doo.\What's with the sleepy eyes?\I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy.\Hey, you awake?\Once you both get dressed, will you come to the courtyard? response:	It's time for breakfast.
context: Cock-a-doodle-doo.\What's with the sleepy eyes?\I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy.\Hey, you awake?\Once you both get dressed, will you come to the courtyard?\It's time for breakfast. response:	Oh no...
context: What's with the sleepy eyes?\I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy.\Hey, you awake?\Once you both get dressed, will you come to the courtyard?\It's time for breakfast.\Oh no... response:	I was on breakfast duty...
context: I was born with eyes like this.\It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy.\Hey, you awake?\Once you both get dressed, will you come to the courtyard?\It's time for breakfast.\Oh no...\I was on breakfast duty... response:	Don't worry, I switched with you.
context: It doesn't mean I'm sleepy, I've told you before!\Liar, no doubt you're still sleepy.\Hey, you awake?\Once you both get dressed, will you come to the courtyard?\It's time for breakfast.\Oh no...\I was on breakfast duty...\Don't worry, I switched with you. response:	You seemed pretty tired from yesterday's fight.
context: Liar, no doubt you're still sleepy.\Hey, you awake?\Once you both get dressed, will you come to the courtyard?\It's time for breakfast.\Oh no...\I was on breakfast duty...\Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight. response:	Sorry about that, Manato.
context: Hey, you awake?\Once you both get dressed, will you come to the courtyard?\It's time for breakfast.\Oh no...\I was on breakfast duty...\Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight.\Sorry about that, Manato. response:	You don't seem that sorry, Haruhiro.
context: Once you both get dressed, will you come to the courtyard?\It's time for breakfast.\Oh no...\I was on breakfast duty...\Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight.\Sorry about that, Manato.\You don't seem that sorry, Haruhiro. response:	Aren't you on duty, too?
context: It's time for breakfast.\Oh no...\I was on breakfast duty...\Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight.\Sorry about that, Manato.\You don't seem that sorry, Haruhiro.\Aren't you on duty, too? response:	You should go.
context: Oh no...\I was on breakfast duty...\Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight.\Sorry about that, Manato.\You don't seem that sorry, Haruhiro.\Aren't you on duty, too?\You should go. response:	Well...
context: I was on breakfast duty...\Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight.\Sorry about that, Manato.\You don't seem that sorry, Haruhiro.\Aren't you on duty, too?\You should go.\Well... response:	When I woke up Moguzo had traded with me.
context: Don't worry, I switched with you.\You seemed pretty tired from yesterday's fight.\Sorry about that, Manato.\You don't seem that sorry, Haruhiro.\Aren't you on duty, too?\You should go.\Well...\When I woke up Moguzo had traded with me. response:	What?
context: You seemed pretty tired from yesterday's fight.\Sorry about that, Manato.\You don't seem that sorry, Haruhiro.\Aren't you on duty, too?\You should go.\Well...\When I woke up Moguzo had traded with me.\What? response:	I can't believe you can still harp on me.
context: Sorry about that, Manato.\You don't seem that sorry, Haruhiro.\Aren't you on duty, too?\You should go.\Well...\When I woke up Moguzo had traded with me.\What?\I can't believe you can still harp on me. response:	It's obvious.
context: You don't seem that sorry, Haruhiro.\Aren't you on duty, too?\You should go.\Well...\When I woke up Moguzo had traded with me.\What?\I can't believe you can still harp on me.\It's obvious. response:	If you don't get up, I won't get my morning grub.
context: Aren't you on duty, too?\You should go.\Well...\When I woke up Moguzo had traded with me.\What?\I can't believe you can still harp on me.\It's obvious.\If you don't get up, I won't get my morning grub. response:	It's starting to smell mighty good.
context: You should go.\Well...\When I woke up Moguzo had traded with me.\What?\I can't believe you can still harp on me.\It's obvious.\If you don't get up, I won't get my morning grub.\It's starting to smell mighty good. response:	I enjoy cooking.
context: Well...\When I woke up Moguzo had traded with me.\What?\I can't believe you can still harp on me.\It's obvious.\If you don't get up, I won't get my morning grub.\It's starting to smell mighty good.\I enjoy cooking. response:	I rather enjoy taste-testing, too!
context: When I woke up Moguzo had traded with me.\What?\I can't believe you can still harp on me.\It's obvious.\If you don't get up, I won't get my morning grub.\It's starting to smell mighty good.\I enjoy cooking.\I rather enjoy taste-testing, too! response:	Yume, Moguzo.
context: What?\I can't believe you can still harp on me.\It's obvious.\If you don't get up, I won't get my morning grub.\It's starting to smell mighty good.\I enjoy cooking.\I rather enjoy taste-testing, too!\Yume, Moguzo. response:	I gathered these on our way back yesterday.
context: I can't believe you can still harp on me.\It's obvious.\If you don't get up, I won't get my morning grub.\It's starting to smell mighty good.\I enjoy cooking.\I rather enjoy taste-testing, too!\Yume, Moguzo.\I gathered these on our way back yesterday. response:	Will these work as additional ingredients?
context: It's obvious.\If you don't get up, I won't get my morning grub.\It's starting to smell mighty good.\I enjoy cooking.\I rather enjoy taste-testing, too!\Yume, Moguzo.\I gathered these on our way back yesterday.\Will these work as additional ingredients? response:	I-I can...
context: If you don't get up, I won't get my morning grub.\It's starting to smell mighty good.\I enjoy cooking.\I rather enjoy taste-testing, too!\Yume, Moguzo.\I gathered these on our way back yesterday.\Will these work as additional ingredients?\I-I can... response:	Then, Shihoru, I'll leave it to you.
context: It's starting to smell mighty good.\I enjoy cooking.\I rather enjoy taste-testing, too!\Yume, Moguzo.\I gathered these on our way back yesterday.\Will these work as additional ingredients?\I-I can...\Then, Shihoru, I'll leave it to you. response:	Is it a little under-salted?
context: I enjoy cooking.\I rather enjoy taste-testing, too!\Yume, Moguzo.\I gathered these on our way back yesterday.\Will these work as additional ingredients?\I-I can...\Then, Shihoru, I'll leave it to you.\Is it a little under-salted? response:	I think it's yummy.
context: I rather enjoy taste-testing, too!\Yume, Moguzo.\I gathered these on our way back yesterday.\Will these work as additional ingredients?\I-I can...\Then, Shihoru, I'll leave it to you.\Is it a little under-salted?\I think it's yummy. response:	Salt's also pretty pricey...
context: Yume, Moguzo.\I gathered these on our way back yesterday.\Will these work as additional ingredients?\I-I can...\Then, Shihoru, I'll leave it to you.\Is it a little under-salted?\I think it's yummy.\Salt's also pretty pricey... response:	Let's try to be frugal until we're able to earn money.
context: I gathered these on our way back yesterday.\Will these work as additional ingredients?\I-I can...\Then, Shihoru, I'll leave it to you.\Is it a little under-salted?\I think it's yummy.\Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money. response:	I mean, we haven't even defeated one monster.
context: Will these work as additional ingredients?\I-I can...\Then, Shihoru, I'll leave it to you.\Is it a little under-salted?\I think it's yummy.\Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster. response:	Oh, yeah...
context: I-I can...\Then, Shihoru, I'll leave it to you.\Is it a little under-salted?\I think it's yummy.\Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster.\Oh, yeah... response:	Haruhiro and Ranta, are you both okay?
context: Then, Shihoru, I'll leave it to you.\Is it a little under-salted?\I think it's yummy.\Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster.\Oh, yeah...\Haruhiro and Ranta, are you both okay? response:	My Light Magic can heal wounds, but it won't replenish lost blood.
context: Is it a little under-salted?\I think it's yummy.\Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster.\Oh, yeah...\Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood. response:	No problems here. I'm fit as a fiddle.
context: I think it's yummy.\Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster.\Oh, yeah...\Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle. response:	I get a little dizzy, but I'm okay.
context: Salt's also pretty pricey...\Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster.\Oh, yeah...\Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay. response:	Great.
context: Let's try to be frugal until we're able to earn money.\I mean, we haven't even defeated one monster.\Oh, yeah...\Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay.\Great. response:	Why don't we try the forest today again?
context: I mean, we haven't even defeated one monster.\Oh, yeah...\Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay.\Great.\Why don't we try the forest today again? response:	We were against two goblins yesterday.
context: Oh, yeah...\Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay.\Great.\Why don't we try the forest today again?\We were against two goblins yesterday. response:	That might be too hard for us right now.
context: Haruhiro and Ranta, are you both okay?\My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay.\Great.\Why don't we try the forest today again?\We were against two goblins yesterday.\That might be too hard for us right now. response:	Let's try going for a loner.
context: My Light Magic can heal wounds, but it won't replenish lost blood.\No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay.\Great.\Why don't we try the forest today again?\We were against two goblins yesterday.\That might be too hard for us right now.\Let's try going for a loner. response:	That'll take too long.
context: No problems here. I'm fit as a fiddle.\I get a little dizzy, but I'm okay.\Great.\Why don't we try the forest today again?\We were against two goblins yesterday.\That might be too hard for us right now.\Let's try going for a loner.\That'll take too long. response:	If we keep running, it'll take forever to accumulate my first Vices.
context: I get a little dizzy, but I'm okay.\Great.\Why don't we try the forest today again?\We were against two goblins yesterday.\That might be too hard for us right now.\Let's try going for a loner.\That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices. response:	Renji and his group are moving ahead without hiccups, too.
context: Great.\Why don't we try the forest today again?\We were against two goblins yesterday.\That might be too hard for us right now.\Let's try going for a loner.\That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too. response:	It's better than overdoing it and getting hurt like yesterday.
context: Why don't we try the forest today again?\We were against two goblins yesterday.\That might be too hard for us right now.\Let's try going for a loner.\That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday. response:	This isn't a game.
context: We were against two goblins yesterday.\That might be too hard for us right now.\Let's try going for a loner.\That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday.\This isn't a game. response:	A game?
context: That might be too hard for us right now.\Let's try going for a loner.\That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday.\This isn't a game.\A game? response:	Manato, what's a game?
context: Let's try going for a loner.\That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday.\This isn't a game.\A game?\Manato, what's a game? response:	But I just used that word, huh.
context: That'll take too long.\If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday.\This isn't a game.\A game?\Manato, what's a game?\But I just used that word, huh. response:	It felt like the right thing at the time, but...
context: If we keep running, it'll take forever to accumulate my first Vices.\Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday.\This isn't a game.\A game?\Manato, what's a game?\But I just used that word, huh.\It felt like the right thing at the time, but... response:	Game...
context: Renji and his group are moving ahead without hiccups, too.\It's better than overdoing it and getting hurt like yesterday.\This isn't a game.\A game?\Manato, what's a game?\But I just used that word, huh.\It felt like the right thing at the time, but...\Game... response:	Things like this happen to us sometimes.
context: It's better than overdoing it and getting hurt like yesterday.\This isn't a game.\A game?\Manato, what's a game?\But I just used that word, huh.\It felt like the right thing at the time, but...\Game...\Things like this happen to us sometimes. response:	We impulsively use words that seem familiar, but we don't know the meaning of them.
context: This isn't a game.\A game?\Manato, what's a game?\But I just used that word, huh.\It felt like the right thing at the time, but...\Game...\Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them. response:	It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.
context: A game?\Manato, what's a game?\But I just used that word, huh.\It felt like the right thing at the time, but...\Game...\Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out. response:	When I first came to the world of Grimgar...
context: Manato, what's a game?\But I just used that word, huh.\It felt like the right thing at the time, but...\Game...\Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.\When I first came to the world of Grimgar... response:	Well, I don't actually know where I came from either.
context: But I just used that word, huh.\It felt like the right thing at the time, but...\Game...\Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.\When I first came to the world of Grimgar...\Well, I don't actually know where I came from either. response:	Anyway, I'll tell you about my oldest memory.
context: It felt like the right thing at the time, but...\Game...\Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.\When I first came to the world of Grimgar...\Well, I don't actually know where I came from either.\Anyway, I'll tell you about my oldest memory. response:	It was actually only from a couple of days ago.
context: Game...\Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.\When I first came to the world of Grimgar...\Well, I don't actually know where I came from either.\Anyway, I'll tell you about my oldest memory.\It was actually only from a couple of days ago. response:	Awaken.
context: Things like this happen to us sometimes.\We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.\When I first came to the world of Grimgar...\Well, I don't actually know where I came from either.\Anyway, I'll tell you about my oldest memory.\It was actually only from a couple of days ago.\Awaken. response:	I can't remember anything from before this.
context: We impulsively use words that seem familiar, but we don't know the meaning of them.\It makes us uneasy, like when something gets a little stuck in your throat and you can't get it out.\When I first came to the world of Grimgar...\Well, I don't actually know where I came from either.\Anyway, I'll tell you about my oldest memory.\It was actually only from a couple of days ago.\Awaken.\I can't remember anything from before this. response:	I didn't know why I was here...
