context: It is the end of the 1990's. response:	Japan was suffering the greatest economic recession since the War.
context: But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents; response:	The incident where Miyazawa Yukino was ignored by all the girls in the class,...
context: The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,... response:	A series of physical attacks from the envious Shibahime Tsubasa,...
context: The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,... response:	The brief separation from Arima due to summer club activities;
context: hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities; response:	Another family's remarriage issues;
context: The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities;\Another family's remarriage issues; response:	But she endured the onslaught of challenges,...
context: and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities;\Another family's remarriage issues;\But she endured the onslaught of challenges,... response:	and steadily level-upped her life experience.
context: And in addition, interference and pressure from the teachers at school,\who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities;\Another family's remarriage issues;\But she endured the onslaught of challenges,...\and steadily level-upped her life experience. response:	Meanwhile, Arima, unable to cope with his own reality anymore...
context: who were trying to end their academic slump, which came to even involve their parents;\The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities;\Another family's remarriage issues;\But she endured the onslaught of challenges,...\and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore... response:	Accepting this, Yukino yields herself to him.
context: The incident where Miyazawa Yukino was ignored by all the girls in the class,...\A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities;\Another family's remarriage issues;\But she endured the onslaught of challenges,...\and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him. response:	She finally did it!
context: A series of physical attacks from the envious Shibahime Tsubasa,...\The brief separation from Arima due to summer club activities;\Another family's remarriage issues;\But she endured the onslaught of challenges,...\and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him.\She finally did it! response:	And another peaceful day was about to begin.
context: The brief separation from Arima due to summer club activities;\Another family's remarriage issues;\But she endured the onslaught of challenges,...\and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him.\She finally did it!\And another peaceful day was about to begin. response:	But, however!
context: Another family's remarriage issues;\But she endured the onslaught of challenges,...\and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him.\She finally did it!\And another peaceful day was about to begin.\But, however! response:	Good morning! Let's eat!
context: But she endured the onslaught of challenges,...\and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him.\She finally did it!\And another peaceful day was about to begin.\But, however!\Good morning! Let's eat! response:	Thanks for the meal!
context: and steadily level-upped her life experience.\Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him.\She finally did it!\And another peaceful day was about to begin.\But, however!\Good morning! Let's eat!\Thanks for the meal! response:	We're off! Have a nice day!
context: Meanwhile, Arima, unable to cope with his own reality anymore...\Accepting this, Yukino yields herself to him.\She finally did it!\And another peaceful day was about to begin.\But, however!\Good morning! Let's eat!\Thanks for the meal!\We're off! Have a nice day! response:	The second semester has started.
context: Accepting this, Yukino yields herself to him.\She finally did it!\And another peaceful day was about to begin.\But, however!\Good morning! Let's eat!\Thanks for the meal!\We're off! Have a nice day!\The second semester has started. response:	A lot of stuff sure happened over summer vacation.
context: She finally did it!\And another peaceful day was about to begin.\But, however!\Good morning! Let's eat!\Thanks for the meal!\We're off! Have a nice day!\The second semester has started.\A lot of stuff sure happened over summer vacation. response:	We all went to karaoke, and raised hell,...
context: And another peaceful day was about to begin.\But, however!\Good morning! Let's eat!\Thanks for the meal!\We're off! Have a nice day!\The second semester has started.\A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,... response:	Tsubasa-chan came to sleep over,
context: But, however!\Good morning! Let's eat!\Thanks for the meal!\We're off! Have a nice day!\The second semester has started.\A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over, response:	and things got ugly...
context: Good morning! Let's eat!\Thanks for the meal!\We're off! Have a nice day!\The second semester has started.\A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over,\and things got ugly... response:	Asapin came over,
context: Thanks for the meal!\We're off! Have a nice day!\The second semester has started.\A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over,\and things got ugly...\Asapin came over, response:	and Dad raised hell...
context: We're off! Have a nice day!\The second semester has started.\A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over,\and things got ugly...\Asapin came over,\and Dad raised hell... response:	we went to Grandpa's,
context: The second semester has started.\A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over,\and things got ugly...\Asapin came over,\and Dad raised hell...\we went to Grandpa's, response:	and Dad raised hell...
context: A lot of stuff sure happened over summer vacation.\We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over,\and things got ugly...\Asapin came over,\and Dad raised hell...\we went to Grandpa's,\and Dad raised hell... response:	We all went to a coffee shop,
context: We all went to karaoke, and raised hell,...\Tsubasa-chan came to sleep over,\and things got ugly...\Asapin came over,\and Dad raised hell...\we went to Grandpa's,\and Dad raised hell...\We all went to a coffee shop, response:	and raised hell...
context: Tsubasa-chan came to sleep over,\and things got ugly...\Asapin came over,\and Dad raised hell...\we went to Grandpa's,\and Dad raised hell...\We all went to a coffee shop,\and raised hell... response:	I went to Mahorin's place,
context: and things got ugly...\Asapin came over,\and Dad raised hell...\we went to Grandpa's,\and Dad raised hell...\We all went to a coffee shop,\and raised hell...\I went to Mahorin's place, response:	and Mahorin's going out with a dentist...
context: Asapin came over,\and Dad raised hell...\we went to Grandpa's,\and Dad raised hell...\We all went to a coffee shop,\and raised hell...\I went to Mahorin's place,\and Mahorin's going out with a dentist... response:	Arima came back, and we smooched...
context: and Dad raised hell...\we went to Grandpa's,\and Dad raised hell...\We all went to a coffee shop,\and raised hell...\I went to Mahorin's place,\and Mahorin's going out with a dentist...\Arima came back, and we smooched... response:	we went on a date, and smooched...
context: we went to Grandpa's,\and Dad raised hell...\We all went to a coffee shop,\and raised hell...\I went to Mahorin's place,\and Mahorin's going out with a dentist...\Arima came back, and we smooched...\we went on a date, and smooched... response:	I went to Arima's place, and smooched...
context: and Dad raised hell...\We all went to a coffee shop,\and raised hell...\I went to Mahorin's place,\and Mahorin's going out with a dentist...\Arima came back, and we smooched...\we went on a date, and smooched...\I went to Arima's place, and smooched... response:	I went to Arima's place again,
context: We all went to a coffee shop,\and raised hell...\I went to Mahorin's place,\and Mahorin's going out with a dentist...\Arima came back, and we smooched...\we went on a date, and smooched...\I went to Arima's place, and smooched...\I went to Arima's place again, response:	and smooched, after that......after that......after that...
context: and raised hell...\I went to Mahorin's place,\and Mahorin's going out with a dentist...\Arima came back, and we smooched...\we went on a date, and smooched...\I went to Arima's place, and smooched...\I went to Arima's place again,\and smooched, after that......after that......after that... response:	Arima! Mornin'!
context: I went to Mahorin's place,\and Mahorin's going out with a dentist...\Arima came back, and we smooched...\we went on a date, and smooched...\I went to Arima's place, and smooched...\I went to Arima's place again,\and smooched, after that......after that......after that...\Arima! Mornin'! response:	Morning.
context: and Mahorin's going out with a dentist...\Arima came back, and we smooched...\we went on a date, and smooched...\I went to Arima's place, and smooched...\I went to Arima's place again,\and smooched, after that......after that......after that...\Arima! Mornin'!\Morning. response:	I never see you going to school at the normal time.
context: Arima came back, and we smooched...\we went on a date, and smooched...\I went to Arima's place, and smooched...\I went to Arima's place again,\and smooched, after that......after that......after that...\Arima! Mornin'!\Morning.\I never see you going to school at the normal time. response:	I didn't have morning practice today.
context: we went on a date, and smooched...\I went to Arima's place, and smooched...\I went to Arima's place again,\and smooched, after that......after that......after that...\Arima! Mornin'!\Morning.\I never see you going to school at the normal time.\I didn't have morning practice today. response:	Oh, if you had told me I would have arranged to meet up somewhere.
context: I went to Arima's place, and smooched...\I went to Arima's place again,\and smooched, after that......after that......after that...\Arima! Mornin'!\Morning.\I never see you going to school at the normal time.\I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere. response:	Miyazawa...But when I called last night you weren't home.
context: I went to Arima's place again,\and smooched, after that......after that......after that...\Arima! Mornin'!\Morning.\I never see you going to school at the normal time.\I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home. response:	Oh, it must have been during my family's summer karaoke fest.
context: and smooched, after that......after that......after that...\Arima! Mornin'!\Morning.\I never see you going to school at the normal time.\I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest. response:	I joined them for just an hour.
context: Arima! Mornin'!\Morning.\I never see you going to school at the normal time.\I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour. response:	Every so often I long to hear my dad sing.
context: Morning.\I never see you going to school at the normal time.\I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour.\Every so often I long to hear my dad sing. response:	But why just an hour?
context: I never see you going to school at the normal time.\I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour.\Every so often I long to hear my dad sing.\But why just an hour? response:	Why, because today is the first day of class after summer vacation when they hold the aptitude tests,
context: I didn't have morning practice today.\Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour.\Every so often I long to hear my dad sing.\But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests, response:	I'm out to win back my position as first place for the first time in a while.
context: Oh, if you had told me I would have arranged to meet up somewhere.\Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour.\Every so often I long to hear my dad sing.\But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while. response:	I'm sorry, but I want to stay first after all!
context: Miyazawa...But when I called last night you weren't home.\Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour.\Every so often I long to hear my dad sing.\But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all! response:	Not second, nor third, nor fourth, NO!
context: Oh, it must have been during my family's summer karaoke fest.\I joined them for just an hour.\Every so often I long to hear my dad sing.\But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO! response:	It has to be first!
context: I joined them for just an hour.\Every so often I long to hear my dad sing.\But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO!\It has to be first! response:	I'd been withheld for a while after entering high school,
context: Every so often I long to hear my dad sing.\But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO!\It has to be first!\I'd been withheld for a while after entering high school, response:	I'd been withheld for a while after entering high school, (Text:Here's some second place)
context: But why just an hour?\Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO!\It has to be first!\I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place) response:	so I'm practically in withdrawal!
context: Why, because today is the first day of class after summer vacation when they hold the aptitude tests,\I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO!\It has to be first!\I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal! response:	Which means, before a test, we're mortal enemies vying for supremacy!
context: I'm out to win back my position as first place for the first time in a while.\I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO!\It has to be first!\I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy! response:	Don't come up to me and be all buddy-buddy.
context: I'm sorry, but I want to stay first after all!\Not second, nor third, nor fourth, NO!\It has to be first!\I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy. response:	But we're not usually like that.
context: Not second, nor third, nor fourth, NO!\It has to be first!\I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy.\But we're not usually like that. response:	We're always lovey-dovey.
context: It has to be first!\I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy.\But we're not usually like that.\We're always lovey-dovey. response:	Could we be any more lovey-dovey?!! We're like lovers!
context: I'd been withheld for a while after entering high school,\I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy.\But we're not usually like that.\We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers! response:	Oh my gosh, what if like someone was to like, see us?!?
context: I'd been withheld for a while after entering high school, (Text:Here's some second place)\so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy.\But we're not usually like that.\We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!? response:	Now then, I better hurry to school and study.
context: so I'm practically in withdrawal!\Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy.\But we're not usually like that.\We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study. response:	See ya!
context: Which means, before a test, we're mortal enemies vying for supremacy!\Don't come up to me and be all buddy-buddy.\But we're not usually like that.\We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study.\See ya! response:	She was the one who came up to me...
context: Don't come up to me and be all buddy-buddy.\But we're not usually like that.\We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study.\See ya!\She was the one who came up to me... response:	Souichirou-kun! Miyazawa!
context: But we're not usually like that.\We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study.\See ya!\She was the one who came up to me...\Souichirou-kun! Miyazawa! response:	Aloha!
context: We're always lovey-dovey.\Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study.\See ya!\She was the one who came up to me...\Souichirou-kun! Miyazawa!\Aloha! response:	M:A...A...Asapin!! A:I...I can't believe you!
context: Could we be any more lovey-dovey?!! We're like lovers!\Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study.\See ya!\She was the one who came up to me...\Souichirou-kun! Miyazawa!\Aloha!\M:A...A...Asapin!! A:I...I can't believe you! response:	Yeah!
context: Oh my gosh, what if like someone was to like, see us?!?\Now then, I better hurry to school and study.\See ya!\She was the one who came up to me...\Souichirou-kun! Miyazawa!\Aloha!\M:A...A...Asapin!! A:I...I can't believe you!\Yeah! response:	There you go over-accessorizing again!
context: Now then, I better hurry to school and study.\See ya!\She was the one who came up to me...\Souichirou-kun! Miyazawa!\Aloha!\M:A...A...Asapin!! A:I...I can't believe you!\Yeah!\There you go over-accessorizing again! response:	What's with all that metal, huh?!
context: See ya!\She was the one who came up to me...\Souichirou-kun! Miyazawa!\Aloha!\M:A...A...Asapin!! A:I...I can't believe you!\Yeah!\There you go over-accessorizing again!\What's with all that metal, huh?! response:	As a model student I don't want to be associated with a guy who looks like...
context: She was the one who came up to me...\Souichirou-kun! Miyazawa!\Aloha!\M:A...A...Asapin!! A:I...I can't believe you!\Yeah!\There you go over-accessorizing again!\What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like... response:	You're in for it now.
context: Souichirou-kun! Miyazawa!\Aloha!\M:A...A...Asapin!! A:I...I can't believe you!\Yeah!\There you go over-accessorizing again!\What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like...\You're in for it now. response:	You'll get shaved bald and given another long vacation!
context: Aloha!\M:A...A...Asapin!! A:I...I can't believe you!\Yeah!\There you go over-accessorizing again!\What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like...\You're in for it now.\You'll get shaved bald and given another long vacation! response:	Just don't go too far.
context: M:A...A...Asapin!! A:I...I can't believe you!\Yeah!\There you go over-accessorizing again!\What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like...\You're in for it now.\You'll get shaved bald and given another long vacation!\Just don't go too far. response:	Okaay!
context: Yeah!\There you go over-accessorizing again!\What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like...\You're in for it now.\You'll get shaved bald and given another long vacation!\Just don't go too far.\Okaay! response:	To think he has to take care
context: There you go over-accessorizing again!\What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like...\You're in for it now.\You'll get shaved bald and given another long vacation!\Just don't go too far.\Okaay!\To think he has to take care response:	of such an alien at his age...
context: What's with all that metal, huh?!\As a model student I don't want to be associated with a guy who looks like...\You're in for it now.\You'll get shaved bald and given another long vacation!\Just don't go too far.\Okaay!\To think he has to take care\of such an alien at his age... response:	I feel so sorry for him.
context: As a model student I don't want to be associated with a guy who looks like...\You're in for it now.\You'll get shaved bald and given another long vacation!\Just don't go too far.\Okaay!\To think he has to take care\of such an alien at his age...\I feel so sorry for him. response:	Look, his hair's falling out.
context: You're in for it now.\You'll get shaved bald and given another long vacation!\Just don't go too far.\Okaay!\To think he has to take care\of such an alien at his age...\I feel so sorry for him.\Look, his hair's falling out. response:	Yo! Let's have lunch!
context: You'll get shaved bald and given another long vacation!\Just don't go too far.\Okaay!\To think he has to take care\of such an alien at his age...\I feel so sorry for him.\Look, his hair's falling out.\Yo! Let's have lunch! response:	Yo!
