context: No doubt about it. Goku has landed on Planet Namek. response:	Son...
context: of the 100-times gravity training I went through.\Gohan...\K- Kakarrot, you bastard... are you finally here?\Goku...\Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing. response:	All right, that's okay, Daddy will feed it to you.
context: Gohan...\K- Kakarrot, you bastard... are you finally here?\Goku...\Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you. response:	H- hey! Who are you!?
context: K- Kakarrot, you bastard... are you finally here?\Goku...\Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!? response:	One of those kids' friends?
context: Goku...\Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!?\One of those kids' friends? response:	I'm going to force it down, okay?
context: Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!?\One of those kids' friends?\I'm going to force it down, okay? response:	He just up and shows up in front of us.
context: Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!?\One of those kids' friends?\I'm going to force it down, okay?\He just up and shows up in front of us. response:	Who is this guy? He was pretty fast.
context: Gohan! Hey, Gohan!\It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!?\One of those kids' friends?\I'm going to force it down, okay?\He just up and shows up in front of us.\Who is this guy? He was pretty fast. response:	That bastard might be even faster than you, huh?
context: It's no good. Your neck is broken, and you're barely breathing.\All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!?\One of those kids' friends?\I'm going to force it down, okay?\He just up and shows up in front of us.\Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh? response:	Don't count me alongside that guy with the trash-level battle power.
context: All right, that's okay, Daddy will feed it to you.\H- hey! Who are you!?\One of those kids' friends?\I'm going to force it down, okay?\He just up and shows up in front of us.\Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power. response:	Yo! Can you stand?
context: H- hey! Who are you!?\One of those kids' friends?\I'm going to force it down, okay?\He just up and shows up in front of us.\Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand? response:	F- Father!
context: One of those kids' friends?\I'm going to force it down, okay?\He just up and shows up in front of us.\Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand?\F- Father! response:	D- did you come for us?
context: I'm going to force it down, okay?\He just up and shows up in front of us.\Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand?\F- Father!\D- did you come for us? response:	Hey, that kid who was nearly dead is now!
context: He just up and shows up in front of us.\Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand?\F- Father!\D- did you come for us?\Hey, that kid who was nearly dead is now! response:	H- how did he do that?
context: Who is this guy? He was pretty fast.\That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand?\F- Father!\D- did you come for us?\Hey, that kid who was nearly dead is now!\H- how did he do that? response:	Are you okay, Gohan?
context: That bastard might be even faster than you, huh?\Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand?\F- Father!\D- did you come for us?\Hey, that kid who was nearly dead is now!\H- how did he do that?\Are you okay, Gohan? response:	Father, be careful! Those guys are...
context: Don't count me alongside that guy with the trash-level battle power.\Yo! Can you stand?\F- Father!\D- did you come for us?\Hey, that kid who was nearly dead is now!\H- how did he do that?\Are you okay, Gohan?\Father, be careful! Those guys are... response:	Hold on, Gohan.
context: Yo! Can you stand?\F- Father!\D- did you come for us?\Hey, that kid who was nearly dead is now!\H- how did he do that?\Are you okay, Gohan?\Father, be careful! Those guys are...\Hold on, Gohan. response:	I have to go give Kuririn a senzu, too.
context: F- Father!\D- did you come for us?\Hey, that kid who was nearly dead is now!\H- how did he do that?\Are you okay, Gohan?\Father, be careful! Those guys are...\Hold on, Gohan.\I have to go give Kuririn a senzu, too. response:	O- okay...
context: D- did you come for us?\Hey, that kid who was nearly dead is now!\H- how did he do that?\Are you okay, Gohan?\Father, be careful! Those guys are...\Hold on, Gohan.\I have to go give Kuririn a senzu, too.\O- okay... response:	You had a real rough time of it, didn't you, Gohan?
context: Hey, that kid who was nearly dead is now!\H- how did he do that?\Are you okay, Gohan?\Father, be careful! Those guys are...\Hold on, Gohan.\I have to go give Kuririn a senzu, too.\O- okay...\You had a real rough time of it, didn't you, Gohan? response:	Yes, I was helpless.
context: H- how did he do that?\Are you okay, Gohan?\Father, be careful! Those guys are...\Hold on, Gohan.\I have to go give Kuririn a senzu, too.\O- okay...\You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless. response:	Why has Vegeta taken such heavy damage, too?
context: Are you okay, Gohan?\Father, be careful! Those guys are...\Hold on, Gohan.\I have to go give Kuririn a senzu, too.\O- okay...\You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless.\Why has Vegeta taken such heavy damage, too? response:	He was beaten up by that pineapple-headed one.
context: Father, be careful! Those guys are...\Hold on, Gohan.\I have to go give Kuririn a senzu, too.\O- okay...\You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless.\Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one. response:	That guy has incredible strength.
context: Hold on, Gohan.\I have to go give Kuririn a senzu, too.\O- okay...\You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless.\Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one.\That guy has incredible strength. response:	Goku...
context: I have to go give Kuririn a senzu, too.\O- okay...\You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless.\Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one.\That guy has incredible strength.\Goku... response:	Kuririn, sorry to keep you waiting.
context: O- okay...\You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless.\Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one.\That guy has incredible strength.\Goku...\Kuririn, sorry to keep you waiting. response:	Here's a senzu.
context: You had a real rough time of it, didn't you, Gohan?\Yes, I was helpless.\Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one.\That guy has incredible strength.\Goku...\Kuririn, sorry to keep you waiting.\Here's a senzu. response:	I'm sort of happy, and yet sort of unhappy...
context: Yes, I was helpless.\Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one.\That guy has incredible strength.\Goku...\Kuririn, sorry to keep you waiting.\Here's a senzu.\I'm sort of happy, and yet sort of unhappy... response:	Unhappy?
context: Why has Vegeta taken such heavy damage, too?\He was beaten up by that pineapple-headed one.\That guy has incredible strength.\Goku...\Kuririn, sorry to keep you waiting.\Here's a senzu.\I'm sort of happy, and yet sort of unhappy...\Unhappy? response:	Again!?
context: He was beaten up by that pineapple-headed one.\That guy has incredible strength.\Goku...\Kuririn, sorry to keep you waiting.\Here's a senzu.\I'm sort of happy, and yet sort of unhappy...\Unhappy?\Again!? response:	He's recovered, as well.
context: That guy has incredible strength.\Goku...\Kuririn, sorry to keep you waiting.\Here's a senzu.\I'm sort of happy, and yet sort of unhappy...\Unhappy?\Again!?\He's recovered, as well. response:	W- what is going on here?
context: Goku...\Kuririn, sorry to keep you waiting.\Here's a senzu.\I'm sort of happy, and yet sort of unhappy...\Unhappy?\Again!?\He's recovered, as well.\W- what is going on here? response:	What the hell did they?
context: Kuririn, sorry to keep you waiting.\Here's a senzu.\I'm sort of happy, and yet sort of unhappy...\Unhappy?\Again!?\He's recovered, as well.\W- what is going on here?\What the hell did they? response:	Goku, you must know how strong those guys are, right?
context: Here's a senzu.\I'm sort of happy, and yet sort of unhappy...\Unhappy?\Again!?\He's recovered, as well.\W- what is going on here?\What the hell did they?\Goku, you must know how strong those guys are, right? response:	The senzu may have restored us,
context: I'm sort of happy, and yet sort of unhappy...\Unhappy?\Again!?\He's recovered, as well.\W- what is going on here?\What the hell did they?\Goku, you must know how strong those guys are, right?\The senzu may have restored us, response:	but we're just going to get done in again.
context: Unhappy?\Again!?\He's recovered, as well.\W- what is going on here?\What the hell did they?\Goku, you must know how strong those guys are, right?\The senzu may have restored us,\but we're just going to get done in again. response:	As disappointing as it is to say,
context: Again!?\He's recovered, as well.\W- what is going on here?\What the hell did they?\Goku, you must know how strong those guys are, right?\The senzu may have restored us,\but we're just going to get done in again.\As disappointing as it is to say, response:	this is too much for even you to handle, Goku.
context: He's recovered, as well.\W- what is going on here?\What the hell did they?\Goku, you must know how strong those guys are, right?\The senzu may have restored us,\but we're just going to get done in again.\As disappointing as it is to say,\this is too much for even you to handle, Goku. response:	Those guys' strength is in a whole other league.
context: W- what is going on here?\What the hell did they?\Goku, you must know how strong those guys are, right?\The senzu may have restored us,\but we're just going to get done in again.\As disappointing as it is to say,\this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league. response:	Even Vegeta is absolutely no match for them.
context: What the hell did they?\Goku, you must know how strong those guys are, right?\The senzu may have restored us,\but we're just going to get done in again.\As disappointing as it is to say,\this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them. response:	Oh, right, right...
context: Goku, you must know how strong those guys are, right?\The senzu may have restored us,\but we're just going to get done in again.\As disappointing as it is to say,\this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them.\Oh, right, right... response:	Now that you mention it, why was Vegeta beaten up by them?
context: The senzu may have restored us,\but we're just going to get done in again.\As disappointing as it is to say,\this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them.\Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them? response:	Ain't they on the same side?
context: but we're just going to get done in again.\As disappointing as it is to say,\this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them.\Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side? response:	Yeah, apparently, they used to be on the same side...
context: As disappointing as it is to say,\this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them.\Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side?\Yeah, apparently, they used to be on the same side... response:	You don't have to talk. Let me probe you.
context: this is too much for even you to handle, Goku.\Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them.\Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side?\Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you. response:	P- probe?
context: Those guys' strength is in a whole other league.\Even Vegeta is absolutely no match for them.\Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side?\Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you.\P- probe? response:	F- Father?
context: Even Vegeta is absolutely no match for them.\Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side?\Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you.\P- probe?\F- Father? response:	I see...
context: Oh, right, right...\Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side?\Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you.\P- probe?\F- Father?\I see... response:	I understand a lot now.
context: Now that you mention it, why was Vegeta beaten up by them?\Ain't they on the same side?\Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you.\P- probe?\F- Father?\I see...\I understand a lot now. response:	Like how you two have raised your powers so much,
context: Ain't they on the same side?\Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you.\P- probe?\F- Father?\I see...\I understand a lot now.\Like how you two have raised your powers so much, response:	and how Bulma is safe.
context: Yeah, apparently, they used to be on the same side...\You don't have to talk. Let me probe you.\P- probe?\F- Father?\I see...\I understand a lot now.\Like how you two have raised your powers so much,\and how Bulma is safe. response:	The way the Dragon Balls were taken from you, this Freeza guy,
context: You don't have to talk. Let me probe you.\P- probe?\F- Father?\I see...\I understand a lot now.\Like how you two have raised your powers so much,\and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy, response:	and those guys over there, as well.
context: P- probe?\F- Father?\I see...\I understand a lot now.\Like how you two have raised your powers so much,\and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well. response:	Y- you're kidding, right!? How could you know that!?
context: F- Father?\I see...\I understand a lot now.\Like how you two have raised your powers so much,\and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well.\Y- you're kidding, right!? How could you know that!? response:	I don't know. I just had a feeling that if I did that, I would know.
context: I see...\I understand a lot now.\Like how you two have raised your powers so much,\and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well.\Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know. response:	Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,
context: I understand a lot now.\Like how you two have raised your powers so much,\and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well.\Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons, response:	it looks like he saved your lives during this fight, huh?
context: Like how you two have raised your powers so much,\and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well.\Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh? response:	W- when did you gain this ability?
context: and how Bulma is safe.\The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well.\Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh?\W- when did you gain this ability? response:	There's only one senzu left, huh?
context: The way the Dragon Balls were taken from you, this Freeza guy,\and those guys over there, as well.\Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh?\W- when did you gain this ability?\There's only one senzu left, huh? response:	Vegeta!
context: and those guys over there, as well.\Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh?\W- when did you gain this ability?\There's only one senzu left, huh?\Vegeta! response:	Eat that!
context: Y- you're kidding, right!? How could you know that!?\I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh?\W- when did you gain this ability?\There's only one senzu left, huh?\Vegeta!\Eat that! response:	That was the last one, right? Why?
context: I don't know. I just had a feeling that if I did that, I would know.\Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh?\W- when did you gain this ability?\There's only one senzu left, huh?\Vegeta!\Eat that!\That was the last one, right? Why? response:	Father...
context: Apparently, Vegeta is the same nasty guy as ever, but whatever the reasons,\it looks like he saved your lives during this fight, huh?\W- when did you gain this ability?\There's only one senzu left, huh?\Vegeta!\Eat that!\That was the last one, right? Why?\Father... response:	What is this? My body is!
context: it looks like he saved your lives during this fight, huh?\W- when did you gain this ability?\There's only one senzu left, huh?\Vegeta!\Eat that!\That was the last one, right? Why?\Father...\What is this? My body is! response:	T- that was stupid!
context: W- when did you gain this ability?\There's only one senzu left, huh?\Vegeta!\Eat that!\That was the last one, right? Why?\Father...\What is this? My body is!\T- that was stupid! response:	Were you planning to heal him and have the four of us fight?
context: There's only one senzu left, huh?\Vegeta!\Eat that!\That was the last one, right? Why?\Father...\What is this? My body is!\T- that was stupid!\Were you planning to heal him and have the four of us fight? response:	That won't do any good!
context: Vegeta!\Eat that!\That was the last one, right? Why?\Father...\What is this? My body is!\T- that was stupid!\Were you planning to heal him and have the four of us fight?\That won't do any good! response:	That ain't why.
context: Eat that!\That was the last one, right? Why?\Father...\What is this? My body is!\T- that was stupid!\Were you planning to heal him and have the four of us fight?\That won't do any good!\That ain't why. response:	I want to settle the score with him later on Earth.
context: That was the last one, right? Why?\Father...\What is this? My body is!\T- that was stupid!\Were you planning to heal him and have the four of us fight?\That won't do any good!\That ain't why.\I want to settle the score with him later on Earth. response:	S- settle the score with him later? You mean?
context: Father...\What is this? My body is!\T- that was stupid!\Were you planning to heal him and have the four of us fight?\That won't do any good!\That ain't why.\I want to settle the score with him later on Earth.\S- settle the score with him later? You mean? response:	Yeah.
context: What is this? My body is!\T- that was stupid!\Were you planning to heal him and have the four of us fight?\That won't do any good!\That ain't why.\I want to settle the score with him later on Earth.\S- settle the score with him later? You mean?\Yeah. response:	H- hey!
context: T- that was stupid!\Were you planning to heal him and have the four of us fight?\That won't do any good!\That ain't why.\I want to settle the score with him later on Earth.\S- settle the score with him later? You mean?\Yeah.\H- hey! response:	I'm going to take care of these guys alone!
context: Were you planning to heal him and have the four of us fight?\That won't do any good!\That ain't why.\I want to settle the score with him later on Earth.\S- settle the score with him later? You mean?\Yeah.\H- hey!\I'm going to take care of these guys alone! response:	Take care of them alone!?
context: That won't do any good!\That ain't why.\I want to settle the score with him later on Earth.\S- settle the score with him later? You mean?\Yeah.\H- hey!\I'm going to take care of these guys alone!\Take care of them alone!? response:	Father!
context: That ain't why.\I want to settle the score with him later on Earth.\S- settle the score with him later? You mean?\Yeah.\H- hey!\I'm going to take care of these guys alone!\Take care of them alone!?\Father! response:	You're going to take care of us alone, you say?
context: I want to settle the score with him later on Earth.\S- settle the score with him later? You mean?\Yeah.\H- hey!\I'm going to take care of these guys alone!\Take care of them alone!?\Father!\You're going to take care of us alone, you say? response:	You're a strange bastard.
context: S- settle the score with him later? You mean?\Yeah.\H- hey!\I'm going to take care of these guys alone!\Take care of them alone!?\Father!\You're going to take care of us alone, you say?\You're a strange bastard. response:	What is he thinking? He hasn't gone crazy, has he?
context: Yeah.\H- hey!\I'm going to take care of these guys alone!\Take care of them alone!?\Father!\You're going to take care of us alone, you say?\You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he? response:	Whatever he does, there's no way he can beat them.
context: H- hey!\I'm going to take care of these guys alone!\Take care of them alone!?\Father!\You're going to take care of us alone, you say?\You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them. response:	W- what's wrong with you, Father?
context: I'm going to take care of these guys alone!\Take care of them alone!?\Father!\You're going to take care of us alone, you say?\You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father? response:	At least make this a little bit entertaining.
context: Take care of them alone!?\Father!\You're going to take care of us alone, you say?\You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father?\At least make this a little bit entertaining. response:	Hey, how much battle power does this trash bug have?
context: Father!\You're going to take care of us alone, you say?\You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father?\At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have? response:	He really is a trash bug!
context: You're going to take care of us alone, you say?\You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father?\At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have?\He really is a trash bug! response:	His battle power is only about 5000!
context: You're a strange bastard.\What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father?\At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have?\He really is a trash bug!\His battle power is only about 5000! response:	Oh, that's disappointing. He's just a big grandstander, huh?
context: What is he thinking? He hasn't gone crazy, has he?\Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father?\At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have?\He really is a trash bug!\His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh? response:	This is strange, all right. Why is he so unusually calm?
context: Whatever he does, there's no way he can beat them.\W- what's wrong with you, Father?\At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have?\He really is a trash bug!\His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm? response:	Doesn't he know what his opponent's capabilities are?
context: W- what's wrong with you, Father?\At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have?\He really is a trash bug!\His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are? response:	That can't be right.
context: At least make this a little bit entertaining.\Hey, how much battle power does this trash bug have?\He really is a trash bug!\His battle power is only about 5000!\Oh, that's disappointing. He's just a big grandstander, huh?\This is strange, all right. Why is he so unusually calm?\Doesn't he know what his opponent's capabilities are?\That can't be right. response:	But I don't sense even a trace of bloodlust from him.
