context: Is something wrong, Goddess? response:	No, it's nothing.
context: You'll become strong, for sure.\And you want to become stronger yourself.\Yes.\I respect your desire.\I'll support you and help you.\I'll lend you my powers.\So promise me you won't be so rash anymore.\Please. Don't leave me alone! response:	Okay.
context: And you want to become stronger yourself.\Yes.\I respect your desire.\I'll support you and help you.\I'll lend you my powers.\So promise me you won't be so rash anymore.\Please. Don't leave me alone!\Okay. response:	I won't do anything rash.
context: Yes.\I respect your desire.\I'll support you and help you.\I'll lend you my powers.\So promise me you won't be so rash anymore.\Please. Don't leave me alone!\Okay.\I won't do anything rash. response:	I'll do my best to get stronger,
context: I respect your desire.\I'll support you and help you.\I'll lend you my powers.\So promise me you won't be so rash anymore.\Please. Don't leave me alone!\Okay.\I won't do anything rash.\I'll do my best to get stronger, response:	but I'll never leave you alone, Goddess.
context: I'll support you and help you.\I'll lend you my powers.\So promise me you won't be so rash anymore.\Please. Don't leave me alone!\Okay.\I won't do anything rash.\I'll do my best to get stronger,\but I'll never leave you alone, Goddess. response:	I won't make you worry!
context: I'll lend you my powers.\So promise me you won't be so rash anymore.\Please. Don't leave me alone!\Okay.\I won't do anything rash.\I'll do my best to get stronger,\but I'll never leave you alone, Goddess.\I won't make you worry! response:	As long as I can hear those words, I feel fine.
context: So promise me you won't be so rash anymore.\Please. Don't leave me alone!\Okay.\I won't do anything rash.\I'll do my best to get stronger,\but I'll never leave you alone, Goddess.\I won't make you worry!\As long as I can hear those words, I feel fine. response:	And so, Bell,
context: Please. Don't leave me alone!\Okay.\I won't do anything rash.\I'll do my best to get stronger,\but I'll never leave you alone, Goddess.\I won't make you worry!\As long as I can hear those words, I feel fine.\And so, Bell, response:	I'll be gone for a few days, starting tonight.
context: Okay.\I won't do anything rash.\I'll do my best to get stronger,\but I'll never leave you alone, Goddess.\I won't make you worry!\As long as I can hear those words, I feel fine.\And so, Bell,\I'll be gone for a few days, starting tonight. response:	Is that all right?
context: I won't do anything rash.\I'll do my best to get stronger,\but I'll never leave you alone, Goddess.\I won't make you worry!\As long as I can hear those words, I feel fine.\And so, Bell,\I'll be gone for a few days, starting tonight.\Is that all right? response:	Huh?
context: I'll do my best to get stronger,\but I'll never leave you alone, Goddess.\I won't make you worry!\As long as I can hear those words, I feel fine.\And so, Bell,\I'll be gone for a few days, starting tonight.\Is that all right?\Huh? response:	I'm sorry!
context: but I'll never leave you alone, Goddess.\I won't make you worry!\As long as I can hear those words, I feel fine.\And so, Bell,\I'll be gone for a few days, starting tonight.\Is that all right?\Huh?\I'm sorry! response:	I ran off earlier without paying.
context: I won't make you worry!\As long as I can hear those words, I feel fine.\And so, Bell,\I'll be gone for a few days, starting tonight.\Is that all right?\Huh?\I'm sorry!\I ran off earlier without paying. response:	Here's the money.
context: As long as I can hear those words, I feel fine.\And so, Bell,\I'll be gone for a few days, starting tonight.\Is that all right?\Huh?\I'm sorry!\I ran off earlier without paying.\Here's the money. response:	I'm glad you came came all the way here to pay your bill.
context: And so, Bell,\I'll be gone for a few days, starting tonight.\Is that all right?\Huh?\I'm sorry!\I ran off earlier without paying.\Here's the money.\I'm glad you came came all the way here to pay your bill. response:	Well, if you didn't come to me, I was going to come to you.
context: I'll be gone for a few days, starting tonight.\Is that all right?\Huh?\I'm sorry!\I ran off earlier without paying.\Here's the money.\I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you. response:	I'm really sorry!
context: Is that all right?\Huh?\I'm sorry!\I ran off earlier without paying.\Here's the money.\I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you.\I'm really sorry! response:	Don't apologize anymore, Bell-san.
context: Huh?\I'm sorry!\I ran off earlier without paying.\Here's the money.\I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you.\I'm really sorry!\Don't apologize anymore, Bell-san. response:	I'm happy you came back.
context: I'm sorry!\I ran off earlier without paying.\Here's the money.\I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you.\I'm really sorry!\Don't apologize anymore, Bell-san.\I'm happy you came back. response:	You're going back to the dungeon today, right?
context: I ran off earlier without paying.\Here's the money.\I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you.\I'm really sorry!\Don't apologize anymore, Bell-san.\I'm happy you came back.\You're going back to the dungeon today, right? response:	Here, I made you a lunch.
context: Here's the money.\I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you.\I'm really sorry!\Don't apologize anymore, Bell-san.\I'm happy you came back.\You're going back to the dungeon today, right?\Here, I made you a lunch. response:	Oh, I couldn't...
context: I'm glad you came came all the way here to pay your bill.\Well, if you didn't come to me, I was going to come to you.\I'm really sorry!\Don't apologize anymore, Bell-san.\I'm happy you came back.\You're going back to the dungeon today, right?\Here, I made you a lunch.\Oh, I couldn't... response:	Please take it.
context: Well, if you didn't come to me, I was going to come to you.\I'm really sorry!\Don't apologize anymore, Bell-san.\I'm happy you came back.\You're going back to the dungeon today, right?\Here, I made you a lunch.\Oh, I couldn't...\Please take it. response:	Can you not?
context: I'm really sorry!\Don't apologize anymore, Bell-san.\I'm happy you came back.\You're going back to the dungeon today, right?\Here, I made you a lunch.\Oh, I couldn't...\Please take it.\Can you not? response:	Thank you. I'll take it.
context: Don't apologize anymore, Bell-san.\I'm happy you came back.\You're going back to the dungeon today, right?\Here, I made you a lunch.\Oh, I couldn't...\Please take it.\Can you not?\Thank you. I'll take it. response:	Make sure to thank Syr.
context: I'm happy you came back.\You're going back to the dungeon today, right?\Here, I made you a lunch.\Oh, I couldn't...\Please take it.\Can you not?\Thank you. I'll take it.\Make sure to thank Syr. response:	The staff here is pretty rough, and that includes me.
context: You're going back to the dungeon today, right?\Here, I made you a lunch.\Oh, I couldn't...\Please take it.\Can you not?\Thank you. I'll take it.\Make sure to thank Syr.\The staff here is pretty rough, and that includes me. response:	We only forgave you because she persuaded us.
context: Here, I made you a lunch.\Oh, I couldn't...\Please take it.\Can you not?\Thank you. I'll take it.\Make sure to thank Syr.\The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us. response:	I see.
context: Oh, I couldn't...\Please take it.\Can you not?\Thank you. I'll take it.\Make sure to thank Syr.\The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us.\I see. response:	Kid, there's no point in an
context: Please take it.\Can you not?\Thank you. I'll take it.\Make sure to thank Syr.\The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us.\I see.\Kid, there's no point in an response:	adventurer pretending to be something he's not.
context: Can you not?\Thank you. I'll take it.\Make sure to thank Syr.\The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us.\I see.\Kid, there's no point in an\adventurer pretending to be something he's not. response:	When you're just starting out, put all your energy into surviving.
context: Thank you. I'll take it.\Make sure to thank Syr.\The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us.\I see.\Kid, there's no point in an\adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving. response:	No matter how pathetic you feel, or how people laugh at you,
context: Make sure to thank Syr.\The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us.\I see.\Kid, there's no point in an\adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you, response:	if you come back alive, you win.
context: The staff here is pretty rough, and that includes me.\We only forgave you because she persuaded us.\I see.\Kid, there's no point in an\adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win. response:	Now that you've made me tell you all this,
context: We only forgave you because she persuaded us.\I see.\Kid, there's no point in an\adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win.\Now that you've made me tell you all this, response:	I'll never forgive you if you get killed.
context: I see.\Kid, there's no point in an\adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win.\Now that you've made me tell you all this,\I'll never forgive you if you get killed. response:	Now get going!
context: Kid, there's no point in an\adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win.\Now that you've made me tell you all this,\I'll never forgive you if you get killed.\Now get going! response:	We've got work and you're in the way!
context: adventurer pretending to be something he's not.\When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win.\Now that you've made me tell you all this,\I'll never forgive you if you get killed.\Now get going!\We've got work and you're in the way! response:	Okay!
context: When you're just starting out, put all your energy into surviving.\No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win.\Now that you've made me tell you all this,\I'll never forgive you if you get killed.\Now get going!\We've got work and you're in the way!\Okay! response:	See you later!
context: No matter how pathetic you feel, or how people laugh at you,\if you come back alive, you win.\Now that you've made me tell you all this,\I'll never forgive you if you get killed.\Now get going!\We've got work and you're in the way!\Okay!\See you later! response:	Bye.
context: if you come back alive, you win.\Now that you've made me tell you all this,\I'll never forgive you if you get killed.\Now get going!\We've got work and you're in the way!\Okay!\See you later!\Bye. response:	I said, See you later, without thinking about it.
context: Now that you've made me tell you all this,\I'll never forgive you if you get killed.\Now get going!\We've got work and you're in the way!\Okay!\See you later!\Bye.\I said, See you later, without thinking about it. response:	Thank you for coming, everyone!
context: I'll never forgive you if you get killed.\Now get going!\We've got work and you're in the way!\Okay!\See you later!\Bye.\I said, See you later, without thinking about it.\Thank you for coming, everyone! response:	I am Ganesha!
context: Now get going!\We've got work and you're in the way!\Okay!\See you later!\Bye.\I said, See you later, without thinking about it.\Thank you for coming, everyone!\I am Ganesha! response:	I'm so happy that so many of my colleagues were able to be here tonight!
context: We've got work and you're in the way!\Okay!\See you later!\Bye.\I said, See you later, without thinking about it.\Thank you for coming, everyone!\I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight! response:	Hey, how many centuries has it been?
context: Okay!\See you later!\Bye.\I said, See you later, without thinking about it.\Thank you for coming, everyone!\I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been? response:	Four days, I think.
context: See you later!\Bye.\I said, See you later, without thinking about it.\Thank you for coming, everyone!\I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been?\Four days, I think. response:	That unfortunate-looking guy over there...
context: Bye.\I said, See you later, without thinking about it.\Thank you for coming, everyone!\I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been?\Four days, I think.\That unfortunate-looking guy over there... response:	Is that Takemikazuchi?
context: I said, See you later, without thinking about it.\Thank you for coming, everyone!\I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been?\Four days, I think.\That unfortunate-looking guy over there...\Is that Takemikazuchi? response:	Hermes is here, too.
context: Thank you for coming, everyone!\I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been?\Four days, I think.\That unfortunate-looking guy over there...\Is that Takemikazuchi?\Hermes is here, too. response:	He's back from his journey?
context: I am Ganesha!\I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been?\Four days, I think.\That unfortunate-looking guy over there...\Is that Takemikazuchi?\Hermes is here, too.\He's back from his journey? response:	Hey!
context: I'm so happy that so many of my colleagues were able to be here tonight!\Hey, how many centuries has it been?\Four days, I think.\That unfortunate-looking guy over there...\Is that Takemikazuchi?\Hermes is here, too.\He's back from his journey?\Hey! response:	She's here!
context: Hey, how many centuries has it been?\Four days, I think.\That unfortunate-looking guy over there...\Is that Takemikazuchi?\Hermes is here, too.\He's back from his journey?\Hey!\She's here! response:	The goddess of beauty!
context: Four days, I think.\That unfortunate-looking guy over there...\Is that Takemikazuchi?\Hermes is here, too.\He's back from his journey?\Hey!\She's here!\The goddess of beauty! response:	Freya!
context: That unfortunate-looking guy over there...\Is that Takemikazuchi?\Hermes is here, too.\He's back from his journey?\Hey!\She's here!\The goddess of beauty!\Freya! response:	She's so wonderful.
context: Is that Takemikazuchi?\Hermes is here, too.\He's back from his journey?\Hey!\She's here!\The goddess of beauty!\Freya!\She's so wonderful. response:	And this is what she looks like on the surface, too.
context: Hermes is here, too.\He's back from his journey?\Hey!\She's here!\The goddess of beauty!\Freya!\She's so wonderful.\And this is what she looks like on the surface, too. response:	Good evening, Hestia.
context: He's back from his journey?\Hey!\She's here!\The goddess of beauty!\Freya!\She's so wonderful.\And this is what she looks like on the surface, too.\Good evening, Hestia. response:	Freya.
context: Hey!\She's here!\The goddess of beauty!\Freya!\She's so wonderful.\And this is what she looks like on the surface, too.\Good evening, Hestia.\Freya. response:	Am I interrupting?
context: She's here!\The goddess of beauty!\Freya!\She's so wonderful.\And this is what she looks like on the surface, too.\Good evening, Hestia.\Freya.\Am I interrupting? response:	I just don't like dealing with you.
context: The goddess of beauty!\Freya!\She's so wonderful.\And this is what she looks like on the surface, too.\Good evening, Hestia.\Freya.\Am I interrupting?\I just don't like dealing with you. response:	I love that about you.
context: Freya!\She's so wonderful.\And this is what she looks like on the surface, too.\Good evening, Hestia.\Freya.\Am I interrupting?\I just don't like dealing with you.\I love that about you. response:	Well, I like you better than some...
context: She's so wonderful.\And this is what she looks like on the surface, too.\Good evening, Hestia.\Freya.\Am I interrupting?\I just don't like dealing with you.\I love that about you.\Well, I like you better than some... response:	Hey, Freya!
context: And this is what she looks like on the surface, too.\Good evening, Hestia.\Freya.\Am I interrupting?\I just don't like dealing with you.\I love that about you.\Well, I like you better than some...\Hey, Freya! response:	Shrimp!
context: Good evening, Hestia.\Freya.\Am I interrupting?\I just don't like dealing with you.\I love that about you.\Well, I like you better than some...\Hey, Freya!\Shrimp! response:	Oh, Loki.
context: Freya.\Am I interrupting?\I just don't like dealing with you.\I love that about you.\Well, I like you better than some...\Hey, Freya!\Shrimp!\Oh, Loki. response:	What are you doing here?
context: Am I interrupting?\I just don't like dealing with you.\I love that about you.\Well, I like you better than some...\Hey, Freya!\Shrimp!\Oh, Loki.\What are you doing here? response:	What, am I not allowed to come here without a reason?
context: I just don't like dealing with you.\I love that about you.\Well, I like you better than some...\Hey, Freya!\Shrimp!\Oh, Loki.\What are you doing here?\What, am I not allowed to come here without a reason? response:	Anyway, this is perfect timing.
context: I love that about you.\Well, I like you better than some...\Hey, Freya!\Shrimp!\Oh, Loki.\What are you doing here?\What, am I not allowed to come here without a reason?\Anyway, this is perfect timing. response:	Loki, I wanted to ask you something.
context: Well, I like you better than some...\Hey, Freya!\Shrimp!\Oh, Loki.\What are you doing here?\What, am I not allowed to come here without a reason?\Anyway, this is perfect timing.\Loki, I wanted to ask you something. response:	You wanted to ask me something, shrimp?
context: Hey, Freya!\Shrimp!\Oh, Loki.\What are you doing here?\What, am I not allowed to come here without a reason?\Anyway, this is perfect timing.\Loki, I wanted to ask you something.\You wanted to ask me something, shrimp? response:	Your familia's sword princess, Wallenwhatsit... is she seeing anybody?
context: Shrimp!\Oh, Loki.\What are you doing here?\What, am I not allowed to come here without a reason?\Anyway, this is perfect timing.\Loki, I wanted to ask you something.\You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody? response:	Idiot.
context: Oh, Loki.\What are you doing here?\What, am I not allowed to come here without a reason?\Anyway, this is perfect timing.\Loki, I wanted to ask you something.\You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot. response:	Aiz is my favorite.
context: What are you doing here?\What, am I not allowed to come here without a reason?\Anyway, this is perfect timing.\Loki, I wanted to ask you something.\You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot.\Aiz is my favorite. response:	If anybody went after her...
context: What, am I not allowed to come here without a reason?\Anyway, this is perfect timing.\Loki, I wanted to ask you something.\You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot.\Aiz is my favorite.\If anybody went after her... response:	I'd rip them apart.
context: Anyway, this is perfect timing.\Loki, I wanted to ask you something.\You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot.\Aiz is my favorite.\If anybody went after her...\I'd rip them apart. response:	You two are such great friends.
context: Loki, I wanted to ask you something.\You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot.\Aiz is my favorite.\If anybody went after her...\I'd rip them apart.\You two are such great friends. response:	We are not!
context: You wanted to ask me something, shrimp?\Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot.\Aiz is my favorite.\If anybody went after her...\I'd rip them apart.\You two are such great friends.\We are not! response:	Anyway, Loki,
context: Your familia's sword princess, Wallenwhatsit... is she seeing anybody?\Idiot.\Aiz is my favorite.\If anybody went after her...\I'd rip them apart.\You two are such great friends.\We are not!\Anyway, Loki, response:	it may be a little late for this but you seem very different today.
context: Idiot.\Aiz is my favorite.\If anybody went after her...\I'd rip them apart.\You two are such great friends.\We are not!\Anyway, Loki,\it may be a little late for this but you seem very different today. response:	I haven't seen you in a dress in forever.
context: Aiz is my favorite.\If anybody went after her...\I'd rip them apart.\You two are such great friends.\We are not!\Anyway, Loki,\it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever. response:	I guess so.
context: If anybody went after her...\I'd rip them apart.\You two are such great friends.\We are not!\Anyway, Loki,\it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever.\I guess so. response:	I heard that a certain shrimp was coming to the feast,
context: I'd rip them apart.\You two are such great friends.\We are not!\Anyway, Loki,\it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever.\I guess so.\I heard that a certain shrimp was coming to the feast, response:	so I decided to come laugh at the poor god
context: You two are such great friends.\We are not!\Anyway, Loki,\it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever.\I guess so.\I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god response:	who's can't even afford to buy a dress.
context: We are not!\Anyway, Loki,\it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever.\I guess so.\I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god\who's can't even afford to buy a dress. response:	That's hilarious.
context: Anyway, Loki,\it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever.\I guess so.\I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god\who's can't even afford to buy a dress.\That's hilarious. response:	You came to laugh at me,
context: it may be a little late for this but you seem very different today.\I haven't seen you in a dress in forever.\I guess so.\I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god\who's can't even afford to buy a dress.\That's hilarious.\You came to laugh at me, response:	when everybody's going to be laughing at you?
context: I haven't seen you in a dress in forever.\I guess so.\I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god\who's can't even afford to buy a dress.\That's hilarious.\You came to laugh at me,\when everybody's going to be laughing at you? response:	What's with your utterly sad...
context: I guess so.\I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god\who's can't even afford to buy a dress.\That's hilarious.\You came to laugh at me,\when everybody's going to be laughing at you?\What's with your utterly sad... response:	Flat chest!
context: I heard that a certain shrimp was coming to the feast,\so I decided to come laugh at the poor god\who's can't even afford to buy a dress.\That's hilarious.\You came to laugh at me,\when everybody's going to be laughing at you?\What's with your utterly sad...\Flat chest! response:	Flat chest!
context: so I decided to come laugh at the poor god\who's can't even afford to buy a dress.\That's hilarious.\You came to laugh at me,\when everybody's going to be laughing at you?\What's with your utterly sad...\Flat chest!\Flat chest! response:	Flat chest!
context: who's can't even afford to buy a dress.\That's hilarious.\You came to laugh at me,\when everybody's going to be laughing at you?\What's with your utterly sad...\Flat chest!\Flat chest!\Flat chest! response:	Everyone's got great equipment...
context: That's hilarious.\You came to laugh at me,\when everybody's going to be laughing at you?\What's with your utterly sad...\Flat chest!\Flat chest!\Flat chest!\Everyone's got great equipment... response:	It's that time of year again, huh?
