context: Amagiri Shinmei Style response:	Um...
context: - Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing.\No, it's not.\It's totally cool, so don't worry!\You think so?\You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET response:	I want to beat my sister once, no matter what.
context: But see, yelling out the name of the move is kind of embarrassing.\No, it's not.\It's totally cool, so don't worry!\You think so?\You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET\I want to beat my sister once, no matter what. response:	Do you think you can help me out?
context: No, it's not.\It's totally cool, so don't worry!\You think so?\You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET\I want to beat my sister once, no matter what.\Do you think you can help me out? response:	Burst into bloom,
context: It's totally cool, so don't worry!\You think so?\You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET\I want to beat my sister once, no matter what.\Do you think you can help me out?\Burst into bloom, response:	Amaryllis!
context: You think so?\You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET\I want to beat my sister once, no matter what.\Do you think you can help me out?\Burst into bloom,\Amaryllis! response:	Go!
context: You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET\I want to beat my sister once, no matter what.\Do you think you can help me out?\Burst into bloom,\Amaryllis!\Go! response:	We're in training now, so what's with the daydreaming?
context: Okay, then, about the favor I'm gonna ask you...\FAVOR TICKET\I want to beat my sister once, no matter what.\Do you think you can help me out?\Burst into bloom,\Amaryllis!\Go!\We're in training now, so what's with the daydreaming? response:	S-Sorry.
context: FAVOR TICKET\I want to beat my sister once, no matter what.\Do you think you can help me out?\Burst into bloom,\Amaryllis!\Go!\We're in training now, so what's with the daydreaming?\S-Sorry. response:	Breaking the Memory Barrier
context: I want to beat my sister once, no matter what.\Do you think you can help me out?\Burst into bloom,\Amaryllis!\Go!\We're in training now, so what's with the daydreaming?\S-Sorry.\Breaking the Memory Barrier response:	The Eclipse Festa.
context: Do you think you can help me out?\Burst into bloom,\Amaryllis!\Go!\We're in training now, so what's with the daydreaming?\S-Sorry.\Breaking the Memory Barrier\The Eclipse Festa. response:	Haruka Amagiri lost.
context: Burst into bloom,\Amaryllis!\Go!\We're in training now, so what's with the daydreaming?\S-Sorry.\Breaking the Memory Barrier\The Eclipse Festa.\Haruka Amagiri lost. response:	Well, I hear that she didn't actually die.
context: Amaryllis!\Go!\We're in training now, so what's with the daydreaming?\S-Sorry.\Breaking the Memory Barrier\The Eclipse Festa.\Haruka Amagiri lost.\Well, I hear that she didn't actually die. response:	Ayato...
context: Go!\We're in training now, so what's with the daydreaming?\S-Sorry.\Breaking the Memory Barrier\The Eclipse Festa.\Haruka Amagiri lost.\Well, I hear that she didn't actually die.\Ayato... response:	Hey, Ayato!
context: We're in training now, so what's with the daydreaming?\S-Sorry.\Breaking the Memory Barrier\The Eclipse Festa.\Haruka Amagiri lost.\Well, I hear that she didn't actually die.\Ayato...\Hey, Ayato! response:	Oh. Julis...
context: S-Sorry.\Breaking the Memory Barrier\The Eclipse Festa.\Haruka Amagiri lost.\Well, I hear that she didn't actually die.\Ayato...\Hey, Ayato!\Oh. Julis... response:	Wh-What's up?
context: Breaking the Memory Barrier\The Eclipse Festa.\Haruka Amagiri lost.\Well, I hear that she didn't actually die.\Ayato...\Hey, Ayato!\Oh. Julis...\Wh-What's up? response:	Just as I thought, your mind is on your sister...
context: The Eclipse Festa.\Haruka Amagiri lost.\Well, I hear that she didn't actually die.\Ayato...\Hey, Ayato!\Oh. Julis...\Wh-What's up?\Just as I thought, your mind is on your sister... response:	No, that's...
context: Haruka Amagiri lost.\Well, I hear that she didn't actually die.\Ayato...\Hey, Ayato!\Oh. Julis...\Wh-What's up?\Just as I thought, your mind is on your sister...\No, that's... response:	You said before that you wouldn't go out of your way to search for your sister.
context: Well, I hear that she didn't actually die.\Ayato...\Hey, Ayato!\Oh. Julis...\Wh-What's up?\Just as I thought, your mind is on your sister...\No, that's...\You said before that you wouldn't go out of your way to search for your sister. response:	Ayato... You...
context: Ayato...\Hey, Ayato!\Oh. Julis...\Wh-What's up?\Just as I thought, your mind is on your sister...\No, that's...\You said before that you wouldn't go out of your way to search for your sister.\Ayato... You... response:	Could it be that you're afraid?
context: Hey, Ayato!\Oh. Julis...\Wh-What's up?\Just as I thought, your mind is on your sister...\No, that's...\You said before that you wouldn't go out of your way to search for your sister.\Ayato... You...\Could it be that you're afraid? response:	Afraid?
context: Oh. Julis...\Wh-What's up?\Just as I thought, your mind is on your sister...\No, that's...\You said before that you wouldn't go out of your way to search for your sister.\Ayato... You...\Could it be that you're afraid?\Afraid? response:	Why your sister sealed your powers...
context: Wh-What's up?\Just as I thought, your mind is on your sister...\No, that's...\You said before that you wouldn't go out of your way to search for your sister.\Ayato... You...\Could it be that you're afraid?\Afraid?\Why your sister sealed your powers... response:	Why she vanished without a word...
context: Just as I thought, your mind is on your sister...\No, that's...\You said before that you wouldn't go out of your way to search for your sister.\Ayato... You...\Could it be that you're afraid?\Afraid?\Why your sister sealed your powers...\Why she vanished without a word... response:	When you're reunited with her, the reason will become clear.
context: No, that's...\You said before that you wouldn't go out of your way to search for your sister.\Ayato... You...\Could it be that you're afraid?\Afraid?\Why your sister sealed your powers...\Why she vanished without a word...\When you're reunited with her, the reason will become clear. response:	But precisely because you love her, the fear must be real, as well.
context: You said before that you wouldn't go out of your way to search for your sister.\Ayato... You...\Could it be that you're afraid?\Afraid?\Why your sister sealed your powers...\Why she vanished without a word...\When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well. response:	The fear that your sister might actually have abandoned you...
context: Ayato... You...\Could it be that you're afraid?\Afraid?\Why your sister sealed your powers...\Why she vanished without a word...\When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you... response:	I see.
context: Could it be that you're afraid?\Afraid?\Why your sister sealed your powers...\Why she vanished without a word...\When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you...\I see. response:	Yeah, that just might be the case.
context: Afraid?\Why your sister sealed your powers...\Why she vanished without a word...\When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you...\I see.\Yeah, that just might be the case. response:	It's painful to be rejected by someone you cherish.
context: Why your sister sealed your powers...\Why she vanished without a word...\When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you...\I see.\Yeah, that just might be the case.\It's painful to be rejected by someone you cherish. response:	I know that all too well.
context: Why she vanished without a word...\When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you...\I see.\Yeah, that just might be the case.\It's painful to be rejected by someone you cherish.\I know that all too well. response:	But it's also a fact that you can never move on at this rate.
context: When you're reunited with her, the reason will become clear.\But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you...\I see.\Yeah, that just might be the case.\It's painful to be rejected by someone you cherish.\I know that all too well.\But it's also a fact that you can never move on at this rate. response:	You need to think long and hard about searching for your sister.
context: But precisely because you love her, the fear must be real, as well.\The fear that your sister might actually have abandoned you...\I see.\Yeah, that just might be the case.\It's painful to be rejected by someone you cherish.\I know that all too well.\But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister. response:	Afraid, huh?
context: The fear that your sister might actually have abandoned you...\I see.\Yeah, that just might be the case.\It's painful to be rejected by someone you cherish.\I know that all too well.\But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister.\Afraid, huh? response:	Boo!
context: I see.\Yeah, that just might be the case.\It's painful to be rejected by someone you cherish.\I know that all too well.\But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister.\Afraid, huh?\Boo! response:	Help me get down from here!
context: Yeah, that just might be the case.\It's painful to be rejected by someone you cherish.\I know that all too well.\But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister.\Afraid, huh?\Boo!\Help me get down from here! response:	Whoops-a-daisy.
context: It's painful to be rejected by someone you cherish.\I know that all too well.\But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister.\Afraid, huh?\Boo!\Help me get down from here!\Whoops-a-daisy. response:	Saya, I told you before.
context: I know that all too well.\But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister.\Afraid, huh?\Boo!\Help me get down from here!\Whoops-a-daisy.\Saya, I told you before. response:	Try not to scare me so much, will you?
context: But it's also a fact that you can never move on at this rate.\You need to think long and hard about searching for your sister.\Afraid, huh?\Boo!\Help me get down from here!\Whoops-a-daisy.\Saya, I told you before.\Try not to scare me so much, will you? response:	But I couldn't get through to you on your cell phone.
context: You need to think long and hard about searching for your sister.\Afraid, huh?\Boo!\Help me get down from here!\Whoops-a-daisy.\Saya, I told you before.\Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone. response:	Come on, Ayato.
context: Afraid, huh?\Boo!\Help me get down from here!\Whoops-a-daisy.\Saya, I told you before.\Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone.\Come on, Ayato. response:	Have a seat.
context: Boo!\Help me get down from here!\Whoops-a-daisy.\Saya, I told you before.\Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone.\Come on, Ayato.\Have a seat. response:	So what was it you wanted to see me about?
context: Help me get down from here!\Whoops-a-daisy.\Saya, I told you before.\Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone.\Come on, Ayato.\Have a seat.\So what was it you wanted to see me about? response:	Wh-What's going on?
context: Whoops-a-daisy.\Saya, I told you before.\Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone.\Come on, Ayato.\Have a seat.\So what was it you wanted to see me about?\Wh-What's going on? response:	That's what I should be asking you.
context: Saya, I told you before.\Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone.\Come on, Ayato.\Have a seat.\So what was it you wanted to see me about?\Wh-What's going on?\That's what I should be asking you. response:	Ayato!
context: Try not to scare me so much, will you?\But I couldn't get through to you on your cell phone.\Come on, Ayato.\Have a seat.\So what was it you wanted to see me about?\Wh-What's going on?\That's what I should be asking you.\Ayato! response:	Just what is it that's bothering you?
context: But I couldn't get through to you on your cell phone.\Come on, Ayato.\Have a seat.\So what was it you wanted to see me about?\Wh-What's going on?\That's what I should be asking you.\Ayato!\Just what is it that's bothering you? response:	I see.
context: Come on, Ayato.\Have a seat.\So what was it you wanted to see me about?\Wh-What's going on?\That's what I should be asking you.\Ayato!\Just what is it that's bothering you?\I see. response:	So you heard about it from Julis?
context: Have a seat.\So what was it you wanted to see me about?\Wh-What's going on?\That's what I should be asking you.\Ayato!\Just what is it that's bothering you?\I see.\So you heard about it from Julis? response:	Riessfeld's really worried about you, Ayato.
context: So what was it you wanted to see me about?\Wh-What's going on?\That's what I should be asking you.\Ayato!\Just what is it that's bothering you?\I see.\So you heard about it from Julis?\Riessfeld's really worried about you, Ayato. response:	Otherwise, she'd never turn to me.
context: Wh-What's going on?\That's what I should be asking you.\Ayato!\Just what is it that's bothering you?\I see.\So you heard about it from Julis?\Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me. response:	Ayato, do you really believe that Big Sis Haru abandoned you?
context: That's what I should be asking you.\Ayato!\Just what is it that's bothering you?\I see.\So you heard about it from Julis?\Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you? response:	Well...
context: Ayato!\Just what is it that's bothering you?\I see.\So you heard about it from Julis?\Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you?\Well... response:	Dummy!
context: Just what is it that's bothering you?\I see.\So you heard about it from Julis?\Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you?\Well...\Dummy! response:	I assure you!
context: I see.\So you heard about it from Julis?\Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you?\Well...\Dummy!\I assure you! response:	There's absolutely no way Big Sis Haru would ever abandon you!
context: So you heard about it from Julis?\Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you?\Well...\Dummy!\I assure you!\There's absolutely no way Big Sis Haru would ever abandon you! response:	Saya...
context: Riessfeld's really worried about you, Ayato.\Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you?\Well...\Dummy!\I assure you!\There's absolutely no way Big Sis Haru would ever abandon you!\Saya... response:	And besides, if Big Sis Haru really did lose to someone...
context: Otherwise, she'd never turn to me.\Ayato, do you really believe that Big Sis Haru abandoned you?\Well...\Dummy!\I assure you!\There's absolutely no way Big Sis Haru would ever abandon you!\Saya...\And besides, if Big Sis Haru really did lose to someone... response:	not that I can believe it,
context: Ayato, do you really believe that Big Sis Haru abandoned you?\Well...\Dummy!\I assure you!\There's absolutely no way Big Sis Haru would ever abandon you!\Saya...\And besides, if Big Sis Haru really did lose to someone...\not that I can believe it, response:	but if that really is the truth,
context: Well...\Dummy!\I assure you!\There's absolutely no way Big Sis Haru would ever abandon you!\Saya...\And besides, if Big Sis Haru really did lose to someone...\not that I can believe it,\but if that really is the truth, response:	then it might be that she just has no way of contacting you.
context: Dummy!\I assure you!\There's absolutely no way Big Sis Haru would ever abandon you!\Saya...\And besides, if Big Sis Haru really did lose to someone...\not that I can believe it,\but if that really is the truth,\then it might be that she just has no way of contacting you. response:	In which case, you can't afford to sit around here, brooding.
context: I assure you!\There's absolutely no way Big Sis Haru would ever abandon you!\Saya...\And besides, if Big Sis Haru really did lose to someone...\not that I can believe it,\but if that really is the truth,\then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding. response:	Yeah, you're absolutely right, Saya.
context: There's absolutely no way Big Sis Haru would ever abandon you!\Saya...\And besides, if Big Sis Haru really did lose to someone...\not that I can believe it,\but if that really is the truth,\then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya. response:	All right.
context: Saya...\And besides, if Big Sis Haru really did lose to someone...\not that I can believe it,\but if that really is the truth,\then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya.\All right. response:	Now that sounds more like my Ayato!
context: And besides, if Big Sis Haru really did lose to someone...\not that I can believe it,\but if that really is the truth,\then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya.\All right.\Now that sounds more like my Ayato! response:	Saya...
context: not that I can believe it,\but if that really is the truth,\then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya.\All right.\Now that sounds more like my Ayato!\Saya... response:	Ayato, do you remember this?
context: but if that really is the truth,\then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya.\All right.\Now that sounds more like my Ayato!\Saya...\Ayato, do you remember this? response:	A Favor Ticket, huh?
context: then it might be that she just has no way of contacting you.\In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya.\All right.\Now that sounds more like my Ayato!\Saya...\Ayato, do you remember this?\A Favor Ticket, huh? response:	What a blast from the past...
context: In which case, you can't afford to sit around here, brooding.\Yeah, you're absolutely right, Saya.\All right.\Now that sounds more like my Ayato!\Saya...\Ayato, do you remember this?\A Favor Ticket, huh?\What a blast from the past... response:	You and I were always competing with those tickets on the line.
context: Yeah, you're absolutely right, Saya.\All right.\Now that sounds more like my Ayato!\Saya...\Ayato, do you remember this?\A Favor Ticket, huh?\What a blast from the past...\You and I were always competing with those tickets on the line. response:	Using this ticket to call in a favor,
context: All right.\Now that sounds more like my Ayato!\Saya...\Ayato, do you remember this?\A Favor Ticket, huh?\What a blast from the past...\You and I were always competing with those tickets on the line.\Using this ticket to call in a favor, response:	you and I took on Big Sis Haru together.
context: Now that sounds more like my Ayato!\Saya...\Ayato, do you remember this?\A Favor Ticket, huh?\What a blast from the past...\You and I were always competing with those tickets on the line.\Using this ticket to call in a favor,\you and I took on Big Sis Haru together. response:	Yeah, of course I remember.
context: Saya...\Ayato, do you remember this?\A Favor Ticket, huh?\What a blast from the past...\You and I were always competing with those tickets on the line.\Using this ticket to call in a favor,\you and I took on Big Sis Haru together.\Yeah, of course I remember. response:	Looks like your swordsmanship's a lot better now.
context: Ayato, do you remember this?\A Favor Ticket, huh?\What a blast from the past...\You and I were always competing with those tickets on the line.\Using this ticket to call in a favor,\you and I took on Big Sis Haru together.\Yeah, of course I remember.\Looks like your swordsmanship's a lot better now. response:	All that basic training paid off, huh?
context: A Favor Ticket, huh?\What a blast from the past...\You and I were always competing with those tickets on the line.\Using this ticket to call in a favor,\you and I took on Big Sis Haru together.\Yeah, of course I remember.\Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh? response:	Well, but...
context: What a blast from the past...\You and I were always competing with those tickets on the line.\Using this ticket to call in a favor,\you and I took on Big Sis Haru together.\Yeah, of course I remember.\Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh?\Well, but... response:	that's all... you ever...
context: You and I were always competing with those tickets on the line.\Using this ticket to call in a favor,\you and I took on Big Sis Haru together.\Yeah, of course I remember.\Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh?\Well, but...\that's all... you ever... response:	let me do...
context: Using this ticket to call in a favor,\you and I took on Big Sis Haru together.\Yeah, of course I remember.\Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh?\Well, but...\that's all... you ever...\let me do... response:	Right?
context: you and I took on Big Sis Haru together.\Yeah, of course I remember.\Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh?\Well, but...\that's all... you ever...\let me do...\Right? response:	Saya-chan!
context: Yeah, of course I remember.\Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh?\Well, but...\that's all... you ever...\let me do...\Right?\Saya-chan! response:	Leave it to me!
context: Looks like your swordsmanship's a lot better now.\All that basic training paid off, huh?\Well, but...\that's all... you ever...\let me do...\Right?\Saya-chan!\Leave it to me! response:	Now this is actually...
context: All that basic training paid off, huh?\Well, but...\that's all... you ever...\let me do...\Right?\Saya-chan!\Leave it to me!\Now this is actually... response:	Ayato!
context: Well, but...\that's all... you ever...\let me do...\Right?\Saya-chan!\Leave it to me!\Now this is actually...\Ayato! response:	I think I panicked just a little.
context: that's all... you ever...\let me do...\Right?\Saya-chan!\Leave it to me!\Now this is actually...\Ayato!\I think I panicked just a little. response:	I guess it would be insulting if I didn't go all-out in return, right?
context: let me do...\Right?\Saya-chan!\Leave it to me!\Now this is actually...\Ayato!\I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right? response:	What was that?
context: Right?\Saya-chan!\Leave it to me!\Now this is actually...\Ayato!\I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right?\What was that? response:	The first of the Amagiri Shinmei Style Hidden Techniques...
context: Saya-chan!\Leave it to me!\Now this is actually...\Ayato!\I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right?\What was that?\The first of the Amagiri Shinmei Style Hidden Techniques... response:	Banish Evil Spirits.
context: Leave it to me!\Now this is actually...\Ayato!\I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right?\What was that?\The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits. response:	Banish Evil Spirits...
context: Now this is actually...\Ayato!\I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right?\What was that?\The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits.\Banish Evil Spirits... response:	In the end, we never did manage to beat Big Sis Haru even once.
context: Ayato!\I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right?\What was that?\The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits.\Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once. response:	Well, my sister was totally unstoppable.
context: I think I panicked just a little.\I guess it would be insulting if I didn't go all-out in return, right?\What was that?\The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits.\Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable. response:	Even though she was always so laid-back.
context: I guess it would be insulting if I didn't go all-out in return, right?\What was that?\The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits.\Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable.\Even though she was always so laid-back. response:	Well, that's also true of you, Ayato.
context: What was that?\The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits.\Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable.\Even though she was always so laid-back.\Well, that's also true of you, Ayato. response:	We've got to find Big Sis Haru and get the best of her next time.
context: The first of the Amagiri Shinmei Style Hidden Techniques...\Banish Evil Spirits.\Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable.\Even though she was always so laid-back.\Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time. response:	You and me both, Ayato.
context: Banish Evil Spirits.\Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable.\Even though she was always so laid-back.\Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato. response:	Yeah, I agree.
context: Banish Evil Spirits...\In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable.\Even though she was always so laid-back.\Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato.\Yeah, I agree. response:	Although I'm pretty sure we still can't beat her.
context: In the end, we never did manage to beat Big Sis Haru even once.\Well, my sister was totally unstoppable.\Even though she was always so laid-back.\Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato.\Yeah, I agree.\Although I'm pretty sure we still can't beat her. response:	Well, when that day comes, all we have to do is join forces.
context: Well, my sister was totally unstoppable.\Even though she was always so laid-back.\Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato.\Yeah, I agree.\Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces. response:	So Ayato...
context: Even though she was always so laid-back.\Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato.\Yeah, I agree.\Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces.\So Ayato... response:	When you're in trouble, you should lean on someone else.
context: Well, that's also true of you, Ayato.\We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato.\Yeah, I agree.\Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces.\So Ayato...\When you're in trouble, you should lean on someone else. response:	Aside from me,
context: We've got to find Big Sis Haru and get the best of her next time.\You and me both, Ayato.\Yeah, I agree.\Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces.\So Ayato...\When you're in trouble, you should lean on someone else.\Aside from me, response:	I'm sure there are other people who'd help you out.
context: You and me both, Ayato.\Yeah, I agree.\Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces.\So Ayato...\When you're in trouble, you should lean on someone else.\Aside from me,\I'm sure there are other people who'd help you out. response:	Though I kind of hate to admit it.
context: Yeah, I agree.\Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces.\So Ayato...\When you're in trouble, you should lean on someone else.\Aside from me,\I'm sure there are other people who'd help you out.\Though I kind of hate to admit it. response:	As you can see from their previous matches,
context: Although I'm pretty sure we still can't beat her.\Well, when that day comes, all we have to do is join forces.\So Ayato...\When you're in trouble, you should lean on someone else.\Aside from me,\I'm sure there are other people who'd help you out.\Though I kind of hate to admit it.\As you can see from their previous matches, response:	these twins focus on attacking only their opponents' weak points.
context: Well, when that day comes, all we have to do is join forces.\So Ayato...\When you're in trouble, you should lean on someone else.\Aside from me,\I'm sure there are other people who'd help you out.\Though I kind of hate to admit it.\As you can see from their previous matches,\these twins focus on attacking only their opponents' weak points. response:	They create a situation where they have an insurmountable advantage,
context: So Ayato...\When you're in trouble, you should lean on someone else.\Aside from me,\I'm sure there are other people who'd help you out.\Though I kind of hate to admit it.\As you can see from their previous matches,\these twins focus on attacking only their opponents' weak points.\They create a situation where they have an insurmountable advantage, response:	and only then do they go on the offensive.
