context: Closing Ceremony response:	Congratulations on your win, Suiryu!
context: so we ask that you do not leave the venue until the police give the all-clear.\Again?\We'll be safe from the monsters in here.\True.\There's no point in dwelling on it.\I just need to make sure I never see that guy again.\Hey, you're cute.\Huh? response:	I'm just going to take it easy.
context: Again?\We'll be safe from the monsters in here.\True.\There's no point in dwelling on it.\I just need to make sure I never see that guy again.\Hey, you're cute.\Huh?\I'm just going to take it easy. response:	What's that?!
context: We'll be safe from the monsters in here.\True.\There's no point in dwelling on it.\I just need to make sure I never see that guy again.\Hey, you're cute.\Huh?\I'm just going to take it easy.\What's that?! response:	What is that?!
context: True.\There's no point in dwelling on it.\I just need to make sure I never see that guy again.\Hey, you're cute.\Huh?\I'm just going to take it easy.\What's that?!\What is that?! response:	M-Monsters?!
context: There's no point in dwelling on it.\I just need to make sure I never see that guy again.\Hey, you're cute.\Huh?\I'm just going to take it easy.\What's that?!\What is that?!\M-Monsters?! response:	Look! They're holding Rosie, Dave, and Bazuzu!
context: I just need to make sure I never see that guy again.\Hey, you're cute.\Huh?\I'm just going to take it easy.\What's that?!\What is that?!\M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu! response:	The contestants that were sent to the hospital..
context: Hey, you're cute.\Huh?\I'm just going to take it easy.\What's that?!\What is that?!\M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital.. response:	I-I'm outta here!
context: Huh?\I'm just going to take it easy.\What's that?!\What is that?!\M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital..\I-I'm outta here! response:	You guys can deal with the monsters!
context: I'm just going to take it easy.\What's that?!\What is that?!\M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital..\I-I'm outta here!\You guys can deal with the monsters! response:	See ya!
context: What's that?!\What is that?!\M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital..\I-I'm outta here!\You guys can deal with the monsters!\See ya! response:	Hey!
context: What is that?!\M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital..\I-I'm outta here!\You guys can deal with the monsters!\See ya!\Hey! response:	Are all the contestants here?
context: M-Monsters?!\Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital..\I-I'm outta here!\You guys can deal with the monsters!\See ya!\Hey!\Are all the contestants here? response:	Look at all you runts. How far the martial arts world has fallen...
context: Look! They're holding Rosie, Dave, and Bazuzu!\The contestants that were sent to the hospital..\I-I'm outta here!\You guys can deal with the monsters!\See ya!\Hey!\Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen... response:	Well, whatever.
context: The contestants that were sent to the hospital..\I-I'm outta here!\You guys can deal with the monsters!\See ya!\Hey!\Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen...\Well, whatever. response:	You're all going to become monsters.
context: I-I'm outta here!\You guys can deal with the monsters!\See ya!\Hey!\Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen...\Well, whatever.\You're all going to become monsters. response:	The Strong Ones Fight Back
context: You guys can deal with the monsters!\See ya!\Hey!\Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen...\Well, whatever.\You're all going to become monsters.\The Strong Ones Fight Back response:	Even you trash fighters should be somewhat useful after you become monsters.
context: See ya!\Hey!\Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen...\Well, whatever.\You're all going to become monsters.\The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters. response:	Become monsters?
context: Hey!\Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen...\Well, whatever.\You're all going to become monsters.\The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters.\Become monsters? response:	We pro heroes will put you in your place!
context: Are all the contestants here?\Look at all you runts. How far the martial arts world has fallen...\Well, whatever.\You're all going to become monsters.\The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters.\Become monsters?\We pro heroes will put you in your place! response:	Way to go, heroes! Kick his ass!
context: Look at all you runts. How far the martial arts world has fallen...\Well, whatever.\You're all going to become monsters.\The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters.\Become monsters?\We pro heroes will put you in your place!\Way to go, heroes! Kick his ass! response:	Finished already?
context: Well, whatever.\You're all going to become monsters.\The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters.\Become monsters?\We pro heroes will put you in your place!\Way to go, heroes! Kick his ass!\Finished already? response:	With one hit?
context: You're all going to become monsters.\The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters.\Become monsters?\We pro heroes will put you in your place!\Way to go, heroes! Kick his ass!\Finished already?\With one hit? response:	I'm not here to kill you all today.
context: The Strong Ones Fight Back\Even you trash fighters should be somewhat useful after you become monsters.\Become monsters?\We pro heroes will put you in your place!\Way to go, heroes! Kick his ass!\Finished already?\With one hit?\I'm not here to kill you all today. response:	I'm Goketsu, and I'm here on behalf of the Monster Association.
context: Even you trash fighters should be somewhat useful after you become monsters.\Become monsters?\We pro heroes will put you in your place!\Way to go, heroes! Kick his ass!\Finished already?\With one hit?\I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association. response:	Goketsu?!
context: Become monsters?\We pro heroes will put you in your place!\Way to go, heroes! Kick his ass!\Finished already?\With one hit?\I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?! response:	You don't mean the previous Super Fight champion?!
context: We pro heroes will put you in your place!\Way to go, heroes! Kick his ass!\Finished already?\With one hit?\I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?!\You don't mean the previous Super Fight champion?! response:	If you know who I am, this shouldn't take too long.
context: Way to go, heroes! Kick his ass!\Finished already?\With one hit?\I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?!\You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long. response:	You must realize resistance is futile.
context: Finished already?\With one hit?\I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?!\You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long.\You must realize resistance is futile. response:	But I heard that he was killed by a monster a few years ago!
context: With one hit?\I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?!\You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long.\You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago! response:	So why...
context: I'm not here to kill you all today.\I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?!\You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long.\You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago!\So why... response:	It's true that I was defeated by a certain monster in the past,
context: I'm Goketsu, and I'm here on behalf of the Monster Association.\Goketsu?!\You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long.\You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago!\So why...\It's true that I was defeated by a certain monster in the past, response:	and I was taken to their lair.
context: Goketsu?!\You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long.\You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago!\So why...\It's true that I was defeated by a certain monster in the past,\and I was taken to their lair. response:	But to my surprise, they made me an offer.
context: You don't mean the previous Super Fight champion?!\If you know who I am, this shouldn't take too long.\You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago!\So why...\It's true that I was defeated by a certain monster in the past,\and I was taken to their lair.\But to my surprise, they made me an offer. response:	In return for my cooperation, they would grant all of my desires!
context: If you know who I am, this shouldn't take too long.\You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago!\So why...\It's true that I was defeated by a certain monster in the past,\and I was taken to their lair.\But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires! response:	As a monster, I can surpass the limits I had as a human!
context: You must realize resistance is futile.\But I heard that he was killed by a monster a few years ago!\So why...\It's true that I was defeated by a certain monster in the past,\and I was taken to their lair.\But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human! response:	Do you understand what I'm saying? Right now,
context: But I heard that he was killed by a monster a few years ago!\So why...\It's true that I was defeated by a certain monster in the past,\and I was taken to their lair.\But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now, response:	I'm on a completely different level than the martial artist Goketsu!
context: So why...\It's true that I was defeated by a certain monster in the past,\and I was taken to their lair.\But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu! response:	Rejoice! I have something to give you.
context: It's true that I was defeated by a certain monster in the past,\and I was taken to their lair.\But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you. response:	Eat those monster cells.
context: and I was taken to their lair.\But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you.\Eat those monster cells. response:	Then you can all become monsters.
context: But to my surprise, they made me an offer.\In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you.\Eat those monster cells.\Then you can all become monsters. response:	If you don't eat them, I'll just kill you.
context: In return for my cooperation, they would grant all of my desires!\As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you.\Eat those monster cells.\Then you can all become monsters.\If you don't eat them, I'll just kill you. response:	The Monster Association...
context: As a monster, I can surpass the limits I had as a human!\Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you.\Eat those monster cells.\Then you can all become monsters.\If you don't eat them, I'll just kill you.\The Monster Association... response:	What do you want? Are you just out for murder and destruction?
context: Do you understand what I'm saying? Right now,\I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you.\Eat those monster cells.\Then you can all become monsters.\If you don't eat them, I'll just kill you.\The Monster Association...\What do you want? Are you just out for murder and destruction? response:	True, violence is a basic desire for monsters.
context: I'm on a completely different level than the martial artist Goketsu!\Rejoice! I have something to give you.\Eat those monster cells.\Then you can all become monsters.\If you don't eat them, I'll just kill you.\The Monster Association...\What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters. response:	But that is not our only motive.
context: Rejoice! I have something to give you.\Eat those monster cells.\Then you can all become monsters.\If you don't eat them, I'll just kill you.\The Monster Association...\What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters.\But that is not our only motive. response:	We're trying to go one step higher.
context: Eat those monster cells.\Then you can all become monsters.\If you don't eat them, I'll just kill you.\The Monster Association...\What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters.\But that is not our only motive.\We're trying to go one step higher. response:	You can just stay there and watch for now,
context: Then you can all become monsters.\If you don't eat them, I'll just kill you.\The Monster Association...\What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters.\But that is not our only motive.\We're trying to go one step higher.\You can just stay there and watch for now, response:	and observe how physically and mentally weak humans are.
context: If you don't eat them, I'll just kill you.\The Monster Association...\What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters.\But that is not our only motive.\We're trying to go one step higher.\You can just stay there and watch for now,\and observe how physically and mentally weak humans are. response:	Choose.
context: The Monster Association...\What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters.\But that is not our only motive.\We're trying to go one step higher.\You can just stay there and watch for now,\and observe how physically and mentally weak humans are.\Choose. response:	Die or become monsters.
context: What do you want? Are you just out for murder and destruction?\True, violence is a basic desire for monsters.\But that is not our only motive.\We're trying to go one step higher.\You can just stay there and watch for now,\and observe how physically and mentally weak humans are.\Choose.\Die or become monsters. response:	No, don't!
context: True, violence is a basic desire for monsters.\But that is not our only motive.\We're trying to go one step higher.\You can just stay there and watch for now,\and observe how physically and mentally weak humans are.\Choose.\Die or become monsters.\No, don't! response:	This is amazing!
context: But that is not our only motive.\We're trying to go one step higher.\You can just stay there and watch for now,\and observe how physically and mentally weak humans are.\Choose.\Die or become monsters.\No, don't!\This is amazing! response:	I can feel the power and violence flow through me!
context: We're trying to go one step higher.\You can just stay there and watch for now,\and observe how physically and mentally weak humans are.\Choose.\Die or become monsters.\No, don't!\This is amazing!\I can feel the power and violence flow through me! response:	Hey, fatso!
context: You can just stay there and watch for now,\and observe how physically and mentally weak humans are.\Choose.\Die or become monsters.\No, don't!\This is amazing!\I can feel the power and violence flow through me!\Hey, fatso! response:	You're gonna regret what you did to me during our match!
context: and observe how physically and mentally weak humans are.\Choose.\Die or become monsters.\No, don't!\This is amazing!\I can feel the power and violence flow through me!\Hey, fatso!\You're gonna regret what you did to me during our match! response:	He's got superhuman strength now.
context: Choose.\Die or become monsters.\No, don't!\This is amazing!\I can feel the power and violence flow through me!\Hey, fatso!\You're gonna regret what you did to me during our match!\He's got superhuman strength now. response:	How interesting that even a peasant like him could gain such power.
context: Die or become monsters.\No, don't!\This is amazing!\I can feel the power and violence flow through me!\Hey, fatso!\You're gonna regret what you did to me during our match!\He's got superhuman strength now.\How interesting that even a peasant like him could gain such power. response:	I should be able to awaken to the ultimate power,
context: No, don't!\This is amazing!\I can feel the power and violence flow through me!\Hey, fatso!\You're gonna regret what you did to me during our match!\He's got superhuman strength now.\How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power, response:	given I'm the man with the world's most perfect genes.
context: This is amazing!\I can feel the power and violence flow through me!\Hey, fatso!\You're gonna regret what you did to me during our match!\He's got superhuman strength now.\How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes. response:	Choze, not you, too!
context: I can feel the power and violence flow through me!\Hey, fatso!\You're gonna regret what you did to me during our match!\He's got superhuman strength now.\How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes.\Choze, not you, too! response:	Not only did it improve my physical functioning,
context: Hey, fatso!\You're gonna regret what you did to me during our match!\He's got superhuman strength now.\How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes.\Choze, not you, too!\Not only did it improve my physical functioning, response:	but I can feel my subconscious limits falling away.
context: You're gonna regret what you did to me during our match!\He's got superhuman strength now.\How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes.\Choze, not you, too!\Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away. response:	So this is how it feels to be a monster? Let's see...
context: He's got superhuman strength now.\How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes.\Choze, not you, too!\Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see... response:	Jakumen!
context: How interesting that even a peasant like him could gain such power.\I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes.\Choze, not you, too!\Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see...\Jakumen! response:	Now I'll definitely be able to kill that guy!
context: I should be able to awaken to the ultimate power,\given I'm the man with the world's most perfect genes.\Choze, not you, too!\Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see...\Jakumen!\Now I'll definitely be able to kill that guy! response:	I'll make him pay for embarrassing me like that... with his death!
context: given I'm the man with the world's most perfect genes.\Choze, not you, too!\Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see...\Jakumen!\Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death! response:	You didn't turn out too bad.
context: Choze, not you, too!\Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see...\Jakumen!\Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad. response:	We do have winners and losers, depending on what we're working with.
context: Not only did it improve my physical functioning,\but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see...\Jakumen!\Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad.\We do have winners and losers, depending on what we're working with. response:	Go on. The rest of you filth need to eat those, too.
context: but I can feel my subconscious limits falling away.\So this is how it feels to be a monster? Let's see...\Jakumen!\Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad.\We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too. response:	Please, spare me!
context: So this is how it feels to be a monster? Let's see...\Jakumen!\Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad.\We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too.\Please, spare me! response:	Benpats!
context: Jakumen!\Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad.\We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too.\Please, spare me!\Benpats! response:	This is for survival.
context: Now I'll definitely be able to kill that guy!\I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad.\We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too.\Please, spare me!\Benpats!\This is for survival. response:	Hamukichi!
context: I'll make him pay for embarrassing me like that... with his death!\You didn't turn out too bad.\We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too.\Please, spare me!\Benpats!\This is for survival.\Hamukichi! response:	This is to become stronger!
context: You didn't turn out too bad.\We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too.\Please, spare me!\Benpats!\This is for survival.\Hamukichi!\This is to become stronger! response:	Not you, too, Boltane!
context: We do have winners and losers, depending on what we're working with.\Go on. The rest of you filth need to eat those, too.\Please, spare me!\Benpats!\This is for survival.\Hamukichi!\This is to become stronger!\Not you, too, Boltane! response:	I feel like I can do anything now!
context: Go on. The rest of you filth need to eat those, too.\Please, spare me!\Benpats!\This is for survival.\Hamukichi!\This is to become stronger!\Not you, too, Boltane!\I feel like I can do anything now! response:	This feels great!
context: Please, spare me!\Benpats!\This is for survival.\Hamukichi!\This is to become stronger!\Not you, too, Boltane!\I feel like I can do anything now!\This feels great! response:	They all turned into monsters!
context: Benpats!\This is for survival.\Hamukichi!\This is to become stronger!\Not you, too, Boltane!\I feel like I can do anything now!\This feels great!\They all turned into monsters! response:	Wh-Wh-What should we do?
context: This is for survival.\Hamukichi!\This is to become stronger!\Not you, too, Boltane!\I feel like I can do anything now!\This feels great!\They all turned into monsters!\Wh-Wh-What should we do? response:	Hey.
context: Hamukichi!\This is to become stronger!\Not you, too, Boltane!\I feel like I can do anything now!\This feels great!\They all turned into monsters!\Wh-Wh-What should we do?\Hey. response:	If I can chase those guys off, will you go on a date with me?
context: This is to become stronger!\Not you, too, Boltane!\I feel like I can do anything now!\This feels great!\They all turned into monsters!\Wh-Wh-What should we do?\Hey.\If I can chase those guys off, will you go on a date with me? response:	Great! That settles it.
context: Not you, too, Boltane!\I feel like I can do anything now!\This feels great!\They all turned into monsters!\Wh-Wh-What should we do?\Hey.\If I can chase those guys off, will you go on a date with me?\Great! That settles it. response:	I'm going to relieve all that stress from the finals right now.
context: I feel like I can do anything now!\This feels great!\They all turned into monsters!\Wh-Wh-What should we do?\Hey.\If I can chase those guys off, will you go on a date with me?\Great! That settles it.\I'm going to relieve all that stress from the finals right now. response:	Oh? We actually have someone who dares defy us in this situation?
context: This feels great!\They all turned into monsters!\Wh-Wh-What should we do?\Hey.\If I can chase those guys off, will you go on a date with me?\Great! That settles it.\I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation? response:	So be it.
context: They all turned into monsters!\Wh-Wh-What should we do?\Hey.\If I can chase those guys off, will you go on a date with me?\Great! That settles it.\I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation?\So be it. response:	We're to eliminate anyone who dares to become an enemy of the Monster Association.
context: Wh-Wh-What should we do?\Hey.\If I can chase those guys off, will you go on a date with me?\Great! That settles it.\I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation?\So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association. response:	Finish him!
context: Hey.\If I can chase those guys off, will you go on a date with me?\Great! That settles it.\I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation?\So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him! response:	You fool! You're nothing but a playboy!
context: If I can chase those guys off, will you go on a date with me?\Great! That settles it.\I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation?\So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him!\You fool! You're nothing but a playboy! response:	You suddenly want to play hero now?
context: Great! That settles it.\I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation?\So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him!\You fool! You're nothing but a playboy!\You suddenly want to play hero now? response:	That's not it.
context: I'm going to relieve all that stress from the finals right now.\Oh? We actually have someone who dares defy us in this situation?\So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him!\You fool! You're nothing but a playboy!\You suddenly want to play hero now?\That's not it. response:	It's just that you guys
context: Oh? We actually have someone who dares defy us in this situation?\So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him!\You fool! You're nothing but a playboy!\You suddenly want to play hero now?\That's not it.\It's just that you guys response:	are in the way...
context: So be it.\We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him!\You fool! You're nothing but a playboy!\You suddenly want to play hero now?\That's not it.\It's just that you guys\are in the way... response:	of my fun lifestyle.
context: We're to eliminate anyone who dares to become an enemy of the Monster Association.\Finish him!\You fool! You're nothing but a playboy!\You suddenly want to play hero now?\That's not it.\It's just that you guys\are in the way...\of my fun lifestyle. response:	Well, well... You're not half bad.
context: Finish him!\You fool! You're nothing but a playboy!\You suddenly want to play hero now?\That's not it.\It's just that you guys\are in the way...\of my fun lifestyle.\Well, well... You're not half bad. response:	Not half bad?
context: You fool! You're nothing but a playboy!\You suddenly want to play hero now?\That's not it.\It's just that you guys\are in the way...\of my fun lifestyle.\Well, well... You're not half bad.\Not half bad? response:	Your answer suggests you lack intelligence.
context: You suddenly want to play hero now?\That's not it.\It's just that you guys\are in the way...\of my fun lifestyle.\Well, well... You're not half bad.\Not half bad?\Your answer suggests you lack intelligence. response:	What's that?
context: That's not it.\It's just that you guys\are in the way...\of my fun lifestyle.\Well, well... You're not half bad.\Not half bad?\Your answer suggests you lack intelligence.\What's that? response:	I've decided.
context: It's just that you guys\are in the way...\of my fun lifestyle.\Well, well... You're not half bad.\Not half bad?\Your answer suggests you lack intelligence.\What's that?\I've decided. response:	I'll remake this world with only those of my own choosing.
context: are in the way...\of my fun lifestyle.\Well, well... You're not half bad.\Not half bad?\Your answer suggests you lack intelligence.\What's that?\I've decided.\I'll remake this world with only those of my own choosing. response:	And all of you fail.
context: of my fun lifestyle.\Well, well... You're not half bad.\Not half bad?\Your answer suggests you lack intelligence.\What's that?\I've decided.\I'll remake this world with only those of my own choosing.\And all of you fail. response:	Begone.
context: Well, well... You're not half bad.\Not half bad?\Your answer suggests you lack intelligence.\What's that?\I've decided.\I'll remake this world with only those of my own choosing.\And all of you fail.\Begone. response:	This is nothing!
context: Not half bad?\Your answer suggests you lack intelligence.\What's that?\I've decided.\I'll remake this world with only those of my own choosing.\And all of you fail.\Begone.\This is nothing! response:	What?!
context: Your answer suggests you lack intelligence.\What's that?\I've decided.\I'll remake this world with only those of my own choosing.\And all of you fail.\Begone.\This is nothing!\What?! response:	And in my eyes, you just failed.
context: What's that?\I've decided.\I'll remake this world with only those of my own choosing.\And all of you fail.\Begone.\This is nothing!\What?!\And in my eyes, you just failed. response:	Entertain me a little more.
context: I've decided.\I'll remake this world with only those of my own choosing.\And all of you fail.\Begone.\This is nothing!\What?!\And in my eyes, you just failed.\Entertain me a little more. response:	You fool!
