context: Xiwu Palace is so large. response:	Will you be able to find the Hall of Beautiful Youth?
context: Xin Nu.\I finally know why Ye Hua...\is so attached to her.\Your Highness, what are you saying?\Just now...\Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like?\She actually looks no different from that mortal. response:	Your Highness.
context: I finally know why Ye Hua...\is so attached to her.\Your Highness, what are you saying?\Just now...\Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like?\She actually looks no different from that mortal.\Your Highness. response:	What are you saying?
context: is so attached to her.\Your Highness, what are you saying?\Just now...\Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like?\She actually looks no different from that mortal.\Your Highness.\What are you saying? response:	Su Su.
context: Your Highness, what are you saying?\Just now...\Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like?\She actually looks no different from that mortal.\Your Highness.\What are you saying?\Su Su. response:	It's Su Su!
context: Just now...\Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like?\She actually looks no different from that mortal.\Your Highness.\What are you saying?\Su Su.\It's Su Su! response:	She and Su Su...
context: Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like?\She actually looks no different from that mortal.\Your Highness.\What are you saying?\Su Su.\It's Su Su!\She and Su Su... response:	actually look so much alike...
context: Do you know who she looks like?\She actually looks no different from that mortal.\Your Highness.\What are you saying?\Su Su.\It's Su Su!\She and Su Su...\actually look so much alike... response:	Your Highness.
context: She actually looks no different from that mortal.\Your Highness.\What are you saying?\Su Su.\It's Su Su!\She and Su Su...\actually look so much alike...\Your Highness. response:	Here is fine. I know the way from here.
context: Your Highness.\What are you saying?\Su Su.\It's Su Su!\She and Su Su...\actually look so much alike...\Your Highness.\Here is fine. I know the way from here. response:	Really, I can find my way from here.
context: What are you saying?\Su Su.\It's Su Su!\She and Su Su...\actually look so much alike...\Your Highness.\Here is fine. I know the way from here.\Really, I can find my way from here. response:	I escorted you all this way not just to lead the way for you.
context: Su Su.\It's Su Su!\She and Su Su...\actually look so much alike...\Your Highness.\Here is fine. I know the way from here.\Really, I can find my way from here.\I escorted you all this way not just to lead the way for you. response:	I wanted to ask you a question.
context: It's Su Su!\She and Su Su...\actually look so much alike...\Your Highness.\Here is fine. I know the way from here.\Really, I can find my way from here.\I escorted you all this way not just to lead the way for you.\I wanted to ask you a question. response:	Why did you tell the princess to return to the Eastern Sea?
context: She and Su Su...\actually look so much alike...\Your Highness.\Here is fine. I know the way from here.\Really, I can find my way from here.\I escorted you all this way not just to lead the way for you.\I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea? response:	Didn't you want her to return to the Eastern Sea as well?
context: actually look so much alike...\Your Highness.\Here is fine. I know the way from here.\Really, I can find my way from here.\I escorted you all this way not just to lead the way for you.\I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well? response:	Is that the only reason?
context: Your Highness.\Here is fine. I know the way from here.\Really, I can find my way from here.\I escorted you all this way not just to lead the way for you.\I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well?\Is that the only reason? response:	I don't know how to answer you now that you ask me that.
context: Here is fine. I know the way from here.\Really, I can find my way from here.\I escorted you all this way not just to lead the way for you.\I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well?\Is that the only reason?\I don't know how to answer you now that you ask me that. response:	As I expected.
context: Really, I can find my way from here.\I escorted you all this way not just to lead the way for you.\I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well?\Is that the only reason?\I don't know how to answer you now that you ask me that.\As I expected. response:	What did you expect?
context: I escorted you all this way not just to lead the way for you.\I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well?\Is that the only reason?\I don't know how to answer you now that you ask me that.\As I expected.\What did you expect? response:	I didn't forget my promise to you.
context: I wanted to ask you a question.\Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well?\Is that the only reason?\I don't know how to answer you now that you ask me that.\As I expected.\What did you expect?\I didn't forget my promise to you. response:	I will remember to find a few consorts for you.
context: Why did you tell the princess to return to the Eastern Sea?\Didn't you want her to return to the Eastern Sea as well?\Is that the only reason?\I don't know how to answer you now that you ask me that.\As I expected.\What did you expect?\I didn't forget my promise to you.\I will remember to find a few consorts for you. response:	But since you don't like that princess
context: Didn't you want her to return to the Eastern Sea as well?\Is that the only reason?\I don't know how to answer you now that you ask me that.\As I expected.\What did you expect?\I didn't forget my promise to you.\I will remember to find a few consorts for you.\But since you don't like that princess response:	then just send her back to the Eastern Sea.
context: Is that the only reason?\I don't know how to answer you now that you ask me that.\As I expected.\What did you expect?\I didn't forget my promise to you.\I will remember to find a few consorts for you.\But since you don't like that princess\then just send her back to the Eastern Sea. response:	Speaking of which, the princess was a bit too calculating.
context: I don't know how to answer you now that you ask me that.\As I expected.\What did you expect?\I didn't forget my promise to you.\I will remember to find a few consorts for you.\But since you don't like that princess\then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating. response:	She tried to drug you today.
context: As I expected.\What did you expect?\I didn't forget my promise to you.\I will remember to find a few consorts for you.\But since you don't like that princess\then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating.\She tried to drug you today. response:	Who knows what she might do another day?
context: What did you expect?\I didn't forget my promise to you.\I will remember to find a few consorts for you.\But since you don't like that princess\then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating.\She tried to drug you today.\Who knows what she might do another day? response:	It's better for the palace to be more peaceful and quiet.
context: I didn't forget my promise to you.\I will remember to find a few consorts for you.\But since you don't like that princess\then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating.\She tried to drug you today.\Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet. response:	What do you think?
context: I will remember to find a few consorts for you.\But since you don't like that princess\then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating.\She tried to drug you today.\Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet.\What do you think? response:	I shouldn't have asked you this question.
context: But since you don't like that princess\then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating.\She tried to drug you today.\Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet.\What do you think?\I shouldn't have asked you this question. response:	I asked you to go into the room because I wanted you to be jealous.
context: then just send her back to the Eastern Sea.\Speaking of which, the princess was a bit too calculating.\She tried to drug you today.\Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet.\What do you think?\I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous. response:	But I didn't realize that you were just putting on a show.
context: Speaking of which, the princess was a bit too calculating.\She tried to drug you today.\Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet.\What do you think?\I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show. response:	In your heart...
context: She tried to drug you today.\Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet.\What do you think?\I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show.\In your heart... response:	I have no standing.
context: Who knows what she might do another day?\It's better for the palace to be more peaceful and quiet.\What do you think?\I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show.\In your heart...\I have no standing. response:	Bai Qian.
context: It's better for the palace to be more peaceful and quiet.\What do you think?\I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show.\In your heart...\I have no standing.\Bai Qian. response:	Does your heart only have room for one person?
context: What do you think?\I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show.\In your heart...\I have no standing.\Bai Qian.\Does your heart only have room for one person? response:	How long will you wait for him?
context: I shouldn't have asked you this question.\I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show.\In your heart...\I have no standing.\Bai Qian.\Does your heart only have room for one person?\How long will you wait for him? response:	In your heart, I have no standing.
context: I asked you to go into the room because I wanted you to be jealous.\But I didn't realize that you were just putting on a show.\In your heart...\I have no standing.\Bai Qian.\Does your heart only have room for one person?\How long will you wait for him?\In your heart, I have no standing. response:	Bai Qian, does your heart only have room for one person?
context: But I didn't realize that you were just putting on a show.\In your heart...\I have no standing.\Bai Qian.\Does your heart only have room for one person?\How long will you wait for him?\In your heart, I have no standing.\Bai Qian, does your heart only have room for one person? response:	How long will you wait for him?
context: In your heart...\I have no standing.\Bai Qian.\Does your heart only have room for one person?\How long will you wait for him?\In your heart, I have no standing.\Bai Qian, does your heart only have room for one person?\How long will you wait for him? response:	I was so sleepy earlier.
context: I have no standing.\Bai Qian.\Does your heart only have room for one person?\How long will you wait for him?\In your heart, I have no standing.\Bai Qian, does your heart only have room for one person?\How long will you wait for him?\I was so sleepy earlier. response:	Now that I'm lying under this soft blanket, I can't sleep.
context: Bai Qian.\Does your heart only have room for one person?\How long will you wait for him?\In your heart, I have no standing.\Bai Qian, does your heart only have room for one person?\How long will you wait for him?\I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep. response:	In your heart, I have no standing.
context: Does your heart only have room for one person?\How long will you wait for him?\In your heart, I have no standing.\Bai Qian, does your heart only have room for one person?\How long will you wait for him?\I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing. response:	Bai Qian.
context: How long will you wait for him?\In your heart, I have no standing.\Bai Qian, does your heart only have room for one person?\How long will you wait for him?\I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing.\Bai Qian. response:	Does your heart only have room for one person?
context: In your heart, I have no standing.\Bai Qian, does your heart only have room for one person?\How long will you wait for him?\I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing.\Bai Qian.\Does your heart only have room for one person? response:	A-Yin.
context: Bai Qian, does your heart only have room for one person?\How long will you wait for him?\I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing.\Bai Qian.\Does your heart only have room for one person?\A-Yin. response:	A-Yin, where are you?
context: How long will you wait for him?\I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing.\Bai Qian.\Does your heart only have room for one person?\A-Yin.\A-Yin, where are you? response:	A-Yin.
context: I was so sleepy earlier.\Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing.\Bai Qian.\Does your heart only have room for one person?\A-Yin.\A-Yin, where are you?\A-Yin. response:	A-Yin.
context: Now that I'm lying under this soft blanket, I can't sleep.\In your heart, I have no standing.\Bai Qian.\Does your heart only have room for one person?\A-Yin.\A-Yin, where are you?\A-Yin.\A-Yin. response:	In this lifetime, I, Li Jing, will only be with A-Yin.
context: In your heart, I have no standing.\Bai Qian.\Does your heart only have room for one person?\A-Yin.\A-Yin, where are you?\A-Yin.\A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin. response:	If I break this oath
context: Bai Qian.\Does your heart only have room for one person?\A-Yin.\A-Yin, where are you?\A-Yin.\A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath response:	I shall have no posterity, and live a life of loneliness.
context: Does your heart only have room for one person?\A-Yin.\A-Yin, where are you?\A-Yin.\A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath\I shall have no posterity, and live a life of loneliness. response:	Back then, you said
context: A-Yin.\A-Yin, where are you?\A-Yin.\A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath\I shall have no posterity, and live a life of loneliness.\Back then, you said response:	regardless of who I am...
context: A-Yin, where are you?\A-Yin.\A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath\I shall have no posterity, and live a life of loneliness.\Back then, you said\regardless of who I am... response:	you would be with me.
context: A-Yin.\A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath\I shall have no posterity, and live a life of loneliness.\Back then, you said\regardless of who I am...\you would be with me. response:	But now?
context: A-Yin.\In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath\I shall have no posterity, and live a life of loneliness.\Back then, you said\regardless of who I am...\you would be with me.\But now? response:	Very well.
context: In this lifetime, I, Li Jing, will only be with A-Yin.\If I break this oath\I shall have no posterity, and live a life of loneliness.\Back then, you said\regardless of who I am...\you would be with me.\But now?\Very well. response:	I'll let you two be.
context: If I break this oath\I shall have no posterity, and live a life of loneliness.\Back then, you said\regardless of who I am...\you would be with me.\But now?\Very well.\I'll let you two be. response:	Li Jing.
context: I shall have no posterity, and live a life of loneliness.\Back then, you said\regardless of who I am...\you would be with me.\But now?\Very well.\I'll let you two be.\Li Jing. response:	You are indeed the only man that I wholeheartedly loved
context: Back then, you said\regardless of who I am...\you would be with me.\But now?\Very well.\I'll let you two be.\Li Jing.\You are indeed the only man that I wholeheartedly loved response:	in all my 140,000 years.
context: regardless of who I am...\you would be with me.\But now?\Very well.\I'll let you two be.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years. response:	It's just that too much time has passed.
context: you would be with me.\But now?\Very well.\I'll let you two be.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed. response:	We cannot return to the way we were.
context: But now?\Very well.\I'll let you two be.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were. response:	I mustn't die. Millions of people still depend on me.
context: Very well.\I'll let you two be.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I mustn't die. Millions of people still depend on me. response:	Your Majesty!
context: I'll let you two be.\Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I mustn't die. Millions of people still depend on me.\Your Majesty! response:	Your Majesty! Your Majesty!
context: Li Jing.\You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I mustn't die. Millions of people still depend on me.\Your Majesty!\Your Majesty! Your Majesty! response:	Report!
context: You are indeed the only man that I wholeheartedly loved\in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I mustn't die. Millions of people still depend on me.\Your Majesty!\Your Majesty! Your Majesty!\Report! response:	Xuan Nu escaped from the dungeons last night!
context: in all my 140,000 years.\It's just that too much time has passed.\We cannot return to the way we were.\I mustn't die. Millions of people still depend on me.\Your Majesty!\Your Majesty! Your Majesty!\Report!\Xuan Nu escaped from the dungeons last night! response:	Before she left, she killed Li Yuan by stabbing him in the heart!
context: It's just that too much time has passed.\We cannot return to the way we were.\I mustn't die. Millions of people still depend on me.\Your Majesty!\Your Majesty! Your Majesty!\Report!\Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart! response:	What did you say? My brother is dead?
context: We cannot return to the way we were.\I mustn't die. Millions of people still depend on me.\Your Majesty!\Your Majesty! Your Majesty!\Report!\Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead? response:	Yes!
context: I mustn't die. Millions of people still depend on me.\Your Majesty!\Your Majesty! Your Majesty!\Report!\Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead?\Yes! response:	Cut his head off.
context: Your Majesty!\Your Majesty! Your Majesty!\Report!\Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead?\Yes!\Cut his head off. response:	Hang it outside Grand Ziming Palace in public view for seven days.
context: Your Majesty! Your Majesty!\Report!\Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead?\Yes!\Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days. response:	Burn the body.
context: Report!\Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead?\Yes!\Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body. response:	He was the former Ghost Lord's eldest son
context: Xuan Nu escaped from the dungeons last night!\Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead?\Yes!\Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body.\He was the former Ghost Lord's eldest son response:	and your older brother.
context: Before she left, she killed Li Yuan by stabbing him in the heart!\What did you say? My brother is dead?\Yes!\Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body.\He was the former Ghost Lord's eldest son\and your older brother. response:	If word spreads, I'm afraid the generals will be displeased.
context: What did you say? My brother is dead?\Yes!\Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body.\He was the former Ghost Lord's eldest son\and your older brother.\If word spreads, I'm afraid the generals will be displeased. response:	The people will criticize you as well.
context: Yes!\Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body.\He was the former Ghost Lord's eldest son\and your older brother.\If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well. response:	His death will bring great a catastrophe to the Ghost Realm
context: Cut his head off.\Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body.\He was the former Ghost Lord's eldest son\and your older brother.\If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm response:	and the rest of the world.
context: Hang it outside Grand Ziming Palace in public view for seven days.\Burn the body.\He was the former Ghost Lord's eldest son\and your older brother.\If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm\and the rest of the world. response:	Doing this...
context: Burn the body.\He was the former Ghost Lord's eldest son\and your older brother.\If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm\and the rest of the world.\Doing this... response:	is already the most merciful way of handling him.
context: He was the former Ghost Lord's eldest son\and your older brother.\If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm\and the rest of the world.\Doing this...\is already the most merciful way of handling him. response:	Quickly, send men to track down the princess.
context: and your older brother.\If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm\and the rest of the world.\Doing this...\is already the most merciful way of handling him.\Quickly, send men to track down the princess. response:	She must be brought back to the Ghost Realm.
context: If word spreads, I'm afraid the generals will be displeased.\The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm\and the rest of the world.\Doing this...\is already the most merciful way of handling him.\Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm. response:	If they come across Xuan Nu...
context: The people will criticize you as well.\His death will bring great a catastrophe to the Ghost Realm\and the rest of the world.\Doing this...\is already the most merciful way of handling him.\Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm.\If they come across Xuan Nu... response:	No need to report to me. Just kill her on the spot.
context: His death will bring great a catastrophe to the Ghost Realm\and the rest of the world.\Doing this...\is already the most merciful way of handling him.\Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm.\If they come across Xuan Nu...\No need to report to me. Just kill her on the spot. response:	Bring her corpse back to the Ghost Realm.
context: and the rest of the world.\Doing this...\is already the most merciful way of handling him.\Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm.\If they come across Xuan Nu...\No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm. response:	She was the woman that I officially wed into Grand Ziming Palace.
context: Doing this...\is already the most merciful way of handling him.\Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm.\If they come across Xuan Nu...\No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace. response:	After I die...
context: is already the most merciful way of handling him.\Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm.\If they come across Xuan Nu...\No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace.\After I die... response:	I want to be buried with her.
context: Quickly, send men to track down the princess.\She must be brought back to the Ghost Realm.\If they come across Xuan Nu...\No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace.\After I die...\I want to be buried with her. response:	- Yes. - Yes.
context: She must be brought back to the Ghost Realm.\If they come across Xuan Nu...\No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace.\After I die...\I want to be buried with her.\- Yes. - Yes. response:	They've flown away!
context: If they come across Xuan Nu...\No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace.\After I die...\I want to be buried with her.\- Yes. - Yes.\They've flown away! response:	No, I must find Yan Zhi quickly.
context: No need to report to me. Just kill her on the spot.\Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace.\After I die...\I want to be buried with her.\- Yes. - Yes.\They've flown away!\No, I must find Yan Zhi quickly. response:	I must find her quickly.
context: Bring her corpse back to the Ghost Realm.\She was the woman that I officially wed into Grand Ziming Palace.\After I die...\I want to be buried with her.\- Yes. - Yes.\They've flown away!\No, I must find Yan Zhi quickly.\I must find her quickly. response:	Linhe Dining! Meat and wine at fair prices! Equal treatment to all!
context: She was the woman that I officially wed into Grand Ziming Palace.\After I die...\I want to be buried with her.\- Yes. - Yes.\They've flown away!\No, I must find Yan Zhi quickly.\I must find her quickly.\Linhe Dining! Meat and wine at fair prices! Equal treatment to all! response:	Don't pass us by!
context: After I die...\I want to be buried with her.\- Yes. - Yes.\They've flown away!\No, I must find Yan Zhi quickly.\I must find her quickly.\Linhe Dining! Meat and wine at fair prices! Equal treatment to all!\Don't pass us by! response:	Sir, have you eaten yet?
