context: My only thought as response:	I don't think so!
context: Two girls have gotten injured playing their hearts out.\I keep losing when it counts,\and I'm behind Mr. Excavator right now.\When am I going to come through?!\It has to be now!\Excuse me.\The passion...\The passion always comes from Chihaya, response:	but this feels different.
context: I keep losing when it counts,\and I'm behind Mr. Excavator right now.\When am I going to come through?!\It has to be now!\Excuse me.\The passion...\The passion always comes from Chihaya,\but this feels different. response:	I can feel something burning in my chest like magma.
context: and I'm behind Mr. Excavator right now.\When am I going to come through?!\It has to be now!\Excuse me.\The passion...\The passion always comes from Chihaya,\but this feels different.\I can feel something burning in my chest like magma. response:	I know what this is.
context: When am I going to come through?!\It has to be now!\Excuse me.\The passion...\The passion always comes from Chihaya,\but this feels different.\I can feel something burning in my chest like magma.\I know what this is. response:	This is how it feels
context: It has to be now!\Excuse me.\The passion...\The passion always comes from Chihaya,\but this feels different.\I can feel something burning in my chest like magma.\I know what this is.\This is how it feels response:	when five people refuse to give up!
context: Excuse me.\The passion...\The passion always comes from Chihaya,\but this feels different.\I can feel something burning in my chest like magma.\I know what this is.\This is how it feels\when five people refuse to give up! response:	Chihaya Furu
context: The passion...\The passion always comes from Chihaya,\but this feels different.\I can feel something burning in my chest like magma.\I know what this is.\This is how it feels\when five people refuse to give up!\Chihaya Furu response:	Episode 18
context: The passion always comes from Chihaya,\but this feels different.\I can feel something burning in my chest like magma.\I know what this is.\This is how it feels\when five people refuse to give up!\Chihaya Furu\Episode 18 response:	My fear is that you will forget
context: but this feels different.\I can feel something burning in my chest like magma.\I know what this is.\This is how it feels\when five people refuse to give up!\Chihaya Furu\Episode 18\My fear is that you will forget response:	Chihaya-chan is down six cards.
context: I can feel something burning in my chest like magma.\I know what this is.\This is how it feels\when five people refuse to give up!\Chihaya Furu\Episode 18\My fear is that you will forget\Chihaya-chan is down six cards. response:	Porky is down three cards.
context: I know what this is.\This is how it feels\when five people refuse to give up!\Chihaya Furu\Episode 18\My fear is that you will forget\Chihaya-chan is down six cards.\Porky is down three cards. response:	President Mashima is down four cards.
context: This is how it feels\when five people refuse to give up!\Chihaya Furu\Episode 18\My fear is that you will forget\Chihaya-chan is down six cards.\Porky is down three cards.\President Mashima is down four cards. response:	Tsukuba-kun and Desktomu-kun are both down seven cards.
context: when five people refuse to give up!\Chihaya Furu\Episode 18\My fear is that you will forget\Chihaya-chan is down six cards.\Porky is down three cards.\President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards. response:	Everyone's losing,
context: Chihaya Furu\Episode 18\My fear is that you will forget\Chihaya-chan is down six cards.\Porky is down three cards.\President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing, response:	but I can feel
context: Episode 18\My fear is that you will forget\Chihaya-chan is down six cards.\Porky is down three cards.\President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing,\but I can feel response:	their refusal to give up!
context: My fear is that you will forget\Chihaya-chan is down six cards.\Porky is down three cards.\President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing,\but I can feel\their refusal to give up! response:	It's time for you to learn
context: Chihaya-chan is down six cards.\Porky is down three cards.\President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing,\but I can feel\their refusal to give up!\It's time for you to learn response:	that there are times when spirit isn't enough to cut it.
context: Porky is down three cards.\President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing,\but I can feel\their refusal to give up!\It's time for you to learn\that there are times when spirit isn't enough to cut it. response:	A mountain village grows...
context: President Mashima is down four cards.\Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing,\but I can feel\their refusal to give up!\It's time for you to learn\that there are times when spirit isn't enough to cut it.\A mountain village grows... response:	He's good,
context: Tsukuba-kun and Desktomu-kun are both down seven cards.\Everyone's losing,\but I can feel\their refusal to give up!\It's time for you to learn\that there are times when spirit isn't enough to cut it.\A mountain village grows...\He's good, response:	but he's not as good as Arata.
context: Everyone's losing,\but I can feel\their refusal to give up!\It's time for you to learn\that there are times when spirit isn't enough to cut it.\A mountain village grows...\He's good,\but he's not as good as Arata. response:	Why do I feel that way?
context: but I can feel\their refusal to give up!\It's time for you to learn\that there are times when spirit isn't enough to cut it.\A mountain village grows...\He's good,\but he's not as good as Arata.\Why do I feel that way? response:	What's with his hands...
context: their refusal to give up!\It's time for you to learn\that there are times when spirit isn't enough to cut it.\A mountain village grows...\He's good,\but he's not as good as Arata.\Why do I feel that way?\What's with his hands... response:	Arata's definitely better than he is!
context: It's time for you to learn\that there are times when spirit isn't enough to cut it.\A mountain village grows...\He's good,\but he's not as good as Arata.\Why do I feel that way?\What's with his hands...\Arata's definitely better than he is! response:	Arata...
context: that there are times when spirit isn't enough to cut it.\A mountain village grows...\He's good,\but he's not as good as Arata.\Why do I feel that way?\What's with his hands...\Arata's definitely better than he is!\Arata... response:	I'm happy when I forget you,
context: A mountain village grows...\He's good,\but he's not as good as Arata.\Why do I feel that way?\What's with his hands...\Arata's definitely better than he is!\Arata...\I'm happy when I forget you, response:	but then I feel encouraged when I remember you.
context: He's good,\but he's not as good as Arata.\Why do I feel that way?\What's with his hands...\Arata's definitely better than he is!\Arata...\I'm happy when I forget you,\but then I feel encouraged when I remember you. response:	I'm no good.
context: but he's not as good as Arata.\Why do I feel that way?\What's with his hands...\Arata's definitely better than he is!\Arata...\I'm happy when I forget you,\but then I feel encouraged when I remember you.\I'm no good. response:	I'm a bad forgetter.
context: Why do I feel that way?\What's with his hands...\Arata's definitely better than he is!\Arata...\I'm happy when I forget you,\but then I feel encouraged when I remember you.\I'm no good.\I'm a bad forgetter. response:	Coach Sakurazawa's F-cup boobies...
context: What's with his hands...\Arata's definitely better than he is!\Arata...\I'm happy when I forget you,\but then I feel encouraged when I remember you.\I'm no good.\I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies... response:	Coach Sakurazawa's F-cup boobies...
context: Arata's definitely better than he is!\Arata...\I'm happy when I forget you,\but then I feel encouraged when I remember you.\I'm no good.\I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies... response:	Excuse me.
context: Arata...\I'm happy when I forget you,\but then I feel encouraged when I remember you.\I'm no good.\I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies...\Excuse me. response:	Again?
context: I'm happy when I forget you,\but then I feel encouraged when I remember you.\I'm no good.\I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies...\Excuse me.\Again? response:	17 cards to 12 cards.
context: but then I feel encouraged when I remember you.\I'm no good.\I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies...\Excuse me.\Again?\17 cards to 12 cards. response:	I'm down by five.
context: I'm no good.\I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies...\Excuse me.\Again?\17 cards to 12 cards.\I'm down by five. response:	Let's get started.
context: I'm a bad forgetter.\Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies...\Excuse me.\Again?\17 cards to 12 cards.\I'm down by five.\Let's get started. response:	You've improved, Eyebrows.
context: Coach Sakurazawa's F-cup boobies...\Coach Sakurazawa's F-cup boobies...\Excuse me.\Again?\17 cards to 12 cards.\I'm down by five.\Let's get started.\You've improved, Eyebrows. response:	I'll spot you a 5 card handicap starting today.
context: Coach Sakurazawa's F-cup boobies...\Excuse me.\Again?\17 cards to 12 cards.\I'm down by five.\Let's get started.\You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today. response:	Dr. Harada started with five more cards than I did
context: Excuse me.\Again?\17 cards to 12 cards.\I'm down by five.\Let's get started.\You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did response:	on the first practice match of the day.
context: Again?\17 cards to 12 cards.\I'm down by five.\Let's get started.\You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did\on the first practice match of the day. response:	The memorization left over from the prior four matches today
context: 17 cards to 12 cards.\I'm down by five.\Let's get started.\You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did\on the first practice match of the day.\The memorization left over from the prior four matches today response:	and the card movements during this match
context: I'm down by five.\Let's get started.\You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did\on the first practice match of the day.\The memorization left over from the prior four matches today\and the card movements during this match response:	will go away!
context: Let's get started.\You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did\on the first practice match of the day.\The memorization left over from the prior four matches today\and the card movements during this match\will go away! response:	Excuse me.
context: You've improved, Eyebrows.\I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did\on the first practice match of the day.\The memorization left over from the prior four matches today\and the card movements during this match\will go away!\Excuse me. response:	I'll spot you...
context: I'll spot you a 5 card handicap starting today.\Dr. Harada started with five more cards than I did\on the first practice match of the day.\The memorization left over from the prior four matches today\and the card movements during this match\will go away!\Excuse me.\I'll spot you... response:	when people and grass grow scarce
context: Dr. Harada started with five more cards than I did\on the first practice match of the day.\The memorization left over from the prior four matches today\and the card movements during this match\will go away!\Excuse me.\I'll spot you...\when people and grass grow scarce response:	I'll spot you...
context: on the first practice match of the day.\The memorization left over from the prior four matches today\and the card movements during this match\will go away!\Excuse me.\I'll spot you...\when people and grass grow scarce\I'll spot you... response:	That's the best swing I've seen from the Prez this match!
context: The memorization left over from the prior four matches today\and the card movements during this match\will go away!\Excuse me.\I'll spot you...\when people and grass grow scarce\I'll spot you...\That's the best swing I've seen from the Prez this match! response:	Now...
context: and the card movements during this match\will go away!\Excuse me.\I'll spot you...\when people and grass grow scarce\I'll spot you...\That's the best swing I've seen from the Prez this match!\Now... response:	Let's get started.
context: will go away!\Excuse me.\I'll spot you...\when people and grass grow scarce\I'll spot you...\That's the best swing I've seen from the Prez this match!\Now...\Let's get started. response:	H-He's good.
context: Excuse me.\I'll spot you...\when people and grass grow scarce\I'll spot you...\That's the best swing I've seen from the Prez this match!\Now...\Let's get started.\H-He's good. response:	I can't do anything against him.
context: I'll spot you...\when people and grass grow scarce\I'll spot you...\That's the best swing I've seen from the Prez this match!\Now...\Let's get started.\H-He's good.\I can't do anything against him. response:	I doubt I'll be able to win my game.
context: when people and grass grow scarce\I'll spot you...\That's the best swing I've seen from the Prez this match!\Now...\Let's get started.\H-He's good.\I can't do anything against him.\I doubt I'll be able to win my game. response:	It won't be that easy.
context: I'll spot you...\That's the best swing I've seen from the Prez this match!\Now...\Let's get started.\H-He's good.\I can't do anything against him.\I doubt I'll be able to win my game.\It won't be that easy. response:	I want to overcome...
context: That's the best swing I've seen from the Prez this match!\Now...\Let's get started.\H-He's good.\I can't do anything against him.\I doubt I'll be able to win my game.\It won't be that easy.\I want to overcome... response:	I want to overcome my own analysis.
context: Now...\Let's get started.\H-He's good.\I can't do anything against him.\I doubt I'll be able to win my game.\It won't be that easy.\I want to overcome...\I want to overcome my own analysis. response:	So spring nights, So spring ends.
context: Let's get started.\H-He's good.\I can't do anything against him.\I doubt I'll be able to win my game.\It won't be that easy.\I want to overcome...\I want to overcome my own analysis.\So spring nights, So spring ends. response:	So the flower has, So the flower petals.
context: H-He's good.\I can't do anything against him.\I doubt I'll be able to win my game.\It won't be that easy.\I want to overcome...\I want to overcome my own analysis.\So spring nights, So spring ends.\So the flower has, So the flower petals. response:	Plenty of similar cards remaining.
context: I can't do anything against him.\I doubt I'll be able to win my game.\It won't be that easy.\I want to overcome...\I want to overcome my own analysis.\So spring nights, So spring ends.\So the flower has, So the flower petals.\Plenty of similar cards remaining. response:	Extend and retract.
context: I doubt I'll be able to win my game.\It won't be that easy.\I want to overcome...\I want to overcome my own analysis.\So spring nights, So spring ends.\So the flower has, So the flower petals.\Plenty of similar cards remaining.\Extend and retract. response:	Extend and retract.
context: It won't be that easy.\I want to overcome...\I want to overcome my own analysis.\So spring nights, So spring ends.\So the flower has, So the flower petals.\Plenty of similar cards remaining.\Extend and retract.\Extend and retract. response:	Feel sorrow.
context: I want to overcome...\I want to overcome my own analysis.\So spring nights, So spring ends.\So the flower has, So the flower petals.\Plenty of similar cards remaining.\Extend and retract.\Extend and retract.\Feel sorrow. response:	Feel love is a dead card, so I want to be careful.
context: I want to overcome my own analysis.\So spring nights, So spring ends.\So the flower has, So the flower petals.\Plenty of similar cards remaining.\Extend and retract.\Extend and retract.\Feel sorrow.\Feel love is a dead card, so I want to be careful. response:	If I hear sorrow, I have to attack.
context: So spring nights, So spring ends.\So the flower has, So the flower petals.\Plenty of similar cards remaining.\Extend and retract.\Extend and retract.\Feel sorrow.\Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack. response:	I have to take it.
context: So the flower has, So the flower petals.\Plenty of similar cards remaining.\Extend and retract.\Extend and retract.\Feel sorrow.\Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack.\I have to take it. response:	Repeatedly check the card so my body remembers the path to take.
context: Plenty of similar cards remaining.\Extend and retract.\Extend and retract.\Feel sorrow.\Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack.\I have to take it.\Repeatedly check the card so my body remembers the path to take. response:	Take it.
context: Extend and retract.\Extend and retract.\Feel sorrow.\Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack.\I have to take it.\Repeatedly check the card so my body remembers the path to take.\Take it. response:	Take the card, Tsukuba.
context: Extend and retract.\Feel sorrow.\Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack.\I have to take it.\Repeatedly check the card so my body remembers the path to take.\Take it.\Take the card, Tsukuba. response:	The Zodiac series is magnificent.
context: Feel sorrow.\Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack.\I have to take it.\Repeatedly check the card so my body remembers the path to take.\Take it.\Take the card, Tsukuba.\The Zodiac series is magnificent. response:	If that card's read, I'll go Virgo.
context: Feel love is a dead card, so I want to be careful.\If I hear sorrow, I have to attack.\I have to take it.\Repeatedly check the card so my body remembers the path to take.\Take it.\Take the card, Tsukuba.\The Zodiac series is magnificent.\If that card's read, I'll go Virgo. response:	If it's that card, I'll go Libra.
context: If I hear sorrow, I have to attack.\I have to take it.\Repeatedly check the card so my body remembers the path to take.\Take it.\Take the card, Tsukuba.\The Zodiac series is magnificent.\If that card's read, I'll go Virgo.\If it's that card, I'll go Libra. response:	He's weird.
context: I have to take it.\Repeatedly check the card so my body remembers the path to take.\Take it.\Take the card, Tsukuba.\The Zodiac series is magnificent.\If that card's read, I'll go Virgo.\If it's that card, I'll go Libra.\He's weird. response:	He's weird and he's not taking me seriously.
context: Repeatedly check the card so my body remembers the path to take.\Take it.\Take the card, Tsukuba.\The Zodiac series is magnificent.\If that card's read, I'll go Virgo.\If it's that card, I'll go Libra.\He's weird.\He's weird and he's not taking me seriously. response:	He's using those pointless poses to scare me
context: Take it.\Take the card, Tsukuba.\The Zodiac series is magnificent.\If that card's read, I'll go Virgo.\If it's that card, I'll go Libra.\He's weird.\He's weird and he's not taking me seriously.\He's using those pointless poses to scare me response:	while taking my cards!
context: Take the card, Tsukuba.\The Zodiac series is magnificent.\If that card's read, I'll go Virgo.\If it's that card, I'll go Libra.\He's weird.\He's weird and he's not taking me seriously.\He's using those pointless poses to scare me\while taking my cards! response:	I can't become a hero like this!
context: The Zodiac series is magnificent.\If that card's read, I'll go Virgo.\If it's that card, I'll go Libra.\He's weird.\He's weird and he's not taking me seriously.\He's using those pointless poses to scare me\while taking my cards!\I can't become a hero like this! response:	There are two cards you absolutely have to be good at.
context: If that card's read, I'll go Virgo.\If it's that card, I'll go Libra.\He's weird.\He's weird and he's not taking me seriously.\He's using those pointless poses to scare me\while taking my cards!\I can't become a hero like this!\There are two cards you absolutely have to be good at. response:	Feel love deepen and Feel sorrow wash?
context: If it's that card, I'll go Libra.\He's weird.\He's weird and he's not taking me seriously.\He's using those pointless poses to scare me\while taking my cards!\I can't become a hero like this!\There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash? response:	I'm good at both of those.
context: He's weird.\He's weird and he's not taking me seriously.\He's using those pointless poses to scare me\while taking my cards!\I can't become a hero like this!\There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash?\I'm good at both of those. response:	Same here.
context: He's weird and he's not taking me seriously.\He's using those pointless poses to scare me\while taking my cards!\I can't become a hero like this!\There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash?\I'm good at both of those.\Same here. response:	Ditto.
context: He's using those pointless poses to scare me\while taking my cards!\I can't become a hero like this!\There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash?\I'm good at both of those.\Same here.\Ditto. response:	I won't lose those cards, either.
context: while taking my cards!\I can't become a hero like this!\There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash?\I'm good at both of those.\Same here.\Ditto.\I won't lose those cards, either. response:	Feel sorrow was a poem by Oe no Chisato about pale moonlight.
context: I can't become a hero like this!\There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash?\I'm good at both of those.\Same here.\Ditto.\I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight. response:	When looking at the moon, you will be overcome by sorrow,
context: There are two cards you absolutely have to be good at.\Feel love deepen and Feel sorrow wash?\I'm good at both of those.\Same here.\Ditto.\I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow, response:	as you realize that autumn belongs to...
context: Feel love deepen and Feel sorrow wash?\I'm good at both of those.\Same here.\Ditto.\I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to... response:	I don't really understand how you can
context: I'm good at both of those.\Same here.\Ditto.\I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to...\I don't really understand how you can response:	get sentimental about looking at the moon,
context: Same here.\Ditto.\I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to...\I don't really understand how you can\get sentimental about looking at the moon, response:	but...
context: Ditto.\I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to...\I don't really understand how you can\get sentimental about looking at the moon,\but... response:	Feel sorrow wash...
context: I won't lose those cards, either.\Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to...\I don't really understand how you can\get sentimental about looking at the moon,\but...\Feel sorrow wash... response:	When I see a card that I've practiced constantly on the tatami,
context: Feel sorrow was a poem by Oe no Chisato about pale moonlight.\When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to...\I don't really understand how you can\get sentimental about looking at the moon,\but...\Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami, response:	I get a confidence boost!
context: When looking at the moon, you will be overcome by sorrow,\as you realize that autumn belongs to...\I don't really understand how you can\get sentimental about looking at the moon,\but...\Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami,\I get a confidence boost! response:	He got it!
context: as you realize that autumn belongs to...\I don't really understand how you can\get sentimental about looking at the moon,\but...\Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami,\I get a confidence boost!\He got it! response:	He did it!
context: I don't really understand how you can\get sentimental about looking at the moon,\but...\Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami,\I get a confidence boost!\He got it!\He did it! response:	Now things are going our way!
context: get sentimental about looking at the moon,\but...\Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami,\I get a confidence boost!\He got it!\He did it!\Now things are going our way! response:	Chihaya-chan.
context: but...\Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami,\I get a confidence boost!\He got it!\He did it!\Now things are going our way!\Chihaya-chan. response:	Seven cards in a row!
context: Feel sorrow wash...\When I see a card that I've practiced constantly on the tatami,\I get a confidence boost!\He got it!\He did it!\Now things are going our way!\Chihaya-chan.\Seven cards in a row! response:	She's cut the deficit down to three!
context: When I see a card that I've practiced constantly on the tatami,\I get a confidence boost!\He got it!\He did it!\Now things are going our way!\Chihaya-chan.\Seven cards in a row!\She's cut the deficit down to three! response:	Amazing...
context: I get a confidence boost!\He got it!\He did it!\Now things are going our way!\Chihaya-chan.\Seven cards in a row!\She's cut the deficit down to three!\Amazing... response:	Lacking experience playing under pressure.
context: He got it!\He did it!\Now things are going our way!\Chihaya-chan.\Seven cards in a row!\She's cut the deficit down to three!\Amazing...\Lacking experience playing under pressure. response:	Rion...
context: He did it!\Now things are going our way!\Chihaya-chan.\Seven cards in a row!\She's cut the deficit down to three!\Amazing...\Lacking experience playing under pressure.\Rion... response:	She's getting faster.
context: Now things are going our way!\Chihaya-chan.\Seven cards in a row!\She's cut the deficit down to three!\Amazing...\Lacking experience playing under pressure.\Rion...\She's getting faster. response:	What about her injury?
context: Chihaya-chan.\Seven cards in a row!\She's cut the deficit down to three!\Amazing...\Lacking experience playing under pressure.\Rion...\She's getting faster.\What about her injury? response:	Is she not really hurt?
context: Seven cards in a row!\She's cut the deficit down to three!\Amazing...\Lacking experience playing under pressure.\Rion...\She's getting faster.\What about her injury?\Is she not really hurt? response:	It's not often that you get to play an opponent with such amazing game sense.
context: She's cut the deficit down to three!\Amazing...\Lacking experience playing under pressure.\Rion...\She's getting faster.\What about her injury?\Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense. response:	Yama-chan, give me the best you've got.
context: Amazing...\Lacking experience playing under pressure.\Rion...\She's getting faster.\What about her injury?\Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got. response:	That's what I'm doing.
context: Lacking experience playing under pressure.\Rion...\She's getting faster.\What about her injury?\Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got.\That's what I'm doing. response:	My fear is that you will forget...
context: Rion...\She's getting faster.\What about her injury?\Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got.\That's what I'm doing.\My fear is that you will forget... response:	What is Rion doing?!
context: She's getting faster.\What about her injury?\Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got.\That's what I'm doing.\My fear is that you will forget...\What is Rion doing?! response:	She guaranteed that she would win her game!
context: What about her injury?\Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got.\That's what I'm doing.\My fear is that you will forget...\What is Rion doing?!\She guaranteed that she would win her game! response:	Uh, have you chosen a card to send?
context: Is she not really hurt?\It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got.\That's what I'm doing.\My fear is that you will forget...\What is Rion doing?!\She guaranteed that she would win her game!\Uh, have you chosen a card to send? response:	Doesn't matter!
context: It's not often that you get to play an opponent with such amazing game sense.\Yama-chan, give me the best you've got.\That's what I'm doing.\My fear is that you will forget...\What is Rion doing?!\She guaranteed that she would win her game!\Uh, have you chosen a card to send?\Doesn't matter! response:	Take this one!
context: Yama-chan, give me the best you've got.\That's what I'm doing.\My fear is that you will forget...\What is Rion doing?!\She guaranteed that she would win her game!\Uh, have you chosen a card to send?\Doesn't matter!\Take this one! response:	I love everything that is beautiful.
context: That's what I'm doing.\My fear is that you will forget...\What is Rion doing?!\She guaranteed that she would win her game!\Uh, have you chosen a card to send?\Doesn't matter!\Take this one!\I love everything that is beautiful. response:	No to outdoors
context: My fear is that you will forget...\What is Rion doing?!\She guaranteed that she would win her game!\Uh, have you chosen a card to send?\Doesn't matter!\Take this one!\I love everything that is beautiful.\No to outdoors response:	That's why I chose not to participate in sports that would get me dirty.
context: What is Rion doing?!\She guaranteed that she would win her game!\Uh, have you chosen a card to send?\Doesn't matter!\Take this one!\I love everything that is beautiful.\No to outdoors\That's why I chose not to participate in sports that would get me dirty. response:	No to getting sweaty
