context: It's summer break! response:	We'll spend every day at Maid Latte.
context: What?\Misa-chan!!\It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining.\Hey, where's Misa-chan? response:	Over there.
context: Misa-chan!!\It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining.\Hey, where's Misa-chan?\Over there. response:	Wow, she's way ahead.
context: It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining.\Hey, where's Misa-chan?\Over there.\Wow, she's way ahead. response:	My god...
context: We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining.\Hey, where's Misa-chan?\Over there.\Wow, she's way ahead.\My god... response:	It's the ocean!!
context: I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining.\Hey, where's Misa-chan?\Over there.\Wow, she's way ahead.\My god...\It's the ocean!! response:	Look how big I cut this.
context: Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining.\Hey, where's Misa-chan?\Over there.\Wow, she's way ahead.\My god...\It's the ocean!!\Look how big I cut this. response:	Such a luxury.
context: That's right. Stop complaining.\Hey, where's Misa-chan?\Over there.\Wow, she's way ahead.\My god...\It's the ocean!!\Look how big I cut this.\Such a luxury. response:	On another note...
context: Hey, where's Misa-chan?\Over there.\Wow, she's way ahead.\My god...\It's the ocean!!\Look how big I cut this.\Such a luxury.\On another note... response:	Sis is at the beach, isn't she?
context: Over there.\Wow, she's way ahead.\My god...\It's the ocean!!\Look how big I cut this.\Such a luxury.\On another note...\Sis is at the beach, isn't she? response:	Mom's at work, too.
context: Wow, she's way ahead.\My god...\It's the ocean!!\Look how big I cut this.\Such a luxury.\On another note...\Sis is at the beach, isn't she?\Mom's at work, too. response:	I never thought I'd win so many.
context: My god...\It's the ocean!!\Look how big I cut this.\Such a luxury.\On another note...\Sis is at the beach, isn't she?\Mom's at work, too.\I never thought I'd win so many. response:	I can't finish all of these. What should I do?
context: It's the ocean!!\Look how big I cut this.\Such a luxury.\On another note...\Sis is at the beach, isn't she?\Mom's at work, too.\I never thought I'd win so many.\I can't finish all of these. What should I do? response:	I know. I'll call my friends over from the mail in prize club.
context: Look how big I cut this.\Such a luxury.\On another note...\Sis is at the beach, isn't she?\Mom's at work, too.\I never thought I'd win so many.\I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club. response:	But first, let's finish this...
context: Such a luxury.\On another note...\Sis is at the beach, isn't she?\Mom's at work, too.\I never thought I'd win so many.\I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club.\But first, let's finish this... response:	Munch munch munch.
context: On another note...\Sis is at the beach, isn't she?\Mom's at work, too.\I never thought I'd win so many.\I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club.\But first, let's finish this...\Munch munch munch. response:	It's been a while, Sis!
context: Sis is at the beach, isn't she?\Mom's at work, too.\I never thought I'd win so many.\I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club.\But first, let's finish this...\Munch munch munch.\It's been a while, Sis! response:	Nagisa! You've been doing well?
context: Mom's at work, too.\I never thought I'd win so many.\I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club.\But first, let's finish this...\Munch munch munch.\It's been a while, Sis!\Nagisa! You've been doing well? response:	She's dark!
context: I never thought I'd win so many.\I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club.\But first, let's finish this...\Munch munch munch.\It's been a while, Sis!\Nagisa! You've been doing well?\She's dark! response:	She's so dark.
context: I can't finish all of these. What should I do?\I know. I'll call my friends over from the mail in prize club.\But first, let's finish this...\Munch munch munch.\It's been a while, Sis!\Nagisa! You've been doing well?\She's dark!\She's so dark. response:	Of course.
context: I know. I'll call my friends over from the mail in prize club.\But first, let's finish this...\Munch munch munch.\It's been a while, Sis!\Nagisa! You've been doing well?\She's dark!\She's so dark.\Of course. response:	You're amazing! You're the manager of a beach house!
context: But first, let's finish this...\Munch munch munch.\It's been a while, Sis!\Nagisa! You've been doing well?\She's dark!\She's so dark.\Of course.\You're amazing! You're the manager of a beach house! response:	She's a tanned version of the Chief.
context: Munch munch munch.\It's been a while, Sis!\Nagisa! You've been doing well?\She's dark!\She's so dark.\Of course.\You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief. response:	You're a manager yourself.
context: It's been a while, Sis!\Nagisa! You've been doing well?\She's dark!\She's so dark.\Of course.\You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief.\You're a manager yourself. response:	Relax a bit before you go out on the beach.
context: Nagisa! You've been doing well?\She's dark!\She's so dark.\Of course.\You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief.\You're a manager yourself.\Relax a bit before you go out on the beach. response:	Okay!
context: She's dark!\She's so dark.\Of course.\You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief.\You're a manager yourself.\Relax a bit before you go out on the beach.\Okay! response:	I'll take care of your belongings, too.
context: She's so dark.\Of course.\You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief.\You're a manager yourself.\Relax a bit before you go out on the beach.\Okay!\I'll take care of your belongings, too. response:	Thank you very much.
context: Of course.\You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief.\You're a manager yourself.\Relax a bit before you go out on the beach.\Okay!\I'll take care of your belongings, too.\Thank you very much. response:	It's a pretty place.
context: You're amazing! You're the manager of a beach house!\She's a tanned version of the Chief.\You're a manager yourself.\Relax a bit before you go out on the beach.\Okay!\I'll take care of your belongings, too.\Thank you very much.\It's a pretty place. response:	Apparently she opened this place this year.
context: She's a tanned version of the Chief.\You're a manager yourself.\Relax a bit before you go out on the beach.\Okay!\I'll take care of your belongings, too.\Thank you very much.\It's a pretty place.\Apparently she opened this place this year. response:	There's a chair out on the patio.
context: You're a manager yourself.\Relax a bit before you go out on the beach.\Okay!\I'll take care of your belongings, too.\Thank you very much.\It's a pretty place.\Apparently she opened this place this year.\There's a chair out on the patio. response:	What a nice breeze.
context: Relax a bit before you go out on the beach.\Okay!\I'll take care of your belongings, too.\Thank you very much.\It's a pretty place.\Apparently she opened this place this year.\There's a chair out on the patio.\What a nice breeze. response:	Are you all idiots?
context: Okay!\I'll take care of your belongings, too.\Thank you very much.\It's a pretty place.\Apparently she opened this place this year.\There's a chair out on the patio.\What a nice breeze.\Are you all idiots? response:	Girls working at a maid cafe going to a place with blazing UV rays?
context: I'll take care of your belongings, too.\Thank you very much.\It's a pretty place.\Apparently she opened this place this year.\There's a chair out on the patio.\What a nice breeze.\Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays? response:	You don't care if your skin gets ruined?
context: Thank you very much.\It's a pretty place.\Apparently she opened this place this year.\There's a chair out on the patio.\What a nice breeze.\Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined? response:	Aoi-chan.
context: It's a pretty place.\Apparently she opened this place this year.\There's a chair out on the patio.\What a nice breeze.\Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined?\Aoi-chan. response:	Hyoudou Aoi. Age 14.
context: Apparently she opened this place this year.\There's a chair out on the patio.\What a nice breeze.\Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined?\Aoi-chan.\Hyoudou Aoi. Age 14. response:	Chief's niece, and the popular web idol Aoi.
context: There's a chair out on the patio.\What a nice breeze.\Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined?\Aoi-chan.\Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi. response:	Gender: Male. Hobby: Crossdressing.
context: What a nice breeze.\Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined?\Aoi-chan.\Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing. response:	Did you get exiled again?
context: Are you all idiots?\Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined?\Aoi-chan.\Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing.\Did you get exiled again? response:	Are you here to hook up with some men at the beach this time?
context: Girls working at a maid cafe going to a place with blazing UV rays?\You don't care if your skin gets ruined?\Aoi-chan.\Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing.\Did you get exiled again?\Are you here to hook up with some men at the beach this time? response:	Aoi!
context: You don't care if your skin gets ruined?\Aoi-chan.\Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing.\Did you get exiled again?\Are you here to hook up with some men at the beach this time?\Aoi! response:	What are you thinking, dressing up like that again?
context: Aoi-chan.\Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing.\Did you get exiled again?\Are you here to hook up with some men at the beach this time?\Aoi!\What are you thinking, dressing up like that again? response:	Hey! Give that back to me!
context: Hyoudou Aoi. Age 14.\Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing.\Did you get exiled again?\Are you here to hook up with some men at the beach this time?\Aoi!\What are you thinking, dressing up like that again?\Hey! Give that back to me! response:	This is the beach.
context: Chief's niece, and the popular web idol Aoi.\Gender: Male. Hobby: Crossdressing.\Did you get exiled again?\Are you here to hook up with some men at the beach this time?\Aoi!\What are you thinking, dressing up like that again?\Hey! Give that back to me!\This is the beach. response:	Don't dress in things that make everyone else feel like they're burning up just from looking at you!
context: Gender: Male. Hobby: Crossdressing.\Did you get exiled again?\Are you here to hook up with some men at the beach this time?\Aoi!\What are you thinking, dressing up like that again?\Hey! Give that back to me!\This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you! response:	Give it back!
context: Did you get exiled again?\Are you here to hook up with some men at the beach this time?\Aoi!\What are you thinking, dressing up like that again?\Hey! Give that back to me!\This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back! response:	Our brother sent him here to become manlier.
context: Are you here to hook up with some men at the beach this time?\Aoi!\What are you thinking, dressing up like that again?\Hey! Give that back to me!\This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back!\Our brother sent him here to become manlier. response:	I see.
context: Aoi!\What are you thinking, dressing up like that again?\Hey! Give that back to me!\This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back!\Our brother sent him here to become manlier.\I see. response:	Hey. What are you doing?
context: What are you thinking, dressing up like that again?\Hey! Give that back to me!\This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back!\Our brother sent him here to become manlier.\I see.\Hey. What are you doing? response:	Oh. Hi Prez.
context: Hey! Give that back to me!\This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back!\Our brother sent him here to become manlier.\I see.\Hey. What are you doing?\Oh. Hi Prez. response:	Why is Usui here?
context: This is the beach.\Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back!\Our brother sent him here to become manlier.\I see.\Hey. What are you doing?\Oh. Hi Prez.\Why is Usui here? response:	I told you. The Chief asked me to.
context: Don't dress in things that make everyone else feel like they're burning up just from looking at you!\Give it back!\Our brother sent him here to become manlier.\I see.\Hey. What are you doing?\Oh. Hi Prez.\Why is Usui here?\I told you. The Chief asked me to. response:	She wanted a bodyguard around.
context: Give it back!\Our brother sent him here to become manlier.\I see.\Hey. What are you doing?\Oh. Hi Prez.\Why is Usui here?\I told you. The Chief asked me to.\She wanted a bodyguard around. response:	I don't like the heat, so I got here early in the morning.
context: Our brother sent him here to become manlier.\I see.\Hey. What are you doing?\Oh. Hi Prez.\Why is Usui here?\I told you. The Chief asked me to.\She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning. response:	Are you sure you're prepared for the job?
context: I see.\Hey. What are you doing?\Oh. Hi Prez.\Why is Usui here?\I told you. The Chief asked me to.\She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job? response:	I'll be ready for it, since it's for you.
context: Hey. What are you doing?\Oh. Hi Prez.\Why is Usui here?\I told you. The Chief asked me to.\She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job?\I'll be ready for it, since it's for you. response:	Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.
context: Oh. Hi Prez.\Why is Usui here?\I told you. The Chief asked me to.\She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job?\I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you. response:	Time for the ocean! Time to swim!
context: Why is Usui here?\I told you. The Chief asked me to.\She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job?\I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim! response:	We'll get changed now, Usui-kun.
context: I told you. The Chief asked me to.\She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job?\I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim!\We'll get changed now, Usui-kun. response:	You look excited, Misa-chan.
context: She wanted a bodyguard around.\I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job?\I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim!\We'll get changed now, Usui-kun.\You look excited, Misa-chan. response:	Well, actually my mother yelled at me to go have fun like other high schoolers do,
context: I don't like the heat, so I got here early in the morning.\Are you sure you're prepared for the job?\I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim!\We'll get changed now, Usui-kun.\You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do, response:	so I plan to have all the fun I can.
context: Are you sure you're prepared for the job?\I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim!\We'll get changed now, Usui-kun.\You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can. response:	You really go all out with everything, don't you, Misa-chan?
context: I'll be ready for it, since it's for you.\Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim!\We'll get changed now, Usui-kun.\You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan? response:	Misa-chan, you're wearing that?
context: Remember, if you drown, I wouldn't want to let anyone else perform CPR on you.\Time for the ocean! Time to swim!\We'll get changed now, Usui-kun.\You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that? response:	I'll be going now!
context: Time for the ocean! Time to swim!\We'll get changed now, Usui-kun.\You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that?\I'll be going now! response:	Hey, everyone!
context: We'll get changed now, Usui-kun.\You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that?\I'll be going now!\Hey, everyone! response:	It feels great!
context: You look excited, Misa-chan.\Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that?\I'll be going now!\Hey, everyone!\It feels great! response:	School swimsuit?
context: Well, actually my mother yelled at me to go have fun like other high schoolers do,\so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that?\I'll be going now!\Hey, everyone!\It feels great!\School swimsuit? response:	Should have known. Swimsuits are expensive.
context: so I plan to have all the fun I can.\You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that?\I'll be going now!\Hey, everyone!\It feels great!\School swimsuit?\Should have known. Swimsuits are expensive. response:	But... why a swim cap, too?
context: You really go all out with everything, don't you, Misa-chan?\Misa-chan, you're wearing that?\I'll be going now!\Hey, everyone!\It feels great!\School swimsuit?\Should have known. Swimsuits are expensive.\But... why a swim cap, too? response:	I guess she's pretty happy to be swimming.
context: Misa-chan, you're wearing that?\I'll be going now!\Hey, everyone!\It feels great!\School swimsuit?\Should have known. Swimsuits are expensive.\But... why a swim cap, too?\I guess she's pretty happy to be swimming. response:	That's definitely the Misa-chan we know.
context: I'll be going now!\Hey, everyone!\It feels great!\School swimsuit?\Should have known. Swimsuits are expensive.\But... why a swim cap, too?\I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know. response:	She's enjoying the ocean to the fullest.
context: Hey, everyone!\It feels great!\School swimsuit?\Should have known. Swimsuits are expensive.\But... why a swim cap, too?\I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest. response:	Someone looks really disappointed.
context: It feels great!\School swimsuit?\Should have known. Swimsuits are expensive.\But... why a swim cap, too?\I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest.\Someone looks really disappointed. response:	Maybe he was hoping for something?
context: School swimsuit?\Should have known. Swimsuits are expensive.\But... why a swim cap, too?\I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest.\Someone looks really disappointed.\Maybe he was hoping for something? response:	Well, it is the ocean, so...
context: Should have known. Swimsuits are expensive.\But... why a swim cap, too?\I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest.\Someone looks really disappointed.\Maybe he was hoping for something?\Well, it is the ocean, so... response:	But he's...
context: But... why a swim cap, too?\I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest.\Someone looks really disappointed.\Maybe he was hoping for something?\Well, it is the ocean, so...\But he's... response:	Hey, are you alone?!
context: I guess she's pretty happy to be swimming.\That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest.\Someone looks really disappointed.\Maybe he was hoping for something?\Well, it is the ocean, so...\But he's...\Hey, are you alone?! response:	Do you want to hang out with us?
context: That's definitely the Misa-chan we know.\She's enjoying the ocean to the fullest.\Someone looks really disappointed.\Maybe he was hoping for something?\Well, it is the ocean, so...\But he's...\Hey, are you alone?!\Do you want to hang out with us? response:	We're short on people to play beach volleyball. Do you want to play?
context: She's enjoying the ocean to the fullest.\Someone looks really disappointed.\Maybe he was hoping for something?\Well, it is the ocean, so...\But he's...\Hey, are you alone?!\Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play? response:	He's really not interested in anyone other than Misa-chan.
context: Someone looks really disappointed.\Maybe he was hoping for something?\Well, it is the ocean, so...\But he's...\Hey, are you alone?!\Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan. response:	How many years has it been since I last came to the beach?
context: Maybe he was hoping for something?\Well, it is the ocean, so...\But he's...\Hey, are you alone?!\Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach? response:	When I was in elementary school?
context: Well, it is the ocean, so...\But he's...\Hey, are you alone?!\Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach?\When I was in elementary school? response:	No, probably during the shellfish gathering I did when I was even younger than that.
context: But he's...\Hey, are you alone?!\Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach?\When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that. response:	All right, I'm gonna have so much fun!
context: Hey, are you alone?!\Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach?\When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun! response:	That's right. This place actually isn't profitable at all.
context: Do you want to hang out with us?\We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach?\When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all. response:	The location isn't good.
context: We're short on people to play beach volleyball. Do you want to play?\He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach?\When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all.\The location isn't good. response:	It's at the end of the beach.
context: He's really not interested in anyone other than Misa-chan.\How many years has it been since I last came to the beach?\When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all.\The location isn't good.\It's at the end of the beach. response:	And it's out of the way from everything.
context: How many years has it been since I last came to the beach?\When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all.\The location isn't good.\It's at the end of the beach.\And it's out of the way from everything. response:	New shop owners don't get a good location that easily.
context: When I was in elementary school?\No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all.\The location isn't good.\It's at the end of the beach.\And it's out of the way from everything.\New shop owners don't get a good location that easily. response:	What a shame, since the shop is new and clean.
context: No, probably during the shellfish gathering I did when I was even younger than that.\All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all.\The location isn't good.\It's at the end of the beach.\And it's out of the way from everything.\New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean. response:	What to do...
context: All right, I'm gonna have so much fun!\That's right. This place actually isn't profitable at all.\The location isn't good.\It's at the end of the beach.\And it's out of the way from everything.\New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean.\What to do... response:	How do you expect a downer of a shop like this to become popular?
context: That's right. This place actually isn't profitable at all.\The location isn't good.\It's at the end of the beach.\And it's out of the way from everything.\New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean.\What to do...\How do you expect a downer of a shop like this to become popular? response:	I hope it goes out of business soon.
context: The location isn't good.\It's at the end of the beach.\And it's out of the way from everything.\New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean.\What to do...\How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon. response:	Then I can go home.
context: It's at the end of the beach.\And it's out of the way from everything.\New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean.\What to do...\How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon.\Then I can go home. response:	Aoi-chan!
context: And it's out of the way from everything.\New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean.\What to do...\How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon.\Then I can go home.\Aoi-chan! response:	He actually looks like a boy.
context: New shop owners don't get a good location that easily.\What a shame, since the shop is new and clean.\What to do...\How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon.\Then I can go home.\Aoi-chan!\He actually looks like a boy. response:	You've got some nerve to say that.
context: What a shame, since the shop is new and clean.\What to do...\How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon.\Then I can go home.\Aoi-chan!\He actually looks like a boy.\You've got some nerve to say that. response:	You don't care what I do to this?
context: What to do...\How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon.\Then I can go home.\Aoi-chan!\He actually looks like a boy.\You've got some nerve to say that.\You don't care what I do to this? response:	Give it back!
context: How do you expect a downer of a shop like this to become popular?\I hope it goes out of business soon.\Then I can go home.\Aoi-chan!\He actually looks like a boy.\You've got some nerve to say that.\You don't care what I do to this?\Give it back! response:	I told you I will once work is over.
context: I hope it goes out of business soon.\Then I can go home.\Aoi-chan!\He actually looks like a boy.\You've got some nerve to say that.\You don't care what I do to this?\Give it back!\I told you I will once work is over. response:	But really. Aren't you in a pretty bad situation if you don't think of something?
context: Then I can go home.\Aoi-chan!\He actually looks like a boy.\You've got some nerve to say that.\You don't care what I do to this?\Give it back!\I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something? response:	You're right.
context: Aoi-chan!\He actually looks like a boy.\You've got some nerve to say that.\You don't care what I do to this?\Give it back!\I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something?\You're right. response:	I need something that makes up for the horrible location.
context: He actually looks like a boy.\You've got some nerve to say that.\You don't care what I do to this?\Give it back!\I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something?\You're right.\I need something that makes up for the horrible location. response:	So, something that draws people's eyes.
context: You've got some nerve to say that.\You don't care what I do to this?\Give it back!\I told you I will once work is over.\But really. Aren't you in a pretty bad situation if you don't think of something?\You're right.\I need something that makes up for the horrible location.\So, something that draws people's eyes. response:	An attraction that other places don't have.
