context: What is the Ideal? response:	What is the Ideal?
context: It's time.\Good morning.\Kunikida-san, please help us!\What's going on so early in the day?\J-J-Just look at Dazai-san!\Oh!\Kunikida-kun, it's an emergency!\Just look! response:	Look at what?
context: Good morning.\Kunikida-san, please help us!\What's going on so early in the day?\J-J-Just look at Dazai-san!\Oh!\Kunikida-kun, it's an emergency!\Just look!\Look at what? response:	At that!
context: Kunikida-san, please help us!\What's going on so early in the day?\J-J-Just look at Dazai-san!\Oh!\Kunikida-kun, it's an emergency!\Just look!\Look at what?\At that! response:	I only see your idiot face!
context: What's going on so early in the day?\J-J-Just look at Dazai-san!\Oh!\Kunikida-kun, it's an emergency!\Just look!\Look at what?\At that!\I only see your idiot face! response:	I've finally arrived...
context: J-J-Just look at Dazai-san!\Oh!\Kunikida-kun, it's an emergency!\Just look!\Look at what?\At that!\I only see your idiot face!\I've finally arrived... response:	in the afterlife!
context: Oh!\Kunikida-kun, it's an emergency!\Just look!\Look at what?\At that!\I only see your idiot face!\I've finally arrived...\in the afterlife! response:	At Yomotsuhirasaka!
context: Kunikida-kun, it's an emergency!\Just look!\Look at what?\At that!\I only see your idiot face!\I've finally arrived...\in the afterlife!\At Yomotsuhirasaka! response:	What's going on?
context: Just look!\Look at what?\At that!\I only see your idiot face!\I've finally arrived...\in the afterlife!\At Yomotsuhirasaka!\What's going on? response:	It's exactly as I'd imagined!
context: Look at what?\At that!\I only see your idiot face!\I've finally arrived...\in the afterlife!\At Yomotsuhirasaka!\What's going on?\It's exactly as I'd imagined! response:	Blue smoke trailing along the ground,
context: At that!\I only see your idiot face!\I've finally arrived...\in the afterlife!\At Yomotsuhirasaka!\What's going on?\It's exactly as I'd imagined!\Blue smoke trailing along the ground, response:	Kunikida-san.
context: I only see your idiot face!\I've finally arrived...\in the afterlife!\At Yomotsuhirasaka!\What's going on?\It's exactly as I'd imagined!\Blue smoke trailing along the ground,\Kunikida-san. response:	moonlight dashing against the windows,
context: I've finally arrived...\in the afterlife!\At Yomotsuhirasaka!\What's going on?\It's exactly as I'd imagined!\Blue smoke trailing along the ground,\Kunikida-san.\moonlight dashing against the windows, response:	I think this may explain it.
context: in the afterlife!\At Yomotsuhirasaka!\What's going on?\It's exactly as I'd imagined!\Blue smoke trailing along the ground,\Kunikida-san.\moonlight dashing against the windows,\I think this may explain it. response:	and pink elephants dancing in the western sky!
context: At Yomotsuhirasaka!\What's going on?\It's exactly as I'd imagined!\Blue smoke trailing along the ground,\Kunikida-san.\moonlight dashing against the windows,\I think this may explain it.\and pink elephants dancing in the western sky! response:	Complete Guide to Suicide
context: What's going on?\It's exactly as I'd imagined!\Blue smoke trailing along the ground,\Kunikida-san.\moonlight dashing against the windows,\I think this may explain it.\and pink elephants dancing in the western sky!\Complete Guide to Suicide response:	I knew the Complete Guide to Suicide was a masterpiece!
context: It's exactly as I'd imagined!\Blue smoke trailing along the ground,\Kunikida-san.\moonlight dashing against the windows,\I think this may explain it.\and pink elephants dancing in the western sky!\Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece! response:	Who knew I just needed to eat mushrooms growing in the nearby hills
context: Blue smoke trailing along the ground,\Kunikida-san.\moonlight dashing against the windows,\I think this may explain it.\and pink elephants dancing in the western sky!\Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills response:	to have such an entertaining way out?!
context: Kunikida-san.\moonlight dashing against the windows,\I think this may explain it.\and pink elephants dancing in the western sky!\Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?! response:	So he ate poisonous mushrooms?
context: moonlight dashing against the windows,\I think this may explain it.\and pink elephants dancing in the western sky!\Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?!\So he ate poisonous mushrooms? response:	Well, he thought he was eating lethal mushrooms, but...
context: I think this may explain it.\and pink elephants dancing in the western sky!\Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?!\So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but... response:	Ah, I've finally caught you,
context: and pink elephants dancing in the western sky!\Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?!\So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you, response:	rainbow pillbug!
context: Complete Guide to Suicide\I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?!\So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you,\rainbow pillbug! response:	All right, let's eat you back home!
context: I knew the Complete Guide to Suicide was a masterpiece!\Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?!\So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you,\rainbow pillbug!\All right, let's eat you back home! response:	Kunikida-san!
context: Who knew I just needed to eat mushrooms growing in the nearby hills\to have such an entertaining way out?!\So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you,\rainbow pillbug!\All right, let's eat you back home!\Kunikida-san! response:	I'm doing my customary paperwork after arriving at work.
context: to have such an entertaining way out?!\So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you,\rainbow pillbug!\All right, let's eat you back home!\Kunikida-san!\I'm doing my customary paperwork after arriving at work. response:	Wait till I'm done.
context: So he ate poisonous mushrooms?\Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you,\rainbow pillbug!\All right, let's eat you back home!\Kunikida-san!\I'm doing my customary paperwork after arriving at work.\Wait till I'm done. response:	What?!
context: Well, he thought he was eating lethal mushrooms, but...\Ah, I've finally caught you,\rainbow pillbug!\All right, let's eat you back home!\Kunikida-san!\I'm doing my customary paperwork after arriving at work.\Wait till I'm done.\What?! response:	Kunikida-kun.
context: Ah, I've finally caught you,\rainbow pillbug!\All right, let's eat you back home!\Kunikida-san!\I'm doing my customary paperwork after arriving at work.\Wait till I'm done.\What?!\Kunikida-kun. response:	You should come to the afterlife, too.
context: rainbow pillbug!\All right, let's eat you back home!\Kunikida-san!\I'm doing my customary paperwork after arriving at work.\Wait till I'm done.\What?!\Kunikida-kun.\You should come to the afterlife, too. response:	It's amazing.
context: All right, let's eat you back home!\Kunikida-san!\I'm doing my customary paperwork after arriving at work.\Wait till I'm done.\What?!\Kunikida-kun.\You should come to the afterlife, too.\It's amazing. response:	There are rainbow pillbugs, too.
context: Kunikida-san!\I'm doing my customary paperwork after arriving at work.\Wait till I'm done.\What?!\Kunikida-kun.\You should come to the afterlife, too.\It's amazing.\There are rainbow pillbugs, too. response:	You can drink all you want!
context: I'm doing my customary paperwork after arriving at work.\Wait till I'm done.\What?!\Kunikida-kun.\You should come to the afterlife, too.\It's amazing.\There are rainbow pillbugs, too.\You can drink all you want! response:	You can eat all you want!
context: Wait till I'm done.\What?!\Kunikida-kun.\You should come to the afterlife, too.\It's amazing.\There are rainbow pillbugs, too.\You can drink all you want!\You can eat all you want! response:	You can look at all the sleeping beauties you could possibly
context: What?!\Kunikida-kun.\You should come to the afterlife, too.\It's amazing.\There are rainbow pillbugs, too.\You can drink all you want!\You can eat all you want!\You can look at all the sleeping beauties you could possibly response:	Shut up!
context: Kunikida-kun.\You should come to the afterlife, too.\It's amazing.\There are rainbow pillbugs, too.\You can drink all you want!\You can eat all you want!\You can look at all the sleeping beauties you could possibly\Shut up! response:	Why are two such incompatible people a team?
context: You should come to the afterlife, too.\It's amazing.\There are rainbow pillbugs, too.\You can drink all you want!\You can eat all you want!\You can look at all the sleeping beauties you could possibly\Shut up!\Why are two such incompatible people a team? response:	Kunikida-san, the president has your case for the day.
context: It's amazing.\There are rainbow pillbugs, too.\You can drink all you want!\You can eat all you want!\You can look at all the sleeping beauties you could possibly\Shut up!\Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day. response:	Dazai.
context: There are rainbow pillbugs, too.\You can drink all you want!\You can eat all you want!\You can look at all the sleeping beauties you could possibly\Shut up!\Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day.\Dazai. response:	Quit dawdling.
context: You can drink all you want!\You can eat all you want!\You can look at all the sleeping beauties you could possibly\Shut up!\Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day.\Dazai.\Quit dawdling. response:	Walk faster.
context: You can eat all you want!\You can look at all the sleeping beauties you could possibly\Shut up!\Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day.\Dazai.\Quit dawdling.\Walk faster. response:	'Kay.
context: You can look at all the sleeping beauties you could possibly\Shut up!\Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day.\Dazai.\Quit dawdling.\Walk faster.\'Kay. response:	We only have two minutes and fifteen seconds until the appointed time!
context: Shut up!\Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day.\Dazai.\Quit dawdling.\Walk faster.\'Kay.\We only have two minutes and fifteen seconds until the appointed time! response:	That's a concern.
context: Why are two such incompatible people a team?\Kunikida-san, the president has your case for the day.\Dazai.\Quit dawdling.\Walk faster.\'Kay.\We only have two minutes and fifteen seconds until the appointed time!\That's a concern. response:	Is it okay for me to come along?
context: Kunikida-san, the president has your case for the day.\Dazai.\Quit dawdling.\Walk faster.\'Kay.\We only have two minutes and fifteen seconds until the appointed time!\That's a concern.\Is it okay for me to come along? response:	This is part of your rookie training.
context: Dazai.\Quit dawdling.\Walk faster.\'Kay.\We only have two minutes and fifteen seconds until the appointed time!\That's a concern.\Is it okay for me to come along?\This is part of your rookie training. response:	This case involves solving a series of disappearances in Yokohama.
context: Quit dawdling.\Walk faster.\'Kay.\We only have two minutes and fifteen seconds until the appointed time!\That's a concern.\Is it okay for me to come along?\This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama. response:	If I recall, it's the one where visitors to Yokohama
context: Walk faster.\'Kay.\We only have two minutes and fifteen seconds until the appointed time!\That's a concern.\Is it okay for me to come along?\This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama response:	keep disappearing one after another, right?
context: 'Kay.\We only have two minutes and fifteen seconds until the appointed time!\That's a concern.\Is it okay for me to come along?\This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right? response:	We have an anonymous tip.
context: We only have two minutes and fifteen seconds until the appointed time!\That's a concern.\Is it okay for me to come along?\This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right?\We have an anonymous tip. response:	The victims have been abducted and imprisoned in a certain location.
context: That's a concern.\Is it okay for me to come along?\This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right?\We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location. response:	An anonymous tip...
context: Is it okay for me to come along?\This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right?\We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location.\An anonymous tip... response:	How suspicious and wonderful.
context: This is part of your rookie training.\This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right?\We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location.\An anonymous tip...\How suspicious and wonderful. response:	But we can't ignore it.
context: This case involves solving a series of disappearances in Yokohama.\If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right?\We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location.\An anonymous tip...\How suspicious and wonderful.\But we can't ignore it. response:	So we're going to check the place out?
context: If I recall, it's the one where visitors to Yokohama\keep disappearing one after another, right?\We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location.\An anonymous tip...\How suspicious and wonderful.\But we can't ignore it.\So we're going to check the place out? response:	No.
context: keep disappearing one after another, right?\We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location.\An anonymous tip...\How suspicious and wonderful.\But we can't ignore it.\So we're going to check the place out?\No. response:	We're going to investigate the anonymous tip's source first.
context: We have an anonymous tip.\The victims have been abducted and imprisoned in a certain location.\An anonymous tip...\How suspicious and wonderful.\But we can't ignore it.\So we're going to check the place out?\No.\We're going to investigate the anonymous tip's source first. response:	How goes it, informant?
context: The victims have been abducted and imprisoned in a certain location.\An anonymous tip...\How suspicious and wonderful.\But we can't ignore it.\So we're going to check the place out?\No.\We're going to investigate the anonymous tip's source first.\How goes it, informant? response:	Hey, four-eyes. Are you a slave to your notebook yet again?
context: An anonymous tip...\How suspicious and wonderful.\But we can't ignore it.\So we're going to check the place out?\No.\We're going to investigate the anonymous tip's source first.\How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again? response:	You think you can talk like that to a detective agency
context: How suspicious and wonderful.\But we can't ignore it.\So we're going to check the place out?\No.\We're going to investigate the anonymous tip's source first.\How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency response:	when you're a cyber criminal?
context: But we can't ignore it.\So we're going to check the place out?\No.\We're going to investigate the anonymous tip's source first.\How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency\when you're a cyber criminal? response:	If you're arrested,
context: So we're going to check the place out?\No.\We're going to investigate the anonymous tip's source first.\How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency\when you're a cyber criminal?\If you're arrested, response:	your deceased father will be most aggrieved.
context: No.\We're going to investigate the anonymous tip's source first.\How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency\when you're a cyber criminal?\If you're arrested,\your deceased father will be most aggrieved. response:	Don't bring my father into this.
context: We're going to investigate the anonymous tip's source first.\How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency\when you're a cyber criminal?\If you're arrested,\your deceased father will be most aggrieved.\Don't bring my father into this. response:	More importantly, you're late.
context: How goes it, informant?\Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency\when you're a cyber criminal?\If you're arrested,\your deceased father will be most aggrieved.\Don't bring my father into this.\More importantly, you're late. response:	Isn't that unusual for you?
context: Hey, four-eyes. Are you a slave to your notebook yet again?\You think you can talk like that to a detective agency\when you're a cyber criminal?\If you're arrested,\your deceased father will be most aggrieved.\Don't bring my father into this.\More importantly, you're late.\Isn't that unusual for you? response:	Why?
context: You think you can talk like that to a detective agency\when you're a cyber criminal?\If you're arrested,\your deceased father will be most aggrieved.\Don't bring my father into this.\More importantly, you're late.\Isn't that unusual for you?\Why? response:	Were you on a date with a pretty lady?
context: when you're a cyber criminal?\If you're arrested,\your deceased father will be most aggrieved.\Don't bring my father into this.\More importantly, you're late.\Isn't that unusual for you?\Why?\Were you on a date with a pretty lady? response:	No!
context: If you're arrested,\your deceased father will be most aggrieved.\Don't bring my father into this.\More importantly, you're late.\Isn't that unusual for you?\Why?\Were you on a date with a pretty lady?\No! response:	Dates should be with a chosen woman,
context: your deceased father will be most aggrieved.\Don't bring my father into this.\More importantly, you're late.\Isn't that unusual for you?\Why?\Were you on a date with a pretty lady?\No!\Dates should be with a chosen woman, response:	followed by marriage six years later.
context: Don't bring my father into this.\More importantly, you're late.\Isn't that unusual for you?\Why?\Were you on a date with a pretty lady?\No!\Dates should be with a chosen woman,\followed by marriage six years later. response:	That is what's written in this notebook.
context: More importantly, you're late.\Isn't that unusual for you?\Why?\Were you on a date with a pretty lady?\No!\Dates should be with a chosen woman,\followed by marriage six years later.\That is what's written in this notebook. response:	Huh?!
context: Isn't that unusual for you?\Why?\Were you on a date with a pretty lady?\No!\Dates should be with a chosen woman,\followed by marriage six years later.\That is what's written in this notebook.\Huh?! response:	You have someone you've decided to marry?
context: Why?\Were you on a date with a pretty lady?\No!\Dates should be with a chosen woman,\followed by marriage six years later.\That is what's written in this notebook.\Huh?!\You have someone you've decided to marry? response:	I will in another four years.
context: Were you on a date with a pretty lady?\No!\Dates should be with a chosen woman,\followed by marriage six years later.\That is what's written in this notebook.\Huh?!\You have someone you've decided to marry?\I will in another four years. response:	Is he new?
context: No!\Dates should be with a chosen woman,\followed by marriage six years later.\That is what's written in this notebook.\Huh?!\You have someone you've decided to marry?\I will in another four years.\Is he new? response:	I'm Nakajima Atsushi.
context: Dates should be with a chosen woman,\followed by marriage six years later.\That is what's written in this notebook.\Huh?!\You have someone you've decided to marry?\I will in another four years.\Is he new?\I'm Nakajima Atsushi. response:	Cyber Network Warrior Taguchi Rokuzou
context: followed by marriage six years later.\That is what's written in this notebook.\Huh?!\You have someone you've decided to marry?\I will in another four years.\Is he new?\I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou response:	I'm called Taguchi Rokuzou.
context: That is what's written in this notebook.\Huh?!\You have someone you've decided to marry?\I will in another four years.\Is he new?\I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou. response:	I'm an informant.
context: Huh?!\You have someone you've decided to marry?\I will in another four years.\Is he new?\I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou.\I'm an informant. response:	For the right price, I can dig up dirt on anything.
context: You have someone you've decided to marry?\I will in another four years.\Is he new?\I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou.\I'm an informant.\For the right price, I can dig up dirt on anything. response:	And?
context: I will in another four years.\Is he new?\I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou.\I'm an informant.\For the right price, I can dig up dirt on anything.\And? response:	Did you figure out who's behind the anonymous tip?
context: Is he new?\I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou.\I'm an informant.\For the right price, I can dig up dirt on anything.\And?\Did you figure out who's behind the anonymous tip? response:	The Azure Messenger...
context: I'm Nakajima Atsushi.\Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou.\I'm an informant.\For the right price, I can dig up dirt on anything.\And?\Did you figure out who's behind the anonymous tip?\The Azure Messenger... response:	What?
context: Cyber Network Warrior Taguchi Rokuzou\I'm called Taguchi Rokuzou.\I'm an informant.\For the right price, I can dig up dirt on anything.\And?\Did you figure out who's behind the anonymous tip?\The Azure Messenger...\What? response:	There was data left on the server.
context: I'm called Taguchi Rokuzou.\I'm an informant.\For the right price, I can dig up dirt on anything.\And?\Did you figure out who's behind the anonymous tip?\The Azure Messenger...\What?\There was data left on the server. response:	And pics of the abduction victims, I guess.
context: I'm an informant.\For the right price, I can dig up dirt on anything.\And?\Did you figure out who's behind the anonymous tip?\The Azure Messenger...\What?\There was data left on the server.\And pics of the abduction victims, I guess. response:	The mole's not a bad guy, though, is he?
context: For the right price, I can dig up dirt on anything.\And?\Did you figure out who's behind the anonymous tip?\The Azure Messenger...\What?\There was data left on the server.\And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he? response:	He told you where they're holed up and all.
context: And?\Did you figure out who's behind the anonymous tip?\The Azure Messenger...\What?\There was data left on the server.\And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he?\He told you where they're holed up and all. response:	I wonder...
context: Did you figure out who's behind the anonymous tip?\The Azure Messenger...\What?\There was data left on the server.\And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he?\He told you where they're holed up and all.\I wonder... response:	I hope we don't go there, only to find he's one of the kidnappers.
context: The Azure Messenger...\What?\There was data left on the server.\And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he?\He told you where they're holed up and all.\I wonder...\I hope we don't go there, only to find he's one of the kidnappers. response:	The Azure Messenger...
context: What?\There was data left on the server.\And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he?\He told you where they're holed up and all.\I wonder...\I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger... response:	I want you to keep looking into it.
context: There was data left on the server.\And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he?\He told you where they're holed up and all.\I wonder...\I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger...\I want you to keep looking into it. response:	Sure, when I feel like it.
context: And pics of the abduction victims, I guess.\The mole's not a bad guy, though, is he?\He told you where they're holed up and all.\I wonder...\I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger...\I want you to keep looking into it.\Sure, when I feel like it. response:	Episode 6 The Azure Messenger
context: The mole's not a bad guy, though, is he?\He told you where they're holed up and all.\I wonder...\I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger...\I want you to keep looking into it.\Sure, when I feel like it.\Episode 6 The Azure Messenger response:	I'm busy looking after my tropical fish.
context: He told you where they're holed up and all.\I wonder...\I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger...\I want you to keep looking into it.\Sure, when I feel like it.\Episode 6 The Azure Messenger\I'm busy looking after my tropical fish. response:	Yeah.
context: I wonder...\I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger...\I want you to keep looking into it.\Sure, when I feel like it.\Episode 6 The Azure Messenger\I'm busy looking after my tropical fish.\Yeah. response:	Thanks.
context: I hope we don't go there, only to find he's one of the kidnappers.\The Azure Messenger...\I want you to keep looking into it.\Sure, when I feel like it.\Episode 6 The Azure Messenger\I'm busy looking after my tropical fish.\Yeah.\Thanks. response:	I called a cab.
context: The Azure Messenger...\I want you to keep looking into it.\Sure, when I feel like it.\Episode 6 The Azure Messenger\I'm busy looking after my tropical fish.\Yeah.\Thanks.\I called a cab. response:	We'll go to the abandoned hospital mentioned by the tipster now.
context: I want you to keep looking into it.\Sure, when I feel like it.\Episode 6 The Azure Messenger\I'm busy looking after my tropical fish.\Yeah.\Thanks.\I called a cab.\We'll go to the abandoned hospital mentioned by the tipster now. response:	Kunikida-kun, why are you looking after the Rokuzou boy?
context: Sure, when I feel like it.\Episode 6 The Azure Messenger\I'm busy looking after my tropical fish.\Yeah.\Thanks.\I called a cab.\We'll go to the abandoned hospital mentioned by the tipster now.\Kunikida-kun, why are you looking after the Rokuzou boy? response:	What do you mean?
context: Episode 6 The Azure Messenger\I'm busy looking after my tropical fish.\Yeah.\Thanks.\I called a cab.\We'll go to the abandoned hospital mentioned by the tipster now.\Kunikida-kun, why are you looking after the Rokuzou boy?\What do you mean? response:	It's not like you to give a hacker jobs.
context: I'm busy looking after my tropical fish.\Yeah.\Thanks.\I called a cab.\We'll go to the abandoned hospital mentioned by the tipster now.\Kunikida-kun, why are you looking after the Rokuzou boy?\What do you mean?\It's not like you to give a hacker jobs. response:	You could've just talked to him over the phone,
context: Yeah.\Thanks.\I called a cab.\We'll go to the abandoned hospital mentioned by the tipster now.\Kunikida-kun, why are you looking after the Rokuzou boy?\What do you mean?\It's not like you to give a hacker jobs.\You could've just talked to him over the phone, response:	but you took the time to meet him face to face.
