context: -So, do your time-leap, and change this world for us! -Big Brother Yu! response:	-Is this world really going to change? -Just make sure to time it right.
context: It's been a while, Yu.\I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry...\Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting\Time to eat! response:	Hey, Ayumi. How old are you now?
context: I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry...\Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting\Time to eat!\Hey, Ayumi. How old are you now? response:	I'm eight years old!
context: Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry...\Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting\Time to eat!\Hey, Ayumi. How old are you now?\I'm eight years old! response:	That means, we get captured three years from now...
context: Oh, sorry...\Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting\Time to eat!\Hey, Ayumi. How old are you now?\I'm eight years old!\That means, we get captured three years from now... response:	After I made the time-leap,
context: Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting\Time to eat!\Hey, Ayumi. How old are you now?\I'm eight years old!\That means, we get captured three years from now...\After I made the time-leap, response:	I started by becoming friends with Kumagami and his group.
context: Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting\Time to eat!\Hey, Ayumi. How old are you now?\I'm eight years old!\That means, we get captured three years from now...\After I made the time-leap,\I started by becoming friends with Kumagami and his group. response:	This was so that we would fight together,
context: Episode 10 - Looting\Time to eat!\Hey, Ayumi. How old are you now?\I'm eight years old!\That means, we get captured three years from now...\After I made the time-leap,\I started by becoming friends with Kumagami and his group.\This was so that we would fight together, response:	just like how we promised in the future.
context: Time to eat!\Hey, Ayumi. How old are you now?\I'm eight years old!\That means, we get captured three years from now...\After I made the time-leap,\I started by becoming friends with Kumagami and his group.\This was so that we would fight together,\just like how we promised in the future. response:	Kumagami was the one that found me.
context: Hey, Ayumi. How old are you now?\I'm eight years old!\That means, we get captured three years from now...\After I made the time-leap,\I started by becoming friends with Kumagami and his group.\This was so that we would fight together,\just like how we promised in the future.\Kumagami was the one that found me. response:	Someone with an amazing ability showed up...
context: I'm eight years old!\That means, we get captured three years from now...\After I made the time-leap,\I started by becoming friends with Kumagami and his group.\This was so that we would fight together,\just like how we promised in the future.\Kumagami was the one that found me.\Someone with an amazing ability showed up... response:	You finally came for me.
context: That means, we get captured three years from now...\After I made the time-leap,\I started by becoming friends with Kumagami and his group.\This was so that we would fight together,\just like how we promised in the future.\Kumagami was the one that found me.\Someone with an amazing ability showed up...\You finally came for me. response:	What are you talking about?
context: After I made the time-leap,\I started by becoming friends with Kumagami and his group.\This was so that we would fight together,\just like how we promised in the future.\Kumagami was the one that found me.\Someone with an amazing ability showed up...\You finally came for me.\What are you talking about? response:	We're soul-friends who swore to each other that
context: I started by becoming friends with Kumagami and his group.\This was so that we would fight together,\just like how we promised in the future.\Kumagami was the one that found me.\Someone with an amazing ability showed up...\You finally came for me.\What are you talking about?\We're soul-friends who swore to each other that response:	we will make sure to change the world, you!
context: This was so that we would fight together,\just like how we promised in the future.\Kumagami was the one that found me.\Someone with an amazing ability showed up...\You finally came for me.\What are you talking about?\We're soul-friends who swore to each other that\we will make sure to change the world, you! response:	Wait, don't come close to me!
context: just like how we promised in the future.\Kumagami was the one that found me.\Someone with an amazing ability showed up...\You finally came for me.\What are you talking about?\We're soul-friends who swore to each other that\we will make sure to change the world, you!\Wait, don't come close to me! response:	W-What in the world are you?
context: Kumagami was the one that found me.\Someone with an amazing ability showed up...\You finally came for me.\What are you talking about?\We're soul-friends who swore to each other that\we will make sure to change the world, you!\Wait, don't come close to me!\W-What in the world are you? response:	You know about my ability, right?
context: Someone with an amazing ability showed up...\You finally came for me.\What are you talking about?\We're soul-friends who swore to each other that\we will make sure to change the world, you!\Wait, don't come close to me!\W-What in the world are you?\You know about my ability, right? response:	Then, don't you have a good guess in general?
context: You finally came for me.\What are you talking about?\We're soul-friends who swore to each other that\we will make sure to change the world, you!\Wait, don't come close to me!\W-What in the world are you?\You know about my ability, right?\Then, don't you have a good guess in general? response:	Can it be... that we've met each other in the future?
context: What are you talking about?\We're soul-friends who swore to each other that\we will make sure to change the world, you!\Wait, don't come close to me!\W-What in the world are you?\You know about my ability, right?\Then, don't you have a good guess in general?\Can it be... that we've met each other in the future? response:	That's correct!
context: We're soul-friends who swore to each other that\we will make sure to change the world, you!\Wait, don't come close to me!\W-What in the world are you?\You know about my ability, right?\Then, don't you have a good guess in general?\Can it be... that we've met each other in the future?\That's correct! response:	We may have met each other in the future, but for now, we're strangers!
context: we will make sure to change the world, you!\Wait, don't come close to me!\W-What in the world are you?\You know about my ability, right?\Then, don't you have a good guess in general?\Can it be... that we've met each other in the future?\That's correct!\We may have met each other in the future, but for now, we're strangers! response:	Don't you get all chummy with me now!
context: Wait, don't come close to me!\W-What in the world are you?\You know about my ability, right?\Then, don't you have a good guess in general?\Can it be... that we've met each other in the future?\That's correct!\We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now! response:	Man, you're no fun, Pooh.
context: W-What in the world are you?\You know about my ability, right?\Then, don't you have a good guess in general?\Can it be... that we've met each other in the future?\That's correct!\We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now!\Man, you're no fun, Pooh. response:	Pooh?
context: You know about my ability, right?\Then, don't you have a good guess in general?\Can it be... that we've met each other in the future?\That's correct!\We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now!\Man, you're no fun, Pooh.\Pooh? response:	I call you Pooh, after that bear named Pooh.
context: Then, don't you have a good guess in general?\Can it be... that we've met each other in the future?\That's correct!\We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now!\Man, you're no fun, Pooh.\Pooh?\I call you Pooh, after that bear named Pooh. response:	Impossible... I allowed someone to call me by such a nickname?
context: Can it be... that we've met each other in the future?\That's correct!\We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now!\Man, you're no fun, Pooh.\Pooh?\I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname? response:	At this point, Kumagami had already made a small group of ability-wielders.
context: That's correct!\We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now!\Man, you're no fun, Pooh.\Pooh?\I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders. response:	I followed Kumagami, and decided to meet
context: We may have met each other in the future, but for now, we're strangers!\Don't you get all chummy with me now!\Man, you're no fun, Pooh.\Pooh?\I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet response:	the members of this group as planned.
context: Don't you get all chummy with me now!\Man, you're no fun, Pooh.\Pooh?\I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet\the members of this group as planned. response:	This is the one with the time-leap ability, Shunsuke Otosaka.
context: Man, you're no fun, Pooh.\Pooh?\I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet\the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka. response:	It's been a while! But, you guys don't see it that way.
context: Pooh?\I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet\the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way. response:	Apparently, he's met all three of you already in the future.
context: I call you Pooh, after that bear named Pooh.\Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet\the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future. response:	You expect us to believe that?
context: Impossible... I allowed someone to call me by such a nickname?\At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet\the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future.\You expect us to believe that? response:	First off, Shichino.
context: At this point, Kumagami had already made a small group of ability-wielders.\I followed Kumagami, and decided to meet\the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future.\You expect us to believe that?\First off, Shichino. response:	The wielder of permeation, the ability to pass through obstacles.
context: I followed Kumagami, and decided to meet\the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future.\You expect us to believe that?\First off, Shichino.\The wielder of permeation, the ability to pass through obstacles. response:	However, you get tremendously tired even by passing through one wall.
context: the members of this group as planned.\This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future.\You expect us to believe that?\First off, Shichino.\The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall. response:	What?
context: This is the one with the time-leap ability, Shunsuke Otosaka.\It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future.\You expect us to believe that?\First off, Shichino.\The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall.\What? response:	Next, Medoki.
context: It's been a while! But, you guys don't see it that way.\Apparently, he's met all three of you already in the future.\You expect us to believe that?\First off, Shichino.\The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall.\What?\Next, Medoki. response:	You possess powers of hypnotism.
context: Apparently, he's met all three of you already in the future.\You expect us to believe that?\First off, Shichino.\The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall.\What?\Next, Medoki.\You possess powers of hypnotism. response:	You can make someone fall asleep, but you also fall asleep afterwards.
context: You expect us to believe that?\First off, Shichino.\The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall.\What?\Next, Medoki.\You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards. response:	Next, Maedomori.
context: First off, Shichino.\The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall.\What?\Next, Medoki.\You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori. response:	Yes.
context: The wielder of permeation, the ability to pass through obstacles.\However, you get tremendously tired even by passing through one wall.\What?\Next, Medoki.\You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori.\Yes. response:	You're able to erase one memory from someone with pin-point accuracy.
context: However, you get tremendously tired even by passing through one wall.\What?\Next, Medoki.\You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori.\Yes.\You're able to erase one memory from someone with pin-point accuracy. response:	However, you must touch the target
context: What?\Next, Medoki.\You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori.\Yes.\You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target response:	and take a long time to find that memory.
context: Next, Medoki.\You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori.\Yes.\You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target\and take a long time to find that memory. response:	That is all.
context: You possess powers of hypnotism.\You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori.\Yes.\You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target\and take a long time to find that memory.\That is all. response:	Amazing... that's perfect.
context: You can make someone fall asleep, but you also fall asleep afterwards.\Next, Maedomori.\Yes.\You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target\and take a long time to find that memory.\That is all.\Amazing... that's perfect. response:	He might have heard all of that from Kumagami first!
context: Next, Maedomori.\Yes.\You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target\and take a long time to find that memory.\That is all.\Amazing... that's perfect.\He might have heard all of that from Kumagami first! response:	That will mean that even Kumagami is someone
context: Yes.\You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target\and take a long time to find that memory.\That is all.\Amazing... that's perfect.\He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone response:	we can't trust, but are you all right with that?
context: You're able to erase one memory from someone with pin-point accuracy.\However, you must touch the target\and take a long time to find that memory.\That is all.\Amazing... that's perfect.\He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone\we can't trust, but are you all right with that? response:	So, what do you want with us, since you came to see us from the future?
context: However, you must touch the target\and take a long time to find that memory.\That is all.\Amazing... that's perfect.\He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone\we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future? response:	Yeah, let me explain.
context: and take a long time to find that memory.\That is all.\Amazing... that's perfect.\He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone\we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future?\Yeah, let me explain. response:	And so, I explained the tragic endings
context: That is all.\Amazing... that's perfect.\He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone\we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future?\Yeah, let me explain.\And so, I explained the tragic endings response:	of those with special powers in my future.
context: Amazing... that's perfect.\He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone\we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future?\Yeah, let me explain.\And so, I explained the tragic endings\of those with special powers in my future. response:	About myself, and about the other members present.
context: He might have heard all of that from Kumagami first!\That will mean that even Kumagami is someone\we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future?\Yeah, let me explain.\And so, I explained the tragic endings\of those with special powers in my future.\About myself, and about the other members present. response:	And then, about the plan
context: That will mean that even Kumagami is someone\we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future?\Yeah, let me explain.\And so, I explained the tragic endings\of those with special powers in my future.\About myself, and about the other members present.\And then, about the plan response:	that I had made with Kumagami and company of the future...
context: we can't trust, but are you all right with that?\So, what do you want with us, since you came to see us from the future?\Yeah, let me explain.\And so, I explained the tragic endings\of those with special powers in my future.\About myself, and about the other members present.\And then, about the plan\that I had made with Kumagami and company of the future... response:	There was one means for us to take.
context: So, what do you want with us, since you came to see us from the future?\Yeah, let me explain.\And so, I explained the tragic endings\of those with special powers in my future.\About myself, and about the other members present.\And then, about the plan\that I had made with Kumagami and company of the future...\There was one means for us to take. response:	We need to gather those with abilities, and protect ourselves.
context: Yeah, let me explain.\And so, I explained the tragic endings\of those with special powers in my future.\About myself, and about the other members present.\And then, about the plan\that I had made with Kumagami and company of the future...\There was one means for us to take.\We need to gather those with abilities, and protect ourselves. response:	And so, we started creating a syndicate of just ability wielders.
context: And so, I explained the tragic endings\of those with special powers in my future.\About myself, and about the other members present.\And then, about the plan\that I had made with Kumagami and company of the future...\There was one means for us to take.\We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders. response:	But, in the end, it was just a gathering of children.
context: of those with special powers in my future.\About myself, and about the other members present.\And then, about the plan\that I had made with Kumagami and company of the future...\There was one means for us to take.\We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children. response:	No matter how many times we started over,
context: About myself, and about the other members present.\And then, about the plan\that I had made with Kumagami and company of the future...\There was one means for us to take.\We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children.\No matter how many times we started over, response:	we weren't able to protect ourselves.
context: And then, about the plan\that I had made with Kumagami and company of the future...\There was one means for us to take.\We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children.\No matter how many times we started over,\we weren't able to protect ourselves. response:	In the end, there were members that went out of control
context: that I had made with Kumagami and company of the future...\There was one means for us to take.\We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children.\No matter how many times we started over,\we weren't able to protect ourselves.\In the end, there were members that went out of control response:	and assaulted the lab facility to save their friends.
context: There was one means for us to take.\We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children.\No matter how many times we started over,\we weren't able to protect ourselves.\In the end, there were members that went out of control\and assaulted the lab facility to save their friends. response:	Dammit!
context: We need to gather those with abilities, and protect ourselves.\And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children.\No matter how many times we started over,\we weren't able to protect ourselves.\In the end, there were members that went out of control\and assaulted the lab facility to save their friends.\Dammit! response:	We don't have enough power to protect.
context: And so, we started creating a syndicate of just ability wielders.\But, in the end, it was just a gathering of children.\No matter how many times we started over,\we weren't able to protect ourselves.\In the end, there were members that went out of control\and assaulted the lab facility to save their friends.\Dammit!\We don't have enough power to protect. response:	In the first place, this was impossible for just children to do.
context: But, in the end, it was just a gathering of children.\No matter how many times we started over,\we weren't able to protect ourselves.\In the end, there were members that went out of control\and assaulted the lab facility to save their friends.\Dammit!\We don't have enough power to protect.\In the first place, this was impossible for just children to do. response:	What should we do?
context: No matter how many times we started over,\we weren't able to protect ourselves.\In the end, there were members that went out of control\and assaulted the lab facility to save their friends.\Dammit!\We don't have enough power to protect.\In the first place, this was impossible for just children to do.\What should we do? response:	Let's get some adult help.
context: we weren't able to protect ourselves.\In the end, there were members that went out of control\and assaulted the lab facility to save their friends.\Dammit!\We don't have enough power to protect.\In the first place, this was impossible for just children to do.\What should we do?\Let's get some adult help. response:	Adults? There's no way we can rely on them!
context: In the end, there were members that went out of control\and assaulted the lab facility to save their friends.\Dammit!\We don't have enough power to protect.\In the first place, this was impossible for just children to do.\What should we do?\Let's get some adult help.\Adults? There's no way we can rely on them! response:	There is no way that adults who have no abilities will understand us...
context: and assaulted the lab facility to save their friends.\Dammit!\We don't have enough power to protect.\In the first place, this was impossible for just children to do.\What should we do?\Let's get some adult help.\Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us... response:	What about those that used to have abilities?
context: Dammit!\We don't have enough power to protect.\In the first place, this was impossible for just children to do.\What should we do?\Let's get some adult help.\Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us...\What about those that used to have abilities? response:	I know a few that are like that.
context: We don't have enough power to protect.\In the first place, this was impossible for just children to do.\What should we do?\Let's get some adult help.\Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us...\What about those that used to have abilities?\I know a few that are like that. response:	Don't you think it's worth trying out?
context: In the first place, this was impossible for just children to do.\What should we do?\Let's get some adult help.\Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us...\What about those that used to have abilities?\I know a few that are like that.\Don't you think it's worth trying out? response:	Well, if you say so.
context: What should we do?\Let's get some adult help.\Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us...\What about those that used to have abilities?\I know a few that are like that.\Don't you think it's worth trying out?\Well, if you say so. response:	Let's try it out.
context: Let's get some adult help.\Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us...\What about those that used to have abilities?\I know a few that are like that.\Don't you think it's worth trying out?\Well, if you say so.\Let's try it out. response:	But, what are we specifically going to do, Shunsuke?
context: Adults? There's no way we can rely on them!\There is no way that adults who have no abilities will understand us...\What about those that used to have abilities?\I know a few that are like that.\Don't you think it's worth trying out?\Well, if you say so.\Let's try it out.\But, what are we specifically going to do, Shunsuke? response:	Yeah, let me think about it for a bit, Pooh.
context: There is no way that adults who have no abilities will understand us...\What about those that used to have abilities?\I know a few that are like that.\Don't you think it's worth trying out?\Well, if you say so.\Let's try it out.\But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh. response:	Big Brother Shun, happy 15th birthday!
context: What about those that used to have abilities?\I know a few that are like that.\Don't you think it's worth trying out?\Well, if you say so.\Let's try it out.\But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday! response:	Happy birthday!
context: I know a few that are like that.\Don't you think it's worth trying out?\Well, if you say so.\Let's try it out.\But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday!\Happy birthday! response:	I need to time-leap soon, or I'll get caught...
context: Don't you think it's worth trying out?\Well, if you say so.\Let's try it out.\But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday!\Happy birthday!\I need to time-leap soon, or I'll get caught... response:	Now's your chance for the Mega-Jump Fortune Lottery!
context: Well, if you say so.\Let's try it out.\But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday!\Happy birthday!\I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery! response:	This year, along with the prizes for being one number off,
context: Let's try it out.\But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday!\Happy birthday!\I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off, response:	600 Million Yen
context: But, what are we specifically going to do, Shunsuke?\Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday!\Happy birthday!\I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off,\600 Million Yen response:	the prize total is 600 million yen!
context: Yeah, let me think about it for a bit, Pooh.\Big Brother Shun, happy 15th birthday!\Happy birthday!\I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off,\600 Million Yen\the prize total is 600 million yen! response:	Your lucky chance is right in front of you!
context: Big Brother Shun, happy 15th birthday!\Happy birthday!\I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off,\600 Million Yen\the prize total is 600 million yen!\Your lucky chance is right in front of you! response:	600 million... if we had 600 million,
context: Happy birthday!\I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off,\600 Million Yen\the prize total is 600 million yen!\Your lucky chance is right in front of you!\600 million... if we had 600 million, response:	The biggest test of your luck this year!
context: I need to time-leap soon, or I'll get caught...\Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off,\600 Million Yen\the prize total is 600 million yen!\Your lucky chance is right in front of you!\600 million... if we had 600 million,\The biggest test of your luck this year! response:	we might be able to sway some adults...
context: Now's your chance for the Mega-Jump Fortune Lottery!\This year, along with the prizes for being one number off,\600 Million Yen\the prize total is 600 million yen!\Your lucky chance is right in front of you!\600 million... if we had 600 million,\The biggest test of your luck this year!\we might be able to sway some adults... response:	Now, to a vendor, let's go!
context: This year, along with the prizes for being one number off,\600 Million Yen\the prize total is 600 million yen!\Your lucky chance is right in front of you!\600 million... if we had 600 million,\The biggest test of your luck this year!\we might be able to sway some adults...\Now, to a vendor, let's go! response:	Not just 600 million... if I use my powers...
context: 600 Million Yen\the prize total is 600 million yen!\Your lucky chance is right in front of you!\600 million... if we had 600 million,\The biggest test of your luck this year!\we might be able to sway some adults...\Now, to a vendor, let's go!\Not just 600 million... if I use my powers... response:	This is it. This is the only way left.
context: the prize total is 600 million yen!\Your lucky chance is right in front of you!\600 million... if we had 600 million,\The biggest test of your luck this year!\we might be able to sway some adults...\Now, to a vendor, let's go!\Not just 600 million... if I use my powers...\This is it. This is the only way left. response:	Let's gather some funding.
context: Your lucky chance is right in front of you!\600 million... if we had 600 million,\The biggest test of your luck this year!\we might be able to sway some adults...\Now, to a vendor, let's go!\Not just 600 million... if I use my powers...\This is it. This is the only way left.\Let's gather some funding. response:	Oh?
context: 600 million... if we had 600 million,\The biggest test of your luck this year!\we might be able to sway some adults...\Now, to a vendor, let's go!\Not just 600 million... if I use my powers...\This is it. This is the only way left.\Let's gather some funding.\Oh? response:	I'll leap back to the past, and gather
context: The biggest test of your luck this year!\we might be able to sway some adults...\Now, to a vendor, let's go!\Not just 600 million... if I use my powers...\This is it. This is the only way left.\Let's gather some funding.\Oh?\I'll leap back to the past, and gather response:	all sorts of gambling information, like horse racing and lotto.
context: we might be able to sway some adults...\Now, to a vendor, let's go!\Not just 600 million... if I use my powers...\This is it. This is the only way left.\Let's gather some funding.\Oh?\I'll leap back to the past, and gather\all sorts of gambling information, like horse racing and lotto. response:	I see..
