context: Up until now, I've insisted on using One For All. response:	I should've turned the switch on throughout from the beginning!
context: Try getting a hit on me in that time!\Crap, he dodged!\Pathetic.\If you can't even react to this,\then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy!\One For A- response:	It'll take time to get it going through my whole body again...
context: Crap, he dodged!\Pathetic.\If you can't even react to this,\then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy!\One For A-\It'll take time to get it going through my whole body again... response:	A single hit doesn't pack much punch,
context: Pathetic.\If you can't even react to this,\then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy!\One For A-\It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch, response:	but he's too fast to follow with my eyes!
context: If you can't even react to this,\then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy!\One For A-\It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch,\but he's too fast to follow with my eyes! response:	Then, I just need a little time!
context: then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy!\One For A-\It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch,\but he's too fast to follow with my eyes!\Then, I just need a little time! response:	Come on!
context: Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy!\One For A-\It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch,\but he's too fast to follow with my eyes!\Then, I just need a little time!\Come on! response:	Don't be stupid!
context: would be able to get over this wall in a jiffy!\One For A-\It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch,\but he's too fast to follow with my eyes!\Then, I just need a little time!\Come on!\Don't be stupid! response:	I can see you!
context: One For A-\It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch,\but he's too fast to follow with my eyes!\Then, I just need a little time!\Come on!\Don't be stupid!\I can see you! response:	You won't be able to buy time like that!
context: It'll take time to get it going through my whole body again...\A single hit doesn't pack much punch,\but he's too fast to follow with my eyes!\Then, I just need a little time!\Come on!\Don't be stupid!\I can see you!\You won't be able to buy time like that! response:	Now!
context: A single hit doesn't pack much punch,\but he's too fast to follow with my eyes!\Then, I just need a little time!\Come on!\Don't be stupid!\I can see you!\You won't be able to buy time like that!\Now! response:	You were trying to get me to stop moving, huh?
context: but he's too fast to follow with my eyes!\Then, I just need a little time!\Come on!\Don't be stupid!\I can see you!\You won't be able to buy time like that!\Now!\You were trying to get me to stop moving, huh? response:	You got me...
context: Then, I just need a little time!\Come on!\Don't be stupid!\I can see you!\You won't be able to buy time like that!\Now!\You were trying to get me to stop moving, huh?\You got me... response:	One For All...
context: Come on!\Don't be stupid!\I can see you!\You won't be able to buy time like that!\Now!\You were trying to get me to stop moving, huh?\You got me...\One For All... response:	Almost.
context: Don't be stupid!\I can see you!\You won't be able to buy time like that!\Now!\You were trying to get me to stop moving, huh?\You got me...\One For All...\Almost. response:	From behind!
context: I can see you!\You won't be able to buy time like that!\Now!\You were trying to get me to stop moving, huh?\You got me...\One For All...\Almost.\From behind! response:	That's the same as last time, kid!
context: You won't be able to buy time like that!\Now!\You were trying to get me to stop moving, huh?\You got me...\One For All...\Almost.\From behind!\That's the same as last time, kid! response:	Smash...!
context: Now!\You were trying to get me to stop moving, huh?\You got me...\One For All...\Almost.\From behind!\That's the same as last time, kid!\Smash...! response:	He can dodge this?!
context: You were trying to get me to stop moving, huh?\You got me...\One For All...\Almost.\From behind!\That's the same as last time, kid!\Smash...!\He can dodge this?! response:	Three minutes.
context: You got me...\One For All...\Almost.\From behind!\That's the same as last time, kid!\Smash...!\He can dodge this?!\Three minutes. response:	Damn it...
context: One For All...\Almost.\From behind!\That's the same as last time, kid!\Smash...!\He can dodge this?!\Three minutes.\Damn it... response:	It's hard just to keep it going...
context: Almost.\From behind!\That's the same as last time, kid!\Smash...!\He can dodge this?!\Three minutes.\Damn it...\It's hard just to keep it going... response:	I've still got a long way to go...
context: From behind!\That's the same as last time, kid!\Smash...!\He can dodge this?!\Three minutes.\Damn it...\It's hard just to keep it going...\I've still got a long way to go... response:	No, you were able to attack me when I was unguarded through analysis and prediction.
context: That's the same as last time, kid!\Smash...!\He can dodge this?!\Three minutes.\Damn it...\It's hard just to keep it going...\I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction. response:	You think about a lot of stuff normally, don't you, kid?
context: Smash...!\He can dodge this?!\Three minutes.\Damn it...\It's hard just to keep it going...\I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid? response:	Just since yesterday you've already changed a lot with just one attempt...
context: He can dodge this?!\Three minutes.\Damn it...\It's hard just to keep it going...\I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt... response:	You made me dodge seriously for the first time in a while.
context: Three minutes.\Damn it...\It's hard just to keep it going...\I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while. response:	This kid might become a monster.
context: Damn it...\It's hard just to keep it going...\I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while.\This kid might become a monster. response:	All right, now you've gotta get used to it!
context: It's hard just to keep it going...\I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while.\This kid might become a monster.\All right, now you've gotta get used to it! response:	Let's keep right on going!
context: I've still got a long way to go...\No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while.\This kid might become a monster.\All right, now you've gotta get used to it!\Let's keep right on going! response:	Yes, sir! Please!
context: No, you were able to attack me when I was unguarded through analysis and prediction.\You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while.\This kid might become a monster.\All right, now you've gotta get used to it!\Let's keep right on going!\Yes, sir! Please! response:	But before that,
context: You think about a lot of stuff normally, don't you, kid?\Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while.\This kid might become a monster.\All right, now you've gotta get used to it!\Let's keep right on going!\Yes, sir! Please!\But before that, response:	now that I think about it, we haven't had breakfast yet.
context: Just since yesterday you've already changed a lot with just one attempt...\You made me dodge seriously for the first time in a while.\This kid might become a monster.\All right, now you've gotta get used to it!\Let's keep right on going!\Yes, sir! Please!\But before that,\now that I think about it, we haven't had breakfast yet. response:	We... haven't!
context: You made me dodge seriously for the first time in a while.\This kid might become a monster.\All right, now you've gotta get used to it!\Let's keep right on going!\Yes, sir! Please!\But before that,\now that I think about it, we haven't had breakfast yet.\We... haven't! response:	So go heat up the taiyaki again...
context: This kid might become a monster.\All right, now you've gotta get used to it!\Let's keep right on going!\Yes, sir! Please!\But before that,\now that I think about it, we haven't had breakfast yet.\We... haven't!\So go heat up the taiyaki again... response:	They fell!
context: All right, now you've gotta get used to it!\Let's keep right on going!\Yes, sir! Please!\But before that,\now that I think about it, we haven't had breakfast yet.\We... haven't!\So go heat up the taiyaki again...\They fell! response:	I-I'll go buy more!
context: Let's keep right on going!\Yes, sir! Please!\But before that,\now that I think about it, we haven't had breakfast yet.\We... haven't!\So go heat up the taiyaki again...\They fell!\I-I'll go buy more! response:	I've still got a long way to go, but I could see the light.
context: Yes, sir! Please!\But before that,\now that I think about it, we haven't had breakfast yet.\We... haven't!\So go heat up the taiyaki again...\They fell!\I-I'll go buy more!\I've still got a long way to go, but I could see the light. response:	One For All: Full Cowling...
context: But before that,\now that I think about it, we haven't had breakfast yet.\We... haven't!\So go heat up the taiyaki again...\They fell!\I-I'll go buy more!\I've still got a long way to go, but I could see the light.\One For All: Full Cowling... response:	I'll definitely make it my own!
context: now that I think about it, we haven't had breakfast yet.\We... haven't!\So go heat up the taiyaki again...\They fell!\I-I'll go buy more!\I've still got a long way to go, but I could see the light.\One For All: Full Cowling...\I'll definitely make it my own! response:	Midoriya and Shigaraki
context: We... haven't!\So go heat up the taiyaki again...\They fell!\I-I'll go buy more!\I've still got a long way to go, but I could see the light.\One For All: Full Cowling...\I'll definitely make it my own!\Midoriya and Shigaraki response:	Mind, Skill, Body
context: So go heat up the taiyaki again...\They fell!\I-I'll go buy more!\I've still got a long way to go, but I could see the light.\One For All: Full Cowling...\I'll definitely make it my own!\Midoriya and Shigaraki\Mind, Skill, Body response:	Hi-yah! Hi-yah! Hi-yah! Hi-yah!
context: They fell!\I-I'll go buy more!\I've still got a long way to go, but I could see the light.\One For All: Full Cowling...\I'll definitely make it my own!\Midoriya and Shigaraki\Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah! response:	Don't do it aimlessly. Make sure you focus on each action, see?
context: I-I'll go buy more!\I've still got a long way to go, but I could see the light.\One For All: Full Cowling...\I'll definitely make it my own!\Midoriya and Shigaraki\Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see? response:	Pro Hero - Gunhead
context: I've still got a long way to go, but I could see the light.\One For All: Full Cowling...\I'll definitely make it my own!\Midoriya and Shigaraki\Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead response:	Because what counts the most in the end is your basic physical strength.
context: One For All: Full Cowling...\I'll definitely make it my own!\Midoriya and Shigaraki\Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength. response:	Ochaco Uraraka - Quirk: Zero Gravity
context: I'll definitely make it my own!\Midoriya and Shigaraki\Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity response:	Yes, sir!
context: Midoriya and Shigaraki\Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir! response:	He acts cute, too!
context: Mind, Skill, Body\Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir!\He acts cute, too! response:	Pro Hero - Fourth Kind
context: Hi-yah! Hi-yah! Hi-yah! Hi-yah!\Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir!\He acts cute, too!\Pro Hero - Fourth Kind response:	It's lukewarm!
context: Don't do it aimlessly. Make sure you focus on each action, see?\Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir!\He acts cute, too!\Pro Hero - Fourth Kind\It's lukewarm! response:	Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening
context: Pro Hero - Gunhead\Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir!\He acts cute, too!\Pro Hero - Fourth Kind\It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening response:	You two can't even make a decent cup of tea?!
context: Because what counts the most in the end is your basic physical strength.\Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir!\He acts cute, too!\Pro Hero - Fourth Kind\It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?! response:	Clients come to the office, you know!
context: Ochaco Uraraka - Quirk: Zero Gravity\Yes, sir!\He acts cute, too!\Pro Hero - Fourth Kind\It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?!\Clients come to the office, you know! response:	What're you gonna do if you can't even attend to them properly?
context: Yes, sir!\He acts cute, too!\Pro Hero - Fourth Kind\It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?!\Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly? response:	Sorry, Mr. Fourth Kind!
context: He acts cute, too!\Pro Hero - Fourth Kind\It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?!\Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind! response:	Jeez, it's really satisfying to hit your Quirks.
context: Pro Hero - Fourth Kind\It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?!\Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks. response:	Yes, sir!
context: It's lukewarm!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?!\Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks.\Yes, sir! response:	Thank you, sir!
context: Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\You two can't even make a decent cup of tea?!\Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks.\Yes, sir!\Thank you, sir! response:	A hero must give the people who need rescuing peace of mind.
context: You two can't even make a decent cup of tea?!\Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks.\Yes, sir!\Thank you, sir!\A hero must give the people who need rescuing peace of mind. response:	You must be capable, of course, but your physical appearance, speech, and actions
context: Clients come to the office, you know!\What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks.\Yes, sir!\Thank you, sir!\A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions response:	must be elegant if you're a hero.
context: What're you gonna do if you can't even attend to them properly?\Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks.\Yes, sir!\Thank you, sir!\A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero. response:	Pro Hero - Best Jeanist
context: Sorry, Mr. Fourth Kind!\Jeez, it's really satisfying to hit your Quirks.\Yes, sir!\Thank you, sir!\A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero.\Pro Hero - Best Jeanist response:	Do you understand?
context: Jeez, it's really satisfying to hit your Quirks.\Yes, sir!\Thank you, sir!\A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero.\Pro Hero - Best Jeanist\Do you understand? response:	In other words...
context: Yes, sir!\Thank you, sir!\A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero.\Pro Hero - Best Jeanist\Do you understand?\In other words... response:	Katsuki Bakugo - Quirk: Explosion
context: Thank you, sir!\A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero.\Pro Hero - Best Jeanist\Do you understand?\In other words...\Katsuki Bakugo - Quirk: Explosion response:	Like this.
context: A hero must give the people who need rescuing peace of mind.\You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero.\Pro Hero - Best Jeanist\Do you understand?\In other words...\Katsuki Bakugo - Quirk: Explosion\Like this. response:	Sure, Best Jeanist!
context: You must be capable, of course, but your physical appearance, speech, and actions\must be elegant if you're a hero.\Pro Hero - Best Jeanist\Do you understand?\In other words...\Katsuki Bakugo - Quirk: Explosion\Like this.\Sure, Best Jeanist! response:	I-I came to the wrong place...
context: must be elegant if you're a hero.\Pro Hero - Best Jeanist\Do you understand?\In other words...\Katsuki Bakugo - Quirk: Explosion\Like this.\Sure, Best Jeanist!\I-I came to the wrong place... response:	Pro Hero - Uwabami
context: Pro Hero - Best Jeanist\Do you understand?\In other words...\Katsuki Bakugo - Quirk: Explosion\Like this.\Sure, Best Jeanist!\I-I came to the wrong place...\Pro Hero - Uwabami response:	After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?
context: Do you understand?\In other words...\Katsuki Bakugo - Quirk: Explosion\Like this.\Sure, Best Jeanist!\I-I came to the wrong place...\Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right? response:	Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation
context: In other words...\Katsuki Bakugo - Quirk: Explosion\Like this.\Sure, Best Jeanist!\I-I came to the wrong place...\Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation response:	We're basically just her entourage...
context: Katsuki Bakugo - Quirk: Explosion\Like this.\Sure, Best Jeanist!\I-I came to the wrong place...\Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage... response:	I think this is a necessary part of being a hero, as well.
context: Like this.\Sure, Best Jeanist!\I-I came to the wrong place...\Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage...\I think this is a necessary part of being a hero, as well. response:	I'm sure there is something to learn here.
context: Sure, Best Jeanist!\I-I came to the wrong place...\Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage...\I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here. response:	I'm sure...
context: I-I came to the wrong place...\Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage...\I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here.\I'm sure... response:	Probably...
context: Pro Hero - Uwabami\After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage...\I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here.\I'm sure...\Probably... response:	She doesn't want to accept it...
context: After this photoshoot, she'll be a guest on a radio show and a magazine interview, right?\Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage...\I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here.\I'm sure...\Probably...\She doesn't want to accept it... response:	Lounge In use
context: Itsuka Kendo - Quirk: Big Fist Momo Yaoyorozu - Quirk: Creation\We're basically just her entourage...\I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here.\I'm sure...\Probably...\She doesn't want to accept it...\Lounge In use response:	Sorry to intrude so suddenly, All Might.
context: We're basically just her entourage...\I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here.\I'm sure...\Probably...\She doesn't want to accept it...\Lounge In use\Sorry to intrude so suddenly, All Might. response:	It's all right, Tsukauchi.
context: I think this is a necessary part of being a hero, as well.\I'm sure there is something to learn here.\I'm sure...\Probably...\She doesn't want to accept it...\Lounge In use\Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi. response:	Well, what did you find out?
context: I'm sure there is something to learn here.\I'm sure...\Probably...\She doesn't want to accept it...\Lounge In use\Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi.\Well, what did you find out? response:	Police Officer - Naomasa Tsukauchi
context: I'm sure...\Probably...\She doesn't want to accept it...\Lounge In use\Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi.\Well, what did you find out?\Police Officer - Naomasa Tsukauchi response:	Among those who attacked USJ, there was the villain Nomu that you drove back, right?
context: Probably...\She doesn't want to accept it...\Lounge In use\Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi.\Well, what did you find out?\Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right? response:	That strong guy, huh...?
context: She doesn't want to accept it...\Lounge In use\Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi.\Well, what did you find out?\Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...? response:	Pro Hero - All Might - Quirk: One For All
context: Lounge In use\Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi.\Well, what did you find out?\Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All response:	We did some tests on Nomu's DNA.
context: Sorry to intrude so suddenly, All Might.\It's all right, Tsukauchi.\Well, what did you find out?\Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA. response:	DNA tests?
context: It's all right, Tsukauchi.\Well, what did you find out?\Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA.\DNA tests? response:	Yeah.
context: Well, what did you find out?\Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA.\DNA tests?\Yeah. response:	We're not asking for your help in this investigation, so I'd be leaking information,
context: Police Officer - Naomasa Tsukauchi\Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA.\DNA tests?\Yeah.\We're not asking for your help in this investigation, so I'd be leaking information, response:	but I felt like I just had to tell you.
context: Among those who attacked USJ, there was the villain Nomu that you drove back, right?\That strong guy, huh...?\Pro Hero - All Might - Quirk: One For All\We did some tests on Nomu's DNA.\DNA tests?\Yeah.\We're not asking for your help in this investigation, so I'd be leaking information,\but I felt like I just had to tell you. response:	It's a clue to lead us to the mastermind.
