context: I can't afford to let it all end here. response:	What... am I even doing here?
context: How many was that, again?\Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five...\Kaneki...\Mr. Banjo? response:	I swear, I'll find an opening to get you out of here.
context: Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five...\Kaneki...\Mr. Banjo?\I swear, I'll find an opening to get you out of here. response:	Just hang in there for a while.
context: -I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five...\Kaneki...\Mr. Banjo?\I swear, I'll find an opening to get you out of here.\Just hang in there for a while. response:	Why... me...?
context: -Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five...\Kaneki...\Mr. Banjo?\I swear, I'll find an opening to get you out of here.\Just hang in there for a while.\Why... me...? response:	I heard that Miss Rize is dead.
context: -Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five...\Kaneki...\Mr. Banjo?\I swear, I'll find an opening to get you out of here.\Just hang in there for a while.\Why... me...?\I heard that Miss Rize is dead. response:	You didn't tell me in order to spare my feelings, right?
context: -Yes, sir. -Five hundred and fourty-five...\Kaneki...\Mr. Banjo?\I swear, I'll find an opening to get you out of here.\Just hang in there for a while.\Why... me...?\I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right? response:	You're a good guy.
context: Kaneki...\Mr. Banjo?\I swear, I'll find an opening to get you out of here.\Just hang in there for a while.\Why... me...?\I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right?\You're a good guy. response:	Shu and Haru, who will be taking over for me, are my friends.
context: Mr. Banjo?\I swear, I'll find an opening to get you out of here.\Just hang in there for a while.\Why... me...?\I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right?\You're a good guy.\Shu and Haru, who will be taking over for me, are my friends. response:	If anything comes up, you tell them.
context: I swear, I'll find an opening to get you out of here.\Just hang in there for a while.\Why... me...?\I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right?\You're a good guy.\Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them. response:	Kaneki, hang in there.
context: Just hang in there for a while.\Why... me...?\I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right?\You're a good guy.\Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them.\Kaneki, hang in there. response:	Is everything ready?
context: Why... me...?\I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right?\You're a good guy.\Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them.\Kaneki, hang in there.\Is everything ready? response:	Mr. Uta! You're coming with us?
context: I heard that Miss Rize is dead.\You didn't tell me in order to spare my feelings, right?\You're a good guy.\Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them.\Kaneki, hang in there.\Is everything ready?\Mr. Uta! You're coming with us? response:	Yes, I am. Kaneki is one of my valued customers, after all.
context: You didn't tell me in order to spare my feelings, right?\You're a good guy.\Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them.\Kaneki, hang in there.\Is everything ready?\Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all. response:	That's everyone, right?
context: You're a good guy.\Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them.\Kaneki, hang in there.\Is everything ready?\Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right? response:	Let's go.
context: Shu and Haru, who will be taking over for me, are my friends.\If anything comes up, you tell them.\Kaneki, hang in there.\Is everything ready?\Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right?\Let's go. response:	Is something the matter?
context: If anything comes up, you tell them.\Kaneki, hang in there.\Is everything ready?\Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right?\Let's go.\Is something the matter? response:	Hmm? Oh...
context: Kaneki, hang in there.\Is everything ready?\Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right?\Let's go.\Is something the matter?\Hmm? Oh... response:	Amon, what did you think after fighting this guy?
context: Is everything ready?\Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right?\Let's go.\Is something the matter?\Hmm? Oh...\Amon, what did you think after fighting this guy? response:	He's not like any other ghoul before him.
context: Mr. Uta! You're coming with us?\Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right?\Let's go.\Is something the matter?\Hmm? Oh...\Amon, what did you think after fighting this guy?\He's not like any other ghoul before him. response:	I got a peculiar vibe from him.
context: Yes, I am. Kaneki is one of my valued customers, after all.\That's everyone, right?\Let's go.\Is something the matter?\Hmm? Oh...\Amon, what did you think after fighting this guy?\He's not like any other ghoul before him.\I got a peculiar vibe from him. response:	Hmm. This was before they started calling him Jason.
context: That's everyone, right?\Let's go.\Is something the matter?\Hmm? Oh...\Amon, what did you think after fighting this guy?\He's not like any other ghoul before him.\I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason. response:	He was arrested by CCG and sent to Cochlea Ghoul Internment Center.
context: Let's go.\Is something the matter?\Hmm? Oh...\Amon, what did you think after fighting this guy?\He's not like any other ghoul before him.\I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center. response:	While there, there was a-how shall I say?
context: Is something the matter?\Hmm? Oh...\Amon, what did you think after fighting this guy?\He's not like any other ghoul before him.\I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say? response:	A problem investigator posted there, you see.
context: Hmm? Oh...\Amon, what did you think after fighting this guy?\He's not like any other ghoul before him.\I got a peculiar vibe from him.\Hmm. This was before they started calling him Jason.\He was arrested by CCG and sent to Cochlea Ghoul Internment Center.\While there, there was a-how shall I say?\A problem investigator posted there, you see. response:	Five hundred and fifty-nine...
