context: Kyouma, response:	I want...
context: Yes.\The experiment took place.\The D-mail has already changed the past.\Seriously?\The world line changed?\Yes, I think so.\Thus, you've lost some\of your memories from before the change. response:	Is this about that Lotto-6 thing?
context: The experiment took place.\The D-mail has already changed the past.\Seriously?\The world line changed?\Yes, I think so.\Thus, you've lost some\of your memories from before the change.\Is this about that Lotto-6 thing? response:	That's right.
context: The D-mail has already changed the past.\Seriously?\The world line changed?\Yes, I think so.\Thus, you've lost some\of your memories from before the change.\Is this about that Lotto-6 thing?\That's right. response:	So why are you the only one who remembers?
context: Seriously?\The world line changed?\Yes, I think so.\Thus, you've lost some\of your memories from before the change.\Is this about that Lotto-6 thing?\That's right.\So why are you the only one who remembers? response:	Titor told me that I have a power.
context: The world line changed?\Yes, I think so.\Thus, you've lost some\of your memories from before the change.\Is this about that Lotto-6 thing?\That's right.\So why are you the only one who remembers?\Titor told me that I have a power. response:	To prove it, we need to move world lines again.
context: Yes, I think so.\Thus, you've lost some\of your memories from before the change.\Is this about that Lotto-6 thing?\That's right.\So why are you the only one who remembers?\Titor told me that I have a power.\To prove it, we need to move world lines again. response:	A power?
context: Thus, you've lost some\of your memories from before the change.\Is this about that Lotto-6 thing?\That's right.\So why are you the only one who remembers?\Titor told me that I have a power.\To prove it, we need to move world lines again.\A power? response:	The power to retain memories, even across world line changes...
context: of your memories from before the change.\Is this about that Lotto-6 thing?\That's right.\So why are you the only one who remembers?\Titor told me that I have a power.\To prove it, we need to move world lines again.\A power?\The power to retain memories, even across world line changes... response:	The magic eye: Reading Steiner.
context: Is this about that Lotto-6 thing?\That's right.\So why are you the only one who remembers?\Titor told me that I have a power.\To prove it, we need to move world lines again.\A power?\The power to retain memories, even across world line changes...\The magic eye: Reading Steiner. response:	OP
context: That's right.\So why are you the only one who remembers?\Titor told me that I have a power.\To prove it, we need to move world lines again.\A power?\The power to retain memories, even across world line changes...\The magic eye: Reading Steiner.\OP response:	suujuuoku mono kodou no kazu sae
context: So why are you the only one who remembers?\Titor told me that I have a power.\To prove it, we need to move world lines again.\A power?\The power to retain memories, even across world line changes...\The magic eye: Reading Steiner.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Titor told me that I have a power.\To prove it, we need to move world lines again.\A power?\The power to retain memories, even across world line changes...\The magic eye: Reading Steiner.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: To prove it, we need to move world lines again.\A power?\The power to retain memories, even across world line changes...\The magic eye: Reading Steiner.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: A power?\The power to retain memories, even across world line changes...\The magic eye: Reading Steiner.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: The power to retain memories, even across world line changes...\The magic eye: Reading Steiner.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: The magic eye: Reading Steiner.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Chaos Theo
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theo response:	Homeostasis
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theo\Homeostasis response:	Chaos Theo
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theo\Homeostasis\Chaos Theo response:	Chaos Theo
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theo\Homeostasis\Chaos Theo\Chaos Theo response:	Chaos Theo
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theo\Homeostasis\Chaos Theo\Chaos Theo\Chaos Theo response:	Chaos Theo
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Chaos Theo\Homeostasis\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo response:	Chaos Theo
context: Engulf me, a lonely observer\Chaos Theo\Homeostasis\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo response:	Chaos Theo
context: Chaos Theo\Homeostasis\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo response:	Chaos Theo
context: Homeostasis\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo response:	Chaos Theo
context: Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo response:	Chaos Theo
context: Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo response:	Homeostasis
context: Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Homeostasis response:	Homeostasis
context: Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theo\Chaos Theo\Chaos Theo\Chaos Theo\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theo\Chaos Theo\Chaos Theo\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theo\Chaos Theo\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Chaos Theo\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Homeostasis
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis response:	Daru?
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Daru? response:	No record in the outbox...
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Daru?\No record in the outbox... response:	But as for the inbox, the D-mail arrived five days ago.
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Homeostasis\Daru?\No record in the outbox...\But as for the inbox, the D-mail arrived five days ago. response:	It succeeded.
context: Homeostasis\Homeostasis\Homeostasis\Homeostasis\Daru?\No record in the outbox...\But as for the inbox, the D-mail arrived five days ago.\It succeeded. response:	Did the past change?
context: Homeostasis\Homeostasis\Homeostasis\Daru?\No record in the outbox...\But as for the inbox, the D-mail arrived five days ago.\It succeeded.\Did the past change? response:	Why do you remember that?
context: Homeostasis\Homeostasis\Daru?\No record in the outbox...\But as for the inbox, the D-mail arrived five days ago.\It succeeded.\Did the past change?\Why do you remember that? response:	We sent a D-mail to Daru five days in the past,
context: Homeostasis\Daru?\No record in the outbox...\But as for the inbox, the D-mail arrived five days ago.\It succeeded.\Did the past change?\Why do you remember that?\We sent a D-mail to Daru five days in the past, response:	telling him the position of the cards,
context: Daru?\No record in the outbox...\But as for the inbox, the D-mail arrived five days ago.\It succeeded.\Did the past change?\Why do you remember that?\We sent a D-mail to Daru five days in the past,\telling him the position of the cards, response:	so he could win the Feyris Cup.
context: No record in the outbox...\But as for the inbox, the D-mail arrived five days ago.\It succeeded.\Did the past change?\Why do you remember that?\We sent a D-mail to Daru five days in the past,\telling him the position of the cards,\so he could win the Feyris Cup. response:	Mayushii?
context: But as for the inbox, the D-mail arrived five days ago.\It succeeded.\Did the past change?\Why do you remember that?\We sent a D-mail to Daru five days in the past,\telling him the position of the cards,\so he could win the Feyris Cup.\Mayushii? response:	Question for you... In the Feyris Cup last week...
context: It succeeded.\Did the past change?\Why do you remember that?\We sent a D-mail to Daru five days in the past,\telling him the position of the cards,\so he could win the Feyris Cup.\Mayushii?\Question for you... In the Feyris Cup last week... response:	What? I lost? Immediately?
context: Did the past change?\Why do you remember that?\We sent a D-mail to Daru five days in the past,\telling him the position of the cards,\so he could win the Feyris Cup.\Mayushii?\Question for you... In the Feyris Cup last week...\What? I lost? Immediately? response:	I see... Thanks. Bye.
context: Why do you remember that?\We sent a D-mail to Daru five days in the past,\telling him the position of the cards,\so he could win the Feyris Cup.\Mayushii?\Question for you... In the Feyris Cup last week...\What? I lost? Immediately?\I see... Thanks. Bye. response:	Daru's message didn't alter the past.
context: We sent a D-mail to Daru five days in the past,\telling him the position of the cards,\so he could win the Feyris Cup.\Mayushii?\Question for you... In the Feyris Cup last week...\What? I lost? Immediately?\I see... Thanks. Bye.\Daru's message didn't alter the past. response:	With the way the game went, it should have changed.
context: telling him the position of the cards,\so he could win the Feyris Cup.\Mayushii?\Question for you... In the Feyris Cup last week...\What? I lost? Immediately?\I see... Thanks. Bye.\Daru's message didn't alter the past.\With the way the game went, it should have changed. response:	It wasn't enough to change world lines.
context: so he could win the Feyris Cup.\Mayushii?\Question for you... In the Feyris Cup last week...\What? I lost? Immediately?\I see... Thanks. Bye.\Daru's message didn't alter the past.\With the way the game went, it should have changed.\It wasn't enough to change world lines. response:	Then we need an easier way to tell
context: Mayushii?\Question for you... In the Feyris Cup last week...\What? I lost? Immediately?\I see... Thanks. Bye.\Daru's message didn't alter the past.\With the way the game went, it should have changed.\It wasn't enough to change world lines.\Then we need an easier way to tell response:	if the past has changed.
context: Question for you... In the Feyris Cup last week...\What? I lost? Immediately?\I see... Thanks. Bye.\Daru's message didn't alter the past.\With the way the game went, it should have changed.\It wasn't enough to change world lines.\Then we need an easier way to tell\if the past has changed. response:	I-It still isn't like I agree with these experiments, okay?
context: What? I lost? Immediately?\I see... Thanks. Bye.\Daru's message didn't alter the past.\With the way the game went, it should have changed.\It wasn't enough to change world lines.\Then we need an easier way to tell\if the past has changed.\I-It still isn't like I agree with these experiments, okay? response:	So... What do you think?
context: I see... Thanks. Bye.\Daru's message didn't alter the past.\With the way the game went, it should have changed.\It wasn't enough to change world lines.\Then we need an easier way to tell\if the past has changed.\I-It still isn't like I agree with these experiments, okay?\So... What do you think? response:	About you being the only one to remember?
context: Daru's message didn't alter the past.\With the way the game went, it should have changed.\It wasn't enough to change world lines.\Then we need an easier way to tell\if the past has changed.\I-It still isn't like I agree with these experiments, okay?\So... What do you think?\About you being the only one to remember? response:	I told you.
context: With the way the game went, it should have changed.\It wasn't enough to change world lines.\Then we need an easier way to tell\if the past has changed.\I-It still isn't like I agree with these experiments, okay?\So... What do you think?\About you being the only one to remember?\I told you. response:	It's the power of the magic eye, Reading Steiner!
context: It wasn't enough to change world lines.\Then we need an easier way to tell\if the past has changed.\I-It still isn't like I agree with these experiments, okay?\So... What do you think?\About you being the only one to remember?\I told you.\It's the power of the magic eye, Reading Steiner! response:	In order to see if that's true,
context: Then we need an easier way to tell\if the past has changed.\I-It still isn't like I agree with these experiments, okay?\So... What do you think?\About you being the only one to remember?\I told you.\It's the power of the magic eye, Reading Steiner!\In order to see if that's true, response:	I'll have you send the next D-mail.
context: if the past has changed.\I-It still isn't like I agree with these experiments, okay?\So... What do you think?\About you being the only one to remember?\I told you.\It's the power of the magic eye, Reading Steiner!\In order to see if that's true,\I'll have you send the next D-mail. response:	I don't want to.
context: I-It still isn't like I agree with these experiments, okay?\So... What do you think?\About you being the only one to remember?\I told you.\It's the power of the magic eye, Reading Steiner!\In order to see if that's true,\I'll have you send the next D-mail.\I don't want to. response:	Worried about a time paradox?
context: So... What do you think?\About you being the only one to remember?\I told you.\It's the power of the magic eye, Reading Steiner!\In order to see if that's true,\I'll have you send the next D-mail.\I don't want to.\Worried about a time paradox? response:	It feels unfair to change the past.
context: About you being the only one to remember?\I told you.\It's the power of the magic eye, Reading Steiner!\In order to see if that's true,\I'll have you send the next D-mail.\I don't want to.\Worried about a time paradox?\It feels unfair to change the past. response:	I've only lived eighteen years, but I don't want to change any of them.
context: I told you.\It's the power of the magic eye, Reading Steiner!\In order to see if that's true,\I'll have you send the next D-mail.\I don't want to.\Worried about a time paradox?\It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them. response:	They're all part of my life, even the failures.
context: It's the power of the magic eye, Reading Steiner!\In order to see if that's true,\I'll have you send the next D-mail.\I don't want to.\Worried about a time paradox?\It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures. response:	But you love experiments, right?
context: In order to see if that's true,\I'll have you send the next D-mail.\I don't want to.\Worried about a time paradox?\It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures.\But you love experiments, right? response:	I-Is that wrong?
context: I'll have you send the next D-mail.\I don't want to.\Worried about a time paradox?\It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures.\But you love experiments, right?\I-Is that wrong? response:	In other words, you'll just sit back and watch,
context: I don't want to.\Worried about a time paradox?\It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures.\But you love experiments, right?\I-Is that wrong?\In other words, you'll just sit back and watch, response:	as others sacrifice themselves.
context: Worried about a time paradox?\It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures.\But you love experiments, right?\I-Is that wrong?\In other words, you'll just sit back and watch,\as others sacrifice themselves. response:	A true mad scientist.
context: It feels unfair to change the past.\I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures.\But you love experiments, right?\I-Is that wrong?\In other words, you'll just sit back and watch,\as others sacrifice themselves.\A true mad scientist. response:	Enough!
context: I've only lived eighteen years, but I don't want to change any of them.\They're all part of my life, even the failures.\But you love experiments, right?\I-Is that wrong?\In other words, you'll just sit back and watch,\as others sacrifice themselves.\A true mad scientist.\Enough! response:	But seriously...
context: They're all part of my life, even the failures.\But you love experiments, right?\I-Is that wrong?\In other words, you'll just sit back and watch,\as others sacrifice themselves.\A true mad scientist.\Enough!\But seriously... response:	Please
context: But you love experiments, right?\I-Is that wrong?\In other words, you'll just sit back and watch,\as others sacrifice themselves.\A true mad scientist.\Enough!\But seriously...\Please response:	I want to send a D-mail too! Moeka
context: I-Is that wrong?\In other words, you'll just sit back and watch,\as others sacrifice themselves.\A true mad scientist.\Enough!\But seriously...\Please\I want to send a D-mail too! Moeka response:	But seriously... If we're going to perfect the D-mail...
context: In other words, you'll just sit back and watch,\as others sacrifice themselves.\A true mad scientist.\Enough!\But seriously...\Please\I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail... response:	Please?
context: as others sacrifice themselves.\A true mad scientist.\Enough!\But seriously...\Please\I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail...\Please? response:	It's okay, right? Please! Moeka
context: A true mad scientist.\Enough!\But seriously...\Please\I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail...\Please?\It's okay, right? Please! Moeka response:	I'm...
context: Enough!\But seriously...\Please\I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail...\Please?\It's okay, right? Please! Moeka\I'm... response:	A lab member, too, right? Moeka
context: But seriously...\Please\I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail...\Please?\It's okay, right? Please! Moeka\I'm...\A lab member, too, right? Moeka response:	Kiryuu-san?
context: Please\I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail...\Please?\It's okay, right? Please! Moeka\I'm...\A lab member, too, right? Moeka\Kiryuu-san? response:	Enough!
context: I want to send a D-mail too! Moeka\But seriously... If we're going to perfect the D-mail...\Please?\It's okay, right? Please! Moeka\I'm...\A lab member, too, right? Moeka\Kiryuu-san?\Enough! response:	I can't?
context: But seriously... If we're going to perfect the D-mail...\Please?\It's okay, right? Please! Moeka\I'm...\A lab member, too, right? Moeka\Kiryuu-san?\Enough!\I can't? response:	She overwhelmed us...
context: Please?\It's okay, right? Please! Moeka\I'm...\A lab member, too, right? Moeka\Kiryuu-san?\Enough!\I can't?\She overwhelmed us... response:	Okay, we're here!
context: It's okay, right? Please! Moeka\I'm...\A lab member, too, right? Moeka\Kiryuu-san?\Enough!\I can't?\She overwhelmed us...\Okay, we're here! response:	Those crepes were good...
context: I'm...\A lab member, too, right? Moeka\Kiryuu-san?\Enough!\I can't?\She overwhelmed us...\Okay, we're here!\Those crepes were good... response:	Yeah.
context: A lab member, too, right? Moeka\Kiryuu-san?\Enough!\I can't?\She overwhelmed us...\Okay, we're here!\Those crepes were good...\Yeah. response:	Hey! You look bored.
context: Kiryuu-san?\Enough!\I can't?\She overwhelmed us...\Okay, we're here!\Those crepes were good...\Yeah.\Hey! You look bored. response:	I'm waiting for someone.
context: Enough!\I can't?\She overwhelmed us...\Okay, we're here!\Those crepes were good...\Yeah.\Hey! You look bored.\I'm waiting for someone. response:	Hey, don't scare Nae!
context: I can't?\She overwhelmed us...\Okay, we're here!\Those crepes were good...\Yeah.\Hey! You look bored.\I'm waiting for someone.\Hey, don't scare Nae! response:	I didn't do anything!
context: She overwhelmed us...\Okay, we're here!\Those crepes were good...\Yeah.\Hey! You look bored.\I'm waiting for someone.\Hey, don't scare Nae!\I didn't do anything! response:	Come on, Nae.
context: Okay, we're here!\Those crepes were good...\Yeah.\Hey! You look bored.\I'm waiting for someone.\Hey, don't scare Nae!\I didn't do anything!\Come on, Nae. response:	Let's leave this loser alone and go inside.
