context: Legend of the Big Fish response:	This is my fault. This is my fault.
context: Captain?\Ayumi-chan, you're all right.\Huh? Misaki-san?\I'm so relieved.\All right!\Captain!\Oh, Yuki. You came back.\You protected this. response:	Yeah, but everything else burned.
context: Ayumi-chan, you're all right.\Huh? Misaki-san?\I'm so relieved.\All right!\Captain!\Oh, Yuki. You came back.\You protected this.\Yeah, but everything else burned. response:	Misaki-san, I'm sorry.
context: Huh? Misaki-san?\I'm so relieved.\All right!\Captain!\Oh, Yuki. You came back.\You protected this.\Yeah, but everything else burned.\Misaki-san, I'm sorry. response:	What are you talking about?
context: I'm so relieved.\All right!\Captain!\Oh, Yuki. You came back.\You protected this.\Yeah, but everything else burned.\Misaki-san, I'm sorry.\What are you talking about? response:	I'm sorry we made you go alone.
context: All right!\Captain!\Oh, Yuki. You came back.\You protected this.\Yeah, but everything else burned.\Misaki-san, I'm sorry.\What are you talking about?\I'm sorry we made you go alone. response:	It's okay.
context: Captain!\Oh, Yuki. You came back.\You protected this.\Yeah, but everything else burned.\Misaki-san, I'm sorry.\What are you talking about?\I'm sorry we made you go alone.\It's okay. response:	As long as I'm alive, everything's okay!
context: Oh, Yuki. You came back.\You protected this.\Yeah, but everything else burned.\Misaki-san, I'm sorry.\What are you talking about?\I'm sorry we made you go alone.\It's okay.\As long as I'm alive, everything's okay! response:	Let's go!
context: You protected this.\Yeah, but everything else burned.\Misaki-san, I'm sorry.\What are you talking about?\I'm sorry we made you go alone.\It's okay.\As long as I'm alive, everything's okay!\Let's go! response:	You're not all right at all!
context: Yeah, but everything else burned.\Misaki-san, I'm sorry.\What are you talking about?\I'm sorry we made you go alone.\It's okay.\As long as I'm alive, everything's okay!\Let's go!\You're not all right at all! response:	It may be broken.
context: Misaki-san, I'm sorry.\What are you talking about?\I'm sorry we made you go alone.\It's okay.\As long as I'm alive, everything's okay!\Let's go!\You're not all right at all!\It may be broken. response:	What?
context: What are you talking about?\I'm sorry we made you go alone.\It's okay.\As long as I'm alive, everything's okay!\Let's go!\You're not all right at all!\It may be broken.\What? response:	I tripped protecting the tackle.
context: I'm sorry we made you go alone.\It's okay.\As long as I'm alive, everything's okay!\Let's go!\You're not all right at all!\It may be broken.\What?\I tripped protecting the tackle. response:	But this is nothing.
context: It's okay.\As long as I'm alive, everything's okay!\Let's go!\You're not all right at all!\It may be broken.\What?\I tripped protecting the tackle.\But this is nothing. response:	The boat can't go anywhere without me.
context: As long as I'm alive, everything's okay!\Let's go!\You're not all right at all!\It may be broken.\What?\I tripped protecting the tackle.\But this is nothing.\The boat can't go anywhere without me. response:	I will drive the boat.
context: Let's go!\You're not all right at all!\It may be broken.\What?\I tripped protecting the tackle.\But this is nothing.\The boat can't go anywhere without me.\I will drive the boat. response:	Captain, leave the rest to us.
context: You're not all right at all!\It may be broken.\What?\I tripped protecting the tackle.\But this is nothing.\The boat can't go anywhere without me.\I will drive the boat.\Captain, leave the rest to us. response:	Are you sure, Natsuki?
context: It may be broken.\What?\I tripped protecting the tackle.\But this is nothing.\The boat can't go anywhere without me.\I will drive the boat.\Captain, leave the rest to us.\Are you sure, Natsuki? response:	Even Yuki's fished for tuna before.
context: What?\I tripped protecting the tackle.\But this is nothing.\The boat can't go anywhere without me.\I will drive the boat.\Captain, leave the rest to us.\Are you sure, Natsuki?\Even Yuki's fished for tuna before. response:	Yuki's not the same guy who couldn't walk on deck.
context: I tripped protecting the tackle.\But this is nothing.\The boat can't go anywhere without me.\I will drive the boat.\Captain, leave the rest to us.\Are you sure, Natsuki?\Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck. response:	Guys...
context: But this is nothing.\The boat can't go anywhere without me.\I will drive the boat.\Captain, leave the rest to us.\Are you sure, Natsuki?\Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck.\Guys... response:	Don't worry. You saw the scroll.
context: The boat can't go anywhere without me.\I will drive the boat.\Captain, leave the rest to us.\Are you sure, Natsuki?\Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck.\Guys...\Don't worry. You saw the scroll. response:	The goddess fished the dragon out of the water,
context: I will drive the boat.\Captain, leave the rest to us.\Are you sure, Natsuki?\Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck.\Guys...\Don't worry. You saw the scroll.\The goddess fished the dragon out of the water, response:	working together with her companions.
context: Captain, leave the rest to us.\Are you sure, Natsuki?\Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck.\Guys...\Don't worry. You saw the scroll.\The goddess fished the dragon out of the water,\working together with her companions. response:	You are the heroes who will create a new legend.
context: Are you sure, Natsuki?\Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck.\Guys...\Don't worry. You saw the scroll.\The goddess fished the dragon out of the water,\working together with her companions.\You are the heroes who will create a new legend. response:	Seishunmaru is yours to use.
context: Even Yuki's fished for tuna before.\Yuki's not the same guy who couldn't walk on deck.\Guys...\Don't worry. You saw the scroll.\The goddess fished the dragon out of the water,\working together with her companions.\You are the heroes who will create a new legend.\Seishunmaru is yours to use. response:	But Natsuki, you're the leader.
context: Yuki's not the same guy who couldn't walk on deck.\Guys...\Don't worry. You saw the scroll.\The goddess fished the dragon out of the water,\working together with her companions.\You are the heroes who will create a new legend.\Seishunmaru is yours to use.\But Natsuki, you're the leader. response:	You know that sea better than anyone.
context: Guys...\Don't worry. You saw the scroll.\The goddess fished the dragon out of the water,\working together with her companions.\You are the heroes who will create a new legend.\Seishunmaru is yours to use.\But Natsuki, you're the leader.\You know that sea better than anyone. response:	Lead everyone and fish up that alien or whatever it is!
context: Don't worry. You saw the scroll.\The goddess fished the dragon out of the water,\working together with her companions.\You are the heroes who will create a new legend.\Seishunmaru is yours to use.\But Natsuki, you're the leader.\You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is! response:	Yes.
context: The goddess fished the dragon out of the water,\working together with her companions.\You are the heroes who will create a new legend.\Seishunmaru is yours to use.\But Natsuki, you're the leader.\You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is!\Yes. response:	Tamotsu-san, drive the captain to a hospital.
context: working together with her companions.\You are the heroes who will create a new legend.\Seishunmaru is yours to use.\But Natsuki, you're the leader.\You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is!\Yes.\Tamotsu-san, drive the captain to a hospital. response:	Yeah.
context: You are the heroes who will create a new legend.\Seishunmaru is yours to use.\But Natsuki, you're the leader.\You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is!\Yes.\Tamotsu-san, drive the captain to a hospital.\Yeah. response:	Natsuki, this is a whitebait bowl.
context: Seishunmaru is yours to use.\But Natsuki, you're the leader.\You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is!\Yes.\Tamotsu-san, drive the captain to a hospital.\Yeah.\Natsuki, this is a whitebait bowl. response:	Don't leave any whitebait.
context: But Natsuki, you're the leader.\You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is!\Yes.\Tamotsu-san, drive the captain to a hospital.\Yeah.\Natsuki, this is a whitebait bowl.\Don't leave any whitebait. response:	Thanks.
context: You know that sea better than anyone.\Lead everyone and fish up that alien or whatever it is!\Yes.\Tamotsu-san, drive the captain to a hospital.\Yeah.\Natsuki, this is a whitebait bowl.\Don't leave any whitebait.\Thanks. response:	Come back alive.
context: Lead everyone and fish up that alien or whatever it is!\Yes.\Tamotsu-san, drive the captain to a hospital.\Yeah.\Natsuki, this is a whitebait bowl.\Don't leave any whitebait.\Thanks.\Come back alive. response:	Of course I will.
context: Yes.\Tamotsu-san, drive the captain to a hospital.\Yeah.\Natsuki, this is a whitebait bowl.\Don't leave any whitebait.\Thanks.\Come back alive.\Of course I will. response:	I couldn't die without seeing your whitebait shop.
context: Tamotsu-san, drive the captain to a hospital.\Yeah.\Natsuki, this is a whitebait bowl.\Don't leave any whitebait.\Thanks.\Come back alive.\Of course I will.\I couldn't die without seeing your whitebait shop. response:	Take care of Sakura...
context: Yeah.\Natsuki, this is a whitebait bowl.\Don't leave any whitebait.\Thanks.\Come back alive.\Of course I will.\I couldn't die without seeing your whitebait shop.\Take care of Sakura... response:	and Mariko-san.
context: Natsuki, this is a whitebait bowl.\Don't leave any whitebait.\Thanks.\Come back alive.\Of course I will.\I couldn't die without seeing your whitebait shop.\Take care of Sakura...\and Mariko-san. response:	Natsuki...
context: Don't leave any whitebait.\Thanks.\Come back alive.\Of course I will.\I couldn't die without seeing your whitebait shop.\Take care of Sakura...\and Mariko-san.\Natsuki... response:	Once you make it back safely,
context: Thanks.\Come back alive.\Of course I will.\I couldn't die without seeing your whitebait shop.\Take care of Sakura...\and Mariko-san.\Natsuki...\Once you make it back safely, response:	let's all go fishing together again.
context: Come back alive.\Of course I will.\I couldn't die without seeing your whitebait shop.\Take care of Sakura...\and Mariko-san.\Natsuki...\Once you make it back safely,\let's all go fishing together again. response:	Yeah.
context: Of course I will.\I couldn't die without seeing your whitebait shop.\Take care of Sakura...\and Mariko-san.\Natsuki...\Once you make it back safely,\let's all go fishing together again.\Yeah. response:	I can't go.
context: I couldn't die without seeing your whitebait shop.\Take care of Sakura...\and Mariko-san.\Natsuki...\Once you make it back safely,\let's all go fishing together again.\Yeah.\I can't go. response:	I came to fish him up.
context: Take care of Sakura...\and Mariko-san.\Natsuki...\Once you make it back safely,\let's all go fishing together again.\Yeah.\I can't go.\I came to fish him up. response:	Once we catch him, I have to go home.
context: and Mariko-san.\Natsuki...\Once you make it back safely,\let's all go fishing together again.\Yeah.\I can't go.\I came to fish him up.\Once we catch him, I have to go home. response:	Really?
context: Natsuki...\Once you make it back safely,\let's all go fishing together again.\Yeah.\I can't go.\I came to fish him up.\Once we catch him, I have to go home.\Really? response:	Yeah. I won't come back to Earth.
context: Once you make it back safely,\let's all go fishing together again.\Yeah.\I can't go.\I came to fish him up.\Once we catch him, I have to go home.\Really?\Yeah. I won't come back to Earth. response:	This is my last fishing trip.
context: let's all go fishing together again.\Yeah.\I can't go.\I came to fish him up.\Once we catch him, I have to go home.\Really?\Yeah. I won't come back to Earth.\This is my last fishing trip. response:	My good bye fishing trip.
context: Yeah.\I can't go.\I came to fish him up.\Once we catch him, I have to go home.\Really?\Yeah. I won't come back to Earth.\This is my last fishing trip.\My good bye fishing trip. response:	I might not get to see any of you again.
context: I can't go.\I came to fish him up.\Once we catch him, I have to go home.\Really?\Yeah. I won't come back to Earth.\This is my last fishing trip.\My good bye fishing trip.\I might not get to see any of you again. response:	Don't say that.
context: I came to fish him up.\Once we catch him, I have to go home.\Really?\Yeah. I won't come back to Earth.\This is my last fishing trip.\My good bye fishing trip.\I might not get to see any of you again.\Don't say that. response:	It's too sad.
context: Once we catch him, I have to go home.\Really?\Yeah. I won't come back to Earth.\This is my last fishing trip.\My good bye fishing trip.\I might not get to see any of you again.\Don't say that.\It's too sad. response:	But...
context: Really?\Yeah. I won't come back to Earth.\This is my last fishing trip.\My good bye fishing trip.\I might not get to see any of you again.\Don't say that.\It's too sad.\But... response:	You can say good bye after your last fishing trip.
context: Yeah. I won't come back to Earth.\This is my last fishing trip.\My good bye fishing trip.\I might not get to see any of you again.\Don't say that.\It's too sad.\But...\You can say good bye after your last fishing trip. response:	Captain...
context: This is my last fishing trip.\My good bye fishing trip.\I might not get to see any of you again.\Don't say that.\It's too sad.\But...\You can say good bye after your last fishing trip.\Captain... response:	That's right. You're everyone's friend.
context: My good bye fishing trip.\I might not get to see any of you again.\Don't say that.\It's too sad.\But...\You can say good bye after your last fishing trip.\Captain...\That's right. You're everyone's friend. response:	At least let us throw you a good bye party.
context: I might not get to see any of you again.\Don't say that.\It's too sad.\But...\You can say good bye after your last fishing trip.\Captain...\That's right. You're everyone's friend.\At least let us throw you a good bye party. response:	Misaki.
context: Don't say that.\It's too sad.\But...\You can say good bye after your last fishing trip.\Captain...\That's right. You're everyone's friend.\At least let us throw you a good bye party.\Misaki. response:	It's up to you guys.
context: It's too sad.\But...\You can say good bye after your last fishing trip.\Captain...\That's right. You're everyone's friend.\At least let us throw you a good bye party.\Misaki.\It's up to you guys. response:	Yes.
context: But...\You can say good bye after your last fishing trip.\Captain...\That's right. You're everyone's friend.\At least let us throw you a good bye party.\Misaki.\It's up to you guys.\Yes. response:	Leave it to us.
context: You can say good bye after your last fishing trip.\Captain...\That's right. You're everyone's friend.\At least let us throw you a good bye party.\Misaki.\It's up to you guys.\Yes.\Leave it to us. response:	If this is his last trip, we'd better catch him.
context: Captain...\That's right. You're everyone's friend.\At least let us throw you a good bye party.\Misaki.\It's up to you guys.\Yes.\Leave it to us.\If this is his last trip, we'd better catch him. response:	Thanks, everyone.
context: That's right. You're everyone's friend.\At least let us throw you a good bye party.\Misaki.\It's up to you guys.\Yes.\Leave it to us.\If this is his last trip, we'd better catch him.\Thanks, everyone. response:	Haru, it's okay.
context: At least let us throw you a good bye party.\Misaki.\It's up to you guys.\Yes.\Leave it to us.\If this is his last trip, we'd better catch him.\Thanks, everyone.\Haru, it's okay. response:	We can do it.
context: Misaki.\It's up to you guys.\Yes.\Leave it to us.\If this is his last trip, we'd better catch him.\Thanks, everyone.\Haru, it's okay.\We can do it. response:	Have faith in us.
context: It's up to you guys.\Yes.\Leave it to us.\If this is his last trip, we'd better catch him.\Thanks, everyone.\Haru, it's okay.\We can do it.\Have faith in us. response:	Okay.
context: Yes.\Leave it to us.\If this is his last trip, we'd better catch him.\Thanks, everyone.\Haru, it's okay.\We can do it.\Have faith in us.\Okay. response:	Stop them!
context: Leave it to us.\If this is his last trip, we'd better catch him.\Thanks, everyone.\Haru, it's okay.\We can do it.\Have faith in us.\Okay.\Stop them! response:	Yes, sir!
context: If this is his last trip, we'd better catch him.\Thanks, everyone.\Haru, it's okay.\We can do it.\Have faith in us.\Okay.\Stop them!\Yes, sir! response:	Stop!
context: Thanks, everyone.\Haru, it's okay.\We can do it.\Have faith in us.\Okay.\Stop them!\Yes, sir!\Stop! response:	Quiet!
context: Haru, it's okay.\We can do it.\Have faith in us.\Okay.\Stop them!\Yes, sir!\Stop!\Quiet! response:	Stop!
context: We can do it.\Have faith in us.\Okay.\Stop them!\Yes, sir!\Stop!\Quiet!\Stop! response:	Yamada, what is the meaning of this?
context: Have faith in us.\Okay.\Stop them!\Yes, sir!\Stop!\Quiet!\Stop!\Yamada, what is the meaning of this? response:	We are on our way to fish up JFX.
context: Okay.\Stop them!\Yes, sir!\Stop!\Quiet!\Stop!\Yamada, what is the meaning of this?\We are on our way to fish up JFX. response:	You're still going on about that nonsense?
context: Stop them!\Yes, sir!\Stop!\Quiet!\Stop!\Yamada, what is the meaning of this?\We are on our way to fish up JFX.\You're still going on about that nonsense? response:	Our Duck fleet was destroyed before it could even get close.
context: Yes, sir!\Stop!\Quiet!\Stop!\Yamada, what is the meaning of this?\We are on our way to fish up JFX.\You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close. response:	There is no way you can subdue JFX's power!
context: Stop!\Quiet!\Stop!\Yamada, what is the meaning of this?\We are on our way to fish up JFX.\You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power! response:	Is there another way?
context: Quiet!\Stop!\Yamada, what is the meaning of this?\We are on our way to fish up JFX.\You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power!\Is there another way? response:	All four reinforcement ships are under JFX's control.
context: Stop!\Yamada, what is the meaning of this?\We are on our way to fish up JFX.\You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power!\Is there another way?\All four reinforcement ships are under JFX's control. response:	We do not know when he will fire more missiles.
context: Yamada, what is the meaning of this?\We are on our way to fish up JFX.\You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power!\Is there another way?\All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles. response:	Lives will be lost this time.
context: We are on our way to fish up JFX.\You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power!\Is there another way?\All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles.\Lives will be lost this time. response:	As the Duck agent given responsibility of this island,
context: You're still going on about that nonsense?\Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power!\Is there another way?\All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles.\Lives will be lost this time.\As the Duck agent given responsibility of this island, response:	I simply wish to execute my mission.
context: Our Duck fleet was destroyed before it could even get close.\There is no way you can subdue JFX's power!\Is there another way?\All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles.\Lives will be lost this time.\As the Duck agent given responsibility of this island,\I simply wish to execute my mission. response:	In order to do that, I must fish up JFX.
context: There is no way you can subdue JFX's power!\Is there another way?\All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles.\Lives will be lost this time.\As the Duck agent given responsibility of this island,\I simply wish to execute my mission.\In order to do that, I must fish up JFX. response:	You expect me to believe such nonsense?
context: Is there another way?\All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles.\Lives will be lost this time.\As the Duck agent given responsibility of this island,\I simply wish to execute my mission.\In order to do that, I must fish up JFX.\You expect me to believe such nonsense? response:	You have simply been brainwashed by JF1!
context: All four reinforcement ships are under JFX's control.\We do not know when he will fire more missiles.\Lives will be lost this time.\As the Duck agent given responsibility of this island,\I simply wish to execute my mission.\In order to do that, I must fish up JFX.\You expect me to believe such nonsense?\You have simply been brainwashed by JF1! response:	I have not been brainwashed!
context: We do not know when he will fire more missiles.\Lives will be lost this time.\As the Duck agent given responsibility of this island,\I simply wish to execute my mission.\In order to do that, I must fish up JFX.\You expect me to believe such nonsense?\You have simply been brainwashed by JF1!\I have not been brainwashed! response:	We need Haru's help to resist JFX's power!
context: Lives will be lost this time.\As the Duck agent given responsibility of this island,\I simply wish to execute my mission.\In order to do that, I must fish up JFX.\You expect me to believe such nonsense?\You have simply been brainwashed by JF1!\I have not been brainwashed!\We need Haru's help to resist JFX's power! response:	This is what I have concluded after observing him for half a year.
context: As the Duck agent given responsibility of this island,\I simply wish to execute my mission.\In order to do that, I must fish up JFX.\You expect me to believe such nonsense?\You have simply been brainwashed by JF1!\I have not been brainwashed!\We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year. response:	This is ridiculous.
context: I simply wish to execute my mission.\In order to do that, I must fish up JFX.\You expect me to believe such nonsense?\You have simply been brainwashed by JF1!\I have not been brainwashed!\We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year.\This is ridiculous. response:	Yamada, if you truly are a Duck agent, you must understand.
context: In order to do that, I must fish up JFX.\You expect me to believe such nonsense?\You have simply been brainwashed by JF1!\I have not been brainwashed!\We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year.\This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand. response:	Duck agents who sympathize with aliens
context: You expect me to believe such nonsense?\You have simply been brainwashed by JF1!\I have not been brainwashed!\We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year.\This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens response:	will be stripped of their title immediately!
context: You have simply been brainwashed by JF1!\I have not been brainwashed!\We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year.\This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens\will be stripped of their title immediately! response:	Do not do anything foolish for your own sake.
context: I have not been brainwashed!\We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year.\This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens\will be stripped of their title immediately!\Do not do anything foolish for your own sake. response:	Take JF1 away!
context: We need Haru's help to resist JFX's power!\This is what I have concluded after observing him for half a year.\This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens\will be stripped of their title immediately!\Do not do anything foolish for your own sake.\Take JF1 away! response:	Yes, sir!
context: This is what I have concluded after observing him for half a year.\This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens\will be stripped of their title immediately!\Do not do anything foolish for your own sake.\Take JF1 away!\Yes, sir! response:	No!
context: This is ridiculous.\Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens\will be stripped of their title immediately!\Do not do anything foolish for your own sake.\Take JF1 away!\Yes, sir!\No! response:	Let him go.
context: Yamada, if you truly are a Duck agent, you must understand.\Duck agents who sympathize with aliens\will be stripped of their title immediately!\Do not do anything foolish for your own sake.\Take JF1 away!\Yes, sir!\No!\Let him go. response:	Let Haru go!
context: Duck agents who sympathize with aliens\will be stripped of their title immediately!\Do not do anything foolish for your own sake.\Take JF1 away!\Yes, sir!\No!\Let him go.\Let Haru go! response:	Yamada, as of this moment,
context: will be stripped of their title immediately!\Do not do anything foolish for your own sake.\Take JF1 away!\Yes, sir!\No!\Let him go.\Let Haru go!\Yamada, as of this moment, response:	I strip you of your Duck membership.
context: Do not do anything foolish for your own sake.\Take JF1 away!\Yes, sir!\No!\Let him go.\Let Haru go!\Yamada, as of this moment,\I strip you of your Duck membership. response:	I don't care.
context: Take JF1 away!\Yes, sir!\No!\Let him go.\Let Haru go!\Yamada, as of this moment,\I strip you of your Duck membership.\I don't care. response:	Are you insane?
context: Yes, sir!\No!\Let him go.\Let Haru go!\Yamada, as of this moment,\I strip you of your Duck membership.\I don't care.\Are you insane? response:	I am sane.
context: No!\Let him go.\Let Haru go!\Yamada, as of this moment,\I strip you of your Duck membership.\I don't care.\Are you insane?\I am sane. response:	Even if you take my position away from me,
context: Let him go.\Let Haru go!\Yamada, as of this moment,\I strip you of your Duck membership.\I don't care.\Are you insane?\I am sane.\Even if you take my position away from me, response:	I will still go with them.
context: Let Haru go!\Yamada, as of this moment,\I strip you of your Duck membership.\I don't care.\Are you insane?\I am sane.\Even if you take my position away from me,\I will still go with them. response:	I will fish up JFX.
context: Yamada, as of this moment,\I strip you of your Duck membership.\I don't care.\Are you insane?\I am sane.\Even if you take my position away from me,\I will still go with them.\I will fish up JFX. response:	Get Yamada!
context: I strip you of your Duck membership.\I don't care.\Are you insane?\I am sane.\Even if you take my position away from me,\I will still go with them.\I will fish up JFX.\Get Yamada! response:	Excuse me.
context: I don't care.\Are you insane?\I am sane.\Even if you take my position away from me,\I will still go with them.\I will fish up JFX.\Get Yamada!\Excuse me. response:	Yamada!
context: Are you insane?\I am sane.\Even if you take my position away from me,\I will still go with them.\I will fish up JFX.\Get Yamada!\Excuse me.\Yamada! response:	Seishunmaru, set sail!
context: I am sane.\Even if you take my position away from me,\I will still go with them.\I will fish up JFX.\Get Yamada!\Excuse me.\Yamada!\Seishunmaru, set sail! response:	Yeah!
context: Even if you take my position away from me,\I will still go with them.\I will fish up JFX.\Get Yamada!\Excuse me.\Yamada!\Seishunmaru, set sail!\Yeah! response:	Enoshima Island Emergency Shelter
context: I will still go with them.\I will fish up JFX.\Get Yamada!\Excuse me.\Yamada!\Seishunmaru, set sail!\Yeah!\Enoshima Island Emergency Shelter response:	A single boat has just left Enoshima harbor.
context: I will fish up JFX.\Get Yamada!\Excuse me.\Yamada!\Seishunmaru, set sail!\Yeah!\Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor. response:	What could this be?
context: Get Yamada!\Excuse me.\Yamada!\Seishunmaru, set sail!\Yeah!\Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor.\What could this be? response:	Is it an autonomous choice?
context: Excuse me.\Yamada!\Seishunmaru, set sail!\Yeah!\Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor.\What could this be?\Is it an autonomous choice? response:	What is that boat doing?
context: Yamada!\Seishunmaru, set sail!\Yeah!\Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor.\What could this be?\Is it an autonomous choice?\What is that boat doing? response:	Or is it under the control of the unidentified creature?
context: Seishunmaru, set sail!\Yeah!\Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor.\What could this be?\Is it an autonomous choice?\What is that boat doing?\Or is it under the control of the unidentified creature? response:	What are they thinking at a time like this?
context: Yeah!\Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor.\What could this be?\Is it an autonomous choice?\What is that boat doing?\Or is it under the control of the unidentified creature?\What are they thinking at a time like this? response:	Look! We just got sight of the passengers!
context: Enoshima Island Emergency Shelter\A single boat has just left Enoshima harbor.\What could this be?\Is it an autonomous choice?\What is that boat doing?\Or is it under the control of the unidentified creature?\What are they thinking at a time like this?\Look! We just got sight of the passengers! response:	Onii-chan!
context: A single boat has just left Enoshima harbor.\What could this be?\Is it an autonomous choice?\What is that boat doing?\Or is it under the control of the unidentified creature?\What are they thinking at a time like this?\Look! We just got sight of the passengers!\Onii-chan! response:	Isn't that Ayumi-chan's boat?
context: What could this be?\Is it an autonomous choice?\What is that boat doing?\Or is it under the control of the unidentified creature?\What are they thinking at a time like this?\Look! We just got sight of the passengers!\Onii-chan!\Isn't that Ayumi-chan's boat? response:	They seem to be some young men... and a man wearing a turban.
context: Is it an autonomous choice?\What is that boat doing?\Or is it under the control of the unidentified creature?\What are they thinking at a time like this?\Look! We just got sight of the passengers!\Onii-chan!\Isn't that Ayumi-chan's boat?\They seem to be some young men... and a man wearing a turban. response:	Yeah, it is.
context: What is that boat doing?\Or is it under the control of the unidentified creature?\What are they thinking at a time like this?\Look! We just got sight of the passengers!\Onii-chan!\Isn't that Ayumi-chan's boat?\They seem to be some young men... and a man wearing a turban.\Yeah, it is. response:	Tapioca, you saved us. Thank you.
