context: When I was a child, I dreamed of being a hero of justice. response:	What do you mean, dreamed? Did you give up?
context: I wish it hadn't taken me so long to realize that.\I see.\Guess you can't help it now, then.\Yes...\I really can't.\Yeah.\Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it. response:	Just leave your dream to me.
context: I see.\Guess you can't help it now, then.\Yes...\I really can't.\Yeah.\Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me. response:	All right.
context: Guess you can't help it now, then.\Yes...\I really can't.\Yeah.\Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me.\All right. response:	I feel better...
context: Yes...\I really can't.\Yeah.\Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me.\All right.\I feel better... response:	Well, what was the urgent errand from Kuzuki-sensei?
context: I really can't.\Yeah.\Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me.\All right.\I feel better...\Well, what was the urgent errand from Kuzuki-sensei? response:	I don't know.
context: Yeah.\Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me.\All right.\I feel better...\Well, what was the urgent errand from Kuzuki-sensei?\I don't know. response:	All she said was,
context: Since you can't, I'll become one for you.\You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me.\All right.\I feel better...\Well, what was the urgent errand from Kuzuki-sensei?\I don't know.\All she said was, response:	I have to finish the errand Kuzuki-sensei asked me to do tonight or else.
context: You're an adult now, so it's too late for you, but I can do it.\Just leave your dream to me.\All right.\I feel better...\Well, what was the urgent errand from Kuzuki-sensei?\I don't know.\All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else. response:	So, Sakura-chan and Saber-chan, try to get along.
context: Just leave your dream to me.\All right.\I feel better...\Well, what was the urgent errand from Kuzuki-sensei?\I don't know.\All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along. response:	She didn't go into detail. She just left...
context: All right.\I feel better...\Well, what was the urgent errand from Kuzuki-sensei?\I don't know.\All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left... response:	Jeez, she's the one who suggested you stay over, and she splits.
context: I feel better...\Well, what was the urgent errand from Kuzuki-sensei?\I don't know.\All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits. response:	But it's okay. It gave me a chance to chat with Saber-san about things.
context: Well, what was the urgent errand from Kuzuki-sensei?\I don't know.\All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things. response:	Yes, Sakura and I understand one another.
context: I don't know.\All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another. response:	Come on, I'll be fine.
context: All she said was,\I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another.\Come on, I'll be fine. response:	There will be a lot of people at school.
context: I have to finish the errand Kuzuki-sensei asked me to do tonight or else.\So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another.\Come on, I'll be fine.\There will be a lot of people at school. response:	Besides, didn't you say yesterday that school was safe?
context: So, Sakura-chan and Saber-chan, try to get along.\She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another.\Come on, I'll be fine.\There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe? response:	Shirou, that was yesterday. It doesn't mean that it's still safe today.
context: She didn't go into detail. She just left...\Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another.\Come on, I'll be fine.\There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today. response:	If you're gonna talk like that, I won't ever be able to go anywhere.
context: Jeez, she's the one who suggested you stay over, and she splits.\But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another.\Come on, I'll be fine.\There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere. response:	Anyway, you need to conserve your mana, so get some rest.
context: But it's okay. It gave me a chance to chat with Saber-san about things.\Yes, Sakura and I understand one another.\Come on, I'll be fine.\There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest. response:	Very well, if that is your decision, Master.
context: Yes, Sakura and I understand one another.\Come on, I'll be fine.\There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master. response:	But if you run into an emergency situation, use a Command Seal.
context: Come on, I'll be fine.\There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal. response:	I will. See you later.
context: There will be a lot of people at school.\Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal.\I will. See you later. response:	Hey.
context: Besides, didn't you say yesterday that school was safe?\Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal.\I will. See you later.\Hey. response:	What? Do I have something on my face?
context: Shirou, that was yesterday. It doesn't mean that it's still safe today.\If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal.\I will. See you later.\Hey.\What? Do I have something on my face? response:	Self-Study
context: If you're gonna talk like that, I won't ever be able to go anywhere.\Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal.\I will. See you later.\Hey.\What? Do I have something on my face?\Self-Study response:	Student Council Room
context: Anyway, you need to conserve your mana, so get some rest.\Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal.\I will. See you later.\Hey.\What? Do I have something on my face?\Self-Study\Student Council Room response:	Issei, aren't you going to eat lunch?
context: Very well, if that is your decision, Master.\But if you run into an emergency situation, use a Command Seal.\I will. See you later.\Hey.\What? Do I have something on my face?\Self-Study\Student Council Room\Issei, aren't you going to eat lunch? response:	I'll eat later.
context: But if you run into an emergency situation, use a Command Seal.\I will. See you later.\Hey.\What? Do I have something on my face?\Self-Study\Student Council Room\Issei, aren't you going to eat lunch?\I'll eat later. response:	I just want to sleep now...
context: I will. See you later.\Hey.\What? Do I have something on my face?\Self-Study\Student Council Room\Issei, aren't you going to eat lunch?\I'll eat later.\I just want to sleep now... response:	Hmm? Did you stay up all night?
context: Hey.\What? Do I have something on my face?\Self-Study\Student Council Room\Issei, aren't you going to eat lunch?\I'll eat later.\I just want to sleep now...\Hmm? Did you stay up all night? response:	No, I just haven't been sleeping well lately.
context: What? Do I have something on my face?\Self-Study\Student Council Room\Issei, aren't you going to eat lunch?\I'll eat later.\I just want to sleep now...\Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately. response:	Issei, someone's here.
context: Self-Study\Student Council Room\Issei, aren't you going to eat lunch?\I'll eat later.\I just want to sleep now...\Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately.\Issei, someone's here. response:	I don't care! Tell them the student council is closed!
context: Student Council Room\Issei, aren't you going to eat lunch?\I'll eat later.\I just want to sleep now...\Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately.\Issei, someone's here.\I don't care! Tell them the student council is closed! response:	It's Kuzuki-sensei.
context: Issei, aren't you going to eat lunch?\I'll eat later.\I just want to sleep now...\Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately.\Issei, someone's here.\I don't care! Tell them the student council is closed!\It's Kuzuki-sensei. response:	Ryuudou, I need to speak to you.
context: I'll eat later.\I just want to sleep now...\Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately.\Issei, someone's here.\I don't care! Tell them the student council is closed!\It's Kuzuki-sensei.\Ryuudou, I need to speak to you. response:	Yes, sir.
context: I just want to sleep now...\Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately.\Issei, someone's here.\I don't care! Tell them the student council is closed!\It's Kuzuki-sensei.\Ryuudou, I need to speak to you.\Yes, sir. response:	Then she hasn't gone home, either?
context: Hmm? Did you stay up all night?\No, I just haven't been sleeping well lately.\Issei, someone's here.\I don't care! Tell them the student council is closed!\It's Kuzuki-sensei.\Ryuudou, I need to speak to you.\Yes, sir.\Then she hasn't gone home, either? response:	I understand.
context: No, I just haven't been sleeping well lately.\Issei, someone's here.\I don't care! Tell them the student council is closed!\It's Kuzuki-sensei.\Ryuudou, I need to speak to you.\Yes, sir.\Then she hasn't gone home, either?\I understand. response:	Pardon the intrusion. I felt I should inform you, as school is likely to end early.
context: Issei, someone's here.\I don't care! Tell them the student council is closed!\It's Kuzuki-sensei.\Ryuudou, I need to speak to you.\Yes, sir.\Then she hasn't gone home, either?\I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early. response:	Yes, sir.
context: I don't care! Tell them the student council is closed!\It's Kuzuki-sensei.\Ryuudou, I need to speak to you.\Yes, sir.\Then she hasn't gone home, either?\I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir. response:	What was that about?
context: It's Kuzuki-sensei.\Ryuudou, I need to speak to you.\Yes, sir.\Then she hasn't gone home, either?\I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir.\What was that about? response:	Hey, Issei?
context: Ryuudou, I need to speak to you.\Yes, sir.\Then she hasn't gone home, either?\I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir.\What was that about?\Hey, Issei? response:	Well, you're not exactly an outsider, so I guess it's okay for you to hear this.
context: Yes, sir.\Then she hasn't gone home, either?\I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir.\What was that about?\Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this. response:	Late last night, a family called the faculty office,
context: Then she hasn't gone home, either?\I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir.\What was that about?\Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office, response:	reporting that their daughter hadn't come home from archery club practice.
context: I understand.\Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir.\What was that about?\Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice. response:	Based on what they learned from the other club members,
context: Pardon the intrusion. I felt I should inform you, as school is likely to end early.\Yes, sir.\What was that about?\Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members, response:	they determined that Shinji was the last one to talk to the missing student.
context: Yes, sir.\What was that about?\Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student. response:	Shinji?
context: What was that about?\Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student.\Shinji? response:	But Shinji wasn't at practice yesterday.
context: Hey, Issei?\Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student.\Shinji?\But Shinji wasn't at practice yesterday. response:	Apparently, a first-year student forgot something at the dojo,
context: Well, you're not exactly an outsider, so I guess it's okay for you to hear this.\Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student.\Shinji?\But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo, response:	and when he came back for it, he saw Shinji and the missing student arguing.
context: Late last night, a family called the faculty office,\reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student.\Shinji?\But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing. response:	We tried to confirm this with Shinji.
context: reporting that their daughter hadn't come home from archery club practice.\Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student.\Shinji?\But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji. response:	But he's absent today, and no one's been able to reach him.
context: Based on what they learned from the other club members,\they determined that Shinji was the last one to talk to the missing student.\Shinji?\But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him. response:	Don't keep me in suspense, Issei.
context: they determined that Shinji was the last one to talk to the missing student.\Shinji?\But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei. response:	Who's the missing student?
context: Shinji?\But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei.\Who's the missing student? response:	Mitsuzuri Ayako,
context: But Shinji wasn't at practice yesterday.\Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei.\Who's the missing student?\Mitsuzuri Ayako, response:	the captain of the archery team.
context: Apparently, a first-year student forgot something at the dojo,\and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei.\Who's the missing student?\Mitsuzuri Ayako,\the captain of the archery team. response:	Did you notice anything odd about Shinji's behavior yesterday?
context: and when he came back for it, he saw Shinji and the missing student arguing.\We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei.\Who's the missing student?\Mitsuzuri Ayako,\the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday? response:	I'm sorry, Senpai.
context: We tried to confirm this with Shinji.\But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei.\Who's the missing student?\Mitsuzuri Ayako,\the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai. response:	I haven't seen him very often lately, either.
context: But he's absent today, and no one's been able to reach him.\Don't keep me in suspense, Issei.\Who's the missing student?\Mitsuzuri Ayako,\the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai.\I haven't seen him very often lately, either. response:	That's right. You wouldn't know anything.
context: Don't keep me in suspense, Issei.\Who's the missing student?\Mitsuzuri Ayako,\the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai.\I haven't seen him very often lately, either.\That's right. You wouldn't know anything. response:	Sorry, I shouldn't have asked you that.
context: Who's the missing student?\Mitsuzuri Ayako,\the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai.\I haven't seen him very often lately, either.\That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that. response:	No, that's not true.
context: Mitsuzuri Ayako,\the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai.\I haven't seen him very often lately, either.\That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that.\No, that's not true. response:	I know my brother better than anyone.
context: the captain of the archery team.\Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai.\I haven't seen him very often lately, either.\That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that.\No, that's not true.\I know my brother better than anyone. response:	It's nothing for you to worry about.
context: Did you notice anything odd about Shinji's behavior yesterday?\I'm sorry, Senpai.\I haven't seen him very often lately, either.\That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that.\No, that's not true.\I know my brother better than anyone.\It's nothing for you to worry about. response:	See you.
context: I'm sorry, Senpai.\I haven't seen him very often lately, either.\That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that.\No, that's not true.\I know my brother better than anyone.\It's nothing for you to worry about.\See you. response:	All after-school club meetings are canceled today.
context: I haven't seen him very often lately, either.\That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that.\No, that's not true.\I know my brother better than anyone.\It's nothing for you to worry about.\See you.\All after-school club meetings are canceled today. response:	The library will also be closed.
context: That's right. You wouldn't know anything.\Sorry, I shouldn't have asked you that.\No, that's not true.\I know my brother better than anyone.\It's nothing for you to worry about.\See you.\All after-school club meetings are canceled today.\The library will also be closed. response:	Students with no urgent business are asked to leave school grounds at once.
context: Sorry, I shouldn't have asked you that.\No, that's not true.\I know my brother better than anyone.\It's nothing for you to worry about.\See you.\All after-school club meetings are canceled today.\The library will also be closed.\Students with no urgent business are asked to leave school grounds at once. response:	I repeat...
context: No, that's not true.\I know my brother better than anyone.\It's nothing for you to worry about.\See you.\All after-school club meetings are canceled today.\The library will also be closed.\Students with no urgent business are asked to leave school grounds at once.\I repeat... response:	If you're looking for Ayako-chan, she's home sick today.
context: I know my brother better than anyone.\It's nothing for you to worry about.\See you.\All after-school club meetings are canceled today.\The library will also be closed.\Students with no urgent business are asked to leave school grounds at once.\I repeat...\If you're looking for Ayako-chan, she's home sick today. response:	Oh, thanks.
context: It's nothing for you to worry about.\See you.\All after-school club meetings are canceled today.\The library will also be closed.\Students with no urgent business are asked to leave school grounds at once.\I repeat...\If you're looking for Ayako-chan, she's home sick today.\Oh, thanks. response:	If Mitsuzuri comes tomorrow, don't mention this, okay?
context: See you.\All after-school club meetings are canceled today.\The library will also be closed.\Students with no urgent business are asked to leave school grounds at once.\I repeat...\If you're looking for Ayako-chan, she's home sick today.\Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay? response:	Okay...
context: All after-school club meetings are canceled today.\The library will also be closed.\Students with no urgent business are asked to leave school grounds at once.\I repeat...\If you're looking for Ayako-chan, she's home sick today.\Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay... response:	Tohsaka?
context: The library will also be closed.\Students with no urgent business are asked to leave school grounds at once.\I repeat...\If you're looking for Ayako-chan, she's home sick today.\Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay...\Tohsaka? response:	Unbelievable.
context: Students with no urgent business are asked to leave school grounds at once.\I repeat...\If you're looking for Ayako-chan, she's home sick today.\Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay...\Tohsaka?\Unbelievable. response:	Are you crazy, coming to school without your Servant?
context: I repeat...\If you're looking for Ayako-chan, she's home sick today.\Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay...\Tohsaka?\Unbelievable.\Are you crazy, coming to school without your Servant? response:	What choice did I have?
context: If you're looking for Ayako-chan, she's home sick today.\Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay...\Tohsaka?\Unbelievable.\Are you crazy, coming to school without your Servant?\What choice did I have? response:	Saber can't dematerialize, so I can't bring her.
context: Oh, thanks.\If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay...\Tohsaka?\Unbelievable.\Are you crazy, coming to school without your Servant?\What choice did I have?\Saber can't dematerialize, so I can't bring her. response:	Then stay home from school.
context: If Mitsuzuri comes tomorrow, don't mention this, okay?\Okay...\Tohsaka?\Unbelievable.\Are you crazy, coming to school without your Servant?\What choice did I have?\Saber can't dematerialize, so I can't bring her.\Then stay home from school. response:	A Master strolling around without his Servant
context: Okay...\Tohsaka?\Unbelievable.\Are you crazy, coming to school without your Servant?\What choice did I have?\Saber can't dematerialize, so I can't bring her.\Then stay home from school.\A Master strolling around without his Servant response:	may as well be holding a sign that reads, Please kill me.
context: Tohsaka?\Unbelievable.\Are you crazy, coming to school without your Servant?\What choice did I have?\Saber can't dematerialize, so I can't bring her.\Then stay home from school.\A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me. response:	Emiya-kun, do you have any idea how big an idiot you are?
context: Unbelievable.\Are you crazy, coming to school without your Servant?\What choice did I have?\Saber can't dematerialize, so I can't bring her.\Then stay home from school.\A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are? response:	Idiot?
context: Are you crazy, coming to school without your Servant?\What choice did I have?\Saber can't dematerialize, so I can't bring her.\Then stay home from school.\A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are?\Idiot? response:	Masters don't fight with other people around, right?
context: What choice did I have?\Saber can't dematerialize, so I can't bring her.\Then stay home from school.\A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are?\Idiot?\Masters don't fight with other people around, right? response:	So school should be perfectly safe.
context: Saber can't dematerialize, so I can't bring her.\Then stay home from school.\A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are?\Idiot?\Masters don't fight with other people around, right?\So school should be perfectly safe. response:	Then tell me this...
context: Then stay home from school.\A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are?\Idiot?\Masters don't fight with other people around, right?\So school should be perfectly safe.\Then tell me this... response:	Do you see any others here?
context: A Master strolling around without his Servant\may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are?\Idiot?\Masters don't fight with other people around, right?\So school should be perfectly safe.\Then tell me this...\Do you see any others here? response:	Huh?
context: may as well be holding a sign that reads, Please kill me.\Emiya-kun, do you have any idea how big an idiot you are?\Idiot?\Masters don't fight with other people around, right?\So school should be perfectly safe.\Then tell me this...\Do you see any others here?\Huh? response:	Finally sinking in, I see.
context: Emiya-kun, do you have any idea how big an idiot you are?\Idiot?\Masters don't fight with other people around, right?\So school should be perfectly safe.\Then tell me this...\Do you see any others here?\Huh?\Finally sinking in, I see. response:	Seriously, this morning, I went from exasperated to pissed.
context: Idiot?\Masters don't fight with other people around, right?\So school should be perfectly safe.\Then tell me this...\Do you see any others here?\Huh?\Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed. response:	After all I told him, why is he doing everything he can to get himself killed?
context: Masters don't fight with other people around, right?\So school should be perfectly safe.\Then tell me this...\Do you see any others here?\Huh?\Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed? response:	A Magic Crest...
context: So school should be perfectly safe.\Then tell me this...\Do you see any others here?\Huh?\Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest... response:	Yes, this is the incarnation of the magic passed down in my family.
context: Then tell me this...\Do you see any others here?\Huh?\Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family. response:	Simply by passing mana through it, I can invoke any spell etched here.
context: Do you see any others here?\Huh?\Finally sinking in, I see.\Seriously, this morning, I went from exasperated to pissed.\After all I told him, why is he doing everything he can to get himself killed?\A Magic Crest...\Yes, this is the incarnation of the magic passed down in my family.\Simply by passing mana through it, I can invoke any spell etched here. response:	I've sent Archer away.
