context: Who' Who are you? response:	What do you mean?
context: Wow' that was really good'\I'm so glad I saw it.\Kinomoto-kun was so cool.\Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute'\You did a wonderful job.\Th' thank you. response:	I've asked them to lend me the tape.
context: I'm so glad I saw it.\Kinomoto-kun was so cool.\Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute'\You did a wonderful job.\Th' thank you.\I've asked them to lend me the tape. response:	I'll dub it and make it as my treasure.
context: Kinomoto-kun was so cool.\Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute'\You did a wonderful job.\Th' thank you.\I've asked them to lend me the tape.\I'll dub it and make it as my treasure. response:	T' Tomoyo-chan'
context: Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute'\You did a wonderful job.\Th' thank you.\I've asked them to lend me the tape.\I'll dub it and make it as my treasure.\T' Tomoyo-chan' response:	AHH!! KINOMOTO-KUN!
context: The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute'\You did a wonderful job.\Th' thank you.\I've asked them to lend me the tape.\I'll dub it and make it as my treasure.\T' Tomoyo-chan'\AHH!! KINOMOTO-KUN! response:	TSUKISHIRO-KUN! YOU WERE SO COOL!!
context: Really? She was so cute'\You did a wonderful job.\Th' thank you.\I've asked them to lend me the tape.\I'll dub it and make it as my treasure.\T' Tomoyo-chan'\AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!! response:	As usual, your brother and Tsukishiro-san have gathered a crowd.
context: You did a wonderful job.\Th' thank you.\I've asked them to lend me the tape.\I'll dub it and make it as my treasure.\T' Tomoyo-chan'\AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd. response:	So it seems'
context: Th' thank you.\I've asked them to lend me the tape.\I'll dub it and make it as my treasure.\T' Tomoyo-chan'\AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems' response:	Thanks'
context: I've asked them to lend me the tape.\I'll dub it and make it as my treasure.\T' Tomoyo-chan'\AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems'\Thanks' response:	Ever since he gave Yue-san his power,
context: I'll dub it and make it as my treasure.\T' Tomoyo-chan'\AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems'\Thanks'\Ever since he gave Yue-san his power, response:	Oniichan has been very tired. I understand why he did it'
context: T' Tomoyo-chan'\AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems'\Thanks'\Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it' response:	Without Yukito-san and Yue-san, Oniichan would be very lonely'
context: AHH!! KINOMOTO-KUN!\TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems'\Thanks'\Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely' response:	The movie was very interesting
context: TSUKISHIRO-KUN! YOU WERE SO COOL!!\As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems'\Thanks'\Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting response:	Thank you.
context: As usual, your brother and Tsukishiro-san have gathered a crowd.\So it seems'\Thanks'\Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting\Thank you. response:	See you later'
context: So it seems'\Thanks'\Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting\Thank you.\See you later' response:	Oniichan'
context: Thanks'\Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting\Thank you.\See you later'\Oniichan' response:	It's ok' I'm just a little tired'
context: Ever since he gave Yue-san his power,\Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting\Thank you.\See you later'\Oniichan'\It's ok' I'm just a little tired' response:	Sakura-chan!
context: Oniichan has been very tired. I understand why he did it'\Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting\Thank you.\See you later'\Oniichan'\It's ok' I'm just a little tired'\Sakura-chan! response:	Sakura?
context: Without Yukito-san and Yue-san, Oniichan would be very lonely'\The movie was very interesting\Thank you.\See you later'\Oniichan'\It's ok' I'm just a little tired'\Sakura-chan!\Sakura? response:	You came as well.
context: The movie was very interesting\Thank you.\See you later'\Oniichan'\It's ok' I'm just a little tired'\Sakura-chan!\Sakura?\You came as well. response:	I know, let's go have some tea.
context: Thank you.\See you later'\Oniichan'\It's ok' I'm just a little tired'\Sakura-chan!\Sakura?\You came as well.\I know, let's go have some tea. response:	Thanks for waiting.
context: See you later'\Oniichan'\It's ok' I'm just a little tired'\Sakura-chan!\Sakura?\You came as well.\I know, let's go have some tea.\Thanks for waiting. response:	Here.
context: Oniichan'\It's ok' I'm just a little tired'\Sakura-chan!\Sakura?\You came as well.\I know, let's go have some tea.\Thanks for waiting.\Here. response:	Thank you very much!
context: It's ok' I'm just a little tired'\Sakura-chan!\Sakura?\You came as well.\I know, let's go have some tea.\Thanks for waiting.\Here.\Thank you very much! response:	Here.
context: Sakura-chan!\Sakura?\You came as well.\I know, let's go have some tea.\Thanks for waiting.\Here.\Thank you very much!\Here. response:	Thank you very much!
context: Sakura?\You came as well.\I know, let's go have some tea.\Thanks for waiting.\Here.\Thank you very much!\Here.\Thank you very much! response:	Take it you'
context: You came as well.\I know, let's go have some tea.\Thanks for waiting.\Here.\Thank you very much!\Here.\Thank you very much!\Take it you' response:	Thank you very much.
context: I know, let's go have some tea.\Thanks for waiting.\Here.\Thank you very much!\Here.\Thank you very much!\Take it you'\Thank you very much. response:	Well, what did you like the movie?
context: Thanks for waiting.\Here.\Thank you very much!\Here.\Thank you very much!\Take it you'\Thank you very much.\Well, what did you like the movie? response:	Yes!
context: Here.\Thank you very much!\Here.\Thank you very much!\Take it you'\Thank you very much.\Well, what did you like the movie?\Yes! response:	You were very cute, Sakura-chan.
context: Thank you very much!\Here.\Thank you very much!\Take it you'\Thank you very much.\Well, what did you like the movie?\Yes!\You were very cute, Sakura-chan. response:	not really'
context: Here.\Thank you very much!\Take it you'\Thank you very much.\Well, what did you like the movie?\Yes!\You were very cute, Sakura-chan.\not really' response:	The whole class thought you were wonderful.
context: Thank you very much!\Take it you'\Thank you very much.\Well, what did you like the movie?\Yes!\You were very cute, Sakura-chan.\not really'\The whole class thought you were wonderful. response:	Have you toured the fair yet?
context: Take it you'\Thank you very much.\Well, what did you like the movie?\Yes!\You were very cute, Sakura-chan.\not really'\The whole class thought you were wonderful.\Have you toured the fair yet? response:	No, not yet.
context: Thank you very much.\Well, what did you like the movie?\Yes!\You were very cute, Sakura-chan.\not really'\The whole class thought you were wonderful.\Have you toured the fair yet?\No, not yet. response:	How you would you like to go together then?
context: Well, what did you like the movie?\Yes!\You were very cute, Sakura-chan.\not really'\The whole class thought you were wonderful.\Have you toured the fair yet?\No, not yet.\How you would you like to go together then? response:	Is that ok?
context: Yes!\You were very cute, Sakura-chan.\not really'\The whole class thought you were wonderful.\Have you toured the fair yet?\No, not yet.\How you would you like to go together then?\Is that ok? response:	Yes. I'll be your tour guide then.
context: You were very cute, Sakura-chan.\not really'\The whole class thought you were wonderful.\Have you toured the fair yet?\No, not yet.\How you would you like to go together then?\Is that ok?\Yes. I'll be your tour guide then. response:	I'll be sleeping in the classroom.
context: not really'\The whole class thought you were wonderful.\Have you toured the fair yet?\No, not yet.\How you would you like to go together then?\Is that ok?\Yes. I'll be your tour guide then.\I'll be sleeping in the classroom. response:	You ok?
context: The whole class thought you were wonderful.\Have you toured the fair yet?\No, not yet.\How you would you like to go together then?\Is that ok?\Yes. I'll be your tour guide then.\I'll be sleeping in the classroom.\You ok? response:	Just tired, don't worry.
context: Have you toured the fair yet?\No, not yet.\How you would you like to go together then?\Is that ok?\Yes. I'll be your tour guide then.\I'll be sleeping in the classroom.\You ok?\Just tired, don't worry. response:	Don't eat to much, monster.
context: No, not yet.\How you would you like to go together then?\Is that ok?\Yes. I'll be your tour guide then.\I'll be sleeping in the classroom.\You ok?\Just tired, don't worry.\Don't eat to much, monster. response:	I don't eat that much!
context: How you would you like to go together then?\Is that ok?\Yes. I'll be your tour guide then.\I'll be sleeping in the classroom.\You ok?\Just tired, don't worry.\Don't eat to much, monster.\I don't eat that much! response:	Geeze'
context: Is that ok?\Yes. I'll be your tour guide then.\I'll be sleeping in the classroom.\You ok?\Just tired, don't worry.\Don't eat to much, monster.\I don't eat that much!\Geeze' response:	I'll take my leave as well'
context: Yes. I'll be your tour guide then.\I'll be sleeping in the classroom.\You ok?\Just tired, don't worry.\Don't eat to much, monster.\I don't eat that much!\Geeze'\I'll take my leave as well' response:	You're going too?
context: I'll be sleeping in the classroom.\You ok?\Just tired, don't worry.\Don't eat to much, monster.\I don't eat that much!\Geeze'\I'll take my leave as well'\You're going too? response:	Yes. I have things to do at home. I guess I'll see you tomorrow.
context: You ok?\Just tired, don't worry.\Don't eat to much, monster.\I don't eat that much!\Geeze'\I'll take my leave as well'\You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow. response:	See you then.
context: Just tired, don't worry.\Don't eat to much, monster.\I don't eat that much!\Geeze'\I'll take my leave as well'\You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then. response:	Take care.
context: Don't eat to much, monster.\I don't eat that much!\Geeze'\I'll take my leave as well'\You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then.\Take care. response:	See you, Li-kun.
context: I don't eat that much!\Geeze'\I'll take my leave as well'\You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then.\Take care.\See you, Li-kun. response:	Do your best, ok?
context: Geeze'\I'll take my leave as well'\You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then.\Take care.\See you, Li-kun.\Do your best, ok? response:	What is it?
context: I'll take my leave as well'\You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then.\Take care.\See you, Li-kun.\Do your best, ok?\What is it? response:	I' it's nothing'
context: You're going too?\Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then.\Take care.\See you, Li-kun.\Do your best, ok?\What is it?\I' it's nothing' response:	Shall we go then?
context: Yes. I have things to do at home. I guess I'll see you tomorrow.\See you then.\Take care.\See you, Li-kun.\Do your best, ok?\What is it?\I' it's nothing'\Shall we go then? response:	Yes!
context: See you then.\Take care.\See you, Li-kun.\Do your best, ok?\What is it?\I' it's nothing'\Shall we go then?\Yes! response:	(The Milky Way)
context: Take care.\See you, Li-kun.\Do your best, ok?\What is it?\I' it's nothing'\Shall we go then?\Yes!\(The Milky Way) response:	The Milky way?
context: See you, Li-kun.\Do your best, ok?\What is it?\I' it's nothing'\Shall we go then?\Yes!\(The Milky Way)\The Milky way? response:	Our class put it together. Shall we go take a look?
context: Do your best, ok?\What is it?\I' it's nothing'\Shall we go then?\Yes!\(The Milky Way)\The Milky way?\Our class put it together. Shall we go take a look? response:	Sure!
context: What is it?\I' it's nothing'\Shall we go then?\Yes!\(The Milky Way)\The Milky way?\Our class put it together. Shall we go take a look?\Sure! response:	Hiii! Sakura-chan!!!
context: I' it's nothing'\Shall we go then?\Yes!\(The Milky Way)\The Milky way?\Our class put it together. Shall we go take a look?\Sure!\Hiii! Sakura-chan!!! response:	Thanks for being in my movie!!
context: Shall we go then?\Yes!\(The Milky Way)\The Milky way?\Our class put it together. Shall we go take a look?\Sure!\Hiii! Sakura-chan!!!\Thanks for being in my movie!! response:	You were the best!!!
context: Yes!\(The Milky Way)\The Milky way?\Our class put it together. Shall we go take a look?\Sure!\Hiii! Sakura-chan!!!\Thanks for being in my movie!!\You were the best!!! response:	What is it? Are you going through the'Milky Way'?
context: (The Milky Way)\The Milky way?\Our class put it together. Shall we go take a look?\Sure!\Hiii! Sakura-chan!!!\Thanks for being in my movie!!\You were the best!!!\What is it? Are you going through the'Milky Way'? response:	y' yes.
context: The Milky way?\Our class put it together. Shall we go take a look?\Sure!\Hiii! Sakura-chan!!!\Thanks for being in my movie!!\You were the best!!!\What is it? Are you going through the'Milky Way'?\y' yes. response:	Wait a' where's Touya-kun?
context: Our class put it together. Shall we go take a look?\Sure!\Hiii! Sakura-chan!!!\Thanks for being in my movie!!\You were the best!!!\What is it? Are you going through the'Milky Way'?\y' yes.\Wait a' where's Touya-kun? response:	He was tired so he's sleeping in the classroom.
context: Sure!\Hiii! Sakura-chan!!!\Thanks for being in my movie!!\You were the best!!!\What is it? Are you going through the'Milky Way'?\y' yes.\Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom. response:	That's too bad' he's been so sleepy recently.
context: Hiii! Sakura-chan!!!\Thanks for being in my movie!!\You were the best!!!\What is it? Are you going through the'Milky Way'?\y' yes.\Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently. response:	Anyway, only 2 at a time'
context: Thanks for being in my movie!!\You were the best!!!\What is it? Are you going through the'Milky Way'?\y' yes.\Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time' response:	Sakura-chan and Tsukishiro-kun,
context: You were the best!!!\What is it? Are you going through the'Milky Way'?\y' yes.\Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun, response:	you go first and your friends'll follow.
context: What is it? Are you going through the'Milky Way'?\y' yes.\Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow. response:	Ok, lets go then. Move along.
context: y' yes.\Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow.\Ok, lets go then. Move along. response:	Move along. Ok!
context: Wait a' where's Touya-kun?\He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow.\Ok, lets go then. Move along.\Move along. Ok! response:	Two on their way in!!
context: He was tired so he's sleeping in the classroom.\That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow.\Ok, lets go then. Move along.\Move along. Ok!\Two on their way in!! response:	Wow!! Great! Pretty'
context: That's too bad' he's been so sleepy recently.\Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow.\Ok, lets go then. Move along.\Move along. Ok!\Two on their way in!!\Wow!! Great! Pretty' response:	It's really wonderful.
context: Anyway, only 2 at a time'\Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow.\Ok, lets go then. Move along.\Move along. Ok!\Two on their way in!!\Wow!! Great! Pretty'\It's really wonderful. response:	Eh? Oh, sorry'
context: Sakura-chan and Tsukishiro-kun,\you go first and your friends'll follow.\Ok, lets go then. Move along.\Move along. Ok!\Two on their way in!!\Wow!! Great! Pretty'\It's really wonderful.\Eh? Oh, sorry' response:	What do you think? It's pretty good isn't it.
context: you go first and your friends'll follow.\Ok, lets go then. Move along.\Move along. Ok!\Two on their way in!!\Wow!! Great! Pretty'\It's really wonderful.\Eh? Oh, sorry'\What do you think? It's pretty good isn't it. response:	Yes.
context: Ok, lets go then. Move along.\Move along. Ok!\Two on their way in!!\Wow!! Great! Pretty'\It's really wonderful.\Eh? Oh, sorry'\What do you think? It's pretty good isn't it.\Yes. response:	There's a really nice bit just up here'
context: Move along. Ok!\Two on their way in!!\Wow!! Great! Pretty'\It's really wonderful.\Eh? Oh, sorry'\What do you think? It's pretty good isn't it.\Yes.\There's a really nice bit just up here' response:	I want him to know how I really feel.
context: Two on their way in!!\Wow!! Great! Pretty'\It's really wonderful.\Eh? Oh, sorry'\What do you think? It's pretty good isn't it.\Yes.\There's a really nice bit just up here'\I want him to know how I really feel. response:	Yukito-san'
context: Wow!! Great! Pretty'\It's really wonderful.\Eh? Oh, sorry'\What do you think? It's pretty good isn't it.\Yes.\There's a really nice bit just up here'\I want him to know how I really feel.\Yukito-san' response:	What is it?
context: It's really wonderful.\Eh? Oh, sorry'\What do you think? It's pretty good isn't it.\Yes.\There's a really nice bit just up here'\I want him to know how I really feel.\Yukito-san'\What is it? response:	I' Yukito-san'
context: Eh? Oh, sorry'\What do you think? It's pretty good isn't it.\Yes.\There's a really nice bit just up here'\I want him to know how I really feel.\Yukito-san'\What is it?\I' Yukito-san' response:	I' I'
context: What do you think? It's pretty good isn't it.\Yes.\There's a really nice bit just up here'\I want him to know how I really feel.\Yukito-san'\What is it?\I' Yukito-san'\I' I' response:	I love you Yukito-san!
context: Yes.\There's a really nice bit just up here'\I want him to know how I really feel.\Yukito-san'\What is it?\I' Yukito-san'\I' I'\I love you Yukito-san! response:	I love you too, Sakura-chan'
context: There's a really nice bit just up here'\I want him to know how I really feel.\Yukito-san'\What is it?\I' Yukito-san'\I' I'\I love you Yukito-san!\I love you too, Sakura-chan' response:	but, the person you'll love most isn't me.
context: I want him to know how I really feel.\Yukito-san'\What is it?\I' Yukito-san'\I' I'\I love you Yukito-san!\I love you too, Sakura-chan'\but, the person you'll love most isn't me. response:	You love your father a lot, right?
context: Yukito-san'\What is it?\I' Yukito-san'\I' I'\I love you Yukito-san!\I love you too, Sakura-chan'\but, the person you'll love most isn't me.\You love your father a lot, right? response:	Yes.
context: What is it?\I' Yukito-san'\I' I'\I love you Yukito-san!\I love you too, Sakura-chan'\but, the person you'll love most isn't me.\You love your father a lot, right?\Yes. response:	And me?
context: I' Yukito-san'\I' I'\I love you Yukito-san!\I love you too, Sakura-chan'\but, the person you'll love most isn't me.\You love your father a lot, right?\Yes.\And me? response:	I love you'
context: I' I'\I love you Yukito-san!\I love you too, Sakura-chan'\but, the person you'll love most isn't me.\You love your father a lot, right?\Yes.\And me?\I love you' response:	Those feelings are the same, right?
context: I love you Yukito-san!\I love you too, Sakura-chan'\but, the person you'll love most isn't me.\You love your father a lot, right?\Yes.\And me?\I love you'\Those feelings are the same, right? response:	The way you love your father, and what you feel for me'
context: I love you too, Sakura-chan'\but, the person you'll love most isn't me.\You love your father a lot, right?\Yes.\And me?\I love you'\Those feelings are the same, right?\The way you love your father, and what you feel for me' response:	are similar, right?
context: but, the person you'll love most isn't me.\You love your father a lot, right?\Yes.\And me?\I love you'\Those feelings are the same, right?\The way you love your father, and what you feel for me'\are similar, right? response:	They are'
context: You love your father a lot, right?\Yes.\And me?\I love you'\Those feelings are the same, right?\The way you love your father, and what you feel for me'\are similar, right?\They are' response:	I'm like him very much.
context: Yes.\And me?\I love you'\Those feelings are the same, right?\The way you love your father, and what you feel for me'\are similar, right?\They are'\I'm like him very much. response:	Since you're so young, you're confused about it a bit.
context: And me?\I love you'\Those feelings are the same, right?\The way you love your father, and what you feel for me'\are similar, right?\They are'\I'm like him very much.\Since you're so young, you're confused about it a bit. response:	Yes.
context: I love you'\Those feelings are the same, right?\The way you love your father, and what you feel for me'\are similar, right?\They are'\I'm like him very much.\Since you're so young, you're confused about it a bit.\Yes. response:	You knew the whole time?
context: Those feelings are the same, right?\The way you love your father, and what you feel for me'\are similar, right?\They are'\I'm like him very much.\Since you're so young, you're confused about it a bit.\Yes.\You knew the whole time? response:	Yes. I was glad you considered me
context: The way you love your father, and what you feel for me'\are similar, right?\They are'\I'm like him very much.\Since you're so young, you're confused about it a bit.\Yes.\You knew the whole time?\Yes. I was glad you considered me response:	a part of your family.
context: are similar, right?\They are'\I'm like him very much.\Since you're so young, you're confused about it a bit.\Yes.\You knew the whole time?\Yes. I was glad you considered me\a part of your family. response:	There's someone you love, isn't there?
context: They are'\I'm like him very much.\Since you're so young, you're confused about it a bit.\Yes.\You knew the whole time?\Yes. I was glad you considered me\a part of your family.\There's someone you love, isn't there? response:	Yes, there is'
context: I'm like him very much.\Since you're so young, you're confused about it a bit.\Yes.\You knew the whole time?\Yes. I was glad you considered me\a part of your family.\There's someone you love, isn't there?\Yes, there is' response:	It's Oniichan, right?
context: Since you're so young, you're confused about it a bit.\Yes.\You knew the whole time?\Yes. I was glad you considered me\a part of your family.\There's someone you love, isn't there?\Yes, there is'\It's Oniichan, right? response:	Yes, it's him.
context: Yes.\You knew the whole time?\Yes. I was glad you considered me\a part of your family.\There's someone you love, isn't there?\Yes, there is'\It's Oniichan, right?\Yes, it's him. response:	I'm not sure what I'd do without him.
context: You knew the whole time?\Yes. I was glad you considered me\a part of your family.\There's someone you love, isn't there?\Yes, there is'\It's Oniichan, right?\Yes, it's him.\I'm not sure what I'd do without him. response:	Oniichan seems mean sometimes,
context: Yes. I was glad you considered me\a part of your family.\There's someone you love, isn't there?\Yes, there is'\It's Oniichan, right?\Yes, it's him.\I'm not sure what I'd do without him.\Oniichan seems mean sometimes, response:	but he's really very nice.
context: a part of your family.\There's someone you love, isn't there?\Yes, there is'\It's Oniichan, right?\Yes, it's him.\I'm not sure what I'd do without him.\Oniichan seems mean sometimes,\but he's really very nice. response:	Yes. He likes to tease me.
context: There's someone you love, isn't there?\Yes, there is'\It's Oniichan, right?\Yes, it's him.\I'm not sure what I'd do without him.\Oniichan seems mean sometimes,\but he's really very nice.\Yes. He likes to tease me. response:	Yea. But, even though I love him, I don't know how he feels'
context: Yes, there is'\It's Oniichan, right?\Yes, it's him.\I'm not sure what I'd do without him.\Oniichan seems mean sometimes,\but he's really very nice.\Yes. He likes to tease me.\Yea. But, even though I love him, I don't know how he feels' response:	I'm sure he feels the same way!
context: It's Oniichan, right?\Yes, it's him.\I'm not sure what I'd do without him.\Oniichan seems mean sometimes,\but he's really very nice.\Yes. He likes to tease me.\Yea. But, even though I love him, I don't know how he feels'\I'm sure he feels the same way! response:	That's why he gave Yue his power.
context: Yes, it's him.\I'm not sure what I'd do without him.\Oniichan seems mean sometimes,\but he's really very nice.\Yes. He likes to tease me.\Yea. But, even though I love him, I don't know how he feels'\I'm sure he feels the same way!\That's why he gave Yue his power. response:	Anyway, he must love you
context: I'm not sure what I'd do without him.\Oniichan seems mean sometimes,\but he's really very nice.\Yes. He likes to tease me.\Yea. But, even though I love him, I don't know how he feels'\I'm sure he feels the same way!\That's why he gave Yue his power.\Anyway, he must love you response:	at least as much as I do!
context: Oniichan seems mean sometimes,\but he's really very nice.\Yes. He likes to tease me.\Yea. But, even though I love him, I don't know how he feels'\I'm sure he feels the same way!\That's why he gave Yue his power.\Anyway, he must love you\at least as much as I do! response:	Sakura-chan'
