context: We went on a camping trip to the sea. response:	I swam a lot and it was very fun.
context: I wanted to go too.\What is this? July,today is'\July?\Today is August, isn't it?\Yeah.\You are writing about previous months now?\Yeah.\Isn't a diary something that you write in every day? response:	I was busy with other things.
context: What is this? July,today is'\July?\Today is August, isn't it?\Yeah.\You are writing about previous months now?\Yeah.\Isn't a diary something that you write in every day?\I was busy with other things. response:	I finished my free research.
context: July?\Today is August, isn't it?\Yeah.\You are writing about previous months now?\Yeah.\Isn't a diary something that you write in every day?\I was busy with other things.\I finished my free research. response:	So then your homework is finished?
context: Today is August, isn't it?\Yeah.\You are writing about previous months now?\Yeah.\Isn't a diary something that you write in every day?\I was busy with other things.\I finished my free research.\So then your homework is finished? response:	It isn't finished?
context: Yeah.\You are writing about previous months now?\Yeah.\Isn't a diary something that you write in every day?\I was busy with other things.\I finished my free research.\So then your homework is finished?\It isn't finished? response:	Still a bit left.
context: You are writing about previous months now?\Yeah.\Isn't a diary something that you write in every day?\I was busy with other things.\I finished my free research.\So then your homework is finished?\It isn't finished?\Still a bit left. response:	What is left?
context: Yeah.\Isn't a diary something that you write in every day?\I was busy with other things.\I finished my free research.\So then your homework is finished?\It isn't finished?\Still a bit left.\What is left? response:	Umm' the math drills, picture diary,
context: Isn't a diary something that you write in every day?\I was busy with other things.\I finished my free research.\So then your homework is finished?\It isn't finished?\Still a bit left.\What is left?\Umm' the math drills, picture diary, response:	construction project, and the book report.
context: I was busy with other things.\I finished my free research.\So then your homework is finished?\It isn't finished?\Still a bit left.\What is left?\Umm' the math drills, picture diary,\construction project, and the book report. response:	You have that much left?
context: I finished my free research.\So then your homework is finished?\It isn't finished?\Still a bit left.\What is left?\Umm' the math drills, picture diary,\construction project, and the book report.\You have that much left? response:	We have too much homework.
context: So then your homework is finished?\It isn't finished?\Still a bit left.\What is left?\Umm' the math drills, picture diary,\construction project, and the book report.\You have that much left?\We have too much homework. response:	Hey, hey'
context: It isn't finished?\Still a bit left.\What is left?\Umm' the math drills, picture diary,\construction project, and the book report.\You have that much left?\We have too much homework.\Hey, hey' response:	But I wrote this much in thirty minutes.
context: Still a bit left.\What is left?\Umm' the math drills, picture diary,\construction project, and the book report.\You have that much left?\We have too much homework.\Hey, hey'\But I wrote this much in thirty minutes. response:	You don't have the weather written.
context: What is left?\Umm' the math drills, picture diary,\construction project, and the book report.\You have that much left?\We have too much homework.\Hey, hey'\But I wrote this much in thirty minutes.\You don't have the weather written. response:	That's fine, it is all written in old newspapers.
context: Umm' the math drills, picture diary,\construction project, and the book report.\You have that much left?\We have too much homework.\Hey, hey'\But I wrote this much in thirty minutes.\You don't have the weather written.\That's fine, it is all written in old newspapers. response:	Hmm, you seem experienced.
context: construction project, and the book report.\You have that much left?\We have too much homework.\Hey, hey'\But I wrote this much in thirty minutes.\You don't have the weather written.\That's fine, it is all written in old newspapers.\Hmm, you seem experienced. response:	Sorta.
context: You have that much left?\We have too much homework.\Hey, hey'\But I wrote this much in thirty minutes.\You don't have the weather written.\That's fine, it is all written in old newspapers.\Hmm, you seem experienced.\Sorta. response:	Is that something to be proud of?
context: We have too much homework.\Hey, hey'\But I wrote this much in thirty minutes.\You don't have the weather written.\That's fine, it is all written in old newspapers.\Hmm, you seem experienced.\Sorta.\Is that something to be proud of? response:	We're now visiting Mt. Kumaya.
context: Hey, hey'\But I wrote this much in thirty minutes.\You don't have the weather written.\That's fine, it is all written in old newspapers.\Hmm, you seem experienced.\Sorta.\Is that something to be proud of?\We're now visiting Mt. Kumaya. response:	Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.
context: But I wrote this much in thirty minutes.\You don't have the weather written.\That's fine, it is all written in old newspapers.\Hmm, you seem experienced.\Sorta.\Is that something to be proud of?\We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind. response:	This looks very good.
context: You don't have the weather written.\That's fine, it is all written in old newspapers.\Hmm, you seem experienced.\Sorta.\Is that something to be proud of?\We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good. response:	All right, now I just have the weather left to do.
context: That's fine, it is all written in old newspapers.\Hmm, you seem experienced.\Sorta.\Is that something to be proud of?\We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good.\All right, now I just have the weather left to do. response:	Newspaper. Newspaper.
context: Hmm, you seem experienced.\Sorta.\Is that something to be proud of?\We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good.\All right, now I just have the weather left to do.\Newspaper. Newspaper. response:	Eh!
context: Sorta.\Is that something to be proud of?\We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good.\All right, now I just have the weather left to do.\Newspaper. Newspaper.\Eh! response:	Dad, do you know where the old newspapers are?
context: Is that something to be proud of?\We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good.\All right, now I just have the weather left to do.\Newspaper. Newspaper.\Eh!\Dad, do you know where the old newspapers are? response:	I got rid of them this morning.
context: We're now visiting Mt. Kumaya.\Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good.\All right, now I just have the weather left to do.\Newspaper. Newspaper.\Eh!\Dad, do you know where the old newspapers are?\I got rid of them this morning. response:	What should I do?
context: Hello sir, as we speak of Kumaya, their specialty of sweet bean jelly comes to mind.\This looks very good.\All right, now I just have the weather left to do.\Newspaper. Newspaper.\Eh!\Dad, do you know where the old newspapers are?\I got rid of them this morning.\What should I do? response:	What did you want to see?
context: This looks very good.\All right, now I just have the weather left to do.\Newspaper. Newspaper.\Eh!\Dad, do you know where the old newspapers are?\I got rid of them this morning.\What should I do?\What did you want to see? response:	The weather over summer vacation.
context: All right, now I just have the weather left to do.\Newspaper. Newspaper.\Eh!\Dad, do you know where the old newspapers are?\I got rid of them this morning.\What should I do?\What did you want to see?\The weather over summer vacation. response:	Will this do?
context: Newspaper. Newspaper.\Eh!\Dad, do you know where the old newspapers are?\I got rid of them this morning.\What should I do?\What did you want to see?\The weather over summer vacation.\Will this do? response:	Eh?
context: Eh!\Dad, do you know where the old newspapers are?\I got rid of them this morning.\What should I do?\What did you want to see?\The weather over summer vacation.\Will this do?\Eh? response:	I need it for my research. I have couple months worth.
context: Dad, do you know where the old newspapers are?\I got rid of them this morning.\What should I do?\What did you want to see?\The weather over summer vacation.\Will this do?\Eh?\I need it for my research. I have couple months worth. response:	Here.
context: I got rid of them this morning.\What should I do?\What did you want to see?\The weather over summer vacation.\Will this do?\Eh?\I need it for my research. I have couple months worth.\Here. response:	I don't have the pressure readings, so I wonder if it will do?
context: What should I do?\What did you want to see?\The weather over summer vacation.\Will this do?\Eh?\I need it for my research. I have couple months worth.\Here.\I don't have the pressure readings, so I wonder if it will do? response:	Yeah! Thanks Dad.
context: What did you want to see?\The weather over summer vacation.\Will this do?\Eh?\I need it for my research. I have couple months worth.\Here.\I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad. response:	August 30th, clear.
context: The weather over summer vacation.\Will this do?\Eh?\I need it for my research. I have couple months worth.\Here.\I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad.\August 30th, clear. response:	Next is the math drills.
context: Will this do?\Eh?\I need it for my research. I have couple months worth.\Here.\I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad.\August 30th, clear.\Next is the math drills. response:	Huh? Where are my drills?
context: Eh?\I need it for my research. I have couple months worth.\Here.\I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad.\August 30th, clear.\Next is the math drills.\Huh? Where are my drills? response:	What?
context: I need it for my research. I have couple months worth.\Here.\I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad.\August 30th, clear.\Next is the math drills.\Huh? Where are my drills?\What? response:	Fourth graders are doing such easy problems?
context: Here.\I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad.\August 30th, clear.\Next is the math drills.\Huh? Where are my drills?\What?\Fourth graders are doing such easy problems? response:	They are pretty hard.
context: I don't have the pressure readings, so I wonder if it will do?\Yeah! Thanks Dad.\August 30th, clear.\Next is the math drills.\Huh? Where are my drills?\What?\Fourth graders are doing such easy problems?\They are pretty hard. response:	Well then I can do them for you.
context: Yeah! Thanks Dad.\August 30th, clear.\Next is the math drills.\Huh? Where are my drills?\What?\Fourth graders are doing such easy problems?\They are pretty hard.\Well then I can do them for you. response:	Eh?
context: August 30th, clear.\Next is the math drills.\Huh? Where are my drills?\What?\Fourth graders are doing such easy problems?\They are pretty hard.\Well then I can do them for you.\Eh? response:	Well, if my conditions are met.
context: Next is the math drills.\Huh? Where are my drills?\What?\Fourth graders are doing such easy problems?\They are pretty hard.\Well then I can do them for you.\Eh?\Well, if my conditions are met. response:	What? What?
context: Huh? Where are my drills?\What?\Fourth graders are doing such easy problems?\They are pretty hard.\Well then I can do them for you.\Eh?\Well, if my conditions are met.\What? What? response:	Sweet bean jelly from Kumaya he says.
context: What?\Fourth graders are doing such easy problems?\They are pretty hard.\Well then I can do them for you.\Eh?\Well, if my conditions are met.\What? What?\Sweet bean jelly from Kumaya he says. response:	Kero-chan really does like sweets.
context: Fourth graders are doing such easy problems?\They are pretty hard.\Well then I can do them for you.\Eh?\Well, if my conditions are met.\What? What?\Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets. response:	It's not my fault if he gets fat.
context: They are pretty hard.\Well then I can do them for you.\Eh?\Well, if my conditions are met.\What? What?\Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets.\It's not my fault if he gets fat. response:	What are you doing?
context: Well then I can do them for you.\Eh?\Well, if my conditions are met.\What? What?\Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets.\It's not my fault if he gets fat.\What are you doing? response:	Yukito-san!
context: Eh?\Well, if my conditions are met.\What? What?\Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets.\It's not my fault if he gets fat.\What are you doing?\Yukito-san! response:	The annual summer tradition of our house.
context: Well, if my conditions are met.\What? What?\Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets.\It's not my fault if he gets fat.\What are you doing?\Yukito-san!\The annual summer tradition of our house. response:	Tradition?
context: What? What?\Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets.\It's not my fault if he gets fat.\What are you doing?\Yukito-san!\The annual summer tradition of our house.\Tradition? response:	She always is running around on the 31st
context: Sweet bean jelly from Kumaya he says.\Kero-chan really does like sweets.\It's not my fault if he gets fat.\What are you doing?\Yukito-san!\The annual summer tradition of our house.\Tradition?\She always is running around on the 31st response:	because she hasn't finished her summer homework.
context: Kero-chan really does like sweets.\It's not my fault if he gets fat.\What are you doing?\Yukito-san!\The annual summer tradition of our house.\Tradition?\She always is running around on the 31st\because she hasn't finished her summer homework. response:	Big brother!
context: It's not my fault if he gets fat.\What are you doing?\Yukito-san!\The annual summer tradition of our house.\Tradition?\She always is running around on the 31st\because she hasn't finished her summer homework.\Big brother! response:	Is this a construction project?
context: What are you doing?\Yukito-san!\The annual summer tradition of our house.\Tradition?\She always is running around on the 31st\because she hasn't finished her summer homework.\Big brother!\Is this a construction project? response:	Yes.
context: Yukito-san!\The annual summer tradition of our house.\Tradition?\She always is running around on the 31st\because she hasn't finished her summer homework.\Big brother!\Is this a construction project?\Yes. response:	Last year was a paper made savings box wasn't it?
context: The annual summer tradition of our house.\Tradition?\She always is running around on the 31st\because she hasn't finished her summer homework.\Big brother!\Is this a construction project?\Yes.\Last year was a paper made savings box wasn't it? response:	In the shape of a penguin.
context: Tradition?\She always is running around on the 31st\because she hasn't finished her summer homework.\Big brother!\Is this a construction project?\Yes.\Last year was a paper made savings box wasn't it?\In the shape of a penguin. response:	But unusable.
context: She always is running around on the 31st\because she hasn't finished her summer homework.\Big brother!\Is this a construction project?\Yes.\Last year was a paper made savings box wasn't it?\In the shape of a penguin.\But unusable. response:	Why couldn't you use it?
context: because she hasn't finished her summer homework.\Big brother!\Is this a construction project?\Yes.\Last year was a paper made savings box wasn't it?\In the shape of a penguin.\But unusable.\Why couldn't you use it? response:	There was no place to put in the money.
context: Big brother!\Is this a construction project?\Yes.\Last year was a paper made savings box wasn't it?\In the shape of a penguin.\But unusable.\Why couldn't you use it?\There was no place to put in the money. response:	What is it this year?
context: Is this a construction project?\Yes.\Last year was a paper made savings box wasn't it?\In the shape of a penguin.\But unusable.\Why couldn't you use it?\There was no place to put in the money.\What is it this year? response:	A bird house, right?
context: Yes.\Last year was a paper made savings box wasn't it?\In the shape of a penguin.\But unusable.\Why couldn't you use it?\There was no place to put in the money.\What is it this year?\A bird house, right? response:	Yes.
context: Last year was a paper made savings box wasn't it?\In the shape of a penguin.\But unusable.\Why couldn't you use it?\There was no place to put in the money.\What is it this year?\A bird house, right?\Yes. response:	I bet this time there is no entrance.
context: In the shape of a penguin.\But unusable.\Why couldn't you use it?\There was no place to put in the money.\What is it this year?\A bird house, right?\Yes.\I bet this time there is no entrance. response:	There is none!
context: But unusable.\Why couldn't you use it?\There was no place to put in the money.\What is it this year?\A bird house, right?\Yes.\I bet this time there is no entrance.\There is none! response:	You really forgot it?
context: Why couldn't you use it?\There was no place to put in the money.\What is it this year?\A bird house, right?\Yes.\I bet this time there is no entrance.\There is none!\You really forgot it? response:	I'm not good at these sort of things.
context: There was no place to put in the money.\What is it this year?\A bird house, right?\Yes.\I bet this time there is no entrance.\There is none!\You really forgot it?\I'm not good at these sort of things. response:	Shall I do it for you?
context: What is it this year?\A bird house, right?\Yes.\I bet this time there is no entrance.\There is none!\You really forgot it?\I'm not good at these sort of things.\Shall I do it for you? response:	What?
context: A bird house, right?\Yes.\I bet this time there is no entrance.\There is none!\You really forgot it?\I'm not good at these sort of things.\Shall I do it for you?\What? response:	Five of my chores.
context: Yes.\I bet this time there is no entrance.\There is none!\You really forgot it?\I'm not good at these sort of things.\Shall I do it for you?\What?\Five of my chores. response:	Did you finish the homework?
context: I bet this time there is no entrance.\There is none!\You really forgot it?\I'm not good at these sort of things.\Shall I do it for you?\What?\Five of my chores.\Did you finish the homework? response:	Not quite yet.
context: There is none!\You really forgot it?\I'm not good at these sort of things.\Shall I do it for you?\What?\Five of my chores.\Did you finish the homework?\Not quite yet. response:	I haven't yet either.
context: You really forgot it?\I'm not good at these sort of things.\Shall I do it for you?\What?\Five of my chores.\Did you finish the homework?\Not quite yet.\I haven't yet either. response:	You haven't.
context: I'm not good at these sort of things.\Shall I do it for you?\What?\Five of my chores.\Did you finish the homework?\Not quite yet.\I haven't yet either.\You haven't. response:	Yes, I have the math drills left, what about you?
context: Shall I do it for you?\What?\Five of my chores.\Did you finish the homework?\Not quite yet.\I haven't yet either.\You haven't.\Yes, I have the math drills left, what about you? response:	I haven't decided on a book for the book report.
context: What?\Five of my chores.\Did you finish the homework?\Not quite yet.\I haven't yet either.\You haven't.\Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report. response:	Then do you want to go to the library together?
context: Five of my chores.\Did you finish the homework?\Not quite yet.\I haven't yet either.\You haven't.\Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report.\Then do you want to go to the library together? response:	Sure.
context: Did you finish the homework?\Not quite yet.\I haven't yet either.\You haven't.\Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report.\Then do you want to go to the library together?\Sure. response:	Well then, let's meet at the bridge in the penguin park.
context: Not quite yet.\I haven't yet either.\You haven't.\Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report.\Then do you want to go to the library together?\Sure.\Well then, let's meet at the bridge in the penguin park. response:	OK.
context: I haven't yet either.\You haven't.\Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report.\Then do you want to go to the library together?\Sure.\Well then, let's meet at the bridge in the penguin park.\OK. response:	Tomoyo-chan!
context: You haven't.\Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report.\Then do you want to go to the library together?\Sure.\Well then, let's meet at the bridge in the penguin park.\OK.\Tomoyo-chan! response:	Let's go.
context: Yes, I have the math drills left, what about you?\I haven't decided on a book for the book report.\Then do you want to go to the library together?\Sure.\Well then, let's meet at the bridge in the penguin park.\OK.\Tomoyo-chan!\Let's go. response:	The pool is closing today.
context: I haven't decided on a book for the book report.\Then do you want to go to the library together?\Sure.\Well then, let's meet at the bridge in the penguin park.\OK.\Tomoyo-chan!\Let's go.\The pool is closing today. response:	Summer is just about over.
context: Then do you want to go to the library together?\Sure.\Well then, let's meet at the bridge in the penguin park.\OK.\Tomoyo-chan!\Let's go.\The pool is closing today.\Summer is just about over. response:	Do you want to go play now?
context: Sure.\Well then, let's meet at the bridge in the penguin park.\OK.\Tomoyo-chan!\Let's go.\The pool is closing today.\Summer is just about over.\Do you want to go play now? response:	No!
context: Well then, let's meet at the bridge in the penguin park.\OK.\Tomoyo-chan!\Let's go.\The pool is closing today.\Summer is just about over.\Do you want to go play now?\No! response:	Tomoyo-chan, let's hurry.
context: OK.\Tomoyo-chan!\Let's go.\The pool is closing today.\Summer is just about over.\Do you want to go play now?\No!\Tomoyo-chan, let's hurry. response:	There are so many.
context: Tomoyo-chan!\Let's go.\The pool is closing today.\Summer is just about over.\Do you want to go play now?\No!\Tomoyo-chan, let's hurry.\There are so many. response:	It wasn't only our class that had a lot of homework.
context: Let's go.\The pool is closing today.\Summer is just about over.\Do you want to go play now?\No!\Tomoyo-chan, let's hurry.\There are so many.\It wasn't only our class that had a lot of homework. response:	How about over here?
context: The pool is closing today.\Summer is just about over.\Do you want to go play now?\No!\Tomoyo-chan, let's hurry.\There are so many.\It wasn't only our class that had a lot of homework.\How about over here? response:	Forget it.
context: Summer is just about over.\Do you want to go play now?\No!\Tomoyo-chan, let's hurry.\There are so many.\It wasn't only our class that had a lot of homework.\How about over here?\Forget it. response:	Today is an unlucky day.
context: Do you want to go play now?\No!\Tomoyo-chan, let's hurry.\There are so many.\It wasn't only our class that had a lot of homework.\How about over here?\Forget it.\Today is an unlucky day. response:	But this is the only place open.
context: No!\Tomoyo-chan, let's hurry.\There are so many.\It wasn't only our class that had a lot of homework.\How about over here?\Forget it.\Today is an unlucky day.\But this is the only place open. response:	In this morning's fortune it said that
context: Tomoyo-chan, let's hurry.\There are so many.\It wasn't only our class that had a lot of homework.\How about over here?\Forget it.\Today is an unlucky day.\But this is the only place open.\In this morning's fortune it said that response:	dealing with females will bring chaos.
context: There are so many.\It wasn't only our class that had a lot of homework.\How about over here?\Forget it.\Today is an unlucky day.\But this is the only place open.\In this morning's fortune it said that\dealing with females will bring chaos. response:	Chaos?
context: It wasn't only our class that had a lot of homework.\How about over here?\Forget it.\Today is an unlucky day.\But this is the only place open.\In this morning's fortune it said that\dealing with females will bring chaos.\Chaos? response:	Done.
context: How about over here?\Forget it.\Today is an unlucky day.\But this is the only place open.\In this morning's fortune it said that\dealing with females will bring chaos.\Chaos?\Done. response:	I am finished too.
context: Forget it.\Today is an unlucky day.\But this is the only place open.\In this morning's fortune it said that\dealing with females will bring chaos.\Chaos?\Done.\I am finished too. response:	I did half
context: Today is an unlucky day.\But this is the only place open.\In this morning's fortune it said that\dealing with females will bring chaos.\Chaos?\Done.\I am finished too.\I did half response:	of Sakura's drills.
context: But this is the only place open.\In this morning's fortune it said that\dealing with females will bring chaos.\Chaos?\Done.\I am finished too.\I did half\of Sakura's drills. response:	Thank you.
context: In this morning's fortune it said that\dealing with females will bring chaos.\Chaos?\Done.\I am finished too.\I did half\of Sakura's drills.\Thank you. response:	Which means the bean jam.
context: dealing with females will bring chaos.\Chaos?\Done.\I am finished too.\I did half\of Sakura's drills.\Thank you.\Which means the bean jam. response:	I'll buy it tomorrow.
context: Chaos?\Done.\I am finished too.\I did half\of Sakura's drills.\Thank you.\Which means the bean jam.\I'll buy it tomorrow. response:	Shall we check our answers off each other?
context: Done.\I am finished too.\I did half\of Sakura's drills.\Thank you.\Which means the bean jam.\I'll buy it tomorrow.\Shall we check our answers off each other? response:	Yeah.
context: I am finished too.\I did half\of Sakura's drills.\Thank you.\Which means the bean jam.\I'll buy it tomorrow.\Shall we check our answers off each other?\Yeah. response:	There is no need to check the first half that I did.
context: I did half\of Sakura's drills.\Thank you.\Which means the bean jam.\I'll buy it tomorrow.\Shall we check our answers off each other?\Yeah.\There is no need to check the first half that I did. response:	It is perfect.
context: of Sakura's drills.\Thank you.\Which means the bean jam.\I'll buy it tomorrow.\Shall we check our answers off each other?\Yeah.\There is no need to check the first half that I did.\It is perfect. response:	The answer to the first question is'
context: Thank you.\Which means the bean jam.\I'll buy it tomorrow.\Shall we check our answers off each other?\Yeah.\There is no need to check the first half that I did.\It is perfect.\The answer to the first question is' response:	One thousand yen Three hundred fifty yen.
context: Which means the bean jam.\I'll buy it tomorrow.\Shall we check our answers off each other?\Yeah.\There is no need to check the first half that I did.\It is perfect.\The answer to the first question is'\One thousand yen Three hundred fifty yen. response:	Tomoyo, you can't get
context: I'll buy it tomorrow.\Shall we check our answers off each other?\Yeah.\There is no need to check the first half that I did.\It is perfect.\The answer to the first question is'\One thousand yen Three hundred fifty yen.\Tomoyo, you can't get response:	such an easy question wrong.
context: Shall we check our answers off each other?\Yeah.\There is no need to check the first half that I did.\It is perfect.\The answer to the first question is'\One thousand yen Three hundred fifty yen.\Tomoyo, you can't get\such an easy question wrong. response:	Let's see, you purchase 5 pencils at 70 yen,
context: Yeah.\There is no need to check the first half that I did.\It is perfect.\The answer to the first question is'\One thousand yen Three hundred fifty yen.\Tomoyo, you can't get\such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen, response:	this is 350 yen isn't it?
context: There is no need to check the first half that I did.\It is perfect.\The answer to the first question is'\One thousand yen Three hundred fifty yen.\Tomoyo, you can't get\such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it? response:	That's why you pay 1000 yen and get change.
context: It is perfect.\The answer to the first question is'\One thousand yen Three hundred fifty yen.\Tomoyo, you can't get\such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it?\That's why you pay 1000 yen and get change. response:	I don't know.
context: The answer to the first question is'\One thousand yen Three hundred fifty yen.\Tomoyo, you can't get\such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it?\That's why you pay 1000 yen and get change.\I don't know. response:	How ya doin? I like modayaki.
context: One thousand yen Three hundred fifty yen.\Tomoyo, you can't get\such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it?\That's why you pay 1000 yen and get change.\I don't know.\How ya doin? I like modayaki. response:	What is this?
context: Tomoyo, you can't get\such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it?\That's why you pay 1000 yen and get change.\I don't know.\How ya doin? I like modayaki.\What is this? response:	What's wrong?
context: such an easy question wrong.\Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it?\That's why you pay 1000 yen and get change.\I don't know.\How ya doin? I like modayaki.\What is this?\What's wrong? response:	No bean jam.
context: Let's see, you purchase 5 pencils at 70 yen,\this is 350 yen isn't it?\That's why you pay 1000 yen and get change.\I don't know.\How ya doin? I like modayaki.\What is this?\What's wrong?\No bean jam. response:	Why?!
context: this is 350 yen isn't it?\That's why you pay 1000 yen and get change.\I don't know.\How ya doin? I like modayaki.\What is this?\What's wrong?\No bean jam.\Why?! response:	The appointed book
context: That's why you pay 1000 yen and get change.\I don't know.\How ya doin? I like modayaki.\What is this?\What's wrong?\No bean jam.\Why?!\The appointed book response:	The thinnest book of the ones we could read was Little Pig Story, right?
context: I don't know.\How ya doin? I like modayaki.\What is this?\What's wrong?\No bean jam.\Why?!\The appointed book\The thinnest book of the ones we could read was Little Pig Story, right? response:	Did you also read Little Pig Story?
context: How ya doin? I like modayaki.\What is this?\What's wrong?\No bean jam.\Why?!\The appointed book\The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story? response:	No, I chose a different book.
context: What is this?\What's wrong?\No bean jam.\Why?!\The appointed book\The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story?\No, I chose a different book. response:	Was it interesting?
context: What's wrong?\No bean jam.\Why?!\The appointed book\The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story?\No, I chose a different book.\Was it interesting? response:	Yes, very much.
context: No bean jam.\Why?!\The appointed book\The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story?\No, I chose a different book.\Was it interesting?\Yes, very much. response:	Maybe I will do that one. What was the title?
context: Why?!\The appointed book\The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story?\No, I chose a different book.\Was it interesting?\Yes, very much.\Maybe I will do that one. What was the title? response:	This one.
context: The appointed book\The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story?\No, I chose a different book.\Was it interesting?\Yes, very much.\Maybe I will do that one. What was the title?\This one. response:	T' This one?
context: The thinnest book of the ones we could read was Little Pig Story, right?\Did you also read Little Pig Story?\No, I chose a different book.\Was it interesting?\Yes, very much.\Maybe I will do that one. What was the title?\This one.\T' This one? response:	I guess I will read the Little Pig after all.
context: Did you also read Little Pig Story?\No, I chose a different book.\Was it interesting?\Yes, very much.\Maybe I will do that one. What was the title?\This one.\T' This one?\I guess I will read the Little Pig after all. response:	Eh?
context: No, I chose a different book.\Was it interesting?\Yes, very much.\Maybe I will do that one. What was the title?\This one.\T' This one?\I guess I will read the Little Pig after all.\Eh? response:	Oh, four copies are taken out right now.
