context: Beyond these doors is the chamber of the Divine Assembly, response:	Miss Human God.
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	You.
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\You. response:	He's the War God.
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\You.\He's the War God. response:	Why have you come? I thought I told you to get lost.
context: Hey, God,\I'm your god\I'm your god\I think\I think\You.\He's the War God.\Why have you come? I thought I told you to get lost. response:	Oh, crap! Scary god alert!
context: I'm your god\I'm your god\I think\I think\You.\He's the War God.\Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert! response:	So speak your mind proudly as a participant of the Divine Assembly.
context: I'm your god\I think\I think\You.\He's the War God.\Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly. response:	No.
context: I think\I think\You.\He's the War God.\Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly.\No. response:	I will not leave!
context: I think\You.\He's the War God.\Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly.\No.\I will not leave! response:	Because I am part of the Divine Assembly too!
context: You.\He's the War God.\Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly.\No.\I will not leave!\Because I am part of the Divine Assembly too! response:	Are those your final words?!
context: He's the War God.\Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly.\No.\I will not leave!\Because I am part of the Divine Assembly too!\Are those your final words?! response:	Stop that at once!
context: Why have you come? I thought I told you to get lost.\Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly.\No.\I will not leave!\Because I am part of the Divine Assembly too!\Are those your final words?!\Stop that at once! response:	You are so quick to draw your blade.
context: Oh, crap! Scary god alert!\So speak your mind proudly as a participant of the Divine Assembly.\No.\I will not leave!\Because I am part of the Divine Assembly too!\Are those your final words?!\Stop that at once!\You are so quick to draw your blade. response:	You're as hotheaded as ever, aren't you?
context: So speak your mind proudly as a participant of the Divine Assembly.\No.\I will not leave!\Because I am part of the Divine Assembly too!\Are those your final words?!\Stop that at once!\You are so quick to draw your blade.\You're as hotheaded as ever, aren't you? response:	Otohiko!
context: No.\I will not leave!\Because I am part of the Divine Assembly too!\Are those your final words?!\Stop that at once!\You are so quick to draw your blade.\You're as hotheaded as ever, aren't you?\Otohiko! response:	Nanami, I've been so worried about you!
context: I will not leave!\Because I am part of the Divine Assembly too!\Are those your final words?!\Stop that at once!\You are so quick to draw your blade.\You're as hotheaded as ever, aren't you?\Otohiko!\Nanami, I've been so worried about you! response:	Mizuki!
context: Because I am part of the Divine Assembly too!\Are those your final words?!\Stop that at once!\You are so quick to draw your blade.\You're as hotheaded as ever, aren't you?\Otohiko!\Nanami, I've been so worried about you!\Mizuki! response:	Was it you who invited her?! She does not belong here!
context: Are those your final words?!\Stop that at once!\You are so quick to draw your blade.\You're as hotheaded as ever, aren't you?\Otohiko!\Nanami, I've been so worried about you!\Mizuki!\Was it you who invited her?! She does not belong here! response:	A drab thing like her? As if!
context: Stop that at once!\You are so quick to draw your blade.\You're as hotheaded as ever, aren't you?\Otohiko!\Nanami, I've been so worried about you!\Mizuki!\Was it you who invited her?! She does not belong here!\A drab thing like her? As if! response:	Then who invited her?!
context: You are so quick to draw your blade.\You're as hotheaded as ever, aren't you?\Otohiko!\Nanami, I've been so worried about you!\Mizuki!\Was it you who invited her?! She does not belong here!\A drab thing like her? As if!\Then who invited her?! response:	I did, of course.
context: You're as hotheaded as ever, aren't you?\Otohiko!\Nanami, I've been so worried about you!\Mizuki!\Was it you who invited her?! She does not belong here!\A drab thing like her? As if!\Then who invited her?!\I did, of course. response:	What?
context: Otohiko!\Nanami, I've been so worried about you!\Mizuki!\Was it you who invited her?! She does not belong here!\A drab thing like her? As if!\Then who invited her?!\I did, of course.\What? response:	Squee! Lord Ookuninushi!
context: Nanami, I've been so worried about you!\Mizuki!\Was it you who invited her?! She does not belong here!\A drab thing like her? As if!\Then who invited her?!\I did, of course.\What?\Squee! Lord Ookuninushi! response:	He's the lord and master of the Grand Shrine and the host of the Divine Assembly.
context: Mizuki!\Was it you who invited her?! She does not belong here!\A drab thing like her? As if!\Then who invited her?!\I did, of course.\What?\Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly. response:	Lord Ookuninushi, I hope that I find you in excellent health.
context: Was it you who invited her?! She does not belong here!\A drab thing like her? As if!\Then who invited her?!\I did, of course.\What?\Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health. response:	Hello, Otohiko. Beautiful as ever, I see.
context: A drab thing like her? As if!\Then who invited her?!\I did, of course.\What?\Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see. response:	It is rare for you to make an appearance so early in the assembly.
context: Then who invited her?!\I did, of course.\What?\Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly. response:	A situation developed recently that has need of an urgent resolution.
context: I did, of course.\What?\Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution. response:	Nanami, dear.
context: What?\Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution.\Nanami, dear. response:	What?
context: Squee! Lord Ookuninushi!\He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution.\Nanami, dear.\What? response:	Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.
context: He's the lord and master of the Grand Shrine and the host of the Divine Assembly.\Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution.\Nanami, dear.\What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka. response:	What's Yomotsu Hirasaka?
context: Lord Ookuninushi, I hope that I find you in excellent health.\Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution.\Nanami, dear.\What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka? response:	The God Falls into the Netherworld
context: Hello, Otohiko. Beautiful as ever, I see.\It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution.\Nanami, dear.\What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka?\The God Falls into the Netherworld response:	Yomotsu Hirasaka is the entrance to the Netherworld.
context: It is rare for you to make an appearance so early in the assembly.\A situation developed recently that has need of an urgent resolution.\Nanami, dear.\What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka?\The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld. response:	Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,
context: A situation developed recently that has need of an urgent resolution.\Nanami, dear.\What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka?\The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border, response:	but he is currently here for the Divine Assembly.
context: Nanami, dear.\What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka?\The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly. response:	I'm drinking today, moo!
context: What?\Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka?\The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly.\I'm drinking today, moo! response:	Okay.
context: Before the Divine Assembly gets started, I want you to go to Yomotsu Hirasaka.\What's Yomotsu Hirasaka?\The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly.\I'm drinking today, moo!\Okay. response:	For all seven days of the Divine Assembly, the gates are undermanned.
context: What's Yomotsu Hirasaka?\The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly.\I'm drinking today, moo!\Okay.\For all seven days of the Divine Assembly, the gates are undermanned. response:	Every year, spirits and the like target this opportunity to try to break through the border.
context: The God Falls into the Netherworld\Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly.\I'm drinking today, moo!\Okay.\For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border. response:	They only have seven days, so the attempts generally end in failure,
context: Yomotsu Hirasaka is the entrance to the Netherworld.\Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly.\I'm drinking today, moo!\Okay.\For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure, response:	but there was apparently quite the ace among the spirits this year.
context: Ordinarily, there's a god who's in charge of guarding the gate and determining who's allowed to cross the border,\but he is currently here for the Divine Assembly.\I'm drinking today, moo!\Okay.\For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year. response:	What a terrible state of affairs!
context: but he is currently here for the Divine Assembly.\I'm drinking today, moo!\Okay.\For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs! response:	The gate once sealed since the dawn of creation has opened!
context: I'm drinking today, moo!\Okay.\For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened! response:	If we do not hurry, the filth of the Netherworld will sully the earth!
context: Okay.\For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth! response:	Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!
context: For all seven days of the Divine Assembly, the gates are undermanned.\Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld! response:	No one will go scout for me.
context: Every year, spirits and the like target this opportunity to try to break through the border.\They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me. response:	But now you have appeared with a pure gaze of an unfailing spirit.
context: They only have seven days, so the attempts generally end in failure,\but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit. response:	Surely, you can exorcise the filth of the Netherworld for me.
context: but there was apparently quite the ace among the spirits this year.\What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me. response:	Yeah, no problem.
context: What a terrible state of affairs!\The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem. response:	What? Seriously?
context: The gate once sealed since the dawn of creation has opened!\If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem.\What? Seriously? response:	In exchange, though, I have a request.
context: If we do not hurry, the filth of the Netherworld will sully the earth!\Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem.\What? Seriously?\In exchange, though, I have a request. response:	Yes, what is it?
context: Alas, gods are fond of cleanliness and generally dislike having anything to do with the Netherworld!\No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem.\What? Seriously?\In exchange, though, I have a request.\Yes, what is it? response:	I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.
context: No one will go scout for me.\But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem.\What? Seriously?\In exchange, though, I have a request.\Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine. response:	There's somebody who wants him to come back.
context: But now you have appeared with a pure gaze of an unfailing spirit.\Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem.\What? Seriously?\In exchange, though, I have a request.\Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back. response:	You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.
context: Surely, you can exorcise the filth of the Netherworld for me.\Yeah, no problem.\What? Seriously?\In exchange, though, I have a request.\Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding. response:	Without that mark, finding those who don't want to be found is no easy task, even for me.
context: Yeah, no problem.\What? Seriously?\In exchange, though, I have a request.\Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me. response:	But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.
context: What? Seriously?\In exchange, though, I have a request.\Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage. response:	Do we have a deal?
context: In exchange, though, I have a request.\Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.\Do we have a deal? response:	Yes, we do.
context: Yes, what is it?\I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.\Do we have a deal?\Yes, we do. response:	Then I shall assign a guide to you forthwith.
context: I want to know the whereabouts of Mikage, the true lord and master of Mikage Shrine.\There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.\Do we have a deal?\Yes, we do.\Then I shall assign a guide to you forthwith. response:	No!
context: There's somebody who wants him to come back.\You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.\Do we have a deal?\Yes, we do.\Then I shall assign a guide to you forthwith.\No! response:	Why me?!
context: You must understand that Mikage gave you his personal mark of godhood and has since gone into hiding.\Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.\Do we have a deal?\Yes, we do.\Then I shall assign a guide to you forthwith.\No!\Why me?! response:	He said it's punishment for being late.
context: Without that mark, finding those who don't want to be found is no easy task, even for me.\But if you promise to take care of the Yomotsu Hirasaka situation, then I will promise to look for Mikage.\Do we have a deal?\Yes, we do.\Then I shall assign a guide to you forthwith.\No!\Why me?!\He said it's punishment for being late. response:	You're being so cruel, Lord Ookuninushi!
