context: Led by Carla, we tried to sneak into Edolas's castle, response:	but their Erza, Knightwalker, was waiting for us, and we were captured!
context: Why are you so surprised?\We are all Exceeds, are we not?\Nichiya-san!\They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds.\Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State. response:	Good job completing your duty.
context: We are all Exceeds, are we not?\Nichiya-san!\They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds.\Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State.\Good job completing your duty. response:	Duty?
context: Nichiya-san!\They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds.\Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State.\Good job completing your duty.\Duty? response:	What's the matter, Carla?
context: They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds.\Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State.\Good job completing your duty.\Duty?\What's the matter, Carla? response:	It is a bit sudden, I know, but the Queen awaits you.
context: I bet this is the first time for them to see other Exceeds.\Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State.\Good job completing your duty.\Duty?\What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you. response:	Follow me.
context: Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State.\Good job completing your duty.\Duty?\What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you.\Follow me. response:	The Queen, you say?
context: I am the Commander of the Royal Guard of Extalia, Nichiya!\I'ma Nady, Extalia's Minister of State.\Good job completing your duty.\Duty?\What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you.\Follow me.\The Queen, you say? response:	Carla...
context: I'ma Nady, Extalia's Minister of State.\Good job completing your duty.\Duty?\What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you.\Follow me.\The Queen, you say?\Carla... response:	Leave this to me.
context: Good job completing your duty.\Duty?\What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you.\Follow me.\The Queen, you say?\Carla...\Leave this to me. response:	I'll take a little bit and observe our surroundings.
context: Duty?\What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you.\Follow me.\The Queen, you say?\Carla...\Leave this to me.\I'll take a little bit and observe our surroundings. response:	I'll definitely protect you, okay?
context: What's the matter, Carla?\It is a bit sudden, I know, but the Queen awaits you.\Follow me.\The Queen, you say?\Carla...\Leave this to me.\I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay? response:	Good work.
context: It is a bit sudden, I know, but the Queen awaits you.\Follow me.\The Queen, you say?\Carla...\Leave this to me.\I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay?\Good work. response:	More cats...
context: Follow me.\The Queen, you say?\Carla...\Leave this to me.\I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay?\Good work.\More cats... response:	Now then, this way!
context: The Queen, you say?\Carla...\Leave this to me.\I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay?\Good work.\More cats...\Now then, this way! response:	What in the world...
context: Carla...\Leave this to me.\I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay?\Good work.\More cats...\Now then, this way!\What in the world... response:	Come, come!
context: Leave this to me.\I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay?\Good work.\More cats...\Now then, this way!\What in the world...\Come, come! response:	I've got fish here, freshly caught!
context: I'll take a little bit and observe our surroundings.\I'll definitely protect you, okay?\Good work.\More cats...\Now then, this way!\What in the world...\Come, come!\I've got fish here, freshly caught! response:	I'd like one of those, and one of those...
context: I'll definitely protect you, okay?\Good work.\More cats...\Now then, this way!\What in the world...\Come, come!\I've got fish here, freshly caught!\I'd like one of those, and one of those... response:	Oh, and one of those, too.
context: Good work.\More cats...\Now then, this way!\What in the world...\Come, come!\I've got fish here, freshly caught!\I'd like one of those, and one of those...\Oh, and one of those, too. response:	Coming right up!
context: More cats...\Now then, this way!\What in the world...\Come, come!\I've got fish here, freshly caught!\I'd like one of those, and one of those...\Oh, and one of those, too.\Coming right up! response:	You have a lot of children, yes?
context: Now then, this way!\What in the world...\Come, come!\I've got fish here, freshly caught!\I'd like one of those, and one of those...\Oh, and one of those, too.\Coming right up!\You have a lot of children, yes? response:	I'll throw this one in for free!
context: What in the world...\Come, come!\I've got fish here, freshly caught!\I'd like one of those, and one of those...\Oh, and one of those, too.\Coming right up!\You have a lot of children, yes?\I'll throw this one in for free! response:	Oh my, you're always so generous!
context: Come, come!\I've got fish here, freshly caught!\I'd like one of those, and one of those...\Oh, and one of those, too.\Coming right up!\You have a lot of children, yes?\I'll throw this one in for free!\Oh my, you're always so generous! response:	Well, it's the Queen's great benevolence that allows me to run this shop every day.
context: I've got fish here, freshly caught!\I'd like one of those, and one of those...\Oh, and one of those, too.\Coming right up!\You have a lot of children, yes?\I'll throw this one in for free!\Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day. response:	Indeed...
context: I'd like one of those, and one of those...\Oh, and one of those, too.\Coming right up!\You have a lot of children, yes?\I'll throw this one in for free!\Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed... response:	Thanks for coming!
context: Oh, and one of those, too.\Coming right up!\You have a lot of children, yes?\I'll throw this one in for free!\Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed...\Thanks for coming! response:	For real!
context: Coming right up!\You have a lot of children, yes?\I'll throw this one in for free!\Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed...\Thanks for coming!\For real! response:	I saw it when I went to the surface to gather info!
context: You have a lot of children, yes?\I'll throw this one in for free!\Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed...\Thanks for coming!\For real!\I saw it when I went to the surface to gather info! response:	What did you see?
context: I'll throw this one in for free!\Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed...\Thanks for coming!\For real!\I saw it when I went to the surface to gather info!\What did you see? response:	A caterpillar like, this big!
context: Oh my, you're always so generous!\Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed...\Thanks for coming!\For real!\I saw it when I went to the surface to gather info!\What did you see?\A caterpillar like, this big! response:	You big liar!
context: Well, it's the Queen's great benevolence that allows me to run this shop every day.\Indeed...\Thanks for coming!\For real!\I saw it when I went to the surface to gather info!\What did you see?\A caterpillar like, this big!\You big liar! response:	There's no way there could be a caterpillar that big!
context: Indeed...\Thanks for coming!\For real!\I saw it when I went to the surface to gather info!\What did you see?\A caterpillar like, this big!\You big liar!\There's no way there could be a caterpillar that big! response:	You see, the human king...
context: Thanks for coming!\For real!\I saw it when I went to the surface to gather info!\What did you see?\A caterpillar like, this big!\You big liar!\There's no way there could be a caterpillar that big!\You see, the human king... response:	He is controlled by we Exceeds...
context: For real!\I saw it when I went to the surface to gather info!\What did you see?\A caterpillar like, this big!\You big liar!\There's no way there could be a caterpillar that big!\You see, the human king...\He is controlled by we Exceeds... response:	Over here, over here!
context: I saw it when I went to the surface to gather info!\What did you see?\A caterpillar like, this big!\You big liar!\There's no way there could be a caterpillar that big!\You see, the human king...\He is controlled by we Exceeds...\Over here, over here! response:	Wait!
context: What did you see?\A caterpillar like, this big!\You big liar!\There's no way there could be a caterpillar that big!\You see, the human king...\He is controlled by we Exceeds...\Over here, over here!\Wait! response:	It's a land of cats...
context: A caterpillar like, this big!\You big liar!\There's no way there could be a caterpillar that big!\You see, the human king...\He is controlled by we Exceeds...\Over here, over here!\Wait!\It's a land of cats... response:	Ah, Nichiya-sama!
context: You big liar!\There's no way there could be a caterpillar that big!\You see, the human king...\He is controlled by we Exceeds...\Over here, over here!\Wait!\It's a land of cats...\Ah, Nichiya-sama! response:	Nady-sama, have a nice day!
context: There's no way there could be a caterpillar that big!\You see, the human king...\He is controlled by we Exceeds...\Over here, over here!\Wait!\It's a land of cats...\Ah, Nichiya-sama!\Nady-sama, have a nice day! response:	Yes, and you, too!
context: You see, the human king...\He is controlled by we Exceeds...\Over here, over here!\Wait!\It's a land of cats...\Ah, Nichiya-sama!\Nady-sama, have a nice day!\Yes, and you, too! response:	Wait, are they the rumored...
context: He is controlled by we Exceeds...\Over here, over here!\Wait!\It's a land of cats...\Ah, Nichiya-sama!\Nady-sama, have a nice day!\Yes, and you, too!\Wait, are they the rumored... response:	They completed their duty on Earthland!
context: Over here, over here!\Wait!\It's a land of cats...\Ah, Nichiya-sama!\Nady-sama, have a nice day!\Yes, and you, too!\Wait, are they the rumored...\They completed their duty on Earthland! response:	Awesome! Hey, heroes!
context: Wait!\It's a land of cats...\Ah, Nichiya-sama!\Nady-sama, have a nice day!\Yes, and you, too!\Wait, are they the rumored...\They completed their duty on Earthland!\Awesome! Hey, heroes! response:	Look at how beautiful she is!
context: It's a land of cats...\Ah, Nichiya-sama!\Nady-sama, have a nice day!\Yes, and you, too!\Wait, are they the rumored...\They completed their duty on Earthland!\Awesome! Hey, heroes!\Look at how beautiful she is! response:	Everyone's a cat...
context: Ah, Nichiya-sama!\Nady-sama, have a nice day!\Yes, and you, too!\Wait, are they the rumored...\They completed their duty on Earthland!\Awesome! Hey, heroes!\Look at how beautiful she is!\Everyone's a cat... response:	We aren't cats. We're Exceeds.
context: Nady-sama, have a nice day!\Yes, and you, too!\Wait, are they the rumored...\They completed their duty on Earthland!\Awesome! Hey, heroes!\Look at how beautiful she is!\Everyone's a cat...\We aren't cats. We're Exceeds. response:	We are Exceeds, who stand over humans and guide them!
context: Yes, and you, too!\Wait, are they the rumored...\They completed their duty on Earthland!\Awesome! Hey, heroes!\Look at how beautiful she is!\Everyone's a cat...\We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them! response:	Exceeds...
context: Wait, are they the rumored...\They completed their duty on Earthland!\Awesome! Hey, heroes!\Look at how beautiful she is!\Everyone's a cat...\We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them!\Exceeds... response:	And this is the kingdom of Exceeds, Extalia!
context: They completed their duty on Earthland!\Awesome! Hey, heroes!\Look at how beautiful she is!\Everyone's a cat...\We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them!\Exceeds...\And this is the kingdom of Exceeds, Extalia! response:	Here they come!
context: Awesome! Hey, heroes!\Look at how beautiful she is!\Everyone's a cat...\We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them!\Exceeds...\And this is the kingdom of Exceeds, Extalia!\Here they come! response:	Finally!
context: Look at how beautiful she is!\Everyone's a cat...\We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them!\Exceeds...\And this is the kingdom of Exceeds, Extalia!\Here they come!\Finally! response:	So, it has finally started...
context: Everyone's a cat...\We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them!\Exceeds...\And this is the kingdom of Exceeds, Extalia!\Here they come!\Finally!\So, it has finally started... response:	Yes.
context: We aren't cats. We're Exceeds.\We are Exceeds, who stand over humans and guide them!\Exceeds...\And this is the kingdom of Exceeds, Extalia!\Here they come!\Finally!\So, it has finally started...\Yes. response:	With this, the kingdom will finally be secure.
context: We are Exceeds, who stand over humans and guide them!\Exceeds...\And this is the kingdom of Exceeds, Extalia!\Here they come!\Finally!\So, it has finally started...\Yes.\With this, the kingdom will finally be secure. response:	This is the south side...
context: Exceeds...\And this is the kingdom of Exceeds, Extalia!\Here they come!\Finally!\So, it has finally started...\Yes.\With this, the kingdom will finally be secure.\This is the south side... response:	The east and west sides are perfectly guarded as well, I presume?
context: And this is the kingdom of Exceeds, Extalia!\Here they come!\Finally!\So, it has finally started...\Yes.\With this, the kingdom will finally be secure.\This is the south side...\The east and west sides are perfectly guarded as well, I presume? response:	Actually, there's no place for any suspicious people to hide on the east or west side,
context: Here they come!\Finally!\So, it has finally started...\Yes.\With this, the kingdom will finally be secure.\This is the south side...\The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side, response:	so there's no need to guard it.
context: Finally!\So, it has finally started...\Yes.\With this, the kingdom will finally be secure.\This is the south side...\The east and west sides are perfectly guarded as well, I presume?\Actually, there's no place for any suspicious people to hide on the east or west side,\so there's no need to guard it. response:	Hey! Don't you dare put that in the article!
