context: You got that? Let me say it again just to be sure. response:	You are to kill a hundred of this planet's people
context: You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals.\Give me back my child!\I'll be expecting a good answer from you.\For your sake, as well.\You cannot consider going against me.\With your incomplete battle power,\you can't possibly stand up to your older brother, after all! response:	Father!
context: the only thing for you to do is to join your brother's pals.\Give me back my child!\I'll be expecting a good answer from you.\For your sake, as well.\You cannot consider going against me.\With your incomplete battle power,\you can't possibly stand up to your older brother, after all!\Father! response:	See you later! I look forward to tomorrow!
context: Give me back my child!\I'll be expecting a good answer from you.\For your sake, as well.\You cannot consider going against me.\With your incomplete battle power,\you can't possibly stand up to your older brother, after all!\Father!\See you later! I look forward to tomorrow! response:	Gohan!
context: I'll be expecting a good answer from you.\For your sake, as well.\You cannot consider going against me.\With your incomplete battle power,\you can't possibly stand up to your older brother, after all!\Father!\See you later! I look forward to tomorrow!\Gohan! response:	Father!
context: For your sake, as well.\You cannot consider going against me.\With your incomplete battle power,\you can't possibly stand up to your older brother, after all!\Father!\See you later! I look forward to tomorrow!\Gohan!\Father! response:	Gohan!
context: You cannot consider going against me.\With your incomplete battle power,\you can't possibly stand up to your older brother, after all!\Father!\See you later! I look forward to tomorrow!\Gohan!\Father!\Gohan! response:	Damn it all! He made a mockery of me!
context: With your incomplete battle power,\you can't possibly stand up to your older brother, after all!\Father!\See you later! I look forward to tomorrow!\Gohan!\Father!\Gohan!\Damn it all! He made a mockery of me! response:	Are you okay, Son- kun?
context: you can't possibly stand up to your older brother, after all!\Father!\See you later! I look forward to tomorrow!\Gohan!\Father!\Gohan!\Damn it all! He made a mockery of me!\Are you okay, Son- kun? response:	W- we're sorry! There was nothing we could do!
context: Father!\See you later! I look forward to tomorrow!\Gohan!\Father!\Gohan!\Damn it all! He made a mockery of me!\Are you okay, Son- kun?\W- we're sorry! There was nothing we could do! response:	G- Goku?
context: See you later! I look forward to tomorrow!\Gohan!\Father!\Gohan!\Damn it all! He made a mockery of me!\Are you okay, Son- kun?\W- we're sorry! There was nothing we could do!\G- Goku? response:	Kinto-Un!!
context: Gohan!\Father!\Gohan!\Damn it all! He made a mockery of me!\Are you okay, Son- kun?\W- we're sorry! There was nothing we could do!\G- Goku?\Kinto-Un!! response:	Wait! That's crazy! Don't be rash!
context: Father!\Gohan!\Damn it all! He made a mockery of me!\Are you okay, Son- kun?\W- we're sorry! There was nothing we could do!\G- Goku?\Kinto-Un!!\Wait! That's crazy! Don't be rash! response:	You can't! You'll be killed!
context: Gohan!\Damn it all! He made a mockery of me!\Are you okay, Son- kun?\W- we're sorry! There was nothing we could do!\G- Goku?\Kinto-Un!!\Wait! That's crazy! Don't be rash!\You can't! You'll be killed! response:	If you go now, do you think you could win!?
context: Damn it all! He made a mockery of me!\Are you okay, Son- kun?\W- we're sorry! There was nothing we could do!\G- Goku?\Kinto-Un!!\Wait! That's crazy! Don't be rash!\You can't! You'll be killed!\If you go now, do you think you could win!? response:	Damn! What should I do?
context: Are you okay, Son- kun?\W- we're sorry! There was nothing we could do!\G- Goku?\Kinto-Un!!\Wait! That's crazy! Don't be rash!\You can't! You'll be killed!\If you go now, do you think you could win!?\Damn! What should I do? response:	Think.
context: W- we're sorry! There was nothing we could do!\G- Goku?\Kinto-Un!!\Wait! That's crazy! Don't be rash!\You can't! You'll be killed!\If you go now, do you think you could win!?\Damn! What should I do?\Think. response:	Hold on, now...
context: G- Goku?\Kinto-Un!!\Wait! That's crazy! Don't be rash!\You can't! You'll be killed!\If you go now, do you think you could win!?\Damn! What should I do?\Think.\Hold on, now... response:	What a shock, huh? Here you discover that you have a relative,
context: Kinto-Un!!\Wait! That's crazy! Don't be rash!\You can't! You'll be killed!\If you go now, do you think you could win!?\Damn! What should I do?\Think.\Hold on, now...\What a shock, huh? Here you discover that you have a relative, response:	and of all people, it turns out to be that guy!
context: Wait! That's crazy! Don't be rash!\You can't! You'll be killed!\If you go now, do you think you could win!?\Damn! What should I do?\Think.\Hold on, now...\What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy! response:	Your brother... does have greater than normal strength, and all.
context: You can't! You'll be killed!\If you go now, do you think you could win!?\Damn! What should I do?\Think.\Hold on, now...\What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all. response:	His tail...
context: If you go now, do you think you could win!?\Damn! What should I do?\Think.\Hold on, now...\What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all.\His tail... response:	If I...
context: Damn! What should I do?\Think.\Hold on, now...\What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all.\His tail...\If I... response:	If I squeeze his tail hard enough, his strength should drop off.
context: Think.\Hold on, now...\What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all.\His tail...\If I...\If I squeeze his tail hard enough, his strength should drop off. response:	That's how it was for me.
context: Hold on, now...\What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all.\His tail...\If I...\If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me. response:	N- now that you mention it, that's true!
context: What a shock, huh? Here you discover that you have a relative,\and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all.\His tail...\If I...\If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me.\N- now that you mention it, that's true! response:	B- but still, are you going to be able to grab his tail?
context: and of all people, it turns out to be that guy!\Your brother... does have greater than normal strength, and all.\His tail...\If I...\If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me.\N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail? response:	It'll be impossible for me to do it alone.
context: Your brother... does have greater than normal strength, and all.\His tail...\If I...\If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me.\N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone. response:	We will do as much as we can!
context: His tail...\If I...\If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me.\N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone.\We will do as much as we can! response:	Yamucha and Tenshinhan aren't here, after all.
context: If I...\If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me.\N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone.\We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all. response:	T- that's right... And if the three of us fight together,
context: If I squeeze his tail hard enough, his strength should drop off.\That's how it was for me.\N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone.\We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together, response:	it just might work...
context: That's how it was for me.\N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone.\We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together,\it just might work... response:	Though I'm not very confident about that...
context: N- now that you mention it, that's true!\B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone.\We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together,\it just might work...\Though I'm not very confident about that... response:	Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?
context: B- but still, are you going to be able to grab his tail?\It'll be impossible for me to do it alone.\We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together,\it just might work...\Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay? response:	Leave it to me!
context: It'll be impossible for me to do it alone.\We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together,\it just might work...\Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me! response:	Kuririn, that won't work. Kami- sama said that you can't ask Shen Long
context: We will do as much as we can!\Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together,\it just might work...\Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long response:	to grant the same wish a second time.
context: Yamucha and Tenshinhan aren't here, after all.\T- that's right... And if the three of us fight together,\it just might work...\Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time. response:	Kuririn, both you and Old Timer Turtle Hermit
context: T- that's right... And if the three of us fight together,\it just might work...\Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit response:	have already had Shen Long bring you back to life once.
context: it just might work...\Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once. response:	And so... we can't do it another time...
context: Though I'm not very confident about that...\Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once.\And so... we can't do it another time... response:	Oh... really? E- even so, n- no problem!
context: Bulma- san, if we die, please bring us back to life with the Dragon Balls, okay?\Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once.\And so... we can't do it another time...\Oh... really? E- even so, n- no problem! response:	You'd help me out?
context: Leave it to me!\Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once.\And so... we can't do it another time...\Oh... really? E- even so, n- no problem!\You'd help me out? response:	O- of course we will!
context: Kuririn, that won't work. Kami- sama said that you can't ask Shen Long\to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once.\And so... we can't do it another time...\Oh... really? E- even so, n- no problem!\You'd help me out?\O- of course we will! response:	You bet we will! This time, it's our turn to lend you a hand, Goku!
context: to grant the same wish a second time.\Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once.\And so... we can't do it another time...\Oh... really? E- even so, n- no problem!\You'd help me out?\O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku! response:	T - this time for sure, l'm dead. Damn... And I wanted to get married too...
context: Kuririn, both you and Old Timer Turtle Hermit\have already had Shen Long bring you back to life once.\And so... we can't do it another time...\Oh... really? E- even so, n- no problem!\You'd help me out?\O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too... response:	Speaking of the Dragon Balls, what if we did this?
context: have already had Shen Long bring you back to life once.\And so... we can't do it another time...\Oh... really? E- even so, n- no problem!\You'd help me out?\O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this? response:	Get all seven together, and ask Shen Long to save the world!
context: And so... we can't do it another time...\Oh... really? E- even so, n- no problem!\You'd help me out?\O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world! response:	Oh, yeah!
context: Oh... really? E- even so, n- no problem!\You'd help me out?\O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world!\Oh, yeah! response:	Do you think we could get them all together in a single day?
context: You'd help me out?\O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world!\Oh, yeah!\Do you think we could get them all together in a single day? response:	Oh, yeah...
context: O- of course we will!\You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world!\Oh, yeah!\Do you think we could get them all together in a single day?\Oh, yeah... response:	All right! We launch a surprise attack of our own!
context: You bet we will! This time, it's our turn to lend you a hand, Goku!\T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world!\Oh, yeah!\Do you think we could get them all together in a single day?\Oh, yeah...\All right! We launch a surprise attack of our own! response:	He wouldn't possibly think that we would attack him,
context: T - this time for sure, l'm dead. Damn... And I wanted to get married too...\Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world!\Oh, yeah!\Do you think we could get them all together in a single day?\Oh, yeah...\All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him, response:	so his guard should be down.
context: Speaking of the Dragon Balls, what if we did this?\Get all seven together, and ask Shen Long to save the world!\Oh, yeah!\Do you think we could get them all together in a single day?\Oh, yeah...\All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him,\so his guard should be down. response:	B- but we don't know where he is, right?
context: Get all seven together, and ask Shen Long to save the world!\Oh, yeah!\Do you think we could get them all together in a single day?\Oh, yeah...\All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him,\so his guard should be down.\B- but we don't know where he is, right? response:	Bulma, do you have your Dragon Radar with you?
context: Oh, yeah!\Do you think we could get them all together in a single day?\Oh, yeah...\All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him,\so his guard should be down.\B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you? response:	That's right!
context: Do you think we could get them all together in a single day?\Oh, yeah...\All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him,\so his guard should be down.\B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you?\That's right! response:	The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?
context: Oh, yeah...\All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him,\so his guard should be down.\B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you?\That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh? response:	That's it, that's it!
context: All right! We launch a surprise attack of our own!\He wouldn't possibly think that we would attack him,\so his guard should be down.\B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you?\That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it! response:	Look! It's moving at tremendous speed!
context: He wouldn't possibly think that we would attack him,\so his guard should be down.\B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you?\That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it!\Look! It's moving at tremendous speed! response:	It stopped!
context: so his guard should be down.\B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you?\That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it!\Look! It's moving at tremendous speed!\It stopped! response:	Thank goodness! He's not out in space, he's on Earth!
context: B- but we don't know where he is, right?\Bulma, do you have your Dragon Radar with you?\That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it!\Look! It's moving at tremendous speed!\It stopped!\Thank goodness! He's not out in space, he's on Earth! response:	All right, let's go! It's all or nothing! Just hang on, Gohan!
context: Bulma, do you have your Dragon Radar with you?\That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it!\Look! It's moving at tremendous speed!\It stopped!\Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan! response:	R- right! Maybe we can win this! The possibility is slim, though...
context: That's right!\The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it!\Look! It's moving at tremendous speed!\It stopped!\Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though... response:	If we're going to be killed either way,
context: The ornament at the top of Gohan- kun's hat was a Dragon Ball, huh?\That's it, that's it!\Look! It's moving at tremendous speed!\It stopped!\Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way, response:	we'll feel better if we've done all we can.
context: That's it, that's it!\Look! It's moving at tremendous speed!\It stopped!\Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way,\we'll feel better if we've done all we can. response:	This is too much for you guys!
context: Look! It's moving at tremendous speed!\It stopped!\Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way,\we'll feel better if we've done all we can.\This is too much for you guys! response:	-Piccolo! -Piccolo! -Piccolo!
context: It stopped!\Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way,\we'll feel better if we've done all we can.\This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo! response:	What are you doing here?
context: Thank goodness! He's not out in space, he's on Earth!\All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way,\we'll feel better if we've done all we can.\This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo!\What are you doing here? response:	I followed him here.
context: All right, let's go! It's all or nothing! Just hang on, Gohan!\R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way,\we'll feel better if we've done all we can.\This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo!\What are you doing here?\I followed him here. response:	You've already met him?
context: R- right! Maybe we can win this! The possibility is slim, though...\If we're going to be killed either way,\we'll feel better if we've done all we can.\This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo!\What are you doing here?\I followed him here.\You've already met him? response:	That's right.
context: If we're going to be killed either way,\we'll feel better if we've done all we can.\This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo!\What are you doing here?\I followed him here.\You've already met him?\That's right. response:	If you go with those two, you won't be able to defeat him.
context: we'll feel better if we've done all we can.\This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo!\What are you doing here?\I followed him here.\You've already met him?\That's right.\If you go with those two, you won't be able to defeat him. response:	I will go with you.
context: This is too much for you guys!\-Piccolo! -Piccolo! -Piccolo!\What are you doing here?\I followed him here.\You've already met him?\That's right.\If you go with those two, you won't be able to defeat him.\I will go with you. response:	You must have realized that his strength is extraordinary.
context: -Piccolo! -Piccolo! -Piccolo!\What are you doing here?\I followed him here.\You've already met him?\That's right.\If you go with those two, you won't be able to defeat him.\I will go with you.\You must have realized that his strength is extraordinary. response:	He's an opponent that neither you nor I can stand up to.
context: What are you doing here?\I followed him here.\You've already met him?\That's right.\If you go with those two, you won't be able to defeat him.\I will go with you.\You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to. response:	However...
context: I followed him here.\You've already met him?\That's right.\If you go with those two, you won't be able to defeat him.\I will go with you.\You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to.\However... response:	Just what the hell has come over you?
context: You've already met him?\That's right.\If you go with those two, you won't be able to defeat him.\I will go with you.\You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to.\However...\Just what the hell has come over you? response:	Don't get me wrong.
context: That's right.\If you go with those two, you won't be able to defeat him.\I will go with you.\You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to.\However...\Just what the hell has come over you?\Don't get me wrong. response:	It's not as though I have become awakened to peace.
context: If you go with those two, you won't be able to defeat him.\I will go with you.\You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to.\However...\Just what the hell has come over you?\Don't get me wrong.\It's not as though I have become awakened to peace. response:	I don't care what happens to your son, either.
context: I will go with you.\You must have realized that his strength is extraordinary.\He's an opponent that neither you nor I can stand up to.\However...\Just what the hell has come over you?\Don't get me wrong.\It's not as though I have become awakened to peace.\I don't care what happens to your son, either. response:	It's just that he stands in the way of the world domination that I am after!
