context: Stop! response:	Don't hurt Saizo any more!
context: All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\The Wail of Darkness\Bored, bored, bored!\Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her.\I wanna fight Saizo! response:	Hey, squirmy! Have you gotten darker?
context: It's all your fault.\Isanami...\The Wail of Darkness\Bored, bored, bored!\Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her.\I wanna fight Saizo!\Hey, squirmy! Have you gotten darker? response:	Hey, wait up, squirmy.
context: Isanami...\The Wail of Darkness\Bored, bored, bored!\Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her.\I wanna fight Saizo!\Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy. response:	Play with me.
context: The Wail of Darkness\Bored, bored, bored!\Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her.\I wanna fight Saizo!\Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy.\Play with me. response:	What are you doing, Princess?
context: Bored, bored, bored!\Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her.\I wanna fight Saizo!\Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy.\Play with me.\What are you doing, Princess? response:	You bastard.
context: Everyone's so serious about what's going on with Isanami.\Don't worry. Saizo is with her.\I wanna fight Saizo!\Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy.\Play with me.\What are you doing, Princess?\You bastard. response:	Quit running your mouth and fight me!
context: Don't worry. Saizo is with her.\I wanna fight Saizo!\Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy.\Play with me.\What are you doing, Princess?\You bastard.\Quit running your mouth and fight me! response:	You're rather tough, aren't you?
context: I wanna fight Saizo!\Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy.\Play with me.\What are you doing, Princess?\You bastard.\Quit running your mouth and fight me!\You're rather tough, aren't you? response:	But you should learn your limits.
context: Hey, squirmy! Have you gotten darker?\Hey, wait up, squirmy.\Play with me.\What are you doing, Princess?\You bastard.\Quit running your mouth and fight me!\You're rather tough, aren't you?\But you should learn your limits. response:	Where am I?
context: Hey, wait up, squirmy.\Play with me.\What are you doing, Princess?\You bastard.\Quit running your mouth and fight me!\You're rather tough, aren't you?\But you should learn your limits.\Where am I? response:	I can't see anything.
context: Play with me.\What are you doing, Princess?\You bastard.\Quit running your mouth and fight me!\You're rather tough, aren't you?\But you should learn your limits.\Where am I?\I can't see anything. response:	Is this where you've been, Princess?
context: What are you doing, Princess?\You bastard.\Quit running your mouth and fight me!\You're rather tough, aren't you?\But you should learn your limits.\Where am I?\I can't see anything.\Is this where you've been, Princess? response:	That shadow...
context: You bastard.\Quit running your mouth and fight me!\You're rather tough, aren't you?\But you should learn your limits.\Where am I?\I can't see anything.\Is this where you've been, Princess?\That shadow... response:	How long are you going to hide in there?
context: Quit running your mouth and fight me!\You're rather tough, aren't you?\But you should learn your limits.\Where am I?\I can't see anything.\Is this where you've been, Princess?\That shadow...\How long are you going to hide in there? response:	Oh, right. I was hiding.
context: You're rather tough, aren't you?\But you should learn your limits.\Where am I?\I can't see anything.\Is this where you've been, Princess?\That shadow...\How long are you going to hide in there?\Oh, right. I was hiding. response:	Do I have to go?
context: But you should learn your limits.\Where am I?\I can't see anything.\Is this where you've been, Princess?\That shadow...\How long are you going to hide in there?\Oh, right. I was hiding.\Do I have to go? response:	Do you really not want to go to tonight's banquet?
context: Where am I?\I can't see anything.\Is this where you've been, Princess?\That shadow...\How long are you going to hide in there?\Oh, right. I was hiding.\Do I have to go?\Do you really not want to go to tonight's banquet? response:	You call it a banquet, but it's a matchmaking meeting, isn't it?
context: I can't see anything.\Is this where you've been, Princess?\That shadow...\How long are you going to hide in there?\Oh, right. I was hiding.\Do I have to go?\Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it? response:	I'm not interested.
context: Is this where you've been, Princess?\That shadow...\How long are you going to hide in there?\Oh, right. I was hiding.\Do I have to go?\Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested. response:	The one who likes you would be very sad to hear that.
context: That shadow...\How long are you going to hide in there?\Oh, right. I was hiding.\Do I have to go?\Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested.\The one who likes you would be very sad to hear that. response:	No one like that exists.
context: How long are you going to hide in there?\Oh, right. I was hiding.\Do I have to go?\Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested.\The one who likes you would be very sad to hear that.\No one like that exists. response:	Most men don't like my red hair or these family tattoos.
context: Oh, right. I was hiding.\Do I have to go?\Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested.\The one who likes you would be very sad to hear that.\No one like that exists.\Most men don't like my red hair or these family tattoos. response:	Not that I care, though.
context: Do I have to go?\Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested.\The one who likes you would be very sad to hear that.\No one like that exists.\Most men don't like my red hair or these family tattoos.\Not that I care, though. response:	Is that so?
context: Do you really not want to go to tonight's banquet?\You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested.\The one who likes you would be very sad to hear that.\No one like that exists.\Most men don't like my red hair or these family tattoos.\Not that I care, though.\Is that so? response:	I think they're beautiful.
context: You call it a banquet, but it's a matchmaking meeting, isn't it?\I'm not interested.\The one who likes you would be very sad to hear that.\No one like that exists.\Most men don't like my red hair or these family tattoos.\Not that I care, though.\Is that so?\I think they're beautiful. response:	Both your tattoos and the color of your hair.
context: I'm not interested.\The one who likes you would be very sad to hear that.\No one like that exists.\Most men don't like my red hair or these family tattoos.\Not that I care, though.\Is that so?\I think they're beautiful.\Both your tattoos and the color of your hair. response:	His warm hand reminds me of that time.
context: The one who likes you would be very sad to hear that.\No one like that exists.\Most men don't like my red hair or these family tattoos.\Not that I care, though.\Is that so?\I think they're beautiful.\Both your tattoos and the color of your hair.\His warm hand reminds me of that time. response:	That time?
context: No one like that exists.\Most men don't like my red hair or these family tattoos.\Not that I care, though.\Is that so?\I think they're beautiful.\Both your tattoos and the color of your hair.\His warm hand reminds me of that time.\That time? response:	Princess!
context: Most men don't like my red hair or these family tattoos.\Not that I care, though.\Is that so?\I think they're beautiful.\Both your tattoos and the color of your hair.\His warm hand reminds me of that time.\That time?\Princess! response:	I've been looking everywhere for you.
context: Not that I care, though.\Is that so?\I think they're beautiful.\Both your tattoos and the color of your hair.\His warm hand reminds me of that time.\That time?\Princess!\I've been looking everywhere for you. response:	Hurry up and change.
context: Is that so?\I think they're beautiful.\Both your tattoos and the color of your hair.\His warm hand reminds me of that time.\That time?\Princess!\I've been looking everywhere for you.\Hurry up and change. response:	Which would you prefer? Choose.
context: I think they're beautiful.\Both your tattoos and the color of your hair.\His warm hand reminds me of that time.\That time?\Princess!\I've been looking everywhere for you.\Hurry up and change.\Which would you prefer? Choose. response:	I don't like any of them. They're uncomfortable.
context: Both your tattoos and the color of your hair.\His warm hand reminds me of that time.\That time?\Princess!\I've been looking everywhere for you.\Hurry up and change.\Which would you prefer? Choose.\I don't like any of them. They're uncomfortable. response:	Princess.
context: His warm hand reminds me of that time.\That time?\Princess!\I've been looking everywhere for you.\Hurry up and change.\Which would you prefer? Choose.\I don't like any of them. They're uncomfortable.\Princess. response:	The princess insists she does not wish to go.
context: That time?\Princess!\I've been looking everywhere for you.\Hurry up and change.\Which would you prefer? Choose.\I don't like any of them. They're uncomfortable.\Princess.\The princess insists she does not wish to go. response:	How dare you say such a thing, Raizu-sama?
context: Princess!\I've been looking everywhere for you.\Hurry up and change.\Which would you prefer? Choose.\I don't like any of them. They're uncomfortable.\Princess.\The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama? response:	Well, Princess...
context: I've been looking everywhere for you.\Hurry up and change.\Which would you prefer? Choose.\I don't like any of them. They're uncomfortable.\Princess.\The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama?\Well, Princess... response:	What?
context: Hurry up and change.\Which would you prefer? Choose.\I don't like any of them. They're uncomfortable.\Princess.\The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama?\Well, Princess...\What? response:	I shall prepare a flower bath for you.
context: Which would you prefer? Choose.\I don't like any of them. They're uncomfortable.\Princess.\The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama?\Well, Princess...\What?\I shall prepare a flower bath for you. response:	Really? I love baths.
context: I don't like any of them. They're uncomfortable.\Princess.\The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama?\Well, Princess...\What?\I shall prepare a flower bath for you.\Really? I love baths. response:	Wonderful. I'll get the flowers right away.
context: Princess.\The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama?\Well, Princess...\What?\I shall prepare a flower bath for you.\Really? I love baths.\Wonderful. I'll get the flowers right away. response:	Okay.
context: The princess insists she does not wish to go.\How dare you say such a thing, Raizu-sama?\Well, Princess...\What?\I shall prepare a flower bath for you.\Really? I love baths.\Wonderful. I'll get the flowers right away.\Okay. response:	I shall take my time and prepare the bath with care.
context: How dare you say such a thing, Raizu-sama?\Well, Princess...\What?\I shall prepare a flower bath for you.\Really? I love baths.\Wonderful. I'll get the flowers right away.\Okay.\I shall take my time and prepare the bath with care. response:	All right.
context: Well, Princess...\What?\I shall prepare a flower bath for you.\Really? I love baths.\Wonderful. I'll get the flowers right away.\Okay.\I shall take my time and prepare the bath with care.\All right. response:	The water should be just right by the time you return from the banquet.
context: What?\I shall prepare a flower bath for you.\Really? I love baths.\Wonderful. I'll get the flowers right away.\Okay.\I shall take my time and prepare the bath with care.\All right.\The water should be just right by the time you return from the banquet. response:	No fair.
context: I shall prepare a flower bath for you.\Really? I love baths.\Wonderful. I'll get the flowers right away.\Okay.\I shall take my time and prepare the bath with care.\All right.\The water should be just right by the time you return from the banquet.\No fair. response:	Princess.
context: Really? I love baths.\Wonderful. I'll get the flowers right away.\Okay.\I shall take my time and prepare the bath with care.\All right.\The water should be just right by the time you return from the banquet.\No fair.\Princess. response:	Fine. I get it.
context: Wonderful. I'll get the flowers right away.\Okay.\I shall take my time and prepare the bath with care.\All right.\The water should be just right by the time you return from the banquet.\No fair.\Princess.\Fine. I get it. response:	Just make sure you use roses, okay?
context: Okay.\I shall take my time and prepare the bath with care.\All right.\The water should be just right by the time you return from the banquet.\No fair.\Princess.\Fine. I get it.\Just make sure you use roses, okay? response:	Just as glamorous and boring as usual.
context: I shall take my time and prepare the bath with care.\All right.\The water should be just right by the time you return from the banquet.\No fair.\Princess.\Fine. I get it.\Just make sure you use roses, okay?\Just as glamorous and boring as usual. response:	Is everyone really so desperate to get married?
context: All right.\The water should be just right by the time you return from the banquet.\No fair.\Princess.\Fine. I get it.\Just make sure you use roses, okay?\Just as glamorous and boring as usual.\Is everyone really so desperate to get married? response:	I can't think of anyone I'd want to marry.
context: The water should be just right by the time you return from the banquet.\No fair.\Princess.\Fine. I get it.\Just make sure you use roses, okay?\Just as glamorous and boring as usual.\Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry. response:	But if I did meet someone,
context: No fair.\Princess.\Fine. I get it.\Just make sure you use roses, okay?\Just as glamorous and boring as usual.\Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry.\But if I did meet someone, response:	I wonder what he'd be like.
context: Princess.\Fine. I get it.\Just make sure you use roses, okay?\Just as glamorous and boring as usual.\Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry.\But if I did meet someone,\I wonder what he'd be like. response:	I feel like... I've forgotten something important.
context: Fine. I get it.\Just make sure you use roses, okay?\Just as glamorous and boring as usual.\Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry.\But if I did meet someone,\I wonder what he'd be like.\I feel like... I've forgotten something important. response:	She's so weird.
context: Just make sure you use roses, okay?\Just as glamorous and boring as usual.\Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry.\But if I did meet someone,\I wonder what he'd be like.\I feel like... I've forgotten something important.\She's so weird. response:	Can you imagine, a woman with tattoos?
context: Just as glamorous and boring as usual.\Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry.\But if I did meet someone,\I wonder what he'd be like.\I feel like... I've forgotten something important.\She's so weird.\Can you imagine, a woman with tattoos? response:	Isn't it a family tradition?
context: Is everyone really so desperate to get married?\I can't think of anyone I'd want to marry.\But if I did meet someone,\I wonder what he'd be like.\I feel like... I've forgotten something important.\She's so weird.\Can you imagine, a woman with tattoos?\Isn't it a family tradition? response:	But it's so crude, and her hair is such a dull red.
context: I can't think of anyone I'd want to marry.\But if I did meet someone,\I wonder what he'd be like.\I feel like... I've forgotten something important.\She's so weird.\Can you imagine, a woman with tattoos?\Isn't it a family tradition?\But it's so crude, and her hair is such a dull red. response:	Not to mention she's scrawny.
context: But if I did meet someone,\I wonder what he'd be like.\I feel like... I've forgotten something important.\She's so weird.\Can you imagine, a woman with tattoos?\Isn't it a family tradition?\But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny. response:	It's no wonder no lord is interested in her.
context: I wonder what he'd be like.\I feel like... I've forgotten something important.\She's so weird.\Can you imagine, a woman with tattoos?\Isn't it a family tradition?\But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny.\It's no wonder no lord is interested in her. response:	Who cares if I'm not popular?
context: I feel like... I've forgotten something important.\She's so weird.\Can you imagine, a woman with tattoos?\Isn't it a family tradition?\But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny.\It's no wonder no lord is interested in her.\Who cares if I'm not popular? response:	I like my hair and tattoos.
context: She's so weird.\Can you imagine, a woman with tattoos?\Isn't it a family tradition?\But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny.\It's no wonder no lord is interested in her.\Who cares if I'm not popular?\I like my hair and tattoos. response:	You have no right to talk about me that way.
context: Can you imagine, a woman with tattoos?\Isn't it a family tradition?\But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny.\It's no wonder no lord is interested in her.\Who cares if I'm not popular?\I like my hair and tattoos.\You have no right to talk about me that way. response:	There you are, Princess.
context: Isn't it a family tradition?\But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny.\It's no wonder no lord is interested in her.\Who cares if I'm not popular?\I like my hair and tattoos.\You have no right to talk about me that way.\There you are, Princess. response:	I've come to retrieve you.
context: But it's so crude, and her hair is such a dull red.\Not to mention she's scrawny.\It's no wonder no lord is interested in her.\Who cares if I'm not popular?\I like my hair and tattoos.\You have no right to talk about me that way.\There you are, Princess.\I've come to retrieve you. response:	Your bath is ready. Shall we go?
context: Not to mention she's scrawny.\It's no wonder no lord is interested in her.\Who cares if I'm not popular?\I like my hair and tattoos.\You have no right to talk about me that way.\There you are, Princess.\I've come to retrieve you.\Your bath is ready. Shall we go? response:	Yes.
context: It's no wonder no lord is interested in her.\Who cares if I'm not popular?\I like my hair and tattoos.\You have no right to talk about me that way.\There you are, Princess.\I've come to retrieve you.\Your bath is ready. Shall we go?\Yes. response:	The warm water feels wonderful.
context: Who cares if I'm not popular?\I like my hair and tattoos.\You have no right to talk about me that way.\There you are, Princess.\I've come to retrieve you.\Your bath is ready. Shall we go?\Yes.\The warm water feels wonderful. response:	This must be true happiness.
context: I like my hair and tattoos.\You have no right to talk about me that way.\There you are, Princess.\I've come to retrieve you.\Your bath is ready. Shall we go?\Yes.\The warm water feels wonderful.\This must be true happiness. response:	Don't you agree, Raizu?
context: You have no right to talk about me that way.\There you are, Princess.\I've come to retrieve you.\Your bath is ready. Shall we go?\Yes.\The warm water feels wonderful.\This must be true happiness.\Don't you agree, Raizu? response:	Are you bothered by what those girls said?
context: There you are, Princess.\I've come to retrieve you.\Your bath is ready. Shall we go?\Yes.\The warm water feels wonderful.\This must be true happiness.\Don't you agree, Raizu?\Are you bothered by what those girls said? response:	They're right about one thing.
context: I've come to retrieve you.\Your bath is ready. Shall we go?\Yes.\The warm water feels wonderful.\This must be true happiness.\Don't you agree, Raizu?\Are you bothered by what those girls said?\They're right about one thing. response:	I like my hair and tattoos,
context: Your bath is ready. Shall we go?\Yes.\The warm water feels wonderful.\This must be true happiness.\Don't you agree, Raizu?\Are you bothered by what those girls said?\They're right about one thing.\I like my hair and tattoos, response:	but I'm not a fan of this thin, unfeminine body.
context: Yes.\The warm water feels wonderful.\This must be true happiness.\Don't you agree, Raizu?\Are you bothered by what those girls said?\They're right about one thing.\I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body. response:	It's cute in its own right.
context: The warm water feels wonderful.\This must be true happiness.\Don't you agree, Raizu?\Are you bothered by what those girls said?\They're right about one thing.\I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body.\It's cute in its own right. response:	I will love you however you are.
context: This must be true happiness.\Don't you agree, Raizu?\Are you bothered by what those girls said?\They're right about one thing.\I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body.\It's cute in its own right.\I will love you however you are. response:	Could my soul mate be closer than I thought?
context: Don't you agree, Raizu?\Are you bothered by what those girls said?\They're right about one thing.\I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body.\It's cute in its own right.\I will love you however you are.\Could my soul mate be closer than I thought? response:	Princess?
context: Are you bothered by what those girls said?\They're right about one thing.\I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body.\It's cute in its own right.\I will love you however you are.\Could my soul mate be closer than I thought?\Princess? response:	I like this place.
context: They're right about one thing.\I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body.\It's cute in its own right.\I will love you however you are.\Could my soul mate be closer than I thought?\Princess?\I like this place. response:	So do I.
context: I like my hair and tattoos,\but I'm not a fan of this thin, unfeminine body.\It's cute in its own right.\I will love you however you are.\Could my soul mate be closer than I thought?\Princess?\I like this place.\So do I. response:	It feels nice to be loved.
context: but I'm not a fan of this thin, unfeminine body.\It's cute in its own right.\I will love you however you are.\Could my soul mate be closer than I thought?\Princess?\I like this place.\So do I.\It feels nice to be loved. response:	I want to stay here forever.
context: It's cute in its own right.\I will love you however you are.\Could my soul mate be closer than I thought?\Princess?\I like this place.\So do I.\It feels nice to be loved.\I want to stay here forever. response:	Then you should stay here forever.
context: I will love you however you are.\Could my soul mate be closer than I thought?\Princess?\I like this place.\So do I.\It feels nice to be loved.\I want to stay here forever.\Then you should stay here forever. response:	You won't laugh at me for not getting married?
context: Could my soul mate be closer than I thought?\Princess?\I like this place.\So do I.\It feels nice to be loved.\I want to stay here forever.\Then you should stay here forever.\You won't laugh at me for not getting married? response:	I would never laugh.
context: Princess?\I like this place.\So do I.\It feels nice to be loved.\I want to stay here forever.\Then you should stay here forever.\You won't laugh at me for not getting married?\I would never laugh. response:	In fact, I would be delighted.
context: I like this place.\So do I.\It feels nice to be loved.\I want to stay here forever.\Then you should stay here forever.\You won't laugh at me for not getting married?\I would never laugh.\In fact, I would be delighted. response:	Really?
context: So do I.\It feels nice to be loved.\I want to stay here forever.\Then you should stay here forever.\You won't laugh at me for not getting married?\I would never laugh.\In fact, I would be delighted.\Really? response:	I'm so comfortable here that I don't want to move.
context: It feels nice to be loved.\I want to stay here forever.\Then you should stay here forever.\You won't laugh at me for not getting married?\I would never laugh.\In fact, I would be delighted.\Really?\I'm so comfortable here that I don't want to move. response:	Please stay here, Princess.
context: I want to stay here forever.\Then you should stay here forever.\You won't laugh at me for not getting married?\I would never laugh.\In fact, I would be delighted.\Really?\I'm so comfortable here that I don't want to move.\Please stay here, Princess. response:	You're right.
context: Then you should stay here forever.\You won't laugh at me for not getting married?\I would never laugh.\In fact, I would be delighted.\Really?\I'm so comfortable here that I don't want to move.\Please stay here, Princess.\You're right. response:	I'll surrender myself to happiness and stay here forever.
context: You won't laugh at me for not getting married?\I would never laugh.\In fact, I would be delighted.\Really?\I'm so comfortable here that I don't want to move.\Please stay here, Princess.\You're right.\I'll surrender myself to happiness and stay here forever. response:	Stay here with me forever.
context: I would never laugh.\In fact, I would be delighted.\Really?\I'm so comfortable here that I don't want to move.\Please stay here, Princess.\You're right.\I'll surrender myself to happiness and stay here forever.\Stay here with me forever. response:	Those loving eyes... That sweet smell...
context: In fact, I would be delighted.\Really?\I'm so comfortable here that I don't want to move.\Please stay here, Princess.\You're right.\I'll surrender myself to happiness and stay here forever.\Stay here with me forever.\Those loving eyes... That sweet smell... response:	I want to stay wrapped up in these forever.
context: Really?\I'm so comfortable here that I don't want to move.\Please stay here, Princess.\You're right.\I'll surrender myself to happiness and stay here forever.\Stay here with me forever.\Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever. response:	Is that all you've got?
context: I'm so comfortable here that I don't want to move.\Please stay here, Princess.\You're right.\I'll surrender myself to happiness and stay here forever.\Stay here with me forever.\Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever.\Is that all you've got? response:	Are you sure you haven't lost your edge?
context: Please stay here, Princess.\You're right.\I'll surrender myself to happiness and stay here forever.\Stay here with me forever.\Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever.\Is that all you've got?\Are you sure you haven't lost your edge? response:	I want to take my time killing you.
context: You're right.\I'll surrender myself to happiness and stay here forever.\Stay here with me forever.\Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever.\Is that all you've got?\Are you sure you haven't lost your edge?\I want to take my time killing you. response:	I'll have to reject your offer.
context: I'll surrender myself to happiness and stay here forever.\Stay here with me forever.\Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever.\Is that all you've got?\Are you sure you haven't lost your edge?\I want to take my time killing you.\I'll have to reject your offer. response:	I don't care what you want.
context: Stay here with me forever.\Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever.\Is that all you've got?\Are you sure you haven't lost your edge?\I want to take my time killing you.\I'll have to reject your offer.\I don't care what you want. response:	This is all about her.
context: Those loving eyes... That sweet smell...\I want to stay wrapped up in these forever.\Is that all you've got?\Are you sure you haven't lost your edge?\I want to take my time killing you.\I'll have to reject your offer.\I don't care what you want.\This is all about her. response:	How does it feel knowing your friends are being erased one by one?
context: I want to stay wrapped up in these forever.\Is that all you've got?\Are you sure you haven't lost your edge?\I want to take my time killing you.\I'll have to reject your offer.\I don't care what you want.\This is all about her.\How does it feel knowing your friends are being erased one by one? response:	Well?
context: Is that all you've got?\Are you sure you haven't lost your edge?\I want to take my time killing you.\I'll have to reject your offer.\I don't care what you want.\This is all about her.\How does it feel knowing your friends are being erased one by one?\Well? response:	Well, my ass!
context: Are you sure you haven't lost your edge?\I want to take my time killing you.\I'll have to reject your offer.\I don't care what you want.\This is all about her.\How does it feel knowing your friends are being erased one by one?\Well?\Well, my ass! response:	She doesn't need to answer the question.
context: I want to take my time killing you.\I'll have to reject your offer.\I don't care what you want.\This is all about her.\How does it feel knowing your friends are being erased one by one?\Well?\Well, my ass!\She doesn't need to answer the question. response:	We'll find out soon enough, won't we?
context: I'll have to reject your offer.\I don't care what you want.\This is all about her.\How does it feel knowing your friends are being erased one by one?\Well?\Well, my ass!\She doesn't need to answer the question.\We'll find out soon enough, won't we? response:	Don't listen to this freak, Isanami!
context: I don't care what you want.\This is all about her.\How does it feel knowing your friends are being erased one by one?\Well?\Well, my ass!\She doesn't need to answer the question.\We'll find out soon enough, won't we?\Don't listen to this freak, Isanami! response:	You don't have time to worry about others.
context: This is all about her.\How does it feel knowing your friends are being erased one by one?\Well?\Well, my ass!\She doesn't need to answer the question.\We'll find out soon enough, won't we?\Don't listen to this freak, Isanami!\You don't have time to worry about others. response:	Shut up already!
context: How does it feel knowing your friends are being erased one by one?\Well?\Well, my ass!\She doesn't need to answer the question.\We'll find out soon enough, won't we?\Don't listen to this freak, Isanami!\You don't have time to worry about others.\Shut up already! response:	No, I want his cold piercing glare.
context: Well?\Well, my ass!\She doesn't need to answer the question.\We'll find out soon enough, won't we?\Don't listen to this freak, Isanami!\You don't have time to worry about others.\Shut up already!\No, I want his cold piercing glare. response:	Princess?
context: Well, my ass!\She doesn't need to answer the question.\We'll find out soon enough, won't we?\Don't listen to this freak, Isanami!\You don't have time to worry about others.\Shut up already!\No, I want his cold piercing glare.\Princess? response:	No.
context: She doesn't need to answer the question.\We'll find out soon enough, won't we?\Don't listen to this freak, Isanami!\You don't have time to worry about others.\Shut up already!\No, I want his cold piercing glare.\Princess?\No. response:	Princess!
context: We'll find out soon enough, won't we?\Don't listen to this freak, Isanami!\You don't have time to worry about others.\Shut up already!\No, I want his cold piercing glare.\Princess?\No.\Princess! response:	Are you hurt?
context: Don't listen to this freak, Isanami!\You don't have time to worry about others.\Shut up already!\No, I want his cold piercing glare.\Princess?\No.\Princess!\Are you hurt? response:	Are you all right?
context: You don't have time to worry about others.\Shut up already!\No, I want his cold piercing glare.\Princess?\No.\Princess!\Are you hurt?\Are you all right? response:	I want the smell of blood.
