context: Well done, everyone. I have been expecting you. response:	Thank you very much, Freeza- sama. Please tell us what our mission is this time.
context: There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right...\Oh yeah...\Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh?\Stay alive, everyone.\Ten more minutes... response:	It's funny. I don't feel any fear. What am I so relaxed for?
context: 20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right...\Oh yeah...\Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh?\Stay alive, everyone.\Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for? response:	There's going to be someone unbelievable out there...
context: All right...\Oh yeah...\Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh?\Stay alive, everyone.\Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there... response:	Maybe training in all that outrageous gravity has made me crazy.
context: Oh yeah...\Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh?\Stay alive, everyone.\Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy. response:	Over there!
context: Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh?\Stay alive, everyone.\Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy.\Over there! response:	We've got them all!
context: Someone even more incredible than Vegeta, huh?\Stay alive, everyone.\Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy.\Over there!\We've got them all! response:	Come on!
context: Stay alive, everyone.\Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy.\Over there!\We've got them all!\Come on! response:	What's the matter!? Get over here, now!
context: Ten more minutes...\It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy.\Over there!\We've got them all!\Come on!\What's the matter!? Get over here, now! response:	Why, you!
context: It's funny. I don't feel any fear. What am I so relaxed for?\There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy.\Over there!\We've got them all!\Come on!\What's the matter!? Get over here, now!\Why, you! response:	Gohan, no matter how I think this through, it's not right.
context: There's going to be someone unbelievable out there...\Maybe training in all that outrageous gravity has made me crazy.\Over there!\We've got them all!\Come on!\What's the matter!? Get over here, now!\Why, you!\Gohan, no matter how I think this through, it's not right. response:	How can we let this guy have eternal life?
context: Maybe training in all that outrageous gravity has made me crazy.\Over there!\We've got them all!\Come on!\What's the matter!? Get over here, now!\Why, you!\Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life? response:	Don't give me that now!
context: Over there!\We've got them all!\Come on!\What's the matter!? Get over here, now!\Why, you!\Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life?\Don't give me that now! response:	Hurry up and turn over your Ball!
context: We've got them all!\Come on!\What's the matter!? Get over here, now!\Why, you!\Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life?\Don't give me that now!\Hurry up and turn over your Ball! response:	We don't have time to dawdle!
context: Come on!\What's the matter!? Get over here, now!\Why, you!\Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life?\Don't give me that now!\Hurry up and turn over your Ball!\We don't have time to dawdle! response:	Yo, Veggie- chan.
context: What's the matter!? Get over here, now!\Why, you!\Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life?\Don't give me that now!\Hurry up and turn over your Ball!\We don't have time to dawdle!\Yo, Veggie- chan. response:	It's been a long time, huh?
context: Why, you!\Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life?\Don't give me that now!\Hurry up and turn over your Ball!\We don't have time to dawdle!\Yo, Veggie- chan.\It's been a long time, huh? response:	Dammit! And I was so close!
context: Gohan, no matter how I think this through, it's not right.\How can we let this guy have eternal life?\Don't give me that now!\Hurry up and turn over your Ball!\We don't have time to dawdle!\Yo, Veggie- chan.\It's been a long time, huh?\Dammit! And I was so close! response:	They're fast! They were so fast, I didn't even know they were approaching!
context: How can we let this guy have eternal life?\Don't give me that now!\Hurry up and turn over your Ball!\We don't have time to dawdle!\Yo, Veggie- chan.\It's been a long time, huh?\Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching! response:	By any chance, is that one of those Dragon Ball things?
context: Don't give me that now!\Hurry up and turn over your Ball!\We don't have time to dawdle!\Yo, Veggie- chan.\It's been a long time, huh?\Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things? response:	There are five of them lying over here.
context: Hurry up and turn over your Ball!\We don't have time to dawdle!\Yo, Veggie- chan.\It's been a long time, huh?\Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things?\There are five of them lying over here. response:	This is all because you were so slow!
context: We don't have time to dawdle!\Yo, Veggie- chan.\It's been a long time, huh?\Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things?\There are five of them lying over here.\This is all because you were so slow! response:	H- how can you say that?
context: Yo, Veggie- chan.\It's been a long time, huh?\Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things?\There are five of them lying over here.\This is all because you were so slow!\H- how can you say that? response:	Freeza- sama will be overjoyed by this.
context: It's been a long time, huh?\Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things?\There are five of them lying over here.\This is all because you were so slow!\H- how can you say that?\Freeza- sama will be overjoyed by this. response:	You have to get all seven Dragon Balls together, right?
context: Dammit! And I was so close!\They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things?\There are five of them lying over here.\This is all because you were so slow!\H- how can you say that?\Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right? response:	There are five of them behind us, and you've got two of them.
context: They're fast! They were so fast, I didn't even know they were approaching!\By any chance, is that one of those Dragon Ball things?\There are five of them lying over here.\This is all because you were so slow!\H- how can you say that?\Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them. response:	That's all of them, isn't it?
context: By any chance, is that one of those Dragon Ball things?\There are five of them lying over here.\This is all because you were so slow!\H- how can you say that?\Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them.\That's all of them, isn't it? response:	W - what Vegeta said was true. l'm no match for them!
context: There are five of them lying over here.\This is all because you were so slow!\H- how can you say that?\Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them.\That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them! response:	And that guy is exceptionally amazing, even among these guys.
context: This is all because you were so slow!\H- how can you say that?\Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them.\That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys. response:	Y- you think we're going to just hand them over to you!?
context: H- how can you say that?\Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them.\That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!? response:	You seem to have it all wrong.
context: Freeza- sama will be overjoyed by this.\You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them.\That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!?\You seem to have it all wrong. response:	Without Freeza- sama's power, you can't do anything!
context: You have to get all seven Dragon Balls together, right?\There are five of them behind us, and you've got two of them.\That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!?\You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything! response:	Watch what you're saying!
context: There are five of them behind us, and you've got two of them.\That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!?\You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything!\Watch what you're saying! response:	What!?
context: That's all of them, isn't it?\W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!?\You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything!\Watch what you're saying!\What!? response:	Come on! Come on!
context: W - what Vegeta said was true. l'm no match for them!\And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!?\You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything!\Watch what you're saying!\What!?\Come on! Come on! response:	That guy... that guy alone is really not all that tough.
context: And that guy is exceptionally amazing, even among these guys.\Y- you think we're going to just hand them over to you!?\You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything!\Watch what you're saying!\What!?\Come on! Come on!\That guy... that guy alone is really not all that tough. response:	W - why is that guy mixed in with them?
context: Y- you think we're going to just hand them over to you!?\You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything!\Watch what you're saying!\What!?\Come on! Come on!\That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them? response:	Stay back! You smell so bad, I can't take it.
context: You seem to have it all wrong.\Without Freeza- sama's power, you can't do anything!\Watch what you're saying!\What!?\Come on! Come on!\That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it. response:	-Die!! -Whoa!
context: Without Freeza- sama's power, you can't do anything!\Watch what you're saying!\What!?\Come on! Come on!\That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it.\-Die!! -Whoa! response:	Don't go acting on your own, Ghurd.
context: Watch what you're saying!\What!?\Come on! Come on!\That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it.\-Die!! -Whoa!\Don't go acting on your own, Ghurd. response:	It's not like we've decided that he's your prey yet.
context: What!?\Come on! Come on!\That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it.\-Die!! -Whoa!\Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet. response:	Why don't you hand that over right now, Vegeta?
context: Come on! Come on!\That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it.\-Die!! -Whoa!\Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta? response:	Although, even if you do hand it over quietly,
context: That guy... that guy alone is really not all that tough.\W - why is that guy mixed in with them?\Stay back! You smell so bad, I can't take it.\-Die!! -Whoa!\Don't go acting on your own, Ghurd.\It's not like we've decided that he's your prey yet.\Why don't you hand that over right now, Vegeta?\Although, even if you do hand it over quietly, response:	we have no intention of turning a blind eye to you.
